#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:18:03 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:18:03	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/182/12/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21820012
#Name: J/ApJS/182/12
#Title: ICM entropy profiles (ACCEPT) (Cavagnolo+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/apjs/182/12	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/182/12	    IVOID of underlying data collection
#INFO	creator=Cavagnolo K.W.	    First author or institution
#INFO	cites=bibcode:2009ApJS..182...12C	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/182/12	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21820012	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_182_12_table1:
#Name: J/ApJS/182/12/table1
#Title: Summary of sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a18)	Cluster name	[ucd=meta.id;meta.main]
#Column	ObsID	(I5)	Chandra observation identifier	[ucd=meta.id;obs.param;obs]
#Column	RAJ2000	(A12)	Cluster Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Cluster Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Exp	(F5.1)	Exposure time	[ucd=time.duration;obs.exposure]
#Column	ACIS	(A2)	CCD location of cluster center	[ucd=meta.note]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	<kT>	(F5.2)	Average cluster temperature	[ucd=phys.temperature]
#Column	Notes	(a5)	Assigned note(s) (1)	[ucd=meta.note]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
recno	Name	ObsID	RAJ2000	DEJ2000	Exp	ACIS	z	<kT>	Notes	SimbadName	NED
     176	Centaurus         	  504	12 48 49.267	-41 18 39.54	 31.8	S3	 0.0109	 3.96	b    	NAME CENTAURUS CLUSTER 	NED
     177	Centaurus         	  505	12 48 49.267	-41 18 39.54	 10.0	S3	 0.0109	 3.96	b    	NAME CENTAURUS CLUSTER 	NED
     178	Centaurus         	 5310	12 48 49.267	-41 18 39.54	 49.3	S3	 0.0109	 3.96	b    	NAME CENTAURUS CLUSTER 	NED
     179	CID 72            	 2018	17 33 03.247	+43 45 37.28	 30.7	S3	 0.0344	 1.91	     	CID 72                 	NED
     180	CID 72            	 6949	17 33 03.247	+43 45 37.28	 38.6	I3	 0.0344	 1.91	     	CID 72                 	NED
     181	CID 72            	 7321	17 33 03.247	+43 45 37.28	 37.5	I3	 0.0344	 1.91	     	CID 72                 	NED
     182	CID 72            	 7322	17 33 03.247	+43 45 37.28	 37.5	I3	 0.0344	 1.91	     	CID 72                 	NED
     183	CL J1226.9+3332   	 3180	12 26 58.373	+33 32 47.36	 31.7	I3	 0.8900	10.00	     	ClG J1226+3332         	NED
     184	CL J1226.9+3332   	 5014	12 26 58.373	+33 32 47.36	 32.7	I3	 0.8900	10.00	     	ClG J1226+3332         	NED
     185	CL J1226.9+3332   	  932	12 26 58.373	+33 32 47.36	  9.8	S3	 0.8900	10.00	     	ClG J1226+3332         	NED
     186	Cygnus A          	  360	19 59 28.381	+40 44 01.98	 34.7	S3	 0.0561	 7.68	d    	NAME CYG A CLUSTER     	NED
     187	ESO 3060170       	 3188	05 40 06.687	-40 50 12.82	 14.0	I3	 0.0358	 2.79	b    	NAME ESO 306-17 GROUP  	NED
     188	ESO 3060170       	 3189	05 40 06.687	-40 50 12.82	 14.1	I0	 0.0358	 2.79	b    	NAME ESO 306-17 GROUP  	NED
     189	ESO 5520200       	 3206	04 54 52.318	-18 06 56.52	 23.9	I3	 0.0314	 2.37	     	NAME ESO 552-20 GROUP  	NED
     190	EXO 422-086       	 4183	04 25 51.271	-08 33 36.42	 10.0	I3	 0.0397	 3.40	     	EXO 0422-086           	NED
     191	HCG 62            	  921	12 53 05.741	-09 12 15.64	 48.5	S3	 0.0146	 1.10	     	HCG 62                 	NED
     192	HCG 42            	 3215	10 00 14.234	-19 38 10.77	 31.7	S3	 0.0133	 0.70	     	HCG 42                 	NED
     193	Hercules A        	 1625	16 51 08.161	+04 59 32.44	 14.8	S3	 0.1541	 5.21	     	NAME 3C 348 CLUSTER    	NED
     194	Hercules A        	 5796	16 51 08.161	+04 59 32.44	 47.5	S3	 0.1541	 5.21	     	NAME 3C 348 CLUSTER    	NED
     195	Hercules A        	 6257	16 51 08.161	+04 59 32.44	 49.5	S3	 0.1541	 5.21	     	NAME 3C 348 CLUSTER    	NED
     196	Hydra A           	 4970	09 18 05.985	-12 05 43.94	 98.8	S3	 0.0549	 4.00	d    	NAME HYDRA A CLUSTER   	NED
     197	Hydra A           	  576	09 18 05.985	-12 05 43.94	 19.5	S3	 0.0549	 4.00	d    	NAME HYDRA A CLUSTER   	NED
     198	M49               	  321	12 29 46.841	+08 00 01.98	 39.6	S3	 0.0033	 1.33	c    	NAME M 49 GROUP        	NED
     199	M87               	 5826	12 30 49.383	+12 23 28.67	126.8	I3	 0.0044	 2.50	d    	NAME M 87 CLUSTER      	NED
     200	M87               	 5827	12 30 49.383	+12 23 28.67	156.2	I3	 0.0044	 2.50	d    	NAME M 87 CLUSTER      	NED
     201	MACS J0011.7-1523 	 3261	00 11 42.965	-15 23 20.79	 21.6	I3	 0.3600	 5.42	     	MCS J0011.7-1523       	NED
     202	MACS J0011.7-1523 	 6105	00 11 42.965	-15 23 20.79	 37.3	I3	 0.3600	 5.42	     	MCS J0011.7-1523       	NED
     203	MACS J0035.4-2015 	 3262	00 35 26.573	-20 15 46.06	 21.4	I3	 0.3644	 7.39	     	MCS J0035.4-2015       	NED
     204	MACS J0159.8-0849 	 3265	01 59 49.453	-08 50 00.90	 17.9	I3	 0.4050	 9.59	     	MCS J0159.8-0849       	NED
     205	MACS J0159.8-0849 	 6106	01 59 49.453	-08 50 00.90	 35.3	I3	 0.4050	 9.59	     	MCS J0159.8-0849       	NED
     206	MACS J0242.5-2132 	 3266	02 42 35.906	-21 32 26.30	 11.9	I3	 0.3140	 5.58	     	MCS J0242.5-2132       	NED
     207	MACS J0257.1-2325 	 1654	02 57 09.130	-23 26 05.85	 19.8	I3	 0.5053	10.50	     	MCS J0257.1-2325       	NED
     208	MACS J0257.1-2325 	 3581	02 57 09.130	-23 26 05.85	 18.5	I3	 0.5053	10.50	     	MCS J0257.1-2325       	NED
     209	MACS J0257.6-2209 	 3267	02 57 41.024	-22 09 11.12	 20.5	I3	 0.3224	 8.02	     	MCS J0257.6-2209       	NED
     210	MACS J0308.9+2645 	 3268	03 08 55.927	+26 45 38.34	 24.4	I3	 0.3240	10.54	     	MCS J0308.9+2645       	NED
     211	MACS J0329.6-0211 	 3257	03 29 41.681	-02 11 47.67	  9.9	I3	 0.4500	 5.20	     	MCS J0329.6-0211       	NED
     212	MACS J0329.6-0211 	 3582	03 29 41.681	-02 11 47.67	 19.9	I3	 0.4500	 5.20	     	MCS J0329.6-0211       	NED
     213	MACS J0329.6-0211 	 6108	03 29 41.681	-02 11 47.67	 39.6	I3	 0.4500	 5.20	     	MCS J0329.6-0211       	NED
     214	MACS J0417.5-1154 	 3270	04 17 34.686	-11 54 32.71	 12.0	I3	 0.4400	11.07	     	MCS J0417.5-1154       	NED
     215	MACS J0429.6-0253 	 3271	04 29 36.088	-02 53 09.02	 23.2	I3	 0.3990	 5.66	     	MCS J0429.6-0253       	NED
     216	MACS J0520.7-1328 	 3272	05 20 42.052	-13 28 49.38	 19.2	I3	 0.3398	 6.27	     	MCS J0520.7-1328       	NED
     217	MACS J0547.0-3904 	 3273	05 47 01.582	-39 04 28.24	 21.7	I3	 0.2100	 3.58	e    	MCS J0547.0-3904       	NED
     218	MACS J0717.5+3745 	 1655	07 17 31.654	+37 45 18.52	 19.9	I3	 0.5480	10.50	     	MCS J0717.5+3745       	NED
     219	MACS J0717.5+3745 	 4200	07 17 31.654	+37 45 18.52	 59.2	I3	 0.5480	10.50	     	MCS J0717.5+3745       	NED
     220	MACS J0744.8+3927 	 3197	07 44 52.802	+39 27 24.41	 20.2	I3	 0.6860	11.29	     	MCS J0744.8+3927       	NED
     221	MACS J0744.8+3927 	 3585	07 44 52.802	+39 27 24.41	 19.9	I3	 0.6860	11.29	     	MCS J0744.8+3927       	NED
     222	MACS J0744.8+3927 	 6111	07 44 52.802	+39 27 24.41	 49.5	I3	 0.6860	11.29	     	MCS J0744.8+3927       	NED
     223	MACS J1115.2+5320 	 3253	11 15 15.632	+53 20 03.31	  8.8	I3	 0.4390	 8.03	     	ClG J1115+5319         	NED
     224	MACS J1115.2+5320 	 5008	11 15 15.632	+53 20 03.31	 18.0	I3	 0.4390	 8.03	     	ClG J1115+5319         	NED
     225	MACS J1115.2+5320 	 5350	11 15 15.632	+53 20 03.31	  6.9	I3	 0.4390	 8.03	     	ClG J1115+5319         	NED
     226	MACS J1115.8+0129 	 3275	11 15 52.048	+01 29 56.56	 15.9	I3	 0.1200	 6.78	     	MCS J1115.8+0129       	NED
     227	MACS J1131.8-1955 	 3276	11 31 54.580	-19 55 44.54	 13.9	I3	 0.3070	 8.64	     	MCS J1131.8-1955       	NED
     228	MACS J1149.5+2223 	 1656	11 49 35.856	+22 23 55.02	 18.5	I3	 0.5440	 8.40	     	MCS J1149.5+2223       	NED
     229	MACS J1149.5+2223 	 3589	11 49 35.856	+22 23 55.02	 20.0	I3	 0.5440	 8.40	     	MCS J1149.5+2223       	NED
     230	MACS J1206.2-0847 	 3277	12 06 12.276	-08 48 02.40	 23.5	I3	 0.4400	10.21	     	MCS J1206.2-0847       	NED
     231	MACS J1311.0-0310 	 3258	13 11 01.665	-03 10 39.50	 14.9	I3	 0.4940	 5.60	     	MCS J1311.0-0310       	NED
     232	MACS J1311.0-0310 	 6110	13 11 01.665	-03 10 39.50	 63.2	I3	 0.4940	 5.60	     	MCS J1311.0-0310       	NED
     233	MACS J1621.3+3810 	 3254	16 21 24.801	+38 10 08.65	  9.8	I3	 0.4610	 7.53	     	MCS J1621.3+3810       	NED
     234	MACS J1621.3+3810 	 3594	16 21 24.801	+38 10 08.65	 19.7	I3	 0.4610	 7.53	     	MCS J1621.3+3810       	NED
     235	MACS J1621.3+3810 	 6109	16 21 24.801	+38 10 08.65	 37.5	I3	 0.4610	 7.53	     	MCS J1621.3+3810       	NED
     236	MACS J1621.3+3810 	 6172	16 21 24.801	+38 10 08.65	 29.8	I3	 0.4610	 7.53	     	MCS J1621.3+3810       	NED
     237	MACS J1931.8-2634 	 3282	19 31 49.656	-26 34 33.99	 13.6	I3	 0.3520	 6.97	e    	MCS J1931.8-2635       	NED
     238	MACS J2049.9-3217 	 3283	20 49 56.245	-32 16 52.30	 23.8	I3	 0.3254	 6.98	     	MCS J2049.9-3217       	NED
     239	MACS J2211.7-0349 	 3284	22 11 45.856	-03 49 37.24	 17.7	I3	 0.2700	11.30	     	RXC J2211.7-0350       	NED
     240	MACS J2214.9-1359 	 3259	22 14 57.467	-14 00 09.35	 19.5	I3	 0.5026	 8.80	     	MCS J2214.9-1359       	NED
     241	MACS J2214.9-1359 	 5011	22 14 57.467	-14 00 09.35	 18.5	I3	 0.5026	 8.80	     	MCS J2214.9-1359       	NED
     242	MACS J2228.5+2036 	 3285	22 28 33.872	+20 37 18.31	 19.9	I3	 0.4120	 7.86	     	MCS J2228.5+2036       	NED
     243	MACS J2229.7-2755 	 3286	22 29 45.358	-27 55 38.41	 16.4	I3	 0.3240	 5.01	     	MCS J2229.7-2755       	NED
     244	MACS J2245.0+2637 	 3287	22 45 04.657	+26 38 03.46	 16.9	I3	 0.3040	 6.06	     	MCS J2245.0+2637       	NED
     245	MKW3S             	  900	15 21 51.930	+07 42 31.97	 57.3	I3	 0.0450	 2.18	     	MKW3S                  	NED
     246	MKW 4             	 3234	12 04 27.218	+01 53 42.79	 30.0	S3	 0.0198	 2.06	     	MKW 4                  	NED
     247	MKW 8             	 4942	14 40 39.633	+03 28 13.61	 23.1	I3	 0.0270	 3.29	a,b  	MKW 8                  	NED
     248	MS J0016.9+1609   	  520	00 18 33.503	+16 26 12.99	 67.4	I3	 0.5410	 8.94	     	1E 0015.9+1609         	NED
     249	MS J0116.3-0115   	 4963	01 18 53.944	-01 00 07.54	 39.3	S3	 0.0452	 1.84	     	NAME UGC 842 GROUP     	NED
     250	MS J0440.5+0204   	 4196	04 43 09.952	+02 10 18.70	 59.4	S3	 0.1900	 5.46	     	1E 0440.5+0204         	NED
     251	MS J0451.6-0305   	  902	04 54 11.004	-03 00 52.19	 44.2	S3	 0.5386	 8.90	     	1E 0451.6-0305         	NED
     252	MS J0735.6+7421   	 4197	07 41 44.245	+74 14 38.23	 45.5	S3	 0.2160	 5.55	     	1E 0735.6+7421         	NED
     253	MS J0839.8+2938   	 2224	08 42 55.969	+29 27 26.97	 29.8	S3	 0.1940	 4.68	     	1E 0839.8+2938         	NED
     254	MS J0906.5+1110   	  924	09 09 12.753	+10 58 32.00	 29.7	I3	 0.1630	 5.38	     	1E 0906.5+1110         	NED
     255	MS J1006.0+1202   	  925	10 08 47.462	+11 47 36.31	 29.4	I3	 0.2210	 5.61	     	1E 1006.0+1202         	NED
     256	MS J1008.1-1224   	  926	10 10 32.312	-12 39 56.80	 44.2	I3	 0.3010	 7.45	     	1E 1008.1-1224         	NED
     257	MS J1455.0+2232   	 4192	14 57 15.088	+22 20 32.49	 91.9	I3	 0.2590	 4.77	     	1E 1455.0+2232         	NED
     258	MS J2137.3-2353   	 4974	21 40 15.178	-23 39 40.71	 57.4	S3	 0.3130	 6.01	     	1E 2137.3-2353         	NED
     259	MS J1157.3+5531   	 4964	11 59 52.295	+55 32 05.61	 75.1	S3	 0.0810	 3.28	b    	1E 1157.3+5548         	NED
     260	NGC 507           	 2882	01 23 39.905	+33 15 21.73	 43.6	I3	 0.0164	 1.40	c    	NAME NGC 507 GROUP     	NED
     261	NGC 4636          	 3926	12 42 49.856	+02 41 15.86	 74.7	I3	 0.0031	 0.66	c    	NAME NGC 4636 GROUP    	NED
     262	NGC 4636          	 4415	12 42 49.856	+02 41 15.86	 74.4	I3	 0.0031	 0.66	c    	NAME NGC 4636 GROUP    	NED
     263	NGC 5044          	 3225	13 15 23.947	-16 23 07.62	 83.1	S3	 0.0090	 1.22	c    	NAME NGC 5044 GROUP    	NED
     264	NGC 5044          	 3664	13 15 23.947	-16 23 07.62	 61.3	S3	 0.0090	 1.22	c    	NAME NGC 5044 GROUP    	NED
     265	NGC 5813          	 5907	15 01 11.260	+01 42 07.23	 48.4	S3	 0.0066	 0.76	c    	NAME NGC 5813 GROUP    	NED
     266	NGC 5846          	  788	15 06 29.289	+01 36 20.13	 29.9	S3	 0.0057	 0.64	c    	NAME NGC 5846 GROUP    	NED
     267	Ophiuchus         	 3200	17 12 27.731	-23 22 06.74	 50.5	S3	 0.0280	11.12	     	NAME OPHIUCHUS CLUSTER 	NED
     268	PKS 0745-191      	 2427	07 47 31.436	-19 17 39.78	 17.9	S3	 0.1028	 8.50	     	PKS 0745-191           	NED
     269	PKS 0745-191      	  508	07 47 31.436	-19 17 39.78	 28.0	S3	 0.1028	 8.50	     	PKS 0745-191           	NED
     270	PKS 0745-191      	 6103	07 47 31.436	-19 17 39.78	 10.3	I3	 0.1028	 8.50	     	PKS 0745-191           	NED
     271	RBS 461           	 4182	03 41 17.490	+15 23 54.66	 23.4	I3	 0.0290	 2.60	a,e  	RBS 461                	NED
     272	RBS 533           	 3186	04 19 38.105	+02 24 35.54	 10.0	I3	 0.0123	 1.29	     	RBS 533                	NED
     273	RBS 533           	 3187	04 19 38.105	+02 24 35.54	  9.6	I3	 0.0123	 1.29	     	RBS 533                	NED
     274	RBS 533           	 5800	04 19 38.105	+02 24 35.54	 44.5	S3	 0.0123	 1.29	     	RBS 533                	NED
     275	RBS 533           	 5801	04 19 38.105	+02 24 35.54	 44.4	S3	 0.0123	 1.29	     	RBS 533                	NED
     276	RBS 797           	 2202	09 47 12.693	+76 23 13.40	 11.7	I3	 0.3540	 7.68	d    	RBS 797                	NED
     277	RBS 797           	 7902	09 47 12.693	+76 23 13.40	 38.3	S3	 0.3540	 7.68	d    	RBS 797                	NED
     278	RCS J2327-0204    	 7355	23 27 27.524	-02 04 39.01	 24.7	S3	 0.2000	 7.06	     	RCS J2327-0204         	NED
     279	RX J0220.9-3829   	 9411	02 20 56.582	-38 28 51.21	 19.9	I3	 0.2287	 5.02	     	RXC J0220.9-3829       	NED
     280	RX J0232.2-4420   	 4993	02 32 18.771	-44 20 46.68	 23.4	I3	 0.2836	 7.83	     	RXC J0232.2-4420       	NED
     281	RX J0439+0520     	  527	04 39 02.218	+05 20 43.11	  9.6	I3	 0.2080	 4.60	     	RX J0439.0+0520        	NED
     282	RX J0439.0+0715   	 1449	04 39 00.710	+07 16 07.65	  6.3	I3	 0.2300	 6.50	     	RX J0439.0+0715        	NED
     283	RX J0439.0+0715   	 3583	04 39 00.710	+07 16 07.65	 19.2	I3	 0.2300	 6.50	     	RX J0439.0+0715        	NED
     284	RX J0528.9-3927   	 4994	05 28 53.039	-39 28 15.53	 22.5	I3	 0.2632	 7.89	     	1RXS J052855.9-392802  	NED
     285	RX J0647.7+7015   	 3196	06 47 50.029	+70 14 49.66	 19.3	I3	 0.5840	 9.07	     	ClG J0647+7015         	NED
     286	RX J0647.7+7015   	 3584	06 47 50.029	+70 14 49.66	 20.0	I3	 0.5840	 9.07	     	ClG J0647+7015         	NED
     287	RX J0819.6+6336   	 2199	08 19 26.007	+63 37 26.53	 14.9	S3	 0.1190	 3.87	     	NSC J081936+633829     	NED
     288	RX J1000.4+4409   	 9421	10 00 32.024	+44 08 39.69	 18.5	I3	 0.1540	 3.42	     	RX J1000.4+4409        	NED
     289	RX J1022.1+3830   	 6942	10 22 10.034	+38 31 23.54	 41.5	S3	 0.0491	 3.04	f    	RX J1022.1+3830        	NED
     290	RX J1130.0+3637   	 6945	11 30 02.789	+36 38 08.26	 49.4	S3	 0.0600	 2.00	     	RXC J1130.0+3637       	NED
     291	RX J1320.2+3308   	 6941	13 20 14.650	+33 08 33.06	 38.6	S3	 0.0366	 1.01	e    	RX J1320.1+3308        	NED
     292	RX J1347.5-1145   	 3592	13 47 30.593	-11 45 10.05	 57.7	I3	 0.4510	10.88	     	RX J1347.5-1145        	NED
     293	RX J1347.5-1145   	  507	13 47 30.593	-11 45 10.05	 10.0	S3	 0.4510	10.88	     	RX J1347.5-1145        	NED
     294	RX J1423.8+2404   	 1657	14 23 47.759	+24 04 40.45	 18.5	I3	 0.5450	 5.92	     	RX J1423.8+2404        	NED
     295	RX J1423.8+2404   	 4195	14 23 47.759	+24 04 40.45	115.6	S3	 0.5450	 5.92	     	RX J1423.8+2404        	NED
     296	RX J1504.1-0248   	 5793	15 04 07.415	-02 48 15.70	 39.2	I3	 0.2150	 8.00	     	RXC J1504.1-0248       	NED
     297	RX J1532.9+3021   	 1649	15 32 53.781	+30 20 58.72	  9.4	I3	 0.3450	 5.44	     	RXC J1532.9+3021       	NED
     298	RX J1532.9+3021   	 1665	15 32 53.781	+30 20 58.72	 10.0	S3	 0.3450	 5.44	     	RXC J1532.9+3021       	NED
     299	RX J1539.5-8335   	 8266	15 39 32.485	-83 35 23.83	  8.0	I3	 0.0728	 4.29	     	RXC J1539.5-8335       	NED
     300	RX J1720.1+2638   	 4361	17 20 09.941	+26 37 29.11	 25.7	I3	 0.1640	 6.37	     	RX J1720.1+2638        	NED
     301	RX J1720.2+3536   	 3280	17 20 16.953	+35 36 23.63	 20.8	I3	 0.3913	 5.65	     	RX J1720.2+3536        	NED
     302	RX J1720.2+3536   	 6107	17 20 16.953	+35 36 23.63	 33.9	I3	 0.3913	 5.65	     	RX J1720.2+3536        	NED
     303	RX J1720.2+3536   	 7225	17 20 16.953	+35 36 23.63	  2.0	I3	 0.3913	 5.65	     	RX J1720.2+3536        	NED
     304	RX J1852.1+5711   	 5749	18 52 08.815	+57 11 42.63	 29.8	I3	 0.1094	 3.66	     	RX J1852.1+5711        	NED
     305	RX J2129.6+0005   	  552	21 29 39.944	+00 05 18.83	 10.0	I3	 0.2350	 5.91	     	RX J2129.6+0005        	NED
     306	RXCJ0331.1-2100   	10790	03 31 06.020	-21 00 32.93	 10.0	I3	 0.1880	 4.61	     	1RXS J033107.6-210015  	NED
     307	RXCJ0331.1-2100   	 9415	03 31 06.020	-21 00 32.93	  9.9	I3	 0.1880	 4.61	     	1RXS J033107.6-210015  	NED
     308	SC 1327-312       	 4165	13 29 47.748	-31 36 23.54	 18.4	I3	 0.0531	 3.53	f    	SC 1327-31.2           	NED
     309	Sersic 159-03     	 1668	23 13 58.764	-42 43 34.70	  9.9	S3	 0.0580	 2.65	     	Sersic 159-03          	NED
     310	SS2B153           	 3243	10 50 26.125	-12 50 41.76	 29.5	S3	 0.0186	 0.80	     	RASSCALS SS2b153       	NED
     311	UGC 3957          	 8265	07 40 58.335	+55 25 38.30	  7.9	I3	 0.0341	 2.85	     	NAME UGC 3957 group    	NED
     312	UGC 12491         	 7896	23 18 38.311	+42 57 29.06	 32.7	S3	 0.0174	 0.87	     	CIZA J2318.6+4257      	NED
     313	ZWCL 1215         	 4184	12 17 41.708	+03 39 15.81	 12.1	I3	 0.0750	 6.62	     	ZWCL 1215              	NED
     314	ZWCL 1358+6245    	  516	13 59 50.526	+62 31 04.57	 54.1	S3	 0.3280	10.66	     	ZWCL 1358+6245         	NED
     315	ZWCL 1742         	 8267	17 44 14.515	+32 59 29.68	  8.0	I3	 0.0757	 4.40	     	ZwCl 1742+3306         	NED
     316	ZWCL 1953         	 1659	08 50 06.677	+36 04 16.16	 24.9	I3	 0.3800	 7.37	     	ZWCL 1953              	NED
     317	ZWCL 3146         	  909	10 23 39.735	+04 11 08.05	 46.0	I3	 0.2900	 7.48	     	ZWCL 3146              	NED
     318	ZWCL 7160         	  543	14 57 15.158	+22 20 33.85	  9.9	I3	 0.2578	 4.53	     	ZWCL 7160              	NED
     319	Zwicky 2701       	 3195	09 52 49.183	+51 53 05.27	 26.9	S3	 0.2100	 5.21	     	ZwCl 2701              	NED
     320	ZwCl 0857.9+2107  	 7897	09 00 36.835	+20 53 40.36	  9.0	I3	 0.2350	 4.29	e    	ZwCl 0857+2107         	NED

