#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:22:15 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:22:15	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2bA/534/A109/mcxc&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35340109
#Name: J/A+A/534/A109
#Title: MCXC Meta-Catalogue X-ray galaxy Clusters (Piffaretti+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	creator=Piffaretti R.	    First author or institution
#INFO	cites=bibcode:2011A&A...534A.109P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/534/A109	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35340109	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_534_A109_mcxc:
#Name: J/A+A/534/A109/mcxc
#Title: MCXC catalogue (table2 of the paper)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MCXC	(A12)	MCXC name (JHHMM.m+DDMM)	[ucd=meta.id;meta.main]
#Column	OName	(a18)	Other name	[ucd=meta.id]
#Column	AName	(a54)	Alternative name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	Cat	(a12)	Catalogue name	[ucd=meta.id;meta.table]
#Column	Sub-Cat	(a12)	Sub-catalogue name	[ucd=meta.id;meta.dataset]
#Column	Scale	(F6.3)	Scale	[ucd=instr.scale]
#Column	L500	(F9.6)	X-ray luminosity in 10^44^erg/s (1)	[ucd=phys.luminosity;em.X-ray]
#Column	M500	(F7.4)	Total mass (1)	[ucd=phys.mass]
#Column	R500	(F7.4)	Characteristic radius (1)	[ucd=phys.size.radius]
#Column	Notes	(a42)	Notes (losStr = line of sight structure)	[ucd=meta.note]
#Column	Cat1	(a12)	First overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat2	(a12)	Second overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat3	(a12)	Third overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	Cat4	(a12)	Fourth overlapped catalog	[ucd=meta.id;meta.dataset]
#Column	L500r1	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for first catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r2	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for second catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r3	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for third catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	L500r4	(F6.3)	? Luminosity ratio L_500_/L_(500,MCXC)_ for fourth catalogue overlapped	[ucd=phys.luminosity;arith.ratio]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	MCXC	OName	AName	RAJ2000	DEJ2000	z	Cat	Sub-Cat	Scale	L500	M500	R500	Notes	Cat1	Cat2	Cat3	Cat4	L500r1	L500r2	L500r3	L500r4	Simbad
     244	J0305.3+1728	MS0302.5+1717     	                                                      	03 05 18.2	+17 28 24	 0.4249	EMSS        	EMSS_2004   	 5.571	 1.897601	 2.1915	 0.7888	                                          	            	            	            	            	      	      	      	      	Simbad
     245	J0305.5+1710	MS0302.7+1658     	                                                      	03 05 31.7	+17 10 03	 0.4246	EMSS        	EMSS_2004   	 5.569	 2.187326	 2.3904	 0.8120	                                          	            	            	            	            	      	      	      	      	Simbad
     246	J0306.4-0943	BVH2007 35        	IC1880                                                	03 06 28.7	-09 43 50	 0.0342	400SD       	400SD_SER   	 0.681	 0.042077	 0.2893	 0.4617	                                          	            	            	            	            	      	      	      	      	Simbad
     247	J0307.0-2840	RXCJ0307.0-2840   	A3088                                                 	03 07 04.1	-28 40 14	 0.2537	NORAS/REFLEX	REFLEX      	 3.953	 6.258801	 5.2091	 1.1231	                                          	SGP         	            	            	            	 0.971	      	      	      	Simbad
     248	J0307.0-0628	BVH2007 36        	                                                      	03 07 04.7	-06 28 51	 0.3470	400SD       	400SD_SER   	 4.912	 3.027811	 3.1062	 0.9129	                                          	            	            	            	            	      	      	      	      	Simbad
     249	J0308.9+2645	MACSJ0308.9+2645  	                                                      	03 08 56.0	+26 45 35	 0.3560	MACS        	MACS_BRIGHT 	 4.994	14.700000	16.4000	 1.5800	                                          	            	            	            	            	      	      	      	      	Simbad
     250	J0311.4-2653	RXCJ0311.4-2653   	A3094                                                 	03 11 25.0	-26 53 59	 0.0685	NORAS/REFLEX	REFLEX      	 1.310	 0.334315	 1.0004	 0.6907	                                          	SGP         	            	            	            	 0.907	      	      	      	Simbad
     251	J0311.5+0714	RXC J0311.5+0714  	                                                      	03 11 35.8	+07 14 17	 0.1420	NORAS/REFLEX	NORAS       	 2.497	 1.004167	 1.8571	 0.8284	?                                         	            	            	            	            	      	      	      	      	Simbad
     252	J0313.3+2624	RXC J0313.3+2624  	                                                      	03 13 22.5	+26 24 24	 0.1649	NORAS/REFLEX	NORAS       	 2.827	 1.212633	 2.0487	 0.8493	                                          	            	            	            	            	      	      	      	      	Simbad
     253	J0313.6-3817	RXC J0313.6-3817  	A3098                                                 	03 13 38.0	-38 17 55	 0.0833	SGP         	SGP         	 1.566	 0.356274	 1.0294	 0.6940	                                          	            	            	            	            	      	      	      	      	Simbad
     254	J0314.3-4525	RXCJ0314.3-4525   	A3104                                                 	03 14 19.8	-45 25 27	 0.0718	NORAS/REFLEX	REFLEX      	 1.368	 1.027456	 1.9792	 0.8662	                                          	SGP         	            	            	            	 0.899	      	      	      	Simbad
     255	J0317.9-4414	RXCJ0317.9-4414   	A3112                                                 	03 17 58.5	-44 14 20	 0.0752	NORAS/REFLEX	REFLEX      	 1.427	 3.815928	 4.3948	 1.1288	                                          	SGP         	            	            	            	 0.933	      	      	      	Simbad
     256	J0318.2-0301	RX J0318.2-0301   	BS RXJ0318.2-0301                                     	03 18 17.5	-03 01 14	 0.3700	SHARC       	SHARC_SOUTH 	 5.119	 0.962945	 1.5161	 0.7125	                                          	            	            	            	            	      	      	      	      	Simbad
     257	J0318.5-0302	BVH2007 37        	BS RXJ0318.5-0302                                     	03 18 33.4	-03 02 56	 0.3700	400SD       	400SD_SER   	 5.119	 2.699017	 2.8422	 0.8786	                                          	SHARC_BRIGHT	SHARC_SOUTH 	            	            	 1.075	 1.127	      	      	Simbad
     258	J0319.7+4130	RXC J0319.7+4130  	A0426                                                 	03 19 47.2	+41 30 47	 0.0179	CIZA        	CIZAI       	 0.364	 6.217359	 6.1508	 1.2856	                                          	            	            	            	            	      	      	      	      	Simbad
     259	J0320.3-4259	BVH2007 38        	                                                      	03 20 18.1	-42 59 13	 0.1580	400SD       	400SD_SER   	 2.729	 0.294843	 0.8694	 0.6397	                                          	            	            	            	            	      	      	      	      	Simbad
     260	J0320.6-4311	BVH2007 39        	S0343                                                 	03 20 37.8	-43 11 52	 0.1490	400SD       	400SD_SER   	 2.600	 0.226144	 0.7445	 0.6094	                                          	            	            	            	            	      	      	      	      	Simbad
     261	J0321.9-5119	RX J0321.9-5119   	A3120                                                 	03 21 57.0	-51 19 33	 0.0696	SHARC       	SHARC_BRIGHT	 1.330	 0.309916	 0.9545	 0.6797	                                          	            	            	            	            	      	      	      	      	Simbad
     262	J0322.2-5310	RXCJ0322.2-5310   	APMCC391                                              	03 22 12.7	-53 10 41	 0.0797	NORAS/REFLEX	REFLEX      	 1.505	 0.454206	 1.1966	 0.7305	                                          	EMSS_1994   	            	            	            	 1.251	      	      	      	Simbad
     263	J0322.3-4121	RXCJ0322.3-4121   	A3122                                                 	03 22 18.6	-41 21 34	 0.0643	NORAS/REFLEX	REFLEX      	 1.236	 0.593611	 1.4238	 0.7780	                                          	            	            	            	            	      	      	      	      	Simbad
     264	J0322.3-4918	BVH2007 NS 1      	VMF98 32, S0346                                       	03 22 20.5	-49 18 42	 0.0670	400SD       	400SD_NONSER	 1.284	 0.065549	 0.3708	 0.4964	                                          	160SD       	            	            	            	 1.019	      	      	      	Simbad
     265	J0322.9-1338	BVH2007 40        	                                                      	03 22 59.4	-13 38 15	 0.3340	400SD       	400SD_SER   	 4.790	 1.006899	 1.6041	 0.7361	                                          	            	            	            	            	      	      	      	      	Simbad
     266	J0323.9-1916	BVH2007 41        	                                                      	03 23 59.5	-19 16 34	 0.3320	400SD       	400SD_SER   	 4.771	 1.530195	 2.0738	 0.8025	                                          	            	            	            	            	      	      	      	      	Simbad
     267	J0327.9+0233	BVH2007 42        	UGC02748                                              	03 27 54.5	+02 33 47	 0.0302	400SD       	400SD_SER   	 0.605	 0.029697	 0.2346	 0.4311	                                          	            	            	            	            	      	      	      	      	Simbad
     268	J0328.6-2140	BVH2007 43        	                                                      	03 28 36.1	-21 40 04	 0.5900	400SD       	400SD_SER   	 6.633	 3.509710	 2.7751	 0.7996	                                          	            	            	            	            	      	      	      	      	Simbad
     269	J0328.6-5542	RXCJ0328.6-5542   	A3126                                                 	03 28 37.5	-55 42 46	 0.0853	NORAS/REFLEX	REFLEX      	 1.600	 1.467361	 2.4368	 0.9243	                                          	            	            	            	            	      	      	      	      	Simbad
     270	J0329.6-0211	MACSJ0329.6-0211  	MCS  J0329.6-0211                                     	03 29 41.5	-02 11 46	 0.4500	MACS        	MACS_MJFV   	 5.759	13.573036	 4.4622	 0.9900	                                          	            	            	            	            	      	      	      	      	Simbad
     271	J0330.0-5235	RXCJ0330.0-5235   	A3128                                                 	03 30 00.7	-52 35 46	 0.0624	NORAS/REFLEX	REFLEX      	 1.202	 1.101682	 2.0786	 0.8831	DL,two maxima/NE-SW                       	            	            	            	            	      	      	      	      	Simbad
     272	J0331.1-2100	RXCJ0331.1-2100   	                                                      	03 31 07.3	-21 00 12	 0.1880	NORAS/REFLEX	REFLEX      	 3.142	 3.817746	 4.0524	 1.0575	X *                                       	            	            	            	            	      	      	      	      	Simbad
     273	J0331.9-4524	BVH2007 NS 2      	                                                      	03 31 59.4	-45 24 24	 0.0671	400SD       	400SD_NONSER	 1.286	 0.026910	 0.2155	 0.4142	                                          	            	            	            	            	      	      	      	      	Simbad
     274	J0332.2-2910	BVH2007 44        	                                                      	03 32 13.5	-29 10 39	 0.1500	400SD       	400SD_SER   	 2.614	 0.421145	 1.0869	 0.6911	                                          	            	            	            	            	      	      	      	      	Simbad
     275	J0333.0-3913	RX J0333.0-3914   	                                                      	03 33 05.6	-39 13 49	 0.2450	SHARC       	SHARC_SOUTH 	 3.852	 0.119042	 0.4682	 0.5047	                                          	            	            	            	            	      	      	      	      	Simbad
     276	J0333.1-2456	BVH2007 45        	                                                      	03 33 10.2	-24 56 41	 0.4750	400SD       	400SD_SER   	 5.937	 2.430499	 2.4442	 0.8021	                                          	            	            	            	            	      	      	      	      	Simbad
     277	J0334.0-3900	BVH2007 46        	A3135                                                 	03 34 03.7	-39 00 49	 0.0623	400SD       	400SD_SER   	 1.200	 0.059841	 0.3519	 0.4885	                                          	SHARC_SOUTH 	            	            	            	 2.186	      	      	      	Simbad
     278	J0334.9-5342	RXCJ0334.9-5342   	APMCC421                                              	03 34 56.2	-53 42 08	 0.0619	NORAS/REFLEX	REFLEX      	 1.193	 0.287080	 0.9158	 0.6721	                                          	            	            	            	            	      	      	      	      	Simbad
     279	J0336.3-4037	RXCJ0336.3-4037   	A3140                                                 	03 36 18.7	-40 37 20	 0.1729	NORAS/REFLEX	REFLEX      	 2.938	 4.122744	 4.2950	 1.0839	                                          	            	            	            	            	      	      	      	      	Simbad
     280	J0336.3-0347	RXCJ0336.3-0347   	                                                      	03 36 22.8	-03 47 29	 0.1595	NORAS/REFLEX	REFLEX      	 2.751	 2.299077	 3.0382	 0.9703	X *                                       	            	            	            	            	      	      	      	      	Simbad
     281	J0336.8-2804	BVH2007 47        	A3141                                                 	03 36 49.4	-28 04 53	 0.1050	400SD       	400SD_SER   	 1.925	 0.381559	 1.0571	 0.6952	                                          	            	            	            	            	      	      	      	      	Simbad
     282	J0337.0-3949	RXCJ0337.0-3949   	A3142                                                 	03 37 00.0	-39 49 12	 0.1030	NORAS/REFLEX	REFLEX      	 1.893	 0.820253	 1.6881	 0.8131	losStr                                    	            	            	            	            	      	      	      	      	Simbad
     283	J0337.7-2522	RX J0337.7-2522   	VMF98 33                                              	03 37 44.9	-25 22 39	 0.5850	160SD       	160SD       	 6.607	 0.694751	 1.0380	 0.5773	RDCS/SSHARC                               	SHARC_SOUTH 	            	            	            	 1.517	      	      	      	Simbad
     284	J0338.1-2256	BVH2007 48        	                                                      	03 38 11.8	-22 56 24	 0.1730	400SD       	400SD_SER   	 2.940	 0.207830	 0.6947	 0.5906	                                          	            	            	            	            	      	      	      	      	Simbad
     285	J0338.4-3526	RXCJ0338.4-3526   	FORNAX                                                	03 38 27.9	-35 26 54	 0.0051	NORAS/REFLEX	REFLEX      	 0.105	 0.019681	 0.1855	 0.4017	B,losStr                                  	            	            	            	            	      	      	      	      	Simbad
     286	J0338.6+0958	RXC J0338.6+0958  	2A0335                                                	03 38 40.8	+09 58 28	 0.0347	NORAS/REFLEX	NORAS       	 0.691	 2.452387	 3.4496	 1.0547	                                          	BCS         	            	            	            	 1.059	      	      	      	Simbad
     287	J0339.4-3313	BVH2007 49        	A3150                                                 	03 39 24.3	-33 13 09	 0.2690	400SD       	400SD_SER   	 4.124	 1.038229	 1.7212	 0.7721	                                          	            	            	            	            	      	      	      	      	Simbad
     288	J0340.1-5503	RXCJ0340.1-5503   	IC 1987                                               	03 40 08.6	-55 03 14	 0.0464	NORAS/REFLEX	REFLEX      	 0.911	 0.181068	 0.6987	 0.6171	L                                         	            	            	            	            	      	      	      	      	Simbad
     289	J0340.1-1835	RXCJ0340.1-1835   	NGC1407                                               	03 40 11.4	-18 35 15	 0.0056	NORAS/REFLEX	REFLEX      	 0.115	 0.002826	 0.0568	 0.2707	                                          	            	            	            	            	      	      	      	      	Simbad
     290	J0340.4-2840	BVH2007 50        	A3151                                                 	03 40 27.2	-28 40 20	 0.0680	400SD       	400SD_SER   	 1.302	 0.291700	 0.9209	 0.6720	                                          	            	            	            	            	      	      	      	      	Simbad
     291	J0340.6-0239	RXCJ0340.6-0239   	                                                      	03 40 41.8	-02 39 57	 0.0352	NORAS/REFLEX	REFLEX      	 0.700	 0.220850	 0.7946	 0.6464	                                          	            	            	            	            	      	      	      	      	Simbad
     292	J0340.8-4542	RXCJ0340.8-4542   	RBS 0459                                              	03 40 49.3	-45 42 19	 0.0698	NORAS/REFLEX	REFLEX      	 1.333	 0.452149	 1.2015	 0.7339	                                          	            	            	            	            	      	      	      	      	Simbad
     293	J0340.8-2823	BVH2007 51        	                                                      	03 40 51.6	-28 23 10	 0.3460	400SD       	400SD_SER   	 4.903	 1.635278	 2.1352	 0.8060	                                          	            	            	            	            	      	      	      	      	Simbad
     294	J0341.2+1524	RXC J0341.2+1524  	RXJ0341.3+1524                                        	03 41 16.9	+15 24 27	 0.0311	NORAS/REFLEX	NORAS       	 0.622	 0.391810	 1.1301	 0.7279	                                          	BCS         	            	            	            	 1.009	      	      	      	Simbad
     295	J0341.9-4500	RX J0341.9-4500   	VMF98 34                                              	03 41 57.1	-45 00 11	 0.4080	160SD       	160SD       	 5.438	 0.149877	 0.4727	 0.4761	RDCS                                      	            	            	            	            	      	      	      	      	Simbad
     296	J0342.8-5338	RXCJ0342.8-5338   	A3158                                                 	03 42 53.9	-53 38 07	 0.0590	NORAS/REFLEX	REFLEX      	 1.141	 2.764920	 3.6513	 1.0667	L,losStr                                  	            	            	            	            	      	      	      	      	Simbad
     297	J0345.7-4112	RXCJ0345.7-4112   	S0384                                                 	03 45 45.7	-41 12 27	 0.0603	NORAS/REFLEX	REFLEX      	 1.165	 0.489851	 1.2699	 0.7498	                                          	            	            	            	            	      	      	      	      	Simbad
     298	J0345.9-2416	RXCJ0345.9-2416   	A0458                                                 	03 45 56.0	-24 16 49	 0.1057	NORAS/REFLEX	REFLEX      	 1.937	 1.462214	 2.3970	 0.9131	                                          	            	            	            	            	      	      	      	      	Simbad
     299	J0346.1-5702	RXCJ0346.1-5702   	A3164                                                 	03 46 09.6	-57 03 00	 0.0570	NORAS/REFLEX	REFLEX      	 1.105	 0.537529	 1.3469	 0.7655	L                                         	            	            	            	            	      	      	      	      	Simbad
     300	J0347.0-2900	RXCJ0347.0-2900   	A3165                                                 	03 47 00.2	-29 00 13	 0.1419	NORAS/REFLEX	REFLEX      	 2.496	 1.970979	 2.8018	 0.9502	                                          	            	            	            	            	      	      	      	      	Simbad
     301	J0348.1-1201	WARP J0348.1-1201 	                                                      	03 48 08.7	-12 01 34	 0.4880	WARPS       	WARPS       	 6.025	 1.151450	 1.5331	 0.6831	                                          	            	            	            	            	      	      	      	      	Simbad
     302	J0348.3-3328	BVH2007 52        	A3169                                                 	03 48 22.4	-33 28 33	 0.1650	400SD       	400SD_SER   	 2.828	 1.076854	 1.9055	 0.8290	                                          	            	            	            	            	      	      	      	      	Simbad
     303	J0350.7-3801	BVH2007 53        	                                                      	03 50 43.9	-38 01 25	 0.3630	400SD       	400SD_SER   	 5.057	 1.650428	 2.1178	 0.7986	see 400SD paper Sec. 4.1                  	            	            	            	            	      	      	      	      	Simbad
     304	J0351.1-8212	RXCJ0351.1-8212   	S0405                                                 	03 51 08.9	-82 13 00	 0.0613	NORAS/REFLEX	REFLEX      	 1.183	 1.200899	 2.1924	 0.8992	L                                         	            	            	            	            	      	      	      	      	Simbad
     305	J0351.6-3649	RX J0351.6-3649   	VMF98 35                                              	03 51 37.8	-36 49 50	 0.3720	160SD       	160SD       	 5.136	 0.580530	 1.1118	 0.6420	                                          	            	            	            	            	      	      	      	      	Simbad
     306	J0352.3-5453	RXCJ0352.3-5453   	RBS 0485                                              	03 52 20.7	-54 53 09	 0.0447	NORAS/REFLEX	REFLEX      	 0.879	 0.173097	 0.6806	 0.6121	                                          	            	            	            	            	      	      	      	      	Simbad
     307	J0352.4-7401	MS0353.3-7411     	A3186                                                 	03 52 29.5	-74 01 51	 0.1270	EMSS        	EMSS_1994   	 2.271	 2.276006	 3.0920	 0.9869	                                          	            	            	            	            	      	      	      	      	Simbad
     308	J0352.9+1941	RXC J0352.9+1941  	RXJ0352.9+1941                                        	03 52 59.8	+19 41 22	 0.1085	NORAS/REFLEX	NORAS       	 1.982	 2.218114	 3.0843	 0.9922	                                          	BCS         	            	            	            	 0.991	      	      	      	Simbad
     309	J0354.5-4233	BVH2007 54        	                                                      	03 54 34.6	-42 33 33	 0.2240	400SD       	400SD_SER   	 3.601	 0.424316	 1.0329	 0.6620	                                          	            	            	            	            	      	      	      	      	Simbad
     310	J0354.5-3745	BVH2007 55        	A3184                                                 	03 54 35.4	-37 45 20	 0.2510	400SD       	400SD_SER   	 3.922	 4.832247	 4.4584	 1.0673	                                          	            	            	            	            	      	      	      	      	Simbad
     311	J0355.4-3634	BVH2007 56        	S0400, MS0353.6-3642                                  	03 55 29.9	-36 34 03	 0.3200	400SD       	400SD_SER   	 4.655	 4.520231	 4.0532	 1.0079	                                          	EMSS_2004   	            	            	            	 0.490	      	      	      	Simbad
     312	J0355.9-3741	BVH2007 57        	                                                      	03 55 59.3	-37 41 46	 0.4730	400SD       	400SD_SER   	 5.923	 2.939714	 2.7494	 0.8349	                                          	            	            	            	            	      	      	      	      	Simbad
     313	J0358.9-2955	MACSJ0358.8-2955  	A3192                                                 	03 58 54.4	-29 55 32	 0.4250	MACS        	MACS_BRIGHT 	 5.572	18.900000	 8.9001	 1.2584	                                          	REFLEX      	            	            	            	 0.934	      	      	      	Simbad
     314	J0359.1-0320	RXCJ0359.1-0320   	                                                      	03 59 09.2	-03 20 28	 0.1220	NORAS/REFLEX	REFLEX      	 2.194	 1.260724	 2.1645	 0.8778	                                          	            	            	            	            	      	      	      	      	Simbad
     315	J0404.6+1109	RXC J0404.6+1109  	MCS  J0404.6+1109                                     	04 04 37.4	+11 09 57	 0.3548	NORAS/REFLEX	NORAS       	 4.984	 6.654686	 4.9890	 1.0660	                                          	MACS_MJFV   	            	            	            	 0.631	      	      	      	Simbad
     316	J0405.4-4100	BVH2007 58        	                                                      	04 05 24.3	-41 00 15	 0.6860	400SD       	400SD_SER   	 7.088	 3.541152	 2.5714	 0.7502	                                          	            	            	            	            	      	      	      	      	Simbad
     317	J0406.7-7116	MS0407.2-7123     	                                                      	04 06 45.8	-71 16 30	 0.2290	EMSS        	EMSS_1994   	 3.662	 1.305728	 2.0420	 0.8293	                                          	            	            	            	            	      	      	      	      	Simbad
     318	J0408.2-3053	RXCJ0408.2-3053   	A3223                                                 	04 08 16.2	-30 53 40	 0.0600	NORAS/REFLEX	REFLEX      	 1.159	 0.664945	 1.5303	 0.7980	losStr                                    	            	            	            	            	      	      	      	      	Simbad
     319	J0413.4+1028	RXC J0413.4+1028  	A0478                                                 	04 13 25.6	+10 28 01	 0.0882	NORAS/REFLEX	NORAS       	 1.649	 7.217588	 6.4240	 1.2756	                                          	BCS         	            	            	            	 1.015	      	      	      	Simbad
     320	J0413.9-3805	RXCJ0413.9-3805   	                                                      	04 13 57.1	-38 06 00	 0.0501	NORAS/REFLEX	REFLEX      	 0.979	 0.725639	 1.6249	 0.8167	B                                         	            	            	            	            	      	      	      	      	Simbad
     321	J0416.7-5525	RX J0416.7-5525   	                                                      	04 16 44.9	-55 25 08	 0.3650	SHARC       	SHARC_SOUTH 	 5.075	 0.664022	 1.2136	 0.6629	                                          	            	            	            	            	      	      	      	      	Simbad
     322	J0417.4-4512	BVH2007 59        	A3240                                                 	04 17 25.8	-45 12 28	 0.2130	400SD       	400SD_SER   	 3.465	 0.884178	 1.6298	 0.7737	                                          	            	            	            	            	      	      	      	      	Simbad
     323	J0417.5-1154	MACSJ0417.5-1154  	                                                      	04 17 34.3	-11 54 27	 0.4430	MACS        	MACS_BRIGHT 	 5.708	29.100000	22.1000	 1.6900	                                          	            	            	            	            	      	      	      	      	Simbad
     324	J0419.6+0224	RXCJ0419.6+0224   	NGC1550                                               	04 19 37.8	+02 24 50	 0.0131	NORAS/REFLEX	REFLEX      	 0.268	 0.176462	 0.7031	 0.6248	L                                         	BCS         	            	            	            	 1.298	      	      	      	Simbad
     325	J0420.1-3838	MS0418.3-3844     	                                                      	04 20 06.1	-38 38 03	 0.3500	EMSS        	EMSS_2004   	 4.940	 0.854905	 1.4331	 0.7046	                                          	            	            	            	            	      	      	      	      	Simbad
     326	J0420.7-3841	MS0419.0-3848     	                                                      	04 20 44.7	-38 41 57	 0.2250	EMSS        	EMSS_1994   	 3.614	 0.232609	 0.7154	 0.5855	                                          	            	            	            	            	      	      	      	      	Simbad
     327	J0421.0-4629	BVH2007 60        	A3247                                                 	04 21 03.5	-46 29 34	 0.1310	400SD       	400SD_SER   	 2.332	 0.230712	 0.7635	 0.6183	                                          	            	            	            	            	      	      	      	      	Simbad
     328	J0422.4-5009	BVH2007 61        	                                                      	04 22 28.8	-50 09 01	 0.0901	400SD       	400SD_SER   	 1.681	 0.120017	 0.5277	 0.5542	                                          	            	            	            	            	      	      	      	      	Simbad
     329	J0425.8-0833	RXCJ0425.8-0833   	RBS 0540                                              	04 25 51.4	-08 33 33	 0.0397	NORAS/REFLEX	REFLEX      	 0.786	 1.080714	 2.0861	 0.8905	X                                         	            	            	            	            	      	      	      	      	Simbad
     330	J0426.1+1655	RX J0426.1+1655   	                                                      	04 26 07.4	+16 55 12	 0.3800	SHARC       	SHARC_BRIGHT	 5.206	 2.840640	 2.9084	 0.8820	                                          	            	            	            	            	      	      	      	      	Simbad
     331	J0428.7-3805	BVH2007 62        	VMF98 36, A3259                                       	04 28 42.4	-38 05 47	 0.1540	400SD       	400SD_SER   	 2.672	 0.195584	 0.6789	 0.5899	                                          	160SD       	            	            	            	 1.007	      	      	      	Simbad
     332	J0429.1-5350	RXCJ0429.1-5350   	S0463                                                 	04 29 07.8	-53 50 51	 0.0400	NORAS/REFLEX	REFLEX      	 0.791	 0.154759	 0.6376	 0.5998	                                          	            	            	            	            	      	      	      	      	Simbad
     333	J0429.5-0253	MACSJ0429.6-0253  	MCS  J0429.6-0253                                     	04 29 36.0	-02 53 06	 0.3990	MACS        	MACS_MJFV   	 5.365	10.526208	 6.0882	 1.1200	                                          	            	            	            	            	      	      	      	      	Simbad
     334	J0431.4-6126	RXCJ0431.4-6126   	A3266                                                 	04 31 24.1	-61 26 38	 0.0589	NORAS/REFLEX	REFLEX      	 1.139	 3.977333	 4.5579	 1.1485	                                          	            	            	            	            	      	      	      	      	Simbad
     335	J0433.6-1315	RXCJ0433.6-1315   	A0496                                                 	04 33 38.4	-13 15 33	 0.0326	NORAS/REFLEX	REFLEX      	 0.651	 1.852990	 2.9118	 0.9974	                                          	            	            	            	            	      	      	      	      	Simbad
     336	J0434.2-0831	RX J0434.2-0831   	VMF98 37                                              	04 34 15.7	-08 31 17	 0.2400	160SD       	160SD       	 3.794	 0.182075	 0.6091	 0.5519	                                          	            	            	            	            	      	      	      	      	Simbad
     337	J0436.7+1003	MS0433.9+0957     	                                                      	04 36 43.1	+10 03 38	 0.1590	EMSS        	EMSS_1994   	 2.744	 2.197414	 2.9567	 0.9617	                                          	            	            	            	            	      	      	      	      	Simbad
     338	J0437.1-2027	RXCJ0437.1-2027   	A0499                                                 	04 37 07.2	-20 27 26	 0.1550	NORAS/REFLEX	REFLEX      	 2.687	 1.947777	 2.7552	 0.9406	X                                         	            	            	            	            	      	      	      	      	Simbad
     339	J0437.1+0043	RXCJ0437.1+0043   	RXJ0437.1+0043                                        	04 37 10.1	+00 43 38	 0.2842	NORAS/REFLEX	REFLEX      	 4.289	 8.094954	 5.9496	 1.1608	                                          	eBCS        	            	            	            	 0.907	      	      	      	Simbad
     340	J0438.9-2206	RXCJ0438.9-2206   	A0500                                                 	04 38 54.7	-22 06 49	 0.0670	NORAS/REFLEX	REFLEX      	 1.284	 0.655020	 1.5091	 0.7925	                                          	            	            	            	            	      	      	      	      	Simbad
     341	J0439.0+0715	RXC J0439.0+0715  	RXJ0439.0+0715                                        	04 39 00.7	+07 15 45	 0.2450	NORAS/REFLEX	NORAS       	 3.852	 7.010899	 5.6202	 1.1555	                                          	BCS         	            	            	            	 0.996	      	      	      	Simbad
     342	J0439.0+0520	RXC J0439.0+0520  	RXJ0439.0+0520                                        	04 39 02.4	+05 20 38	 0.2080	NORAS/REFLEX	NORAS       	 3.402	 4.834591	 4.6097	 1.0961	                                          	BCS         	            	            	            	 1.025	      	      	      	Simbad
     343	J0443.1+0210	MS0440.5+0204     	                                                      	04 43 09.9	+02 10 19	 0.1900	EMSS        	EMSS_1994   	 3.169	 2.089270	 2.8016	 0.9344	                                          	            	            	            	            	      	      	      	      	Simbad
