#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:46:12 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:46:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJS%2F172%2F599%2Ftable2&-out=AGC,OName,RAJ2000,DEJ2000,TT,Imagc,gamma,i,cz,r,Gnum&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21720599
#Name: J/ApJS/172/599
#Title: SFI++ II. A new I-band Tully-Fisher catalog (Springob+, 2007)
#INFO	ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2007ApJS..172..599S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/172/599	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21720599	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_172_599_table2:
#Name: J/ApJS/172/599/table2
#Title: *Parameters of non-template galaxies (from erratum)
#Column	AGC	(I6)	Entry number in the UGC or AGC (G1)	[ucd=meta.id;meta.main]
#Column	OName	(A8)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TT	(I2)	Morphological type code T	[ucd=meta.code;src.morph]
#Column	Imagc	(F7.2)	Corrected I-band apparent magnitude	[ucd=phot.mag;em.opt.I]
#Column	gamma	(F6.2)	Extinction coefficient gamma (G3)	[ucd=stat.fit.param]
#Column	i	(F5.1)	Inclination	[ucd=src.orbital.inclination]
#Column	cz	(I6)	Velocity in the CMB frame (1)	[ucd=phys.veloc;pos.cmb]
#Column	r	(A1)	[O/H] Code indicating whether the spectroscopy is radio (H, HI spectroscopy) or optical (O)	[ucd=meta.ref;pos.frame]
#Column	Gnum	(I5)	Group number (G2)	[ucd=meta.id]
AGC	OName	RAJ2000	DEJ2000	TT	Imagc	gamma	i	cz	r	Gnum
121426	o94     	02 34 26.4	+32 25 25	 0	  13.95	  0.63	 74.5	  4677	H	    0
420150	M-207036	02 34 53.8	-13 39 33	 5	  11.99	  1.00	 62.4	  4551	H	30160
121427	        	02 35 09.9	+32 39 08	 1	  13.93	  1.00	 74.5	  9550	H	    0
  2064	462-028 	02 35 10.1	+20 51 04	 4	  11.70	  1.00	 53.9	  4031	H	40320
  2081	388-058 	02 36 01.0	+00 25 11	 5	  12.89	  0.50	 54.2	  2383	H	40163
  2079	484-012 	02 36 09.7	+23 53 56	 5	  12.73	  1.00	 60.2	  5421	H	    0
  2082	484-014 	02 36 16.2	+25 25 23	 5	  10.96	  0.50	 80.1	   480	H	    0
  2083	505-020 	02 36 30.3	+32 42 53	 4	  12.27	  1.00	 76.7	  4478	H	40151
 21980	416 G  3	02 36 57.1	-29 11 30	 5	  13.74	  0.74	 63.7	  4766	O	    0
420158	M-107024	02 36 58.8	-05 20 56	 4	  12.43	  1.00	 41.3	  4198	H	    0
  2106	388-065 	02 37 24.2	-01 49 18	 3	  13.64	  1.00	 74.2	  8377	O	41439
 21986	355 G 30	02 37 36.3	-32 55 32	 5	  11.36	  1.02	 68.4	  4387	H	    0
  2119	N1037   	02 37 58.6	-01 50 40	 3	  12.28	  1.21	 63.0	  8302	H	41439
  2134	505-029 	02 38 51.9	+27 50 48	 3	  11.48	  1.00	 67.9	  4365	H	    0
  2138	I1825   	02 38 55.6	+09 05 50	 5	  12.11	  1.00	 51.7	  4894	H	    0
121185	i95     	02 38 58.4	+10 16 36	 3	  14.48	  1.08	 68.9	 19525	O	    0
  2135	539-068 	02 39 11.1	+41 14 45	 5	  13.10	  0.93	 53.6	  4263	H	40789
  2137	N1003   	02 39 16.4	+40 52 21	 5	  10.23	  0.50	 75.2	   423	H	    0
420612	i95     	02 39 18.4	-14 14 06	 4	  15.65	  0.57	 79.5	  9484	O	    0
  2148	439-023 	02 39 28.7	+12 40 47	 3	  13.93	  0.50	 77.4	  3322	H	40172
120414	N1028   	02 39 37.0	+10 50 37	 3	  13.15	  1.00	 60.0	  8368	H	    0
121240	o94     	02 39 37.2	+18 02 00	 3	  13.84	  1.09	 57.2	 14693	H	    0
 22008	545 G 43	02 39 42.2	-21 14 19	 3	  13.60	  0.72	 64.5	  4366	O	    0
  2153	N1030   	02 39 50.5	+18 01 28	 3	  11.53	  1.30	 67.8	  8319	H	    0
120417	462-040 	02 40 13.9	+17 52 56	 3	  13.07	  1.00	 41.8	  8387	H	    0
  2167	414-035 	02 40 55.2	+08 35 44	 5	  12.86	  1.00	 69.7	  5199	H	    0
  2173	N1055   	02 41 45.2	+00 26 32	 4	   9.02	  1.00	 58.9	   773	H	30168
  2171	        	02 41 55.1	+32 05 17	 5	  13.85	  0.64	 80.6	  4348	H	40151
 22038	546 G 10	02 42 12.0	-19 49 45	 4	  13.63	  1.00	 47.5	  7667	O	    0
120454	414-044 	02 43 01.7	+08 07 48	 4	  13.68	  1.00	 52.7	 11222	H	    0
  2185	539-081 	02 43 11.4	+40 25 36	 5	  11.48	  1.00	 77.0	  4154	H	    0
 22050	479 G 27	02 43 18.4	-23 50 23	 5	  13.57	  1.00	 69.0	  6638	O	    0
  2197	505-040 	02 43 26.0	+31 28 15	 5	  12.41	  1.00	 50.1	  4887	H	40164
  2193	N1058   	02 43 30.1	+37 20 27	 5	  10.33	  0.50	 17.6	   316	H	    0
  2201	505-043 	02 43 44.1	+32 29 46	 5	  12.79	  0.95	 74.2	  3919	H	41044
  2205	505-046 	02 43 54.9	+33 10 06	 5	  13.08	  1.00	 46.2	  5274	H	    0
  2220	I1839   	02 44 43.0	+15 14 24	 4	  12.95	  1.00	 66.2	  7291	H	    0
420233	N1081   	02 45 05.5	-15 35 15	 3	  12.27	  1.00	 66.9	  3811	O	30169
420231	N1080   	02 45 09.7	-04 42 37	 5	  12.30	  1.12	 45.5	  7631	O	    0
  2223	524-012 	02 45 14.2	+35 11 19	 5	  12.94	  1.00	 74.6	  4779	H	    0
 22075	N1099   	02 45 17.6	-17 42 29	 3	  11.72	  1.29	 68.9	  7358	O	    0
 22079	416 G 15	02 45 36.3	-27 57 36	 3	  12.18	  1.04	 58.2	  6503	O	    0
420450	M-308018	02 45 47.0	-15 30 38	 3	  13.27	  1.00	 57.1	  7685	O	    0
420451	n95     	02 45 53.0	-15 33 45	 3	  14.33	  1.00	 66.8	 10135	O	    0
  2245	N1087   	02 46 25.2	-00 29 56	 5	  10.05	  1.00	 50.0	  1263	O	40059
  2247	N1090   	02 46 33.9	-00 14 50	 5	  10.72	  1.00	 65.2	  2545	O	40163
  2239	505-053 	02 46 35.7	+32 26 58	 4	  12.60	  1.00	 74.7	  4617	H	    0
 22104	479 G 39	02 46 37.1	-26 58 21	 3	  12.75	  1.00	 55.3	  6958	O	    0
 22105	479 G 40	02 46 40.7	-25 20 52	 3	  12.55	  1.26	 67.4	 10290	O	    0
420405	n95     	02 47 00.2	-00 09 20	 3	  14.73	  1.11	 72.9	 22402	O	    0
  2272	484-020 	02 48 04.5	+27 06 09	 4	  11.75	  1.06	 76.3	  5441	H	41296
 22132	299 G 18	02 48 27.5	-40 33 15	 5	  12.79	  1.00	 87.5	  4688	O	    0
  2283	463-016 	02 48 40.4	+17 13 23	 5	  13.29	  1.00	 51.3	  6250	H	41001
 22135	416 G 25	02 48 40.8	-31 32 09	 5	  12.04	  1.00	 83.5	  4840	H	    0
 22139	356 G 13	02 48 47.3	-36 42 51	 5	  13.20	  1.00	 33.1	  4949	O	    0
  2295	389-023 	02 48 58.8	+03 10 08	 3	  11.69	  1.00	 72.0	  3940	H	    0
420260	N1114   	02 49 07.7	-16 59 50	 4	  11.45	  1.00	 63.6	  3277	H	30174
 22150	416 G 33	02 49 37.5	-30 59 40	 5	  13.66	  1.00	 46.4	  6426	H	    0
  2312	I1857   	02 49 39.0	+14 37 10	 3	  13.02	  1.00	 57.3	  8855	H	    0
420428	n95     	02 49 49.3	-00 47 35	 3	  13.89	  1.00	 69.1	 13137	O	    0
120539	440-017 	02 49 53.1	+14 24 06	 3	  13.55	  1.00	 66.5	  8463	H	    0
420275	M-208012	02 50 17.6	-08 35 49	 5	  12.65	  1.00	 75.8	  5118	H	30173
120544	N1115   	02 50 25.3	+13 15 58	 0	  12.86	  1.00	 54.9	  8280	H	    0
 22167	416 G 36	02 50 35.9	-31 31 09	 3	  12.82	  1.00	 47.0	  6990	O	    0
  2338	389-034 	02 51 09.3	+02 35 36	 5	  12.58	  1.00	 64.4	  4289	H	    0
 22174	416 G 37	02 51 18.3	-28 12 04	 3	  12.08	  1.00	 70.2	  4962	O	    0
 22185	I1862   	02 51 57.5	-33 20 18	 5	  11.81	  1.14	 80.5	  6245	H	    0
 22188	416 G 40	02 52 26.5	-30 46 39	 3	  13.07	  1.00	 44.8	  6613	O	    0
 22197	416 G 41	02 53 29.3	-30 51 35	 3	  12.30	  1.00	 71.5	  6193	O	    0
121137	        	02 53 37.0	+15 52 38	 3	  14.96	  1.00	 90.0	 14222	O	    0
  2368	I 267   	02 53 50.2	+12 50 56	 3	  11.24	  1.00	 74.6	  3357	H	40725
  2370	540-005 	02 54 26.4	+42 38 58	 6	  13.06	  0.50	 90.0	  1980	H	    0
120589	415-023 	02 54 32.4	+09 27 04	 4	  13.46	  1.00	 54.0	  7995	H	    0
121055	        	02 54 37.2	+16 04 51	 3	  14.07	  1.02	 61.8	 15001	O	    0
 22209	546 G 31	02 54 56.1	-21 53 52	 4	  13.07	  1.00	 62.7	  8462	O	    0
 22220	247 G 12	02 55 26.8	-42 22 09	 3	  13.98	  0.77	 90.0	  5534	O	    0
121060	        	02 55 29.0	+16 13 33	 5	  15.25	  1.00	 81.6	 20105	O	    0
121061	        	02 55 31.6	+16 05 28	 4	  14.43	  1.00	 44.3	 15084	O	    0
  2392	524-036 	02 55 46.4	+33 45 58	 5	  13.06	  0.50	 69.6	  1348	H	    0
  2404	FGC 625 	02 55 48.9	+01 04 44	 5	  13.55	  0.82	 83.0	  4828	H	    0
  2403	389-047 	02 55 57.3	+00 41 31	 3	  11.77	  1.00	 68.4	  3915	H	41290
121157	        	02 56 44.4	+15 59 30	 5	  16.32	  1.00	 81.7	 24947	O	    0
121402	        	02 56 51.9	+05 41 13	 6	  16.27	  0.50	 90.0	 10965	H	    0
  2424	463-039 	02 57 07.5	+17 30 50	 4	  11.60	  1.27	 75.4	  6770	H	    0
 22240	356 G 22	02 57 48.8	-36 42 01	 5	  11.33	  1.29	 59.0	  6110	H	    0
  2435	524-037 	02 58 03.4	+35 15 26	 5	  12.15	  1.00	 50.5	  4657	H	    0
 22261	 31 G  5	02 58 08.0	-74 27 23	 3	  11.76	  1.00	 70.6	  4772	O	    0
  2443	389-057 	02 58 21.5	-02 02 31	 5	  12.36	  0.65	 59.7	  2319	H	    0
  2441	415-045 	02 58 22.0	+03 51 45	 5	  11.88	  1.00	 82.6	  2849	H	40668
121404	        	02 58 33.1	+05 57 17	 3	  15.10	  1.00	 77.8	 13056	H	    0
121035	        	02 58 45.0	+06 06 34	 3	  14.79	  1.00	 55.8	 13289	H	    0
  2451	        	02 59 32.4	+37 00 31	 5	  14.09	  1.09	 73.8	 16434	H	    0
121403	A400-   	02 59 54.4	+05 44 20	 3	  14.87	  1.00	 82.5	 13328	H	    0
 22258	546 G 36	03 00 15.3	-22 17 31	 5	  14.53	  0.50	 66.8	  2837	O	    0
  2461	524-042 	03 00 22.6	+34 04 20	 5	  13.20	  1.00	 63.5	  6610	H	    0
  2479	M+008065	03 00 40.2	+00 01 13	 6	  13.71	  0.50	 76.0	  2645	H	    0
  2483	        	03 01 36.8	+31 49 09	 5	  13.39	  1.00	 70.5	  6030	H	    0
  2491	524-046 	03 01 53.9	+35 43 58	 1	  11.52	  1.04	 60.3	  4689	H	40249
  2497	506-004 	03 02 08.1	+29 06 21	 6	  11.90	  1.00	 74.1	  2923	H	41409
  2498	463-048 	03 02 12.1	+17 20 44	 5	  13.06	  1.00	 60.0	  6733	H	    0
 22286	547 G  4	03 03 31.0	-20 10 35	 3	  13.30	  0.54	 65.3	  3155	O	    0
  2503	N1169   	03 03 34.6	+46 23 09	 1	   9.34	  1.21	 52.4	  2220	H	    0
  2520	        	03 04 55.6	+21 22 35	 5	  12.47	  1.00	 59.9	  4016	H	41378
 22324	480 G 30	03 05 52.8	-27 13 43	 3	  13.39	  1.00	 57.5	  6285	O	    0
 22338	N1244   	03 06 29.2	-66 46 30	 3	  11.42	  1.18	 78.2	  5488	O	    0
 22332	I1885   	03 06 40.3	-32 51 53	 5	  13.14	  0.96	 71.7	  4620	O	    0
 22335	417 G 18	03 07 13.2	-31 24 03	 5	  12.12	  1.00	 57.7	  4586	O	30185
  2550	524-056 	03 08 15.6	+36 26 57	 5	  12.54	  1.00	 60.9	  3853	H	41166
  2563	464-003 	03 09 36.7	+18 30 03	 5	  12.37	  1.30	 84.1	 10539	H	    0
 22383	N1249   	03 10 06.4	-53 20 17	 5	  10.61	  0.62	 69.3	   995	O	    0
  2567	I1887   	03 10 13.1	+40 45 56	 6	  11.76	  1.00	 63.3	  2825	H	    0
430082	N1241   	03 11 15.0	-08 55 22	 4	  10.31	  1.28	 55.7	  3847	O	30188
430083	N1242   	03 11 19.2	-08 54 07	 6	  12.53	  1.00	 57.8	  3833	O	30188
  2581	        	03 12 08.0	+40 14 36	 5	  13.83	  0.78	 78.5	  4087	O	  426
430088	N1247   	03 12 14.2	-10 28 51	 5	  10.48	  1.22	 81.6	  3776	H	30187
 22401	481 G 11	03 12 25.0	-24 32 47	 3	  13.32	  1.00	 90.0	  6341	O	    0
  2589	M+209001	03 12 33.1	+12 23 03	 4	  12.33	  1.29	 44.6	  9676	H	    0
 22419	116 G 12	03 13 03.8	-57 21 25	 5	  10.48	  0.76	 55.1	  1099	O	    0
  2604	525-009 	03 14 40.4	+39 37 03	 5	  12.33	  1.00	 45.9	  4353	H	  426
 22444	116 G 14	03 15 50.3	-58 34 27	 5	  12.64	  1.00	 79.0	  5363	O	    0
  2617	540-069 	03 16 00.8	+40 53 07	 5	  11.83	  1.00	 67.9	  4507	O	  426
 22440	I1906   	03 16 05.2	-34 21 34	 5	  12.67	  1.00	 63.4	  4820	O	    0
430121	M-209021	03 16 06.6	-13 02 04	 5	  13.42	  0.96	 82.0	  5286	H	    0
  2628	390-041 	03 16 31.8	-00 28 07	 4	  12.53	  1.00	 76.5	  6638	H	40386
 22485	N1301   	03 20 35.1	-18 42 56	 5	  11.69	  1.00	 76.0	  3803	H	    0
  2690	390-068 	03 20 42.9	-01 06 32	 4	  12.84	  1.00	 66.1	  6103	H	40929
130453	441-010b	03 22 10.1	+14 53 01	 3	  13.80	  1.00	 58.0	  9913	H	    0
  2703	441-009 	03 22 34.4	+14 54 49	 3	  12.20	  1.30	 78.0	  9942	H	    0
  2711	N1312   	03 23 29.8	+01 19 26	 3	  13.26	  1.00	 76.2	  9732	H	    0
  2709	525-029 	03 23 53.7	+38 40 37	 3	  11.73	  1.03	 69.7	  4984	H	  426
430240	N1324   	03 25 01.6	-05 44 42	 3	  11.00	  1.30	 76.1	  5513	H	    0
  2727	        	03 25 07.8	+05 14 05	 5	  13.52	  1.00	 85.1	  8660	H	    0
 22555	N1327   	03 25 23.6	-25 40 47	 3	  13.39	  1.13	 68.7	 12660	O	    0
  2736	541-008 	03 26 27.6	+40 30 27	 2	  11.48	  1.11	 80.9	  5505	O	  426
  2743	        	03 27 48.0	+40 02 03	 5	  13.48	  0.92	 83.5	  3921	O	  426
 22630	418 G  7	03 29 56.6	-28 46 28	 5	  12.19	  1.30	 56.1	 10944	O	    0
 22691	 31 G 15	03 30 46.8	-73 46 58	 5	  12.82	  1.00	 69.2	  8249	O	    0
 22648	482 G  1	03 31 19.1	-26 33 50	 3	  12.65	  1.00	 74.8	  4170	O	    0
  2781	        	03 32 59.0	+15 52 27	 5	  13.04	  1.00	 85.0	  9168	H	40787
  2786	        	03 34 12.4	+02 58 24	 6	  13.72	  0.90	 54.7	  5618	H	    0
  2796	        	03 36 52.6	+13 24 23	 4	  12.29	  1.25	 78.3	  8924	H	    0
430371	N1376   	03 37 06.0	-05 02 30	 5	  11.53	  1.00	 22.8	  4009	H	30204
 22830	 31 G 18	03 37 42.5	-72 23 29	 3	  13.13	  1.00	 55.8	  8329	O	    0
  2802	417-003 	03 37 50.9	+04 56 55	 3	  12.32	  1.28	 58.6	  9512	H	    0
  2804	        	03 38 05.1	+01 56 12	 5	  13.68	  1.00	 77.1	  6789	H	    0
  2806	        	03 38 20.2	+07 38 08	 3	  12.70	  1.08	 79.7	  8749	H	    0
 22810	482 G 24	03 38 59.7	-22 35 02	 5	  14.97	  0.50	 65.8	  4227	H	    0
130373	        	03 39 00.0	+15 44 29	 5	  13.86	  1.00	 47.0	  7766	H	    0
130374	        	03 39 12.7	+15 58 51	 5	  13.56	  1.00	 47.1	  9322	H	    0
130308	N1384   	03 39 13.5	+15 49 09	 5	  12.84	  1.11	 49.3	  9665	H	    0
130396	K0338+13	03 41 02.1	+13 34 26	 5	  13.86	  1.00	 72.1	  9906	H	    0
130381	K0338+13	03 41 26.3	+13 34 22	 5	  12.77	  1.15	 78.8	  9842	H	    0
430418	I 344   	03 41 29.4	-04 39 57	 6	  13.11	  1.00	 61.5	  5303	O	30203
  2823	        	03 41 35.7	+16 01 14	 3	  12.24	  1.27	 83.7	  8969	H	40787
430424	N1417   	03 41 57.3	-04 42 20	 4	  10.72	  1.16	 61.7	  3989	H	30204
  2830	465-008 	03 42 03.9	+15 59 17	-2	  12.42	  1.21	 59.7	  9042	H	40787
 22870	419 G  3	03 42 10.5	-27 51 59	 5	  12.27	  1.00	 49.5	  3998	H	    0
  2832	M+010015	03 42 12.5	-00 21 16	 6	  14.14	  0.98	 81.3	  7454	H	    0
430428	N1418   	03 42 16.3	-04 43 55	 4	  12.29	  1.00	 56.0	  4069	O	30204
  2833	        	03 42 51.2	+15 59 59	 5	  12.72	  1.11	 75.7	  9094	H	40787
430441	N1424   	03 43 14.0	-04 44 04	 5	  12.45	  1.00	 67.6	  5496	H	30203
  2839	        	03 43 50.2	+14 17 42	 6	  13.19	  1.00	 86.3	  6396	H	    0
 22931	I1997   	03 44 51.6	-59 08 16	 4	  12.98	  1.00	 51.1	  5433	O	    0
430475	        	03 45 00.1	-04 12 15	 5	  12.98	  1.00	 78.1	  5194	H	    0
430536	M-110035	03 46 35.7	-04 27 18	 5	  11.43	  1.00	 80.0	  3669	H	30204
 22946	N1459   	03 46 57.0	-25 31 21	 5	  11.83	  1.00	 50.6	  4066	H	30207
430544	M-110036	03 46 57.8	-03 27 43	 4	  11.75	  1.00	 77.3	  3857	H	30204
 22950	302 G  7	03 47 05.0	-37 22 40	 3	  13.63	  0.94	 55.6	  5666	O	    0
 22948	482 G 44	03 47 10.3	-26 56 41	 5	  14.05	  0.50	 34.3	  4049	H	    0
 22974	549 G 22	03 48 50.3	-18 58 41	 5	  12.86	  0.98	 59.0	  4171	H	    0
 22997	156 G 17	03 49 39.7	-55 48 45	 3	  13.13	  1.00	 71.8	  8434	O	    0
 23011	 54 G 21	03 49 50.2	-71 38 07	 7	  10.83	  0.87	 59.7	  1460	O	    0
  2860	        	03 51 16.7	+78 17 52	 5	  13.69	  0.63	 72.3	  4174	H	    0
  2888	508-003 	03 53 19.3	+32 19 46	 4	  12.13	  1.00	 53.5	  3906	O	    0
 23028	549 G 30	03 53 53.6	-17 35 35	 3	  12.93	  1.00	 68.9	  8431	O	    0
 23036	549 G 31	03 54 24.8	-19 11 25	 3	  12.83	  1.00	 64.5	  7397	O	    0
 23046	549 G 36	03 55 08.7	-17 28 03	 6	  12.45	  1.14	 44.1	  8375	O	    0
 23066	201 G 11	03 55 38.7	-51 30 25	 5	  14.16	  0.75	 64.6	  5813	O	    0
 23064	N1486   	03 56 18.7	-21 49 14	 3	  13.51	  1.00	 43.4	  7338	O	    0
 23067	549 G 38	03 56 37.0	-18 03 39	 3	  13.25	  1.00	 51.8	  6296	O	    0
430691	        	03 56 55.5	-52 24 05	 3	  14.38	  1.00	 66.4	 10111	O	 3193
 23072	549 G 40	03 57 08.1	-18 46 41	 4	  11.90	  1.24	 62.4	  7438	O	    0
 23074	483 G  2	03 57 13.4	-25 23 54	 3	  13.03	  0.95	 66.9	  4370	O	    0
430695	        	03 57 57.3	-52 15 18	 3	  14.96	  0.95	 59.3	  9688	O	 3193
 23091	N1492   	03 58 13.7	-35 26 45	 4	  12.66	  1.00	 34.3	  4450	O	    0
  2910	        	03 58 22.9	+06 42 52	 4	  13.35	  1.00	 76.1	  5389	H	    0
430697	        	03 58 24.4	-52 08 25	 3	  13.49	  1.00	 75.9	 10267	O	 3193
430698	        	03 58 55.3	-52 33 17	 3	  15.66	  0.66	 78.6	 10425	O	 3193
  2896	347-001 	03 59 00.9	+79 33 21	 5	  13.35	  0.50	 77.8	  2160	H	40746
 23129	N1511   	03 59 35.7	-67 38 29	 6	  10.02	  1.00	 72.6	  1334	O	30211
 23113	I2023   	03 59 40.4	-52 40 47	 5	  14.07	  1.00	 38.9	  9760	O	 3193
  2915	        	03 59 55.2	+32 36 45	 5	  13.47	  0.92	 78.7	  5184	H	    0
 23128	117 G 18	04 00 07.8	-61 16 00	 4	  12.12	  1.00	 53.5	  5780	O	    0
 23138	 55 G  5	04 00 18.3	-67 48 26	 6	  12.04	  0.50	 78.5	  1291	O	30211
 23111	483 G  6	04 00 26.4	-25 10 53	 5	  11.70	  1.00	 81.0	  4051	H	    0
 23130	156 G 29	04 00 40.8	-52 44 01	 3	  13.31	  1.01	 56.5	 10537	O	 3193
 23136	I2028   	04 01 17.9	-52 42 25	 1	  12.87	  1.17	 46.8	  9939	O	 3193
 23139	302 G 27	04 01 51.4	-41 56 30	 5	  13.92	  0.59	 65.1	  4388	H	    0
  2931	487-011 	04 02 18.5	+25 49 01	 5	  12.80	  1.00	 42.7	  5626	H	    0
 23154	117 G 19	04 02 32.5	-62 18 53	 3	  12.02	  1.00	 90.0	  5376	O	30213
  2936	392-001 	04 02 48.3	+01 57 55	 5	  10.35	  1.25	 76.1	  3701	H	40210
  2954	418-010 	04 05 30.4	+04 26 42	 5	  12.58	  1.00	 67.6	  5234	H	40551
  2956	508-007 	04 06 28.6	+31 16 57	 5	  12.18	  1.00	 73.2	  4432	H	    0
  2963	418-012 	04 07 38.8	+03 58 04	 5	  11.10	  1.25	 78.5	  5198	H	40551
 23200	420 G  3	04 07 45.8	-29 51 34	 5	  12.02	  1.00	 42.8	  4066	H	    0
 23207	250 G  6	04 07 47.3	-45 02 23	 5	  14.00	  0.67	 77.4	  4991	O	    0
  2966	        	04 08 47.0	+08 30 53	 5	  14.09	  0.50	 73.2	  3467	H	41310
  2969	392-003 	04 09 01.5	-01 09 35	 4	  12.47	  1.00	 69.4	  4970	H	    0
 23242	483 G 12	04 10 22.4	-23 36 14	 3	  12.04	  1.00	 72.7	  4165	O	    0
  2983	392-006 	04 12 52.5	+02 22 09	 3	  11.66	  1.01	 68.8	  4915	H	40496
  2994	392-008 	04 14 23.4	+02 43 52	 5	  12.33	  0.97	 55.0	  3226	H	40368
  3002	M+011039	04 16 54.5	+03 05 47	 5	  12.79	  0.85	 53.3	  3476	H	40115
440081	FGC0471 	04 16 55.4	-07 28 55	 5	  13.12	  1.00	 74.4	  8825	O	    0
440085	N1547   	04 17 12.3	-17 51 23	 4	  12.37	  1.27	 60.9	  9503	O	    0
 23349	N1559   	04 17 35.3	-62 47 02	 5	   9.52	  1.00	 59.3	  1297	O	30220
  3007	        	04 18 30.1	+33 46 28	 5	  12.61	  1.00	 39.9	  5535	H	    0
  3009	488-002 	04 19 05.9	+26 10 46	 5	  12.31	  1.00	 80.1	  3655	H	    0
 23372	N1558   	04 20 15.0	-45 01 54	 3	  11.12	  1.14	 68.9	  4516	O	30219
 23377	550 G 26	04 21 37.0	-17 55 45	 3	  13.30	  1.00	 71.9	  8873	O	    0
  3013	N1530   	04 23 27.0	+75 17 45	 3	   9.75	  1.13	 59.4	  2394	H	41191
 23417	I2066   	04 23 29.4	-54 43 50	 4	  13.22	  1.12	 36.6	 11563	O	    0
  3029	393-015 	04 23 58.8	-00 49 37	 3	  12.78	  1.00	 53.8	  4916	H	40496
440126	        	04 24 29.9	-53 24 42	20	  13.46	  1.06	 66.0	 12036	O	    0
 23431	202 G 17	04 25 48.2	-51 38 22	 5	  13.69	  1.00	 47.2	 11105	O	    0
 23564	  4 G 13	04 27 30.2	-83 33 03	 3	  12.85	  1.00	 82.0	  4873	O	    0
440570	D0428127	04 28 15.8	-53 06 33	 3	  15.22	  1.00	 47.8	 12766	O	    0
440571	157 G331	04 28 26.6	-53 43 19	 3	  13.90	  1.12	 76.8	 15768	O	    0
 23482	I2079   	04 28 30.7	-53 44 10	 3	  12.78	  1.22	 68.7	 10745	O	    0
 23473	N1598   	04 28 32.8	-47 46 51	 4	  12.16	  1.00	 52.7	  5094	O	30222
440160	D0428107	04 28 36.6	-53 24 38	 3	  13.55	  1.10	 50.2	 13034	O	    0
440548	        	04 29 05.3	-61 13 01	 3	  15.95	  1.00	 69.0	 18820	O	 3266
440573	DC042819	04 29 06.6	-54 01 22	 5	  14.55	  1.00	 50.0	 13193	O	    0
  3043	        	04 29 09.6	+70 53 50	 5	  13.40	  1.00	 78.8	  7349	H	41445
 23505	 84 G 20	04 29 23.0	-62 53 19	 3	  12.77	  1.00	 72.2	  5980	O	30225
 23498	D0428-43	04 29 27.7	-53 49 39	-2	  14.97	  1.00	 65.8	 12732	O	    0
 23484	N1591   	04 29 30.6	-26 42 47	 3	  11.93	  1.00	 52.0	  4074	O	30223
440556	        	04 29 59.0	-61 24 55	 3	  16.22	  0.91	 74.8	 15919	O	 3266
440574	D0428100	04 30 17.3	-53 29 23	 3	  14.59	  1.00	 66.9	 12892	O	    0
  3062	N1586   	04 30 38.2	-00 18 15	 3	  11.83	  1.00	 62.3	  3497	H	40115
440578	n95     	04 30 39.9	-00 17 04	-2	  14.17	  1.00	 72.4	 12691	O	    0
440168	I2075   	04 30 51.7	-05 47 55	 4	  11.70	  1.00	 41.9	  4270	H	30226
  3066	419-012 	04 30 58.1	+05 32 31	 5	  11.71	  1.00	 47.3	  4573	H	40244
  3070	393-031 	04 30 59.6	-02 00 12	 3	  12.90	  0.50	 57.5	  2454	H	    0
 23518	I2085   	04 31 24.1	-54 24 56	 5	  11.77	  0.50	 76.5	   982	O	30227
440177	M-112015	04 31 24.3	-03 55 44	 5	  12.74	  1.00	 50.3	  4715	H	30226
  3083	        	04 32 14.6	+01 43 35	 5	  13.48	  1.00	 77.9	 10166	O	    0
 23538	N1616   	04 32 41.4	-43 42 56	 4	  11.41	  1.02	 60.4	  4448	O	    0
  3084	        	04 32 48.3	+10 23 28	 5	  11.79	  1.00	 80.5	  3993	H	    0
 23539	484 G 30	04 33 15.1	-24 40 27	 5	  13.78	  1.00	 46.0	 12415	O	    0
