#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:46:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:46:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VIII%2F77%2Ftable3&-out=UGC%2FAGC,OName,RAJ2000,DEJ2000,Sabs,e_Sabs,SNR,HRV,Tel&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_8077
#Name: VIII/77
#Title: HI spectral properties of galaxies (Springob+, 2005)
#INFO	ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2005ApJS..160..149S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VIII/77	    Dataset landing page
#INFO	publication_date=2006-06-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VIII_77_table3:
#Name: VIII/77/table3
#Title: Properties of detected galaxies derived from spectra in digital archive
#Column	UGC/AGC	(I6)	Entry number in the UGC (Cat. <VII/26>) or AGC	[ucd=meta.id;meta.main]
#Column	OName	(a8)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Sabs	(F6.2)	Self-absorption corrected line flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_Sabs	(F6.2)	Uncertainty in Sabs	[ucd=stat.error]
#Column	SNR	(F5.1)	Ratio of peak flux to rms noise	[ucd=instr.det.noise;stat.max]
#Column	HRV	(I6)	Heliocentric velocity of the profile midpoint	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Tel	(a5)	Code indicating the telescope used (G1)	[ucd=meta.id;instr.tel]
UGC/AGC	OName	RAJ2000	DEJ2000	Sabs	e_Sabs	SNR	HRV	Tel
110020	520-010 	01 05 47.3	+34 59 21	  2.23	  0.37	  4.0	 12157	AOlf
   673	501-079 	01 06 09.7	+31 24 21	  5.49	  0.68	 15.9	  6251	AOlf
   676	384-071 	01 06 10.1	+01 13 59	  2.55	  0.18	  6.9	 14842	AOG
110025	480-041 	01 06 11.8	+25 33 06	  2.38	  0.31	  9.0	  6626	AOlf
   678	384-072 	01 06 14.0	+03 34 27	  4.15	  0.43	 17.9	  5526	AOlf
   674	        	01 06 20.6	+21 22 24	  0.91	  0.15	  4.6	  5628	AOlf
110026	520-011 	01 06 24.5	+33 46 13	  2.02	  0.27	  9.1	  4573	AOlf
   677	435-039 	01 06 25.7	+14 34 15	  1.83	  0.21	 11.0	 12091	AOlf
110031	410-033 	01 06 35.2	+09 11 32	  1.44	  0.20	  6.2	 11316	AOlf
110030	480-043 	01 06 39.3	+24 12 57	  1.63	  0.19	  8.8	 11733	AOlf
111669	        	01 06 43.6	+02 49 18	  1.80	  0.11	  9.8	  5435	AOG
110037	384-075 	01 06 54.0	+01 56 44	  1.66	  0.21	  7.6	  4696	AOlf
110035	435-041 	01 06 54.4	+11 54 28	  0.88	  0.10	 12.2	 12077	AOlf
   679	M+503049	01 07 03.7	+32 23 22	  2.69	  0.32	  7.9	  5110	AOlf
   684	I  75   	01 07 11.7	+10 50 11	  4.75	  0.53	  9.0	 12326	AOlf
   681	I1620a  	01 07 14.2	+13 57 17	  3.54	  0.41	  7.1	 11479	AOlf
110040	480-044 	01 07 16.9	+24 30 32	  0.92	  0.15	  5.9	  9102	AOlf
   685	458-020 	01 07 22.4	+16 41 02	 17.72	  1.98	 57.1	   156	AOlf
   690	520-014 	01 07 32.8	+39 23 59	  8.61	  0.96	  9.9	  5869	GB300
110045	520-015 	01 07 35.6	+34 01 56	  2.46	  0.27	 12.7	  4528	AOlf
   692	501-089 	01 07 37.1	+32 56 21	  2.59	  0.28	 11.6	  5791	AOlf
111615	M+004002	01 07 45.8	+02 09 46	  2.49	  0.17	  8.6	 12671	AOG
   695	385-002 	01 07 46.5	+01 03 49	  4.09	  0.50	 10.5	   627	AOlf
110049	459-003 	01 07 49.5	+16 26 40	  1.01	  0.12	  7.3	 16393	AOlf
   698	385-003 	01 07 56.1	+02 32 43	  2.45	  0.33	  8.5	 10061	AOlf
110051	501-091 	01 07 57.3	+33 18 11	  1.69	  0.22	  7.4	  4214	AOlf
   697	501-093 	01 08 04.8	+33 27 11	  0.69	  0.09	  5.4	  4695	AOlf
   699	        	01 08 13.8	+21 05 53	  1.17	  0.15	  7.3	  5021	AOlf
111622	o94     	01 08 20.2	+02 17 47	  0.61	  0.09	  4.4	 13957	AOG
   706	411-001 	01 08 24.5	+08 20 54	  1.16	  0.23	  3.6	 10909	AOlf
   705	M+104001	01 08 25.1	+06 29 01	  1.96	  0.24	  8.1	 12127	AOlf
110059	436-003 	01 08 31.0	+11 02 10	  1.05	  0.15	  6.2	 10630	AOlf
   708	459-007 	01 08 34.6	+16 54 00	  2.37	  0.28	  8.7	 12233	AOlf
   711	385-005 	01 08 37.2	+01 38 26	 29.23	  5.38	 35.7	  1973	AOlf
   710	501-098 	01 08 44.5	+33 27 51	  4.64	  0.68	  4.6	 12459	AOlf
110065	501-099 	01 08 52.2	+32 05 59	  1.77	  0.20	 10.2	 10428	AOlf
111414	FGC125  	01 09 00.3	+33 31 21	  2.40	  0.20	  8.8	 11282	AOG
   713	        	01 09 04.6	+37 51 13	  2.76	  0.38	  6.1	  8368	AOlf
   714	501-103 	01 09 14.1	+32 09 06	  1.85	  0.22	  7.9	  4641	AOlf
110072	501-106 	01 09 19.7	+33 28 36	  3.34	  0.37	 10.1	 10580	AOlf
   717	436-005 	01 09 22.0	+14 20 32	  2.14	  0.26	  8.9	 11527	AOlf
   719	436-006 	01 09 28.8	+14 21 47	  0.51	  0.09	  4.6	 11335	AOlf
   721	385-011 	01 09 29.9	+01 48 42	  3.71	  0.46	  6.2	  5752	AOlf
110081	480-045 	01 09 41.5	+23 17 37	  1.24	  0.15	  7.2	 10275	AOlf
110079	501-108 	01 09 45.1	+31 08 17	  1.15	  0.24	  3.3	  6507	AOlf
   722	M+204006	01 09 45.6	+13 18 29	  7.53	  0.86	 22.2	  4201	AOlf
   723	459-011 	01 09 56.0	+20 46 18	  4.83	  0.68	 15.7	  5094	AOlf
   726	385-012 	01 09 57.5	-01 44 56	  4.12	  0.52	  7.0	  3852	GB300
   724	501-111 	01 09 59.4	+32 22 06	  8.38	  1.06	 20.6	  5174	AOlf
110083	501-112a	01 10 00.6	+32 54 17	  5.06	  0.21	 27.1	 10419	AOG
   725	536-019 	01 10 10.3	+43 06 29	 11.94	  1.38	 11.4	  5030	GB300
110756	FGC 129 	01 10 16.7	+29 12 01	  2.21	  0.28	  8.3	  4651	AOlf
110090	501-113 	01 10 21.2	+30 11 01	  2.14	  0.23	 10.8	  6821	AOlf
   733	459-012 	01 10 39.0	+16 35 49	  2.36	  0.28	  7.4	 12311	AOlf
   732	501-116 	01 10 44.3	+33 33 30	  3.59	  0.44	  8.1	  5438	AOlf
111423	        	01 10 44.4	+33 01 53	  1.27	  0.08	 12.7	  4690	AOG
   736	385-017 	01 10 49.1	-01 45 25	  3.27	  0.44	  5.8	  5074	GB300
410067	M-104008	01 10 52.5	-05 49 03	  8.34	  0.97	  9.6	  5748	GB300
111673	i95     	01 10 53.1	+02 37 07	  0.89	  0.12	  4.0	 13541	AOG
110097	480-047 	01 10 53.2	+24 27 01	  0.48	  0.08	  5.6	 13906	AOlf
111433	        	01 10 54.7	+33 33 46	  0.79	  0.07	  8.5	 11327	AOG
110103	411-003 	01 11 01.8	+08 34 49	  0.95	  0.11	  7.5	 10661	AOlf
110105	411-004 	01 11 02.8	+04 43 46	  1.37	  0.19	  6.6	 12469	AOlf
   738	520-021 	01 11 04.9	+33 50 08	  1.34	  0.21	  5.6	  4547	AOlf
110104	436-007 	01 11 06.2	+15 10 22	  1.71	  0.23	  5.9	 11438	AOlf
410069	M-104009	01 11 12.4	-07 32 54	  3.09	  0.41	  6.5	  5424	Effs
   742	501-121 	01 11 17.4	+31 44 24	  5.52	  0.57	 22.8	  5758	AOlf
   745	        	01 11 29.7	+36 40 41	  1.40	  0.22	  4.5	  9629	AOlf
   749	385-022 	01 11 30.9	+01 19 16	  8.28	  0.94	 12.0	  6765	AOlf
110112	480-048b	01 11 31.2	+23 13 02	  5.62	  0.71	  8.9	 10310	AOlf
110864	        	01 11 35.4	+00 27 39	  2.17	  0.15	  9.7	  4552	AOG
   748	520-022 	01 11 43.6	+35 16 34	 11.93	  1.51	  8.3	  4855	AOlf
110120	436-008 	01 12 09.2	+12 14 37	  1.67	  0.20	  7.0	  4195	AOlf
110119	502-004 	01 12 10.4	+32 00 13	  1.02	  0.06	  9.4	  5234	AOG
110123	I1645   	01 12 27.3	+15 45 00	  0.43	  0.06	  4.4	 11407	AOlf
410080	N 413   	01 12 31.4	-02 47 37	  3.30	  0.43	  5.5	  5815	Nanc
   755	520-023 	01 12 38.9	+38 30 21	  7.50	  1.18	  4.1	  6457	AOlf
   756	501-130 	01 12 43.2	+32 58 10	  2.47	  0.31	  6.8	  5342	AOlf
110126	I1646   	01 12 43.8	+15 42 27	  1.50	  0.18	  7.9	 11567	AOlf
 20903	412 G 15	01 12 50.1	-31 11 59	  5.40	  0.68	  6.4	  5585	Nanc
   763	N 428   	01 12 55.7	+00 58 51	144.03	 31.00	 99.9	  1155	AOlf
   758	N 425   	01 13 02.8	+38 46 06	  4.87	  0.59	  8.9	  6395	GB300
   764	        	01 13 12.5	+34 57 56	  2.47	  0.34	  8.4	  4741	AOlf
110135	411-007 	01 13 13.3	+08 51 54	  2.18	  0.31	  5.5	 10784	AOlf
   769	M+204012	01 13 17.1	+12 46 14	  3.02	  0.46	  5.3	  9970	AOlf
110967	        	01 13 22.8	+15 15 51	  0.55	  0.09	  4.0	 17897	AOG
110138	459-017 	01 13 24.5	+15 46 59	  1.11	  0.14	  7.6	 11544	AOlf
   774	436-014 	01 13 50.9	+13 16 18	  0.82	  0.11	  5.6	 14918	AOlf
110143	411-008 	01 13 54.8	+07 25 31	  5.97	  0.61	 12.8	 10653	AOlf
   779	N 435   	01 13 59.9	+02 04 16	  4.46	  0.53	  9.5	 10264	AOlf
   784	385-037 	01 14 04.2	-01 44 33	  4.24	  0.52	  9.6	  4901	GB300
   777	536-024 	01 14 10.8	+42 14 27	  2.20	  0.32	  7.1	  5039	GB300
110145	436-015 	01 14 13.3	+12 40 03	  3.00	  0.35	  7.8	  5707	AOlf
   785	459-018 	01 14 14.5	+15 53 52	  7.17	  0.71	 28.2	 11312	AOlf
110144	520-031 	01 14 25.1	+34 03 26	  1.07	  0.14	  9.2	  4260	AOlf
   783	536-026 	01 14 26.3	+42 33 23	  7.49	  0.88	 11.3	  5909	GB300
 20928	352 G 27	01 14 30.3	-32 15 44	  6.85	  0.68	 12.7	  5336	Nanc
   790	385-042 	01 14 37.4	+01 10 51	  1.29	  0.20	  5.6	  4636	AOlf
110156	411-011 	01 14 53.5	+05 01 50	  1.61	  0.21	  4.1	 14923	AOlf
   799	        	01 15 02.7	+06 51 27	  4.89	  0.56	 18.5	  5533	AOlf
110163	411-012 	01 15 03.7	+05 22 33	  3.23	  0.39	  8.9	  5323	AOlf
110158	520-032 	01 15 09.6	+33 47 23	  0.97	  0.12	  8.4	  4439	AOlf
   798	I1654   	01 15 11.9	+30 11 41	  5.77	  0.65	 13.3	  4897	AOlf
   800	502-012 	01 15 19.3	+28 29 22	  2.72	  0.33	  8.1	  4812	AOlf
   802	        	01 15 21.6	+07 21 19	  1.50	  0.20	  5.3	 12032	AOlf
   803	M+104008	01 15 22.8	+08 05 57	  6.88	  0.80	 23.5	  2347	AOlf
110168	459-019 	01 15 29.6	+20 01 54	  1.43	  0.18	  6.7	 12076	AOlf
   805	        	01 15 29.8	+06 53 01	  3.95	  0.46	 21.0	  5525	AOlf
   806	N 450   	01 15 30.5	-00 51 41	 32.67	  5.53	 35.8	  1764	AOlf
410100	M-104019	01 15 36.7	-06 35 12	  2.68	  0.32	  7.3	  6345	Nanc
   804	N 447   	01 15 37.7	+33 04 03	  3.96	  0.61	  6.0	  5599	AOlf
   808	411-013 	01 15 38.1	+09 18 23	  7.15	  1.03	 11.1	 11658	AOlf
111795	n95     	01 15 48.0	+05 06 41	  0.91	  0.07	  8.0	  5020	AOG
   810	N 444   	01 15 49.7	+31 04 49	  7.74	  1.01	 24.8	  4837	AOlf
   809	520-033 	01 15 51.9	+33 48 38	  8.12	  1.19	 12.7	  4207	AOlf
110176	385-055 	01 15 58.4	+01 26 12	  0.82	  0.12	  5.0	 13209	AOlf
   819	        	01 16 00.5	+06 38 13	  1.60	  0.32	  9.4	  2417	AOlf
   817	385-056 	01 16 06.5	+01 34 02	  3.93	  0.44	  8.9	 10188	AOlf
110179	459-020 	01 16 08.4	+20 01 43	  1.06	  0.18	  4.2	 18520	AOlf
110177	N 451   	01 16 12.4	+33 03 50	  2.90	  0.30	 12.8	  4862	AOlf
110178	481-001 	01 16 12.5	+25 11 30	  2.65	  0.34	  6.5	  8887	AOlf
   820	N 452   	01 16 14.9	+31 02 01	 10.95	  1.49	 11.5	  4963	AOlf
   816	551-013 	01 16 20.6	+46 44 52	  9.41	  1.02	 11.2	  5326	GB300
110180	502-021 	01 16 33.1	+28 58 30	  3.24	  0.37	  8.7	  8174	AOlf
110181	459-021 	01 16 43.7	+16 23 59	  5.64	  0.57	 23.9	  1987	AOlf
   824	436-017 	01 16 59.2	+13 01 28	  2.02	  0.24	 10.9	  6156	AOlf
110183	385-057 	01 17 09.9	+02 16 48	  1.03	  0.12	  8.7	 13620	AOlf
110184	385-058 	01 17 10.1	+02 38 30	  0.91	  0.14	  5.3	 11356	AOlf
 20958	N 461   	01 17 19.0	-33 50 23	  5.51	  0.58	 11.2	  5683	Nanc
110186	411-017 	01 17 26.2	+04 10 09	  1.42	  0.20	  5.8	  6907	AOlf
110850	411-017b	01 17 29.2	+04 10 17	  0.76	  0.12	  4.7	 14119	AOlf
   828	459-023 	01 17 45.6	+21 24 57	  2.66	  0.35	  5.8	 11911	AOlf
   829	436-019 	01 17 45.7	+10 11 48	  1.65	  0.20	  8.5	 10269	AOlf
   830	385-060 	01 17 51.6	-01 57 23	 11.63	  1.20	 19.9	  5954	GB300
   832	N 459   	01 18 08.2	+17 33 43	  2.83	  0.30	 11.6	 12707	AOlf
   833	436-020 	01 18 08.9	+11 22 53	 17.05	  2.20	 41.4	  5193	AOlf
   831	520-036 	01 18 10.0	+38 26 34	  4.29	  0.53	  9.0	  7275	AOlf
   834	411-019 	01 18 24.0	+04 45 07	  1.23	  0.21	  4.6	 14120	AOlf
   835	502-023 	01 18 40.2	+31 02 09	  1.95	  0.23	  7.9	  6839	AOlf
110191	502-022 	01 18 40.5	+32 15 23	  1.77	  0.26	  5.3	 10482	AOlf
   838	436-021 	01 18 45.9	+14 59 35	  3.78	  0.39	 15.0	  6880	AOlf
410119	I1670A  	01 18 50.2	-16 47 53	 13.71	  1.50	  9.3	  6003	GB300
   843	M+104018	01 18 56.7	+05 33 22	  1.07	  0.15	  6.4	  5275	AOlf
   840	N 463   	01 18 58.1	+16 19 15	  2.55	  0.28	 11.7	  6297	AOlf
   839	        	01 19 00.1	+12 56 22	  1.06	  0.14	  8.7	  5149	AOlf
   847	M+000407	01 19 04.5	-00 08 20	  2.65	  0.32	  8.4	  5246	AOlf
   841	502-025 	01 19 10.1	+33 01 48	  3.34	  0.42	  9.4	  5573	AOlf
110198	385-066 	01 19 16.5	+02 12 46	  1.95	  0.22	  9.3	 13324	AOlf
   845	459-026 	01 19 17.2	+21 45 44	  4.22	  0.44	 13.6	  9423	AOlf
   849	436-022 	01 19 24.2	+12 26 47	  2.91	  0.31	 25.3	 14279	AOlf
   856	        	01 19 28.9	-01 42 05	  3.27	  0.41	  8.9	  4781	GB300
   850	459-028 	01 19 30.0	+21 09 01	  2.66	  0.30	  7.1	 17280	AOlf
   854	M+104020	01 19 31.3	+03 54 29	  1.46	  0.19	  8.7	  5054	AOlf
110202	N 469   	01 19 32.3	+14 52 27	  1.81	  0.19	 14.5	  4098	AOlf
   851	M+304020	01 19 33.1	+19 42 42	  2.64	  0.27	 17.4	 12911	AOlf
110204	459-029 	01 19 36.9	+18 26 39	  3.49	  0.36	 19.3	  8335	AOlf
   855	411-023 	01 19 37.1	+08 10 21	  1.28	  0.15	  7.6	  9561	AOlf
   846	        	01 19 37.8	+49 11 21	  3.33	  0.58	  5.5	  6733	GB300
   852	        	01 19 38.2	+17 33 52	  7.11	  0.78	 12.7	  8813	AOlf
   858	N 470   	01 19 44.9	+03 24 34	 25.63	  3.91	 45.1	  2375	AOlf
110209	436-025 	01 19 45.6	+10 10 00	  1.33	  0.19	  5.7	  7792	AOlf
   857	I1666   	01 19 53.5	+32 28 01	  2.82	  0.31	  9.9	  4881	AOlf
   859	N 473   	01 19 55.1	+16 32 39	  7.16	  0.96	 14.7	  2131	AOlf
   860	436-028 	01 19 59.3	+12 55 29	  2.30	  0.24	 17.3	  5805	AOlf
110213	436-029b	01 19 59.6	+14 47 03	  0.96	  0.14	  6.3	 11205	AOlf
110215	436-027 	01 20 00.4	+12 38 00	  1.71	  0.23	  6.2	 14523	AOlf
110216	436-030 	01 20 02.7	+14 21 42	  0.71	  0.10	  7.5	  9450	AOlf
110218	459-032 	01 20 14.6	+17 49 48	  2.74	  0.32	  7.7	  8707	AOlf
110219	459-034 	01 20 18.0	+21 29 16	  1.55	  0.17	  8.7	 18714	AOlf
   871	M+104022	01 20 24.0	+05 49 38	  7.26	  0.86	 22.4	  2161	AOlf
110227	459-035 	01 20 40.7	+18 31 03	  2.58	  0.32	  6.1	  8363	AOlf
111137	s95     	01 20 42.2	+01 21 33	  0.90	  0.05	 10.2	  5233	AOG
   876	M+104023	01 20 45.8	+04 10 48	  1.99	  0.28	  5.6	  5084	AOlf
   875	385-077 	01 20 45.9	+01 26 43	  1.43	  0.17	  9.9	  5423	AOlf
110770	FGC016A 	01 20 51.8	+01 15 46	  1.37	  0.19	  6.8	 10062	AOlf
110228	502-039 	01 20 53.0	+33 25 31	  1.36	  0.16	 10.3	  5448	AOlf
   882	411-026 	01 20 55.5	+06 34 27	  4.78	  0.52	 16.0	  2332	AOlf
110229	521-003 	01 20 56.8	+34 59 11	  0.94	  0.16	  5.5	  4591	AOlf
   877	502-040 	01 20 58.4	+29 13 53	  3.83	  0.51	  6.7	  9623	AOlf
   884	        	01 20 58.7	+25 32 55	  1.78	  0.22	  8.4	  8847	AOlf
   879	I1675   	01 20 59.8	+34 14 55	  1.06	  0.19	  4.1	  5100	AOlf
   883	M+304024	01 21 00.9	+17 04 24	  5.98	  0.62	 16.8	  2498	AOlf
   885	        	01 21 02.4	+02 57 35	  1.66	  0.21	  7.0	  5350	AOlf
   888	M+104028	01 21 06.3	+05 25 42	  2.78	  0.34	 10.3	  2436	AOlf
 21020	352 G 50	01 21 06.5	-35 12 00	  7.86	  0.89	 11.0	  5929	Nanc
110233	I1677a  	01 21 07.0	+33 12 58	  6.06	  0.74	 10.9	  5418	AOlf
   890	385-078 	01 21 08.0	+01 22 22	 11.56	  1.43	 12.8	  4971	AOlf
110240	436-032 	01 21 09.2	+15 41 40	  2.41	  0.26	  9.9	  5127	AOlf
   889	        	01 21 10.6	+17 52 06	  3.08	  0.37	  8.7	  8536	AOlf
   893	N 479   	01 21 15.8	+03 51 43	  4.48	  0.47	 14.8	  5238	AOlf
   892	385-079 	01 21 16.6	-00 32 40	  2.37	  0.33	  9.3	  5228	AOlf
110239	521-006 	01 21 17.2	+36 41 10	  2.58	  0.36	  4.8	  5016	AOlf
   891	436-033 	01 21 19.1	+12 24 42	 19.75	  0.81	 19.4	   643	GB140
   886	N 477   	01 21 20.3	+40 29 18	 16.08	  1.69	 14.2	  5854	GB300
   894	I1681   	01 21 21.3	+00 05 24	  4.87	  0.62	  7.5	  3790	AOlf
110245	385-081 	01 21 25.6	+03 38 48	  3.74	  0.38	 15.3	  6950	AOlf
   895	N 485   	01 21 27.6	+07 01 04	  4.74	  0.59	 11.3	  2252	AOlf
   897	M+304025	01 21 28.8	+15 56 49	  1.58	  0.21	  8.5	  8980	AOlf
   898	459-037 	01 21 32.0	+19 52 29	  2.04	  0.24	  7.6	  9858	AOlf
110244	436-034 	01 21 34.7	+14 30 17	  2.82	  0.46	  6.7	  4206	AOlf
   899	459-038 	01 21 37.0	+20 55 10	  5.19	  0.60	  9.2	  9220	AOlf
110250	459-040 	01 21 42.0	+18 34 04	  1.14	  0.16	  6.5	 11317	AOlf
   863	        	01 21 43.6	+78 37 41	  4.57	  0.55	 12.6	  4175	GB300
   905	M+404007	01 21 47.2	+23 46 51	  1.86	  0.22	  9.2	 11468	AOlf
110251	436-035 	01 21 47.3	+11 43 15	  1.37	  0.23	  4.4	 14103	AOlf
   903	459-041 	01 21 48.0	+17 35 32	 16.84	  2.14	 17.9	  2518	AOlf
   904	459-042 	01 21 49.9	+18 16 02	  2.53	  0.31	  7.4	  8307	AOlf
   908	N 489   	01 21 53.9	+09 12 24	  3.78	  0.47	 12.9	  2500	AOlf
   910	459-043 	01 21 58.3	+15 47 41	  3.10	  0.35	 12.0	  6341	AOlf
   909	521-007 	01 22 01.6	+37 24 04	  8.32	  0.94	 11.8	  5079	AOlf
   914	N 493   	01 22 09.5	+00 56 47	 31.85	  1.50	 66.3	  2343	GB140
   911	502-051 	01 22 09.9	+32 12 56	  2.01	  0.24	  6.8	 10530	AOlf
   913	521-008 	01 22 15.0	+34 40 08	  3.59	  0.44	  6.1	  5141	AOlf
110255	502-054 	01 22 17.1	+28 47 52	  3.14	  0.37	 14.8	  4209	AOlf
   915	N 497   	01 22 23.9	-00 52 32	 10.37	  1.40	  8.3	  8143	AOlf
110261	411-037 	01 22 26.5	+09 03 13	  1.30	  0.06	 12.9	  5536	AOG
   916	I1683   	01 22 39.0	+34 26 12	  1.00	  0.14	  5.7	  4857	AOlf
110277	385-090 	01 22 46.5	+01 43 50	  0.97	  0.13	  5.4	  9792	AOlf
   918	459-044 	01 22 47.4	+19 18 32	  2.73	  0.32	  8.3	  9355	AOlf
   923	        	01 22 54.3	+13 07 37	  3.49	  0.40	 11.9	 11236	AOlf
110275	502-056 	01 22 54.5	+28 50 08	  2.93	  0.36	  7.3	  8377	AOlf
   919	N 494   	01 22 55.3	+33 10 26	  1.79	  0.24	  6.5	  5452	AOlf
110276	521-013 	01 23 01.7	+34 08 03	  1.40	  0.20	  7.1	  5123	AOlf
   927	N 496   	01 23 11.6	+33 31 44	  7.34	  0.82	 14.5	  6004	AOlf
   931	385-094 	01 23 14.5	-00 42 04	  5.72	  0.71	 12.1	  2001	AOlf
110288	411-042a	01 23 19.2	+07 47 46	  3.26	  0.34	 18.6	  2695	AOlf
110778	K0120+14	01 23 21.2	+14 15 52	  1.68	  0.23	  6.3	 11256	AOlf
   933	436-036 	01 23 23.6	+15 12 52	  0.96	  0.12	  5.2	 10235	AOlf
110289	M+004110	01 23 23.7	+01 39 03	  1.02	  0.12	  5.4	  9839	AOlf
   934	502-063a	01 23 28.4	+30 47 03	  1.74	  0.24	  8.4	 10471	AOlf
   941	411-044 	01 23 32.4	+06 57 37	  4.94	  0.65	 34.5	  2726	AOlf
   937	502-066 	01 23 37.5	+32 37 45	  1.15	  0.19	  4.8	  4746	AOlf
110294	385-097 	01 23 37.7	+01 33 50	  1.31	  0.17	  6.3	  9894	AOlf
   940	521-016 	01 23 37.9	+34 34 09	  3.66	  0.39	 10.6	  6987	AOlf
   942	        	01 23 43.7	+06 41 29	  5.21	  0.53	 51.2	  2335	AOlf
111053	        	01 23 46.1	+09 58 45	  0.90	  0.08	  6.5	 14140	AOG
110295	459-045 	01 23 46.4	+20 50 17	  1.57	  0.17	  8.9	 15317	AOlf
   943	M+204034	01 23 46.6	+11 30 32	  2.43	  0.28	  9.8	 14812	AOlf
 21056	352 G 65	01 23 50.2	-34 18 04	  1.94	  0.30	  5.4	  3805	GB140
110298	FGC 159 	01 23 57.1	+28 37 59	  2.76	  0.36	 12.4	  4125	AOlf
   944	N 512   	01 23 59.8	+33 54 28	  6.27	  0.78	 12.0	  4868	AOlf
110300	521-017 	01 24 01.4	+33 51 57	  0.69	  0.11	  6.2	  5147	AOlf
   947	N 514   	01 24 03.9	+12 55 02	 29.81	  0.93	 22.4	  2472	GB140
   948	        	01 24 04.1	+27 02 46	  2.25	  0.30	  6.8	  4917	AOlf
   949	I 101   	01 24 08.7	+09 55 48	  1.68	  0.23	  5.3	  2403	AOlf
   952	N 518   	01 24 17.7	+09 19 51	  0.72	  0.10	  4.5	  2651	AOlf
   957	KDG  5  	01 24 24.3	+03 52 54	  7.20	  0.72	 32.5	  2149	AOlf
   953	N 513   	01 24 26.9	+33 47 58	  1.37	  0.17	  5.4	  5859	AOlf
110309	385-105 	01 24 28.6	+01 08 21	  0.54	  0.08	  5.1	  9228	AOlf
   955	459-046 	01 24 29.9	+15 46 00	  6.24	  0.75	 25.1	  5049	AOlf
   962	N 521   	01 24 33.7	+01 43 51	 14.32	  2.73	 15.8	  5022	AOlf
   958	459-048 	01 24 34.3	+16 32 11	  7.55	  1.03	 14.0	  2419	AOlf
110307	459-047 	01 24 34.6	+21 06 35	  2.37	  0.25	 11.7	 10252	AOlf
   964	411-048 	01 24 35.0	+07 43 15	  8.40	  0.94	 17.2	  2733	AOlf
   966	N 520   	01 24 35.3	+03 47 24	 15.50	  2.06	 16.1	  2288	AOlf
110308	481-007 	01 24 36.7	+21 52 59	  1.60	  0.20	  7.2	 10165	AOlf
   969	436-042 	01 24 45.8	+09 45 35	  1.02	  0.14	  5.1	 14519	AOlf
   970	N 522   	01 24 45.8	+09 59 41	  1.41	  0.21	 10.6	  2725	AOlf
110313	502-080 	01 24 49.5	+32 14 04	  1.46	  0.18	  7.9	 10553	AOlf
110318	459-049 	01 25 02.5	+15 50 56	  5.64	  0.57	 24.9	  4181	AOlf
   981	385-118 	01 25 09.1	+02 18 10	  1.52	  0.22	  6.6	  6121	AOlf
   978	I 107   	01 25 13.2	+14 52 20	  3.17	  0.37	  9.3	  6365	AOlf
   975	521-021 	01 25 15.7	+34 21 33	  2.26	  0.27	  8.4	  4895	AOlf
   982	411-055 	01 25 17.2	+09 15 49	  6.16	  0.85	 11.0	  2363	AOlf
   979	N 523   	01 25 20.7	+34 01 29	 19.53	  2.92	 14.8	  4761	AOlf
   983	I1698   	01 25 22.2	+14 50 19	  5.63	  1.01	  9.9	  6580	AOlf
   985	436-046 	01 25 23.6	+14 31 11	  4.66	  0.58	  7.6	 11084	AOlf
   990	M+204044	01 25 24.0	+10 47 49	  5.05	  0.52	 21.4	  2534	AOlf
   989	M+104057	01 25 29.6	+07 33 40	  7.17	  0.77	 27.7	  2785	AOlf
   987	502-082 	01 25 31.5	+32 08 09	  7.92	  1.05	 18.8	  4656	AOlf
110320	436-048a	01 25 33.0	+10 07 34	  1.35	  0.16	  6.6	 13853	AOlf
   993	411-056 	01 25 34.6	+07 59 28	  9.53	  0.95	 73.6	  2922	AOlf
