#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T20:11:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T20:11:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJ%2F809%2F146%2Ftable1&-out=NSA,RAJ2000,DEJ2000,Dist,e_Dist,Inc,Reff,e_Reff,MHI,e_MHI,Mstar,e_Mstar,Ref,SimbadName&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18090146
#Name: J/ApJ/809/146
#Title: SDSS-DR8 isolated low-mass galaxies (Bradford+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apj/809/146	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/809/146	    IVOID of underlying data collection
#INFO	creator=Bradford J.D.	    First author or institution
#INFO	cites=bibcode:2015ApJ...809..146B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/809/146	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18090146	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_809_146_table1:
#Name: J/ApJ/809/146/table1
#Title: Isolated galaxy data sample
#Column	NSA	(I6)	[162/171138] NASA Sloan Atlas v0.1.2 identifier	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F6.2)	[13/246] Heliocentric luminosity distance	[ucd=pos.distance]
#Column	e_Dist	(F5.2)	[1/4] Uncertainty in Dist	[ucd=stat.error]
#Column	Inc	(I2)	[8/90] Inclination Angle	[ucd=src.orbital.inclination;pos.posAng]
#Column	Reff	(F5.2)	[0.2/29.1] Effective radius at assumed distance	[ucd=pos.distance;phys.size.radius]
#Column	e_Reff	(F5.2)	[0.01/0.6] Uncertainty in reff	[ucd=stat.error]
#Column	MHI	(F6.3)	[0.01/59.1] HI Mass	[ucd=phys.mass]
#Column	e_MHI	(F6.3)	[0.004/28] Uncertainty in MHI	[ucd=stat.error]
#Column	Mstar	(F7.3)	[0.007/262.3] Stellar mass	[ucd=phys.mass]
#Column	e_Mstar	(F7.3)	[0.003/121] Uncertainty in Mstar	[ucd=stat.error]
#Column	Ref	(I1)	Source of HI observations (1)	[ucd=meta.bib]
#Column	SimbadName	(A24)	Simbad column added by the CDS	[ucd=meta.id]
NSA	RAJ2000	DEJ2000	Dist	e_Dist	Inc	Reff	e_Reff	MHI	e_MHI	Mstar	e_Mstar	Ref	SimbadName
 51969	09 49 37.02	+09 29 42.17	 46.24	 2.22	81	 1.54	 0.07	 0.337	 0.136	  0.216	  0.099	2	SDSS J094937.04+092942.3
 51970	09 49 19.83	+09 55 13.78	 45.67	 2.18	68	 0.53	 0.03	 0.121	 0.059	  0.220	  0.101	1	SDSS J094919.82+095513.7
 51986	09 47 32.80	+10 45 08.70	208.67	 2.14	22	 1.07	 0.01	59.086	 3.834	 29.281	 13.487	2	SDSS J094732.80+104508.6
 51988	09 47 31.36	+10 29 31.69	 46.62	 2.25	72	 2.10	 0.10	 0.404	 0.084	  0.091	  0.042	1	SDSS J094731.39+102931.5
 51991	09 50 58.83	+10 48 05.76	 46.98	 2.29	23	 1.16	 0.06	 0.828	 0.179	  0.757	  0.349	2	SDSS J095058.82+104805.7
 51995	09 50 30.46	+10 17 19.87	148.42	 2.14	74	 2.73	 0.04	 9.332	 0.992	  2.063	  0.950	2	SDSS J095030.45+101719.8
 52090	10 03 51.97	+11 06 02.09	 49.20	 2.47	58	 1.42	 0.07	 0.904	 0.199	  0.086	  0.040	2	SDSS J100351.84+110559.9
 52094	10 06 03.84	+10 38 15.39	 25.52	 1.93	85	 1.00	 0.08	 0.290	 0.116	  0.142	  0.066	2	SDSS J100603.82+103815.4
 52115	10 05 40.39	+09 35 12.43	138.00	 2.14	31	 4.14	 0.06	 7.955	 1.046	 21.150	  9.742	2	SDSS J100540.38+093512.4
 52130	10 03 03.47	+10 44 45.52	 44.77	 2.18	79	 3.76	 0.18	 2.829	 0.567	  2.183	  1.005	2	SDSS J100303.46+104445.4
 52132	10 05 27.51	+11 07 15.54	134.69	 2.14	90	 8.02	 0.13	11.188	 4.855	 27.795	 12.803	2	SDSS J100527.49+110715.4
 52137	10 06 55.44	+10 40 02.82	186.70	 2.14	56	 1.82	 0.02	10.571	 3.719	  8.383	  3.861	2	SDSS J100655.43+104002.7
 52735	12 34 39.48	+58 11 15.34	 75.88	 2.39	90	 3.62	 0.11	 2.140	 1.272	  0.562	  0.259	1	SDSS J123439.49+581115.8
 54367	16 41 34.11	+32 13 45.60	 62.58	 2.93	65	 1.18	 0.06	 0.169	 0.042	  0.083	  0.038	1	SDSS J164134.14+321346.2
 54655	14 13 29.77	+40 34 46.56	 13.27	 2.07	73	 0.78	 0.12	 0.030	 0.043	  0.027	  0.012	1	SDSS J141329.83+403446.6
 55018	15 33 36.80	+33 21 33.84	 29.69	 1.79	66	 0.36	 0.02	 0.027	 0.007	  0.017	  0.008	1	SDSS J153336.75+332133.6
 55322	10 59 18.96	+42 35 23.86	 26.85	 1.97	63	 0.70	 0.05	 0.126	 0.160	  0.107	  0.049	1	SDSS J105918.94+423523.2
 56774	14 47 44.54	+36 30 16.83	 20.73	 1.82	74	 0.93	 0.08	 0.115	 0.105	  0.011	  0.005	1	SDSS J144744.54+363016.8
 56775	14 49 51.15	+36 25 01.57	 28.35	 1.75	73	 1.04	 0.06	 0.716	 0.182	  0.104	  0.048	1	SDSS J144951.10+362501.5
 56866	15 13 03.43	+32 55 05.81	 28.41	 1.79	68	 1.85	 0.12	 0.597	 0.154	  0.021	  0.010	1	SDSS J151303.42+325505.8
 57003	16 00 23.87	+27 00 56.70	105.73	 2.14	90	 3.13	 0.06	 2.917	 0.610	  0.405	  0.187	2	SDSS J160023.88+270056.6
 57034	16 05 01.56	+26 07 15.15	115.96	 2.14	74	 6.29	 0.12	12.666	 1.322	 11.346	  5.226	2	SDSS J160501.53+260715.0
 57043	16 03 00.27	+27 00 37.05	143.70	 2.14	36	 9.03	 0.13	18.304	 1.505	 92.920	 42.799	2	SDSS J160300.26+270037.0
 57056	16 00 27.33	+26 43 31.14	105.97	 2.14	85	 4.67	 0.09	 6.058	 0.818	  8.261	  3.805	2	SDSS J160027.32+264331.0
 57091	16 05 07.87	+27 49 40.60	106.31	 2.14	51	 4.86	 0.10	 5.893	 0.634	  1.599	  0.736	2	SDSS J160507.92+274940.7
 57123	16 07 02.29	+26 22 07.50	159.24	 2.14	35	 4.52	 0.06	 5.217	 0.839	  8.342	  3.842	2	SDSS J160702.28+262207.5
 57127	16 06 37.14	+26 13 46.55	170.18	 2.14	47	 4.61	 0.06	 6.876	 1.805	  9.272	  4.271	2	SDSS J160637.13+261346.5
 57177	16 12 13.39	+26 39 15.38	 36.73	 1.86	68	 0.70	 0.04	 0.061	 0.017	  0.099	  0.045	1	SDSS J161213.40+263915.4
 57184	14 20 12.18	+43 01 08.66	 13.34	 2.04	60	 0.44	 0.07	 0.023	 0.041	  0.008	  0.004	1	SDSS J142012.06+430110.6
 57467	15 32 49.90	+36 12 13.63	 29.79	 1.71	62	 0.75	 0.04	 0.049	 0.017	  0.090	  0.041	1	SDSS J153249.88+361213.5
 57629	16 04 37.69	+30 42 53.90	 15.35	 1.82	68	 1.37	 0.16	 0.273	 0.133	  0.147	  0.068	1	SDSS J160437.70+304253.3
 58149	15 45 05.95	+35 53 26.99	 28.57	 1.68	71	 1.05	 0.06	 0.414	 0.100	  0.057	  0.026	1	SDSS J154505.94+355326.9
 60886	12 31 03.37	+46 54 39.17	 51.36	 2.18	90	 1.95	 0.08	 1.001	 0.597	  0.393	  0.181	1	SDSS J123103.37+465439.2
 61711	13 36 22.87	+39 42 16.53	 35.90	 1.68	72	 1.12	 0.05	 0.374	 0.288	  0.039	  0.018	1	SDSS J133622.85+394216.5
 63102	17 00 17.16	+18 02 55.61	 83.30	 2.29	74	 3.73	 0.10	 1.792	 0.228	  1.017	  0.469	1	SDSS J170017.19+180255.4
 63200	16 50 50.89	+20 38 12.82	 38.21	 1.82	73	 1.03	 0.05	 0.279	 0.056	  0.175	  0.081	1	SDSS J165050.89+203812.8
 63307	16 43 40.79	+22 32 39.29	 57.88	 2.14	61	 1.36	 0.05	 0.229	 0.043	  0.054	  0.025	1	SDSS J164340.78+223238.9
 63461	16 31 35.18	+24 11 04.28	 64.52	 3.04	66	 1.69	 0.08	 1.300	 0.309	  0.519	  0.239	2	SDSS J163135.16+241104.2
 63537	16 28 32.58	+24 43 18.71	 57.08	 2.00	68	 1.88	 0.07	 0.374	 0.066	  0.137	  0.063	1	SDSS J162832.63+244317.4
 63613	16 14 26.35	+25 05 47.02	214.66	 2.14	26	 5.45	 0.05	12.052	 2.603	 25.950	 11.953	2	SDSS J161426.34+250546.9
 63673	16 21 25.15	+25 30 06.01	164.52	 2.14	76	 6.72	 0.09	12.990	 4.064	 14.086	  6.488	2	SDSS J162125.13+253005.9
 63751	16 16 25.06	+27 14 46.10	147.34	 2.14	44	 4.70	 0.07	 9.265	 1.419	 69.337	 31.937	2	SDSS J161625.06+271446.1
 63783	16 10 51.54	+27 09 29.88	203.88	 2.14	34	10.41	 0.11	23.978	 2.615	 66.608	 30.680	2	SDSS J161051.54+270929.9
 63793	16 08 47.20	+27 48 59.64	111.13	 2.14	49	 1.68	 0.03	 2.568	 0.574	  2.860	  1.317	2	SDSS J160847.19+274859.6
 63860	16 15 36.91	+28 09 30.87	110.62	 2.14	43	 6.19	 0.12	11.396	 1.098	 30.997	 14.277	2	SDSS J161536.91+280930.9
 63884	16 07 12.98	+28 02 49.55	139.08	 2.14	71	 5.67	 0.09	 7.345	 1.264	 21.251	  9.788	2	SDSS J160712.97+280249.5
 63917	16 02 05.12	+29 43 38.08	 59.58	 2.47	90	 1.28	 0.05	 0.530	 0.800	  0.423	  0.195	1	SDSS J160205.11+294338.1
 64291	08 01 32.25	+21 22 48.25	 31.64	 2.57	67	 1.39	 0.11	 0.111	 0.038	  0.106	  0.049	1	SDSS J080132.23+212247.8
 64372	08 15 12.07	+24 23 22.63	129.69	 2.14	85	 7.51	 0.12	 8.982	 1.648	  5.074	  2.337	2	SDSS J081512.05+242322.7
 64375	08 18 38.83	+25 12 18.58	179.09	 2.14	90	 4.22	 0.05	 4.631	 5.691	 16.101	  7.416	2	SDSS J081838.82+251218.6
 64377	08 16 45.50	+24 46 48.89	108.13	 2.14	63	 3.18	 0.06	 7.155	 0.932	 33.139	 15.264	2	SDSS J081645.50+244648.8
 64387	08 19 15.52	+24 47 33.66	 72.66	 1.82	33	 4.12	 0.10	 8.560	 0.916	 11.421	  5.261	2	SDSS J081915.52+244733.5
 64395	08 22 58.42	+24 51 51.13	 81.18	 1.46	57	 0.95	 0.02	 0.379	 0.050	  0.096	  0.044	1	SDSS J082258.41+245151.1
 64398	08 33 00.18	+26 00 50.59	 79.34	 1.50	84	 7.99	 0.15	 5.675	 0.538	 11.207	  5.162	2	SDSS J083300.20+260050.5
 64402	08 32 13.63	+25 36 43.19	 56.12	 2.43	90	 2.67	 0.12	 0.948	 0.214	  0.185	  0.085	2	SDSS J083213.61+253642.8
 64417	08 25 14.49	+25 00 57.99	 95.13	 2.14	45	 2.56	 0.06	 5.705	 0.652	  6.261	  2.884	2	SDSS J082514.49+250058.0
 64446	08 33 26.00	+26 51 14.02	 55.03	 2.43	67	 1.06	 0.05	 0.279	 0.057	  0.104	  0.048	1	SDSS J083325.98+265113.9
 64447	08 33 28.99	+26 47 39.20	 90.56	 1.89	81	 3.15	 0.07	 1.880	 0.393	  0.570	  0.262	2	SDSS J083328.99+264739.1
 64448	08 43 00.47	+27 13 53.81	109.69	 2.14	67	 5.59	 0.11	 3.538	 0.584	  2.266	  1.044	2	SDSS J084300.46+271353.7
 64450	08 40 38.59	+27 14 28.01	 82.20	 1.54	86	 4.65	 0.09	 5.521	 0.525	 10.326	  4.756	2	SDSS J084038.57+271427.9
 64459	08 33 56.66	+26 58 21.60	 54.48	 2.36	15	 5.37	 0.23	 5.995	 1.077	 13.701	  6.311	2	SDSS J083356.65+265821.5
 64466	08 34 13.48	+26 25 48.40	123.76	 2.14	62	 5.09	 0.09	 4.954	 1.217	  1.056	  0.486	2	SDSS J083413.48+262548.1
 64500	08 39 00.25	+27 49 13.85	194.49	 2.14	90	10.65	 0.12	 9.550	 4.371	  3.343	  1.540	2	SDSS J083900.24+274913.8
 64533	08 40 30.24	+27 37 51.16	 89.93	 1.87	77	 6.15	 0.13	 1.865	 0.633	  2.861	  1.318	2	SDSS J084030.27+273751.2
 64671	09 07 06.27	+32 22 19.88	 30.66	 2.00	65	 1.31	 0.09	 0.211	 0.057	  0.031	  0.014	1	SDSS J090706.26+322219.5
 65391	10 01 06.95	+36 55 23.06	 25.17	 1.82	78	 1.03	 0.07	 0.269	 0.080	  0.054	  0.025	1	SDSS J100106.99+365521.7
 65466	10 14 32.20	+10 58 26.03	108.45	 2.14	53	 4.11	 0.08	 3.069	 0.276	  1.928	  0.888	2	SDSS J101432.17+105825.9
 65479	10 27 11.05	+10 01 28.66	139.87	 2.14	24	 7.37	 0.11	 8.720	 5.948	116.881	 53.836	2	SDSS J102711.04+100128.6
 65493	10 23 51.87	+09 59 14.59	 74.80	 1.75	22	 2.61	 0.06	 2.615	 0.292	  2.511	  1.157	2	SDSS J102351.86+095914.8
 65518	10 21 33.61	+11 57 43.98	110.98	 2.14	40	 4.95	 0.10	 8.865	 0.913	 12.343	  5.685	2	SDSS J102133.60+115744.1
 65684	10 38 51.41	+11 10 19.01	209.77	 2.14	73	 8.98	 0.09	14.658	12.001	 44.521	 20.506	2	SDSS J103851.40+111019.0
 65722	10 37 23.36	+12 09 23.65	 42.65	 2.32	63	 1.74	 0.09	 0.500	 0.223	  1.441	  0.664	2	SDSS J103723.35+120923.6
 65726	10 38 49.81	+12 07 40.69	145.36	 2.14	70	 6.95	 0.10	 5.928	 2.098	 97.291	 44.812	2	SDSS J103849.78+120740.6
 65730	10 37 14.38	+11 53 17.69	210.05	 2.14	44	 6.94	 0.07	13.195	 2.685	  8.949	  4.122	2	SDSS J103714.37+115317.5
 65751	10 40 31.24	+12 17 39.87	113.43	 2.14	24	 7.29	 0.14	14.827	 1.381	 43.610	 20.087	2	SDSS J104031.23+121739.8
 65759	10 39 45.32	+11 38 49.65	128.92	 2.14	44	 7.16	 0.12	 5.232	 1.451	 38.469	 17.719	2	SDSS J103945.32+113849.6
 65779	10 48 22.78	+11 05 47.48	114.50	 2.14	55	 3.59	 0.07	 6.190	 0.782	  5.716	  2.633	2	SDSS J104822.76+110547.3
 65780	10 47 41.47	+11 04 37.58	 39.82	 2.22	74	 8.32	 0.46	 4.937	 1.136	 17.554	  8.085	2	SDSS J104741.47+110437.4
 65789	10 45 42.68	+11 20 39.02	 93.27	 2.14	32	 9.28	 0.21	15.640	 1.544	 42.019	 19.354	2	SDSS J104542.67+112039.0
 65827	10 43 29.94	+12 05 15.78	114.38	 2.14	36	 3.75	 0.07	 7.860	 1.719	 21.216	  9.772	2	SDSS J104329.94+120515.8
 65841	10 45 59.53	+12 03 05.62	170.80	 2.14	44	 4.10	 0.05	 9.272	 1.267	  4.434	  2.042	2	SDSS J104559.52+120305.6
 65875	10 51 02.01	+11 37 34.03	 93.46	 2.14	67	 3.12	 0.07	 4.705	 0.574	 25.216	 11.615	2	SDSS J105102.00+113734.0
 65907	10 52 25.97	+10 32 50.22	 92.41	 1.79	23	 3.01	 0.06	 4.316	 0.484	 40.980	 18.875	2	SDSS J105225.97+103250.0
 65908	10 51 47.92	+10 51 58.36	115.56	 2.14	55	 1.89	 0.03	 3.680	 0.923	 17.529	  8.074	2	SDSS J105147.91+105158.3
 65912	10 50 30.54	+12 30 08.27	115.60	 2.14	45	 6.65	 0.12	 4.695	 0.634	 49.699	 22.891	2	SDSS J105030.53+123008.2
 65967	11 01 55.48	+11 50 54.23	206.49	 2.14	35	 8.32	 0.09	29.715	 2.484	 45.122	 20.783	2	SDSS J110155.48+115054.3
 65974	11 00 51.84	+11 00 45.55	116.99	 2.14	40	 8.14	 0.15	 7.363	 0.960	 45.516	 20.965	2	SDSS J110051.83+110045.6
 65982	11 00 27.85	+11 37 15.21	 41.54	 2.43	54	 2.22	 0.13	 0.804	 0.251	  0.462	  0.213	2	SDSS J110027.84+113715.1
 65995	10 58 48.48	+12 20 49.72	211.30	 2.14	75	 6.45	 0.07	12.461	13.186	 24.976	 11.504	2	SDSS J105848.48+122049.6
 65998	11 01 11.32	+12 28 29.11	115.83	 2.14	46	 8.15	 0.15	12.033	 1.151	 63.111	 29.069	2	SDSS J110111.31+122829.1
 66060	11 06 15.77	+12 39 57.55	 47.82	 2.68	72	 1.11	 0.06	 0.140	 0.131	  0.144	  0.066	1	SDSS J110615.73+123956.8
 66071	11 09 49.04	+12 46 12.77	186.42	 2.14	31	 5.55	 0.06	39.914	 3.735	 34.989	 16.116	2	SDSS J110949.03+124612.7
 66073	11 12 24.40	+13 06 10.94	203.34	 2.14	83	 9.96	 0.10	14.867	 4.967	 11.085	  5.106	2	SDSS J111224.41+130610.9
 66074	11 10 34.61	+12 27 09.57	 89.42	 1.62	84	 5.79	 0.10	 5.671	 0.548	  5.935	  2.734	2	SDSS J111034.60+122709.6
 66075	11 10 45.22	+12 00 58.07	 48.84	 2.68	65	 5.46	 0.30	 3.257	 0.741	 12.084	  5.566	2	SDSS J111045.21+120058.1
 66078	11 11 37.87	+12 07 19.16	184.36	 2.14	34	 8.34	 0.10	10.920	 8.774	103.378	 47.616	2	SDSS J111137.87+120719.1
 66084	11 13 56.51	+12 18 03.82	 49.02	 2.75	65	 4.00	 0.22	 3.779	 0.880	 12.227	  5.632	2	SDSS J111356.49+121803.8
 66107	11 19 38.65	+11 26 43.11	 44.64	 2.86	71	 1.88	 0.12	 0.363	 0.263	  0.127	  0.059	2	SDSS J111938.65+112643.3
 66126	11 19 20.91	+12 01 20.26	146.06	 2.14	69	 4.74	 0.07	 6.542	 2.745	 14.213	  6.546	2	SDSS J111920.89+120120.2
 66146	11 16 08.23	+11 02 54.95	 85.11	 1.46	50	 6.78	 0.12	 6.215	 0.541	  4.199	  1.934	2	SDSS J111608.25+110255.1
 66180	11 23 11.63	+13 07 03.87	206.37	 2.14	47	 5.70	 0.06	16.613	 2.915	 59.420	 27.369	2	SDSS J112311.62+130703.7
 66185	11 24 24.01	+12 24 56.13	172.90	 2.14	90	 9.46	 0.12	13.834	 5.289	 16.708	  7.696	2	SDSS J112423.99+122456.1
 66211	11 26 44.67	+12 50 54.32	179.49	 2.14	73	 6.22	 0.07	12.285	 7.981	 37.394	 17.224	2	SDSS J112644.66+125054.3
 66212	11 27 06.09	+13 14 19.29	 87.00	 1.57	25	 4.21	 0.08	 4.282	 0.456	  9.358	  4.310	2	SDSS J112706.08+131419.3
 66214	11 28 13.68	+13 01 49.59	111.85	 2.14	39	 4.94	 0.09	 2.336	 0.555	  0.748	  0.344	2	SDSS J112813.67+130149.7
 66219	11 30 53.47	+13 23 23.77	 86.54	 1.57	64	 2.71	 0.05	 2.372	 0.421	  0.955	  0.440	2	SDSS J113053.45+132323.6
 66220	11 32 53.54	+13 09 50.39	149.59	 2.14	41	 6.01	 0.09	 4.417	 1.391	 18.572	  8.554	2	SDSS J113253.54+130950.3
 66221	11 33 48.70	+12 37 32.10	 88.83	 1.75	86	 3.40	 0.07	 2.635	 0.473	  0.934	  0.430	2	SDSS J113348.68+123731.9
 66223	11 40 01.64	+11 27 46.07	148.54	 2.14	90	 8.53	 0.12	16.837	 2.014	 23.714	 10.923	2	SDSS J114001.64+112746.0
 66241	11 34 48.95	+11 14 59.65	155.73	 2.14	64	 6.37	 0.09	10.210	 3.679	 44.374	 20.439	2	SDSS J113448.95+111459.6
 66242	11 34 47.97	+11 46 16.50	137.44	 2.14	52	16.15	 0.25	 5.080	 1.042	  7.320	  3.372	2	SDSS J113448.02+114616.3
 66250	11 36 45.68	+13 25 27.73	200.31	 2.14	39	 3.87	 0.04	 6.668	 1.337	 15.673	  7.219	2	SDSS J113645.67+132527.2
 66251	11 37 18.45	+13 29 13.35	200.14	 2.14	44	 6.65	 0.07	10.752	 3.727	  5.185	  2.388	2	SDSS J113718.44+132913.2
 66253	11 37 15.31	+13 15 32.28	 88.56	 1.71	84	 3.86	 0.07	 1.632	 0.490	  0.732	  0.337	2	SDSS J113715.30+131532.3
 66281	11 40 41.32	+12 34 46.83	184.56	 2.14	46	 6.85	 0.08	 9.354	 5.973	 25.958	 11.956	2	SDSS J114041.31+123446.8
 66322	11 48 31.68	+11 05 51.13	149.01	 2.14	88	 8.70	 0.13	 9.116	 1.952	 13.358	  6.153	2	SDSS J114831.67+110551.0
 66328	11 44 53.58	+11 44 59.19	187.36	 2.14	34	 4.27	 0.05	14.057	 1.990	 37.035	 17.058	2	SDSS J114453.56+114459.2
 66363	11 57 48.08	+12 02 18.30	 39.19	 2.07	73	 3.10	 0.16	 1.113	 0.251	  0.491	  0.226	2	SDSS J115748.11+120218.5
 66402	11 58 43.43	+12 50 53.71	 97.40	 2.14	79	 3.31	 0.07	 2.313	 0.442	  2.503	  1.153	2	SDSS J115843.44+125053.3
 66439	12 03 57.33	+12 41 29.33	 97.96	 2.14	65	 2.77	 0.06	 2.181	 0.664	  8.061	  3.713	2	SDSS J120357.32+124129.3
 66447	12 16 25.31	+12 34 39.11	 92.25	 1.85	67	 3.33	 0.07	 1.450	 0.491	  0.302	  0.139	2	SDSS J121625.32+123439.1
 66864	11 20 30.31	+06 14 48.72	 88.74	 1.71	90	 7.29	 0.14	 3.531	 1.156	  5.022	  2.313	2	SDSS J112030.30+061448.8
 66872	11 18 54.04	+06 20 37.58	165.65	 2.14	90	 6.42	 0.08	 5.932	 5.035	  5.265	  2.425	2	SDSS J111853.99+062037.8
 66875	11 20 59.60	+06 55 14.54	179.74	 2.14	25	 8.86	 0.11	11.644	 1.889	 10.912	  5.026	2	SDSS J112059.60+065514.4
 66890	11 16 09.71	+06 02 46.90	171.06	 2.14	50	 2.55	 0.03	 7.343	 2.660	  2.744	  1.264	2	SDSS J111609.70+060247.0
 66898	11 16 40.84	+07 57 48.72	181.92	 2.14	23	 5.54	 0.07	 6.549	 1.373	 47.419	 21.841	2	SDSS J111640.83+075748.6
 66913	11 18 30.45	+07 17 37.86	131.57	 2.14	59	 5.99	 0.10	 7.458	 1.360	  5.984	  2.756	2	SDSS J111830.43+071737.9
 66918	11 20 07.31	+07 20 08.65	 38.04	 2.11	70	 0.86	 0.05	 0.772	 0.193	  0.286	  0.132	2	SDSS J112007.31+072009.1
 66920	11 20 43.74	+07 37 50.83	181.47	 2.14	44	11.11	 0.13	17.331	 2.276	 87.115	 40.125	2	SDSS J112043.73+073750.7
 66927	11 23 04.23	+07 56 16.48	220.03	 2.14	62	 7.19	 0.07	15.219	 7.337	 33.265	 15.322	2	SDSS J112304.22+075616.4
 66929	11 29 36.04	+06 22 42.44	 93.68	 2.14	72	 4.37	 0.10	 3.465	 0.670	  0.666	  0.307	2	SDSS J112936.03+062242.4
 66931	11 30 43.49	+06 53 00.57	 78.67	 1.46	59	 0.71	 0.01	 1.295	 0.306	  0.321	  0.148	2	SDSS J113043.48+065300.5
 66949	11 26 14.06	+07 50 31.69	 89.89	 1.71	90	 7.67	 0.15	 7.775	 0.744	 11.068	  5.098	2	SDSS J112614.03+075031.4
 66967	11 37 11.10	+06 35 14.10	117.59	 2.14	68	 1.72	 0.03	 6.159	 0.911	 16.813	  7.744	2	SDSS J113711.08+063514.1
 66984	11 35 02.20	+08 28 25.35	116.13	 2.14	39	 2.46	 0.05	 5.036	 1.185	 22.778	 10.491	2	SDSS J113502.19+082825.3
 66990	11 37 07.31	+08 05 32.69	198.40	 2.14	 9	 5.64	 0.06	15.478	 4.974	 53.608	 24.692	2	SDSS J113707.30+080532.7
 67008	11 39 31.16	+07 45 47.38	 92.33	 1.82	54	 5.12	 0.10	11.457	 1.041	 27.479	 12.657	2	SDSS J113931.15+074547.3
 67042	11 44 32.19	+06 42 15.44	 84.83	 1.50	78	 2.30	 0.04	 1.155	 0.268	  0.159	  0.073	2	SDSS J114432.18+064215.5
 67060	11 57 46.39	+06 16 00.30	187.62	 2.14	48	29.08	 0.33	11.598	 3.421	 10.086	  4.645	2	SDSS J115746.38+061600.1
 67202	12 06 08.38	+07 51 39.24	181.00	 2.14	55	 6.21	 0.07	11.210	 1.498	 14.274	  6.575	2	SDSS J120608.37+075139.2
 67225	12 12 25.51	+07 08 12.80	 82.71	 1.39	90	 3.76	 0.06	 1.864	 0.277	  0.602	  0.277	2	SDSS J121225.50+070812.6
 67271	12 19 50.98	+06 59 33.43	102.51	 2.14	25	 4.91	 0.10	15.648	 1.523	 21.199	  9.764	2	SDSS J121950.96+065933.4
 67280	12 17 58.12	+07 11 09.22	 58.86	 2.64	60	 9.89	 0.44	17.827	 3.310	 44.125	 20.324	2	SDSS J121758.11+071109.2
 67292	12 15 26.02	+07 46 27.22	 85.84	 1.54	71	 4.53	 0.08	 2.557	 0.388	  2.433	  1.121	2	SDSS J121525.99+074627.1
 67345	12 23 23.89	+07 28 23.56	 67.52	 1.97	60	15.69	 0.46	 4.318	 0.561	 88.134	 40.594	2	SDSS J122323.88+072823.4
 67352	12 22 19.10	+07 37 25.61	163.98	 2.14	39	 4.89	 0.06	 5.662	 1.268	  6.514	  3.000	2	SDSS J122219.09+073725.5
 67453	12 33 51.35	+08 01 28.91	164.92	 2.14	27	 4.90	 0.06	 6.022	 1.011	 42.400	 19.529	2	SDSS J123351.34+080128.8
 67508	12 38 15.76	+07 49 13.50	163.93	 2.14	52	 8.17	 0.11	 9.839	 2.398	 45.458	 20.938	2	SDSS J123815.75+074913.3
 67816	14 40 03.52	+34 05 59.48	 23.78	 1.71	51	 0.66	 0.05	 0.326	 0.097	  0.050	  0.023	1	SDSS J144003.47+340559.5
 67942	14 50 53.07	+34 11 50.33	 20.41	 1.79	53	 0.69	 0.06	 0.011	 0.005	  0.008	  0.004	1	SDSS J145053.09+341150.4
 68194	15 55 54.87	+26 57 59.37	 95.30	 2.14	62	 6.77	 0.15	11.432	 1.160	 35.903	 16.537	2	SDSS J155554.86+265759.4
 68209	15 49 48.63	+27 08 16.93	 31.33	 2.07	53	 1.23	 0.08	 0.175	 0.057	  0.271	  0.125	2	SDSS J154948.63+270816.8
 68214	16 01 24.63	+24 55 18.06	218.60	 2.14	48	 6.51	 0.06	24.487	 3.896	 27.975	 12.885	2	SDSS J160124.62+245518.1
 68217	16 03 09.72	+25 39 15.85	173.31	 2.14	57	 7.65	 0.09	14.069	 1.515	 20.542	  9.462	2	SDSS J160309.73+253915.8
 68220	16 01 11.52	+25 14 36.25	189.48	 2.14	57	 3.95	 0.04	11.278	 8.677	 33.541	 15.449	2	SDSS J160111.51+251436.2
 68246	15 56 30.32	+25 19 44.54	163.51	 2.14	61	 3.18	 0.04	 7.141	 3.900	  6.907	  3.181	2	SDSS J155630.31+251944.5
