#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T12:07:16 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:07:16	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/661/A11/tablec1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610011
#Name: J/A+A/661/A11
#Title: eFEDS. Masses of galaxy clusters and groups (Chui+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a11	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a11	    IVOID of underlying data collection
#INFO	creator=Chiu I.-N.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A..11C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A11	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610011	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A11_tablec1:
#Name: J/A+A/661/A11/tablec1
#Title: The estimates of the cluster true mass M500 of the eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A16)	eFEDS name (JHHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	n_Name	(A1)	[*] * for clusters with 20.1<=f_cont_<0.3	[ucd=meta.note]
#Column	logM500R0.2A	(F6.3)	Mass M500 with the core in the weak-lensing mass calibration for R>0.2h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	logM500R0.2B	(F6.3)	Mass M500 without the core in the weak-lensing mass calibration for R>0.2h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	e_logM500R0.2B	(F6.3)	Error on logM500R-0.2B	[ucd=stat.error]
#Column	logM500R0.5A	(F6.3)	Mass M500 with the core in the weak-lensing mass calibration for R>0.5h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	logM500R0.5B	(F6.3)	Mass M500 without the core in the weak-lensing mass calibration for R>0.5h^-1^Mpc (in h^1^M{sun} unit)	[ucd=phys.mass]
#Column	e_logM500R0.5B	(F6.3)	Error on logM500R-0.5B	[ucd=stat.error]
#Column	logM500Rzsp	(F6.3)	? Mass M500 estimated with spectroscopic redshifts and without the core in the weak-lensing calibration	[ucd=phys.mass]
#Column	e_logM500Rzsp	(F6.3)	? Error on logM500R-zsp	[ucd=stat.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from eFEDS main catalog (Brunner et al., 2022, Cat. J/A+A/661/A1) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from eFEDS main catalog (Brunner et al., 2022, Cat. J/A+A/661/A1) (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	n_Name	logM500R0.2A	logM500R0.2B	e_logM500R0.2B	logM500R0.5A	logM500R0.5B	e_logM500R0.5B	logM500Rzsp	e_logM500Rzsp	Simbad	_RA	_DE
     164	J085517.2+013508	 	14.163	14.029	 0.098	14.164	14.030	 0.099	14.012	 0.099	Simbad	133.82197	+01.58575
     165	J085519.1-014315	 	13.898	13.829	 0.102	13.907	13.837	 0.102	      	      	Simbad	133.82986	-01.72110
     166	J085524.3+015012	 	13.460	13.574	 0.125	13.472	13.586	 0.124	13.594	 0.123	Simbad	133.85163	+01.83690
     167	J085530.1-010634	 	14.590	14.470	 0.086	14.617	14.493	 0.088	      	      	Simbad	133.87578	-01.10971
     168	J085541.2+002740	 	13.434	13.299	 0.113	13.450	13.316	 0.112	13.367	 0.111	Simbad	133.92198	+00.46118
     169	J085542.6+032807	 	14.099	14.041	 0.097	14.126	14.067	 0.099	      	      	Simbad	133.92777	+03.46880
     170	J085547.0+025458	 	14.239	14.203	 0.086	14.276	14.238	 0.089	      	      	Simbad	133.94579	+02.91630
     171	J085604.8+002520	 	13.723	13.744	 0.111	13.721	13.742	 0.110	13.726	 0.110	Simbad	134.02034	+00.42237
     172	J085616.1-013945	 	14.216	14.172	 0.097	14.228	14.183	 0.099	      	      	Simbad	134.06740	-01.66262
     173	J085620.7+014649	 	14.483	14.465	 0.080	14.505	14.487	 0.083	14.484	 0.083	Simbad	134.08648	+01.78052
     174	J085623.6-013612	 	14.088	14.029	 0.106	14.096	14.036	 0.107	      	      	Simbad	134.09858	-01.60361
     175	J085624.3+004632	 	13.917	13.989	 0.114	13.920	13.991	 0.114	13.972	 0.114	Simbad	134.10170	+00.77576
     176	J085626.2+021348	 	13.427	13.369	 0.113	13.438	13.381	 0.111	13.400	 0.111	Simbad	134.10939	+02.23031
     177	J085627.2+014217	 	14.759	14.644	 0.082	14.781	14.664	 0.084	      	      	Simbad	134.11339	+01.70504
     178	J085635.0+031342	 	13.963	14.006	 0.112	13.968	14.012	 0.112	      	      	Simbad	134.14588	+03.22848
     179	J085650.4-022200	 	14.119	14.082	 0.099	14.117	14.080	 0.099	      	      	Simbad	134.21040	-02.36690
     180	J085705.9+011453	 	13.662	13.683	 0.106	13.658	13.679	 0.105	13.666	 0.105	Simbad	134.27497	+01.24821
     181	J085728.3+032354	 	13.875	13.686	 0.109	13.877	13.688	 0.108	13.684	 0.108	Simbad	134.36788	+03.39845
     182	J085740.1-020037	 	14.224	14.133	 0.087	14.250	14.157	 0.090	      	      	Simbad	134.41749	-02.01035
     183	J085744.0-022448	 	13.410	13.369	 0.119	13.424	13.384	 0.117	      	      	Simbad	134.43397	-02.41345
     184	J085751.6+031039	 	14.651	14.704	 0.094	14.613	14.666	 0.094	14.672	 0.094	Simbad	134.46523	+03.17763
     185	J085801.1-004103	 	13.684	13.677	 0.114	13.690	13.683	 0.113	13.681	 0.113	Simbad	134.50498	-00.68421
     186	J085805.0+010906	 	13.160	13.201	 0.115	13.179	13.219	 0.112	13.209	 0.113	Simbad	134.52096	+01.15172
     187	J085830.0-010656	 	13.795	13.782	 0.101	13.795	13.782	 0.100	13.789	 0.100	Simbad	134.62532	-01.11574
     188	J085837.9+012657	 	13.970	14.009	 0.097	13.995	14.035	 0.099	      	      	Simbad	134.65813	+01.44946
     189	J085841.8-020541	 	13.960	13.912	 0.094	13.979	13.931	 0.096	      	      	Simbad	134.67469	-02.09485
     190	J085849.8+022800	 	14.110	14.056	 0.098	14.099	14.045	 0.098	14.043	 0.098	Simbad	134.70758	+02.46691
     191	J085901.1-012025	 	14.142	14.274	 0.076	14.184	14.322	 0.080	      	      	Simbad	134.75493	-01.34056
     192	J085901.5+010649	 	13.398	13.612	 0.104	13.403	13.615	 0.103	13.621	 0.103	Simbad	134.75647	+01.11376
     193	J085913.1+031334	 	13.606	13.631	 0.120	13.611	13.636	 0.118	13.637	 0.118	Simbad	134.80476	+03.22643
     194	J085931.9+030839	 	14.198	14.282	 0.096	14.176	14.260	 0.096	14.254	 0.096	Simbad	134.88292	+03.14439
     195	J085948.9+041120	 	13.846	13.831	 0.105	13.844	13.828	 0.105	13.823	 0.105	Simbad	134.95381	+04.18904
     196	J085954.2-013308	 	13.778	13.835	 0.101	13.797	13.856	 0.103	      	      	Simbad	134.97606	-01.55241
     197	J090010.4+023631	 	13.719	13.632	 0.114	13.724	13.638	 0.113	13.611	 0.114	Simbad	135.04342	+02.60871
     198	J090020.8-002602	 	14.152	14.164	 0.090	14.162	14.174	 0.092	14.166	 0.092	Simbad	135.08689	-00.43402
     199	J090033.7+033932	 	14.273	14.316	 0.083	14.300	14.344	 0.086	      	      	Simbad	135.14067	+03.65923
     200	J090034.1-010649	 	13.898	13.886	 0.108	13.899	13.887	 0.108	13.882	 0.108	Simbad	135.14238	-01.11373
     201	J090044.6-011104	 	13.801	13.850	 0.125	13.814	13.862	 0.126	      	      	Simbad	135.18641	-01.18447
     202	J090051.6-003457	 	13.566	13.615	 0.117	13.580	13.629	 0.117	      	      	Simbad	135.21538	-00.58263
     203	J090053.0-002837	 	13.808	13.685	 0.107	13.817	13.693	 0.107	13.717	 0.106	Simbad	135.22133	-00.47720
     204	J090059.3+035925	 	14.186	14.233	 0.090	14.188	14.235	 0.091	14.225	 0.092	Simbad	135.24702	+03.99059
     205	J090104.4+011643	 	14.135	14.092	 0.101	14.127	14.085	 0.101	14.058	 0.102	Simbad	135.26869	+01.27888
     206	J090105.2-012525	 	14.123	14.009	 0.102	14.130	14.015	 0.103	14.033	 0.102	Simbad	135.27198	-01.42376
     207	J090115.3+005040	 	13.662	13.689	 0.108	13.671	13.699	 0.108	13.707	 0.108	Simbad	135.31410	+00.84453
     208	J090119.0+030204	 	13.610	13.509	 0.115	13.619	13.519	 0.114	13.508	 0.114	Simbad	135.32933	+03.03456
     209	J090121.9-003709	*	14.034	14.057	 0.096	14.049	14.073	 0.098	      	      	Simbad	135.34156	-00.61936
     210	J090129.1-013853	 	14.447	14.513	 0.093	14.430	14.497	 0.094	14.488	 0.095	Simbad	135.37177	-01.64834
     211	J090131.1+030056	 	14.201	14.411	 0.098	14.173	14.384	 0.098	14.381	 0.098	Simbad	135.37993	+03.01579
     212	J090133.2+021651	 	13.827	13.870	 0.104	13.833	13.876	 0.104	13.894	 0.104	Simbad	135.38861	+02.28097
     213	J090133.5-010540	 	13.726	13.557	 0.106	13.739	13.570	 0.106	13.516	 0.107	Simbad	135.38995	-01.09458
     214	J090137.7+030253	 	13.493	13.505	 0.125	13.503	13.515	 0.123	      	      	Simbad	135.40719	+03.04842
     215	J090140.9-012132	 	13.685	13.906	 0.102	13.686	13.908	 0.103	13.895	 0.103	Simbad	135.42094	-01.35910
     216	J090144.7+040827	 	14.408	14.284	 0.082	14.444	14.313	 0.085	      	      	Simbad	135.43652	+04.14097
     217	J090146.2-013756	 	14.123	14.141	 0.101	14.117	14.135	 0.102	14.120	 0.102	Simbad	135.44290	-01.63226
     218	J090153.9-012209	 	14.132	14.111	 0.094	14.129	14.107	 0.095	14.065	 0.096	Simbad	135.47496	-01.36942
     219	J090200.5+022339	 	13.675	13.817	 0.102	13.673	13.814	 0.102	13.812	 0.102	Simbad	135.50242	+02.39442
     220	J090210.6+032513	 	13.811	13.890	 0.109	13.827	13.908	 0.110	13.900	 0.111	Simbad	135.54447	+03.42054
     221	J090224.4-005150	 	13.790	13.910	 0.102	13.798	13.919	 0.103	      	      	Simbad	135.60217	-00.86413
     222	J090248.5+044005	 	14.092	14.033	 0.104	14.084	14.025	 0.104	14.007	 0.104	Simbad	135.70207	+04.66824
     223	J090255.2+030220	 	13.806	13.885	 0.104	13.800	13.880	 0.104	13.873	 0.104	Simbad	135.72998	+03.03904
     224	J090255.5+044036	 	13.998	13.998	 0.098	14.009	14.008	 0.100	14.039	 0.099	Simbad	135.73151	+04.67686
     225	J090256.2+014625	 	13.249	13.113	 0.115	13.270	13.136	 0.113	13.203	 0.113	Simbad	135.73453	+01.77375
     226	J090323.7+030738	 	14.270	14.213	 0.092	14.272	14.214	 0.093	      	      	Simbad	135.84882	+03.12738
     227	J090327.2+032545	 	13.896	13.964	 0.099	13.900	13.970	 0.100	13.963	 0.100	Simbad	135.86329	+03.42946
     228	J090328.7-013622	 	14.632	14.441	 0.092	14.634	14.441	 0.094	      	      	Simbad	135.86995	-01.60623
     229	J090333.8+043950	 	13.690	13.751	 0.110	13.693	13.753	 0.109	      	      	Simbad	135.89075	+04.66409
     230	J090336.7+033124	 	14.135	14.146	 0.095	14.153	14.164	 0.097	      	      	Simbad	135.90322	+03.52365
     231	J090408.6+012555	 	13.959	14.103	 0.088	13.985	14.133	 0.091	      	      	Simbad	136.03600	+01.43206
     232	J090409.7+003831	 	13.894	14.035	 0.113	13.894	14.035	 0.113	14.019	 0.114	Simbad	136.04052	+00.64213
     233	J090418.6+020642	 	14.210	14.252	 0.084	14.237	14.280	 0.087	      	      	Simbad	136.07779	+02.11182
     234	J090419.1-010436	 	13.862	13.783	 0.107	13.868	13.788	 0.107	13.799	 0.107	Simbad	136.07981	-01.07674
     235	J090430.7+042648	 	14.146	14.232	 0.090	14.151	14.238	 0.091	14.227	 0.092	Simbad	136.12802	+04.44693
     236	J090452.4+033326	 	14.354	14.305	 0.084	14.384	14.333	 0.087	      	      	Simbad	136.21865	+03.55745
     237	J090540.0+043440	 	14.459	14.472	 0.102	14.435	14.448	 0.102	      	      	Simbad	136.41692	+04.57811
     238	J090540.7+013219	 	14.232	14.334	 0.087	14.247	14.352	 0.089	14.344	 0.090	Simbad	136.41991	+01.53885
     239	J090600.3-002521	 	13.626	13.899	 0.104	13.627	13.901	 0.104	13.907	 0.104	Simbad	136.50175	-00.42256
     240	J090601.0+000055	 	13.692	13.645	 0.106	13.696	13.649	 0.106	13.650	 0.106	Simbad	136.50445	+00.01543
     241	J090609.4+042924	 	13.938	13.925	 0.106	13.947	13.934	 0.106	13.933	 0.106	Simbad	136.53906	+04.49025
     242	J090627.5+035846	 	14.137	14.080	 0.098	14.148	14.090	 0.100	14.076	 0.100	Simbad	136.61466	+03.97964
     243	J090628.9-012938	 	14.000	14.122	 0.093	14.004	14.128	 0.094	14.129	 0.094	Simbad	136.62087	-01.49412
     244	J090636.9+010852	 	14.321	14.318	 0.088	14.347	14.344	 0.091	      	      	Simbad	136.65421	+01.14794
     245	J090656.3+044717	 	13.678	13.608	 0.119	13.677	13.608	 0.117	      	      	Simbad	136.73449	+04.78835
     246	J090718.6+035258	 	14.280	14.230	 0.086	14.305	14.254	 0.089	      	      	Simbad	136.82767	+03.88298
     247	J090723.8-011210	 	14.003	13.965	 0.098	14.002	13.963	 0.099	13.890	 0.100	Simbad	136.84962	-01.20288
     248	J090734.3-012744	 	14.086	14.009	 0.093	14.121	14.043	 0.096	      	      	Simbad	136.89320	-01.46250
     249	J090750.1+025006	*	14.318	14.165	 0.089	14.342	14.184	 0.091	      	      	Simbad	136.95907	+02.83515
     250	J090751.9+024647	 	14.045	13.938	 0.104	14.067	13.959	 0.106	13.956	 0.106	Simbad	136.96657	+02.77982
     251	J090752.9+013407	 	13.703	13.652	 0.120	13.704	13.654	 0.118	13.659	 0.118	Simbad	136.97058	+01.56877
     252	J090754.5+005738	 	14.321	14.207	 0.087	14.349	14.232	 0.089	      	      	Simbad	136.97730	+00.96070
     253	J090757.5+025427	 	14.076	14.096	 0.091	14.104	14.124	 0.094	14.119	 0.094	Simbad	136.98992	+02.90782
     254	J090803.8+020045	 	14.150	14.136	 0.092	14.159	14.144	 0.094	14.140	 0.094	Simbad	137.01624	+02.01272
     255	J090805.9+011952	 	14.031	14.066	 0.093	14.051	14.087	 0.096	14.086	 0.096	Simbad	137.02505	+01.33144
     256	J090806.9+042351	 	13.902	13.804	 0.106	13.898	13.801	 0.106	13.838	 0.105	Simbad	137.02880	+04.39785
     257	J090816.3+033416	*	13.370	13.173	 0.124	13.389	13.195	 0.122	      	      	Simbad	137.06797	+03.57139
     258	J090817.2-013034	 	13.589	13.743	 0.112	13.598	13.753	 0.112	13.747	 0.112	Simbad	137.07191	-01.50960
     259	J090821.9+025141	 	14.154	14.248	 0.094	14.179	14.276	 0.096	      	      	Simbad	137.09121	+02.86161
     260	J090838.0+015226	 	13.933	14.016	 0.097	13.929	14.011	 0.097	13.994	 0.098	Simbad	137.15855	+01.87411
     261	J090849.7+042241	 	14.382	14.429	 0.081	14.406	14.455	 0.084	      	      	Simbad	137.20708	+04.37844
     262	J090913.8-001214	 	14.484	14.387	 0.093	14.472	14.374	 0.094	14.370	 0.095	Simbad	137.30799	-00.20400
     263	J090915.3-010104	 	14.483	14.359	 0.080	14.515	14.387	 0.083	      	      	Simbad	137.31407	-01.01785
     264	J090916.0-015540	 	13.812	13.963	 0.100	13.813	13.966	 0.101	13.945	 0.101	Simbad	137.31702	-01.92800
     265	J090930.6+034055	 	14.471	14.328	 0.093	14.497	14.351	 0.095	      	      	Simbad	137.37742	+03.68228
     266	J090932.5-005020	 	14.185	14.303	 0.076	14.222	14.345	 0.079	      	      	Simbad	137.38584	-00.83898
     267	J090938.1+040816	 	13.464	13.466	 0.114	13.475	13.477	 0.113	      	      	Simbad	137.40873	+04.13808
     268	J091011.7+013914	 	13.718	13.782	 0.115	13.723	13.787	 0.114	13.811	 0.114	Simbad	137.54911	+01.65412
     269	J091032.4+035301	*	13.748	13.922	 0.103	13.751	13.928	 0.104	      	      	Simbad	137.63525	+03.88382
     270	J091033.8+005100	 	14.311	14.261	 0.091	14.309	14.258	 0.092	14.251	 0.092	Simbad	137.64097	+00.85009
     271	J091057.2+041730	 	14.101	14.078	 0.094	14.111	14.087	 0.095	      	      	Simbad	137.73829	+04.29189
     272	J091104.1+052237	 	13.463	13.552	 0.119	13.469	13.558	 0.118	      	      	Simbad	137.76694	+05.37719
     273	J091111.0+040015	*	14.095	14.057	 0.101	14.107	14.069	 0.102	      	      	Simbad	137.79593	+04.00444
     274	J091117.1+030441	 	13.487	13.630	 0.117	13.494	13.636	 0.115	13.641	 0.115	Simbad	137.82152	+03.07833
     275	J091139.3-014144	 	14.274	14.186	 0.091	14.291	14.202	 0.093	      	      	Simbad	137.91436	-01.69581
     276	J091159.7+031036	*	13.551	13.573	 0.114	13.560	13.582	 0.113	13.613	 0.112	Simbad	137.99875	+03.17692
     277	J091213.4-021621	 	13.848	13.865	 0.134	13.841	13.858	 0.132	      	      	Simbad	138.05617	-02.27261
     278	J091214.1+022443	 	13.387	13.312	 0.124	13.403	13.330	 0.123	13.319	 0.123	Simbad	138.05891	+02.41228
     279	J091215.3-021743	 	14.153	14.337	 0.097	14.125	14.308	 0.096	      	      	Simbad	138.06433	-02.29559
     280	J091248.2+002446	 	13.944	13.930	 0.114	13.944	13.929	 0.114	13.986	 0.112	Simbad	138.20120	+00.41304
     281	J091254.4+032028	 	14.413	14.431	 0.085	14.427	14.446	 0.087	      	      	Simbad	138.22689	+03.34148
     282	J091302.1+035000	 	14.061	14.134	 0.100	14.068	14.141	 0.101	      	      	Simbad	138.25891	+03.83370
     283	J091305.9+035021	 	14.181	14.244	 0.098	14.185	14.249	 0.100	14.251	 0.100	Simbad	138.27461	+03.83947
     284	J091315.0+034850	 	14.394	14.399	 0.088	14.394	14.399	 0.090	14.407	 0.089	Simbad	138.31241	+03.81403
     285	J091320.3+032834	 	14.043	13.943	 0.098	14.051	13.951	 0.099	13.961	 0.099	Simbad	138.33473	+03.47638
     286	J091322.9+040617	 	13.019	12.953	 0.116	13.049	12.985	 0.113	13.037	 0.113	Simbad	138.34531	+04.10508
     287	J091331.0+024513	 	13.385	13.390	 0.111	13.398	13.403	 0.110	13.402	 0.110	Simbad	138.37921	+02.75380
     288	J091336.6+031723	 	13.803	13.756	 0.108	13.796	13.750	 0.107	13.794	 0.106	Simbad	138.40249	+03.28998
     289	J091351.1-004507	 	14.373	14.287	 0.096	14.365	14.278	 0.097	14.243	 0.098	Simbad	138.46336	-00.75197
     290	J091354.7+025323	 	13.807	13.895	 0.110	13.817	13.906	 0.111	      	      	Simbad	138.47815	+02.88986
     291	J091358.1+025707	 	14.093	14.121	 0.105	14.099	14.127	 0.106	14.107	 0.106	Simbad	138.49237	+02.95215
     292	J091402.7-010208	 	14.164	14.053	 0.095	14.178	14.067	 0.096	14.061	 0.096	Simbad	138.51181	-01.03581
     293	J091403.3+013846	 	14.044	14.078	 0.104	14.028	14.061	 0.103	14.066	 0.103	Simbad	138.51407	+01.64644
     294	J091412.6+001856	 	14.176	13.865	 0.105	14.168	13.856	 0.104	13.858	 0.104	Simbad	138.55287	+00.31579
     295	J091414.9+022709	 	13.958	13.930	 0.105	13.961	13.934	 0.106	13.960	 0.105	Simbad	138.56232	+02.45282
     296	J091417.7+031159	 	14.025	13.931	 0.105	14.019	13.926	 0.105	13.941	 0.105	Simbad	138.57392	+03.19985
     297	J091423.9+022833	 	13.780	13.888	 0.103	13.783	13.892	 0.103	13.894	 0.103	Simbad	138.59985	+02.47600
     298	J091433.8+022718	 	14.011	14.044	 0.097	14.009	14.043	 0.097	14.041	 0.097	Simbad	138.64110	+02.45512
     299	J091439.5-014416	 	13.781	13.925	 0.098	13.792	13.938	 0.100	13.934	 0.100	Simbad	138.66506	-01.73800
     300	J091445.7+032755	 	13.710	13.612	 0.122	13.710	13.614	 0.120	13.531	 0.121	Simbad	138.69057	+03.46560
     301	J091446.1+001047	 	14.503	14.238	 0.087	14.519	14.248	 0.089	14.254	 0.089	Simbad	138.69261	+00.17990
     302	J091450.6-022606	 	14.048	14.153	 0.090	14.056	14.164	 0.092	      	      	Simbad	138.71124	-02.43512
     303	J091453.6+041613	 	14.172	14.220	 0.100	14.146	14.194	 0.100	14.189	 0.100	Simbad	138.72334	+04.27050
     304	J091509.5+051521	 	14.294	14.240	 0.102	14.280	14.226	 0.102	      	      	Simbad	138.78949	+05.25610
     305	J091512.2+043506	 	13.793	13.871	 0.103	13.799	13.877	 0.104	13.894	 0.103	Simbad	138.80106	+04.58521
     306	J091517.4-005909	 	13.815	13.792	 0.106	13.827	13.804	 0.107	13.801	 0.107	Simbad	138.82306	-00.98604
     307	J091520.5+045203	 	13.484	13.364	 0.134	13.495	13.378	 0.131	      	      	Simbad	138.83556	+04.86770
     308	J091522.5+041201	 	14.085	13.994	 0.114	14.096	14.005	 0.115	14.003	 0.115	Simbad	138.84364	+04.20041
     309	J091553.1+040545	*	13.799	13.708	 0.109	13.812	13.720	 0.110	13.922	 0.103	Simbad	138.97137	+04.09620
     310	J091555.6-013248	 	14.671	14.623	 0.089	14.673	14.624	 0.090	14.617	 0.091	Simbad	138.98217	-01.54680
     311	J091601.8+000831	 	14.068	14.056	 0.097	14.084	14.072	 0.099	      	      	Simbad	139.00789	+00.14204
     312	J091609.4+013519	 	14.159	14.219	 0.098	14.163	14.224	 0.100	14.229	 0.099	Simbad	139.03935	+01.58888
     313	J091610.1-002348	 	14.567	14.669	 0.094	14.546	14.648	 0.095	14.654	 0.094	Simbad	139.04242	-00.39690
     314	J091612.9-015839	 	13.524	13.588	 0.114	13.529	13.592	 0.113	13.600	 0.113	Simbad	139.05424	-01.97761
     315	J091631.9-020207	 	13.589	13.780	 0.116	13.597	13.788	 0.116	      	      	Simbad	139.13339	-02.03549
     316	J091642.3+040634	 	13.873	13.902	 0.110	13.876	13.905	 0.110	13.909	 0.110	Simbad	139.17626	+04.10960
     317	J091646.9+015531	 	13.977	13.990	 0.103	13.973	13.986	 0.103	13.972	 0.104	Simbad	139.19568	+01.92554
     318	J091648.1+030506	 	14.221	14.137	 0.091	14.241	14.156	 0.093	14.156	 0.093	Simbad	139.20063	+03.08518
     319	J091655.7-011158	 	13.873	13.703	 0.111	13.882	13.712	 0.111	13.720	 0.111	Simbad	139.23264	-01.19959
     320	J091722.4+010118	 	14.298	14.235	 0.095	14.295	14.231	 0.096	14.233	 0.096	Simbad	139.34358	+01.02189
     321	J091741.1+024518	 	13.908	13.973	 0.101	13.920	13.986	 0.103	13.989	 0.103	Simbad	139.42145	+02.75517
     322	J091749.4+014621	 	13.951	13.981	 0.106	13.954	13.984	 0.106	13.991	 0.106	Simbad	139.45597	+01.77283
     323	J091757.1+050915	 	14.808	14.681	 0.088	14.820	14.689	 0.090	      	      	Simbad	139.48793	+05.15432
     324	J091842.2+034754	 	14.118	13.886	 0.106	14.133	13.898	 0.107	      	      	Simbad	139.67578	+03.79866
     325	J091849.0+021204	 	14.102	14.273	 0.094	14.090	14.261	 0.095	14.258	 0.095	Simbad	139.70420	+02.20141
     326	J091851.7+021432	 	13.853	13.776	 0.111	13.857	13.781	 0.111	13.787	 0.111	Simbad	139.71552	+02.24240
     327	J091855.8+004916	 	14.176	14.089	 0.099	14.207	14.119	 0.101	      	      	Simbad	139.73273	+00.82118
     328	J091858.0+024946	 	13.808	13.765	 0.108	13.806	13.764	 0.108	13.786	 0.107	Simbad	139.74176	+02.82963
     329	J091900.0+035311	 	14.022	14.065	 0.102	14.026	14.070	 0.102	14.076	 0.102	Simbad	139.75018	+03.88656
     330	J091925.6-010430	 	13.910	13.962	 0.095	13.925	13.977	 0.096	13.966	 0.097	Simbad	139.85690	-01.07521
     331	J091934.6+033941	*	13.858	13.729	 0.103	13.860	13.731	 0.103	      	      	Simbad	139.89423	+03.66164
     332	J091957.7+035012	 	14.325	14.293	 0.091	14.335	14.302	 0.093	14.304	 0.093	Simbad	139.99065	+03.83702
     333	J092022.0+030106	 	13.804	13.789	 0.109	13.821	13.806	 0.110	      	      	Simbad	140.09178	+03.01869
     334	J092022.8+045012	 	13.980	13.927	 0.103	13.978	13.925	 0.103	13.933	 0.103	Simbad	140.09520	+04.83707
     335	J092023.2+013444	 	14.565	14.538	 0.080	14.584	14.557	 0.082	      	      	Simbad	140.09676	+01.57896
     336	J092031.3+024710	 	13.877	13.736	 0.115	13.881	13.741	 0.114	13.779	 0.113	Simbad	140.13053	+02.78642
     337	J092031.8+040621	 	14.052	14.085	 0.093	14.069	14.103	 0.095	14.089	 0.095	Simbad	140.13276	+04.10601
     338	J092037.0-011506	 	13.684	13.719	 0.108	13.682	13.717	 0.107	13.704	 0.107	Simbad	140.15469	-01.25186
     339	J092037.9+033528	 	13.840	13.792	 0.104	13.850	13.801	 0.105	      	      	Simbad	140.15794	+03.59136
     340	J092039.1+004725	 	13.949	13.880	 0.098	13.963	13.893	 0.099	13.910	 0.098	Simbad	140.16324	+00.79047
     341	J092041.1+041117	 	13.988	13.983	 0.099	14.006	14.001	 0.101	      	      	Simbad	140.17148	+04.18844
     342	J092046.2+002849	 	14.275	14.329	 0.094	14.272	14.327	 0.095	14.340	 0.095	Simbad	140.19273	+00.48038
     343	J092049.5+024513	 	14.476	14.380	 0.093	14.461	14.364	 0.094	14.362	 0.094	Simbad	140.20626	+02.75388
     344	J092053.4+021125	 	14.051	13.838	 0.114	14.053	13.842	 0.113	13.830	 0.114	Simbad	140.22280	+02.19057
     345	J092105.0+004452	 	13.166	13.257	 0.116	13.185	13.276	 0.114	13.300	 0.114	Simbad	140.27107	+00.74804
     346	J092121.2+031726	 	14.732	14.692	 0.090	14.715	14.676	 0.091	14.650	 0.092	Simbad	140.33840	+03.29070
     347	J092133.2+043431	*	14.061	13.936	 0.108	14.069	13.944	 0.109	13.966	 0.108	Simbad	140.38835	+04.57551
     348	J092134.4+015832	 	14.121	14.199	 0.096	14.111	14.191	 0.097	14.183	 0.097	Simbad	140.39358	+01.97578
     349	J092135.4+005128	 	13.843	13.945	 0.098	13.856	13.959	 0.099	13.954	 0.100	Simbad	140.39774	+00.85802
     350	J092136.4-001449	 	14.234	14.101	 0.099	14.232	14.098	 0.100	14.089	 0.100	Simbad	140.40214	-00.24706
     351	J092202.2+034520	 	14.059	14.103	 0.098	14.050	14.095	 0.099	14.100	 0.099	Simbad	140.50944	+03.75580
     352	J092209.3+034628	 	14.400	14.526	 0.092	14.377	14.504	 0.093	14.508	 0.093	Simbad	140.53903	+03.77472
     353	J092212.0-002731	 	14.363	14.480	 0.093	14.348	14.465	 0.094	14.469	 0.094	Simbad	140.55048	-00.45864
     354	J092235.8-002443	 	13.420	13.340	 0.114	13.428	13.350	 0.112	13.274	 0.112	Simbad	140.64955	-00.41196
     355	J092241.9+020719	 	13.750	13.831	 0.106	13.746	13.827	 0.106	13.823	 0.106	Simbad	140.67494	+02.12229
