#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T12:07:18 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:07:18	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/890/148/table2&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18900148
#Name: J/ApJ/890/148
#Title: Concentration-mass relation for XXL clusters (Umetsu+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/890/148	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/890/148	    IVOID of underlying data collection
#INFO	creator=Umetsu K.	    First author or institution
#INFO	cites=bibcode:2020ApJ...890..148U	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/890/148	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18900148	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_890_148_table2:
#Name: J/ApJ/890/148/table2
#Title: Cluster properties and weak-lensing measurements
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	XLSSC	(I3)	[2/202] Identifier (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F7.3)	[30.42/38.51] X-ray cluster right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	[-6.21/-2.66] X-ray cluster declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F6.3)	[0.03/1.04] Redshift	[ucd=src.redshift]
#Column	Cl	(I1)	[1/2] Object class (2)	[ucd=meta.code]
#Column	T300kpc	(F5.2)	[0.63/6.03]? X-ray temperature, T_300kpc_	[ucd=phys.temperature]
#Column	e_T300kpc	(F5.2)	[0.03/1.05]? T300kpc downwards uncertainty	[ucd=stat.error]
#Column	E_T300kpc	(F5.2)	[0.04/1.14]? T300kpc upwards uncertainty	[ucd=stat.error;stat.max]
#Column	c200	(F4.1)	[2/9.6] Concentration parameter c_200_=r_200_/r_s_ (section 4.1) (3)	[ucd=stat.param]
#Column	e_c200	(F4.1)	[1.2/5.6] C200 uncertainty	[ucd=stat.error]
#Column	c200Med	(F4.1)	[1.9/9.3] Median value of c200	[ucd=stat.median]
#Column	M200	(F5.2)	[0.07/9.64] Mass enclosed within a sphere of radius r_200_ (3)	[ucd=phys.mass]
#Column	e_M200	(F5.2)	[0.08/7.94] M200 uncertainty	[ucd=stat.error]
#Column	M200Med	(F5.2)	[0.07/9.45] Median value of M200	[ucd=phys.mass;stat.median]
#Column	M500	(F5.2)	[0.05/5.59] Mass, M_500_ (3)	[ucd=phys.mass]
#Column	e_M500	(F5.2)	[0.05/5.5] M500 uncertainty	[ucd=stat.error]
#Column	M500Med	(F5.2)	[0.05/5.53] Median value of M500	[ucd=phys.mass;stat.median]
#Column	M200MT	(F5.2)	[0.2/6.8]? Bias-corrected, weak-lensing-calibrated mass estimates, M_200,MT_ (4)	[ucd=phys.mass]
#Column	e_M200MT	(F5.2)	[0.1/2.2]? M200MT downwards uncertainty	[ucd=stat.error]
#Column	E_M200MT	(F5.2)	[0.19/3.4]? M200MT upwards uncertainty	[ucd=stat.error;stat.max]
#Column	M500MT	(F5.2)	[0.16/4.72]? Bias-corrected, weak-lensing-calibrated mass estimates, M_500,MT_ (4)	[ucd=phys.mass]
#Column	e_M500MT	(F5.2)	[0.08/1.35]? M500MT downwards uncertainty	[ucd=stat.error]
#Column	E_M500MT	(F5.2)	[0.14/1.92]? M500MT upwards uncertainty	[ucd=stat.error;stat.max]
#Column	S/N	(F4.1)	[-2.1/6] Signal-to-noise ratio based on the linear estimator (Equation (13))	[ucd=stat.snr]
#Column	SNRq	(F4.1)	[0.8/9.1] Signal-to-noise ratio based on the quadratic estimator (Equation (15))	[ucd=stat.snr]
#Column	R18	(I3)	Display data from XXL DR2 cat. (IX/52), Paper XXVIII	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	XLSSC	RAJ2000	DEJ2000	z	Cl	T300kpc	e_T300kpc	E_T300kpc	c200	e_c200	c200Med	M200	e_M200	M200Med	M500	e_M500	M500Med	M200MT	e_M200MT	E_M200MT	M500MT	e_M500MT	E_M500MT	S/N	SNRq	R18	Simbad
      71	110	033.537	-05.585	 0.445	1	 1.74	 0.22	 0.28	 3.2	 3.1	 3.0	 3.43	 2.55	 3.32	 2.23	 1.51	 2.20	 1.81	 0.71	 1.26	 1.33	 0.52	 0.88	 3.1	 4.6	  1	Simbad
      72	111	033.111	-05.627	 0.300	1	 3.70	 0.50	 0.52	 2.0	 1.2	 1.9	 5.89	 3.02	 5.73	 3.40	 1.48	 3.36	 4.43	 1.49	 2.33	 2.98	 0.92	 1.36	 5.6	 6.5	  1	Simbad
      73	112	032.514	-05.462	 0.139	1	 1.02	 0.05	 0.06	 3.6	 3.9	 3.2	 0.74	 0.84	 0.63	 0.49	 0.52	 0.41	 0.57	 0.25	 0.45	 0.40	 0.18	 0.32	 3.8	 4.4	  1	Simbad
      74	114	030.425	-05.031	 0.234	2	     	     	     	 4.8	 3.8	 4.5	 3.47	 1.61	 3.42	 2.42	 1.03	 2.41	     	     	     	     	     	     	 3.2	 6.2	  1	Simbad
      75	116	032.664	-05.945	 0.534	2	 6.03	 0.48	 0.29	 5.4	 5.0	 4.3	 0.23	 0.38	 0.24	 0.15	 0.25	 0.16	 2.68	 1.41	 2.45	 1.78	 0.94	 1.72	 0.0	 2.9	  1	Simbad
      76	117	033.121	-05.528	 0.298	1	 3.42	 0.57	 0.47	 3.6	 3.6	 3.3	 2.37	 1.63	 2.32	 1.56	 0.97	 1.55	 2.35	 0.90	 1.45	 1.60	 0.60	 0.95	 3.9	 4.9	  1	Simbad
      77	121	037.015	-05.297	 0.317	2	 2.18	 0.33	 0.34	 4.1	 4.2	 3.6	 1.30	 1.34	 1.13	 0.87	 0.87	 0.76	 1.34	 0.59	 1.00	 0.91	 0.41	 0.71	 1.9	 2.9	  1	Simbad
      78	123	036.487	-05.643	 0.194	1	     	     	     	 5.8	 5.2	 4.6	 0.17	 0.24	 0.15	 0.11	 0.16	 0.10	     	     	     	     	     	     	-0.1	 3.4	  1	Simbad
      79	124	034.425	-04.863	 0.516	1	 2.13	 0.38	 0.41	 5.3	 4.9	 4.2	 0.36	 0.59	 0.34	 0.24	 0.40	 0.23	 1.05	 0.52	 0.92	 0.71	 0.36	 0.66	 0.9	 3.3	  1	Simbad
      80	127	036.850	-03.566	 0.315	2	 0.91	 0.15	 0.14	 6.0	 5.2	 4.9	 0.35	 0.46	 0.28	 0.24	 0.32	 0.19	 0.48	 0.23	 0.41	 0.33	 0.16	 0.30	-0.4	 2.9	  0	Simbad
      81	130	035.176	-05.430	 0.546	2	 1.53	 0.30	 0.25	 4.4	 4.5	 3.7	 0.72	 1.16	 0.63	 0.51	 0.80	 0.42	 0.88	 0.43	 0.77	 0.60	 0.30	 0.56	 1.5	 2.8	  1	Simbad
      82	135	033.868	-04.049	 0.371	2	 1.30	 0.20	 0.26	 5.1	 4.9	 4.0	 0.58	 0.79	 0.47	 0.39	 0.54	 0.31	 0.74	 0.35	 0.63	 0.50	 0.24	 0.45	 1.5	 3.5	  1	Simbad
      83	137	034.416	-03.807	 0.290	2	 1.66	 0.15	 0.22	 4.8	 4.7	 3.9	 0.26	 0.37	 0.22	 0.17	 0.25	 0.15	 0.76	 0.37	 0.62	 0.51	 0.25	 0.45	 1.1	 2.3	  1	Simbad
      84	138	033.750	-03.905	 0.140	2	     	     	     	 3.1	 3.1	 3.0	 1.01	 1.00	 0.92	 0.66	 0.61	 0.60	     	     	     	     	     	     	 3.2	 4.9	  1	Simbad
      85	139	034.267	-03.536	 0.216	2	     	     	     	 4.9	 4.8	 3.8	 0.17	 0.24	 0.16	 0.11	 0.17	 0.11	     	     	     	     	     	     	 1.8	 3.7	  0	Simbad
      86	140	036.303	-05.524	 0.294	2	 1.44	 0.17	 0.21	 4.8	 4.8	 3.8	 0.14	 0.20	 0.14	 0.09	 0.14	 0.09	 0.60	 0.30	 0.51	 0.40	 0.20	 0.36	 1.8	 3.0	  1	Simbad
      87	141	034.357	-04.659	 0.196	2	     	     	     	 6.0	 5.2	 4.8	 0.25	 0.33	 0.21	 0.17	 0.23	 0.14	     	     	     	     	     	     	-0.4	 3.3	  1	Simbad
      88	142	034.729	-05.469	 0.451	2	 2.10	 0.37	 0.54	 6.0	 5.2	 4.8	 0.11	 0.16	 0.12	 0.08	 0.11	 0.08	 0.81	 0.41	 0.71	 0.53	 0.27	 0.49	-1.7	 2.6	  1	Simbad
      89	144	034.152	-04.450	 0.447	2	 1.72	 0.23	 0.28	 2.4	 1.9	 2.4	 5.26	 3.26	 5.09	 3.22	 1.75	 3.18	 2.56	 0.96	 1.67	 1.93	 0.69	 1.12	 3.8	 4.3	  1	Simbad
      90	145	037.388	-04.666	 0.627	2	     	     	     	 4.8	 4.8	 3.9	 0.13	 0.20	 0.15	 0.09	 0.13	 0.10	     	     	     	     	     	     	 0.6	 1.7	  1	Simbad
      91	146	037.462	-04.150	 0.254	1	 1.84	 0.28	 0.26	 5.2	 4.9	 4.0	 0.11	 0.15	 0.11	 0.07	 0.10	 0.07	 0.69	 0.34	 0.59	 0.46	 0.23	 0.41	-0.1	 2.9	  1	Simbad
      92	147	037.641	-04.625	 0.031	2	     	     	     	 5.4	 5.0	 4.3	 0.21	 0.32	 0.20	 0.14	 0.22	 0.14	     	     	     	     	     	     	 0.2	 3.0	  1	Simbad
      93	148	037.719	-04.859	 0.294	2	 1.19	 0.08	 0.06	 5.2	 4.8	 4.3	 0.80	 0.79	 0.73	 0.56	 0.54	 0.49	 0.69	 0.30	 0.51	 0.48	 0.21	 0.37	 0.8	 4.3	  1	Simbad
      94	149	037.634	-04.989	 0.292	2	     	     	     	 3.6	 3.4	 3.4	 2.92	 1.70	 2.85	 1.92	 1.00	 1.90	     	     	     	     	     	     	 3.8	 5.0	  1	Simbad
      95	150	037.661	-04.992	 0.292	1	 2.02	 0.29	 0.40	 2.7	 2.3	 2.7	 2.01	 1.49	 1.94	 1.27	 0.88	 1.24	 1.59	 0.62	 1.04	 1.09	 0.42	 0.70	 3.0	 4.0	  1	Simbad
      96	151	038.122	-04.788	 0.189	1	 1.86	 0.30	 0.27	 3.3	 2.8	 3.2	 2.92	 1.56	 2.87	 1.91	 0.93	 1.89	 2.12	 0.72	 1.15	 1.51	 0.50	 0.77	 3.1	 6.7	  1	Simbad
      97	152	038.082	-04.817	 0.205	2	 0.81	 0.15	 0.16	 2.7	 2.5	 2.6	 0.83	 0.95	 0.71	 0.53	 0.56	 0.46	 0.56	 0.25	 0.47	 0.39	 0.18	 0.33	 3.3	 3.6	  1	Simbad
      98	153	038.490	-05.139	 0.880	2	     	     	     	 5.5	 5.0	 4.3	 0.16	 0.29	 0.27	 0.11	 0.19	 0.18	     	     	     	     	     	     	-1.2	 2.6	  1	Simbad
      99	154	038.502	-04.826	 0.179	1	 1.17	 0.08	 0.06	 5.9	 5.2	 4.7	 0.16	 0.23	 0.15	 0.11	 0.15	 0.10	 0.49	 0.23	 0.39	 0.33	 0.16	 0.28	 0.4	 3.8	  1	Simbad
     100	158	032.793	-04.349	 0.442	2	 1.72	 0.27	 0.31	 5.8	 4.5	 5.2	 6.81	 3.16	 6.70	 4.86	 1.98	 4.82	 3.94	 1.35	 2.11	 3.25	 1.01	 1.50	 3.5	 5.3	  1	Simbad
     101	159	032.268	-05.305	 0.614	2	 2.44	 0.48	 0.67	 6.1	 5.2	 4.9	 0.22	 0.37	 0.25	 0.14	 0.25	 0.17	 1.10	 0.55	 0.99	 0.74	 0.38	 0.71	-0.4	 2.6	  1	Simbad
     102	160	031.521	-05.194	 0.817	2	     	     	     	 5.3	 4.9	 4.2	 0.32	 0.67	 0.66	 0.21	 0.45	 0.45	     	     	     	     	     	     	 0.5	 1.9	  1	Simbad
     103	161	033.915	-05.980	 0.306	1	 2.41	 0.34	 0.41	 5.5	 5.0	 4.4	 0.74	 0.81	 0.63	 0.52	 0.56	 0.42	 1.23	 0.56	 0.94	 0.84	 0.39	 0.68	 1.2	 3.3	  1	Simbad
     104	162	032.524	-06.093	 0.138	2	     	     	     	 4.6	 4.6	 3.7	 0.21	 0.31	 0.20	 0.14	 0.21	 0.13	     	     	     	     	     	     	 2.1	 2.4	  1	Simbad
     105	163	032.463	-06.117	 0.283	1	     	     	     	 5.0	 4.8	 4.0	 0.16	 0.24	 0.16	 0.11	 0.16	 0.11	     	     	     	     	     	     	 0.7	 2.1	  1	Simbad
     106	165	033.356	-04.516	 0.180	2	 0.97	 0.15	 0.12	 6.1	 5.1	 5.0	 0.71	 0.72	 0.62	 0.50	 0.51	 0.43	 0.60	 0.26	 0.46	 0.41	 0.19	 0.33	 0.2	 3.5	  1	Simbad
     107	166	033.211	-04.600	 0.158	1	 1.54	 0.17	 0.14	 5.9	 5.2	 4.7	 0.33	 0.42	 0.27	 0.23	 0.29	 0.18	 0.71	 0.33	 0.56	 0.48	 0.23	 0.41	 0.7	 3.7	  1	Simbad
     108	167	032.479	-04.630	 0.298	1	 1.84	 0.23	 0.25	 4.6	 4.6	 3.8	 0.36	 0.49	 0.29	 0.24	 0.33	 0.19	 0.88	 0.42	 0.72	 0.59	 0.29	 0.51	 0.8	 3.0	  1	Simbad
     109	168	037.387	-05.880	 0.295	1	 2.16	 0.31	 0.36	 5.7	 5.1	 4.5	 0.09	 0.11	 0.09	 0.06	 0.07	 0.06	 0.72	 0.36	 0.62	 0.47	 0.24	 0.42	-0.6	 3.0	  1	Simbad
     110	169	037.538	-05.679	 0.498	1	 4.70	 1.05	 0.97	 3.7	 3.6	 3.4	 3.16	 2.43	 3.04	 2.10	 1.48	 2.06	 3.01	 1.23	 2.04	 2.08	 0.83	 1.37	 2.6	 3.5	  1	Simbad
     111	170	037.998	-05.737	 0.403	2	 1.74	 0.22	 0.30	 3.6	 3.8	 3.2	 0.94	 1.14	 0.78	 0.63	 0.72	 0.51	 1.01	 0.46	 0.80	 0.69	 0.32	 0.57	 2.1	 3.6	  1	Simbad
     112	171	031.986	-05.871	 0.044	1	     	     	     	 5.7	 5.2	 4.6	 0.10	 0.14	 0.10	 0.07	 0.10	 0.07	     	     	     	     	     	     	-2.1	 3.3	  1	Simbad
     113	172	031.571	-05.893	 0.426	2	     	     	     	 5.3	 4.9	 4.1	 0.12	 0.17	 0.12	 0.08	 0.11	 0.08	     	     	     	     	     	     	 0.5	 2.0	  1	Simbad
     114	173	031.251	-05.931	 0.413	1	 4.29	 0.22	 0.27	 9.6	 5.6	 9.3	 2.90	 1.67	 2.91	 2.24	 1.30	 2.24	 3.04	 1.08	 1.63	 2.24	 0.81	 1.26	 1.4	 4.5	  1	Simbad
     115	174	030.592	-05.899	 0.235	1	 1.50	 0.09	 0.09	 5.9	 5.2	 4.8	 0.31	 0.43	 0.25	 0.21	 0.30	 0.17	 0.70	 0.33	 0.56	 0.47	 0.23	 0.41	 0.3	 2.2	  1	Simbad
     116	176	032.490	-04.980	 0.141	1	 1.42	 0.15	 0.18	 4.9	 4.8	 3.9	 0.14	 0.20	 0.13	 0.10	 0.13	 0.09	 0.57	 0.28	 0.47	 0.38	 0.19	 0.34	 0.8	 2.3	  1	Simbad
     117	177	031.290	-04.918	 0.211	2	     	     	     	 5.6	 5.0	 4.5	 0.55	 0.62	 0.46	 0.38	 0.43	 0.31	     	     	     	     	     	     	 1.1	 2.8	  1	Simbad
     118	180	033.863	-05.556	 0.289	1	 2.74	 0.19	 0.18	 3.3	 3.3	 3.0	 2.27	 1.86	 2.18	 1.47	 1.12	 1.41	 1.97	 0.79	 1.31	 1.35	 0.54	 0.90	 3.1	 4.1	  1	Simbad
     119	181	036.376	-03.817	 0.371	2	 1.09	 0.08	 0.08	 3.7	 3.9	 3.4	 0.59	 0.79	 0.49	 0.41	 0.52	 0.32	 0.58	 0.27	 0.48	 0.40	 0.19	 0.35	 1.6	 2.6	  1	Simbad
     120	182	036.227	-03.478	 0.174	2	 0.97	 0.15	 0.13	 5.8	 5.2	 4.6	 0.08	 0.09	 0.07	 0.05	 0.06	 0.05	 0.34	 0.16	 0.28	 0.22	 0.11	 0.20	-1.6	 2.7	  0	Simbad
     121	183	035.065	-04.917	 0.511	2	 4.42	 0.69	 0.89	 4.4	 4.4	 3.8	 1.99	 2.07	 1.80	 1.36	 1.35	 1.21	 2.47	 1.11	 1.90	 1.68	 0.76	 1.33	 1.9	 3.8	  1	Simbad
     122	184	035.311	-04.204	 0.811	2	     	     	     	 5.1	 4.9	 4.0	 0.14	 0.23	 0.19	 0.09	 0.15	 0.13	     	     	     	     	     	     	-0.5	 2.9	  1	Simbad
     123	185	036.387	-05.539	 0.566	2	     	     	     	 5.3	 5.0	 4.2	 0.16	 0.26	 0.19	 0.11	 0.18	 0.13	     	     	     	     	     	     	 0.0	 1.7	  1	Simbad
     124	186	036.003	-05.864	 0.515	2	 1.04	 0.06	 0.08	 5.4	 5.0	 4.2	 0.19	 0.31	 0.21	 0.13	 0.21	 0.14	 0.45	 0.22	 0.41	 0.30	 0.15	 0.30	 0.3	 2.4	  1	Simbad
     125	187	034.136	-04.509	 0.447	2	 3.24	 0.59	 0.60	 2.4	 2.1	 2.4	 1.70	 2.00	 1.44	 1.05	 1.14	 0.90	 1.91	 0.87	 1.53	 1.27	 0.58	 1.04	 2.9	 3.4	  1	Simbad
     126	188	033.812	-04.223	 0.570	2	     	     	     	 6.3	 5.3	 5.0	 0.13	 0.20	 0.15	 0.09	 0.14	 0.10	     	     	     	     	     	     	-1.7	 3.1	  1	Simbad
     127	189	034.908	-04.007	 0.204	1	 1.28	 0.14	 0.18	 5.5	 5.0	 4.3	 0.16	 0.22	 0.15	 0.11	 0.15	 0.10	 0.54	 0.26	 0.44	 0.36	 0.18	 0.32	 0.2	 2.1	  1	Simbad
     128	190	036.748	-04.589	 0.070	1	 1.07	 0.07	 0.07	 5.7	 5.1	 4.6	 0.17	 0.24	 0.15	 0.11	 0.16	 0.10	 0.43	 0.21	 0.35	 0.29	 0.14	 0.25	-0.3	 3.1	  1	Simbad
     129	191	036.574	-05.078	 0.054	1	 0.94	 0.06	 0.05	 3.1	 2.6	 3.0	 3.58	 2.27	 3.45	 2.30	 1.28	 2.27	 1.36	 0.54	 0.95	 1.10	 0.41	 0.68	 4.4	 6.6	  1	Simbad
     130	192	034.509	-05.029	 0.341	2	     	     	     	 5.0	 4.8	 4.0	 0.14	 0.20	 0.13	 0.09	 0.13	 0.09	     	     	     	     	     	     	 1.0	 3.7	  1	Simbad
     131	193	034.876	-05.058	 0.203	2	     	     	     	 5.5	 5.1	 4.4	 0.07	 0.08	 0.07	 0.05	 0.05	 0.05	     	     	     	     	     	     	-0.4	 3.6	  1	Simbad
     132	194	034.200	-04.555	 0.411	2	     	     	     	 6.1	 5.3	 4.8	 0.18	 0.27	 0.17	 0.12	 0.18	 0.12	     	     	     	     	     	     	 0.3	 3.9	  1	Simbad
     133	195	034.266	-04.478	 0.661	2	     	     	     	 4.3	 4.4	 3.6	 1.95	 2.82	 1.62	 1.39	 1.91	 1.09	     	     	     	     	     	     	 1.6	 2.5	  1	Simbad
     134	198	033.496	-05.186	 0.356	1	 1.32	 0.09	 0.14	 4.8	 4.7	 3.9	 0.23	 0.34	 0.21	 0.15	 0.23	 0.14	 0.60	 0.29	 0.50	 0.40	 0.20	 0.36	 0.4	 3.1	  1	Simbad
     135	201	032.767	-04.893	 0.138	1	 1.60	 0.16	 0.24	 5.3	 4.9	 4.2	 0.22	 0.31	 0.19	 0.15	 0.21	 0.13	 0.69	 0.34	 0.57	 0.47	 0.23	 0.41	 0.1	 3.0	  1	Simbad
     136	202	034.160	-04.617	 0.292	2	     	     	     	 5.6	 5.1	 4.4	 0.13	 0.19	 0.13	 0.09	 0.13	 0.09	     	     	     	     	     	     	 0.5	 2.7	  1	Simbad

