#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:27 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/773/86/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17730086
#Name: J/ApJ/773/86
#Title: Star-forming galaxies in ACO 2029 (Tyler+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/773/86	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/773/86	    IVOID of underlying data collection
#INFO	creator=Tyler K.D.	    First author or institution
#INFO	cites=bibcode:2013ApJ...773...86T	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/773/86	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17730086	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_773_86_table1:
#Name: J/ApJ/773/86/table1
#Title: A2029 member list
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0.06/0.09] Redshift	[ucd=src.redshift]
#Column	logL24	(F5.2)	[7.8/11.6]? Log 24{mu}m luminosity	[ucd=phys.luminosity;em.IR.15-30um]
#Column	logLHa	(F5.2)	[5.7/8.5]? Log H{alpha} luminosity	[ucd=phys.luminosity;em.line.Halpha]
#Column	logLFUV	(F5.2)	[8/10.3]? Log FUV luminosity	[ucd=phys.luminosity;em.UV]
#Column	SFRmin	(F6.3)	[0.01/10]? Minimum star formation rate (1)	[ucd=meta.id;meta.main]
#Column	SFRmax	(F6.3)	[0.03/10]? Maximum star formation rate (1)	[ucd=meta.id]
#Column	logM*	(F5.2)	[8.3/11.9]? Log stellar mass	[ucd=phys.mass]
#Column	Notes	(A3)	[0-4,] Additional note(s) (2)	[ucd=meta.note]
#Column	DR9	(A3)	Display the SDSS-DR9 photometric data (Cat. V/139) within 1"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearsest object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	RAJ2000	DEJ2000	z	logL24	logLHa	logLFUV	SFRmin	SFRmax	logM*	Notes	DR9	Sloan	Simbad
     198	227.60675	+05.57906	 0.0805	     	     	     	      	      	10.00	   	DR9	Sloan	Simbad
     199	227.54292	+05.66441	 0.0790	     	     	     	      	      	 9.39	   	DR9	Sloan	Simbad
     200	227.64204	+05.85739	 0.0734	     	     	     	      	      	 9.38	   	DR9	Sloan	Simbad
     201	227.78993	+05.87594	 0.0755	     	     	     	      	      	10.51	   	DR9	Sloan	Simbad
     202	227.78026	+05.86181	 0.0738	     	     	     	      	      	 9.90	   	DR9	Sloan	Simbad
     203	227.70968	+05.95848	 0.0814	     	     	     	      	      	 9.01	   	DR9	Sloan	Simbad
     204	227.68664	+06.04811	 0.0766	     	     	     	      	      	 9.23	   	DR9	Sloan	Simbad
     205	227.72821	+05.93885	 0.0755	 8.50	     	 8.57	      	      	10.72	2  	DR9	Sloan	Simbad
     206	227.56263	+05.60533	 0.0776	     	     	     	      	      	 9.40	   	DR9	Sloan	Simbad
     207	227.64626	+05.65685	 0.0813	 8.20	     	     	      	      	10.85	2  	DR9	Sloan	Simbad
     208	227.67388	+05.66721	 0.0784	     	     	     	      	      	 9.97	   	DR9	Sloan	Simbad
     209	227.63984	+05.63452	 0.0749	     	     	     	      	      	10.34	   	DR9	Sloan	Simbad
     210	227.69457	+05.69543	 0.0766	     	     	     	      	      	10.06	   	DR9	Sloan	Simbad
     211	227.71284	+05.71675	 0.0740	     	     	     	      	      	 9.96	   	DR9	Sloan	Simbad
     212	227.58509	+05.64883	 0.0774	     	     	     	      	      	 9.60	   	DR9	Sloan	Simbad
     213	227.73007	+05.73484	 0.0715	     	     	     	      	      	10.18	   	DR9	Sloan	Simbad
     214	227.70876	+05.74689	 0.0707	     	     	     	      	      	 9.29	   	DR9	Sloan	Simbad
     215	227.66138	+05.77662	 0.0753	     	     	     	      	      	     	   	DR9	Sloan	Simbad
     216	227.76046	+05.76058	 0.0736	     	     	     	      	      	10.34	   	DR9	Sloan	Simbad
     217	227.73783	+05.76231	 0.0760	     	     	     	      	      	 9.64	   	DR9	Sloan	Simbad
     218	227.63496	+05.89156	 0.0739	     	     	 8.44	      	      	11.09	2  	DR9	Sloan	Simbad
     219	227.71688	+05.88578	 0.0768	     	     	     	      	      	 9.56	   	DR9	Sloan	Simbad
     220	227.71046	+05.87027	 0.0745	     	     	     	      	      	 9.47	   	DR9	Sloan	Simbad
     221	227.69347	+05.85684	 0.0735	     	     	     	      	      	 9.55	   	DR9	Sloan	Simbad
     222	227.71122	+05.84076	 0.0774	     	     	     	      	      	 9.67	   	DR9	Sloan	Simbad
     223	227.72228	+05.83355	 0.0739	     	     	     	      	      	 9.97	   	DR9	Sloan	Simbad
     224	227.69843	+06.05198	 0.0808	     	     	     	      	      	 9.64	   	DR9	Sloan	Simbad
     225	227.74457	+06.04829	 0.0774	     	     	     	      	      	 9.83	   	DR9	Sloan	Simbad
     226	227.74535	+05.88243	 0.0789	     	     	     	      	      	 9.80	   	DR9	Sloan	Simbad
     227	227.72000	+05.98899	 0.0823	     	     	     	      	      	 9.74	   	DR9	Sloan	Simbad
     228	227.77011	+05.82933	 0.0842	     	     	 8.32	      	      	10.44	2  	DR9	Sloan	Simbad
     229	227.77115	+06.21164	 0.0819	     	     	     	      	      	 9.91	   	DR9	Sloan	Simbad
     230	227.79855	+05.85608	 0.0768	     	     	     	      	      	 9.58	   	DR9	Sloan	Simbad
     231	227.79104	+05.81371	 0.0803	     	     	     	      	      	10.31	   	DR9	Sloan	Simbad
     232	227.85174	+05.99215	 0.0773	     	     	     	      	      	 8.95	   	DR9	Sloan	Simbad
     233	227.82811	+05.83285	 0.0739	     	     	     	      	      	 9.17	   	DR9	Sloan	Simbad
     234	227.80383	+05.82603	 0.0789	     	     	     	      	      	 9.58	   	DR9	Sloan	Simbad
     235	227.79229	+05.79635	 0.0768	     	     	     	      	      	10.20	   	DR9	Sloan	Simbad
     236	227.96903	+05.93769	 0.0744	     	     	     	      	      	 9.52	   	DR9	Sloan	Simbad
     237	227.84371	+05.81957	 0.0744	     	     	     	      	      	 9.68	   	DR9	Sloan	Simbad
     238	227.89720	+05.86715	 0.0824	 9.29	 7.28	 8.81	 1.668	 1.668	 9.95	   	DR9	Sloan	Simbad
     239	227.77662	+05.75634	 0.0813	     	     	     	      	      	 9.67	   	DR9	Sloan	Simbad
     240	227.86542	+05.76199	 0.0837	     	     	     	      	      	 9.70	   	DR9	Sloan	Simbad
     241	227.77380	+05.74491	 0.0803	     	     	     	      	      	 9.49	   	DR9	Sloan	Simbad
     242	227.89920	+05.63687	 0.0789	     	     	     	      	      	 9.55	   	DR9	Sloan	Simbad
     243	227.83964	+05.68896	 0.0724	     	     	     	      	      	10.34	   	DR9	Sloan	Simbad
     244	227.85785	+05.63082	 0.0827	     	     	     	      	      	10.61	   	DR9	Sloan	Simbad
     245	227.76735	+05.68771	 0.0726	     	 6.99	 9.05	 0.204	 0.232	 8.50	   	DR9	Sloan	Simbad
     246	227.83657	+05.54707	 0.0750	     	 5.70	 8.47	 0.010	 0.039	 9.09	   	DR9	Sloan	Simbad
     247	227.84065	+05.62601	 0.0754	     	     	     	      	      	 9.44	   	DR9	Sloan	Simbad
     248	227.79306	+05.42158	 0.0761	     	     	     	      	      	 9.80	   	DR9	Sloan	Simbad
     249	227.80014	+05.55818	 0.0803	     	     	     	      	      	 9.68	   	DR9	Sloan	Simbad
     250	227.80222	+05.41986	 0.0790	 8.61	 6.84	 9.08	 0.314	 0.314	 9.71	   	DR9	Sloan	Simbad
     251	227.77433	+05.64506	 0.0734	     	     	     	      	      	10.24	   	DR9	Sloan	Simbad
     252	227.79236	+05.50192	 0.0745	     	     	     	      	      	 9.57	   	DR9	Sloan	Simbad
     253	227.73010	+05.49988	 0.0758	     	     	     	      	      	10.11	   	DR9	Sloan	Simbad
     254	227.75116	+05.41410	 0.0824	     	     	     	      	      	10.33	   	DR9	Sloan	Simbad
     255	227.72561	+05.27512	 0.0817	 8.88	     	     	      	      	 9.95	3  	DR9	Sloan	Simbad
     256	227.73345	+05.64909	 0.0841	     	     	     	      	      	 9.92	   	DR9	Sloan	Simbad
     257	227.75279	+05.72311	 0.0764	     	     	     	      	      	 9.38	   	DR9	Sloan	Simbad
     258	227.62110	+05.40038	 0.0817	     	     	     	      	      	 9.82	   	DR9	Sloan	Simbad
     259	227.73050	+05.69423	 0.0799	     	     	     	      	      	10.08	   	DR9	Sloan	Simbad
     260	227.69812	+05.64909	 0.0854	     	     	     	      	      	10.68	   	DR9	Sloan	Simbad
     261	227.73558	+05.71467	 0.0677	     	     	     	      	      	 9.38	   	DR9	Sloan	Simbad
     262	228.04148	+06.03746	 0.0823	     	     	     	      	      	 9.86	   	DR9	Sloan	Simbad
     263	227.79015	+05.75451	 0.0809	     	     	     	      	      	 9.88	   	DR9	Sloan	Simbad
     264	228.08634	+06.07279	 0.0801	     	     	     	      	      	10.02	   	DR9	Sloan	Simbad
     265	227.88331	+05.71861	 0.0742	     	     	     	      	      	 9.71	   	DR9	Sloan	Simbad
     266	227.70382	+05.52446	 0.0768	     	     	     	      	      	 9.79	   	DR9	Sloan	Simbad
     267	227.70333	+05.48037	 0.0764	 8.76	 6.90	     	 0.406	 0.406	 9.77	   	DR9	Sloan	Simbad
     268	227.71225	+05.49076	 0.0740	     	     	     	      	      	 9.59	   	DR9	Sloan	Simbad
     269	227.81570	+05.56594	 0.0757	     	     	     	      	      	 9.55	   	DR9	Sloan	Simbad
     270	227.92022	+05.65866	 0.0782	     	     	     	      	      	10.05	   	DR9	Sloan	Simbad
     271	227.74389	+05.75680	 0.0778	     	     	     	      	      	10.05	   	DR9	Sloan	Simbad
     272	227.77076	+05.73800	 0.0745	     	     	     	      	      	     	   	DR9	Sloan	Simbad
     273	227.59545	+05.60913	 0.0796	     	     	     	      	      	10.00	   	DR9	Sloan	Simbad
     274	227.68398	+05.51854	 0.0796	     	     	     	      	      	 9.43	   	DR9	Sloan	Simbad
     275	227.80912	+05.67628	 0.0739	     	     	 8.27	 0.032	 0.106	     	   	DR9	Sloan	Simbad
     276	227.85098	+05.56956	 0.0835	     	 6.92	 9.01	 0.171	 0.200	     	   	DR9	Sloan	Simbad
     277	227.75605	+05.65942	 0.0859	 8.95	 7.39	 9.46	 0.878	 0.878	 9.43	   	DR9	Sloan	Simbad
     278	227.79366	+05.55291	 0.0784	     	     	     	      	      	 9.39	   	DR9	Sloan	Simbad
     279	227.71935	+05.37096	 0.0822	 8.22	 6.86	 8.37	 0.219	 0.219	 9.39	   	DR9	Sloan	Simbad
     280	227.75920	+05.31545	 0.0819	 8.16	 6.59	 8.97	 0.142	 0.142	10.78	   	DR9	Sloan	Simbad
     281	227.73595	+05.44989	 0.0806	     	     	     	      	      	10.55	   	DR9	Sloan	Simbad
     282	227.68092	+05.67604	 0.0773	     	     	     	      	      	10.51	   	DR9	Sloan	Simbad
     283	227.71421	+05.70799	 0.0688	     	     	 8.35	      	      	10.47	2  	DR9	Sloan	Simbad
     284	227.62637	+05.50187	 0.0734	 8.51	     	 8.97	 0.512	 0.512	10.74	   	DR9	Sloan	Simbad
     285	227.69510	+05.64756	 0.0747	     	     	     	      	      	 9.76	   	DR9	Sloan	Simbad
     286	227.69703	+05.67850	 0.0814	     	     	     	      	      	 9.69	   	DR9	Sloan	Simbad
     287	227.65250	+05.51161	 0.0791	     	     	     	      	      	10.36	   	DR9	Sloan	Simbad
     288	227.62582	+05.62885	 0.0716	     	     	     	      	      	10.19	   	DR9	Sloan	Simbad
     289	227.54648	+05.36318	 0.0841	 8.45	 7.15	 8.98	 0.410	 0.410	 9.79	   	DR9	Sloan	Simbad
     290	227.56862	+05.42294	 0.0772	     	     	     	      	      	 9.76	   	DR9	Sloan	Simbad
     291	227.62662	+05.60224	 0.0762	     	     	     	      	      	     	   	DR9	Sloan	Simbad
     292	227.57160	+05.46673	 0.0730	     	 6.94	 9.12	 0.179	 0.208	 9.22	   	DR9	Sloan	Simbad
     293	227.71567	+05.77885	 0.0802	     	     	     	      	      	 9.26	   	DR9	Sloan	Simbad
     294	227.53920	+05.57241	 0.0765	     	     	     	      	      	10.46	   	DR9	Sloan	Simbad
     295	227.72428	+05.76681	 0.0819	     	     	     	      	      	 9.78	   	DR9	Sloan	Simbad
     296	227.55428	+05.59565	 0.0837	     	     	     	      	      	10.15	   	DR9	Sloan	Simbad
     297	227.75293	+05.81918	 0.0859	     	     	     	      	      	 9.94	   	DR9	Sloan	Simbad
     298	227.65456	+05.75554	 0.0696	     	     	     	      	      	     	   	DR9	Sloan	Simbad
     299	227.59628	+05.72756	 0.0801	     	     	     	      	      	 9.75	   	DR9	Sloan	Simbad
     300	227.53637	+05.67600	 0.0852	     	     	     	      	      	10.08	   	DR9	Sloan	Simbad
     301	227.37369	+05.59159	 0.0796	     	 5.76	     	 0.012	 0.040	 9.59	   	DR9	Sloan	Simbad
     302	227.46057	+05.69849	 0.0830	 8.61	 7.36	 8.69	 0.642	 0.642	 9.30	   	DR9	Sloan	Simbad
     303	227.59402	+05.74746	 0.0767	     	     	     	      	      	 9.38	   	DR9	Sloan	Simbad
     304	227.61756	+05.76039	 0.0846	     	 6.63	 9.10	 0.089	 0.117	 8.81	   	DR9	Sloan	Simbad
     305	227.62559	+05.79838	 0.0784	     	     	     	      	      	 9.67	   	DR9	Sloan	Simbad
     306	227.60811	+05.78768	 0.0808	     	     	     	      	      	 9.30	   	DR9	Sloan	Simbad
     307	227.67251	+05.82022	 0.0761	     	     	     	      	      	     	   	DR9	Sloan	Simbad
     308	227.68390	+05.83921	 0.0748	     	     	     	      	      	10.02	   	DR9	Sloan	Simbad
     309	227.68445	+05.87288	 0.0686	     	     	     	      	      	10.37	   	DR9	Sloan	Simbad
     310	227.64265	+05.92308	 0.0785	 9.21	 7.62	 9.17	 1.921	 1.921	10.22	   	DR9	Sloan	Simbad
     311	227.64165	+05.94329	 0.0780	 8.17	     	 8.13	      	      	10.49	2  	DR9	Sloan	Simbad
     312	227.67158	+05.96477	 0.0808	     	     	     	      	      	 9.37	   	DR9	Sloan	Simbad
     313	227.68474	+06.02426	 0.0792	     	 6.90	 9.09	 0.164	 0.193	 8.95	   	DR9	Sloan	Simbad
     314	227.67348	+06.03856	 0.0805	     	     	     	      	      	10.61	   	DR9	Sloan	Simbad
     315	227.76126	+06.13904	 0.0795	 7.90	 6.64	 8.51	 0.125	 0.125	 9.24	   	DR9	Sloan	Simbad
     316	227.72329	+05.92017	 0.0710	     	     	     	      	      	10.21	   	DR9	Sloan	Simbad
     317	227.79439	+06.05102	 0.0784	     	     	     	      	      	 9.53	   	DR9	Sloan	Simbad
     318	227.88381	+06.15522	 0.0812	     	     	     	      	      	 9.56	   	DR9	Sloan	Simbad
     319	227.78667	+05.92938	 0.0812	     	     	     	      	      	 9.81	   	DR9	Sloan	Simbad
     320	227.84015	+06.01929	 0.0790	     	     	     	      	      	10.11	   	DR9	Sloan	Simbad
     321	227.83152	+05.93710	 0.0792	     	     	     	      	      	10.16	   	DR9	Sloan	Simbad
     322	227.76032	+05.86889	 0.0725	     	     	     	      	      	10.27	   	DR9	Sloan	Simbad
     323	227.83230	+05.87783	 0.0735	 8.40	     	     	      	      	10.84	2  	DR9	Sloan	Simbad
     324	227.79436	+05.83244	 0.0743	     	     	     	      	      	10.35	   	DR9	Sloan	Simbad
     325	227.94123	+05.92886	 0.0789	     	 6.87	 8.31	 0.154	 0.183	 9.40	   	DR9	Sloan	Simbad
     326	227.76268	+05.79734	 0.0898	 9.01	     	 9.57	 1.757	 1.757	 9.92	   	DR9	Sloan	Simbad
     327	227.79757	+05.81231	 0.0769	     	     	     	      	      	10.60	   	DR9	Sloan	Simbad
     328	228.04225	+05.88163	 0.0773	 8.07	 6.92	 8.28	 0.223	 0.223	 9.61	   	DR9	Sloan	Simbad
     329	228.01695	+05.85912	 0.0779	 8.62	     	 8.94	      	      	10.91	2  	DR9	Sloan	Simbad
     330	227.97735	+05.79406	 0.0793	     	     	     	      	      	 9.50	   	DR9	Sloan	Simbad
     331	227.90721	+05.80679	 0.0719	 8.63	 6.96	 8.75	 0.365	 0.365	 9.62	   	DR9	Sloan	Simbad
     332	227.91330	+05.75757	 0.0834	     	     	     	      	      	 9.89	   	DR9	Sloan	Simbad
     333	227.83615	+05.77120	 0.0739	     	     	     	      	      	 9.43	   	DR9	Sloan	Simbad
     334	227.86133	+05.72296	 0.0801	     	     	     	      	      	 9.67	   	DR9	Sloan	Simbad
     335	227.66168	+05.84399	 0.0721	     	     	     	      	      	 9.16	   	DR9	Sloan	Simbad
     336	227.62319	+06.02129	 0.0768	     	     	     	      	      	 9.96	   	DR9	Sloan	Simbad
     337	227.80455	+05.88690	 0.0810	     	     	     	      	      	 9.55	   	DR9	Sloan	Simbad
     338	227.76998	+06.09137	 0.0738	     	     	     	      	      	 9.33	   	DR9	Sloan	Simbad
     339	227.81061	+05.82224	 0.0769	     	     	     	      	      	10.45	   	DR9	Sloan	Simbad
     340	227.61061	+06.00667	 0.0772	 8.06	     	     	 0.048	 0.048	10.76	   	DR9	Sloan	Simbad
     341	227.59975	+05.87596	 0.0817	     	     	     	      	      	 9.53	   	DR9	Sloan	Simbad
     342	227.64689	+05.93008	 0.0734	 8.22	 6.95	 8.70	 0.253	 0.253	 9.46	   	DR9	Sloan	Simbad
     343	227.72273	+06.23450	 0.0805	 8.40	 6.87	     	 0.256	 0.256	 9.91	   	DR9	Sloan	Simbad
     344	227.75095	+05.84704	 0.0883	     	     	 9.06	 0.197	 0.271	10.25	   	DR9	Sloan	Simbad
     345	227.92860	+06.16402	 0.0792	     	     	     	      	      	 9.66	   	DR9	Sloan	Simbad
     346	227.69307	+05.79885	 0.0793	     	     	     	      	      	 9.77	   	DR9	Sloan	Simbad
     347	227.55535	+05.80116	 0.0745	     	     	     	      	      	 9.34	   	DR9	Sloan	Simbad
     348	227.55662	+05.78274	 0.0761	 8.81	 7.62	 8.91	 1.126	 1.126	 9.26	   	DR9	Sloan	Simbad
     349	227.67985	+05.81298	 0.0779	     	     	     	      	      	 9.80	   	DR9	Sloan	Simbad
     350	227.57917	+05.87534	 0.0729	     	     	     	      	      	 9.25	   	DR9	Sloan	Simbad
     351	227.64174	+05.85645	 0.0776	     	     	     	      	      	 9.84	   	DR9	Sloan	Simbad
     352	227.62729	+05.89596	 0.0769	     	     	     	      	      	 9.57	   	DR9	Sloan	Simbad
     353	227.68649	+05.83626	 0.0770	 8.52	 6.87	 8.68	      	      	10.42	3  	DR9	Sloan	Simbad
     354	227.67134	+05.93876	 0.0843	     	     	     	      	      	 9.67	   	DR9	Sloan	Simbad
     355	227.63004	+06.02550	 0.0734	     	     	     	      	      	 9.67	   	DR9	Sloan	Simbad
     356	227.63745	+06.02891	 0.0834	     	     	     	      	      	 9.55	   	DR9	Sloan	Simbad
     357	227.71837	+06.17102	 0.0811	 9.00	     	 9.18	 1.344	 1.344	11.14	   	DR9	Sloan	Simbad
     358	227.68789	+05.92228	 0.0779	     	     	     	      	      	 9.41	   	DR9	Sloan	Simbad
     359	227.70927	+06.00131	 0.0830	     	     	     	      	      	 9.31	   	DR9	Sloan	Simbad
     360	227.71367	+05.87986	 0.0757	 8.59	 7.32	 9.06	 0.594	 0.594	 9.74	   	DR9	Sloan	Simbad
     361	227.76209	+06.25204	 0.0773	     	     	     	      	      	 9.62	   	DR9	Sloan	Simbad
     362	227.73302	+05.97059	 0.0741	     	     	     	      	      	10.36	   	DR9	Sloan	Simbad
     363	227.76345	+05.89688	 0.0802	     	     	     	      	      	10.88	   	DR9	Sloan	Simbad
     364	227.78242	+05.88462	 0.0774	 7.96	     	     	      	      	10.77	2  	DR9	Sloan	Simbad
     365	227.88352	+05.97938	 0.0777	     	     	     	      	      	 9.75	   	DR9	Sloan	Simbad
     366	227.99565	+05.88869	 0.0800	     	     	     	      	      	 9.89	   	DR9	Sloan	Simbad
     367	227.88022	+05.86021	 0.0827	 8.34	     	     	      	      	10.46	3  	DR9	Sloan	Simbad
     368	227.96771	+05.81607	 0.0794	 8.90	 7.07	 8.68	 0.575	 0.575	 9.80	   	DR9	Sloan	Simbad
     369	227.81700	+05.77589	 0.0733	     	 7.25	 9.09	 0.368	 0.396	 8.34	   	DR9	Sloan	Simbad
     370	227.84275	+05.77977	 0.0747	     	     	     	      	      	10.13	   	DR9	Sloan	Simbad
     371	227.93543	+05.73296	 0.0819	     	     	     	      	      	 9.31	   	DR9	Sloan	Simbad
     372	227.91023	+05.63525	 0.0762	     	     	     	      	      	 9.59	   	DR9	Sloan	Simbad
     373	227.74868	+05.77628	 0.0755	     	     	     	      	      	 9.86	   	DR9	Sloan	Simbad
     374	227.73258	+05.78017	 0.0700	     	     	     	      	      	 9.90	   	DR9	Sloan	Simbad
     375	227.88788	+05.56372	 0.0736	 8.15	     	 8.10	 0.175	 0.175	10.94	   	DR9	Sloan	Simbad
     376	227.77798	+05.72754	 0.0806	     	     	     	      	      	10.28	   	DR9	Sloan	Simbad
     377	227.78064	+05.66733	 0.0817	     	     	     	      	      	 9.73	   	DR9	Sloan	Simbad
     378	227.75435	+05.63248	 0.0791	     	     	     	      	      	 9.69	   	DR9	Sloan	Simbad
     379	227.79993	+05.56781	 0.0698	 7.91	 7.31	 9.09	 0.455	 0.455	 8.90	   	DR9	Sloan	Simbad
     380	227.76336	+05.31294	 0.0822	     	 6.98	     	 0.196	 0.225	 9.61	   	DR9	Sloan	Simbad
     381	227.73306	+05.63197	 0.0779	     	     	     	      	      	10.11	   	DR9	Sloan	Simbad
     382	227.76083	+05.37772	 0.0821	     	 6.70	     	 0.104	 0.133	 9.45	   	DR9	Sloan	Simbad
     383	227.70736	+05.65548	 0.0811	 8.05	     	     	      	      	 9.94	2  	DR9	Sloan	Simbad
     384	227.69440	+05.69050	 0.0781	     	     	     	      	      	 9.38	   	DR9	Sloan	Simbad
     385	227.69383	+05.59143	 0.0729	 8.54	 7.00	 8.37	 0.353	 0.353	10.10	   	DR9	Sloan	Simbad
     386	227.68395	+05.62386	 0.0763	     	     	     	      	      	 9.85	   	DR9	Sloan	Simbad
     387	227.67988	+05.55852	 0.0747	     	 6.82	 8.93	 0.135	 0.164	 8.52	   	DR9	Sloan	Simbad
     388	227.67852	+05.74137	 0.0743	     	     	     	      	      	 9.43	   	DR9	Sloan	Simbad
     389	227.66327	+05.63868	 0.0785	     	     	     	      	      	 9.85	   	DR9	Sloan	Simbad
     390	227.58964	+05.69904	 0.0791	     	     	     	      	      	 9.91	   	DR9	Sloan	Simbad
     391	227.63383	+05.71466	 0.0840	     	     	     	      	      	 9.68	   	DR9	Sloan	Simbad
     392	227.54040	+05.57562	 0.0768	 8.73	     	     	      	      	10.52	2  	DR9	Sloan	Simbad
     393	227.39858	+05.52940	 0.0837	 8.53	     	 8.42	      	      	10.86	2  	DR9	Sloan	Simbad
     394	227.78937	+05.79605	 0.0743	     	     	 8.21	      	      	10.37	2  	DR9	Sloan	Simbad
     395	227.76163	+05.80217	 0.0744	     	     	     	      	      	10.01	   	DR9	Sloan	Simbad
     396	227.76275	+05.83059	 0.0831	     	     	     	      	      	10.25	   	DR9	Sloan	Simbad
     397	227.81682	+05.60268	 0.0816	     	     	     	      	      	 9.21	   	DR9	Sloan	Simbad
     398	227.75030	+05.78278	 0.0784	 8.24	     	 8.17	      	      	11.22	2  	DR9	Sloan	Simbad
     399	227.73245	+05.76535	 0.0790	     	     	     	      	      	 9.59	   	DR9	Sloan	Simbad
     400	227.55491	+05.56389	 0.0765	     	 6.17	     	 0.031	 0.059	 9.70	   	DR9	Sloan	Simbad
     401	227.72137	+05.52997	 0.0839	     	     	     	      	      	 9.71	   	DR9	Sloan	Simbad
     402	227.70973	+05.46516	 0.0794	     	 6.38	 8.28	 0.050	 0.079	 9.08	   	DR9	Sloan	Simbad
     403	227.57245	+05.55861	 0.0800	 8.16	     	 8.18	      	      	10.77	2  	DR9	Sloan	Simbad
     404	227.61067	+05.76536	 0.0757	     	     	     	      	      	 9.57	   	DR9	Sloan	Simbad
     405	227.57988	+05.84491	 0.0793	     	     	     	      	      	10.31	   	DR9	Sloan	Simbad
     406	227.67763	+06.00882	 0.0795	     	     	     	      	      	10.11	   	DR9	Sloan	Simbad
     407	227.70608	+05.85195	 0.0746	 8.27	 7.14	     	 0.367	 0.367	10.49	   	DR9	Sloan	Simbad
     408	227.50066	+05.68809	 0.0740	     	     	     	      	      	 9.73	   	DR9	Sloan	Simbad
     409	227.65823	+05.75607	 0.0873	     	     	 8.55	 0.061	 0.135	 9.10	   	DR9	Sloan	Simbad
     410	227.52276	+05.78265	 0.0710	 9.45	 7.85	 9.39	 3.280	 3.280	10.08	   	DR9	Sloan	Simbad
     411	227.52045	+05.81610	 0.0855	 8.49	 6.74	     	 0.244	 0.244	 9.93	   	DR9	Sloan	Simbad
     412	227.71056	+05.76096	 0.0822	     	     	     	      	      	 9.75	   	DR9	Sloan	Simbad
     413	227.62532	+05.98934	 0.0767	 8.61	 6.71	 8.72	 0.275	 0.275	 9.79	   	DR9	Sloan	Simbad
     414	227.65328	+06.12499	 0.0734	     	     	     	      	      	 9.34	   	DR9	Sloan	Simbad
     415	227.70742	+05.81570	 0.0796	 8.15	     	 8.18	      	      	10.49	2  	DR9	Sloan	Simbad
     416	227.70947	+05.93027	 0.0694	     	 7.20	 8.77	 0.329	 0.357	 9.46	   	DR9	Sloan	Simbad
     417	227.71723	+05.84269	 0.0745	 8.17	 7.00	 8.57	 0.270	 0.270	 9.85	   	DR9	Sloan	Simbad
     418	227.77981	+06.13544	 0.0772	     	     	     	      	      	 9.85	   	DR9	Sloan	Simbad
     419	227.77443	+05.90382	 0.0786	     	     	     	      	      	 9.87	   	DR9	Sloan	Simbad
     420	227.74578	+05.81828	 0.0736	 8.05	 6.81	 8.60	 0.180	 0.180	 9.66	   	DR9	Sloan	Simbad
     421	227.91209	+06.10472	 0.0805	     	     	     	      	      	 9.71	   	DR9	Sloan	Simbad
     422	227.94728	+06.11482	 0.0776	     	     	     	      	      	10.05	   	DR9	Sloan	Simbad
     423	227.77924	+05.86598	 0.0797	     	     	     	      	      	 9.82	   	DR9	Sloan	Simbad
     424	227.74531	+05.80681	 0.0779	 8.24	 6.92	 8.81	 0.245	 0.245	     	   	DR9	Sloan	Simbad
     425	228.11854	+06.02092	 0.0783	 8.51	 6.86	 8.59	 0.286	 0.286	10.19	   	DR9	Sloan	Simbad
     426	228.05532	+05.89581	 0.0788	 7.86	 6.77	 9.19	 0.152	 0.152	 8.99	   	DR9	Sloan	Simbad
     427	227.85578	+05.81906	 0.0789	     	 6.90	 9.10	 0.163	 0.191	 9.36	   	DR9	Sloan	Simbad
