#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:12:05 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:12:05	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/229/20/table2&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22290020
#Name: J/ApJS/229/20
#Title: MMT/Hectospec redshift survey for Abell 2029 (Sohn+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apjs/229/20	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/229/20	    IVOID of underlying data collection
#INFO	creator=Sohn J.	    First author or institution
#INFO	cites=bibcode:2017ApJS..229...20S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/229/20	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22290020	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-07-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_229_20_table2:
#Name: J/ApJS/229/20/table2
#Title: A2029 spectroscopic members
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	cz	(I5)	[20452/26670] Spectroscopic redshift	[ucd=phys.veloc;pos.heliocentric]
#Column	e_cz	(I5)	[1/299] Uncertainty in cz	[ucd=stat.error]
#Column	r_cz	(A4)	Reference for cz (2)	[ucd=meta.ref;pos.frame]
#Column	sigma	(I3)	[6/945]? Central velocity dispersion within a rest-frame 3kpc aperture	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I3)	[0/962]? Uncertainty in sigma	[ucd=stat.error]
#Column	f_sigma	(A1)	[*] *: uncertainty is not available for sigma	[ucd=meta.code]
#Column	dn4000	(F6.2)	[0.1/4.3]? D_n_4000 index (1)	[ucd=phot.flux;arith.ratio]
#Column	T13	(I3)	Display data from Tyler+ 2013, J/ApJ/773/86, within 2"	[ucd=meta.ref.url]
#Column	DR9	(A3)	Display data from SDSS-DR9 photometric catalog (V/139) within 1"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
recno	RAJ2000	DEJ2000	cz	e_cz	r_cz	sigma	e_sigma	f_sigma	dn4000	T13	DR9	Sloan
     224	227.831529	+05.937097	23688	   25	 T13	 76	 12	 	  1.80	  1	DR9	Sloan
     225	227.618709	+05.835962	25603	   42	 MMT	 21	280	 	  0.98	  0	DR9	Sloan
     226	227.624504	+05.844233	22403	   46	 MMT	 42	170	 	  1.58	  0	DR9	Sloan
     227	227.551836	+05.798311	24076	   19	 MMT	 74	 21	 	  1.79	  1	DR9	Sloan
     228	227.555346	+05.801159	22358	   41	 T13	 74	 38	 	  1.86	  1	DR9	Sloan
     229	227.556629	+05.782739	22789	    8	 T13	132	 14	 	  1.14	  1	DR9	Sloan
     230	227.579882	+05.844905	23731	   19	 T13	 92	  7	 	  1.92	  1	DR9	Sloan
     231	227.585798	+05.855017	24350	   26	 T13	 46	 17	 	  1.28	  1	DR9	Sloan
     232	227.581581	+05.786523	23564	   30	 T13	146	  5	 	  1.76	  1	DR9	Sloan
     233	227.594016	+05.747454	22942	   36	 T13	 86	 46	 	  1.58	  1	DR9	Sloan
     234	227.606046	+05.841118	22326	   21	 T13	234	  5	 	  1.96	  1	DR9	Sloan
     235	227.599755	+05.875949	24414	   24	 T13	 31	 49	 	  1.87	  1	DR9	Sloan
     236	227.579177	+05.875335	21859	   45	 T13	 85	 17	 	  1.30	  1	DR9	Sloan
     237	227.600255	+05.833363	22114	    9	 MMT	 92	134	 	  1.14	  0	DR9	Sloan
     238	227.610073	+05.875226	25014	   35	 MMT	 84	 57	 	  1.64	  0	DR9	Sloan
     239	227.901980	+05.828036	22408	   23	 T13	 79	 42	 	  1.37	  1	DR9	Sloan
     240	227.774432	+05.903820	23562	   18	 T13	 80	 12	 	  1.84	  1	DR9	Sloan
     241	227.786661	+05.929369	24306	   20	 T13	 26	 79	 	  1.69	  1	DR9	Sloan
     242	227.832311	+05.877826	22017	   19	 T13	185	  5	 	  1.86	  1	DR9	Sloan
     243	227.848733	+05.882248	22964	    6	SDSS	 89	  6	 	  1.77	  1	DR9	Sloan
     244	227.880229	+05.860209	24747	   35	 T13	136	  5	 	  1.90	  1	DR9	Sloan
     245	227.881237	+05.854176	22098	    7	SDSS	130	  8	 	  1.73	  0	DR9	Sloan
     246	227.893098	+05.884672	23742	   67	 MMT	232	 90	 	  1.49	  1	DR9	Sloan
     247	227.897203	+05.867139	24690	   22	 T13	111	 17	 	  1.30	  1	DR9	Sloan
     248	227.890406	+05.763153	25402	   30	 T13	 92	  6	 	  1.31	  1	DR9	Sloan
     249	227.907211	+05.806792	21571	   17	 T13	132	 23	 	  1.28	  1	DR9	Sloan
     250	227.892639	+05.792839	24602	   23	 MMT	 42	 32	 	  1.80	  1	DR9	Sloan
     251	227.884639	+05.876510	22773	   29	 T13	 35	 57	 	  1.71	  0	DR9	Sloan
     252	227.949341	+05.756063	23199	   56	 T13	 21	143	 	  1.72	  1	DR9	Sloan
     253	227.924461	+05.828605	24084	   17	 MMT	209	190	 	  0.82	  0	DR9	Sloan
     254	227.913290	+05.757572	24987	   25	 T13	 62	 32	 	  1.83	  1	DR9	Sloan
     255	227.935432	+05.732961	24493	   47	 T13	 24	 88	 	  1.80	  1	DR9	Sloan
     256	227.543165	+05.571147	22898	   20	 T13	190	  4	 	  2.00	  1	DR9	Sloan
     257	227.540399	+05.575625	23006	   22	 T13	141	  4	 	  1.95	  1	DR9	Sloan
     258	227.539187	+05.572411	22925	   15	 T13	146	  7	 	  1.95	  1	DR9	Sloan
     259	227.556717	+05.668535	25290	   10	 MMT	182	107	 	  1.28	  0	DR9	Sloan
     260	227.468860	+05.679732	24223	   24	 T13	143	  5	 	  1.90	  1	DR9	Sloan
     261	227.499771	+05.678734	21941	   22	 T13	232	  6	 	  1.94	  1	DR9	Sloan
     262	227.528480	+05.728524	22716	    7	 MMT	120	 70	 	  1.05	  0	DR9	Sloan
     263	227.531852	+05.663041	25236	    5	 T13	 62	 17	 	  1.15	  1	DR9	Sloan
     264	227.554164	+05.603926	23728	   21	 T13	193	  4	 	  2.01	  1	DR9	Sloan
     265	227.554267	+05.595652	25056	   18	 T13	 58	 13	 	  1.84	  1	DR9	Sloan
     266	227.563557	+05.634793	24876	   27	 T13	150	  8	 	  1.77	  1	DR9	Sloan
     267	227.572439	+05.558620	23921	   22	 T13	239	  7	 	  1.99	  1	DR9	Sloan
     268	227.500652	+05.688085	22144	   20	 T13	 59	 15	 	  1.77	  1	DR9	Sloan
     269	227.526967	+05.715155	22806	   37	 MMT	122	 44	 	  1.65	  0	DR9	Sloan
     270	227.460565	+05.698490	24885	    5	 T13	108	 20	 	  1.14	  1	DR9	Sloan
     271	227.524374	+05.574242	23110	   51	 MMT	158	 39	 	  1.81	  0	DR9	Sloan
     272	227.532287	+05.643878	22175	   33	 T13	 32	 39	 	  1.57	  0	DR9	Sloan
     273	227.542915	+05.664413	23657	   39	 T13	 56	 32	 	  1.66	  1	DR9	Sloan
     274	227.554902	+05.563902	22921	   39	 T13	 77	 27	 	  1.44	  1	DR9	Sloan
     275	227.562621	+05.605335	23290	   25	 T13	 36	 34	 	  1.72	  1	DR9	Sloan
     276	227.572158	+05.595495	24640	   62	 MMT	 21	  0	 	  1.66	  0	DR9	Sloan
     277	227.606759	+05.579057	24058	   22	 T13	 82	 14	 	  1.73	  1	DR9	Sloan
     278	227.595463	+05.609126	23808	   22	 T13	 55	 16	 	  1.74	  1	DR9	Sloan
     279	227.623117	+05.564746	24864	   19	 T13	132	  6	 	  1.86	  1	DR9	Sloan
     280	227.610065	+05.586578	24760	   61	 MMT	127	 31	 	  1.65	  0	DR9	Sloan
     281	227.679875	+05.558521	22375	    5	 T13	215	 77	 	  1.04	  1	DR9	Sloan
     282	227.692305	+05.559853	24584	   49	 MMT	 80	 33	 	  2.30	  0	DR9	Sloan
     283	227.721365	+05.529971	25089	   38	 T13	 31	 32	 	  1.67	  1	DR9	Sloan
     284	227.778112	+05.554517	23753	   31	 MMT	108	 39	 	  1.75	  0	DR9	Sloan
     285	227.788469	+05.519667	25000	   34	 T13	 74	  5	 	  1.45	  1	DR9	Sloan
     286	227.845552	+05.518841	22472	   25	 T13	114	  5	 	  1.76	  1	DR9	Sloan
     287	227.850998	+05.569547	25014	    5	 T13	 26	105	 	  1.14	  1	DR9	Sloan
     288	227.793676	+05.552904	23511	   33	 T13	 21	266	 	  1.63	  1	DR9	Sloan
     289	227.800154	+05.558175	24009	   35	 T13	 79	 30	 	  1.63	  1	DR9	Sloan
     290	227.836584	+05.547064	22465	   83	 T13	237	 80	 	  1.23	  1	DR9	Sloan
     291	227.853563	+05.525721	23316	   63	 MMT	 21	 71	 	  1.85	  0	DR9	Sloan
     292	227.887877	+05.563713	22045	   14	 T13	133	  3	 	  1.83	  1	DR9	Sloan
     293	227.899724	+05.564534	24910	    4	SDSS	150	  5	 	  1.90	  0	DR9	Sloan
     294	227.930822	+05.602578	23960	    6	 MMT	 37	 83	 	  1.18	  0	DR9	Sloan
     295	227.937383	+05.657770	23401	   34	 T13	 80	 17	 	  1.70	  1	DR9	Sloan
     296	227.938133	+05.586223	25292	   25	 T13	 27	 27	 	  1.79	  1	DR9	Sloan
     297	227.943856	+05.604311	21673	   31	 T13	 87	  5	 	  1.69	  1	DR9	Sloan
     298	227.946497	+05.605634	22213	   29	 MMT	 72	 30	 	  1.67	  0	DR9	Sloan
     299	227.954688	+05.640496	23299	   21	 T13	121	  7	 	  1.85	  1	DR9	Sloan
     300	227.963605	+05.675673	22569	   21	 MMT	187	 21	 	  1.18	  0	DR9	Sloan
     301	227.993556	+05.676312	22719	    6	 MMT	275	321	 	  1.01	  0	DR9	Sloan
     302	227.936469	+05.616190	22073	   23	 MMT	 21	525	 	  1.81	  0	DR9	Sloan
     303	227.577113	+05.974726	22680	   33	 T13	 67	  7	 	  1.41	  1	DR9	Sloan
     304	227.604309	+06.000893	24169	   32	 T13	135	 18	 	  2.05	  1	DR9	Sloan
     305	227.610607	+06.006674	23115	   18	 T13	109	  5	 	  1.67	  1	DR9	Sloan
     306	227.559737	+05.969935	22330	    8	 MMT	126	250	 	  1.20	  0	DR9	Sloan
     307	227.586545	+05.993774	23365	   67	 T13	 54	145	 	  1.33	  0	DR9	Sloan
     308	227.677631	+06.008815	23793	   24	 T13	 65	 13	 	  1.85	  1	DR9	Sloan
     309	227.623201	+06.021286	23009	   14	 T13	 44	  4	 	  1.50	  1	DR9	Sloan
     310	227.630046	+06.025497	21986	   18	 T13	 32	 17	 	  1.59	  1	DR9	Sloan
     311	227.632298	+06.001953	23988	   19	 T13	190	  4	 	  2.14	  1	DR9	Sloan
     312	227.631931	+05.999191	24027	    6	SDSS	165	  7	 	  1.98	  1	DR9	Sloan
     313	227.632636	+05.977851	21991	   21	 T13	 86	  6	 	  1.69	  1	DR9	Sloan
     314	227.637457	+06.028900	24947	   30	 T13	 35	 78	 	  1.62	  1	DR9	Sloan
     315	227.648448	+05.990620	25265	   29	 T13	 73	  6	 	  1.71	  1	DR9	Sloan
     316	227.651981	+06.025550	24331	   20	 T13	212	 11	 	  1.89	  1	DR9	Sloan
     317	227.657697	+06.025097	24213	   46	 MMT	134	 41	 	  1.66	  0	DR9	Sloan
     318	227.646214	+05.960126	22822	   27	 T13	127	  6	 	  1.83	  1	DR9	Sloan
     319	227.673488	+06.038557	24068	   23	 T13	136	  6	 	  1.93	  1	DR9	Sloan
     320	227.668335	+05.956030	23392	   21	 T13	166	  5	 	  1.97	  1	DR9	Sloan
     321	227.677617	+05.990902	24126	   41	 T13	110	 34	 	  1.56	  1	DR9	Sloan
     322	227.682258	+05.970624	23989	   29	 T13	168	  5	 	  2.03	  1	DR9	Sloan
     323	227.719989	+05.988982	24623	   26	 T13	 36	 53	 	  1.68	  1	DR9	Sloan
     324	227.733003	+05.970587	22199	   14	 T13	102	  5	 	  1.77	  1	DR9	Sloan
     325	227.744545	+06.048295	23211	   18	 T13	 30	 13	 	  1.75	  1	DR9	Sloan
     326	227.753673	+05.971661	22345	    6	SDSS	124	  8	 	  1.82	  1	DR9	Sloan
     327	227.762765	+06.040409	23305	    7	SDSS	 96	  7	 	  1.98	  1	DR9	Sloan
     328	227.739767	+05.981383	23548	    9	SDSS	 93	 16	 	  1.90	  1	DR9	Sloan
     329	227.748840	+06.012028	23945	   19	 MMT	 39	 29	 	  1.91	  1	DR9	Sloan
     330	227.625305	+05.989315	23006	   24	 T13	115	 19	 	  1.38	  1	DR9	Sloan
     331	227.625334	+05.988847	23051	   36	 MMT	 21	  0	 	  1.50	  1	DR9	Sloan
     332	227.684747	+06.024267	23744	    7	 T13	184	 55	 	  1.22	  1	DR9	Sloan
     333	227.653911	+06.006769	23275	   32	 MMT	 32	 24	 	  1.73	  0	DR9	Sloan
     334	227.671582	+05.964767	24176	   36	 T13	103	 22	 	  1.77	  1	DR9	Sloan
     335	227.709268	+06.001311	24804	   48	 T13	 42	 46	 	  1.58	  1	DR9	Sloan
     336	227.730947	+06.020081	24269	   48	 MMT	 76	 60	 	  1.90	  0	DR9	Sloan
     337	227.731615	+06.006283	23566	   56	 T13	 39	 61	 	  1.36	  0	DR9	Sloan
     338	227.827956	+05.962355	22633	   18	 T13	143	  6	 	  1.98	  1	DR9	Sloan
     339	227.840156	+06.019290	23659	   18	 T13	102	 11	 	  1.79	  1	DR9	Sloan
     340	227.883536	+05.979386	23286	   22	 T13	 58	 24	 	  1.71	  1	DR9	Sloan
     341	227.851743	+05.992142	23137	   43	 T13	 68	 63	 	  1.44	  1	DR9	Sloan
     342	227.855452	+06.000040	23511	   31	 MMT	 35	100	 	  1.72	  0	DR9	Sloan
     343	227.875801	+05.951907	22599	   30	 T13	 21	369	 	  1.46	  0	DR9	Sloan
     344	227.923014	+05.937547	23771	   35	 T13	 83	  7	 	  1.76	  1	DR9	Sloan
     345	227.942990	+05.960422	23477	   26	 T13	145	  6	 	  1.78	  1	DR9	Sloan
     346	227.941174	+05.928877	23640	    7	 T13	149	 38	 	  1.24	  1	DR9	Sloan
     347	227.935562	+05.957947	22627	   44	 MMT	 80	 73	 	  1.38	  0	DR9	Sloan
     348	227.969026	+05.937690	22235	   23	 T13	 76	 29	 	  1.65	  1	DR9	Sloan
     349	227.703815	+05.524450	23023	   19	 T13	 28	 21	 	  1.40	  1	DR9	Sloan
     350	227.626370	+05.501862	22004	   15	 T13	149	  5	 	  1.78	  1	DR9	Sloan
     351	227.649159	+05.512932	24011	   16	 T13	 38	 24	 	  1.28	  1	DR9	Sloan
     352	227.652481	+05.511606	23679	   21	 T13	191	  7	 	  1.93	  1	DR9	Sloan
     353	227.658406	+05.495388	23956	   41	 T13	147	  7	 	  1.83	  1	DR9	Sloan
     354	227.681392	+05.480890	22098	   29	 T13	126	  7	 	  1.88	  1	DR9	Sloan
     355	227.703304	+05.480357	22922	   21	 T13	 36	 12	 	  1.26	  1	DR9	Sloan
     356	227.730084	+05.499864	22706	   22	 T13	 52	 21	 	  1.78	  1	DR9	Sloan
     357	227.683971	+05.518528	23831	   38	 T13	 28	281	 	  1.63	  1	DR9	Sloan
     358	227.710775	+05.499655	22169	   25	 MMT	 38	 40	 	  1.76	  0	DR9	Sloan
     359	227.712234	+05.490748	22169	   57	 T13	108	 66	 	  1.61	  1	DR9	Sloan
     360	227.792357	+05.501912	22329	   35	 T13	 39	 72	 	  1.76	  1	DR9	Sloan
     361	227.810201	+05.492149	23817	   38	 T13	 21	  0	 	  1.80	  1	DR9	Sloan
     362	227.738737	+05.502615	24691	   41	 MMT	150	 45	 	  1.54	  0	DR9	Sloan
     363	227.750601	+05.499363	25006	   43	 MMT	 82	 69	 	  2.19	  0	DR9	Sloan
     364	227.861532	+05.498511	22947	   85	 MMT	566	157	 	  2.21	  0	DR9	Sloan
     365	227.563018	+05.866543	24924	   60	 MMT	145	 55	 	  2.24	  0	DR9	Sloan
     366	227.479506	+05.868152	23451	   54	 T13	116	 28	 	  1.42	  1	DR9	Sloan
     367	227.526126	+05.843643	23314	   26	 T13	 91	  8	 	  1.28	  1	DR9	Sloan
     368	227.565539	+05.893275	25199	   39	 T13	 45	 56	 	  1.86	  1	DR9	Sloan
     369	227.479729	+05.860154	24133	    6	 MMT	317	276	 	  0.99	  0	DR9	Sloan
     370	227.585150	+05.941856	23304	   24	 MMT	 63	 23	 	  1.96	  1	DR9	Sloan
     371	227.901511	+05.910752	22094	   26	 T13	 21	475	 	  1.43	  1	DR9	Sloan
     372	227.916808	+05.922023	23321	   21	 MMT	 54	 27	 	  1.95	  1	DR9	Sloan
     373	227.899432	+05.905807	24242	   26	 MMT	 68	 26	 	  2.00	  1	DR9	Sloan
     374	227.928863	+05.888635	25203	    7	 T13	152	 56	 	  1.26	  1	DR9	Sloan
     375	227.967715	+05.816071	23805	   22	 T13	137	 13	 	  1.37	  1	DR9	Sloan
     376	227.995658	+05.888684	23927	   26	 T13	 64	 17	 	  1.76	  1	DR9	Sloan
     377	228.016950	+05.859114	23321	   21	 T13	153	  4	 	  1.85	  1	DR9	Sloan
     378	228.022508	+05.769559	22545	   24	 T13	103	  5	 	  1.87	  1	DR9	Sloan
     379	227.979524	+05.794006	22476	   31	 T13	 81	 94	 	  1.29	  1	DR9	Sloan
     380	227.977348	+05.794058	23728	   41	 T13	 93	 40	 	  1.45	  1	DR9	Sloan
     381	227.963739	+05.902979	23686	   22	 MMT	 97	107	 	  1.04	  0	DR9	Sloan
     382	227.976764	+05.775827	24414	   55	 MMT	 32	 73	 	  1.81	  0	DR9	Sloan
     383	227.993457	+05.730058	23743	    9	 MMT	 29	273	 	  1.11	  0	DR9	Sloan
     384	228.008291	+05.857262	23720	   22	 T13	100	 29	 	  1.39	  1	DR9	Sloan
     385	227.347278	+05.727425	24818	   33	 T13	198	  5	 	  1.96	  1	DR9	Sloan
     386	227.406525	+05.761728	23158	   16	 MMT	112	  8	 	  2.03	  0	DR9	Sloan
     387	227.410688	+05.622285	23877	   27	 T13	 28	 30	 	  1.67	  1	DR9	Sloan
     388	227.430882	+05.670016	25131	   19	 T13	119	 10	 	  1.38	  1	DR9	Sloan
     389	227.352615	+05.661211	23037	   19	 MMT	 72	 16	 	  2.04	  0	DR9	Sloan
     390	227.361569	+05.729793	25202	    7	 MMT	 74	 38	 	  1.23	  0	DR9	Sloan
     391	227.341408	+05.714548	24962	    9	 MMT	123	198	 	  1.25	  0	DR9	Sloan
     392	227.351417	+05.714347	24602	   56	 MMT	146	 50	 	  1.52	  0	DR9	Sloan
     393	227.359217	+05.707293	24735	   12	 MMT	 74	 86	 	  1.15	  0	DR9	Sloan
     394	227.379248	+05.684378	24920	   35	 MMT	106	 62	 	  1.19	  0	DR9	Sloan
     395	227.379963	+05.665157	23874	   30	 MMT	317	108	 	  1.70	  0	DR9	Sloan
     396	227.384378	+05.697451	24934	   32	 MMT	 72	 70	 	  1.19	  0	DR9	Sloan
     397	227.400441	+05.720519	24907	   50	 MMT	 25	 18	 	  1.44	  0	DR9	Sloan
     398	227.447245	+05.624657	23478	   27	 MMT	 29	112	 	  1.99	  0	DR9	Sloan
     399	227.445000	+05.660495	25028	   29	 T13	 33	 68	 	  1.35	  1	DR9	Sloan
     400	227.459086	+05.692788	22115	    7	 MMT	 44	 25	 	  1.19	  0	DR9	Sloan
     401	227.957501	+05.538383	22311	   35	 MMT	 34	 47	 	  2.18	  0	DR9	Sloan
     402	227.972826	+05.505136	23861	   42	 T13	 94	 10	 	  1.90	  1	DR9	Sloan
     403	227.980302	+05.553819	22421	   26	 T13	 69	 17	 	  1.81	  1	DR9	Sloan
     404	228.016630	+05.511696	24388	    1	SDSS	 60	 17	 	  1.18	  0	DR9	Sloan
     405	227.953748	+05.519164	23808	   26	 MMT	 86	 29	 	  1.62	  0	DR9	Sloan
     406	227.964907	+05.560883	23870	    7	 MMT	 44	106	 	  1.37	  0	DR9	Sloan
     407	228.039140	+05.503498	23008	    4	SDSS	150	  5	 	  1.92	  0	DR9	Sloan
     408	228.095603	+05.565988	23493	    8	 MMT	136	 10	 	  1.35	  0	DR9	Sloan
     409	228.103117	+05.658669	22508	   33	 T13	 30	 87	 	  1.64	  1	DR9	Sloan
     410	228.057753	+05.663118	23294	   30	 MMT	 50	 28	 	  1.76	  0	DR9	Sloan
     411	227.460915	+05.995063	21729	    9	 MMT	 40	725	 	  0.98	  0	DR9	Sloan
     412	227.490436	+06.008564	25288	   13	 MMT	 79	  9	 	  1.79	  0	DR9	Sloan
     413	227.595972	+06.079738	22216	   19	 T13	 93	  5	 	  1.71	  1	DR9	Sloan
     414	227.473792	+05.969956	23006	   18	 T13	139	  5	 	  1.88	  1	DR9	Sloan
     415	227.484660	+06.021158	23841	    5	SDSS	155	  6	 	  1.81	  0	DR9	Sloan
     416	227.485888	+05.973640	23109	   46	 MMT	277	 76	 	  1.67	  0	DR9	Sloan
     417	227.519199	+06.041050	24876	   19	 T13	149	  5	 	  1.87	  1	DR9	Sloan
     418	227.550686	+06.025392	22894	    2	SDSS	 75	  8	 	  1.32	  0	DR9	Sloan
     419	227.584146	+06.090579	22887	   24	 MMT	 99	 20	 	  1.36	  0	DR9	Sloan
     420	227.596658	+06.037167	23178	   25	 T13	165	  5	 	  2.10	  1	DR9	Sloan
     421	227.595852	+06.024520	23865	   27	 MMT	 62	 22	 	  1.75	  1	DR9	Sloan
     422	227.622921	+06.113515	21955	   16	 T13	188	  6	 	  1.92	  1	DR9	Sloan
     423	227.620830	+06.070695	24381	   43	 T13	 55	 29	 	  1.73	  1	DR9	Sloan
     424	227.483639	+06.056393	24838	   34	 MMT	 25	353	 	  1.77	  0	DR9	Sloan
     425	227.539089	+06.027442	23030	   25	 MMT	231	 98	 	  1.42	  0	DR9	Sloan
     426	227.584635	+06.042989	24883	   39	 MMT	 21	 48	 	  1.61	  0	DR9	Sloan
     427	227.616592	+06.097266	25222	   30	 MMT	 55	 26	 	  1.79	  0	DR9	Sloan
     428	227.626725	+06.034297	24946	   50	 T13	 47	 63	 	  1.72	  0	DR9	Sloan
     429	227.660011	+06.040917	24467	   27	 T13	 67	 26	 	  1.81	  1	DR9	Sloan
     430	227.698438	+06.051985	24117	   36	 T13	 21	 49	 	  1.67	  1	DR9	Sloan
     431	227.620972	+06.046704	24690	   33	 MMT	 21	  0	 	  1.59	  1	DR9	Sloan
     432	227.686649	+06.048105	22890	   53	 T13	193	 54	 	  1.45	  1	DR9	Sloan
     433	227.769968	+06.091372	22121	   45	 T13	 21	  0	 	  1.77	  1	DR9	Sloan
     434	227.779949	+06.057322	23847	   25	 MMT	 67	 16	 	  1.36	  1	DR9	Sloan
     435	227.794386	+06.051024	23498	   30	 T13	 33	 25	 	  1.90	  1	DR9	Sloan
     436	227.834897	+06.065707	23265	   26	 T13	270	  5	 	  1.98	  1	DR9	Sloan
     437	227.827653	+06.063839	23882	  125	 T13	264	 99	 	  1.18	  0	DR9	Sloan
     438	227.840761	+06.035147	23490	    6	SDSS	145	  7	 	  1.90	  1	DR9	Sloan
     439	227.849491	+06.074067	22994	    6	SDSS	127	  7	 	  1.78	  0	DR9	Sloan
     440	227.885366	+06.089841	22882	   16	 T13	101	  4	 	  1.89	  1	DR9	Sloan
     441	227.803419	+06.055056	23293	   24	 MMT	 54	 25	 	  1.81	  1	DR9	Sloan
     442	227.835691	+06.085030	22056	   59	 MMT	 21	 77	 	  1.31	  0	DR9	Sloan
     443	227.838052	+06.095718	25274	   41	 MMT	 80	 22	 	  2.17	  0	DR9	Sloan
     444	227.862249	+06.043159	24845	   42	 MMT	 47	 50	 	  1.45	  0	DR9	Sloan
     445	227.931335	+06.034331	23263	   34	 T13	 21	  0	 	  1.63	  1	DR9	Sloan
     446	227.932394	+05.993038	24560	   37	 T13	 46	 21	 	  1.52	  1	DR9	Sloan
     447	227.967796	+06.029854	24415	   25	 T13	180	  5	 	  1.97	  1	DR9	Sloan
     448	228.001920	+06.060653	22854	   17	 T13	187	  5	 	  2.04	  1	DR9	Sloan
     449	228.018768	+06.046936	23553	   19	 T13	111	  5	 	  1.95	  1	DR9	Sloan
     450	228.041486	+06.037456	24602	   28	 T13	 61	 23	 	  1.76	  1	DR9	Sloan
     451	228.045741	+05.930411	24828	   36	 T13	 57	 10	 	  1.60	  1	DR9	Sloan
     452	227.931097	+06.000624	23414	   75	 T13	 50	 53	 	  1.69	  0	DR9	Sloan
     453	227.941166	+06.050502	23891	   49	 MMT	 53	 55	 	  1.82	  0	DR9	Sloan
     454	228.059444	+05.996743	24201	   82	 MMT	 59	 82	 	  1.50	  0	DR9	Sloan
     455	227.634087	+06.125634	22047	   48	 MMT	 73	 17	 	  1.66	  0	DR9	Sloan
     456	227.631860	+06.144844	24190	   94	 MMT	119	101	 	  1.50	  0	DR9	Sloan
     457	227.653285	+06.125013	21938	   36	 T13	 78	 27	 	  1.54	  1	DR9	Sloan
     458	227.745394	+06.111603	22677	   22	 T13	111	  7	 	  1.89	  1	DR9	Sloan
     459	227.819369	+06.121696	23122	   26	 T13	108	  6	 	  1.34	  1	DR9	Sloan
     460	227.747773	+06.108808	22416	   20	 MMT	 51	  9	 	  1.64	  1	DR9	Sloan
     461	227.779746	+06.148359	22703	   42	 T13	 80	 32	 	  1.76	  1	DR9	Sloan
     462	227.779787	+06.135436	23076	   23	 T13	 84	 14	 	  1.86	  1	DR9	Sloan
     463	227.761247	+06.139076	23848	   14	 T13	 33	 24	 	  1.17	  1	DR9	Sloan
     464	227.765436	+06.146166	25304	   49	 MMT	 29	313	 	  1.95	  0	DR9	Sloan
     465	227.893873	+06.129249	24027	   35	 T13	 69	 30	 	  1.80	  1	DR9	Sloan
     466	227.831869	+06.117179	25251	   20	 T13	125	 14	 	  1.90	  1	DR9	Sloan
     467	227.965285	+06.085034	21765	    6	 T13	 53	 18	 	  1.20	  1	DR9	Sloan
     468	227.912111	+06.104724	24087	   26	 T13	 52	 21	 	  1.76	  1	DR9	Sloan
     469	227.918528	+06.121051	23056	   31	 T13	152	 28	 	  1.56	  1	DR9	Sloan
     470	227.904915	+06.126684	23860	   50	 MMT	 21	  0	 	  1.77	  0	DR9	Sloan
     471	227.989621	+06.083126	24007	   37	 MMT	 48	 40	 	  1.48	  1	DR9	Sloan
     472	227.506987	+05.522151	21839	   31	 T13	 99	 13	 	  1.62	  1	DR9	Sloan
     473	227.547992	+05.477620	23454	   33	 T13	148	  9	 	  1.85	  1	DR9	Sloan
     474	227.558411	+05.417430	22628	    6	 T13	105	 45	 	  1.24	  1	DR9	Sloan
     475	227.566772	+05.490080	24660	   21	 MMT	 68	 14	 	  1.54	  0	DR9	Sloan
     476	227.568609	+05.422931	23141	   18	 T13	 66	 21	 	  1.80	  1	DR9	Sloan
     477	227.568722	+05.400702	23223	   22	 T13	107	 10	 	  1.96	  1	DR9	Sloan
     478	227.571585	+05.466715	21879	    6	 T13	 73	 78	 	  1.11	  1	DR9	Sloan
