#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:25:47 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:25:47	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/812/114/table3&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18120114
#Name: J/ApJ/812/114
#Title: Grism Lens-Amplified Survey from Space (GLASS). I. (Treu+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apj/812/114	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/812/114	    IVOID of underlying data collection
#INFO	creator=Treu T.	    First author or institution
#INFO	cites=bibcode:2015ApJ...812..114T	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/812/114	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18120114	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-04-04	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_812_114_table3:
#Name: J/ApJ/812/114/table3
#Title: Redshift catalog for MACS J0717.5+3745
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A5)	[00036-92358] GLASS identifier (00036-02574 and 90082-92358) (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F12.8)	[109.36/109.42] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F13.9)	[37.72/37.78] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F8.5)	[0/2.6]? GLASS redshift (2)	[ucd=src.redshift]
#Column	q_z	(F3.1)	[0/4]? Quaility of z (3)	[ucd=meta.code.qual;src.redshift]
#Column	f_z	(F3.1)	[0/1] Flag indicating multiple z solutions (4)	[ucd=meta.code]
#Column	Note	(a10)	Additional notes (5)	[ucd=meta.note]
#Column	SimbadName	(A30)	Simbad column added by the CDS	[ucd=meta.id]
recno	ID	RAJ2000	DEJ2000	z	q_z	f_z	Note	SimbadName
     236	02496	109.39017553	+37.729628209	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-02496
     237	02498	109.38640488	+37.729190809	 2.00000	4.0	0.5	          	[TSB2015] GLASS MACS0717-02498
     238	02500	109.38562776	+37.728793662	        	0.0	0.0	          	
     239	02501	109.38485743	+37.728787434	 0.77750	2.5	0.5	          	[TSB2015] GLASS MACS0717-02501
     240	02522	109.38426398	+37.728706859	 0.00000	4.0	0.0	star      	[TSB2015] GLASS MACS0717-02522
     241	02526	109.38905921	+37.727959764	 0.52800	2.0	0.0	          	[TSB2015] GLASS MACS0717-02526
     242	02558	109.38224596	+37.725859970	 0.54550	4.0	0.0	          	[TSB2015] GLASS MACS0717-02558
     243	02563	109.38976170	+37.726484753	 1.45700	4.0	0.0	          	[TSB2015] GLASS MACS0717-02563
     244	02566	109.39044566	+37.726216561	 2.00000	2.0	1.0	          	[TSB2015] GLASS MACS0717-02566
     245	02567	109.38370873	+37.726168006	 1.21650	2.0	1.0	          	[TSB2015] GLASS MACS0717-02567
     246	02571	109.38848965	+37.726003207	 1.61000	2.0	1.0	          	[TSB2015] GLASS MACS0717-02571
     247	02574	109.38231385	+37.726028973	 0.53750	3.0	0.0	          	[TSB2015] GLASS MACS0717-02574

