#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:34:31 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:34:31	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/211/21/zspec&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22110021
#Name: J/ApJS/211/21
#Title: Spectroscopic redshifts of galaxies in MACS (Ebeling+, 2014)
#INFO	ivoid=ivo://cds.vizier/j/apjs/211/21	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/211/21	    IVOID of underlying data collection
#INFO	creator=Ebeling H.	    First author or institution
#INFO	cites=bibcode:2014ApJS..211...21E	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2014	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/211/21	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22110021	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-07-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_211_21_zspec:
#Name: J/ApJS/211/21/zspec
#Title: Combined table from original tables
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MACSg	(A19)	Galaxy identifier (JHHMMSS.ss+DDMMSS.s) <MACSg JHHHMMSS.ss+DDMMSS.s> in Simbad	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascention in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	e_z	(F7.4)	Uncertainty in z	[ucd=stat.error;src.redshift]
#Column	EmLT	(A3)	Spectral type (1)	[ucd=src.spType]
#Column	Inst	(A1)	Instrument (2)	[ucd=meta.id;instr]
#Column	CXO	(A3)	X-ray counterpart flag (XPS = Chandra X-ray point source)	[ucd=meta.code]
#Column	MACS	(A12)	Massive galaxy cluster name (<MCS JHHMM.m+DDMM> in SIMBAD)	[ucd=obs.field]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	MACSg	RAJ2000	DEJ2000	z	e_z	EmLT	Inst	CXO	MACS	Simbad
     469	J071731.55+374205.3	109.381477	+37.701469	 0.5485	 0.0010	A  	D	   	J0717.5+3745	Simbad
     470	J071731.61+373957.3	109.381706	+37.665920	 0.3786	 0.0003	A  	D	   	J0717.5+3745	Simbad
     471	J071731.74+374333.6	109.382248	+37.726002	 0.5315	 0.0005	E  	D	   	J0717.5+3745	Simbad
     472	J071731.78+375103.1	109.382416	+37.850861	 0.2473	 0.0003	A  	D	   	J0717.5+3745	Simbad
     473	J071731.84+374422.3	109.382660	+37.739529	 0.5389	 0.0003	A  	D	   	J0717.5+3745	Simbad
     474	J071731.88+374751.0	109.382835	+37.797501	 0.3899	 0.0003	E  	D	   	J0717.5+3745	Simbad
     475	J071731.92+374449.8	109.383003	+37.747169	 0.5438	 0.0003	A  	D	   	J0717.5+3745	Simbad
     476	J071731.92+374512.6	109.383003	+37.753502	 0.5448	 0.0003	A  	D	   	J0717.5+3745	Simbad
     477	J071731.94+374428.1	109.383080	+37.741138	 0.5501	 0.0003	E+A	D	   	J0717.5+3745	Simbad
     478	J071732.04+374510.4	109.383499	+37.752892	 0.5423	 0.0003	A  	D	   	J0717.5+3745	Simbad
     479	J071732.21+374445.5	109.384201	+37.745972	 0.3505	 0.0010	A  	D	   	J0717.5+3745	Simbad
     480	J071732.21+374507.5	109.384209	+37.752079	 0.5427	 0.0003	A  	D	   	J0717.5+3745	Simbad
     481	J071732.29+374838.9	109.384544	+37.810810	 0.5336	 0.0003	A  	D	   	J0717.5+3745	Simbad
     482	J071732.33+374359.3	109.384705	+37.733139	 0.5325	 0.0003	E  	D	   	J0717.5+3745	Simbad
     483	J071732.41+374424.2	109.385040	+37.740059	 0.5528	 0.0003	A  	D	   	J0717.5+3745	Simbad
     484	J071732.42+373820.4	109.385086	+37.639000	 0.4617	 0.0003	E  	D	   	J0717.5+3745	Simbad
     485	J071732.47+374435.0	109.385292	+37.743061	 0.5416	 0.0005	A  	D	   	J0717.5+3745	Simbad
     486	J071732.47+374545.7	109.385292	+37.762699	 0.4216	 0.0003	E  	D	   	J0717.5+3745	Simbad
     487	J071732.53+374442.6	109.385544	+37.745171	 0.5519	 0.0003	E+A	D	   	J0717.5+3745	Simbad
     488	J071732.54+374443.7	109.385582	+37.745468	 0.5514	 0.0003	E+A	D	   	J0717.5+3745	Simbad
     489	J071732.55+374343.9	109.385628	+37.728859	 0.5304	 0.0003	A  	D	   	J0717.5+3745	Simbad
     490	J071732.63+374838.1	109.385956	+37.810589	 0.8448	 0.0010	E  	D	   	J0717.5+3745	Simbad
     491	J071732.64+374703.3	109.386002	+37.784248	 0.4597	 0.0003	E  	D	   	J0717.5+3745	Simbad
     492	J071732.68+374430.0	109.386169	+37.741661	 0.5365	 0.0005	A  	D	   	J0717.5+3745	Simbad
     493	J071732.76+373426.9	109.386497	+37.574139	 0.7212	 0.0005	E  	D	   	J0717.5+3745	Simbad
     494	J071732.86+373613.5	109.386917	+37.603748	 0.4014	 0.0003	A  	D	   	J0717.5+3745	Simbad
     495	J071732.86+374159.3	109.386932	+37.699810	 0.5417	 0.0010	E  	D	   	J0717.5+3745	Simbad
     496	J071733.01+373733.4	109.387543	+37.625950	 0.3883	 0.0003	E  	D	   	J0717.5+3745	Simbad
     497	J071733.03+373850.6	109.387627	+37.647388	 0.3774	 0.0005	E  	D	   	J0717.5+3745	Simbad
     498	J071733.13+374503.1	109.388039	+37.750858	 0.5536	 0.0003	A  	D	   	J0717.5+3745	Simbad
     499	J071733.22+374428.0	109.388435	+37.741119	 0.5421	 0.0010	A  	D	   	J0717.5+3745	Simbad
     500	J071733.33+373932.1	109.388878	+37.658920	 0.3118	 0.0003	E  	D	   	J0717.5+3745	Simbad
     501	J071733.35+374838.3	109.388962	+37.810638	 0.4932	 0.0003	E  	D	   	J0717.5+3745	Simbad
     502	J071733.37+373431.2	109.389038	+37.575329	 0.3218	 0.0003	E  	D	   	J0717.5+3745	Simbad
     503	J071733.41+374505.1	109.389191	+37.751419	 0.5469	 0.0005	A  	D	   	J0717.5+3745	Simbad
     504	J071733.51+374419.1	109.389626	+37.738640	 0.5446	 0.0003	A  	D	   	J0717.5+3745	Simbad
     505	J071733.68+373809.7	109.390335	+37.636028	 0.5461	 0.0005	E  	D	   	J0717.5+3745	Simbad
     506	J071733.72+374408.7	109.390503	+37.735748	 0.6668	 0.0003	E  	D	   	J0717.5+3745	Simbad
     507	J071733.73+373845.4	109.390541	+37.645939	 0.3770	 0.0003	E  	D	   	J0717.5+3745	Simbad
     508	J071733.81+374406.0	109.390884	+37.735008	 0.5371	 0.0003	A  	D	   	J0717.5+3745	Simbad
     509	J071733.87+375147.0	109.391129	+37.863060	 0.5534	 0.0005	E  	D	   	J0717.5+3745	Simbad
     510	J071734.21+374848.1	109.392540	+37.813358	 0.4212	 0.0003	E  	D	   	J0717.5+3745	Simbad
     511	J071734.24+374329.3	109.392670	+37.724800	 0.1752	 0.0010	E  	D	   	J0717.5+3745	Simbad
     512	J071734.25+374313.3	109.392708	+37.720360	 0.4676	 0.0005	E  	D	   	J0717.5+3745	Simbad
     513	J071734.32+374329.3	109.392998	+37.724800	 0.1751	 0.0010	E  	D	   	J0717.5+3745	Simbad
     514	J071734.53+373638.1	109.393875	+37.610580	 0.5461	 0.0003	A  	D	   	J0717.5+3745	Simbad
     515	J071734.56+374440.9	109.393997	+37.744690	 0.5418	 0.0003	A  	D	   	J0717.5+3745	Simbad
     516	J071734.57+374510.2	109.394035	+37.752838	 0.5250	 0.0003	A  	D	   	J0717.5+3745	Simbad
     517	J071734.58+374731.1	109.394081	+37.791969	 0.5757	 0.0005	E  	D	   	J0717.5+3745	Simbad
     518	J071734.63+374408.9	109.394279	+37.735802	 0.5498	 0.0003	A  	D	   	J0717.5+3745	Simbad
     519	J071734.71+374446.6	109.394623	+37.746281	 0.5432	 0.0003	A  	D	   	J0717.5+3745	Simbad
     520	J071734.73+374937.6	109.394707	+37.827110	 0.5337	 0.0003	E  	D	   	J0717.5+3745	Simbad
     521	J071734.76+374346.5	109.394844	+37.729580	 0.5382	 0.0003	A  	D	   	J0717.5+3745	Simbad
     522	J071734.82+374353.7	109.395096	+37.731590	 0.5366	 0.0010	A  	D	   	J0717.5+3745	Simbad
     523	J071734.90+375207.1	109.395416	+37.868641	 0.5530	 0.0003	E  	D	   	J0717.5+3745	Simbad
     524	J071734.91+375049.3	109.395462	+37.847031	 0.5348	 0.0003	E  	D	   	J0717.5+3745	Simbad
     525	J071734.94+374941.3	109.395584	+37.828140	 0.5393	 0.0003	A  	D	   	J0717.5+3745	Simbad
     526	J071734.97+373825.7	109.395706	+37.640469	 0.5911	 0.0003	E  	D	   	J0717.5+3745	Simbad
     527	J071735.10+374620.0	109.396240	+37.772209	 0.5627	 0.0005	A  	D	   	J0717.5+3745	Simbad
     528	J071735.13+374553.1	109.396378	+37.764751	 0.5490	 0.0005	E  	D	   	J0717.5+3745	Simbad
     529	J071735.19+374531.8	109.396622	+37.758831	 0.5524	 0.0003	A  	D	   	J0717.5+3745	Simbad
     530	J071735.21+374541.7	109.396698	+37.761589	 1.6852	 0.0010	E  	D	XPS	J0717.5+3745	Simbad
     531	J071735.23+374533.6	109.396790	+37.759331	 0.5394	 0.0003	A  	D	XPS	J0717.5+3745	Simbad
     532	J071735.28+374256.0	109.397011	+37.715549	 0.5365	 0.0005	A  	D	XPS	J0717.5+3745	Simbad
     533	J071735.28+374443.1	109.397011	+37.745300	 0.5508	 0.0005	A  	D	XPS	J0717.5+3745	Simbad
     534	J071735.29+374447.4	109.397041	+37.746498	 0.1779	 0.0003	E  	D	XPS	J0717.5+3745	Simbad
     535	J071735.40+373153.2	109.397499	+37.531441	 0.4883	 0.0003	E  	D	   	J0717.5+3745	Simbad
     536	J071735.43+374359.3	109.397629	+37.733150	 0.5449	 0.0010	A  	D	   	J0717.5+3745	Simbad
     537	J071735.52+374505.2	109.398010	+37.751438	 0.5528	 0.0003	A  	D	   	J0717.5+3745	Simbad
     538	J071735.56+374444.6	109.398186	+37.745708	 0.5408	 0.0003	A  	D	   	J0717.5+3745	Simbad
     539	J071735.58+373624.2	109.398247	+37.606720	 0.5518	 0.0003	E  	D	   	J0717.5+3745	Simbad
     540	J071735.63+374517.3	109.398476	+37.754810	 0.5443	 0.0003	A  	D	   	J0717.5+3745	Simbad
     541	J071735.67+374258.5	109.398628	+37.716251	 0.2817	 0.0003	A  	D	   	J0717.5+3745	Simbad
     542	J071735.68+374334.1	109.398666	+37.726139	 0.4935	 0.0003	E  	D	   	J0717.5+3745	Simbad
     543	J071735.78+373521.9	109.399086	+37.589420	 0.5512	 0.0005	E  	D	   	J0717.5+3745	Simbad
     544	J071735.80+374346.3	109.399170	+37.729530	 0.5499	 0.0005	A  	D	   	J0717.5+3745	Simbad
     545	J071735.82+374442.9	109.399239	+37.745258	 0.5330	 0.0005	A  	D	   	J0717.5+3745	Simbad
     546	J071735.96+374559.7	109.399834	+37.766579	 0.5463	 0.0003	E+A	D	   	J0717.5+3745	Simbad
     547	J071735.97+374528.8	109.399872	+37.757999	 0.3829	 0.0010	E  	D	   	J0717.5+3745	Simbad
     548	J071735.98+374545.1	109.399918	+37.762531	 0.5514	 0.0003	A  	D	   	J0717.5+3745	Simbad
     549	J071735.99+374639.9	109.399948	+37.777760	 0.5628	 0.0005	A  	D	   	J0717.5+3745	Simbad
     550	J071736.17+373617.9	109.400711	+37.604969	 0.5462	 0.0003	A  	D	   	J0717.5+3745	Simbad
     551	J071736.17+373233.5	109.400711	+37.542641	 0.5531	 0.0003	E  	D	   	J0717.5+3745	Simbad
     552	J071736.22+374340.1	109.400917	+37.727810	 0.5357	 0.0003	A  	D	   	J0717.5+3745	Simbad
     553	J071736.33+374035.6	109.401375	+37.676559	 0.3630	 0.0005	E  	D	   	J0717.5+3745	Simbad
     554	J071736.35+373657.2	109.401459	+37.615891	 1.1733	 0.0003	E  	D	   	J0717.5+3745	Simbad
     555	J071736.38+374229.6	109.401588	+37.708221	 0.5500	 0.0003	E  	D	   	J0717.5+3745	Simbad
     556	J071736.41+374405.9	109.401711	+37.734970	 0.5426	 0.0003	A  	D	   	J0717.5+3745	Simbad
     557	J071736.42+374216.8	109.401749	+37.704670	 0.4881	 0.0003	E  	D	   	J0717.5+3745	Simbad
     558	J071736.45+374402.4	109.401855	+37.734001	 0.5426	 0.0003	A  	D	   	J0717.5+3745	Simbad
     559	J071736.53+373843.2	109.402206	+37.645329	 0.3763	 0.0003	A  	D	   	J0717.5+3745	Simbad
     560	J071736.53+374757.4	109.402206	+37.799278	 0.5397	 0.0003	E  	D	   	J0717.5+3745	Simbad
     561	J071736.55+374409.3	109.402283	+37.735920	 0.5402	 0.0003	A  	D	   	J0717.5+3745	Simbad
     562	J071736.58+374336.9	109.402397	+37.726921	 0.5322	 0.0003	E  	D	   	J0717.5+3745	Simbad
     563	J071736.60+374329.2	109.402519	+37.724789	 0.5398	 0.0010	A  	D	   	J0717.5+3745	Simbad
     564	J071736.63+374500.2	109.402611	+37.750050	 0.5322	 0.0005	A  	D	   	J0717.5+3745	Simbad
     565	J071736.66+373908.1	109.402748	+37.652248	 0.3774	 0.0003	A  	D	   	J0717.5+3745	Simbad
     566	J071736.70+373636.1	109.402916	+37.610031	 0.3997	 0.0005	E  	D	   	J0717.5+3745	Simbad
     567	J071736.70+374752.4	109.402916	+37.797890	 0.4017	 0.0003	A  	D	   	J0717.5+3745	Simbad
     568	J071736.82+374256.9	109.403404	+37.715801	 0.5327	 0.0010	E  	D	   	J0717.5+3745	Simbad
     569	J071736.82+374453.9	109.403419	+37.748299	 0.5536	 0.0003	A  	D	   	J0717.5+3745	Simbad
     570	J071736.84+374601.2	109.403503	+37.766998	 0.4901	 0.0003	E  	D	   	J0717.5+3745	Simbad
     571	J071736.85+374845.0	109.403542	+37.812500	 0.5418	 0.0005	A  	D	   	J0717.5+3745	Simbad
     572	J071736.87+374659.5	109.403625	+37.783199	 0.5439	 0.0003	A  	D	   	J0717.5+3745	Simbad
     573	J071736.88+374443.4	109.403664	+37.745392	 0.5381	 0.0003	A  	D	   	J0717.5+3745	Simbad
     574	J071737.09+374426.7	109.404541	+37.740749	 0.5466	 0.0003	A  	D	   	J0717.5+3745	Simbad
     575	J071737.10+374612.5	109.404587	+37.770142	 0.4212	 0.0003	E  	D	   	J0717.5+3745	Simbad
     576	J071737.10+373635.2	109.404587	+37.609779	 0.3990	 0.0005	E  	D	   	J0717.5+3745	Simbad
     577	J071737.16+374536.7	109.404854	+37.760189	 0.5342	 0.0003	A  	D	   	J0717.5+3745	Simbad
     578	J071737.22+374133.7	109.405083	+37.692699	 0.5341	 0.0010	E  	D	   	J0717.5+3745	Simbad
     579	J071737.31+374227.6	109.405457	+37.707668	 0.5290	 0.0005	E+A	D	   	J0717.5+3745	Simbad
     580	J071737.31+374432.1	109.405457	+37.742249	 0.5410	 0.0005	A  	D	   	J0717.5+3745	Simbad
     581	J071737.40+374421.1	109.405830	+37.739189	 0.5424	 0.0010	A  	D	   	J0717.5+3745	Simbad
     582	J071737.41+374506.3	109.405876	+37.751751	 0.5615	 0.0003	A  	D	   	J0717.5+3745	Simbad
     583	J071737.56+374533.9	109.406509	+37.759418	 0.5409	 0.0010	A  	D	   	J0717.5+3745	Simbad
     584	J071737.58+374717.6	109.406586	+37.788219	 0.4920	 0.0003	E  	D	   	J0717.5+3745	Simbad
     585	J071737.61+374634.4	109.406693	+37.776218	 0.4913	 0.0003	A  	D	   	J0717.5+3745	Simbad
     586	J071737.66+374244.2	109.406906	+37.712280	 0.5424	 0.0003	E+A	D	   	J0717.5+3745	Simbad
     587	J071737.78+374523.6	109.407433	+37.756569	 0.5500	 0.0003	A  	D	   	J0717.5+3745	Simbad
     588	J071737.79+373943.0	109.407455	+37.661949	 0.7114	 0.0005	E  	D	   	J0717.5+3745	Simbad
     589	J071737.79+373702.7	109.407455	+37.617420	 0.5456	 0.0003	E  	D	   	J0717.5+3745	Simbad
     590	J071737.85+373721.0	109.407707	+37.622501	 0.5459	 0.0003	E  	D	   	J0717.5+3745	Simbad
     591	J071737.89+374410.4	109.407883	+37.736229	 0.5508	 0.0010	A  	D	   	J0717.5+3745	Simbad
     592	J071737.92+374216.0	109.407997	+37.704441	 0.5374	 0.0003	A  	D	   	J0717.5+3745	Simbad
     593	J071738.07+373857.9	109.408623	+37.649422	 0.5396	 0.0003	E  	D	   	J0717.5+3745	Simbad
     594	J071738.18+373708.0	109.409081	+37.618889	 0.3637	 0.0003	A  	D	   	J0717.5+3745	Simbad
     595	J071738.18+373600.3	109.409081	+37.600079	 0.5512	 0.0003	E  	D	   	J0717.5+3745	Simbad
     596	J071738.26+374210.1	109.409401	+37.702801	 0.5386	 0.0010	A  	D	   	J0717.5+3745	Simbad
     597	J071738.28+374650.6	109.409500	+37.780720	 0.5613	 0.0003	A  	D	   	J0717.5+3745	Simbad
     598	J071738.36+374005.4	109.409836	+37.668171	 0.7497	 0.0003	E  	D	   	J0717.5+3745	Simbad
     599	J071738.40+374340.4	109.410004	+37.727890	 0.5512	 0.0003	E+A	D	   	J0717.5+3745	Simbad
     600	J071738.44+375139.2	109.410164	+37.860889	 0.6895	 0.0005	E  	D	   	J0717.5+3745	Simbad
     601	J071738.60+374341.3	109.410835	+37.728142	 0.5511	 0.0005	A  	D	   	J0717.5+3745	Simbad
     602	J071738.63+373413.6	109.410957	+37.570450	 0.3681	 0.0003	E  	D	   	J0717.5+3745	Simbad
     603	J071738.68+374047.9	109.411163	+37.679970	 0.6659	 0.0005	E  	D	   	J0717.5+3745	Simbad
     604	J071738.93+374538.4	109.412209	+37.760670	 0.4992	 0.0003	E  	D	   	J0717.5+3745	Simbad
     605	J071739.07+373532.1	109.412788	+37.592251	 0.6660	 0.0003	E  	D	   	J0717.5+3745	Simbad
     606	J071739.12+373928.1	109.413002	+37.657810	 0.5384	 0.0003	A  	D	   	J0717.5+3745	Simbad
     607	J071739.19+374640.2	109.413292	+37.777828	 0.4905	 0.0003	E  	D	   	J0717.5+3745	Simbad
     608	J071739.20+374533.4	109.413330	+37.759281	 0.5389	 0.0003	A  	D	   	J0717.5+3745	Simbad
     609	J071739.32+375019.3	109.413834	+37.838699	 0.5759	 0.0005	E  	D	   	J0717.5+3745	Simbad
     610	J071739.34+374622.5	109.413918	+37.772930	 0.4897	 0.0003	A  	D	   	J0717.5+3745	Simbad
     611	J071739.41+374101.5	109.414207	+37.683750	 0.3875	 0.0003	E  	D	   	J0717.5+3745	Simbad
     612	J071739.44+374359.3	109.414314	+37.733139	 0.5473	 0.0005	A  	D	   	J0717.5+3745	Simbad
     613	J071739.46+373929.0	109.414413	+37.658051	 0.3760	 0.0003	E  	D	   	J0717.5+3745	Simbad
     614	J071739.53+374241.9	109.414711	+37.711639	 0.5395	 0.0003	E  	D	   	J0717.5+3745	Simbad
     615	J071739.61+374421.9	109.415039	+37.739422	 0.5385	 0.0003	A  	D	   	J0717.5+3745	Simbad
     616	J071739.68+374343.5	109.415337	+37.728748	 0.5395	 0.0005	E  	D	   	J0717.5+3745	Simbad
     617	J071739.69+374649.1	109.415375	+37.780300	 0.4898	 0.0005	E  	D	   	J0717.5+3745	Simbad
     618	J071739.73+374518.7	109.415558	+37.755199	 0.5441	 0.0003	A  	D	   	J0717.5+3745	Simbad
     619	J071739.97+373411.1	109.416542	+37.569752	 0.3503	 0.0003	A  	D	   	J0717.5+3745	Simbad
     620	J071740.02+374925.5	109.416748	+37.823750	 0.5348	 0.0003	A  	D	   	J0717.5+3745	Simbad
     621	J071740.13+374211.2	109.417206	+37.703110	 0.5420	 0.0003	E  	D	   	J0717.5+3745	Simbad
     622	J071740.15+374515.9	109.417274	+37.754429	 0.5429	 0.0005	A  	D	   	J0717.5+3745	Simbad
     623	J071740.17+374841.8	109.417374	+37.811611	 0.8337	 0.0005	A  	D	   	J0717.5+3745	Simbad
     624	J071740.17+373515.8	109.417374	+37.587719	 0.5492	 0.0005	A  	D	   	J0717.5+3745	Simbad
     625	J071740.22+374445.3	109.417580	+37.745918	 0.5490	 0.0003	E  	D	   	J0717.5+3745	Simbad
     626	J071740.24+374654.5	109.417664	+37.781811	 0.5429	 0.0005	A  	D	   	J0717.5+3745	Simbad
     627	J071740.33+374754.9	109.418045	+37.798580	 0.5634	 0.0003	E  	D	   	J0717.5+3745	Simbad
     628	J071740.35+374820.4	109.418121	+37.805672	 0.7668	 0.0003	E  	D	   	J0717.5+3745	Simbad
     629	J071740.38+374916.4	109.418251	+37.821220	 0.5346	 0.0003	A  	D	   	J0717.5+3745	Simbad
     630	J071740.39+374141.0	109.418289	+37.694721	 0.5440	 0.0003	A  	D	   	J0717.5+3745	Simbad
     631	J071740.57+373431.0	109.419044	+37.575279	 0.5514	 0.0005	A  	D	   	J0717.5+3745	Simbad
     632	J071740.93+373709.8	109.420540	+37.619389	 0.4306	 0.0003	E  	D	   	J0717.5+3745	Simbad
     633	J071740.94+374316.6	109.420601	+37.721272	 0.5399	 0.0005	A  	D	   	J0717.5+3745	Simbad
     634	J071741.05+374452.8	109.421043	+37.748001	 0.5423	 0.0003	A  	D	   	J0717.5+3745	Simbad
     635	J071741.13+374502.5	109.421371	+37.750690	 0.5423	 0.0003	E  	D	   	J0717.5+3745	Simbad
     636	J071741.27+374452.3	109.421959	+37.747860	 0.5660	 0.0003	E  	D	   	J0717.5+3745	Simbad
     637	J071741.29+373434.3	109.422043	+37.576191	 0.5511	 0.0005	E  	D	   	J0717.5+3745	Simbad
     638	J071741.45+374410.3	109.422722	+37.736198	 0.5375	 0.0003	A  	D	   	J0717.5+3745	Simbad
     639	J071741.57+374459.6	109.423195	+37.749901	 0.5673	 0.0005	A  	D	   	J0717.5+3745	Simbad
     640	J071741.68+374419.0	109.423668	+37.738609	 0.5493	 0.0005	A  	D	   	J0717.5+3745	Simbad
     641	J071741.78+375143.0	109.424080	+37.861950	 0.8955	 0.0003	E  	D	   	J0717.5+3745	Simbad
     642	J071741.91+373743.3	109.424622	+37.628689	 0.5459	 0.0003	A  	D	   	J0717.5+3745	Simbad
     643	J071741.91+374501.9	109.424622	+37.750530	 0.6680	 0.0003	A  	D	   	J0717.5+3745	Simbad
     644	J071741.97+374805.3	109.424873	+37.801472	 0.5430	 0.0003	A  	D	   	J0717.5+3745	Simbad
     645	J071742.06+374145.7	109.425247	+37.696030	 0.5431	 0.0005	E  	D	   	J0717.5+3745	Simbad
     646	J071742.15+374213.2	109.425629	+37.703671	 0.5426	 0.0005	E  	D	   	J0717.5+3745	Simbad
     647	J071742.15+374300.2	109.425629	+37.716721	 0.7346	 0.0003	E  	D	   	J0717.5+3745	Simbad
     648	J071742.24+374336.3	109.426003	+37.726749	 0.5382	 0.0003	E  	D	   	J0717.5+3745	Simbad
     649	J071742.51+374619.8	109.427124	+37.772171	 0.5454	 0.0005	E  	D	   	J0717.5+3745	Simbad
     650	J071742.56+373903.7	109.427330	+37.651031	 0.3674	 0.0003	E+A	D	   	J0717.5+3745	Simbad
     651	J071742.60+374858.0	109.427483	+37.816101	 0.3308	 0.0003	E  	D	XPS	J0717.5+3745	Simbad
     652	J071742.66+374528.2	109.427734	+37.757832	 0.5386	 0.0003	A  	D	XPS	J0717.5+3745	Simbad
     653	J071742.96+374133.7	109.429001	+37.692699	 0.5440	 0.0003	E  	D	XPS	J0717.5+3745	Simbad
     654	J071743.02+374040.1	109.429253	+37.677811	 0.5442	 0.0003	E  	D	   	J0717.5+3745	Simbad
     655	J071743.04+374118.9	109.429337	+37.688580	 0.5937	 0.0003	A  	D	   	J0717.5+3745	Simbad
     656	J071743.14+374337.4	109.429749	+37.727051	 0.5361	 0.0003	A  	D	   	J0717.5+3745	Simbad
     657	J071743.17+374651.5	109.429878	+37.780972	 0.5622	 0.0003	E  	D	   	J0717.5+3745	Simbad
     658	J071743.34+374720.1	109.430580	+37.788921	 0.5390	 0.0003	A  	D	   	J0717.5+3745	Simbad
     659	J071743.45+373722.1	109.431038	+37.622810	 0.5472	 0.0003	E  	D	   	J0717.5+3745	Simbad
     660	J071743.57+374322.8	109.431541	+37.723000	 0.5403	 0.0003	E  	D	   	J0717.5+3745	Simbad
     661	J071743.61+374635.5	109.431725	+37.776520	 0.5425	 0.0010	A  	D	   	J0717.5+3745	Simbad
     662	J071743.62+373750.1	109.431747	+37.630581	 0.5508	 0.0005	E  	D	   	J0717.5+3745	Simbad
     663	J071743.67+373439.6	109.431961	+37.577671	 0.5434	 0.0005	E  	D	   	J0717.5+3745	Simbad
     664	J071743.70+374408.9	109.432083	+37.735809	 0.5364	 0.0003	E  	D	   	J0717.5+3745	Simbad
     665	J071743.89+374636.4	109.432877	+37.776779	 0.5437	 0.0003	E+A	D	   	J0717.5+3745	Simbad
     666	J071743.93+374911.4	109.433044	+37.819832	 0.3185	 0.0003	E  	D	   	J0717.5+3745	Simbad
     667	J071743.95+374649.6	109.433128	+37.780449	 0.3859	 0.0003	E  	D	   	J0717.5+3745	Simbad
     668	J071744.00+373237.3	109.433334	+37.543690	 0.4965	 0.0003	A  	D	   	J0717.5+3745	Simbad
     669	J071744.12+374929.4	109.433830	+37.824829	 0.5388	 0.0003	E  	D	   	J0717.5+3745	Simbad
     670	J071744.13+374030.7	109.433876	+37.675190	 0.5452	 0.0005	A  	D	   	J0717.5+3745	Simbad
     671	J071744.15+374759.7	109.433960	+37.799919	 0.4902	 0.0003	E  	D	   	J0717.5+3745	Simbad
     672	J071744.16+374501.4	109.433998	+37.750401	 0.5500	 0.0005	E  	D	   	J0717.5+3745	Simbad
     673	J071744.30+374507.3	109.434586	+37.752029	 0.1561	 0.0003	A  	D	   	J0717.5+3745	Simbad
     674	J071744.30+373156.7	109.434586	+37.532421	 0.6893	 0.0003	A  	D	   	J0717.5+3745	Simbad
     675	J071744.31+374959.8	109.434624	+37.833279	 0.6885	 0.0003	E  	D	   	J0717.5+3745	Simbad
     676	J071744.35+374334.5	109.434792	+37.726250	 0.4222	 0.0010	E  	D	   	J0717.5+3745	Simbad
     677	J071744.41+373424.0	109.435043	+37.573330	 0.6654	 0.0003	E  	D	   	J0717.5+3745	Simbad
     678	J071744.42+374834.8	109.435074	+37.809662	 0.2464	 0.0005	E  	D	   	J0717.5+3745	Simbad
     679	J071744.49+374547.6	109.435371	+37.763222	 0.4983	 0.0003	E  	D	   	J0717.5+3745	Simbad
     680	J071744.70+373905.4	109.436249	+37.651501	 0.3759	 0.0003	A  	D	   	J0717.5+3745	Simbad
     681	J071744.73+374139.3	109.436378	+37.694248	 0.4546	 0.0003	E  	D	   	J0717.5+3745	Simbad
     682	J071744.87+374449.3	109.436958	+37.747028	 0.4951	 0.0003	E  	D	   	J0717.5+3745	Simbad
     683	J071744.89+374308.7	109.437035	+37.719082	 0.5537	 0.0010	A  	D	   	J0717.5+3745	Simbad
     684	J071745.01+374317.2	109.437538	+37.721439	 0.5409	 0.0003	E  	D	   	J0717.5+3745	Simbad
