#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:20 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:21	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/489/99/j2248pr&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74890099
#Name: J/MNRAS/489/99
#Title: ASTRODEEP Frontier Fields Catalogues (Bradac+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/489/99	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/489/99	    IVOID of underlying data collection
#INFO	creator=Bradac M.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.489...99B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/489/99	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74890099	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-05-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_489_99_j2248pr:
#Name: J/MNRAS/489/99/j2248pr
#Title: RXC J2248.7-4431 properties catalog
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I6)	Catalogue identification number, rxj2248-NNNNNN in j2248ph.dat file (IDcat)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension (J2000) (alpha_j2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Right ascension (J2000) (delta_j2000)	[ucd=pos.eq.dec;meta.main]
#Column	zbest	(F7.4)	Reference (median) photo-z value except when a match with a publicly available high-quality spectroscopic source is found within 1 arcsec (ZBEST)	[ucd=src.redshift;pos.heliocentric]
#Column	zphEAZY	(F5.2)	EAZY photometric redshift (ZPHOT_EAZY)	[ucd=src.redshift.phot]
#Column	e_zphEAZY	(F6.3)	? EAZY photometric redshift lower error (ZPHOT_EAZY_L95)	[ucd=stat.error]
#Column	E_zphEAZY	(F6.3)	? EAZY photometric redshift upper error (ZPHOT_EAZY_U95)	[ucd=stat.error;stat.max]
#Column	zphOAR	(F7.4)	OAR photometric redshift (ZPHOT_OAR)	[ucd=src.redshift.phot]
#Column	zsp	(F7.4)	? Spectroscopic redshift (ZSPEC)	[ucd=src.redshift]
#Column	Magnif	(F10.6)	Median magnification from all the models with version 4 data (MAGNIF)	[ucd=meta.version]
#Column	chi2Neb	(D12.5)	chi^2^ of the SED fitting with stellar plus nebular models at redshift fixed to ZBEST (chi2_NEB)	[ucd=stat.fit.chi2;stat.fit]
#Column	MstarNeb	(F9.3)	Stellar mass estimated from stellar plus nebular fits (MASS_NEB)	[ucd=phys.mass]
#Column	e_MstarNeb	(F7.4)	Lower uncertainty on MstarNeb (MASS_MIN_NEB)	[ucd=stat.error]
#Column	E_MstarNeb	(D12.5)	[] Upper uncertainty on MstarNeb (MASS_MAX_NEB)	[ucd=stat.error;stat.max]
#Column	SFRNeb	(F8.1)	Star-formation rate estimated from the stellar plus nebular fits (SFR_NEB)	[ucd=phys.SFR]
#Column	e_SFRNeb	(I7)	Lower uncertainty on SFRNbeb (SFR_MIN_NEB)	[ucd=stat.error]
#Column	E_SFRNeb	(F7.3)	[] Upper uncertainty on SFRNbeb (SFR_MAX_NEB)	[ucd=stat.error;stat.max]
recno	ID	RAJ2000	DEJ2000	zbest	zphEAZY	e_zphEAZY	E_zphEAZY	zphOAR	zsp	Magnif	chi2Neb	MstarNeb	e_MstarNeb	E_MstarNeb	SFRNeb	e_SFRNeb	E_SFRNeb
     673	   755	342.177486	-44.540761	 5.2700	 5.27	 1.031	 6.598	 5.2400	       	 35.751331	 7.81360e-01	    6.989	 5.2700	 7.81360e-01	     0.3	3884029	 -2.630
     674	   756	342.193634	-44.541224	 1.1800	 1.18	 1.085	 1.545	 1.4500	       	  1.396328	 2.05380e+00	    0.501	 1.1800	 1.00000e+00	     0.1	7398771	 -3.904
     675	   757	342.210991	-44.541010	 0.0100	 0.01	 0.011	 0.733	 0.0100	       	  1.000000	 1.00000e+30	    0.000	 0.0100	 1.00000e+30	     0.0	      0	  0.000
     676	   758	342.213020	-44.540778	 0.4300	 0.43	 0.076	 0.565	 0.4200	       	  1.065613	 9.52510e-01	    0.116	 0.4300	 9.52510e-01	     0.0	5063721	 -6.821
     677	   759	342.195493	-44.541477	 0.4100	 0.41	 0.171	 0.789	 0.2600	       	  1.051398	 9.26280e-01	    0.040	 0.4100	 9.26280e-01	     0.0	 162153	 -7.534
     678	   760	342.166927	-44.540796	 3.5500	 3.55	 1.085	 5.013	 3.4200	       	 16.069568	 3.85830e-01	    0.164	 3.5500	 3.85830e-01	    10.8	2194031	 -1.220
     679	   761	342.166468	-44.541299	 0.2300	 0.23	 0.044	 0.575	 0.0100	       	  1.000000	 1.92440e+00	    0.057	 0.2300	 9.99990e-01	     0.0	   6725	 -7.347
     680	   762	342.175048	-44.541028	 2.3000	 0.30	 0.286	 0.354	 3.1700	 2.3000	 10.408040	 1.35240e+01	    0.089	 2.3000	 9.99980e-01	     3.6	2677206	 -4.816
     681	   763	342.197502	-44.541033	 0.7000	 0.70	 0.549	 0.781	 0.7800	       	  1.226461	 1.16470e+00	    0.044	 0.7000	 1.00000e+00	     0.2	 810774	 -3.991
     682	   764	342.193454	-44.540803	 3.5100	 3.51	 2.197	 4.207	 2.7500	       	  1.628008	 7.58170e-01	    2.104	 3.5100	 7.58170e-01	     0.1	4702822	 -3.885
     683	   765	342.211344	-44.540943	 0.8600	 0.86	 0.831	 0.914	 0.0200	       	  1.286149	 2.93100e+00	    0.075	 0.8600	 1.00000e+00	     6.1	2366177	 -2.299
     684	   766	342.163210	-44.541732	 0.0600	 0.06	 0.017	 0.301	 0.0700	       	  1.000000	 9.92590e-01	    0.006	 0.0600	 9.92590e-01	     0.0	7471585	-10.607
     685	   767	342.170432	-44.540898	 0.8100	 0.81	 0.347	 3.926	 0.0100	       	  2.649496	 4.09580e-01	    0.021	 0.8100	 4.09580e-01	     0.2	1123376	 -6.057
     686	   768	342.158670	-44.540845	 2.8800	 2.88	 0.296	 3.125	 2.7800	       	  3.721024	 6.23230e-01	    0.104	 2.8800	 6.23230e-01	    10.7	2616018	 -0.024
     687	   769	342.192495	-44.541440	 0.4500	 0.45	 0.105	 0.527	 0.4400	       	  1.086090	 7.86700e-01	    0.922	 0.4500	 7.86700e-01	     0.1	  77795	 -4.525
     688	   770	342.170047	-44.540915	 0.4800	 0.48	 0.307	 0.783	 0.4300	       	  1.397832	 9.17530e-01	    0.074	 0.4800	 9.17530e-01	     0.0	5065546	 -7.334
     689	   771	342.204111	-44.541976	 0.2600	 0.26	 0.197	 0.340	 0.2400	       	  1.000000	 2.75180e+00	    1.178	 0.2600	 9.99980e-01	     0.0	5142026	 -4.524
     690	   772	342.181645	-44.541094	 2.0000	 2.00	 1.856	 2.550	 2.5000	       	  3.290218	 1.57930e+00	    0.056	 2.0000	 9.99990e-01	     4.6	2442600	 -0.393
     691	   773	342.192185	-44.540755	 1.2000	 1.20	 0.837	 1.466	 1.2700	       	  1.403733	 6.78760e-01	    0.013	 1.2000	 6.78760e-01	     0.4	1674984	 -3.156
     692	   774	342.195705	-44.540975	 0.5200	 0.52	 0.380	 4.178	 0.4800	       	  1.125091	 8.98420e-01	    0.022	 0.5200	 8.98420e-01	     0.1	 768170	 -6.037
     693	   775	342.166863	-44.541101	 1.4600	 1.46	 1.044	 1.690	 1.4900	       	  4.739086	 1.12400e+00	    0.370	 1.4600	 9.99970e-01	     0.2	5264009	 -5.580
     694	   776	342.180760	-44.540887	 0.1100	 0.11	 0.094	 0.153	 2.4900	       	  1.000000	 1.00170e+01	    0.003	 0.1100	 9.99980e-01	     0.0	 234242	 -8.872
     695	   777	342.191941	-44.541728	 0.5200	 0.52	 0.486	 0.589	 0.5200	       	  1.142229	 1.84480e+01	    0.453	 0.5200	 1.00000e+00	     0.8	 522490	 -3.927
     696	   778	342.182047	-44.540345	 0.3435	 0.34	 0.259	 0.398	 0.3500	 0.3435	  1.000000	 1.03610e+00	   14.080	 0.3435	 9.99960e-01	     0.5	  21922	 -1.661
     697	   779	342.194351	-44.540822	 0.9300	 0.93	 0.882	 1.073	 1.0300	       	  1.319044	 8.56280e-01	    0.161	 0.9300	 8.56280e-01	     0.2	6897043	 -4.927
     698	   780	342.167947	-44.540566	 3.0600	 3.06	 0.805	 3.972	 0.2500	       	 22.261099	 3.81480e-01	    0.068	 3.0600	 3.81480e-01	     1.9	1684421	 -1.387
     699	   781	342.172412	-44.541211	 1.2690	 1.19	 1.129	 1.263	 1.2700	 1.2690	  4.378086	 7.73790e-01	  178.400	 1.2690	 7.73790e-01	     0.2	4990633	  0.935
     700	   782	342.207779	-44.540506	 2.8200	 2.82	 0.427	 4.395	 2.8000	       	  1.432562	 1.01820e+00	    0.038	 2.8200	 1.00000e+00	     3.9	2610816	 -1.150
     701	   783	342.207127	-44.540566	 3.0000	 3.00	 1.908	 3.514	 2.7400	       	  1.439786	 6.04320e-01	    0.545	 3.0000	 6.04320e-01	     0.1	3695484	 -5.318
     702	   784	342.181740	-44.540973	 1.9600	 1.96	 1.731	 2.126	 2.3100	       	  3.375623	 1.90000e+00	    1.147	 1.9600	 1.00000e+00	     5.3	 883199	 -0.786
     703	   785	342.201384	-44.540932	 0.2100	 0.21	 0.179	 0.440	 0.3900	       	  1.000000	 4.28070e+00	    0.369	 0.2100	 1.00000e+00	     0.0	5201428	 -5.808
     704	   786	342.212000	-44.540374	 0.1000	 0.10	 0.055	 3.074	 2.9600	       	  1.000000	 3.73300e+00	    0.001	 0.1000	 1.00000e+00	     0.0	 234242	-10.106
     705	   787	342.177301	-44.540706	 1.7900	 1.79	 1.586	 1.804	 1.7500	       	  5.916382	 5.93920e+00	    0.312	 1.7900	 1.00000e+00	     0.5	5431956	 -5.683
     706	   788	342.176905	-44.540501	 1.8100	 1.81	 1.399	 2.742	 1.7000	       	  7.292066	 1.51210e+00	    0.010	 1.8100	 1.00000e+00	     1.0	3305996	 -5.582
     707	   790	342.179980	-44.540615	 0.1100	 0.11	 0.093	 2.936	 2.9500	       	  1.000000	 6.06080e+00	    0.001	 0.1100	 1.00000e+00	     0.0	 234242	-10.362
     708	   791	342.181870	-44.540488	 1.8370	 1.83	 1.814	 1.974	 0.0200	 1.8370	  4.527731	 2.58180e+00	    0.524	 1.8370	 1.00000e+00	    53.7	2634597	  2.283
     709	   792	342.176993	-44.540559	 1.7900	 1.79	 1.541	 1.804	 1.8200	       	  6.788241	 2.19490e+00	    0.186	 1.7900	 9.99990e-01	     0.3	5344548	 -5.741
     710	   793	342.177774	-44.540875	 0.5500	 0.55	 0.100	 0.724	 0.0100	       	  1.497513	 2.66770e+00	    0.064	 0.5500	 1.00000e+00	     0.1	6942395	 -4.991
     711	   794	342.185619	-44.540590	 0.5300	 0.53	 0.446	 0.638	 0.6800	       	  1.200310	 4.61790e+00	    0.151	 0.5300	 1.00000e+00	     2.6	1460371	 -1.470
     712	   795	342.183640	-44.540285	 3.9900	 3.99	 2.321	 6.267	 3.9500	       	  3.232169	 6.66780e-01	    1.223	 3.9900	 6.66780e-01	   125.3	2637440	  3.192
     713	   796	342.160550	-44.540289	 1.8600	 1.86	 0.285	 2.869	 2.3700	       	  3.588926	 7.50350e-01	    0.013	 1.8600	 7.50350e-01	     0.2	3517597	 -7.823
     714	   797	342.211132	-44.540593	 0.0600	 0.06	 0.037	 0.090	 0.4300	       	  1.000000	 5.88940e+00	    0.048	 0.0600	 1.00000e+00	     0.0	5251301	 -8.291
     715	   798	342.162135	-44.540647	 0.4000	 0.40	 0.132	 0.733	 0.2400	       	  1.128882	 4.37610e-01	    0.079	 0.4000	 4.37610e-01	     0.0	5091203	 -7.358
     716	   799	342.174981	-44.540281	 4.7700	 4.77	 4.222	 5.663	 0.5500	       	 12.964055	 1.30980e+00	    0.398	 4.7700	 1.00000e+00	    14.9	2654655	 -4.306
     717	   800	342.192254	-44.541287	 1.2100	 1.21	 0.930	 1.290	 1.2300	       	  1.417931	 1.00780e+00	   14.940	 1.2100	 1.00000e+00	     5.2	 138552	 -1.142
     718	   801	342.193789	-44.540533	 0.6900	 0.69	 0.164	 0.941	 0.1800	       	  1.229915	 1.05710e+00	    0.025	 0.6900	 1.00000e+00	     0.4	1406774	 -5.110
     719	   802	342.199481	-44.540396	 4.1600	 4.16	 3.434	 4.675	 3.5200	       	  1.566527	 1.24010e+00	   18.650	 4.1600	 9.99970e-01	     9.4	6924827	 -1.188
     720	   803	342.191940	-44.540953	 0.8200	 0.82	 0.708	 1.265	 1.0800	       	  1.284668	 3.85870e+00	    0.165	 0.8200	 9.99990e-01	     5.5	1696376	 -2.436
     721	   804	342.190646	-44.540378	 2.9300	 2.93	 2.513	 2.993	 3.1000	       	  1.666799	 4.03390e+00	    4.350	 2.9300	 9.99990e-01	     0.4	7127531	 -3.023
     722	   805	342.194525	-44.540237	 1.1500	 1.15	 0.479	 3.983	 0.6200	       	  1.391391	 7.34310e-01	    0.046	 1.1500	 7.34310e-01	     0.4	1204783	 -3.007
     723	   806	342.198887	-44.540517	 0.4200	 0.42	 0.192	 0.702	 0.3100	       	  1.062645	 1.03610e+00	    0.039	 0.4200	 9.99960e-01	     0.0	  77692	 -8.091
     724	   807	342.185534	-44.540054	 5.6200	 5.62	 4.699	 5.869	 4.8500	       	  2.712180	 3.41960e+00	    2.418	 5.6200	 9.99990e-01	     0.8	3743920	 -3.704
     725	   808	342.207551	-44.540840	 0.0900	 0.09	 0.029	 0.104	 0.1500	       	  1.000000	 3.48070e+00	    0.008	 0.0900	 1.00000e+00	     0.0	 128483	 -7.789
     726	   809	342.163251	-44.540150	 3.4900	 3.49	 3.123	 4.381	 3.6600	       	  7.466914	 7.55040e-01	    0.331	 3.4900	 7.55040e-01	     0.2	4271782	 -5.901
     727	   810	342.181212	-44.540999	 2.8900	 2.89	 2.767	 2.940	 2.5800	       	  4.260253	 1.90750e+00	    0.056	 2.8900	 9.99980e-01	     5.8	2634018	 -0.144
     728	   811	342.207756	-44.539990	 2.7500	 2.75	 2.407	 2.903	 2.5500	       	  1.441134	 7.95260e-01	    0.009	 2.7500	 7.95260e-01	     0.9	2634015	 -2.195
     729	   812	342.206093	-44.540015	 3.5600	 3.56	 3.020	 4.410	 0.2500	       	  1.471020	 7.91140e-01	    0.330	 3.5600	 7.91140e-01	     0.1	5428075	 -5.931
     730	   813	342.207137	-44.539974	 1.2000	 1.20	 0.618	 5.736	 0.0500	       	  1.330229	 6.21380e-01	    0.010	 1.2000	 6.21380e-01	     0.5	2784184	 -5.732
     731	   814	342.181654	-44.540645	 1.8750	 0.09	 0.017	 0.166	 1.6400	 1.8750	  3.630302	 1.60260e+00	    2.735	 1.8750	 9.99980e-01	     2.6	5378669	 -3.396
     732	   815	342.200628	-44.541303	 0.2200	 0.22	 0.085	 0.463	 0.5200	       	  1.000000	 5.30080e+00	    0.309	 0.2200	 1.00000e+00	     0.0	   5644	 -6.047
     733	   816	342.175872	-44.540039	 3.4400	 3.44	 0.758	 4.798	 0.6100	       	 18.650725	 3.71120e-01	    0.854	 3.4400	 3.71120e-01	     0.2	4062213	 -4.900
     734	   817	342.191432	-44.540225	 1.3800	 1.38	 1.166	 1.525	 1.5100	       	  1.441951	 1.75830e+00	    0.754	 1.3800	 1.00000e+00	     0.1	7324828	 -4.697
     735	   818	342.207759	-44.540071	 0.3800	 0.38	 0.043	 2.856	 2.6200	       	  1.028994	 4.58770e+00	    0.036	 0.3800	 1.00000e+00	     0.0	6901673	 -5.895
     736	   819	342.206646	-44.540315	 0.4000	 0.40	 0.220	 3.813	 0.2600	       	  1.045314	 9.89910e-01	    0.009	 0.4000	 9.89910e-01	     0.2	1483968	 -4.030
     737	   820	342.188294	-44.541055	 0.5300	 0.53	 0.449	 0.666	 3.9300	       	  1.168351	 9.17090e+00	    0.060	 0.5300	 1.00000e+00	     2.0	1733971	 -2.389
     738	   821	342.174066	-44.541050	 0.2500	 0.25	 0.075	 0.337	 0.2900	       	  1.000000	 4.22100e+00	    0.241	 0.2500	 1.00000e+00	     0.0	  39509	 -6.093
     739	   822	342.168962	-44.540037	 0.5100	 0.51	 0.202	 0.898	 0.3100	       	  1.516469	 7.69640e-01	    0.125	 0.5100	 7.69640e-01	     0.0	   9717	 -6.835
     740	   823	342.210668	-44.540684	 0.2800	 0.28	 0.164	 0.333	 0.2000	       	  1.000000	 2.59850e+00	    6.194	 0.2800	 9.99980e-01	     0.0	5172828	 -2.458
     741	   824	342.162579	-44.540361	 1.3900	 1.39	 1.243	 1.562	 1.5500	       	  3.413179	 8.82320e-01	    0.235	 1.3900	 8.82320e-01	     0.3	5275708	 -4.438
     742	   825	342.163018	-44.539930	 3.9400	 3.94	 3.439	 4.319	 3.7400	       	  7.841760	 2.52820e+00	    0.543	 3.9400	 9.99990e-01	     0.6	5275759	 -3.540
     743	   826	342.180340	-44.540836	 2.3400	 2.89	 2.665	 2.945	 2.7600	 2.3400	  4.255186	 2.57990e+00	    2.984	 2.3400	 9.99990e-01	     6.9	 605244	 -1.041
     744	   827	342.196596	-44.539973	 0.3548	 0.21	 0.188	 0.254	 0.2300	 0.3548	  1.018492	 2.78520e+00	   10.910	 0.3548	 1.00000e+00	     0.0	5149447	 -2.058
     745	   828	342.205662	-44.540097	 3.2500	 3.25	 2.580	 4.056	 3.1900	       	  1.467034	 6.89440e-01	    2.694	 3.2500	 6.89440e-01	     2.3	6890992	 -2.744
     746	   829	342.183243	-44.539932	 3.3400	 3.34	 0.630	 4.149	 3.1500	       	  3.798508	 8.23550e-01	    3.499	 3.3400	 8.23550e-01	     3.4	 349212	 -0.645
     747	   830	342.180882	-44.539776	 4.8100	 4.81	 4.256	 5.604	 4.4300	       	 10.541924	 3.76610e-01	    1.517	 4.8100	 3.76610e-01	     0.2	5259176	 -4.207
     748	   831	342.205623	-44.539721	 3.3000	 3.30	 2.836	 3.740	 3.1800	       	  1.469134	 9.24460e-01	    0.371	 3.3000	 9.24460e-01	     0.3	 254178	 -4.383
     749	   832	342.194994	-44.539767	 3.6700	 3.67	 3.137	 4.581	 3.3900	       	  1.674219	 4.85800e-01	    0.766	 3.6700	 4.85800e-01	     0.4	5261553	 -4.786
     750	   833	342.187200	-44.540896	 0.4600	 0.46	 0.420	 0.501	 0.5000	       	  1.105693	 2.67690e+00	    1.906	 0.4600	 1.00000e+00	     0.0	5133633	 -3.958
     751	   834	342.182585	-44.539769	 1.1400	 1.14	 0.622	 5.578	 0.8400	       	  2.455503	 1.85630e+00	    0.006	 1.1400	 1.00000e+00	     0.6	3336183	 -5.489
     752	   835	342.162400	-44.539630	 0.1100	 0.11	 0.070	 0.250	 2.6300	       	  1.000000	 2.12430e+01	    0.000	 0.1100	 1.00000e+00	     0.0	 234242	-10.836
     753	   836	342.185332	-44.540032	 0.5300	 0.53	 0.459	 0.604	 0.5900	       	  1.226324	 2.88180e+00	    0.218	 0.5300	 1.00000e+00	     0.0	5090315	 -6.163
     754	   837	342.177302	-44.539739	 4.7600	 4.76	 0.499	 5.336	 0.7200	       	 12.171687	 1.47580e+00	    6.456	 4.7600	 1.00000e+00	     1.0	5259175	 -2.635
     755	   838	342.166494	-44.539705	 5.1400	 5.14	 4.224	 6.283	 4.5800	       	 48.409722	 4.80680e-01	   15.410	 5.1400	 4.80680e-01	     3.5	3698797	 -1.683
     756	   841	342.165028	-44.539734	 2.1600	 2.16	 1.156	 3.182	 2.0600	       	  7.310887	 4.52010e-01	    0.132	 2.1600	 4.52010e-01	     0.1	3665803	 -6.708
     757	   842	342.173158	-44.539993	 3.1169	 0.30	 0.285	 0.342	 3.1000	 3.1169	 11.485101	 5.38020e+00	    0.212	 3.1169	 9.99990e-01	     5.8	1669022	 -0.166
     758	   843	342.190785	-44.539523	 3.0900	 3.09	 0.737	 4.367	 0.8100	       	  1.715404	 4.02430e-01	    0.276	 3.0900	 4.02430e-01	     0.3	6899361	 -4.390
     759	   844	342.174589	-44.539606	 1.7900	 1.79	 1.277	 2.503	 1.7300	       	139.347015	 8.65120e-01	    0.092	 1.7900	 8.65120e-01	     0.1	3760836	 -6.676
     760	   845	342.158316	-44.539518	 2.2200	 2.22	 0.955	 8.294	 8.0101	       	  3.348082	 1.40640e+00	    0.045	 2.2200	 9.99980e-01	     4.6	2574204	 -2.161
     761	   846	342.198192	-44.539685	 1.5900	 1.59	 1.071	 1.699	 1.6000	       	  1.462984	 1.75210e+00	    0.273	 1.5900	 9.99990e-01	     0.3	6905974	 -3.285
     762	   847	342.170233	-44.539766	 0.6800	 0.68	 0.323	 0.872	 0.6700	       	  2.251954	 1.07940e+00	    0.009	 0.6800	 1.00000e+00	     0.8	2429774	 -2.841
     763	   848	342.194456	-44.539958	 1.1500	 1.15	 1.035	 1.204	 1.1900	       	  1.404902	 8.87990e-01	    0.355	 1.1500	 8.87990e-01	     0.3	 273021	 -3.363
     764	   849	342.179364	-44.539566	 0.6200	 0.62	 0.400	 5.219	 0.5900	       	  1.685945	 6.79620e-01	    0.004	 0.6200	 6.79620e-01	     0.3	2256972	 -3.581
     765	   850	342.184900	-44.539932	 0.4900	 0.49	 0.353	 0.663	 0.4800	       	  1.186701	 1.12500e+00	    0.146	 0.4900	 1.00000e+00	     0.0	5063760	 -6.630
     766	   851	342.162467	-44.539744	 0.1500	 0.15	 0.055	 0.222	 0.3200	       	  1.000000	 8.99270e+00	    0.003	 0.1500	 1.00000e+00	     0.0	 344643	 -8.318
     767	   852	342.165066	-44.539422	 2.8800	 2.88	 1.645	 4.182	 2.9200	       	 11.464546	 7.48280e-01	    0.265	 2.8800	 7.48280e-01	     0.1	3790474	 -6.058
     768	   853	342.159880	-44.539324	 2.9900	 2.99	 1.069	 4.653	 3.0000	       	  4.756741	 5.65240e-01	    0.288	 2.9900	 5.65240e-01	     0.1	4204972	 -6.068
     769	   854	342.178706	-44.539708	 0.4900	 0.49	 0.183	 0.644	 0.4300	       	  1.355211	 1.41640e+00	    0.043	 0.4900	 9.99970e-01	     0.1	 426950	 -5.662
     770	   855	342.159366	-44.539390	 1.4500	 1.45	 1.072	 1.973	 1.4100	       	  2.953975	 9.16250e-01	    0.190	 1.4500	 9.16250e-01	     0.1	 107306	 -5.191
     771	   856	342.209625	-44.539395	 2.7800	 2.78	 0.567	 4.658	 2.7900	       	  1.434450	 6.50950e-01	    0.651	 2.7800	 6.50950e-01	     0.1	5371151	 -5.162
     772	   858	342.158346	-44.539351	 6.9700	 6.97	 6.819	 7.408	 6.8201	       	  4.769964	 1.75640e+00	    0.174	 6.9700	 1.00000e+00	     7.6	2739699	 -5.069
     773	   859	342.184877	-44.540632	 0.3491	 0.33	 0.233	 0.406	 0.3200	 0.3491	  1.001415	 1.62890e+00	    2.359	 0.3491	 1.00000e+00	     0.0	5140855	 -3.687
     774	   860	342.204398	-44.539904	 0.3100	 0.31	 0.296	 0.374	 0.3700	       	  1.000000	 1.76350e+01	    0.146	 0.3100	 1.00000e+00	     0.2	6908678	 -4.058
     775	   861	342.185774	-44.539473	 0.9000	 0.90	 0.808	 1.180	 1.0500	       	  1.632449	 1.37880e+00	    0.087	 0.9000	 1.00000e+00	     0.0	6957522	 -7.066
     776	   862	342.209794	-44.539796	 0.4200	 0.42	 0.399	 0.435	 0.5000	       	  1.062039	 6.44950e+00	    0.158	 0.4200	 1.00000e+00	     0.3	 538672	 -4.584
     777	   863	342.189611	-44.539331	 2.7300	 2.73	 1.521	 3.840	 3.2400	       	  1.927183	 9.06970e-01	    1.283	 2.7300	 9.06970e-01	     0.1	7177255	 -4.352
     778	   864	342.178059	-44.539317	 4.8000	 4.80	 3.849	 5.512	 0.6100	       	 10.218713	 7.53980e-01	    3.402	 4.8000	 7.53980e-01	     0.5	5259176	 -3.325
     779	   865	342.174813	-44.539446	 1.8100	 1.81	 1.786	 1.858	 1.7900	       	 49.921116	 1.61370e+00	    0.714	 1.8100	 9.99980e-01	     0.7	5378196	 -4.902
     780	   866	342.162156	-44.539326	 2.7600	 2.76	 2.391	 2.916	 2.2700	       	  5.569376	 1.06250e+00	    0.013	 2.7600	 1.00000e+00	     1.4	2629015	 -1.730
     781	   867	342.158298	-44.539281	 7.0100	 7.01	 2.475	 7.777	 6.8501	       	  4.757948	 1.99940e+00	   15.320	 7.0100	 9.99980e-01	     0.7	3880268	 -1.772
     782	   868	342.181938	-44.539386	 4.0900	 4.09	 3.355	 4.650	 0.6000	       	  9.687683	 8.44120e-01	    1.805	 4.0900	 8.44120e-01	     1.3	 314292	 -3.255
     783	   869	342.158441	-44.539426	 8.1300	 8.13	 7.522	 8.625	 7.9601	       	  4.964405	 2.33650e+00	    0.204	 8.1300	 1.00000e+00	    12.5	2965123	 -4.576
     784	   871	342.181502	-44.539352	 4.1130	 4.20	 3.811	 4.528	 4.0600	 4.1130	 11.829625	 1.75770e+00	    2.646	 4.1130	 9.99980e-01	     1.3	5261362	 -3.435
     785	   872	342.182531	-44.539446	 0.1100	 0.11	 0.079	 0.206	 0.5100	       	  1.000000	 2.90160e+00	    0.030	 0.1100	 9.99980e-01	     0.0	5250156	 -8.603
     786	   874	342.180186	-44.539249	 2.9300	 2.93	 0.573	 3.248	 3.0100	       	 14.577913	 1.31970e+00	    0.143	 2.9300	 1.00000e+00	     0.7	4607771	 -6.053
     787	   875	342.161277	-44.539287	 0.6300	 0.63	 0.432	 3.806	 3.2700	       	  1.658823	 8.51490e-01	    0.003	 0.6300	 8.51490e-01	     0.1	1775973	 -4.584
     788	   876	342.167902	-44.539283	 0.7900	 0.79	 0.439	 4.370	 3.2100	       	  2.688994	 3.64280e-01	    0.014	 0.7900	 3.64280e-01	     0.2	1416176	 -5.704
     789	   877	342.161782	-44.539051	 2.2000	 2.20	 0.953	 7.278	 6.5001	       	  4.748053	 4.58040e-01	    0.023	 2.2000	 4.58040e-01	     2.4	2631204	 -1.130
     790	   878	342.185923	-44.539098	 4.1000	 4.10	 3.529	 4.396	 3.8600	       	  2.987419	 1.07370e+00	    0.016	 4.1000	 9.99960e-01	     1.6	6817666	 -1.524
     791	   879	342.166807	-44.540200	 0.4800	 0.48	 0.435	 0.533	 0.4800	       	  1.489607	 1.49990e+00	    3.717	 0.4800	 9.99990e-01	     2.0	 245886	 -2.539
     792	   880	342.190232	-44.539874	 4.2900	 4.29	 0.619	 4.408	 4.2300	       	  1.821353	 2.20420e+00	    4.014	 4.2900	 1.00000e+00	    55.0	1310046	  0.154
     793	   881	342.207841	-44.539792	 0.4100	 0.41	 0.301	 0.424	 2.9400	       	  1.053878	 6.66290e+00	    0.079	 0.4100	 1.00000e+00	     1.4	1464768	 -2.318
     794	   882	342.169025	-44.540337	 0.3494	 0.28	 0.227	 0.335	 0.2400	 0.3494	  1.004340	 3.61440e+00	    2.894	 0.3494	 1.00000e+00	     0.0	5176152	 -3.440
     795	   883	342.214023	-44.539435	 0.4800	 0.48	 0.427	 0.564	 0.5600	       	  1.097538	 8.57210e-01	    0.181	 0.4800	 8.57210e-01	     0.7	 815570	 -2.364
