#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/871/129/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18710129
#Name: J/ApJ/871/129
#Title: A redshift catalog of the galaxy cluster A2029 (Sohn+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/871/129	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/871/129	    IVOID of underlying data collection
#INFO	creator=Sohn J.	    First author or institution
#INFO	cites=bibcode:2019ApJ...871..129S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/871/129	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18710129	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-07-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_871_129_table1:
#Name: J/ApJ/871/129/table1
#Title: The redshift galaxy catalog of A2029
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	objID	(I19)	Object identifier from SDSS (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	[227/229] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[5.1/6.5] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	rmag	(F5.2)	[13.5/22.5] Composite model r band magnitude (G1)	[ucd=phot.mag;em.opt.R]
#Column	z	(F8.5)	[0.004/6.4] Redshift	[ucd=src.redshift]
#Column	e_z	(F8.5)	[1e-05/1]? Error in z	[ucd=stat.error;src.redshift]
#Column	r_z	(A3)	Reference code(s) for z (2)	[ucd=meta.ref;pos.frame]
#Column	Mm	(A1)	[N/Y] Membership determined based on the caustics (Y)es (1054 occurrences); or (N)o	[ucd=meta.code.member]
#Column	T13	(I3)	Display data from Tyler+, 2013, J/ApJ/773/86 if any	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS DR12 or DR7 data for this object	[ucd=meta.ref.url]
#Column	SimbadName	(A24)	Simbad column added by the CDS	[ucd=meta.id]
recno	objID	RAJ2000	DEJ2000	rmag	z	e_z	r_z	Mm	T13	Sloan	SimbadName
     571	1237655744020152987	227.920408	+05.655124	19.11	 0.17082	 0.00010	2  	N	  0	Sloan	SDSS J151140.89+053918.4
     572	1237655744020152994	227.924729	+05.660916	20.05	 0.17142	 0.00011	1  	N	  0	Sloan	SDSS J151141.93+053939.2
     573	1237655744556892424	227.693854	+05.959420	19.50	 0.51315	 0.00029	1  	N	  0	Sloan	SDSS J151046.52+055733.9
     574	1237655744556892425	227.692258	+05.960358	20.14	 0.07368	 0.00016	1  	Y	  0	Sloan	SDSS J151046.14+055737.2
     575	1237655744556892430	227.705485	+05.947634	17.04	 0.07998	 0.00007	2,3	Y	  1	Sloan	SDSS J151049.31+055651.4
     576	1237655744556892436	227.709671	+05.958480	19.49	 0.08075	 0.00025	2  	Y	  1	Sloan	SDSS J151050.32+055730.5
     577	1237655744556892531	227.759514	+05.957161	17.72	 0.07572	 0.00006	2  	Y	  1	Sloan	SDSS J151102.28+055725.7
     578	1237655744556893057	227.749349	+05.951869	21.61	 0.40095	        	4  	N	  0	Sloan	SDSS J151059.84+055706.7
     579	1237655744556893088	227.760673	+05.951151	20.37	 0.54447	 0.00018	3  	N	  0	Sloan	SDSS J151102.56+055704.1
     580	1237655744556957937	227.824721	+05.950915	19.63	 0.51393	 0.00005	2  	N	  0	Sloan	SDSS J151117.93+055703.2
     581	1237655744556957938	227.827101	+05.948817	20.47	 0.51526	 0.00011	1  	N	  0	Sloan	SDSS J151118.50+055655.7
     582	1237655744556957964	227.831529	+05.937097	17.82	 0.07902	 0.00008	2  	Y	  1	Sloan	SDSS J151119.56+055613.5
     583	1237655744556958181	227.778816	+05.958979	19.38	 0.09520	 0.00002	2  	N	  0	Sloan	SDSS J151106.91+055732.3
     584	1237655744556958290	227.772785	+05.961103	20.28	 0.38757	 0.00011	1  	N	  0	Sloan	SDSS J151105.46+055739.9
     585	1237655744556958427	227.814663	+05.948625	20.28	 0.22877	 0.00015	1  	N	  0	Sloan	SDSS J151115.51+055655.0
     586	1237658780557771185	227.622196	+05.845196	18.37	 0.05177	 0.00003	2  	N	  0	Sloan	SDSS J151029.32+055042.7
     587	1237658780557771287	227.615090	+05.830059	18.27	 0.11915	 0.00007	2  	N	  0	Sloan	SDSS J151027.62+054948.2
     588	1237658780557771562	227.618709	+05.835962	20.40	 0.08541	 0.00014	1  	Y	  0	Sloan	SDSS J151028.49+055009.4
     589	1237658780557771566	227.624504	+05.844233	20.31	 0.07473	 0.00015	1  	Y	  0	Sloan	SDSS J151029.88+055039.2
     590	1237662268073902214	227.547736	+05.778601	20.49	 0.40005	 0.00012	1  	N	  0	Sloan	SDSS J151011.45+054642.9
     591	1237662268073902224	227.551836	+05.798311	18.58	 0.08031	 0.00006	1,2	Y	  1	Sloan	SDSS J151012.44+054753.9
     592	1237662268073902226	227.555346	+05.801159	19.53	 0.07458	 0.00014	2  	Y	  1	Sloan	SDSS J151013.28+054804.1
     593	1237662268073902442	227.544701	+05.768445	18.02	 0.08795	 0.00003	2  	N	  0	Sloan	SDSS J151010.72+054606.4
     594	1237662268073902443	227.545194	+05.769463	20.14	 0.08758	 0.00012	1  	N	  0	Sloan	SDSS J151010.84+054610.0
     595	1237662268073902451	227.551887	+05.771321	17.32	 0.08693	 0.00010	2,3	N	  1	Sloan	SDSS J151012.45+054616.7
     596	1237662268073902453	227.548273	+05.771871	21.03	 0.66013	        	4  	N	  0	Sloan	SDSS J151011.58+054618.7
     597	1237662268073902474	227.556629	+05.782739	18.18	 0.07602	 0.00003	2  	Y	  1	Sloan	SDSS J151013.59+054657.8
     598	1237662268073902498	227.579882	+05.844905	17.41	 0.07916	 0.00006	2  	Y	  1	Sloan	SDSS J151019.17+055041.6
     599	1237662268073902499	227.585798	+05.855017	17.57	 0.08123	 0.00009	2,3	Y	  1	Sloan	SDSS J151020.59+055118.0
     600	1237662268073902501	227.581581	+05.786523	16.64	 0.07860	 0.00010	2,3	Y	  1	Sloan	SDSS J151019.57+054711.4
     601	1237662268073902516	227.594016	+05.747454	19.64	 0.07653	 0.00012	2  	Y	  1	Sloan	SDSS J151022.56+054450.8
     602	1237662268073902520	227.606046	+05.841118	15.43	 0.07447	 0.00007	2,3	Y	  1	Sloan	SDSS J151025.45+055028.0
     603	1237662268073902539	227.607474	+05.825214	19.16	 0.31881	 0.00010	2  	N	  0	Sloan	SDSS J151025.79+054930.7
     604	1237662268073902540	227.607836	+05.825861	20.16	 0.32012	 0.00011	1  	N	  0	Sloan	SDSS J151025.88+054933.0
     605	1237662268073902592	227.599755	+05.875949	19.33	 0.08144	 0.00008	2  	Y	  1	Sloan	SDSS J151023.94+055233.4
     606	1237662268073902692	227.556550	+05.794281	19.37	 0.17180	 0.00002	2  	N	  0	Sloan	SDSS J151013.57+054739.4
     607	1237662268073902694	227.567397	+05.797338	20.81	 1.34556	 0.92312	3  	N	  0	Sloan	SDSS J151016.17+054750.4
     608	1237662268073902703	227.579177	+05.875335	19.47	 0.07292	 0.00015	2  	Y	  1	Sloan	SDSS J151019.00+055231.2
     609	1237662268073902712	227.590586	+05.843160	20.57	 0.51255	 0.00007	1  	N	  0	Sloan	SDSS J151021.74+055035.3
     610	1237662268073902716	227.589661	+05.786011	21.11	 0.31806	 0.00016	1  	N	  0	Sloan	SDSS J151021.51+054709.6
     611	1237662268073903194	227.542980	+05.785692	20.91	 0.36066	 0.00011	1  	N	  0	Sloan	SDSS J151010.31+054708.4
     612	1237662268073903202	227.542102	+05.757531	20.02	 0.27361	 0.00022	1  	N	  0	Sloan	SDSS J151010.10+054527.1
     613	1237662268073903283	227.564097	+05.781306	20.32	 0.36070	 0.00015	1  	N	  0	Sloan	SDSS J151015.38+054652.7
     614	1237662268073903300	227.566488	+05.776810	19.18	 0.36060	 0.00009	2  	N	  0	Sloan	SDSS J151015.95+054636.5
     615	1237662268073903301	227.568703	+05.802831	20.26	 0.28835	 0.00016	1  	N	  0	Sloan	SDSS J151016.48+054810.1
     616	1237662268073903333	227.573921	+05.782985	20.48	 0.51157	 0.00017	1  	N	  0	Sloan	SDSS J151017.74+054658.7
     617	1237662268073903348	227.575199	+05.749577	19.54	 0.36625	 0.00013	2  	N	  0	Sloan	SDSS J151018.04+054458.4
     618	1237662268073903349	227.574842	+05.753837	20.26	 0.51208	 0.00013	1  	N	  0	Sloan	SDSS J151017.96+054513.8
     619	1237662268073903379	227.592310	+05.902218	20.82	 0.58441	 0.00007	3  	N	  0	Sloan	SDSS J151022.15+055407.9
     620	1237662268073903384	227.592194	+05.881771	18.99	 0.05187	 0.00023	2  	N	  0	Sloan	SDSS J151022.12+055254.3
     621	1237662268073903396	227.592983	+05.848301	20.52	 0.31925	 0.00012	1  	N	  0	Sloan	SDSS J151022.31+055053.8
     622	1237662268073903407	227.594095	+05.831970	20.53	 0.29801	 0.00003	1  	N	  0	Sloan	SDSS J151022.58+054955.0
     623	1237662268073903411	227.589294	+05.763113	20.83	 0.17270	 0.00007	1  	N	  0	Sloan	SDSS J151021.43+054547.2
     624	1237662268073903416	227.588640	+05.747891	20.48	 0.36561	 0.00012	1  	N	  0	Sloan	SDSS J151021.27+054452.4
     625	1237662268073903421	227.599710	+05.843367	20.28	 0.31863	 0.00016	1  	N	  0	Sloan	SDSS J151023.93+055036.1
     626	1237662268073903434	227.600255	+05.833363	20.69	 0.07376	 0.00003	1  	Y	  0	Sloan	SDSS J151024.06+055000.1
     627	1237662268073903452	227.595449	+05.750855	20.09	 0.36595	 0.00013	1  	N	  0	Sloan	SDSS J151022.90+054503.0
     628	1237662268073903459	227.610073	+05.875226	20.04	 0.08344	 0.00012	1  	Y	  0	Sloan	SDSS J151026.41+055230.8
     629	1237662268073903466	227.611672	+05.876871	20.79	 0.07895	 0.00022	1  	Y	  0	Sloan	SDSS J151026.80+055236.7
     630	1237662268073903672	227.589065	+05.881914	20.43	 0.66086	 0.00015	3  	N	  0	Sloan	SDSS J151021.37+055254.8
     631	1237662268074033331	227.901980	+05.828036	18.39	 0.07475	 0.00008	2  	Y	  1	Sloan	SDSS J151136.47+054940.9
     632	1237662268074033336	227.895000	+05.725077	20.23	 0.35331	 0.00015	1  	N	  0	Sloan	SDSS J151134.79+054330.2
     633	1237662268074033407	227.774432	+05.903820	18.56	 0.07860	 0.00006	2  	Y	  1	Sloan	SDSS J151105.86+055413.7
     634	1237662268074033433	227.786661	+05.929369	18.70	 0.08108	 0.00007	2  	Y	  1	Sloan	SDSS J151108.79+055545.7
     635	1237662268074033553	227.832311	+05.877826	15.97	 0.07344	 0.00007	2,3	Y	  1	Sloan	SDSS J151119.75+055240.1
     636	1237662268074033581	227.838676	+05.922382	20.86	 0.38268	 0.00003	1  	N	  0	Sloan	SDSS J151121.28+055520.5
     637	1237662268074033609	227.848733	+05.882248	17.68	 0.07663	 0.00005	2,3	Y	  1	Sloan	SDSS J151123.69+055256.0
     638	1237662268074033631	227.863283	+05.912984	18.49	 0.24052	 0.00009	2  	N	  0	Sloan	SDSS J151127.18+055446.7
     639	1237662268074033632	227.865555	+05.913560	19.83	 0.24129	 0.00011	1  	N	  0	Sloan	SDSS J151127.73+055448.8
     640	1237662268074033660	227.880229	+05.860209	17.27	 0.08255	 0.00012	2  	Y	  1	Sloan	SDSS J151131.25+055136.7
     641	1237662268074033664	227.881237	+05.854176	17.50	 0.07371	 0.00002	3  	Y	  0	Sloan	SDSS J151131.49+055115.0
     642	1237662268074033675	227.889375	+05.899963	20.92	 0.75439	 0.00012	3  	N	  0	Sloan	SDSS J151133.45+055359.8
     643	1237662268074033687	227.893098	+05.884672	18.00	 0.07893	 0.00006	1,2	Y	  1	Sloan	SDSS J151134.34+055304.8
     644	1237662268074033701	227.897203	+05.867139	17.95	 0.08236	 0.00007	2  	Y	  1	Sloan	SDSS J151135.32+055201.7
     645	1237662268074033709	227.890406	+05.763153	16.27	 0.08473	 0.00010	2,3	Y	  1	Sloan	SDSS J151133.69+054547.3
     646	1237662268074033718	227.907211	+05.806792	18.48	 0.07196	 0.00006	2  	Y	  1	Sloan	SDSS J151137.73+054824.4
     647	1237662268074033719	227.908746	+05.806259	20.47	 0.22478	 0.00012	1  	N	  0	Sloan	SDSS J151138.09+054822.5
     648	1237662268074033763	227.834930	+05.915763	18.25	 0.18867	 0.00013	2  	N	  0	Sloan	SDSS J151120.38+055456.7
     649	1237662268074033792	227.889073	+05.870057	19.24	 0.17288	 0.00006	2  	N	  0	Sloan	SDSS J151133.37+055212.2
     650	1237662268074033796	227.892639	+05.792839	17.79	 0.08224	 0.00006	1,2	Y	  1	Sloan	SDSS J151134.23+054734.2
     651	1237662268074033805	227.897251	+05.749654	18.62	 0.22238	 0.00008	2  	N	  0	Sloan	SDSS J151135.34+054458.7
     652	1237662268074033858	227.839609	+05.874990	21.30	 2.52082	 0.00131	3  	N	  0	Sloan	SDSS J151121.50+055229.9
     653	1237662268074033868	227.868210	+05.928278	20.31	 0.05139	 0.00002	1  	N	  0	Sloan	SDSS J151128.37+055541.7
     654	1237662268074033870	227.865940	+05.877926	19.70	 0.09544	 0.00002	1  	N	  0	Sloan	SDSS J151127.82+055240.5
     655	1237662268074033877	227.896148	+05.771426	19.54	 0.06714	 0.00011	2  	N	  0	Sloan	SDSS J151135.07+054617.1
     656	1237662268074033941	227.774199	+05.929106	20.27	 0.45404	 0.00016	1  	N	  0	Sloan	SDSS J151105.80+055544.7
     657	1237662268074033953	227.774078	+05.914779	20.56	 0.35873	 0.00018	1  	N	  0	Sloan	SDSS J151105.77+055453.2
     658	1237662268074033969	227.777837	+05.922182	20.17	 0.07707	 0.00016	1  	Y	  0	Sloan	SDSS J151106.68+055519.8
     659	1237662268074034022	227.790205	+05.898468	20.03	 0.36075	 0.00011	1  	N	  0	Sloan	SDSS J151109.64+055354.4
     660	1237662268074034085	227.803182	+05.898805	19.21	 0.35906	 0.00012	1  	N	  0	Sloan	SDSS J151112.76+055355.6
     661	1237662268074034236	227.837361	+05.908500	20.31	 0.10746	 0.00003	1  	N	  0	Sloan	SDSS J151120.96+055430.6
     662	1237662268074034320	227.851457	+05.887687	20.93	 0.09954	 0.00003	1  	N	  0	Sloan	SDSS J151124.34+055315.6
     663	1237662268074034349	227.859168	+05.907077	19.56	 0.07454	 0.00015	1  	Y	  0	Sloan	SDSS J151126.20+055425.4
     664	1237662268074034368	227.861424	+05.861169	20.56	 0.38812	 0.00011	1  	N	  0	Sloan	SDSS J151126.74+055140.2
     665	1237662268074034382	227.867098	+05.908454	20.57	 0.22887	 0.00017	1  	N	  0	Sloan	SDSS J151128.10+055430.4
     666	1237662268074034403	227.868839	+05.868220	19.90	 0.18931	 0.00002	1  	N	  0	Sloan	SDSS J151128.52+055205.5
     667	1237662268074034405	227.867780	+05.868421	20.94	 0.07376	 0.00020	1  	Y	  0	Sloan	SDSS J151128.26+055206.3
     668	1237662268074034418	227.872728	+05.859791	19.92	 0.08269	 0.00024	1  	Y	  0	Sloan	SDSS J151129.45+055135.2
     669	1237662268074034428	227.875252	+05.854313	19.28	 0.18920	 0.00008	2  	N	  0	Sloan	SDSS J151130.06+055115.5
     670	1237662268074034435	227.874740	+05.863716	19.78	 0.21960	 0.00002	2  	N	  0	Sloan	SDSS J151129.93+055149.3
     671	1237662268074034464	227.880864	+05.850829	20.16	 0.08302	 0.00017	1  	Y	  0	Sloan	SDSS J151131.40+055102.9
     672	1237662268074034471	227.884639	+05.876510	19.26	 0.07597	 0.00010	2  	Y	  0	Sloan	SDSS J151132.31+055235.4
     673	1237662268074034485	227.885075	+05.842172	19.64	 0.05337	 0.00004	2  	N	  0	Sloan	SDSS J151132.41+055031.8
     674	1237662268074034492	227.886011	+05.851173	20.52	 0.38947	 0.00007	1  	N	  0	Sloan	SDSS J151132.64+055104.2
     675	1237662268074034523	227.894201	+05.860745	18.43	 0.22218	 0.00012	2  	N	  0	Sloan	SDSS J151134.60+055138.6
     676	1237662268074034542	227.890355	+05.788889	21.30	 0.56648	        	4  	N	  0	Sloan	SDSS J151133.68+054720.0
     677	1237662268074034548	227.885512	+05.720113	20.09	 0.35724	 0.00016	1  	N	  0	Sloan	SDSS J151132.52+054312.4
     678	1237662268074034555	227.898193	+05.848875	19.77	 0.26894	 0.00008	2  	N	  0	Sloan	SDSS J151135.56+055055.9
     679	1237662268074034580	227.894073	+05.743842	20.58	 0.31874	 0.00007	1  	N	  0	Sloan	SDSS J151134.57+054437.8
     680	1237662268074034591	227.901502	+05.794936	20.68	 0.38400	 0.00017	1  	N	  0	Sloan	SDSS J151136.36+054741.7
     681	1237662268074034616	227.905460	+05.781080	20.24	 0.45279	 0.00011	1  	N	  0	Sloan	SDSS J151137.31+054651.8
     682	1237662268074034617	227.905190	+05.778700	21.03	 0.45285	 0.00011	1  	N	  0	Sloan	SDSS J151137.24+054643.3
     683	1237662268074034618	227.906963	+05.795347	19.49	 0.28126	 0.00008	2  	N	  0	Sloan	SDSS J151137.67+054743.2
     684	1237662268074098783	227.911976	+05.769834	17.63	 0.03510	 0.00001	3  	N	  0	Sloan	SDSS J151138.87+054611.4
     685	1237662268074098846	227.945209	+05.780687	18.20	 0.05348	 0.00005	2  	N	  0	Sloan	SDSS J151146.85+054650.4
     686	1237662268074098851	227.949341	+05.756063	17.90	 0.07755	 0.00008	2  	Y	  1	Sloan	SDSS J151147.84+054521.8
     687	1237662268074099030	227.902039	+05.726723	18.18	 0.32394	 0.00010	2  	N	  0	Sloan	SDSS J151136.48+054336.2
     688	1237662268074099032	227.909082	+05.725112	18.47	 0.26583	 0.00008	2  	N	  0	Sloan	SDSS J151138.17+054330.4
     689	1237662268074099038	227.919490	+05.755045	18.39	 0.27393	 0.00006	1,2	N	  0	Sloan	SDSS J151140.67+054518.1
     690	1237662268074099039	227.921068	+05.753192	20.31	 0.27481	 0.00020	1  	N	  0	Sloan	SDSS J151141.05+054511.4
     691	1237662268074099103	227.920647	+05.806357	20.23	 0.48267	 0.00010	1  	N	  0	Sloan	SDSS J151140.95+054822.8
     692	1237662268074099108	227.924461	+05.828605	20.33	 0.08034	 0.00006	1  	Y	  0	Sloan	SDSS J151141.87+054942.9
     693	1237662268074099121	227.936237	+05.764588	19.77	 0.39006	 0.00007	2  	N	  0	Sloan	SDSS J151144.69+054552.5
     694	1237662268074099123	227.933764	+05.734636	21.25	 6.33517	 0.00237	3  	N	  0	Sloan	SDSS J151144.10+054404.6
     695	1237662268074099255	227.913290	+05.757572	18.60	 0.08335	 0.00009	2  	Y	  1	Sloan	SDSS J151139.18+054527.2
     696	1237662268074099283	227.922064	+05.743268	20.75	 0.27843	 0.00017	1  	N	  0	Sloan	SDSS J151141.29+054435.7
     697	1237662268074099295	227.928948	+05.788199	20.55	 0.26607	 0.00016	1  	N	  0	Sloan	SDSS J151142.94+054717.5
     698	1237662268074099312	227.930555	+05.758093	20.10	 0.27412	 0.00032	1  	N	  0	Sloan	SDSS J151143.33+054529.1
     699	1237662268074099346	227.935432	+05.732961	19.09	 0.08170	 0.00016	2  	Y	  1	Sloan	SDSS J151144.50+054358.6
     700	1237662268074099377	227.944132	+05.734006	20.48	 0.27341	 0.00011	1  	N	  0	Sloan	SDSS J151146.59+054402.4
     701	1237662268074099396	227.952733	+05.761229	18.76	 0.22762	 0.00012	2  	N	  0	Sloan	SDSS J151148.65+054540.4
     702	1237662268074099870	227.914697	+05.747685	21.83	 0.51984	        	4  	N	  0	Sloan	SDSS J151139.52+054451.6
     703	1237655744019955763	227.496408	+05.658433	17.30	 0.17146	 0.00011	2,3	N	  0	Sloan	SDSS J150959.13+053930.3
     704	1237655744019955776	227.523587	+05.589576	20.06	 0.54707	 0.00014	1  	N	  0	Sloan	SDSS J151005.66+053522.4
     705	1237655744019955787	227.543165	+05.571147	15.79	 0.07638	 0.00007	2,3	Y	  1	Sloan	SDSS J151010.35+053416.1
     706	1237655744019955788	227.540399	+05.575625	16.98	 0.07674	 0.00007	2  	Y	  1	Sloan	SDSS J151009.69+053432.2
     707	1237655744019955789	227.539187	+05.572411	16.31	 0.07647	 0.00005	2,3	Y	  1	Sloan	SDSS J151009.40+053420.6
     708	1237655744019955790	227.540394	+05.573070	17.68	 0.07573	 0.00010	1  	Y	  0	Sloan	SDSS J151009.69+053423.0
     709	1237655744019955803	227.538857	+05.603027	16.96	 0.10860	 0.00004	2  	N	  0	Sloan	SDSS J151009.32+053610.8
     710	1237655744019955815	227.553523	+05.660923	20.49	 0.17173	 0.00005	1  	N	  0	Sloan	SDSS J151012.84+053939.3
     711	1237655744019955816	227.556717	+05.668535	19.93	 0.08436	 0.00004	1  	Y	  0	Sloan	SDSS J151013.61+054006.7
     712	1237655744019955832	227.559414	+05.553324	19.71	 0.20199	 0.00009	1  	N	  0	Sloan	SDSS J151014.25+053311.9
     713	1237655744019955834	227.558876	+05.553447	18.56	 0.20225	 0.00012	2  	N	  0	Sloan	SDSS J151014.13+053312.4
     714	1237655744019955887	227.465854	+05.691443	19.04	 1.87705	 0.00050	3  	N	  0	Sloan	SDSS J150951.80+054129.1
     715	1237655744019955888	227.463557	+05.692359	19.97	 0.36055	 0.00017	1  	N	  0	Sloan	SDSS J150951.25+054132.4
     716	1237655744019955901	227.468860	+05.679732	16.80	 0.08080	 0.00008	2,3	Y	  1	Sloan	SDSS J150952.52+054047.0
     717	1237655744019955902	227.471820	+05.680005	21.17	 0.36170	 0.00030	1  	N	  0	Sloan	SDSS J150953.23+054048.0
     718	1237655744019955930	227.491958	+05.723235	16.64	 0.09584	 0.00007	2,3	N	  0	Sloan	SDSS J150958.06+054323.6
     719	1237655744019955951	227.499771	+05.678734	16.47	 0.07319	 0.00007	2,3	Y	  1	Sloan	SDSS J150959.94+054043.4
     720	1237655744019955954	227.501576	+05.676312	19.72	 0.17261	 0.00013	2  	N	  0	Sloan	SDSS J151000.37+054034.7
     721	1237655744019955985	227.528480	+05.728524	20.32	 0.07577	 0.00003	1  	Y	  0	Sloan	SDSS J151006.83+054342.6
     722	1237655744019955989	227.521563	+05.634810	17.76	 0.21836	 0.00011	2,3	N	  0	Sloan	SDSS J151005.17+053805.3
     723	1237655744019955996	227.531852	+05.663041	18.03	 0.08418	 0.00002	2  	Y	  1	Sloan	SDSS J151007.64+053946.9
     724	1237655744019956003	227.538789	+05.626388	20.80	 0.18642	 0.00004	1  	N	  0	Sloan	SDSS J151009.30+053734.9
     725	1237655744019956012	227.547527	+05.615580	17.67	 0.22209	 0.00008	2,3	N	  0	Sloan	SDSS J151011.40+053656.0
     726	1237655744019956032	227.554164	+05.603926	15.73	 0.07915	 0.00007	2,3	Y	  1	Sloan	SDSS J151012.99+053614.1
     727	1237655744019956036	227.554267	+05.595652	17.91	 0.08358	 0.00006	2  	Y	  1	Sloan	SDSS J151013.02+053544.3
     728	1237655744019956042	227.563557	+05.634793	17.34	 0.08298	 0.00009	2,3	Y	  1	Sloan	SDSS J151015.25+053805.2
     729	1237655744019956064	227.572439	+05.558620	16.41	 0.07979	 0.00008	2,3	Y	  1	Sloan	SDSS J151017.38+053331.0
     730	1237655744019956119	227.500652	+05.688085	18.78	 0.07387	 0.00007	2  	Y	  1	Sloan	SDSS J151000.15+054117.1
     731	1237655744019956128	227.527998	+05.712842	20.56	 0.36029	 0.00007	1  	N	  0	Sloan	SDSS J151006.71+054246.2
     732	1237655744019956131	227.528028	+05.717807	18.94	 0.20265	 0.00009	2  	N	  0	Sloan	SDSS J151006.72+054304.1
     733	1237655744019956132	227.526967	+05.715155	19.91	 0.07608	 0.00012	1  	Y	  0	Sloan	SDSS J151006.47+054254.5
     734	1237655744019956133	227.536356	+05.676000	17.95	 0.08503	 0.00009	2  	Y	  1	Sloan	SDSS J151008.72+054033.6
     735	1237655744019956164	227.460565	+05.698490	19.41	 0.08301	 0.00002	2  	Y	  1	Sloan	SDSS J150950.53+054154.5
     736	1237655744019956173	227.534247	+05.719839	19.85	 0.36086	 0.00007	2  	N	  0	Sloan	SDSS J151008.21+054311.4
     737	1237655744019956180	227.547533	+05.605070	18.48	 0.32218	 0.00014	2  	N	  0	Sloan	SDSS J151011.40+053618.2
     738	1237655744019956188	227.559695	+05.618121	18.90	 0.18771	 0.00005	2  	N	  0	Sloan	SDSS J151014.32+053705.2
     739	1237655744019956241	227.455379	+05.746463	20.65	 0.32082	 0.00012	1  	N	  0	Sloan	SDSS J150949.29+054447.2
     740	1237655744019956252	227.457145	+05.743059	19.95	 0.36014	 0.00020	1  	N	  0	Sloan	SDSS J150949.71+054435.0
     741	1237655744019956285	227.467066	+05.741605	20.70	 0.54612	 0.00013	1  	N	  0	Sloan	SDSS J150952.09+054429.7
     742	1237655744019956327	227.485849	+05.750599	19.46	 0.29712	 0.00006	2  	N	  0	Sloan	SDSS J150956.60+054502.1
     743	1237655744019956334	227.477885	+05.648080	20.61	 0.32325	 0.00018	1  	N	  0	Sloan	SDSS J150954.69+053853.0
     744	1237655744019956347	227.488417	+05.718600	20.60	 0.09531	 0.00006	1  	N	  0	Sloan	SDSS J150957.22+054306.9
     745	1237655744019956355	227.487200	+05.666843	20.57	 0.35971	 0.00012	1  	N	  0	Sloan	SDSS J150956.92+054000.6
     746	1237655744019956356	227.485827	+05.666256	20.51	 0.44707	 0.00013	1  	N	  0	Sloan	SDSS J150956.59+053958.5
     747	1237655744019956363	227.491279	+05.658515	20.55	 0.17039	 0.00021	1  	N	  0	Sloan	SDSS J150957.90+053930.6
     748	1237655744019956364	227.498587	+05.739050	19.82	 0.39126	 0.00009	2  	N	  0	Sloan	SDSS J150959.66+054420.5
     749	1237655744019956383	227.500257	+05.659758	21.04	 0.36570	 0.00012	1  	N	  0	Sloan	SDSS J151000.06+053935.1
     750	1237655744019956407	227.506926	+05.609954	20.27	 0.32277	 0.00022	1  	N	  0	Sloan	SDSS J151001.66+053635.8
     751	1237655744019956418	227.517499	+05.664346	20.96	 0.66231	 0.00009	1  	N	  0	Sloan	SDSS J151004.19+053951.6
     752	1237655744019956429	227.517921	+05.625546	20.01	 0.32276	 0.00009	1  	N	  0	Sloan	SDSS J151004.30+053731.9
     753	1237655744019956448	227.532731	+05.731281	19.14	 0.11691	 0.00009	2  	N	  0	Sloan	SDSS J151007.85+054352.6
     754	1237655744019956455	227.530262	+05.667447	20.25	 0.36576	 0.00009	1  	N	  0	Sloan	SDSS J151007.26+054002.8
     755	1237655744019956456	227.531459	+05.669496	20.79	 0.08447	 0.00017	1  	Y	  0	Sloan	SDSS J151007.55+054010.1
     756	1237655744019956469	227.524374	+05.574242	19.77	 0.07709	 0.00017	1  	Y	  0	Sloan	SDSS J151005.84+053427.2
     757	1237655744019956474	227.532287	+05.643878	19.03	 0.07397	 0.00011	2  	Y	  0	Sloan	SDSS J151007.74+053837.9
     758	1237655744019956481	227.532103	+05.634237	20.79	 0.35902	 0.00008	1  	N	  0	Sloan	SDSS J151007.70+053803.2
