#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:25:46 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:25:46	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/224/33/table2&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22240033
#Name: J/ApJS/224/33
#Title: CLASH-VLT: the FF cluster MACS J0416.1-2403 (Balestra+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apjs/224/33	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/224/33	    IVOID of underlying data collection
#INFO	creator=Balestra I.	    First author or institution
#INFO	cites=bibcode:2016ApJS..224...33B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/224/33	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22240033	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-09-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_224_33_table2:
#Name: J/ApJS/224/33/table2
#Title: CLASH-VLT spectroscopic redshift catalog of MACS J0416.1-2403
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A16)	CLASHVLT identifier (JHHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	[63.8/64.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[-24.3/-23.8] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0/4.2] Spectroscopic redshift	[ucd=src.redshift]
#Column	q_z	(I1)	[2/9] Quality flag on z (1)	[ucd=meta.code.qual;src.redshift]
#Column	r_z	(I1)	[1/5] Reference code for z (2)	[ucd=meta.ref;pos.frame]
#Column	Rmag	(F5.2)	[15.2/25.7]? Subaru/Suprime Cam Kron R-band AB magnitude	[ucd=phot.mag;em.opt.R]
#Column	f_ID	(A3)	Flag(s) on ID (3)	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	ID	RAJ2000	DEJ2000	z	q_z	r_z	Rmag	f_ID	Simbad
     805	J041525.7-241144	063.857184	-24.195628	 0.3843	3	1	22.20	   	Simbad
     806	J041703.1-241148	064.262715	-24.196913	 0.4194	9	1	24.38	   	Simbad
     807	J041658.2-241138	064.242626	-24.193919	 0.5656	3	1	21.43	R  	Simbad
     808	J041553.5-241141	063.973033	-24.194791	 0.7986	3	1	22.55	   	Simbad
     809	J041548.8-241134	063.953316	-24.193043	 0.5704	3	1	22.12	   	Simbad
     810	J041545.9-241143	063.941160	-24.195404	 0.3028	3	1	22.64	   	Simbad
     811	J041514.6-241143	063.810656	-24.195446	 0.6886	3	1	23.32	   	Simbad
     812	J041642.7-241141	064.177749	-24.194868	 0.6156	3	1	22.35	   	Simbad
     813	J041630.1-241143	064.125397	-24.195377	 0.6864	3	2	23.02	   	Simbad
     814	J041606.9-241126	064.028913	-24.190649	 0.4499	3	3	21.00	   	Simbad
     815	J041607.6-241136	064.031641	-24.193591	 0.5660	3	1	21.66	   	Simbad
     816	J041522.2-241132	063.842621	-24.192383	 0.2225	3	1	21.61	   	Simbad
     817	J041538.1-241139	063.908819	-24.194396	 0.2968	3	1	21.45	   	Simbad
     818	J041514.5-241141	063.810313	-24.194909	 0.2164	3	1	21.94	   	Simbad
     819	J041602.1-241136	064.008640	-24.193452	 0.7106	3	1	21.86	R  	Simbad
     820	J041628.4-241143	064.118204	-24.195372	 0.4660	3	1	23.18	   	Simbad
     821	J041606.9-241141	064.028913	-24.194816	 0.5687	3	1	22.25	   	Simbad
     822	J041620.3-241141	064.084707	-24.194799	 0.3910	3	1	22.39	   	Simbad
     823	J041556.8-241134	063.986644	-24.193024	 0.3445	3	1	21.08	   	Simbad
     824	J041519.5-241139	063.831268	-24.194185	 0.3826	3	1	21.75	   	Simbad
     825	J041520.4-241143	063.834973	-24.195480	 0.3836	3	2	23.37	   	Simbad
     826	J041625.1-241137	064.104405	-24.193754	 0.5375	3	1	22.23	   	Simbad
     827	J041632.2-241140	064.134190	-24.194667	 0.3413	3	1	23.15	   	Simbad
     828	J041616.0-241140	064.066670	-24.194666	 0.7579	3	1	23.06	   	Simbad
     829	J041637.0-241136	064.154331	-24.193555	 0.4217	3	3	22.11	   	Simbad
     830	J041518.3-241141	063.826115	-24.194908	 0.4298	3	3	23.58	   	Simbad
     831	J041554.0-241139	063.975179	-24.194361	 0.2750	2	2	23.13	   	Simbad
     832	J041518.3-241139	063.826096	-24.194350	 0.4662	3	3	23.46	   	Simbad
     833	J041523.7-241128	063.848805	-24.191137	 0.3832	3	1	20.52	   	Simbad
     834	J041612.9-241138	064.053942	-24.193949	 0.5497	2	1	23.75	   	Simbad
     835	J041558.0-241136	063.991684	-24.193345	 0.0000	3	1	21.52	   	Simbad
     836	J041605.8-241134	064.024142	-24.192811	 0.4963	2	1	22.63	   	Simbad
     837	J041624.3-241130	064.101306	-24.191772	 0.0624	3	1	20.62	   	Simbad
     838	J041514.8-241131	063.811591	-24.191970	 0.2686	3	1	22.45	   	Simbad
     839	J041647.8-241128	064.199326	-24.191240	 0.3437	3	2	20.99	   	Simbad
     840	J041522.0-241135	063.841575	-24.193332	 0.3156	9	2	23.27	   	Simbad
     841	J041633.4-241130	064.139281	-24.191747	 0.0000	3	1	21.24	   	Simbad
     842	J041613.7-241138	064.056899	-24.194016	 0.3855	3	1	24.01	   	Simbad
     843	J041541.2-241134	063.921665	-24.192837	 2.3428	2	1	23.41	   	Simbad
     844	J041629.8-241131	064.124118	-24.192220	 0.4627	3	1	21.85	   	Simbad
     845	J041629.4-241134	064.122609	-24.192879	 0.3889	2	1	23.26	   	Simbad
     846	J041559.6-241137	063.998169	-24.193701	 0.5950	3	1	24.02	   	Simbad
     847	J041638.8-241131	064.161526	-24.192119	 0.4515	3	1	22.46	   	Simbad
     848	J041550.2-241130	063.959325	-24.191762	 0.5666	3	1	22.17	   	Simbad
     849	J041612.4-241125	064.051863	-24.190537	 0.2761	2	1	22.78	   	Simbad
     850	J041632.2-241125	064.134189	-24.190511	 0.5530	3	1	22.06	   	Simbad
     851	J041628.1-241125	064.117194	-24.190283	 0.7113	9	1	22.27	   	Simbad
     852	J041657.9-241129	064.241140	-24.191483	 0.5660	9	1	22.43	   	Simbad
     853	J041536.2-241127	063.900971	-24.190919	 0.5680	9	1	23.13	   	Simbad
     854	J041642.7-241129	064.177928	-24.191617	 0.5435	3	1	22.30	   	Simbad
     855	J041654.8-241128	064.228446	-24.191213	 0.1510	2	1	23.18	   	Simbad
     856	J041602.7-241125	064.011083	-24.190442	 0.7129	3	1	22.82	   	Simbad
     857	J041634.1-241122	064.141996	-24.189717	 0.6231	3	1	21.28	   	Simbad
     858	J041524.2-241115	063.850684	-24.187730	 0.4173	3	1	20.50	   	Simbad
     859	J041547.7-241121	063.948598	-24.189198	 0.3037	3	1	20.48	1  	Simbad
     860	J041539.2-241125	063.913410	-24.190359	 0.5792	3	2	21.94	   	Simbad
     861	J041544.6-241128	063.935762	-24.191207	 0.5051	3	1	23.68	   	Simbad
     862	J041611.6-241122	064.048466	-24.189620	 0.6385	3	1	22.41	   	Simbad
     863	J041523.6-241128	063.848152	-24.191335	 0.5629	3	1	23.37	   	Simbad
     864	J041516.7-241124	063.819788	-24.190097	 0.6884	3	1	23.26	   	Simbad
     865	J041617.9-241128	064.074626	-24.191135	 2.4704	2	1	23.98	   	Simbad
     866	J041536.4-241125	063.901633	-24.190318	 0.2975	3	1	23.29	   	Simbad
     867	J041515.2-241120	063.813249	-24.189058	 0.3034	3	2	22.50	   	Simbad
     868	J041517.2-241123	063.821582	-24.189838	 0.3024	3	1	22.50	   	Simbad
     869	J041655.6-241125	064.231522	-24.190509	 0.3991	2	1	23.68	   	Simbad
     870	J041549.3-241121	063.955421	-24.189377	 0.3959	3	1	21.91	   	Simbad
     871	J041617.8-241115	064.074023	-24.187771	 0.3917	3	1	20.68	   	Simbad
     872	J041612.9-241124	064.053638	-24.190106	 0.5674	2	1	23.00	   	Simbad
     873	J041644.5-241116	064.185524	-24.188018	 0.2972	3	1	22.46	   	Simbad
     874	J041601.3-241127	064.005385	-24.190855	 0.4512	2	1	23.98	   	Simbad
     875	J041521.3-241115	063.838912	-24.187634	 0.3012	3	1	21.61	   	Simbad
     876	J041534.9-241121	063.895578	-24.189347	 0.5668	3	1	22.95	   	Simbad
     877	J041523.3-241112	063.847056	-24.186850	 0.4201	3	1	21.73	   	Simbad
     878	J041538.6-241118	063.910683	-24.188564	 0.4073	3	1	22.67	   	Simbad
     879	J041538.3-241119	063.909753	-24.188735	 0.5679	9	3	22.80	   	Simbad
     880	J041524.5-241121	063.851984	-24.189172	 0.5649	2	1	23.41	   	Simbad
     881	J041604.8-241028	064.020156	-24.174455	 0.2992	3	1	18.24	R  	Simbad
     882	J041621.9-241121	064.091365	-24.189390	 0.4653	3	1	24.31	   	Simbad
     883	J041547.2-241117	063.946760	-24.188084	 0.5646	3	1	22.40	   	Simbad
     884	J041512.8-241112	063.803373	-24.186895	 0.4004	3	1	21.43	   	Simbad
     885	J041520.4-241105	063.835034	-24.184944	 0.5690	3	1	20.32	   	Simbad
     886	J041639.0-241114	064.162393	-24.187495	 0.5538	3	1	21.94	   	Simbad
     887	J041703.9-241117	064.266335	-24.188201	 0.3044	2	1	22.90	   	Simbad
     888	J041643.8-241109	064.182538	-24.185985	 0.3982	3	1	21.49	   	Simbad
     889	J041649.8-241111	064.207546	-24.186538	 0.4674	3	1	22.07	   	Simbad
     890	J041640.6-241100	064.169128	-24.183470	 0.1835	3	1	20.29	   	Simbad
     891	J041635.0-241104	064.145985	-24.184571	 0.5524	3	1	21.45	   	Simbad
     892	J041637.9-241057	064.157974	-24.182684	 0.0927	3	1	21.14	   	Simbad
     893	J041536.2-241112	063.900839	-24.186835	 0.5045	3	1	22.11	   	Simbad
     894	J041644.6-241102	064.185746	-24.184122	 0.6090	3	2	21.17	   	Simbad
     895	J041603.5-241111	064.014782	-24.186463	 0.2982	3	1	21.98	   	Simbad
     896	J041659.1-241110	064.246327	-24.186375	 0.6196	3	1	21.50	   	Simbad
     897	J041631.3-241112	064.130242	-24.186853	 0.3063	3	1	22.52	   	Simbad
     898	J041642.9-241110	064.178644	-24.186318	 0.5137	3	1	22.92	   	Simbad
     899	J041528.1-241057	063.866918	-24.182753	 0.3040	3	2	20.12	R  	Simbad
     900	J041535.9-241111	063.899382	-24.186570	 0.5040	3	1	22.95	   	Simbad
     901	J041540.9-241107	063.920511	-24.185353	 0.5044	3	1	22.02	   	Simbad
     902	J041702.1-241107	064.258573	-24.185370	 0.6076	9	1	22.98	   	Simbad
     903	J041517.1-241107	063.821258	-24.185477	 0.4878	2	3	22.17	   	Simbad
     904	J041553.5-241107	063.972724	-24.185367	 0.2681	3	1	21.53	   	Simbad
     905	J041703.0-241104	064.262488	-24.184583	 0.2668	3	1	21.35	   	Simbad
     906	J041531.1-241101	063.879534	-24.183649	 0.3052	3	3	21.16	   	Simbad
     907	J041613.8-241107	064.057341	-24.185475	 0.2338	3	1	22.27	   	Simbad
     908	J041555.8-241107	063.982615	-24.185377	 0.3453	3	1	22.29	   	Simbad
     909	J041520.5-241048	063.835513	-24.180267	 0.3841	3	3	20.18	   	Simbad
     910	J041602.8-241109	064.011679	-24.185848	 0.0000	2	3	23.34	   	Simbad
     911	J041539.4-241107	063.914286	-24.185298	 0.6638	3	1	22.06	R  	Simbad
     912	J041530.2-241108	063.875825	-24.185610	 0.5031	3	1	23.06	   	Simbad
     913	J041703.3-241030	064.263759	-24.175263	 0.0626	3	1	17.98	   	Simbad
     914	J041537.6-241101	063.906543	-24.183872	 0.4354	3	1	22.27	   	Simbad
     915	J041535.7-241106	063.898854	-24.185108	 0.5051	3	2	22.26	   	Simbad
     916	J041512.7-241059	063.802859	-24.183278	 2.9782	9	1	23.24	   	Simbad
     917	J041604.9-241057	064.020215	-24.182606	 0.2394	3	1	20.67	   	Simbad
     918	J041650.9-241105	064.212265	-24.184783	 0.4660	3	1	22.69	   	Simbad
     919	J041607.8-241107	064.032404	-24.185442	 0.3921	9	1	23.81	   	Simbad
     920	J041629.9-241105	064.124494	-24.184869	 0.5864	3	1	22.26	   	Simbad
     921	J041619.8-241103	064.082360	-24.184326	 0.4868	3	1	22.84	   	Simbad
     922	J041622.1-241058	064.092046	-24.182937	 0.3446	3	1	20.72	   	Simbad
     923	J041611.3-241104	064.047074	-24.184672	 0.3901	3	3	23.10	   	Simbad
     924	J041522.8-241101	063.845151	-24.183688	 0.5705	3	1	21.97	   	Simbad
     925	J041630.4-241043	064.126608	-24.178817	 0.6660	3	3	21.82	   	Simbad
     926	J041700.0-241047	064.250160	-24.179876	 0.4007	3	1	19.76	   	Simbad
     927	J041531.0-241043	063.879042	-24.178882	 0.1674	3	1	20.02	   	Simbad
     928	J041638.0-241102	064.158141	-24.183941	 0.4614	9	1	22.85	   	Simbad
     929	J041556.4-241103	063.985084	-24.184331	 0.4649	3	2	22.89	   	Simbad
     930	J041612.2-241050	064.050900	-24.180695	 0.2828	3	1	20.63	   	Simbad
     931	J041613.8-241057	064.057362	-24.182633	 0.5493	3	1	21.20	   	Simbad
     932	J041629.6-241059	064.123258	-24.183098	 0.5625	3	1	22.57	   	Simbad
     933	J041600.9-241059	064.003767	-24.183169	 0.0000	3	1	22.33	   	Simbad
     934	J041618.2-241059	064.075877	-24.183326	 0.4209	3	1	23.42	   	Simbad
     935	J041550.7-241100	063.961236	-24.183446	 0.3938	2	1	22.81	   	Simbad
     936	J041606.1-241100	064.025594	-24.183398	 0.2974	3	1	22.83	   	Simbad
     937	J041620.5-241054	064.085430	-24.181928	 0.2834	3	1	22.23	   	Simbad
     938	J041643.0-241100	064.179300	-24.183382	 0.5120	3	2	24.28	   	Simbad
     939	J041530.3-241055	063.876139	-24.181964	 0.6330	3	1	22.43	   	Simbad
     940	J041556.2-241057	063.984296	-24.182623	 0.5932	3	2	22.41	   	Simbad
     941	J041620.7-241053	064.086320	-24.181519	 0.5277	3	1	21.38	   	Simbad
     942	J041630.1-241037	064.125466	-24.176950	 0.5393	3	1	20.82	   	Simbad
     943	J041615.5-241059	064.064715	-24.183274	 0.5382	3	1	23.76	   	Simbad
     944	J041619.6-241055	064.081755	-24.182201	 0.5389	3	3	22.08	   	Simbad
     945	J041520.5-241053	063.835355	-24.181646	 0.3826	3	2	21.72	   	Simbad
     946	J041540.8-241054	063.919805	-24.181679	 0.6901	3	1	21.98	   	Simbad
     947	J041554.9-241054	063.978671	-24.181690	 0.6855	3	1	22.78	   	Simbad
     948	J041629.8-241036	064.123959	-24.176881	 0.5271	3	1	21.30	   	Simbad
     949	J041603.1-241054	064.012884	-24.181750	 0.3309	2	1	23.49	   	Simbad
     950	J041613.3-241004	064.055319	-24.167900	 0.4322	3	1	19.14	R  	Simbad
     951	J041607.8-241055	064.032606	-24.181998	 0.5364	3	1	22.86	   	Simbad
     952	J041515.5-241044	063.814775	-24.179044	 0.1816	3	1	20.31	   	Simbad
     953	J041516.8-241048	063.820012	-24.180249	 0.3848	3	2	21.27	   	Simbad
     954	J041549.3-241049	063.955434	-24.180394	 0.4325	3	1	22.26	   	Simbad
     955	J041536.7-241049	063.903105	-24.180535	 0.2979	3	1	23.21	   	Simbad
     956	J041632.5-241048	064.135382	-24.180002	 0.5639	3	3	23.06	   	Simbad
     957	J041555.5-241050	063.981426	-24.180660	 0.6896	3	2	23.51	   	Simbad
     958	J041636.5-241053	064.151987	-24.181453	 0.4670	3	2	23.36	   	Simbad
     959	J041702.8-241042	064.261519	-24.178586	 0.2671	2	1	22.53	   	Simbad
     960	J041618.6-241052	064.077298	-24.181307	 0.3918	3	1	23.20	   	Simbad
     961	J041556.1-241048	063.983886	-24.180243	 0.5924	3	1	21.95	   	Simbad
     962	J041528.8-241039	063.869996	-24.177533	 0.2987	3	2	20.39	   	Simbad
     963	J041640.8-241044	064.170006	-24.178954	 0.3331	3	1	21.49	   	Simbad
     964	J041521.8-241030	063.840688	-24.175195	 0.3983	3	1	19.81	   	Simbad
     965	J041638.8-241049	064.161600	-24.180443	 0.6971	2	1	23.43	   	Simbad
     966	J041612.8-241042	064.053214	-24.178354	 0.2836	3	1	21.41	   	Simbad
     967	J041555.2-241047	063.979980	-24.179990	 0.6904	2	1	22.22	   	Simbad
     968	J041614.7-241044	064.061089	-24.179075	 0.5579	3	1	23.02	   	Simbad
     969	J041516.9-241030	063.820259	-24.175273	 0.3023	3	1	19.76	   	Simbad
     970	J041648.7-241050	064.202763	-24.180595	 0.5691	3	1	23.94	   	Simbad
     971	J041619.9-241042	064.082806	-24.178477	 0.4373	3	1	21.90	   	Simbad
     972	J041520.4-241044	063.834809	-24.178923	 0.3013	3	1	22.09	   	Simbad
     973	J041518.4-241045	063.826695	-24.179218	 0.2091	2	1	23.10	   	Simbad
     974	J041544.2-241049	063.934355	-24.180459	 0.5355	2	1	23.91	   	Simbad
     975	J041652.2-241045	064.217599	-24.179291	 0.7802	2	1	23.29	   	Simbad
     976	J041643.2-241047	064.179847	-24.179799	 0.3962	2	1	22.24	   	Simbad
     977	J041551.2-241037	063.963196	-24.177206	 0.2711	3	1	20.71	   	Simbad
     978	J041702.3-241031	064.259709	-24.175360	 0.3953	3	1	20.17	   	Simbad
     979	J041621.1-241040	064.088023	-24.177918	 0.3922	3	1	21.51	   	Simbad
     980	J041630.6-241037	064.127305	-24.176984	 0.5370	3	1	20.81	R  	Simbad
     981	J041642.3-241043	064.176319	-24.178767	 0.3982	3	1	22.82	   	Simbad
     982	J041624.1-241026	064.100514	-24.174131	 0.0000	3	1	18.24	   	Simbad
     983	J041534.1-241037	063.891961	-24.177044	 0.5023	3	1	22.02	   	Simbad
     984	J041548.8-241020	063.953218	-24.172280	 0.3566	3	1	19.05	   	Simbad
     985	J041527.3-241042	063.863579	-24.178543	 0.4217	2	1	22.52	   	Simbad
     986	J041705.4-241006	064.272324	-24.168458	 0.2700	3	1	18.55	R  	Simbad
     987	J041637.2-241022	064.154938	-24.173020	 0.4857	3	1	20.02	   	Simbad
     988	J041543.7-241030	063.932013	-24.175157	 0.5806	3	1	21.90	   	Simbad
     989	J041700.7-241034	064.252994	-24.176282	 0.7040	3	1	21.32	   	Simbad
     990	J041549.1-241038	063.954675	-24.177228	 0.3442	3	1	23.15	   	Simbad
     991	J041619.2-241029	064.079972	-24.174898	 0.7505	9	1	21.60	R  	Simbad
     992	J041615.4-241040	064.064051	-24.177796	 0.4371	3	3	22.40	   	Simbad
     993	J041612.7-241039	064.053048	-24.177572	 0.5575	3	1	22.51	   	Simbad
     994	J041623.2-241030	064.096867	-24.175106	 0.3448	3	1	22.19	   	Simbad
     995	J041513.8-241030	063.807485	-24.175219	 0.0000	2	1	22.03	   	Simbad
     996	J041528.7-241038	063.869571	-24.177389	 0.2975	3	1	21.71	   	Simbad
     997	J041632.3-241030	064.134383	-24.175203	 0.0912	2	1	22.68	   	Simbad
     998	J041607.7-241039	064.032242	-24.177502	 0.4331	3	3	23.68	   	Simbad
     999	J041624.3-241038	064.101197	-24.177485	 0.4666	3	3	22.72	   	Simbad
    1000	J041702.7-241013	064.261205	-24.170506	 0.2700	3	1	19.39	   	Simbad
    1001	J041637.4-241037	064.155920	-24.176976	 0.4856	3	1	22.38	   	Simbad
    1002	J041601.6-241032	064.006527	-24.175646	 0.1672	3	1	21.09	   	Simbad
    1003	J041607.2-241032	064.029868	-24.175642	 0.5507	3	1	21.29	   	Simbad
    1004	J041619.0-241026	064.078981	-24.173932	 0.7519	2	1	21.80	   	Simbad
    1005	J041626.5-241027	064.110278	-24.174216	 0.2757	3	2	20.68	   	Simbad
    1006	J041557.0-241036	063.987476	-24.176749	 0.3432	3	1	23.15	   	Simbad
    1007	J041515.8-241035	063.815884	-24.176392	 0.6887	3	1	23.53	   	Simbad
    1008	J041558.6-241025	063.994177	-24.173676	 0.4013	3	1	20.39	   	Simbad
    1009	J041522.4-241031	063.843517	-24.175475	 0.3031	3	2	22.66	   	Simbad
    1010	J041513.5-241035	063.806088	-24.176523	 0.4007	3	1	23.57	   	Simbad
    1011	J041613.2-241029	064.054991	-24.174743	 0.5381	3	1	21.67	   	Simbad
    1012	J041529.8-241022	063.873959	-24.173054	 0.3032	3	1	21.12	   	Simbad
    1013	J041514.5-241032	063.810344	-24.175731	 0.4207	2	1	22.83	   	Simbad
    1014	J041523.5-241025	063.847786	-24.173700	 0.2400	3	2	21.69	   	Simbad
    1015	J041527.9-241027	063.866067	-24.174432	 0.4488	3	1	22.19	   	Simbad
    1016	J041600.3-241037	064.001114	-24.176962	 0.4012	3	1	24.54	   	Simbad
    1017	J041646.6-241036	064.194178	-24.176686	 0.7081	3	2	23.49	   	Simbad
    1018	J041604.1-241028	064.017049	-24.174692	 0.5906	3	1	22.08	   	Simbad
    1019	J041533.1-241034	063.887983	-24.176122	 0.5743	3	1	23.58	   	Simbad
    1020	J041514.8-241015	063.811619	-24.170897	 0.4217	3	1	20.14	   	Simbad
    1021	J041542.8-241019	063.928421	-24.172165	 0.5657	3	1	21.84	   	Simbad
    1022	J041638.0-241029	064.158521	-24.174887	 0.5497	3	2	21.96	   	Simbad
    1023	J041551.0-241033	063.962608	-24.176003	 0.5600	3	2	24.36	   	Simbad
    1024	J041639.2-241031	064.163374	-24.175446	 0.5530	3	1	22.41	   	Simbad
    1025	J041546.7-241026	063.944527	-24.174037	 0.5701	3	1	22.78	   	Simbad
    1026	J041533.7-241029	063.890295	-24.174947	 0.4200	2	1	22.11	   	Simbad
    1027	J041548.1-241025	063.950320	-24.173633	 0.3562	3	1	21.08	   	Simbad
    1028	J041618.4-241031	064.076487	-24.175430	 0.3065	3	3	23.31	   	Simbad
    1029	J041623.6-241024	064.098359	-24.173446	 0.7115	3	1	21.65	   	Simbad
    1030	J041546.4-241028	063.943442	-24.174656	 0.5687	3	1	22.59	   	Simbad
    1031	J041601.3-241023	064.005469	-24.173148	 0.5106	3	1	21.16	   	Simbad
    1032	J041552.1-241024	063.966988	-24.173412	 0.3931	3	1	22.17	   	Simbad
    1033	J041517.8-241027	063.823961	-24.174263	 0.6823	3	1	22.82	   	Simbad
    1034	J041540.2-241015	063.917432	-24.171101	 0.3977	3	1	20.35	   	Simbad
    1035	J041621.8-241030	064.090727	-24.175137	 0.5566	9	1	24.36	   	Simbad
    1036	J041700.6-241010	064.252413	-24.169586	 0.2689	3	1	20.95	   	Simbad
    1037	J041656.1-241025	064.233784	-24.173827	 0.4660	9	1	22.34	   	Simbad
    1038	J041703.7-241022	064.265485	-24.172976	 0.1441	2	1	23.06	   	Simbad
    1039	J041618.0-241020	064.074874	-24.172370	 0.3909	3	1	21.47	   	Simbad
    1040	J041616.5-241026	064.068926	-24.174007	 0.4365	3	1	23.48	   	Simbad
    1041	J041638.5-241021	064.160515	-24.172587	 0.3337	3	1	21.17	   	Simbad
    1042	J041513.1-241022	063.804605	-24.172971	 0.4204	2	1	22.06	   	Simbad
    1043	J041604.2-241028	064.017301	-24.174473	 0.5942	3	1	23.01	   	Simbad
    1044	J041618.6-241024	064.077324	-24.173554	 2.7838	3	1	23.25	   	Simbad
    1045	J041619.8-241025	064.082515	-24.173615	 0.3850	3	3	23.94	   	Simbad
    1046	J041705.3-241018	064.271925	-24.171883	 0.4057	2	1	19.57	   	Simbad
    1047	J041604.5-241018	064.018786	-24.171786	 0.3011	3	1	20.67	   	Simbad
    1048	J041551.9-241024	063.966265	-24.173610	 0.2693	3	2	24.01	   	Simbad
    1049	J041700.8-241009	064.253175	-24.169350	 0.0000	3	1	18.19	   	Simbad
    1050	J041638.7-241021	064.161211	-24.172712	 3.0737	3	1	23.91	   	Simbad
    1051	J041544.8-241020	063.936564	-24.172262	 0.6913	3	1	22.45	   	Simbad
    1052	J041540.1-241017	063.916919	-24.171621	 0.3843	2	1	21.34	   	Simbad
    1053	J041651.3-241024	064.213891	-24.173354	 0.5137	9	1	24.47	   	Simbad
    1054	J041518.4-241014	063.826639	-24.170658	 0.3814	3	1	21.58	   	Simbad
    1055	J041623.4-241016	064.097663	-24.171197	 0.7110	3	1	22.37	   	Simbad
    1056	J041552.2-241015	063.967361	-24.171021	 0.3968	3	1	22.19	   	Simbad
    1057	J041702.2-241019	064.259333	-24.171976	 0.4337	3	1	23.46	   	Simbad
    1058	J041619.2-241017	064.080086	-24.171589	 0.2208	3	1	23.36	   	Simbad
    1059	J041602.0-241009	064.008297	-24.169171	 0.5873	3	1	20.56	   	Simbad
    1060	J041627.0-241015	064.112645	-24.171016	 0.3902	3	3	22.06	   	Simbad
    1061	J041552.7-241017	063.969417	-24.171589	 0.2695	3	2	22.36	   	Simbad
    1062	J041636.5-241017	064.152263	-24.171429	 0.5538	3	2	22.88	   	Simbad
    1063	J041514.1-241015	063.808614	-24.170863	 0.4780	2	1	22.82	   	Simbad
    1064	J041700.9-241001	064.253563	-24.167012	 0.4335	3	1	21.38	   	Simbad
    1065	J041657.2-241015	064.238531	-24.171047	 0.7046	3	1	22.85	   	Simbad
    1066	J041602.6-241016	064.010855	-24.171195	 0.5898	3	1	23.02	   	Simbad
    1067	J041609.1-240945	064.037749	-24.162721	 0.2698	3	1	19.07	R  	Simbad
    1068	J041514.7-241011	063.811161	-24.169999	 0.4210	3	1	21.30	   	Simbad
    1069	J041550.9-241011	063.962240	-24.169754	 0.5679	3	1	21.21	   	Simbad
    1070	J041520.3-241008	063.834423	-24.169152	 0.2231	3	1	21.42	   	Simbad
    1071	J041657.8-241010	064.240760	-24.169632	 0.4673	3	1	20.91	   	Simbad
    1072	J041617.1-241015	064.071202	-24.171070	 0.7503	9	1	22.94	   	Simbad
    1073	J041556.7-241013	063.986230	-24.170399	 0.5885	3	1	22.33	   	Simbad
    1074	J041637.5-241016	064.156191	-24.171217	 0.5516	3	1	23.24	   	Simbad
    1075	J041557.8-241016	063.990792	-24.171369	 0.2703	3	1	23.63	   	Simbad
    1076	J041612.7-241003	064.052943	-24.167613	 0.4345	3	3	21.76	   	Simbad
    1077	J041517.6-241010	063.823451	-24.169484	 0.3149	3	1	22.37	   	Simbad
    1078	J041623.4-241013	064.097619	-24.170292	 0.7110	3	1	23.19	   	Simbad
    1079	J041620.2-241009	064.084342	-24.169394	 0.3922	3	1	22.06	   	Simbad
    1080	J041615.2-241014	064.063338	-24.170806	 0.4320	3	1	23.54	   	Simbad
    1081	J041606.8-241000	064.028380	-24.166795	 0.5501	3	1	20.62	R  	Simbad
    1082	J041548.8-241006	063.953370	-24.168526	 0.5668	3	1	21.86	   	Simbad
    1083	J041528.4-241013	063.868247	-24.170440	 0.5676	3	1	23.21	   	Simbad
    1084	J041553.4-241012	063.972383	-24.170031	 0.4336	2	2	23.11	   	Simbad
    1085	J041536.9-241009	063.903917	-24.169234	 0.4051	3	3	22.65	   	Simbad
    1086	J041543.9-241002	063.932881	-24.167462	 0.3036	3	1	19.97	   	Simbad
    1087	J041635.1-241012	064.146107	-24.170251	 0.5652	9	1	23.82	   	Simbad
    1088	J041631.9-241007	064.133009	-24.168723	 0.1293	3	1	21.44	   	Simbad
