#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/872/192/table1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18720192
#Name: J/ApJ/872/192
#Title: A spectroscopic census of A2029 members (Sohn+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/872/192	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/872/192	    IVOID of underlying data collection
#INFO	creator=Sohn J.	    First author or institution
#INFO	cites=bibcode:2019ApJ...872..192S	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/872/192	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18720192	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-10-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_872_192_table1:
#Name: J/ApJ/872/192/table1
#Title: Physical properties of the spectroscopic members of A2029
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	SDSS	(A19)	SDSS name (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id;meta.main]
#Column	objID	(I19)	SDSS object identifier	[ucd=meta.id]
#Column	RAJ2000	(F10.6)	[226.15/229.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	[4.1/7.4] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	[0.069/0.09] Spectroscopic redshift	[ucd=src.redshift]
#Column	e_z	(F7.4)	[0/0.001]? Uncertainty in z	[ucd=stat.error;src.redshift]
#Column	logM*	(F6.2)	[7/11.9]? log stellar mass	[ucd=phys.mass]
#Column	e_logM*	(F5.2)	[0/0.6] Uncertainty in logM*	[ucd=stat.error]
#Column	Dn4000	(F5.2)	[0.1/4.9]? The D_n_4000 spectroscopic index	[ucd=spect.index]
#Column	e_Dn4000	(F5.2)	[0/3.8]? Uncertainty in Dn4000	[ucd=stat.error]
#Column	sigma	(I3)	[7/983]? Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I3)	[0/873]? Uncertainty in sigma	[ucd=stat.error]
#Column	Class	(A1)	Spectral type code (1)	[ucd=meta.code.class]
#Column	E+A?	(A1)	[NY] An E+A galaxy?	[ucd=meta.code]
#Column	T13	(I3)	Display data from Tyler+, 2013, J/ApJ/773/86 within 3"	[ucd=meta.ref.url]
#Column	S17	(I3)	Display data from Sohn+, 2017, J/ApJS/229/20 within 3"	[ucd=meta.ref.url]
#Column	PapI	(I3)	Display data from Sohn+, 2019, J/ApJ/871/129	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS DR14 or DR7 data for this object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	SDSS	objID	RAJ2000	DEJ2000	z	e_z	logM*	e_logM*	Dn4000	e_Dn4000	sigma	e_sigma	Class	E+A?	T13	S17	PapI	Sloan	Simbad
     302	J151025.62+053444.6	1237655744020021272	227.606759	+05.579057	 0.0803	 0.0001	 10.19	 0.07	 1.73	 0.05	 82	 13	N	N	  1	  1	  1	Sloan	Simbad
     303	J151022.91+053632.8	1237655744020021454	227.595463	+05.609126	 0.0794	 0.0001	 10.02	 0.12	 1.74	 0.05	 68	 12	N	N	  1	  1	  1	Sloan	Simbad
     304	J151029.54+053353.0	1237655744020021510	227.623117	+05.564746	 0.0829	 0.0001	 10.28	 0.15	 1.88	 0.04	135	  6	N	N	  1	  1	  1	Sloan	Simbad
     305	J151026.41+053511.6	1237655744020022002	227.610065	+05.586578	 0.0826	 0.0002	  9.13	 0.18	 1.65	 0.12	 73	 38	N	N	  0	  1	  1	Sloan	Simbad
     306	J151043.17+053330.6	1237655744020022237	227.679875	+05.558521	 0.0746	 0.0000	  8.43	 0.06	 1.04	 0.06	159	 90	S	N	  1	  1	  1	Sloan	Simbad
     307	J151043.43+053306.5	1237655744020022246	227.680960	+05.551805	 0.0841	 0.0001	  8.65	 0.16	 1.96	 0.23	 22	  0	N	N	  0	  0	  1	Sloan	Simbad
     308	J151046.15+053335.4	1237655744020022276	227.692305	+05.559853	 0.0820	 0.0002	  9.46	 0.16	 2.30	 0.23	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     309	J151053.12+053147.8	1237655744020022395	227.721365	+05.529971	 0.0837	 0.0001	  9.73	 0.11	 1.67	 0.09	 22	   	N	N	  1	  1	  1	Sloan	Simbad
     310	J151106.74+053316.2	1237655744020087050	227.778112	+05.554517	 0.0792	 0.0001	  9.53	 0.17	 1.75	 0.17	 90	 47	N	N	  0	  1	  1	Sloan	Simbad
     311	J151109.23+053110.8	1237655744020087081	227.788469	+05.519667	 0.0834	 0.0001	 10.11	 0.07	 1.46	 0.03	 92	 11	C	N	  1	  1	  1	Sloan	Simbad
     312	J151122.93+053107.8	1237655744020087195	227.845552	+05.518841	 0.0750	 0.0001	 10.28	 0.18	 1.76	 0.04	100	  9	N	N	  1	  1	  1	Sloan	Simbad
     313	J151124.23+053410.3	1237655744020087376	227.850998	+05.569547	 0.0834	 0.0000	  8.36	 0.09	 1.14	 0.03	743	112	S	N	  1	  1	  1	Sloan	Simbad
     314	J151110.48+053310.4	1237655744020087635	227.793676	+05.552904	 0.0784	 0.0001	  9.02	 0.14	 1.63	 0.12	 22	   	N	N	  1	  1	  1	Sloan	Simbad
     315	J151112.03+053329.4	1237655744020087662	227.800154	+05.558175	 0.0801	 0.0001	  9.61	 0.11	 1.63	 0.09	 70	 29	N	N	  1	  1	  1	Sloan	Simbad
     316	J151120.78+053249.4	1237655744020087776	227.836584	+05.547064	 0.0749	 0.0003	  8.55	 0.18	 1.23	 0.08	 22	  0	N	N	  1	  1	  1	Sloan	Simbad
     317	J151124.85+053132.6	1237655744020087822	227.853563	+05.525721	 0.0778	 0.0002	  8.88	 0.14	 1.85	 0.19	 50	 55	N	N	  0	  1	  1	Sloan	Simbad
     318	J151133.09+053349.3	1237655744020152431	227.887877	+05.563713	 0.0735	 0.0000	 10.67	 0.12	 1.83	 0.03	133	  3	N	N	  1	  1	  1	Sloan	Simbad
     319	J151135.93+053352.3	1237655744020152461	227.899724	+05.564534	 0.0831	 0.0000	 10.69	 0.18	 1.91	 0.03	155	  5	N	N	  0	  1	  1	Sloan	Simbad
     320	J151143.39+053609.2	1237655744020152501	227.930822	+05.602578	 0.0799	 0.0000	  8.99	 0.07	 1.18	 0.03	 87	 31	S	N	  0	  1	  1	Sloan	Simbad
     321	J151144.97+053927.9	1237655744020152507	227.937383	+05.657770	 0.0781	 0.0001	  9.55	 0.03	 1.70	 0.06	 79	 18	N	N	  1	  1	  1	Sloan	Simbad
     322	J151145.15+053510.4	1237655744020152521	227.938133	+05.586223	 0.0844	 0.0001	  9.79	 0.10	 1.79	 0.05	 32	 20	N	N	  1	  1	  1	Sloan	Simbad
     323	J151147.15+053620.2	1237655744020152528	227.946497	+05.605634	 0.0741	 0.0001	  9.08	 0.04	 1.67	 0.06	 51	 31	N	N	  0	  1	  1	Sloan	Simbad
     324	J151149.12+053825.7	1237655744020152537	227.954688	+05.640496	 0.0777	 0.0001	 10.25	 0.21	 2.00	 0.08	114	 14	N	N	  1	  1	  1	Sloan	Simbad
     325	J151151.26+054032.4	1237655744020152546	227.963605	+05.675673	 0.0753	 0.0001	  9.02	 0.09	 1.18	 0.03	 22	   	S	N	  0	  1	  1	Sloan	Simbad
     326	J151151.18+053652.8	1237655744020152769	227.963249	+05.614685	 0.0818	 0.0001	  8.12	 0.14	 1.24	 0.07	417	127	S	N	  0	  0	  1	Sloan	Simbad
     327	J151158.45+054034.7	1237655744020152852	227.993556	+05.676312	 0.0758	 0.0000	  7.92	 0.15	 1.01	 0.04	977	  5	S	N	  0	  1	  1	Sloan	Simbad
     328	J151142.82+053705.4	1237655744020153025	227.928432	+05.618182	 0.0761	 0.0002	  8.92	 0.19	 1.52	 0.17	207	 57	N	N	  0	  0	  1	Sloan	Simbad
     329	J151144.75+053658.2	1237655744020153060	227.936469	+05.616190	 0.0736	 0.0001	  9.51	 0.15	 1.81	 0.11	 23	   	N	N	  0	  1	  1	Sloan	Simbad
     330	J151018.50+055829.0	1237655744556826939	227.577113	+05.974726	 0.0757	 0.0001	  9.95	 0.05	 1.43	 0.04	133	 21	N	N	  1	  1	  1	Sloan	Simbad
     331	J151025.03+060003.2	1237655744556826966	227.604309	+06.000893	 0.0806	 0.0001	 10.34	 0.17	 2.02	 0.04	137	  6	N	N	  1	  1	  1	Sloan	Simbad
     332	J151026.54+060024.0	1237655744556826980	227.610607	+06.006674	 0.0771	 0.0001	 10.50	 0.08	 1.74	 0.03	107	  5	N	N	  1	  1	  1	Sloan	Simbad
     333	J151014.33+055811.7	1237655744556827476	227.559737	+05.969935	 0.0745	 0.0000	  8.37	 0.09	 1.20	 0.08	976	  5	S	N	  0	  1	  1	Sloan	Simbad
     334	J151020.77+055937.5	1237655744556827537	227.586545	+05.993774	 0.0779	 0.0002	  7.89	 0.18	 1.33	 0.11	 96	 79	N	N	  0	  1	  1	Sloan	Simbad
     335	J151042.63+060031.7	1237655744556892207	227.677631	+06.008815	 0.0794	 0.0001	  9.85	 0.07	 1.85	 0.05	 80	 10	N	N	  1	  1	  1	Sloan	Simbad
     336	J151029.56+060116.6	1237655744556892280	227.623201	+06.021286	 0.0768	 0.0000	  9.63	 0.10	 1.50	 0.03	 43	 10	N	N	  1	  1	  1	Sloan	Simbad
     337	J151031.21+060131.7	1237655744556892287	227.630046	+06.025497	 0.0733	 0.0001	  9.27	 0.07	 1.59	 0.04	 40	 17	N	N	  1	  1	  1	Sloan	Simbad
     338	J151031.75+060007.0	1237655744556892292	227.632298	+06.001953	 0.0800	 0.0001	 10.93	 0.05	 2.14	 0.07	197	  9	N	N	  1	  1	  1	Sloan	Simbad
     339	J151031.66+055957.0	1237655744556892293	227.631931	+05.999191	 0.0801	 0.0000	 10.40	 0.08	 2.01	 0.05	171	  7	N	N	  1	  1	  1	Sloan	Simbad
     340	J151031.83+055840.2	1237655744556892297	227.632636	+05.977851	 0.0734	 0.0001	 10.00	 0.10	 1.98	 0.09	 80	 17	N	N	  1	  1	  1	Sloan	Simbad
     341	J151032.99+060144.0	1237655744556892302	227.637457	+06.028900	 0.0832	 0.0001	  9.45	 0.15	 1.62	 0.05	 23	   	N	N	  1	  1	  1	Sloan	Simbad
     342	J151035.62+055926.2	1237655744556892326	227.648448	+05.990620	 0.0843	 0.0001	 10.38	 0.16	 1.91	 0.08	 80	 17	N	N	  1	  1	  1	Sloan	Simbad
     343	J151036.47+060131.9	1237655744556892334	227.651981	+06.025550	 0.0812	 0.0001	 11.00	 0.08	 1.98	 0.05	201	  9	N	N	  1	  1	  1	Sloan	Simbad
     344	J151037.84+060130.3	1237655744556892337	227.657697	+06.025097	 0.0808	 0.0002	  9.20	 0.11	 1.66	 0.11	134	 38	N	N	  0	  1	  1	Sloan	Simbad
     345	J151035.09+055736.4	1237655744556892353	227.646214	+05.960126	 0.0761	 0.0001	 10.20	 0.18	 1.91	 0.08	112	 14	N	N	  1	  1	  1	Sloan	Simbad
     346	J151041.63+060218.8	1237655744556892380	227.673488	+06.038557	 0.0803	 0.0001	 10.49	 0.11	 1.93	 0.04	147	  5	N	N	  1	  1	  1	Sloan	Simbad
     347	J151040.40+055721.7	1237655744556892386	227.668335	+05.956030	 0.0780	 0.0001	 10.75	 0.11	 2.04	 0.04	202	  4	N	N	  1	  1	  1	Sloan	Simbad
     348	J151042.62+055927.2	1237655744556892394	227.677617	+05.990902	 0.0805	 0.0001	  9.74	 0.11	 1.56	 0.07	 88	 32	N	N	  1	  1	  1	Sloan	Simbad
     349	J151043.74+055814.2	1237655744556892404	227.682258	+05.970624	 0.0800	 0.0001	 10.65	 0.08	 2.02	 0.06	174	 11	N	N	  1	  1	  1	Sloan	Simbad
     350	J151052.79+055920.3	1237655744556892449	227.719989	+05.988982	 0.0821	 0.0001	  9.49	 0.07	 1.68	 0.06	 38	 33	N	N	  1	  1	  1	Sloan	Simbad
     351	J151054.37+055851.5	1237655744556892460	227.726577	+05.980976	 0.0771	 0.0000	  8.28	 0.12	 1.25	 0.08	604	231	S	N	  0	  0	  1	Sloan	Simbad
     352	J151055.92+055814.1	1237655744556892477	227.733003	+05.970587	 0.0741	 0.0000	 10.14	 0.08	 1.77	 0.03	112	  4	N	N	  1	  1	  1	Sloan	Simbad
     353	J151058.69+060253.8	1237655744556892494	227.744545	+06.048295	 0.0774	 0.0001	  9.81	 0.10	 1.75	 0.06	 22	   	N	N	  1	  1	  1	Sloan	Simbad
     354	J151100.88+055817.9	1237655744556892512	227.753673	+05.971661	 0.0745	 0.0000	  9.83	 0.07	 1.84	 0.04	128	  8	N	N	  1	  1	  1	Sloan	Simbad
     355	J151103.06+060225.4	1237655744556892517	227.762765	+06.040409	 0.0777	 0.0001	 10.31	 0.09	 1.95	 0.04	100	  7	N	N	  1	  1	  1	Sloan	Simbad
     356	J151057.54+055852.9	1237655744556892578	227.739767	+05.981383	 0.0785	 0.0000	 10.42	 0.08	 1.93	 0.11	 97	 16	A	N	  1	  1	  1	Sloan	Simbad
     357	J151059.72+060043.3	1237655744556892581	227.748840	+06.012028	 0.0797	 0.0001	  9.58	 0.10	 1.94	 0.06	 22	   	N	N	  1	  1	  1	Sloan	Simbad
     358	J151030.07+055921.5	1237655744556892623	227.625305	+05.989315	 0.0767	 0.0001	 10.01	 0.14	 1.38	 0.05	 61	 36	S	N	  1	  2	  1	Sloan	Simbad
     359	J151030.08+055919.8	1237655744556892624	227.625334	+05.988847	 0.0769	 0.0001	  8.11	 0.09	 1.50	 0.05	 22	  0	S	N	  1	  2	  1	Sloan	Simbad
     360	J151044.33+060127.3	1237655744556892641	227.684747	+06.024267	 0.0792	 0.0000	  8.89	 0.07	 1.22	 0.06	706	228	S	N	  1	  1	  1	Sloan	Simbad
     361	J151036.93+060024.3	1237655744556892783	227.653911	+06.006769	 0.0776	 0.0001	  9.31	 0.07	 1.73	 0.08	 23	   	N	N	  0	  1	  1	Sloan	Simbad
     362	J151041.18+055753.1	1237655744556892834	227.671582	+05.964767	 0.0806	 0.0001	  9.25	 0.16	 1.77	 0.09	 61	 34	N	N	  1	  1	  1	Sloan	Simbad
     363	J151047.45+060227.5	1237655744556892886	227.697732	+06.040972	 0.0790	 0.0002	  8.75	 0.21	 1.78	 0.12	137	 37	N	N	  0	  0	  1	Sloan	Simbad
     364	J151050.22+060004.7	1237655744556892933	227.709268	+06.001311	 0.0827	 0.0002	  9.00	 0.17	 1.58	 0.08	 22	   	N	N	  1	  1	  1	Sloan	Simbad
     365	J151055.42+060112.2	1237655744556892985	227.730947	+06.020081	 0.0810	 0.0002	  9.24	 0.17	 1.90	 0.16	105	 46	N	N	  0	  1	  1	Sloan	Simbad
     366	J151055.58+060022.6	1237655744556892993	227.731615	+06.006283	 0.0786	 0.0002	  9.17	 0.18	 1.36	 0.12	 81	 70	N	N	  0	  1	  1	Sloan	Simbad
     367	J151128.30+060028.2	1237655744556957797	227.867956	+06.007835	 0.0763	 0.0002	  9.53	 0.21	 1.50	 0.13	 22	  0	N	N	  0	  0	  1	Sloan	Simbad
     368	J151118.71+055744.4	1237655744556957936	227.827956	+05.962355	 0.0754	 0.0001	      	 0.00	 1.98	 0.04	157	  5	N	N	  1	  1	  1	Sloan	Simbad
     369	J151121.63+060109.4	1237655744556957973	227.840156	+06.019290	 0.0789	 0.0001	 10.03	 0.10	 1.79	 0.05	119	 10	N	N	  1	  1	  1	Sloan	Simbad
     370	J151132.04+055845.7	1237655744556958221	227.883536	+05.979386	 0.0777	 0.0001	  9.68	 0.10	 1.71	 0.06	 67	 17	N	N	  1	  1	  1	Sloan	Simbad
     371	J151111.20+060229.5	1237655744556958331	227.796688	+06.041543	 0.0774	 0.0001	  8.36	 0.09	 1.74	 0.14	111	 49	N	N	  0	  0	  1	Sloan	Simbad
     372	J151124.41+055931.7	1237655744556958507	227.851743	+05.992142	 0.0772	 0.0001	  8.90	 0.09	 1.44	 0.09	 57	 58	N	N	  1	  1	  1	Sloan	Simbad
     373	J151125.30+060000.1	1237655744556958520	227.855452	+06.000040	 0.0784	 0.0001	  8.96	 0.09	 1.72	 0.08	 22	   	N	N	  0	  1	  1	Sloan	Simbad
     374	J151130.19+055706.8	1237655744556958583	227.875801	+05.951907	 0.0754	 0.0001	  9.62	 0.09	 1.46	 0.07	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     375	J151141.52+055615.1	1237655744557023357	227.923014	+05.937547	 0.0793	 0.0001	  9.93	 0.06	 1.91	 0.10	 89	 20	N	N	  1	  1	  1	Sloan	Simbad
     376	J151146.31+055737.5	1237655744557023377	227.942990	+05.960422	 0.0783	 0.0001	 10.77	 0.20	 1.95	 0.06	172	 11	N	N	  1	  1	  1	Sloan	Simbad
     377	J151145.88+055543.9	1237655744557023386	227.941174	+05.928877	 0.0789	 0.0000	  9.02	 0.09	 1.24	 0.04	464	121	S	N	  1	  1	  1	Sloan	Simbad
     378	J151144.53+055728.6	1237655744557023767	227.935562	+05.957947	 0.0755	 0.0001	  9.00	 0.13	 1.38	 0.12	 61	 68	N	N	  0	  1	  1	Sloan	Simbad
     379	J151152.56+055615.6	1237655744557023881	227.969026	+05.937690	 0.0742	 0.0001	  9.42	 0.18	 1.65	 0.08	 88	 29	N	N	  1	  1	  1	Sloan	Simbad
     380	J151048.91+053128.0	1237662267537096810	227.703815	+05.524450	 0.0768	 0.0001	  9.46	 0.17	 1.40	 0.05	 22	  0	N	N	  1	  1	  1	Sloan	Simbad
     381	J151030.32+053006.7	1237662267537096900	227.626370	+05.501862	 0.0734	 0.0001	 10.60	 0.15	 1.85	 0.03	144	  5	N	N	  1	  1	  1	Sloan	Simbad
     382	J151035.79+053046.5	1237662267537096935	227.649159	+05.512932	 0.0801	 0.0001	  9.66	 0.10	 1.28	 0.02	 67	 17	S	N	  1	  1	  1	Sloan	Simbad
     383	J151036.59+053041.7	1237662267537096946	227.652481	+05.511606	 0.0790	 0.0001	 10.33	 0.11	 2.02	 0.04	187	  5	N	N	  1	  1	  1	Sloan	Simbad
     384	J151038.01+052943.4	1237662267537096950	227.658406	+05.495388	 0.0799	 0.0001	 10.34	 0.20	 1.98	 0.06	160	 11	N	N	  1	  1	  1	Sloan	Simbad
     385	J151043.53+052851.2	1237662267537096978	227.681392	+05.480890	 0.0737	 0.0001	 10.31	 0.09	 2.04	 0.06	124	 11	N	N	  1	  1	  1	Sloan	Simbad
     386	J151048.79+052849.2	1237662267537096993	227.703304	+05.480357	 0.0765	 0.0001	  9.64	 0.12	 1.26	 0.03	 34	 44	N	N	  1	  1	  1	Sloan	Simbad
     387	J151055.22+052959.5	1237662267537097058	227.730084	+05.499864	 0.0757	 0.0001	 10.07	 0.11	 1.78	 0.05	 62	 17	N	N	  1	  1	  1	Sloan	Simbad
     388	J151031.32+053115.3	1237662267537097475	227.630533	+05.520926	 0.0746	 0.0001	  8.32	 0.17	 1.86	 0.37	 22	   	N	N	  0	  0	  1	Sloan	Simbad
     389	J151044.15+053106.7	1237662267537097692	227.683971	+05.518528	 0.0795	 0.0001	  9.48	 0.10	     	     	   	   	N	N	  1	  1	  1	Sloan	Simbad
     390	J151050.58+052958.7	1237662267537097800	227.710775	+05.499655	 0.0739	 0.0001	  9.37	 0.12	 1.76	 0.09	 59	 33	N	N	  0	  1	  1	Sloan	Simbad
     391	J151050.93+052926.6	1237662267537097817	227.712234	+05.490748	 0.0739	 0.0002	  9.50	 0.17	 1.61	 0.15	 36	108	N	N	  1	  1	  1	Sloan	Simbad
     392	J151053.21+053035.4	1237662267537097855	227.721739	+05.509835	 0.0803	 0.0002	  9.49	 0.17	 1.49	 0.12	109	 43	N	N	  0	  0	  1	Sloan	Simbad
     393	J151110.16+053006.8	1237662267537162651	227.792357	+05.501912	 0.0745	 0.0001	  9.56	 0.17	 1.76	 0.12	101	 41	N	N	  1	  1	  1	Sloan	Simbad
     394	J151114.44+052931.7	1237662267537162687	227.810201	+05.492149	 0.0794	 0.0001	 10.11	 0.16	 1.80	 0.07	 68	 18	N	N	  1	  1	  1	Sloan	Simbad
     395	J151057.29+053009.4	1237662267537163071	227.738737	+05.502615	 0.0824	 0.0001	  9.73	 0.07	 1.54	 0.10	163	 34	N	N	  0	  1	  1	Sloan	Simbad
     396	J151100.14+052957.7	1237662267537163136	227.750601	+05.499363	 0.0834	 0.0001	  9.34	 0.17	 2.19	 0.28	 75	 57	N	N	  0	  1	  1	Sloan	Simbad
     397	J151126.76+052954.6	1237662267537163622	227.861532	+05.498511	 0.0765	 0.0003	  8.98	 0.14	 2.21	 0.26	734	339	N	N	  0	  1	  1	Sloan	Simbad
     398	J151015.12+055159.5	1237662268073902236	227.563018	+05.866543	 0.0831	 0.0002	  9.79	 0.06	 2.24	 0.26	 22	  0	N	N	  0	  1	  1	Sloan	Simbad
     399	J150955.08+055205.3	1237662268073902375	227.479506	+05.868152	 0.0787	 0.0001	  9.37	 0.08	 1.49	 0.04	 43	 20	N	N	  1	  1	  1	Sloan	Simbad
     400	J151006.27+055037.1	1237662268073902423	227.526126	+05.843643	 0.0778	 0.0001	 10.53	 0.17	 1.42	 0.03	112	 14	N	N	  1	  1	  1	Sloan	Simbad
     401	J151015.72+055335.7	1237662268073902472	227.565539	+05.893275	 0.0839	 0.0001	  9.76	 0.05	 1.81	 0.05	 22	   	N	N	  1	  1	  1	Sloan	Simbad
     402	J150955.13+055136.5	1237662268073902659	227.479729	+05.860154	 0.0805	 0.0000	  8.00	 0.11	 0.99	 0.03	980	  4	S	N	  0	  1	  1	Sloan	Simbad
     403	J151010.71+055659.4	1237662268073903124	227.544664	+05.949844	 0.0742	 0.0001	  8.10	 0.10	 1.26	 0.07	797	259	N	N	  0	  0	  1	Sloan	Simbad
     404	J151020.43+055630.6	1237662268073903310	227.585150	+05.941856	 0.0777	 0.0001	  9.55	 0.13	 1.96	 0.10	 22	   	N	N	  1	  1	  1	Sloan	Simbad
     405	J151136.36+055438.7	1237662268074033704	227.901511	+05.910752	 0.0737	 0.0001	  9.75	 0.11	 1.43	 0.06	 22	   	S	N	  1	  1	  1	Sloan	Simbad
     406	J151140.03+055519.2	1237662268074033806	227.916808	+05.922023	 0.0777	 0.0001	  9.65	 0.16	 1.81	 0.07	 22	  0	N	N	  1	  1	  1	Sloan	Simbad
     407	J151133.94+055516.2	1237662268074034495	227.891439	+05.921184	 0.0776	 0.0003	  8.55	 0.07	 1.47	 0.10	 22	  0	N	N	  0	  0	  1	Sloan	Simbad
     408	J151135.86+055420.9	1237662268074034532	227.899432	+05.905807	 0.0809	 0.0001	  9.64	 0.15	 2.00	 0.12	 52	 35	N	N	  1	  1	  1	Sloan	Simbad
     409	J151142.92+055319.0	1237662268074098792	227.928863	+05.888635	 0.0841	 0.0000	  9.43	 0.07	 1.26	 0.07	176	 53	S	N	  1	  1	  1	Sloan	Simbad
     410	J151152.25+054857.8	1237662268074098881	227.967715	+05.816071	 0.0794	 0.0001	  9.76	 0.10	 1.37	 0.04	 86	 23	S	N	  1	  1	  1	Sloan	Simbad
     411	J151158.95+055319.2	1237662268074098913	227.995658	+05.888684	 0.0798	 0.0001	  9.92	 0.08	 1.76	 0.05	 81	 14	N	N	  1	  1	  1	Sloan	Simbad
     412	J151204.06+055132.8	1237662268074098936	228.016950	+05.859114	 0.0778	 0.0001	 10.80	 0.15	 1.91	 0.03	157	  4	A	N	  1	  1	  1	Sloan	Simbad
     413	J151205.40+054610.4	1237662268074098952	228.022508	+05.769559	 0.0752	 0.0001	 10.11	 0.10	 1.97	 0.06	 88	 14	N	N	  1	  1	  1	Sloan	Simbad
     414	J151155.08+054738.4	1237662268074099060	227.979524	+05.794006	 0.0750	 0.0001	  9.41	 0.08	 1.29	 0.09	 29	 76	N	N	  1	  1	  1	Sloan	Simbad
     415	J151154.56+054738.6	1237662268074099062	227.977348	+05.794058	 0.0791	 0.0001	  9.32	 0.18	 1.45	 0.08	104	 34	N	N	  1	  1	  1	Sloan	Simbad
     416	J151151.29+055410.7	1237662268074099126	227.963739	+05.902979	 0.0790	 0.0001	  8.09	 0.12	 1.04	 0.05	464	148	N	N	  0	  1	  1	Sloan	Simbad
     417	J151159.32+054358.7	1237662268074099156	227.997177	+05.732980	 0.0795	 0.0001	  8.39	 0.18	 1.10	 0.06	248	106	N	N	  0	  0	  1	Sloan	Simbad
     418	J151150.01+054523.1	1237662268074099426	227.958400	+05.756423	 0.0801	 0.0005	  8.89	 0.19	 1.46	 0.11	 73	 51	N	N	  0	  0	  1	Sloan	Simbad
     419	J151154.08+055509.4	1237662268074099434	227.975364	+05.919278	 0.0760	 0.0001	  8.07	 0.11	 1.36	 0.13	 22	  0	N	N	  0	  0	  1	Sloan	Simbad
     420	J151154.42+054632.9	1237662268074099492	227.976764	+05.775827	 0.0814	 0.0002	  9.13	 0.16	 1.81	 0.17	 25	   	N	N	  0	  1	  1	Sloan	Simbad
     421	J151158.43+054348.2	1237662268074099583	227.993457	+05.730058	 0.0792	 0.0000	  8.09	 0.21	 1.11	 0.11	 22	   	S	N	  0	  1	  1	Sloan	Simbad
     422	J151201.99+055126.1	1237662268074099608	228.008291	+05.857262	 0.0791	 0.0001	  9.28	 0.18	 1.39	 0.06	 95	 36	S	N	  1	  1	  1	Sloan	Simbad
     423	J150923.34+054338.7	1237655744019890380	227.347278	+05.727425	 0.0828	 0.0001	 10.85	 0.16	 2.01	 0.04	227	  7	C	N	  1	  1	  1	Sloan	Simbad
     424	J150937.56+054542.2	1237655744019890460	227.406525	+05.761728	 0.0772	 0.0001	  9.94	 0.09	 2.03	 0.05	127	  7	N	N	  0	  1	  1	Sloan	Simbad
     425	J150938.56+053720.2	1237655744019890463	227.410688	+05.622285	 0.0796	 0.0001	  9.82	 0.12	 1.67	 0.05	 22	   	N	N	  1	  1	  1	Sloan	Simbad
     426	J150943.41+054012.0	1237655744019890479	227.430882	+05.670016	 0.0838	 0.0001	 10.34	 0.10	 1.48	 0.05	131	 25	C	N	  1	  1	  1	Sloan	Simbad
     427	J150924.62+053940.3	1237655744019890532	227.352615	+05.661211	 0.0768	 0.0001	  9.71	 0.15	 2.04	 0.08	 57	 16	N	N	  0	  1	  1	Sloan	Simbad
     428	J150926.77+054347.2	1237655744019890628	227.361569	+05.729793	 0.0841	 0.0000	  9.41	 0.14	 1.23	 0.04	982	  4	S	N	  0	  1	  1	Sloan	Simbad
     429	J150921.93+054252.3	1237655744019890794	227.341408	+05.714548	 0.0833	 0.0000	  8.73	 0.13	 1.25	 0.05	982	  4	S	N	  0	  1	  1	Sloan	Simbad
     430	J150924.34+054251.6	1237655744019890820	227.351417	+05.714347	 0.0821	 0.0002	  8.61	 0.14	 1.52	 0.16	153	 66	N	N	  0	  1	  1	Sloan	Simbad
     431	J150926.21+054226.2	1237655744019890834	227.359217	+05.707293	 0.0825	 0.0000	  9.23	 0.16	 1.15	 0.07	278	 96	S	N	  0	  1	  1	Sloan	Simbad
