#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:38:32 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:38:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/196/11/table3&-out=**&-out.max=unlimited&-c=227.7337%20%2B5.7444&-c.rm=110	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	-c=227.733700+05.744400,rm=110.	
#Constraint -c.rm=110

#RESOURCE=yCat_21960011
#Name: J/ApJS/196/11
#Title: Bulge+disk decompositions of SDSS galaxies (Simard+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/apjs/196/11	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/196/11	    IVOID of underlying data collection
#INFO	creator=Simard L.	    First author or institution
#INFO	cites=bibcode:2011ApJS..196...11S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/196/11	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21960011	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-04-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_196_11_table3:
#Name: J/ApJS/196/11/table3
#Title: SDSS structural parameters from pure Sersic decompositions
#Column	_r	(F8.4)	Distance from center (227.73370+05.74440)[FK5/J2000]	[ucd=pos.angDistance]
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	objID	(I18)	SDSS object identifier	[ucd=meta.id]
#Column	z	(F6.4)	? SDSS redshift (spectroscopic if available or photometric ("-1" in "Sp")	[ucd=src.redshift]
#Column	Sp	(I2)	[-2/6] SDSS SpecClass value (G1)	[ucd=meta.code.class]
#Column	Scale	(F7.3)	? Physical scale at redshift z	[ucd=instr.scale]
#Column	Vmax	(F10.3)	? Galaxy volume correction (Eq. 7)	[ucd=arith.factor]
#Column	gg2d	(F6.2)	? GIM2D pure Sersic model g-band magnitude	[ucd=phot.mag;meta.modelled]
#Column	e_gg2d	(F6.2)	? Uncertainty in gg2d	[ucd=phot.mag;meta.modelled]
#Column	rg2d	(F6.2)	? GIM2D pure Sersic model r-band magnitude	[ucd=phot.mag;meta.modelled]
#Column	e_rg2d	(F6.2)	? Uncertainty in rg2d	[ucd=phot.mag;meta.modelled]
#Column	gg2df	(F6.2)	? GIM2D pure Sersic model g-band fiber magnitude	[ucd=phot.mag;meta.modelled]
#Column	rg2df	(F6.2)	? GIM2D pure Sersic model r-band fiber magnitude	[ucd=phot.mag;meta.modelled]
#Column	dCol	(F6.2)	[-4.95,+5.73]? Delta fiber color (G2)	[ucd=phot.mag]
#Column	Rhlg	(F6.2)	? g-band galaxy semi-major axis, half-light radius	[ucd=phys.size.smajAxis;src.orbital]
#Column	Rhlr	(F6.2)	? r-band galaxy semi-major axis, half-light radius	[ucd=phys.size.smajAxis;src.orbital]
#Column	Rchl_g	(F7.2)	[-336,284] g-band galaxy circular half-light radius	[ucd=phys.size.radius]
#Column	Rchl_r	(F7.2)	[-336,284] r-band galaxy circular half-light radius	[ucd=phys.size.radius]
#Column	e	(F6.2)	? Galaxy ellipticiy (G3)	[ucd=src.ellipticity]
#Column	e_e	(F6.2)	? Uncertainty in e	[ucd=stat.error]
#Column	phi	(F7.2)	[-360,360] Galaxy position angle (G4)	[ucd=pos.posAng]
#Column	e_phi	(F6.2)	? Uncertainty in phi	[ucd=stat.error]
#Column	(dx)g	(F6.2)	[-42,32]? g-band pure Sersic model center X offset (G5)	[ucd=stat.fit.param]
#Column	e_(dx)g	(F6.2)	? Uncertainty in (dx)g	[ucd=stat.error]
#Column	(dy)g	(F6.2)	[-38,30]? g-band pure Sersic model center Y offset (G5)	[ucd=stat.fit.param]
#Column	e_(dy)g	(F6.2)	? Uncertainty in (dy)g	[ucd=stat.error]
#Column	(dx)r	(F6.2)	[-31,30]? r-band pure Sersic model center X offset (G5)	[ucd=stat.fit.param]
#Column	e_(dx)r	(F6.2)	? Uncertainty in (dx)r	[ucd=stat.error]
#Column	(dy)r	(F6.2)	[-38,30]? r-band pure Sersic model center Y offset (G5)	[ucd=stat.fit.param]
#Column	e_(dy)r	(F6.2)	? Uncertainty in (dy)r	[ucd=stat.error]
#Column	S2g	(F6.2)	[-89,98]? g-band image smoothness parameter (G6)	[ucd=stat.fit.param]
#Column	S2r	(F6.2)	[-75,99]? r-band image smoothness parameter (G6)	[ucd=stat.fit.param]
#Column	ggMag	(F6.2)	[-37,7]? Absolute, rest-frame g-band GIM2D galaxy magnitude (Eq. 3a)	[ucd=phys.magAbs]
#Column	e_ggMag	(F6.2)	? Uncertainty in ggMag	[ucd=stat.error;phot.mag]
#Column	rgMag	(F6.2)	[-36,6]? Absolute, rest-frame r-band GIM2D galaxy magnitude (Eq. 3b)	[ucd=phys.magAbs]
#Column	e_rgMag	(F6.2)	? Uncertainty in rgMag	[ucd=stat.error;phot.mag]
#Column	ng	(F6.2)	[0,8]? Galaxy Sersic index	[ucd=stat.fit.param]
#Column	e_ng	(F6.2)	? Uncertainty in ng	[ucd=stat.error]
#Column	All	(A3)	Display all results from the 3 models	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the SDSS data for this object	[ucd=meta.ref.url]
#Column	DR7	(A3)	Details from the SDSS-DR7 catalog (II/294)	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from SDSS-DR7 (Cat. II/294) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SDSS-DR7 (Cat. II/294) (declination part)	[ucd=pos.eq.dec;meta.main]
_r	recno	objID	z	Sp	Scale	Vmax	gg2d	e_gg2d	rg2d	e_rg2d	gg2df	rg2df	dCol	Rhlg	Rhlr	Rchl_g	Rchl_r	e	e_e	phi	e_phi	(dx)g	e_(dx)g	(dy)g	e_(dy)g	(dx)r	e_(dx)r	(dy)r	e_(dy)r	S2g	S2r	ggMag	e_ggMag	rgMag	e_rgMag	ng	e_ng	All	Sloan	DR7	_RA	_DE
 90.3612	  187980	587729160054833327	0.1766	-1	  2.988	   341.849	 18.28	  0.03	 17.54	  0.05	 19.80	 19.01	      	 11.83	 11.83	   7.25	   7.25	  0.77	  0.02	  81.00	  1.11	  0.11	  0.07	  0.22	  0.04	  0.51	  0.06	  0.36	  0.03	  0.05	  0.03	-21.95	  0.03	-22.35	  0.05	  1.36	  0.12	All	Sloan	DR7	228.28117	+04.34058
 93.0002	  187981	587729160054833330	0.0370	 2	  0.734	    39.925	 16.65	  0.00	 15.89	  0.00	 18.16	 17.39	 -0.04	  2.53	  2.53	   1.81	   1.81	  0.56	  0.00	  38.51	  0.18	  0.20	  0.00	  0.48	  0.00	  0.19	  0.01	  0.23	  0.01	  0.07	  0.05	-19.66	  0.00	-20.34	  0.00	  1.77	  0.02	All	Sloan	DR7	228.28176	+04.29373
 84.8556	  187982	587729160054833335	0.0864	-1	  1.619	    66.542	 18.00	  0.03	 17.37	  0.02	 19.34	 18.68	      	  3.64	  3.64	   3.30	   3.30	  0.20	  0.02	 115.97	  3.44	  0.19	  0.03	  0.27	  0.03	  0.27	  0.03	  0.38	  0.02	  0.05	  0.05	-20.30	  0.03	-20.81	  0.02	  1.60	  0.09	All	Sloan	DR7	228.29241	+04.44423
 90.5517	  187983	587729160054833339	0.0805	 2	  1.518	    67.912	 17.85	  0.02	 17.27	  0.02	 19.31	 18.72	  0.03	  4.51	  4.51	   3.42	   3.42	  0.48	  0.01	 138.11	  0.91	  0.42	  0.03	  0.33	  0.03	  0.38	  0.03	  0.47	  0.03	  0.03	  0.03	-20.26	  0.02	-20.73	  0.02	  1.14	  0.06	All	Sloan	DR7	228.29063	+04.34086
 88.7951	  187984	587729160054833352	0.1106	 2	  2.016	   112.456	 18.37	  0.04	 17.37	  0.03	 19.37	 18.35	  0.02	  3.13	  3.13	   2.79	   2.79	  0.28	  0.03	   2.33	  4.06	  0.29	  0.02	  0.23	  0.02	  0.58	  0.01	  0.39	  0.02	  0.04	  0.02	-20.67	  0.04	-21.42	  0.03	  5.18	  0.39	All	Sloan	DR7	228.30297	+04.37742
 89.2740	  187985	587729160054833355	0.0770	-1	  1.459	   680.621	 15.97	  0.00	 15.04	  0.00	 18.33	 17.40	      	 11.19	 11.19	  10.00	  10.00	  0.21	  0.01	  85.65	  0.66	  0.44	  0.01	  0.38	  0.01	  0.35	  0.01	  0.55	  0.01	  0.07	  0.03	-22.11	  0.00	-22.88	  0.00	  3.27	  0.03	All	Sloan	DR7	228.30804	+04.37088
 93.5855	  187986	587729160054833363	0.0380	 2	  0.754	     4.249	 18.53	  0.03	 17.70	  0.02	 19.52	 18.67	  0.00	  1.51	  1.51	   1.08	   1.08	  0.58	  0.01	  49.21	  0.88	  0.53	  0.03	  0.52	  0.03	  0.53	  0.02	  0.30	  0.02	  0.03	  0.03	-17.87	  0.03	-18.59	  0.02	  0.89	  0.05	All	Sloan	DR7	228.31620	+04.29659
 84.9422	  187987	587729160054833366	0.0865	 2	  1.621	    59.776	 18.10	  0.03	 17.54	  0.02	 19.58	 19.02	  0.04	  4.33	  4.33	   3.55	   3.55	  0.36	  0.01	 133.27	  1.63	  0.34	  0.03	  0.42	  0.04	  0.38	  0.03	  0.23	  0.03	  0.09	  0.08	-20.18	  0.03	-20.62	  0.02	  0.81	  0.05	All	Sloan	DR7	228.33124	+04.45988
 85.5545	  187988	587729160054833390	0.1036	-1	  1.903	   865.087	 16.38	  0.00	 15.46	  0.00	 18.81	 17.88	      	 17.72	 17.72	  11.98	  11.98	  0.64	  0.00	 112.89	  0.11	  0.38	  0.00	  0.44	  0.00	  0.41	  0.02	  0.40	  0.01	  0.12	  0.14	-22.53	  0.00	-23.20	  0.00	  2.35	  0.03	All	Sloan	DR7	228.36720	+04.46570
 85.4583	  187989	587729160054833394	0.1187	-1	  2.144	     0.000	 21.26	  0.32	 20.14	  0.18	 22.07	 20.88	      	  1.76	  1.76	   1.83	   1.83	  0.10	  0.18	  86.58	113.13	  0.02	  0.24	  0.28	  0.48	  0.42	  0.12	  0.40	  0.11	      	      	-17.49	  0.32	-18.58	  0.18	  6.27	  1.97	All	Sloan	DR7	228.36815	+04.46795
 91.0861	  187990	587729160054833406	0.0598	-1	  1.155	    11.651	 18.38	  0.03	 17.86	  0.03	 20.15	 19.62	      	  4.88	  4.88	   3.37	   3.37	  0.61	  0.02	  11.17	  1.01	  0.64	  0.04	  0.33	  0.07	  0.56	  0.04	  0.20	  0.08	  0.09	  0.10	-18.98	  0.03	-19.43	  0.03	  1.19	  0.09	All	Sloan	DR7	228.37458	+04.36704
 86.7166	  187991	587729160054833424	0.1358	 2	  2.405	   231.085	 18.08	  0.04	 17.20	  0.04	 19.53	 18.63	 -0.03	  8.78	  8.78	   6.45	   6.45	  0.53	  0.02	 173.35	  1.17	  0.36	  0.03	  0.33	  0.03	  0.45	  0.02	  0.42	  0.03	  0.18	  0.12	-21.39	  0.04	-22.09	  0.04	  3.08	  0.23	All	Sloan	DR7	228.41502	+04.46834
 96.5168	  187992	587729160054833432	0.0975	 2	  1.803	    56.682	 18.15	  0.02	 17.78	  0.03	 19.91	 19.51	 -0.02	  7.64	  7.64	   5.15	   5.15	  0.64	  0.01	  55.41	  0.83	  0.57	  0.04	  0.72	  0.04	  0.58	  0.05	  0.46	  0.03	  0.11	  0.08	-20.31	  0.02	-20.59	  0.03	  1.06	  0.08	All	Sloan	DR7	228.41934	+04.28798
 94.2842	  187993	587729160054833498	0.1754	 2	  2.973	   365.390	 18.36	  0.05	 17.56	  0.05	 20.63	 19.82	 -0.15	 16.36	 16.36	  11.99	  11.99	  0.53	  0.02	 143.13	  1.62	  0.46	  0.06	  0.60	  0.04	  0.56	  0.06	  0.62	  0.07	  0.06	  0.09	-21.70	  0.05	-22.26	  0.05	  1.11	  0.10	All	Sloan	DR7	228.40535	+04.32254
 88.7335	  187994	587729160054898843	0.0684	-1	  1.308	   970.303	 15.46	  0.00	 14.55	  0.00	 18.06	 17.08	      	 13.51	 13.51	   8.95	   8.95	  0.67	  0.00	 128.89	  0.12	  0.02	  0.01	  0.18	  0.01	  0.36	  0.01	  0.40	  0.01	  0.23	  0.21	-22.34	  0.00	-23.11	  0.00	  2.22	  0.01	All	Sloan	DR7	228.47186	+04.46121
 89.4134	  187995	587729160054898865	0.2216	 2	  3.572	   802.797	 18.73	  0.05	 17.33	  0.05	 20.11	 18.69	  0.03	 10.26	 10.26	   9.69	   9.69	  0.13	  0.04	 130.85	  7.66	  0.22	  0.03	  0.40	  0.05	  0.31	  0.02	  0.60	  0.02	  0.08	  0.04	-22.46	  0.05	-23.26	  0.05	  5.10	  0.33	All	Sloan	DR7	228.48421	+04.45523
 90.9635	  187996	587729160054898879	0.1037	-1	  1.904	    49.184	 19.02	  0.04	 18.02	  0.03	 19.60	 18.58	      	  1.30	  1.30	   1.18	   1.18	  0.42	  0.05	  33.16	  3.88	  0.33	  0.02	  0.30	  0.02	  0.51	  0.01	  0.52	  0.02	  0.02	  0.02	-19.87	  0.04	-20.65	  0.03	  4.01	  0.65	All	Sloan	DR7	228.49722	+04.43288
 90.5159	  187997	587729160054898900	0.0828	-1	  1.558	   115.371	 17.11	  0.01	 16.89	  0.02	 19.74	 19.15	      	 10.61	 10.61	   6.79	   6.79	  0.71	  0.01	 155.33	  0.36	  1.46	  0.02	 -2.03	  0.02	  0.49	  0.03	  0.58	  0.07	  0.21	  0.18	-20.98	  0.01	-21.10	  0.02	  1.16	  0.04	All	Sloan	DR7	228.52861	+04.46026
100.2635	  187998	587729160054898907	0.1078	 2	  1.970	   193.309	 17.84	  0.02	 17.12	  0.02	 19.61	 18.87	 -0.09	  7.80	  7.80	   5.41	   5.41	  0.60	  0.01	 147.70	  0.57	  0.52	  0.02	  0.28	  0.03	  0.62	  0.02	  0.49	  0.03	  0.17	  0.16	-21.02	  0.02	-21.58	  0.02	  0.80	  0.04	All	Sloan	DR7	228.51941	+04.26798
 90.9313	  187999	587729160054898914	0.0987	-1	  1.823	   136.280	 17.92	  0.03	 17.10	  0.03	 19.95	 19.11	      	  7.42	  7.42	   6.10	   6.10	  0.35	  0.02	  59.98	  1.79	  0.33	  0.06	  0.33	  0.05	  0.38	  0.03	  0.56	  0.03	  0.11	  0.10	-20.75	  0.03	-21.39	  0.03	  1.05	  0.05	All	Sloan	DR7	228.53628	+04.45684
 90.5484	  188000	587729160054898917	0.0558	 2	  1.083	    64.145	 17.17	  0.01	 16.20	  0.01	 18.30	 17.28	  0.08	  2.94	  2.94	   2.00	   2.00	  0.71	  0.01	 102.15	  0.21	  0.32	  0.01	  0.28	  0.01	  0.36	  0.01	  0.45	  0.01	  0.08	  0.09	-20.17	  0.01	-20.97	  0.01	  6.48	  0.20	All	Sloan	DR7	228.53820	+04.46556
 94.9116	  188001	587729160054964453	0.0381	 2	  0.755	    23.952	 16.92	  0.01	 16.33	  0.01	 19.57	 18.97	 -0.05	  4.14	  4.14	   3.62	   3.62	  0.25	  0.01	  62.80	  0.83	  0.58	  0.02	  0.50	  0.01	  0.38	  0.02	  0.65	  0.02	  0.10	  0.09	-19.44	  0.01	-19.96	  0.01	  0.98	  0.03	All	Sloan	DR7	228.58822	+04.41104
 93.8738	  188002	587729160054964458	0.1062	 2	  1.944	   107.820	 18.28	  0.03	 17.50	  0.03	 19.22	 18.40	  0.03	  2.86	  2.86	   2.50	   2.50	  0.28	  0.02	  67.09	  3.05	  0.55	  0.03	  0.54	  0.03	  0.62	  0.02	  0.26	  0.02	  0.05	  0.03	-20.57	  0.03	-21.17	  0.03	  2.38	  0.22	All	Sloan	DR7	228.59356	+04.43507
103.3678	  188003	587729160054964474	0.0939	-1	  1.743	    41.520	 18.49	  0.05	 17.93	  0.06	 19.77	 19.16	      	  3.99	  3.99	   3.47	   3.47	  0.27	  0.03	  99.67	  4.02	  0.30	  0.05	  0.53	  0.04	  0.39	  0.04	  0.34	  0.04	  0.00	  0.05	-19.94	  0.05	-20.38	  0.06	  1.79	  0.23	All	Sloan	DR7	228.60701	+04.25739
100.2698	  188004	587729160054964493	0.0974	 2	  1.802	   135.600	 17.97	  0.04	 16.97	  0.04	 19.56	 18.51	  0.05	  6.94	  6.94	   5.57	   5.57	  0.40	  0.02	 135.01	  1.93	  0.28	  0.03	  0.18	  0.04	  0.58	  0.02	  0.35	  0.02	  0.05	  0.08	-20.75	  0.04	-21.52	  0.04	  3.23	  0.18	All	Sloan	DR7	228.61883	+04.32475
 95.6323	  188005	587729160054964499	0.0991	 2	  1.830	   511.942	 16.79	  0.01	 15.80	  0.00	 18.55	 17.52	  0.03	  8.21	  8.21	   8.08	   8.08	  0.04	  0.01	  71.97	  0.54	  0.26	  0.00	  0.48	  0.00	  0.39	  0.01	  0.20	  0.01	  0.03	  0.03	-22.00	  0.01	-22.74	  0.00	  4.83	  0.07	All	Sloan	DR7	228.63116	+04.42480
 98.4174	  188006	587729160054964519	0.0971	 2	  1.796	   107.428	 18.21	  0.04	 17.16	  0.04	 19.14	 18.08	  0.04	  2.93	  2.93	   2.30	   2.30	  0.49	  0.02	  87.68	  1.70	  0.47	  0.02	  0.38	  0.02	  0.33	  0.01	  0.53	  0.01	  0.02	  0.02	-20.53	  0.04	-21.33	  0.04	  5.01	  0.25	All	Sloan	DR7	228.63303	+04.37033
100.6465	  188007	587729160054964528	0.0404	 2	  0.798	    76.824	 16.50	  0.00	 15.50	  0.00	 18.36	 17.34	 -0.05	  3.95	  3.95	   2.72	   2.72	  0.62	  0.00	  55.41	  0.12	  0.42	  0.00	  0.34	  0.00	  0.43	  0.01	  0.61	  0.01	  0.13	  0.14	-20.05	  0.00	-20.94	  0.00	  1.64	  0.01	All	Sloan	DR7	228.64313	+04.33260
 96.4918	  188008	587729160054964572	0.0954	 2	  1.769	   238.950	 17.29	  0.02	 16.28	  0.02	 18.51	 17.49	  0.05	  5.21	  5.21	   4.00	   4.00	  0.51	  0.01	  29.75	  0.91	  0.51	  0.01	  0.40	  0.01	  0.59	  0.01	  0.50	  0.01	  0.04	  0.03	-21.39	  0.02	-22.17	  0.02	  7.13	  0.27	All	Sloan	DR7	228.69642	+04.45334
104.8138	  188009	587729160054964590	0.0989	 2	  1.826	   160.980	 17.75	  0.04	 16.76	  0.03	 19.17	 18.16	  0.04	  6.51	  6.51	   5.29	   5.29	  0.39	  0.02	 184.26	  1.65	  0.30	  0.02	  0.38	  0.03	  0.32	  0.01	  0.53	  0.02	  0.04	  0.05	-21.02	  0.04	-21.75	  0.03	  4.85	  0.19	All	Sloan	DR7	228.70058	+04.28701
101.7724	  188010	587729160054964596	0.0998	 2	  1.842	   131.201	 17.83	  0.04	 16.95	  0.03	 19.20	 18.31	  0.03	  6.59	  6.59	   5.02	   5.02	  0.49	  0.02	 147.71	  1.15	  0.38	  0.02	  0.46	  0.03	  0.31	  0.01	  0.59	  0.02	  0.07	  0.06	-20.92	  0.04	-21.59	  0.03	  4.90	  0.20	All	Sloan	DR7	228.70840	+04.35354
103.0731	  188011	587729160054964599	0.1028	 2	  1.890	   181.697	 17.75	  0.02	 16.96	  0.02	 18.62	 17.82	  0.03	  2.51	  2.51	   2.26	   2.26	  0.23	  0.01	  48.56	  2.56	  0.34	  0.02	  0.43	  0.02	  0.31	  0.01	  0.58	  0.01	  0.03	  0.02	-21.03	  0.02	-21.64	  0.02	  3.09	  0.14	All	Sloan	DR7	228.70707	+04.32629
100.3370	  188012	587729160054964605	0.0382	 2	  0.758	    50.787	 16.34	  0.01	 15.70	  0.00	 19.51	 18.85	 -0.10	  5.59	  5.59	   5.08	   5.08	  0.18	  0.01	  27.55	  0.33	  0.21	  0.01	  0.51	  0.01	  0.50	  0.04	  0.44	  0.04	  0.08	  0.06	-20.05	  0.01	-20.61	  0.00	  1.09	  0.02	All	Sloan	DR7	228.71749	+04.38931
104.9864	  188013	587729160054964621	0.0986	 2	  1.821	  1084.980	 16.24	  0.00	 15.22	  0.00	 18.33	 17.26	  0.05	 10.95	 10.95	  10.21	  10.21	  0.14	  0.01	  86.39	  0.49	  0.35	  0.00	  0.59	  0.01	  0.36	  0.01	  0.32	  0.01	  0.04	  0.04	-22.53	  0.00	-23.30	  0.00	  3.64	  0.03	All	Sloan	DR7	228.71585	+04.29370
105.9553	  188014	587729160054964717	0.2214	 2	  3.570	   739.212	 18.52	  0.06	 17.11	  0.07	 20.46	 19.01	  0.02	 24.68	 24.68	  24.65	  24.65	  0.02	  0.04	 164.74	 38.25	  0.50	  0.06	  0.54	  0.06	  0.27	  0.03	  0.34	  0.02	 -0.02	  0.04	-22.64	  0.06	-23.45	  0.07	  6.79	  0.45	All	Sloan	DR7	228.68471	+04.25411
 99.0784	  188015	587729160055029772	      	-2	       	          	      	      	      	      	      	      	      	      	      	 -99.99	 -99.99	      	      	 -99.99	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	All	Sloan	DR7	228.73884	+04.43120
103.0814	  188016	587729160055029819	0.1310	-1	  2.332	   179.900	 18.25	  0.04	 17.32	  0.04	 19.38	 18.41	      	  4.04	  4.04	   4.06	   4.06	  0.03	  0.04	  97.49	 15.42	  0.30	  0.03	  0.21	  0.03	  0.57	  0.02	  0.31	  0.02	  0.03	  0.02	-21.22	  0.04	-21.88	  0.04	  4.95	  0.48	All	Sloan	DR7	228.81158	+04.40316
104.7594	  188017	587729160055029840	0.1008	 2	  1.857	   776.509	 16.58	  0.00	 15.59	  0.01	 18.02	 17.02	  0.02	  7.55	  7.55	   5.02	   5.02	  0.67	  0.00	  69.06	  0.23	  0.30	  0.01	  0.41	  0.01	  0.26	  0.01	  0.54	  0.01	  0.07	  0.07	-22.25	  0.00	-22.99	  0.01	  3.31	  0.04	All	Sloan	DR7	228.83317	+04.38458
105.1482	  188018	587729160055029846	0.0656	-1	  1.259	    16.790	 18.27	  0.04	 17.41	  0.04	 19.79	 18.91	      	  5.34	  5.34	   4.29	   4.29	  0.41	  0.03	  63.52	  2.57	  0.24	  0.04	  0.38	  0.04	  0.23	  0.03	  0.52	  0.02	  0.11	  0.09	-19.39	  0.04	-20.12	  0.04	  5.44	  0.27	All	Sloan	DR7	228.83834	+04.38041
103.9978	  188019	587729160055029851	0.0979	-1	  1.811	    48.072	 18.91	  0.04	 17.92	  0.03	 19.72	 18.72	      	  2.91	  2.91	   1.96	   1.96	  0.67	  0.02	 163.77	  1.08	  0.34	  0.03	  0.46	  0.03	  0.58	  0.01	  0.57	  0.02	  0.04	  0.03	-19.83	  0.04	-20.58	  0.03	  2.14	  0.24	All	Sloan	DR7	228.85529	+04.41916
 98.9182	  188020	587729160055029906	0.0992	-1	  1.831	    50.684	 18.87	  0.04	 17.88	  0.04	 19.52	 18.50	      	  1.49	  1.49	   1.28	   1.28	  0.39	  0.03	  50.46	  4.22	  0.50	  0.02	  0.37	  0.03	  0.28	  0.02	  0.50	  0.02	  0.02	  0.01	-19.91	  0.04	-20.66	  0.04	  4.06	  0.59	All	Sloan	DR7	228.74184	+04.43684
105.4291	  188021	587729160055029910	0.1012	 2	  1.864	   263.506	 17.11	  0.02	 16.13	  0.01	 18.53	 17.51	  0.04	  6.98	  6.98	   6.17	   6.17	  0.29	  0.01	  41.14	  1.75	  0.48	  0.01	  0.52	  0.01	  0.50	  0.01	  0.29	  0.01	  0.04	  0.04	-21.70	  0.02	-22.45	  0.01	  8.00	  0.06	All	Sloan	DR7	228.74306	+04.30334
105.4859	  188022	587729160055029911	0.0944	-1	  1.753	    48.376	 18.55	  0.06	 17.65	  0.06	 19.53	 18.60	      	  2.78	  2.78	   2.35	   2.35	  0.34	  0.03	 107.20	  3.48	  0.63	  0.03	  0.49	  0.03	  0.66	  0.02	  0.25	  0.02	      	      	-20.05	  0.06	-20.78	  0.06	  2.82	  0.44	All	Sloan	DR7	228.74300	+04.30215
104.6297	  188023	587729160055029915	0.0559	 2	  1.085	    39.195	 17.55	  0.02	 16.81	  0.02	 19.70	 18.94	 -0.06	  7.81	  7.81	   4.55	   4.55	  0.85	  0.00	  65.20	  0.21	  0.16	  0.03	  0.35	  0.03	  0.42	  0.09	  0.57	  0.05	  0.09	  0.09	-19.70	  0.02	-20.36	  0.02	  0.95	  0.05	All	Sloan	DR7	228.74437	+04.32054
101.5972	  188024	587729160055029935	0.0951	 2	  1.764	   130.268	 17.67	  0.04	 16.70	  0.04	 19.23	 18.19	  0.06	  7.76	  7.76	   7.06	   7.06	  0.21	  0.02	 111.52	  4.47	  0.23	  0.02	  0.26	  0.02	  0.53	  0.01	  0.42	  0.01	  0.05	  0.02	-21.01	  0.04	-21.74	  0.04	  7.39	  0.42	All	Sloan	DR7	228.76211	+04.39610
100.5370	  188025	587729160055029953	0.1082	-1	  1.977	    60.673	 18.89	  0.04	 17.98	  0.03	 19.91	 18.91	      	  3.87	  3.87	   2.77	   2.77	  0.58	  0.02	 124.59	  1.65	  0.59	  0.05	  0.54	  0.05	  0.41	  0.02	  0.30	  0.03	  0.01	  0.02	-20.09	  0.04	-20.76	  0.03	  2.07	  0.20	All	Sloan	DR7	228.76674	+04.42192
100.5188	  188026	587729160055029958	0.0919	 2	  1.710	    79.081	 18.15	  0.03	 17.19	  0.04	 19.19	 18.16	  0.04	  2.90	  2.90	   2.55	   2.55	  0.29	  0.02	  59.10	  3.22	  0.57	  0.02	  0.34	  0.02	  0.40	  0.01	  0.48	  0.01	  0.02	  0.03	-20.43	  0.03	-21.16	  0.04	  5.32	  0.31	All	Sloan	DR7	228.77285	+04.42707
107.9164	  188027	587729160055029973	0.0990	 2	  1.827	   404.269	 17.11	  0.00	 16.27	  0.01	 18.67	 17.77	  0.02	  7.24	  7.24	   4.61	   4.61	  0.72	  0.00	 177.05	  0.09	  0.29	  0.00	  0.16	  0.01	  0.40	  0.01	  0.37	  0.03	  0.09	  0.11	-21.60	  0.00	-22.24	  0.01	  1.25	  0.03	All	Sloan	DR7	228.77267	+04.27341
104.5354	  188028	587729160055029974	0.0978	-1	  1.807	   101.899	 18.19	  0.03	 17.25	  0.03	 19.15	 18.13	      	  2.90	  2.90	   2.32	   2.32	  0.45	  0.02	  93.28	  1.60	  0.43	  0.02	  0.25	  0.01	  0.44	  0.01	  0.43	  0.01	  0.01	  0.02	-20.52	  0.03	-21.24	  0.03	  4.71	  0.32	All	Sloan	DR7	228.77755	+04.34643
102.3961	  188029	587729160055029976	0.0956	-1	  1.772	   115.147	 18.03	  0.02	 17.03	  0.02	 19.13	 18.11	      	  3.52	  3.52	   3.06	   3.06	  0.28	  0.02	  68.80	  3.20	  0.38	  0.02	  0.38	  0.02	  0.31	  0.02	  0.55	  0.01	  0.04	  0.04	-20.66	  0.02	-21.42	  0.02	  4.45	  0.17	All	Sloan	DR7	228.78067	+04.39349
101.9831	  188030	587729160055029982	0.0923	 2	  1.717	    52.807	 18.20	  0.03	 17.76	  0.03	 19.49	 19.00	  0.07	  4.79	  4.79	   3.42	   3.42	  0.57	  0.01	  51.40	  1.11	  0.39	  0.04	  0.25	  0.04	  0.35	  0.04	  0.41	  0.04	  0.06	  0.04	-20.23	  0.03	-20.54	  0.03	  1.61	  0.11	All	Sloan	DR7	228.78291	+04.40393
