#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:17:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:17:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/514/497/tablea1&-out=**&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75140497
#Name: J/MNRAS/514/497
#Title: HST/MUSE study of galaxies in Abell 370 (Lagattuta+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/mnras/514/497	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/514/497	    IVOID of underlying data collection
#INFO	creator=Lagattuta D.J.	    First author or institution
#INFO	cites=bibcode:2022MNRAS.514..497L	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/514/497	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bg-g2-fh	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_514_497_tablea1:
#Name: J/MNRAS/514/497/tablea1
#Title: The Abell 370 Pilot-WINGS master data catalogue containing spectroscopic/photometric and spatial informations
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(I5)	Numerical identifier from SExtractor for each galaxy (iden) (1)	[ucd=meta.id;meta.main]
#Column	IDfrom	(A7)	An indication of how the object was detected (idfrom) (2)	[ucd=src.class]
#Column	Field	(A4)	The data set containing the galaxy (Field) (3)	[ucd=src.class.starGalaxy]
#Column	RAJ2000	(F11.8)	Right Ascension aligned to Gaia DR2 world coordinate system (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.8)	Declination aligned to Gaia DR2 world coordinate system (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.5)	The measured redshift of each galaxy (z)	[ucd=src.redshift]
#Column	q_z	(I1)	An assessment of the reliability of the redshift measurement from low q_z = 1 to high q_z = 3 (zconf) (4)	[ucd=meta.code.qual;src.redshift]
#Column	F435Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F435W-band (F435W) (5)	[ucd=phot.mag;em.opt.B]
#Column	e_F435Wmag	(D16.9)	[]? The measured uncertainty of F435Wmag (F435W_err)	[ucd=stat.error]
#Column	F606Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F606W-band (F606W) (5)	[ucd=phot.mag;em.opt.R]
#Column	e_F606Wmag	(D16.9)	[]? The measured uncertainty of F606Wmag (F606W_err)	[ucd=stat.error]
#Column	F814Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F814W-band (F814W) (5)	[ucd=phot.mag;em.opt.I]
#Column	e_F814Wmag	(D16.9)	[]? The measured uncertainty of F814Wmag (F814W_err)	[ucd=stat.error]
#Column	F105Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F105W-band (F105W) (5)	[ucd=phot.mag;em.IR.J]
#Column	e_F105Wmag	(D16.9)	[]? The measured uncertainty of F105Wmag (F105W_err)	[ucd=stat.error]
#Column	F125Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F125W-band (F125W) (5)	[ucd=phot.mag;em.IR.J]
#Column	e_F125Wmag	(D16.9)	[]? The measured uncertainty of F125Wmag (F125W_err)	[ucd=stat.error]
#Column	F140Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F140W-band (F140W) (5)	[ucd=phot.mag;em.IR.J]
#Column	e_F140Wmag	(D16.9)	[]? The measured uncertainty of F140Wmag (F140W_err)	[ucd=stat.error]
#Column	F160Wmag	(F10.6)	? The measured apparent AB magnitude in the given HST F60W-band (F160W) (5)	[ucd=phot.mag;em.IR.H]
#Column	e_F160Wmag	(D16.9)	[]? The measured uncertainty of F160Wmag (F160W_err)	[ucd=stat.error]
#Column	MULID	(a9)	If the object is part of a multiply-imaged system it gives a unique identifier for each image (MUL) (6)	[ucd=meta.id.assoc]
recno	ID	IDfrom	Field	RAJ2000	DEJ2000	z	q_z	F435Wmag	e_F435Wmag	F606Wmag	e_F606Wmag	F814Wmag	e_F814Wmag	F105Wmag	e_F105Wmag	F125Wmag	e_F125Wmag	F140Wmag	e_F140Wmag	F160Wmag	e_F160Wmag	MULID
     208	  316	PRIOR  	P01 	40.00472080	-1.56711520	0.65600	1	          	 1.085700000e+00	 26.589506	 5.702619000e-01	 25.968369	 7.098759000e-01	 26.417542	 2.394706500e+00	 26.225040	 1.204250500e+00	 57.474170	 2.441894500e+22	 26.374502	 9.697721000e-01	
     209	  316	PRIOR  	P05 	39.99408870	-1.57108390	0.41200	1	 26.834074	 1.993795300e-01	 25.256370	 8.535488000e-02	 24.468882	 6.808406000e-02	 24.167060	 8.260234000e-01	 24.132130	 4.609079400e-01	 23.965510	 4.586177000e+09	 23.898474	 4.725763800e-01	
     210	  319	PRIOR  	P01 	40.00282710	-1.56729000	0.57086	2	          	 1.085700000e+00	 25.257998	 2.854572200e-01	 24.542948	 3.282918000e-01	 24.390276	 5.721841000e-01	 24.404913	 3.213960200e-01	          	 1.085700000e+00	 24.300339	 3.838343600e-01	
     211	  319	PRIOR  	P02 	39.98597630	-1.56637700	4.16380	3	 31.094315	 2.472924200e+00	 26.098804	 9.175490600e-02	 25.521944	 8.007837000e-02	 25.630508	 1.760451500e-01	 25.672012	 1.781508200e-01	 25.655582	 2.415242000e-01	 25.768524	 1.177728400e-01	
     212	  320	PRIOR  	P01 	39.99761058	-1.56737577	1.08433	2	          	                	 24.359423	 8.439318000e-03	 23.834831	 8.659850000e-03	 23.199863	 3.579562300e-03	 22.994900	 3.071036400e-03	          	                	 22.750969	 3.186459400e-03	
     213	  323	PRIOR  	P01 	40.00109610	-1.56774670	0.00000	3	 37.596313	 1.007545370e+15	 22.819140	 7.097663000e-02	 21.719913	 5.352316000e-02	 21.375010	 8.495823000e-02	 21.291344	 2.946787500e-02	 43.885418	 1.440146770e+17	 21.255026	 1.159451160e-01	
     214	  326	PRIOR  	P09 	39.97879330	-1.60134490	0.72100	1	 23.973747	 2.963460000e-02	 23.866928	 3.934080000e-02	 23.673786	 4.117901600e-02	 23.181490	 4.776687000e-01	 23.062340	 2.013062400e-01	 35.305680	 8.205242300e+13	 22.931677	 1.311819700e-01	
     215	  327	PRIOR  	P04 	39.96209140	-1.54930290	2.85149	1	 36.795086	 3.577796340e+14	 25.383497	 1.937992400e-01	 25.355320	 1.777995400e-01	 25.444065	 1.132417000e+00	 25.346000	 6.662515400e-01	 32.833664	 4.060206860e+12	 25.165785	 5.545175700e-01	
     216	  331	PRIOR  	P01 	39.99706978	-1.56834851	0.42000	3	          	                	 23.590475	 6.534127500e-03	 22.877113	 5.634857000e-03	 22.142862	 2.125638500e-03	 21.846926	 1.677086600e-03	          	                	 21.749401	 1.991319000e-03	
     217	  331	PRIOR  	P04 	39.96519370	-1.54906750	0.71491	3	 25.195528	 6.457289000e-02	 25.009893	 7.198096000e-02	 24.456440	 5.450099300e-02	 24.407686	 7.322346600e-01	 24.252230	 3.498536600e-01	 24.228268	 3.799372600e-01	 24.233204	 5.049197000e-01	
     218	  332	PRIOR  	P01 	40.00394340	-1.56807840	0.71771	3	 40.829514	 4.136046200e+16	 24.116499	 3.134919700e-01	 23.234460	 3.111147600e-01	 23.063015	 5.319046000e-01	 22.880950	 2.256675400e-01	          	 1.085700000e+00	 22.764458	 3.993443000e-01	
     219	  337	PRIOR  	P04 	39.96087560	-1.54919720	0.81640	2	          	 1.085700000e+00	 27.045305	 6.864638300e-01	 25.875628	 3.851606200e-01	 26.020102	 2.221670400e+00	 26.006170	 1.761400000e+00	 36.554080	 1.995537770e+14	 26.372305	 9.840225000e-01	
     220	  339	PRIOR  	P01 	40.00666270	-1.56814990	0.47400	3	          	 1.085700000e+00	 23.949820	 2.186051200e-01	 23.554714	 2.996435500e-01	 23.526386	 6.476973000e-01	 23.437801	 2.770464000e-01	 50.055443	 6.720358000e+19	 23.343493	 4.371691300e-01	
     221	  341	PRIOR  	P04 	39.96777040	-1.54843300	0.39900	1	 25.952942	 1.172813250e-01	 24.534893	 5.655820300e-02	 23.650455	 3.713422000e-02	 23.375520	 5.323170400e-01	 23.201280	 2.193014000e-01	 23.043362	 2.836968000e-01	 23.012644	 4.171675700e-01	
     222	  341	PRIOR  	P05 	39.99288870	-1.57395670	0.23094	3	 23.175531	 4.225852700e-02	 22.362879	 3.534543000e-02	 22.022787	 3.447538200e-02	 21.996109	 4.732320600e-01	 21.838526	 1.862068800e-01	 22.277065	 1.612032200e+10	 21.814657	 3.329205500e-01	
     223	  342	PRIOR  	P01 	40.00041550	-1.56815530	0.26063	3	          	 1.085700000e+00	 24.071999	 1.346166900e-01	 23.625036	 1.898523300e-01	 23.497390	 3.928591600e-01	 23.378716	 1.722442200e-01	 42.199430	 2.965122160e+16	 23.268538	 2.983397000e-01	
     224	  342	PRIOR  	P07 	39.98696050	-1.58703630	1.90000	1	 24.798819	 4.523578000e-02	 24.806570	 6.103968600e-02	 24.863610	 8.031321000e-02	 24.807737	 1.083541000e+00	 24.567291	 6.401621000e-01	 24.555988	 1.403972300e+00	 24.365658	 2.153191300e-01	
     225	  344	PRIOR  	P01 	40.00314780	-1.56841380	1.10158	3	 39.506040	 9.127964100e+15	 23.134422	 1.374906700e-01	 22.554962	 1.585572200e-01	 22.171577	 2.309025000e-01	 22.005436	 8.378008000e-02	          	 1.085700000e+00	 21.914173	 2.413095200e-01	
     226	  345	PRIOR  	P03 	39.97891620	-1.55720730	0.43130	1	 24.605589	 4.605096000e-02	 24.264566	 5.024616800e-02	 24.070380	 5.313257500e-02	 23.817232	 7.752291000e-01	 23.385834	 2.672729200e-01	 23.230532	 3.358635300e-01	 23.122738	 2.709158700e-01	
     227	  346	PRIOR  	P01 	40.00472560	-1.56824840	0.57050	1	          	 1.085700000e+00	 26.031490	 6.086731600e-01	 25.391024	 7.517002000e-01	 25.118734	 1.264377700e+00	 25.063807	 6.999638000e-01	          	 1.085700000e+00	 24.837769	 7.007952000e-01	
     228	  346	PRIOR  	P09 	39.97357320	-1.60193110	0.36021	3	 25.869326	 6.916211000e-02	 25.063980	 5.343882400e-02	 24.802147	 5.572844700e-02	 24.592928	 8.266086000e-01	 24.685900	 4.846391700e-01	          	 1.085700000e+00	 24.590813	 1.888385600e-01	
     229	  351	PRIOR  	P04 	39.96010870	-1.54852840	0.96210	3	 39.296032	 5.293421000e+15	 24.707972	 1.845719000e-01	 23.922213	 2.036734200e-01	 23.658005	 4.582296300e-01	 23.540680	 2.118707600e-01	 35.970100	 1.078612670e+14	 23.539060	 3.656558400e-01	
     230	  352	PRIOR  	P04 	39.95894240	-1.54867710	0.51083	1	 37.895350	 1.567362150e+15	 24.919487	 2.236217300e-01	 24.064201	 2.387726300e-01	 23.747553	 5.207712000e-01	 23.529440	 2.271833100e-01	          	 1.085700000e+00	 23.383080	 3.478086600e-01	
     231	  353	PRIOR  	P08 	39.95157240	-1.57519010	0.37000	1	 26.296764	 1.880302300e-01	 24.905344	 8.550981000e-02	 24.054962	 5.954390000e-02	 23.860191	 1.523992700e-01	 23.752184	 1.136688600e-01	 23.657465	 2.406591500e-01	 23.671148	 1.296806500e-01	
     232	  357	PRIOR  	P04 	39.95908540	-1.54780940	0.81242	3	          	 1.085700000e+00	 24.374916	 1.955294300e-01	 23.544600	 2.076929400e-01	 23.464602	 5.323133500e-01	 23.399950	 2.572342500e-01	          	 1.085700000e+00	 23.385271	 4.356421500e-01	
     233	  358	PRIOR  	P01 	40.00342830	-1.56891750	1.03456	2	 38.086800	 4.132010600e+15	 24.524288	 5.455428400e-01	 22.557549	 2.530313000e-01	 21.535055	 2.332524500e-01	 21.184818	 6.854844000e-02	          	 1.085700000e+00	 20.815292	 2.116272000e-01	
     234	  358	PRIOR  	P02 	39.98412530	-1.56527350	0.38226	1	 26.095703	 1.500157700e-01	 24.515055	 6.706332000e-02	 23.650927	 4.555911200e-02	 23.311174	 6.863064000e-02	 23.111385	 4.343766000e-02	 22.999260	 1.057052100e-01	 22.967594	 5.976637500e-02	
     235	  358	PRIOR  	P05 	39.99395090	-1.57634630	4.18491	2	 29.603971	 1.050554400e+00	 25.341124	 6.743255000e-02	 24.592897	 5.463635000e-02	 24.598684	 9.096443700e-01	 24.670195	 5.377611500e-01	          	 1.085700000e+00	 24.622084	 3.574420000e-01	
     236	  359	PRIOR  	P06 	39.95936440	-1.56155000	0.33700	1	 25.625840	 1.207254400e-01	 24.065079	 5.076604000e-02	 23.115310	 3.090363600e-02	 22.790705	 6.149456300e-02	 22.612339	 3.706223500e-02	 22.476015	 9.813650000e-02	 22.421505	 6.045293800e-02	
     237	  365	PRIOR  	P09 	39.97945070	-1.60237610	1.60824	2	 24.308247	 3.391722600e-02	 24.086674	 4.064792000e-02	 23.926460	 4.402980200e-02	 23.639200	 5.936501600e-01	 23.127522	 1.908238500e-01	 37.038563	 3.631295530e+14	 23.738247	 1.791468300e-01	
     238	  368	PRIOR  	P04 	39.96683710	-1.54876190	0.81226	2	 27.278727	 1.348649400e-01	 27.259455	 1.572888300e-01	 26.419395	 1.158050150e-01	 26.442448	 2.233749000e+00	 26.266540	 1.323236100e+00	 26.088848	 7.650372400e-01	 27.260452	 1.634353000e+00	
     239	  369	PRIOR  	P05 	39.99294250	-1.57747220	1.26155	3	 24.301980	 5.624737200e-02	 23.885088	 5.814622000e-02	 23.105190	 4.320646000e-02	 22.328712	 4.593902800e-01	 22.100489	 1.599152500e-01	          	 1.085700000e+00	 21.722076	 1.854347000e-01	
     240	  370	PRIOR  	P09 	39.98054790	-1.60271940	0.37425	3	 24.069952	 7.712228600e-02	 22.294409	 3.334666400e-02	 21.306786	 1.942653400e-02	 20.941542	 2.086518100e-01	 20.729513	 6.210121000e-02	          	 1.085700000e+00	 20.496983	 8.346967000e-02	
     241	  371	PRIOR  	P01 	40.01096940	-1.56926760	4.21607	3	          	 1.085700000e+00	 26.993624	 8.562448000e-01	 26.524845	 1.326248300e+00	 26.502382	 2.771190400e+00	 26.558115	 2.164640200e+00	          	 1.085700000e+00	 26.425724	 1.062100200e+00	
     242	  372	PRIOR  	P01 	40.00873280	-1.56941580	1.05783	3	 48.187916	 1.626019900e+19	 24.524630	 2.095070800e-01	 23.676070	 2.190876200e-01	 23.274172	 3.062397500e-01	 23.098671	 1.237756200e-01	          	 1.085700000e+00	 23.013084	 2.530404300e-01	
     243	  373	PRIOR  	P01 	40.00616720	-1.56936860	5.39800	2	          	 1.085700000e+00	 26.328964	 5.542954000e-01	 26.072784	 8.801223000e-01	 26.006027	 1.759443000e+00	 25.975012	 1.137002500e+00	 60.230915	 3.731892700e+23	 25.876446	 8.432902000e-01	
     244	  374	PRIOR  	P01 	40.01108840	-1.56946320	2.01920	1	          	 1.085700000e+00	 25.970583	 2.648969000e-01	 25.578821	 4.158739100e-01	 25.489471	 7.962329400e-01	 25.457659	 4.863585000e-01	 58.338184	 4.308456000e+22	 25.428337	 4.306886500e-01	
     245	  375	PRIOR  	P01 	40.00704200	-1.56802480	0.36070	3	          	 1.085700000e+00	 24.495106	 2.806365000e-01	 23.868470	 3.382902700e-01	 23.820192	 6.622158000e-01	 23.787186	 3.508580600e-01	 50.232800	 7.690837000e+19	 23.689430	 4.443446700e-01	
     246	  378	PRIOR  	P05 	39.99707310	-1.57717220	0.68189	3	 25.721117	 1.303654800e-01	 25.166830	 1.109162400e-01	 24.421375	 9.299533000e-02	 24.438984	 1.238685100e+00	 24.228905	 5.512599300e-01	 40.987150	 1.451562580e+16	 24.117128	 3.967837400e-01	
     247	  378	PRIOR  	P08 	39.94073190	-1.57508790	2.94300	2	 28.618010	 3.632461700e-01	 27.839844	 2.302244300e-01	 28.284782	 4.285383200e-01	 27.663197	 5.203186000e+00	 28.041311	 6.157532000e+00	          	 1.085700000e+00	 28.225500	 2.412642700e+00	
     248	  382	PRIOR  	P09 	39.97459860	-1.60294780	0.94890	3	 23.892780	 4.889444600e-02	 23.713110	 6.130379000e-02	 23.041730	 4.513425400e-02	 22.931547	 5.561152000e-01	 22.840132	 2.301973000e-01	          	 1.085700000e+00	 22.820710	 1.709052800e-01	
     249	  383	PRIOR  	P05 	39.99014880	-1.57730110	0.36859	1	 26.152187	 1.564428400e-01	 24.375551	 6.093742700e-02	 23.473553	 4.023830200e-02	 23.120394	 4.207732000e-01	 22.900715	 2.040831300e-01	 22.954525	 7.216017000e-01	 22.769169	 1.909483200e-01	
     250	  384	PRIOR  	P05 	39.99774270	-1.57788220	3.03000	1	 24.637222	 5.871262000e-02	 24.541405	 7.268438500e-02	 24.348328	 8.605770000e-02	 24.250471	 8.995004000e-01	 23.970385	 3.811232100e-01	          	 1.085700000e+00	 23.721914	 3.289480000e-01	
     251	  385	PRIOR  	P10 	39.96136720	-1.59342060	0.38321	3	 23.172543	 4.710983500e-02	 21.165855	 1.764419100e-02	 20.177284	 9.713833000e-03	 19.698317	 1.591787100e-02	 19.412926	 5.807396500e-03	 19.242737	 4.168233000e-02	 19.136627	 2.539914100e-02	
     252	  386	PRIOR  	P04 	39.96216580	-1.54837340	0.63184	3	          	 1.085700000e+00	 27.329927	 4.869348700e-01	 26.389774	 3.320383000e-01	 26.850850	 2.224315400e+00	 26.780470	 1.689456600e+00	          	 1.085700000e+00	 26.469734	 6.697987300e-01	
     253	  387	PRIOR  	P06 	39.95462700	-1.56181800	0.80011	3	 26.026796	 8.900630500e-02	 25.543509	 7.556065000e-02	 24.757235	 5.545368000e-02	 24.616762	 8.529268000e-01	 24.632833	 4.707545000e-01	          	 1.085700000e+00	 24.561413	 5.998390000e-01	
     254	  387	PRIOR  	P09 	39.98215850	-1.60297580	0.37300	1	          	 9.190929100e+12	 25.001486	 4.346377800e-01	 24.237139	 4.671435000e-01	 23.831130	 7.410679000e-01	 23.750164	 3.667850800e-01	 39.399610	 3.661932070e+15	 23.607498	 1.653346600e-01	
     255	  391	PRIOR  	P03 	39.97341480	-1.55550120	0.37363	3	 22.485500	 2.500000000e-03	 20.741700	 5.000000000e-04	 19.827400	 1.000000000e-04	 19.390900	 1.300000000e-03	 19.134700	 9.000000000e-04	 18.993700	 5.000000000e-04	 18.867800	 9.000000000e-04	
     256	  392	PRIOR  	P03 	39.97700140	-1.55645040	0.37268	1	 25.235730	 8.219651000e-02	 24.383902	 6.161832000e-02	 23.861858	 5.178011600e-02	 23.854595	 9.232938000e-01	 23.851294	 4.574559600e-01	 23.738499	 5.000412000e-01	 23.728601	 5.300096000e-01	
     257	  393	PRIOR  	P10 	39.95568340	-1.59389690	0.32476	3	 21.435873	 1.383835600e-02	 20.701471	 1.303479700e-02	 20.271360	 1.056577200e-02	 20.066095	 1.453328000e-01	 19.879232	 4.046560500e-02	          	 1.085700000e+00	 19.725280	 7.667399000e-02	
     258	  395	PRIOR  	P01 	40.01153450	-1.57040820	0.95865	3	          	 1.085700000e+00	 26.350048	 3.196698700e-01	 25.746506	 4.215511000e-01	 25.582380	 1.188680600e+00	 25.592268	 7.229492000e-01	 64.535126	 1.194901800e+25	 25.559986	 7.555445000e-01	
     259	  396	PRIOR  	P06 	39.96022050	-1.56044060	0.25100	1	 25.575872	 1.991860300e-01	 24.011976	 8.457667400e-02	 23.145529	 5.410212300e-02	 22.744781	 8.422781000e-02	 22.661360	 5.483275000e-02	 22.518572	 1.444830600e-01	 22.451456	 8.657025500e-02	
     260	  398	PRIOR  	P01 	40.01172440	-1.57063170	0.41900	3	          	 1.085700000e+00	 21.895150	 1.168001600e-01	 21.352303	 1.389783900e-01	 21.255144	 4.067591940e+09	 21.206335	 1.758759810e+09	 54.558440	 8.678210000e+21	 21.009323	 5.690875900e+09	
     261	  398	PRIOR  	P05 	39.99465260	-1.57795800	1.36449	2	 25.128807	 8.516117000e-02	 24.780615	 8.928274000e-02	 24.126106	 7.544484000e-02	 23.362570	 7.039800000e-01	 23.150932	 2.862970500e-01	 41.102720	 2.255134640e+16	 22.759928	 2.642038000e-01	
     262	  399	PRIOR  	P03 	39.97763480	-1.55674510	0.37340	3	 24.554375	 4.617796500e-02	 24.023827	 4.406170500e-02	 23.936830	 4.968949800e-02	 24.038430	 9.448016000e-01	 24.039091	 4.816374000e-01	 24.112392	 5.784298000e-01	 23.957480	 4.679341000e-01	
     263	  400	PRIOR  	P01 	40.00616640	-1.57051310	0.00000	2	          	 1.085700000e+00	 23.679066	 1.153735100e-01	 22.606256	 9.544697000e-02	 22.248137	 1.518593400e-01	 22.109722	 5.435846700e-02	 49.693783	 2.625092000e+19	 22.056728	 1.719104800e-01	
     264	  400	PRIOR  	P06 	39.95350910	-1.56048360	0.32652	3	 23.030132	 2.800858000e-02	 21.908962	 1.750109300e-02	 21.366812	 1.361275600e-02	 21.150301	 1.864956900e-01	 20.973920	 5.768756000e-02	 33.652620	 3.029386820e+13	 20.829044	 2.384708100e-01	
     265	  400	PRIOR  	P07 	39.98639980	-1.58855530	0.37666	3	 25.144430	 1.102907500e-01	 23.417208	 4.634389700e-02	 22.568182	 3.080294000e-02	 22.242609	 3.307019800e-01	 22.040910	 1.466727100e-01	 22.001545	 5.882079000e-01	 21.841423	 1.153908150e-01	
     266	  404	PRIOR  	P04 	39.96525510	-1.54736610	0.37900	1	          	 1.085700000e+00	 24.422113	 1.370736200e-01	 23.469940	 7.232516000e-02	 23.152750	 3.408874000e-01	 22.943893	 1.344004300e-01	 22.815159	 1.956087800e-01	 22.777407	 2.796366200e-01	
     267	  407	PRIOR  	P04 	39.96357580	-1.54602820	0.37393	3	          	 1.085700000e+00	 20.976467	 3.920204200e-02	 20.567650	 4.890304400e-02	 20.454996	 1.308260400e-01	 20.331360	 3.979170000e-02	 31.488665	 7.486549500e+12	 20.188313	 2.058789700e-01	
     268	  407	PRIOR  	P06 	39.94951570	-1.56113520	0.17340	3	 23.667170	 3.837032600e-02	 23.055931	 3.247570200e-02	 22.756432	 3.070861500e-02	 22.734125	 5.061278000e-01	 22.725935	 2.156127500e-01	 38.524260	 2.262290270e+15	 22.744255	 5.543994300e-01	
     269	  411	PRIOR  	P01 	40.00447100	-1.57153760	0.13300	1	 45.333600	 1.499409370e+18	 24.689371	 2.572923600e-01	 24.297940	 3.776597700e-01	 24.202171	 7.140626000e-01	 24.214434	 4.000882200e-01	          	 1.085700000e+00	 24.139300	 4.764552700e-01	
     270	  416	PRIOR  	P04 	39.96473460	-1.54729610	0.63199	3	 33.964820	 5.639829300e+13	 22.771294	 6.478960000e-02	 22.217554	 4.251745000e-02	 22.104870	 2.260184900e-01	 22.091263	 9.110743600e-02	 21.977016	 1.688727300e-01	 21.949215	 2.623223700e-01	
     271	  418	PRIOR  	P05 	39.98982950	-1.57848160	0.36956	3	 23.373701	 5.680474300e-02	 21.297754	 2.036337200e-02	 20.303034	 1.139718400e-02	 19.842842	 9.967192000e-02	 19.554613	 3.029627200e-02	 19.447294	 2.379271800e-01	 19.281536	 8.551480000e-02	
     272	  419	PRIOR  	P06 	39.95301390	-1.56082580	0.39675	3	 23.880700	 6.200000000e-03	 22.712300	 2.100000000e-03	 22.110000	 8.000000000e-04	 21.848700	 7.200000000e-03	 21.657100	 5.500000000e-03	-99.000000	 0.000000000e+00	 21.488800	 6.000000000e-03	
     273	  420	PRIOR  	P02 	39.98574660	-1.56449210	0.58137	3	 25.368650	 6.916567000e-02	 24.552242	 5.329464400e-02	 23.771105	 3.854141800e-02	 23.659307	 6.978484000e-02	 23.640368	 5.221401000e-02	 23.534025	 1.162469760e-01	 23.497620	 6.182115500e-02	
     274	  420	PRIOR  	P10 	39.95600801	-1.59400698	1.03355	3	          	                	 25.176610	 4.294863400e-03	 24.207867	 2.927461000e-03	 23.676613	 1.331363900e-03	 23.340963	 1.012691300e-03	          	                	 23.098665	 1.052333900e-03	
     275	  422	PRIOR  	P02 	39.99312120	-1.56467100	0.79958	3	 26.352488	 1.111518800e-01	 25.899332	 1.062999740e-01	 25.110382	 8.497106000e-02	 24.851357	 1.158520500e+00	 24.832361	 6.437508500e-01	          	 1.085700000e+00	 24.771780	 7.423193500e-01	
     276	  422	PRIOR  	P03 	39.97498160	-1.55621180	0.91257	1	 25.966534	 1.324897400e-01	 24.326689	 5.706666800e-02	 23.467705	 3.749885400e-02	 23.154203	 5.323915500e-01	 23.018003	 2.168756100e-01	 22.916170	 3.029567000e-01	 22.830480	 4.091379600e-01	
     277	  428	PRIOR  	P04 	39.96459060	-1.54701720	0.00000	3	 35.418884	 1.427554520e+14	 23.394176	 6.758003000e-02	 21.966005	 2.515420700e-02	 21.469412	 9.652913000e-02	 21.339573	 3.274382000e-02	 21.376556	 8.191437000e-02	 21.243505	 1.258001300e-01	
     278	  429	PRIOR  	P04 	39.95576650	-1.54702020	0.21800	1	 41.405610	 2.962281890e+16	 25.804280	 4.063016800e-01	 25.118685	 5.103214000e-01	 25.023240	 9.480462000e-01	 24.951897	 5.500418000e-01	 39.264454	 1.797481390e+15	 24.771715	 4.617567700e-01	
     279	  429	PRIOR  	P05 	40.00355000	-1.57850590	3.64500	1	 40.906075	 2.248438570e+16	 25.737335	 4.495694000e-01	 24.725708	 4.408643800e-01	 24.717888	 9.184100000e-01	 24.476870	 4.534720000e-01	 52.590412	 4.625058500e+20	 24.261738	 4.391070000e-01	
     280	  430	PRIOR  	P06 	39.94639850	-1.56065030	0.38579	3	 24.194347	 6.368488000e-02	 22.544750	 2.646970200e-02	 21.716873	 1.694469500e-02	 21.414276	 2.227903200e-01	 21.226680	 7.023262000e-02	          	 1.085700000e+00	 21.028612	 2.665780200e-01	
     281	  430	PRIOR  	P09 	39.97130859	-1.60432211	4.25814	2	          	                	 25.904340	 9.521636000e-03	 25.492088	 1.083553600e-02	 25.575207	 8.677703000e-03	 25.386738	 7.558888000e-03	          	                	 25.418982	 1.011465400e-02	
     282	  430	PRIOR  	P10 	39.96187200	-1.59539710	0.73500	3	 22.513700	 1.310000000e-02	 21.181500	 4.200000000e-03	 19.699700	 7.000000000e-04	 19.016400	 3.700000000e-03	 18.730900	 2.700000000e-03	-99.000000	 0.000000000e+00	 18.437800	 9.000000000e-04	
     283	  431	PRIOR  	P02 	39.98702230	-1.56415910	0.55312	3	 24.708280	 7.075044500e-02	 23.756470	 5.127499600e-02	 22.910738	 3.548843000e-02	 22.492065	 6.647611400e-02	 22.274290	 3.746258000e-02	 22.099499	 1.089846500e-01	 21.945333	 6.071169700e-02	
     284	  431	PRIOR  	P09 	39.97090300	-1.60421870	0.13574	3	 22.334372	 2.904801800e-02	 21.754818	 3.003939400e-02	 21.510006	 2.841871200e-02	 21.502070	 4.649756600e-01	 21.419968	 1.634485000e-01	 33.805965	 6.660580800e+13	 21.334106	 2.104367800e-01	
     285	  432	PRIOR  	P05 	40.00067040	-1.57863300	1.90229	1	 35.403603	 1.685994780e+14	 23.946827	 1.387991900e-01	 23.900114	 2.619783300e-01	 23.712595	 5.576671400e-01	 23.665611	 2.726902400e-01	          	 1.085700000e+00	 23.377934	 3.919696200e-01	
     286	  432	PRIOR  	P09 	39.97110710	-1.60429907	4.25800	2	          	                	 25.389652	 5.479364700e-03	 25.154203	 7.338214000e-03	 25.135994	 5.353203500e-03	 25.089783	 5.315812300e-03	          	                	 25.069569	 6.777656000e-03	
