#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	f_Name	(A1)	[*] Additional galaxy (G2)	[ucd=meta.code]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	Figure	(a11)	Figure number (2)	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	Notes	(a99)	Additional notes (Arm classifications in table9)	[ucd=meta.note]
#Column	S10	(I3)	Galaxies in S4G catalog version 2 (2013-09) (Sheth et al. 2010, J/PASP/122/1397)	[ucd=meta.ref.url]
#Column	Opt	(I3)	Display the available optical data from Knapen et al. 2014, J/A+A/569/A91, within 30"	[ucd=meta.code]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	f_Name	P1T	P2T	Figure	Simbad	NED	LEDA	<T>	<F>	<Type>	Notes	S10	Opt	AC	_RA	_DE
     720	UGC 5478  	 	SB(s)m                                       	SA\underline{B}(s)dm                         	II.1.0623  	Simbad	NED	LEDA	 8.5	 0.88	SB(s)d\underline{m}                                      	flocculent spiral                                                                                  	  1	  1	F	152.38208	+30.15042
     721	PGC 29653 	 	dIm                                          	dIm                                          	II.1.0624  	Simbad	NED	LEDA	10.0	     	dIm                                                      	Sextans A; full resolved                                                                           	  1	  1	 	152.75208	-04.69139
     722	NGC 3153  	 	SB(r\underline{s})cd                         	SB(r\underline{s})d                          	II.1.0625  	Simbad	NED	LEDA	 6.5	 1.00	SB(r\underline{s})c\underline{d}                         	flocculent spiral; excellent case                                                                  	  1	  1	F	153.21043	+12.66669
     723	NGC 3165  	 	SA(s)dm                                      	Im / Sph                                     	II.1.0626  	Simbad	NED	LEDA	 9.0	 0.00	SA:(s:)m / Sph                                           	                                                                                                   	  1	  1	 	153.38083	+03.37550
     724	NGC 3162  	 	SA(s)bc                                      	SA(s)c                                       	II.1.0627  	Simbad	NED	LEDA	 4.5	 0.00	SA(s)b\underline{c}                                      	multi-armed spiral                                                                                 	  1	  1	M	153.38155	+22.73757
     725	NGC 3166  	 	(RL)SB_a(rl)0^+^                             	(L)SAB_a(l)0^+^                              	II.1.0628  	Simbad	NED	LEDA	-1.0	 0.75	(R\underline{L})SA\underline{B}_a_(r\underline{l})0^+^   	                                                                                                   	  1	  1	 	153.44031	+03.42467
     726	UGC 5522  	 	SA(l)bc                                      	SA(r'l,l)c                                   	II.1.0629  	Simbad	NED	LEDA	 4.5	 0.00	SA(l)b\underline{c}                                      	flocculent spiral; very thin outer arms                                                            	  1	  1	F	153.49498	+07.02413
     727	NGC 3169  	 	SA(s:)a pec                                  	SA(rs)ab pec                                 	II.1.0630  	Simbad	NED	LEDA	 1.5	 0.00	SA(r\underline{s})\underline{a}b: pec                    	flocculent spiral                                                                                  	  1	  1	F	153.56291	+03.46612
     728	UGC 5524  	 	SB(s)d                                       	SB(s)d sp                                    	II.1.0631  	Simbad	NED	LEDA	 7.0	 1.00	SB(s)d sp                                                	                                                                                                   	  1	  1	 	153.59036	+22.12468
     729	UGC 5540  	 	SB(s)dm sp                                   	Sdm sp / E(d)7-8                             	II.1.0632  	Simbad	NED	LEDA	 8.0	 1.00	SB:(s:)dm sp / E(d)7-8                                   	off-center nucleus?                                                                                	  1	  1	 	154.09255	+37.77927
     730	NGC 3177  	 	(R')SA(r\underline{s})ab                     	(R')SA(rs)b                                  	II.1.0633  	Simbad	NED	LEDA	 2.5	 0.00	(R')SA(rs)a\underline{b}                                 	grand-design spiral; bright inner spiral; faint outer spiral                                       	  1	  1	G	154.14233	+21.12287
     731	NGC 3147  	 	S\underline{A}B(r\underline{s})b             	S\underline{A}B(r'l)b                        	I.1.066    	Simbad	NED	LEDA	 3.0	 0.25	S\underline{A}B(r'l)b                                    	multi-armed spiral; excellent case; almost face-on                                                 	  1	  1	M	154.22347	+73.40065
     732	IC 600    	 	SBm in ext. disk                             	SB(s)m                                       	II.1.0634  	Simbad	NED	LEDA	 9.0	 1.00	SB(s:)m                                                  	flocculent spiral; clear bar; very faint extensions                                                	  1	  1	F	154.29525	-03.49833
     733	NGC 3185  	 	(RL?)SAB_ax_(\underline{r}s)a                	(RL)SAB_ax_(\underline{r}s,bl)0/a            	II.1.0635  	Simbad	NED	LEDA	 0.5	 0.50	(RL)SAB_{ax}_(\underline{r}s,bl)0/\underline{a}          	grand-design spiral                                                                                	  1	  1	G	154.41077	+21.68828
     734	NGC 3155  	 	SA\underline{B}(s)b                          	SB(r\underline{s})b                          	II.1.0636  	Simbad	NED	LEDA	 3.0	 0.88	SB(s)b                                                   	grand-design spiral                                                                                	  1	  0	G	154.41615	+74.34736
     735	NGC 3187  	 	SB(s)c pec or warped disk?                   	SB(s)c pec                                   	II.1.0637  	Simbad	NED	LEDA	 5.0	 1.00	SB(s)c pec                                               	tidal arms?                                                                                        	  1	  1	 	154.44937	+21.87328
     736	NGC 3190  	 	SB_x(nd)a sp pec                             	SA(l,nd)0/a pec                              	II.1.0638  	Simbad	NED	LEDA	 0.5	 0.50	SAB_x_(l,nd)0/\underline{a} sp pec                       	nothing like B-band image                                                                          	  1	  1	 	154.52351	+21.83194
     737	NGC 3184  	 	SA(r\underline{s})bc                         	SA(rs)bc                                     	I.1.067    	Simbad	NED	LEDA	 4.0	 0.00	SA(rs)bc                                                 	multi-armed spiral; excellent case; almost face-on                                                 	  1	  1	M	154.57077	+41.42438
     738	NGC 3193  	 	E1-2                                         	E1-2                                         	II.1.0639  	Simbad	NED	LEDA	-5.0	     	E1-2                                                     	                                                                                                   	  1	  1	 	154.60368	+21.89398
     739	UGC 5571  	 	dIm                                          	dIm                                          	II.1.0640  	Simbad	NED	LEDA	10.0	     	dIm                                                      	                                                                                                   	  1	  1	 	154.92546	+52.06450
     740	NGC 3182  	 	SA(rl)0^o^                                   	SA(r)0^+^                                    	II.1.0641  	Simbad	NED	LEDA	-1.5	 0.00	SA(\underline{r}l)0^{o/+}^                               	excellent case                                                                                     	  1	  1	 	154.88756	+58.20582
     741	ESO 567-48	 	SB:dm sp                                     	dSm: sp                                      	II.1.0642  	Simbad	NED	LEDA	 8.5	 1.00	SB:d\underline{m}: sp                                    	low surface brightness                                                                             	  1	  0	 	154.92375	-17.74972
     742	UGC 5574  	 	SBdm: sp                                     	Sd: sp / E(d)7                               	II.1.0643  	Simbad	NED	LEDA	 7.5	 1.00	SB:\underline{d}m: sp / E(d)7                            	                                                                                                   	  1	  1	 	154.92926	+22.45254
     743	UGC 5575  	 	dE6 ,N                                       	SAcd:                                        	II.1.0644  	Simbad	NED	LEDA	 6.0	 0.00	SAcd:                                                    	                                                                                                   	  1	  1	 	154.94542	+22.59472
     744	NGC 3198  	 	SAB(r\underline{s})bc                        	SAB(r\underline{s})bc                        	I.1.068    	Simbad	NED	LEDA	 4.0	 0.50	SAB(r\underline{s})bc                                    	multi-armed spiral; weak bar exactly end-on?                                                       	  1	  1	M	154.97912	+45.54969
     745	NGC 3213  	 	SAbc or SAc /Sph,N                           	SA(s)bc / Sph,N                              	II.1.0645  	Simbad	NED	LEDA	 4.0	 0.00	SA(s)bc / Sph,N                                          	flocculent spiral; smooth disk; bright center                                                      	  1	  1	F	155.32213	+19.65168
     746	NGC 3206  	 	SB(s)d                                       	SB(s)d                                       	II.1.0646  	Simbad	NED	LEDA	 7.0	 1.00	SB(s)d                                                   	flocculent spiral; peculiar bar                                                                    	  1	  1	F	155.44826	+56.93041
     747	NGC 3226  	*	E^+^1                                        	E1                                           	II.1.0647  	Simbad	NED	LEDA	-4.5	     	E/E^+^1                                                  	                                                                                                   	  0	  1	 	155.86255	+19.89844
     748	NGC 3227  	 	SAB(s)a pec                                  	SAB_x(s)a                                    	II.1.0647  	Simbad	NED	LEDA	 1.0	 0.50	SAB_x_(s)a                                               	grand-design spiral; starburst nucleus                                                             	  1	  1	G	155.87737	+19.86508
     749	NGC 3220  	 	dIm / Sph                                    	Im:                                          	II.1.0648  	Simbad	NED	LEDA	10.0	     	Im: / Sph                                                	                                                                                                   	  1	  1	 	155.93443	+57.02711
     750	UGC 5612  	 	SB(s)m                                       	SB(s)dm                                      	II.1.0649  	Simbad	NED	LEDA	 8.5	 1.00	SB(s)d\underline{m}                                      	flocculent spiral; excellent face-on case; no background disk                                      	  1	  1	F	156.02792	+70.88222
     751	UGC 5633  	 	SB(rs)dm                                     	SB(r'l)cd                                    	II.1.0650  	Simbad	NED	LEDA	 7.0	 1.00	SB(underline{ r}'l)d                                     	excellent bar                                                                                      	  1	  1	 	156.16721	+14.75675
     752	NGC 3239  	 	SB(s)m + stellar stream?                     	Sm pec                                       	II.1.0651  	Simbad	NED	LEDA	 9.0	 1.00	SB:(s:)m pec                                             	                                                                                                   	  1	  1	 	156.27600	+17.16050
     753	NGC 3225  	 	S\underline{A}B(s)c                          	S\underline{A}B(s)cd                         	II.1.0652  	Simbad	NED	LEDA	 5.5	 0.25	S\underline{A}B(s)\underline{c}d                         	flocculent spiral; short bar                                                                       	  1	  1	F	156.29137	+58.15002
     754	PGC 30591 	 	Scd sp                                       	Scd sp / E(d)8                               	II.1.0653  	Simbad	NED	LEDA	 6.0	     	Scd sp / E(d)8                                           	small core; excellent case                                                                         	  1	  0	 	156.36038	-15.34924
     755	UGC 5642  	 	SB(s)dm sp                                   	SAB(s)cd sp                                  	II.1.0654  	Simbad	NED	LEDA	 7.0	 0.75	SA\underline{B}(s)d sp                                   	highly inclined but not edge-on                                                                    	  1	  1	 	156.42418	+11.73932
     756	UGC 5646  	 	SA:(rs:)d                                    	SA(s)d sp                                    	II.1.0655  	Simbad	NED	LEDA	 7.0	 0.00	SA(r\underline{s})d: sp                                  	multi-armed spiral; highly inclined but not edge-on                                                	  1	  1	M	156.47105	+14.36352
     757	IC 610    	 	S0^o^ sp                                     	S0^-^[cd]sp / E(d)7                          	II.1.0656  	Simbad	NED	LEDA	-2.5	     	S0^{-/o}^[cd] sp / E(d)7                                 	small bulge S0?; excellent case                                                                    	  1	  1	 	156.61818	+20.22825
     758	NGC 3246  	 	SB(s)cd                                      	SB(s)dm                                      	II.1.0657  	Simbad	NED	LEDA	 7.0	 1.00	SB(s)d                                                   	flocculent spiral                                                                                  	  1	  1	F	156.67402	+03.86211
     759	NGC 3245A 	 	Sd spw                                       	Sd sp                                        	II.1.0658  	Simbad	NED	LEDA	 7.0	     	Sd spw                                                   	                                                                                                   	  1	  1	 	156.75477	+28.63940
     760	NGC 3248  	 	(RL)SA(l)0^o^                                	(L)SA(l)0^o^                                 	II.1.0659  	Simbad	NED	LEDA	-2.0	 0.00	(R\underline{L})SA(l)0^o^                                	                                                                                                   	  1	  1	 	156.93927	+22.84717
     761	UGC 5678  	*	SAB(s)bc                                     	SAB(s)bc                                     	U5677 image	Simbad	NED	LEDA	 4.0	 0.50	SAB(s)bc                                                 	almost face-on; embedded bright disk                                                               	  0	  0	 	157.17467	+03.67789
     762	UGC 5672  	 	SBd                                          	dIm sp / Sph                                 	II.1.0660  	Simbad	NED	LEDA	 8.5	 1.00	SB:d\underline{m} sp / Sph                               	Im in large background Sph                                                                         	  1	  1	 	157.08794	+22.56970
     763	IC 2574   	 	IB(s)m                                       	SAB(s)m                                      	I.1.169    	Simbad	NED	LEDA	 9.5	 0.75	S/IA\underline{B}(s)m                                    	large example; resolved                                                                            	  1	  0	 	157.09784	+68.41214
     764	UGC 5677  	 	Im sp                                        	Sm sp                                        	II.1.0661  	Simbad	NED	LEDA	 9.5	     	S/Im sp                                                  	                                                                                                   	  1	  1	 	157.15900	+03.55878
     765	UGC 5676  	 	SA\underline{B}(s)m / RG?                    	(R')SAB(s)dm                                 	II.1.0662  	Simbad	NED	LEDA	 8.5	 0.62	(R')SAB(s)d\underline{m}                                 	flocculent spiral; smooth structure                                                                	  1	  1	F	157.27219	+54.71811
     766	NGC 3254  	 	SB_ax_b                                      	SAB_xa_(s)b                                  	II.1.0663  	Simbad	NED	LEDA	 3.0	 0.75	SA\underline{B}_{xa}_(s:)b                               	multi-armed spiral; highly inclined but not edge-on                                                	  1	  1	M	157.33301	+29.49144
     767	UGC 5695  	 	S\underline{A}B(s)d                          	SA(s)b                                       	II.1.0664  	Simbad	NED	LEDA	 5.0	 0.12	SA(s)c                                                   	flocculent spiral; mostly flocculent arms                                                          	  1	  1	F	157.44496	+13.01810
     768	UGC 5688  	 	IAB(s)m                                      	Im pec                                       	II.1.0665  	Simbad	NED	LEDA	10.0	 0.50	IAB:(s:)m pec                                            	flocculent spiral; tidal tails and small companion                                                 	  1	  1	F	157.60337	+70.05050
     769	UGC 5689  	 	Sc: sp                                       	Sdm spw / E(d)7                              	II.1.0666  	Simbad	NED	LEDA	 6.5	     	Sc\underline{d}: spw / E(d)7                             	clear disk warping                                                                                 	  1	  0	 	157.69102	+73.88539
     770	UGC 5708  	 	SB(s)dm sp                                   	SB(s)d sp                                    	II.1.0667  	Simbad	NED	LEDA	 7.5	 1.00	SB(s)\underline{d}m sp                                   	strong edge-on bar                                                                                 	  1	  1	 	157.80562	+04.47211
     771	UGC 5707  	 	SB(r\underline{s})d                          	SB(r\underline{s})d                          	II.1.0668  	Simbad	NED	LEDA	 7.0	 1.00	SB(r\underline{s})d                                      	flocculent spiral; strong bar; large outer asymmetric arms                                         	  1	  1	F	157.80908	+43.13734
     772	NGC 3274  	 	dE4 ,N /Sph + tidal debris                   	SA(s)m / Sph                                 	II.1.0669  	Simbad	NED	LEDA	 9.0	 0.00	SA(s)m / Sph                                             	flocculent spiral; resolved                                                                        	  1	  1	F	158.07200	+27.66877
     773	NGC 3264  	 	SB(s)d                                       	SB(s)dm                                      	II.1.0670  	Simbad	NED	LEDA	 7.5	 1.00	SB(s)\underline{d}m                                      	flocculent spiral                                                                                  	  1	  1	F	158.08242	+56.08347
     774	UGC 5720  	 	E3-4 pec                                     	E3-4 pec (dbl. nuc., twisting)               	II.1.0671  	Simbad	NED	LEDA	-5.0	     	E3-4 pec                                                 	double nucleus; isophote twisting                                                                  	  1	  1	 	158.13315	+54.40098
     775	NGC 3259  	 	SA(r'l)bc                                    	SA(r'l)bc                                    	II.1.0672  	Simbad	NED	LEDA	 4.0	 0.00	SA(r'l)bc                                                	multi-armed spiral                                                                                 	  1	  1	M	158.14507	+65.04105
     776	NGC 3277  	 	SA(l)0/a                                     	SA(l)0/a                                     	II.1.0673  	Simbad	NED	LEDA	 0.0	 0.00	SA(l)0/a                                                 	arcs, not arms                                                                                     	  1	  1	 	158.23108	+28.51173
     777	NGC 3266  	 	(RL)SB0^o^                                   	(L)SB(bl)0^o^                                	II.1.0674  	Simbad	NED	LEDA	-2.0	 1.00	(R\underline{L})SB(bl)0^o^                               	                                                                                                   	  1	  1	 	158.32342	+64.74941
     778	UGC 5740  	 	SAB(s)m                                      	S\underline{A}B(s)m                          	II.1.0675  	Simbad	NED	LEDA	 9.0	 0.38	SAB(s)m                                                  	flocculent spiral                                                                                  	  1	  1	F	158.69029	+50.76889
     779	UGC 5739  	 	IB(s)m sp                                    	Im pec sp / E(d)5                            	II.1.0676  	Simbad	NED	LEDA	10.0	 1.00	IB:(s:)m sp pec / E(d)5                                  	misaligned axes; extraplanar structure                                                             	  1	  1	 	158.58246	+13.75460
     780	NGC 3252  	 	SB(s)dm sp                                   	Sdm sp / E7                                  	II.1.0677  	Simbad	NED	LEDA	 8.0	 1.00	SB:(s:)dm sp / E7                                        	thin disk and thick disk; boxy thick disk                                                          	  1	  0	 	158.59627	+73.76498
     781	NGC 3279  	 	Scd sp                                       	Scd sp                                       	II.1.0678  	Simbad	NED	LEDA	 6.0	     	Scd sp                                                   	thin disk and thick disk                                                                           	  1	  1	 	158.67830	+11.19724
     782	NGC 3287  	 	SB(s)dm pec                                  	SB(s)dm pec                                  	II.1.0679  	Simbad	NED	LEDA	 8.0	 1.00	SB(s)dm pec                                              	flocculent spiral                                                                                  	  1	  1	F	158.69711	+21.64833
     783	UGC 5764  	 	dIm                                          	IB(s)m                                       	II.1.0680  	Simbad	NED	LEDA	10.0	 1.00	IB:(s:)m                                                 	                                                                                                   	  1	  1	 	159.18142	+31.54639
     784	NGC 3294  	 	SA(s)b                                       	SA(rs)bc                                     	II.1.0681  	Simbad	NED	LEDA	 3.5	 0.00	SA(r\underline{s})\underline{b}c                         	multi-armed spiral                                                                                 	  1	  1	M	159.06778	+37.32459
     785	NGC 3299  	 	S\underline{A}Bd:                            	SA(s)d / dE3,N / Sph                         	I.1.069    	Simbad	NED	LEDA	 7.0	 0.12	SA(s:)d: / dE3,N / Sph                                   	flocculent spiral; very regular and mostly smooth                                                  	  1	  1	F	159.10025	+12.70700
     786	NGC 3301  	 	(RL)SAB_x(r)0^+^ sp                          	(R')S\underline{A}B(r)0^+^                   	II.1.0682  	Simbad	NED	LEDA	-1.0	 0.38	(R'L)SAB_x_(r)0^+^ sp                                    	bar foreshortened                                                                                  	  1	  1	 	159.23346	+21.88217
     787	UGC 5765  	 	SB(s)d sp                                    	SB(s)d sp                                    	II.1.0683  	Simbad	NED	LEDA	 7.0	 1.00	SB(s)d sp                                                	                                                                                                   	  1	  1	 	159.37064	+68.81950
     788	NGC 3306  	 	SA\underline{B}(s:)b                         	SAB(s)b:                                     	II.1.0684  	Simbad	NED	LEDA	 3.0	 0.62	SAB(s)b:                                                 	skewed bar; not well-resolved                                                                      	  1	  1	 	159.29256	+12.65243
     789	NGC 3310  	 	SA(\underline{r}s)bc pec (shells)            	SA(\underline{r}s)bc pec                     	II.1.0685  	Simbad	NED	LEDA	 4.0	 0.00	SA(\underline{r}s)bc pec                                 	grand-design spiral; very disturbed (shells); (rs) oval                                            	  1	  1	G	159.69107	+53.50330
     790	NGC 3321  	 	SA\underline{B}(\underline{r}s)cd            	SAB(\underline{r}s)cd                        	II.1.0686  	Simbad	NED	LEDA	 6.0	 0.62	SAB(\underline{r}s)cd                                    	multi-armed spiral; interesting (rs)                                                               	  1	  0	M	159.71063	-11.64890
     791	NGC 3319  	 	(R')SB(s)cd                                  	(R')SB(s)cd                                  	II.1.0687  	Simbad	NED	LEDA	 6.0	 1.00	(R')SB(s)cd                                              	grand-design spiral; excellent case                                                                	  1	  1	G	159.78972	+41.68687
     792	UGC 5791  	 	SB(s)m                                       	SB(s)m: pec                                  	II.1.0688  	Simbad	NED	LEDA	 9.0	 1.00	SB(s)m: pec                                              	                                                                                                   	  1	  1	 	159.86187	+47.94712
     793	NGC 3320  	 	SB(s)c pec                                   	SB(s)bc pec                                  	II.1.0689  	Simbad	NED	LEDA	 4.5	 1.00	SB(s)b\underline{c} pec                                  	multi-armed spiral; m=3 in odd pattern                                                             	  1	  1	M	159.90217	+47.39796
     794	UGC 5798  	 	SB(s)m sp                                    	Sm: spw / E6                                 	II.1.0690  	Simbad	NED	LEDA	 9.0	 1.00	SB:(s:)m: spw / E6                                       	thin disk and thick disk                                                                           	  1	  1	 	159.94551	+47.93197
     795	ESO 501-79	 	Im:                                          	SABm:                                        	II.1.0691  	Simbad	NED	LEDA	 9.5	 0.50	S/IAB:m:                                                 	3 dark streaks                                                                                     	  1	  0	 	160.35817	-23.38339
     796	NGC 3338  	 	SA(rs,l)bc                                   	SA(rs,nl)bc                                  	II.1.0692  	Simbad	NED	LEDA	 4.0	 0.00	SA(rs,nl)bc                                              	multi-armed spiral; excellent (l)                                                                  	  1	  1	M	160.53145	+13.74693
     797	ESO 501-80	 	SB?dm sp                                     	SAB(s)m sp                                   	II.1.0693  	Simbad	NED	LEDA	 8.5	 0.50	SAB(s)d\underline{m} sp                                  	almost exactly edge-on                                                                             	  1	  0	 	160.65767	-23.93558
     798	UGC 5814  	 	(RL)SB0/a (shells?) pec                      	(RL)SBa pec                                  	II.1.0694  	Simbad	NED	LEDA	 0.5	 1.00	(RL)SB0/\underline{a} pec                                	asymmetric outer structure (shells?)                                                               	  1	  1	 	160.65932	+77.49490
     799	UGC 5829  	 	IB(s)m                                       	SAB(s)m                                      	II.1.0695  	Simbad	NED	LEDA	 9.5	 0.75	S/IA\underline{B}(s)m                                    	excellent case; very boxy; face-on                                                                 	  1	  1	 	160.67592	+34.44897
     800	UGC 5832  	 	SB(s)m                                       	(R')SB(s)m                                   	II.1.0696  	Simbad	NED	LEDA	 9.0	 1.00	(R')SB(s)m                                               	flocculent spiral; face-on; resembles an R; no close companion; offset bar                         	  1	  1	F	160.70167	+13.45944
     801	UGC 5844  	 	SB(s)m sp                                    	SB(s)m sp                                    	II.1.0697  	Simbad	NED	LEDA	 9.0	 1.00	SB(s)m sp                                                	                                                                                                   	  1	  1	 	160.98333	+28.14717
     802	UGC 5833  	 	E6                                           	E(d)6                                        	II.1.0698  	Simbad	NED	LEDA	-5.0	     	E6                                                       	                                                                                                   	  1	  1	 	160.77502	+20.42222
     803	NGC 3344  	 	SAB(r)bc                                     	SAB(\underline{r}s)b                         	I.1.070    	Simbad	NED	LEDA	 3.5	 0.50	SAB(r)\underline{b}c                                     	multi-armed spiral; excellent case; face-on; bar an inner oval                                     	  1	  1	M	160.87979	+24.92222
     804	PGC 31979 	 	S\underline{A}B(s)dm                         	SA(\underline{r}s)c: pec                     	II.1.0699  	Simbad	NED	LEDA	 6.5	 0.12	SA(rs)c\underline{d}: pec                                	flocculent spiral; detached feature could be a small companion                                     	  1	  1	F	160.90122	-09.85627
     805	NGC 3346  	 	SB(rs)cd                                     	SB(rs)cd                                     	II.1.0700  	Simbad	NED	LEDA	 6.0	 1.00	SB(rs)cd                                                 	flocculent spiral; excellent face-on late-type                                                     	  1	  1	F	160.91203	+14.87198
     806	NGC 3351  	 	(R')SB(r,nr)a                                	(R')SB(r,bl,nr)a                             	I.1.071    	Simbad	NED	LEDA	 1.0	 1.00	(R')SB(r,bl,nr)a                                         	grand-design spiral; excellent case                                                                	  1	  1	G	160.99055	+11.70361
     807	UGC 5846  	 	dIm                                          	dIm                                          	II.1.0701  	Simbad	NED	LEDA	10.0	     	dIm                                                      	low surface brightness                                                                             	  1	  1	 	161.12558	+60.36817
     808	NGC 3361  	 	S\underline{A}B(rs)c                         	SA(rs)c                                      	II.1.0702  	Simbad	NED	LEDA	 5.0	 0.12	SA(rs)c                                                  	multi-armed spiral                                                                                 	  1	  0	M	161.12157	-11.20789
     809	NGC 3329  	 	SA(l)a                                       	SA(l)a                                       	II.1.0703  	Simbad	NED	LEDA	 1.0	 0.00	SA(l)a                                                   	                                                                                                   	  1	  0	 	161.16403	+76.80939
     810	UGC 5841  	 	(R')SB(r\underline{s}:)b                     	SB(s)b                                       	II.1.0704  	Simbad	NED	LEDA	 3.0	 1.00	(R')SB(s)b:                                              	multi-armed spiral                                                                                 	  1	  0	M	161.23286	+76.68796
     811	PGC 32091 	 	S\underline{A}B(r\underline{s})c             	SA\underline{B}(s)cd                         	II.1.0705  	Simbad	NED	LEDA	 5.5	 0.50	SAB(s)\underline{c}d                                     	multi-armed spiral; face-on                                                                        	  1	  0	M	161.29540	-10.06481
     812	NGC 3353  	 	Pec                                          	Im: / Sph pec                                	II.1.0706  	Simbad	NED	LEDA	10.0	     	Im: / Sph pec                                            	                                                                                                   	  1	  1	 	161.34329	+55.96038
     813	NGC 3365  	 	SB(s)d sp                                    	SB(s)d sp                                    	II.1.0707  	Simbad	NED	LEDA	 7.0	 1.00	SB(s)d sp                                                	                                                                                                   	  1	  1	 	161.55270	+01.81332
     814	NGC 3359  	 	SB(rs)d                                      	SB(rs)cd                                     	II.1.0708  	Simbad	NED	LEDA	 6.5	 1.00	SB(rs)c\underline{d}                                     	multi-armed spiral; excellent case                                                                 	  1	  1	M	161.65352	+63.22364
     815	NGC 3368  	 	(RL)SAB(\underline{r}s,nrl,nb)0^+^           	(R)SAB(\underline{r}s,bl,nl)0^+^             	II.1.0709  	Simbad	NED	LEDA	-1.0	 0.50	(\underline{R}L)SAB(\underline{r}s,bl,nl)0^+^            	grand-design spiral                                                                                	  1	  1	G	161.69060	+11.81994
     816	NGC 3370  	 	SA(s)c                                       	SA(s)c                                       	II.1.0710  	Simbad	NED	LEDA	 5.0	 0.00	SA(s)c                                                   	multi-armed spiral                                                                                 	  1	  1	M	161.76683	+17.27370
     817	NGC 3377A 	 	Im                                           	dIAm / Sph                                   	I.1.073    	Simbad	NED	LEDA	10.0	 0.00	IA:m / Sph                                               	                                                                                                   	  1	  1	 	161.84375	+14.07086
     818	NGC 3377  	*	E(d)5                                        	E(d)3                                        	I.1.072    	Simbad	NED	LEDA	-5.0	     	E(d)4                                                    	inner highly inclined but not edge-on disk                                                         	  0	  0	 	161.92667	+13.98564
     819	UGC 5897  	 	SAB(s)cd                                     	S\underline{A}B(s)bc                         	II.1.0711  	Simbad	NED	LEDA	 5.0	 0.38	SAB(s)c                                                  	multi-armed spiral; large intermediate-type                                                        	  1	  1	M	161.92265	+11.07712
     820	UGC 5898  	 	SAB(s)dm sp                                  	Sdm: sp                                      	II.1.0712  	Simbad	NED	LEDA	 8.0	 0.50	SAB:(s:)dm: sp                                           	highly inclined but not edge-on; features are weak                                                 	  1	  1	 	161.95979	+33.72856
