#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/587/A160/tablea2&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_587_A160_tablea2:
#Name: J/A+A/587/A160/tablea2
#Title: Bar maximum gravitational torques and radii
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;meta.main]
#Column	Qb	(F6.3)	Bar maximum gravitational torque	[ucd=src.morph.param]
#Column	e_Qb1	(F8.3)	[]? Uncertainty on the bar maximum gravitational torque associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_Qb2	(F6.3)	? Uncertainty on the bar maximum gravitational torque associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	RQb	(F7.3)	Bar maximum gravitational torque radius	[ucd=phys.angSize;stat.max]
#Column	e_RQb1	(F8.3)	[]? Uncertainty on the bar maximum gravitational torque radius associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_RQb2	(F6.3)	[]? Uncertainty on the bar maximum gravitational torque radius associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	Qbhcor	(F8.3)	? Bar maximum gravitational torque correcting for the dilution of the dark halo	[ucd=src.morph.param]
#Column	RQbhcor	(F8.3)	? Bar maximum gravitational torque radius correcting for the dilution of the dark halo	[ucd=phys.angSize;stat.max]
#Column	Qbbar	(F8.3)	? Bar-only maximum gravitational torque	[ucd=src.morph.param]
#Column	RQbbar	(F8.3)	? Bar-only maximum gravitational torque radius	[ucd=phys.angSize;stat.max]
#Column	Qbbarhcor	(F8.3)	? Bar-only maximum gravitational torque correcting also for the dilution of the dark halo	[ucd=src.morph.param]
#Column	RQbbarhcor	(F8.3)	? Bar-only maximum gravitational torque radius correcting also for the dilution of the dark halo	[ucd=phys.angSize;stat.max]
#Column	QbS08	(F8.3)	? Bar maximum gravitational torque using the relation from Speltincx et al. (2008MNRAS.383..317S) for the disk thickness estimation	[ucd=src.morph.param]
#Column	e_QbS081	(F8.3)	[]? Uncertainty on the bar maximum gravitational torque associated with a thicker disk in the relation from Speltincx et al. (2008MNRAS.383..317S)	[ucd=stat.error]
#Column	e_QbS082	(F8.3)	? Uncertainty on the bar maximum gravitational torque associated with a thinner disk in the relation from Speltincx et al. (2008MNRAS.383..317S)	[ucd=stat.error]
#Column	QTrbar	(F8.3)	? Radial force profile evaluated at the end of the bar	[ucd=src.morph.param]
#Column	e_QTrbar1	(F8.3)	[]? Uncertainty on the evaluation of the radial force profile at the end of the bar associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_QTrbar2	(F8.3)	? Uncertainty on the evaluation of the radial force profile at the end of the bar associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	QThcorrbar	(F8.3)	? Halo-corrected radial force profile evaluated at the end of the bar	[ucd=src.morph.param]
recno	Galaxy	Qb	e_Qb1	e_Qb2	RQb	e_RQb1	e_RQb2	Qbhcor	RQbhcor	Qbbar	RQbbar	Qbbarhcor	RQbbarhcor	QbS08	e_QbS081	e_QbS082	QTrbar	e_QTrbar1	e_QTrbar2	QThcorrbar
      88	NGC0289   	 0.133	  -0.017	 0.012	 15.750	  -1.500	 0.000	   0.131	  15.750	   0.145	  15.750	   0.142	  15.750	   0.115	  -0.019	   0.023	   0.063	  -0.007	   0.006	   0.061
      89	NGC0337A  	 0.371	  -0.042	 0.022	 20.250	   0.000	 0.000	   0.308	  20.250	   0.332	  20.250	   0.279	  18.750	   0.361	  -0.048	   0.052	   0.278	  -0.025	   0.012	   0.201
      90	NGC0428   	 0.307	        	 0.011	 29.250	        	 0.000	   0.180	  26.250	   0.188	  24.750	   0.115	  24.750	        	        	        	   0.304	  -0.019	   0.008	   0.166
      91	NGC0450   	 0.339	  -0.030	 0.016	  5.250	  -1.500	 0.000	   0.319	   5.250	   0.326	   5.250	   0.308	   3.750	   0.336	  -0.033	   0.040	   0.199	  -0.022	   0.010	   0.167
      92	NGC0470   	 0.187	  -0.025	 0.013	 30.750	   0.000	 0.000	   0.158	  29.250	   0.107	  24.750	   0.096	  23.250	   0.176	  -0.034	   0.030	   0.182	  -0.024	   0.014	   0.156
      93	NGC0514   	 0.147	  -0.038	 0.005	 12.750	   0.000	 0.000	   0.134	  11.250	   0.144	  11.250	   0.132	  11.250	   0.120	  -0.032	   0.035	   0.069	  -0.015	   0.007	   0.056
      94	NGC0578   	 0.286	  -0.037	 0.016	 12.750	   0.000	 1.500	   0.273	  12.750	   0.272	  12.750	   0.259	  12.750	   0.245	  -0.033	   0.039	   0.222	  -0.035	   0.016	   0.204
      95	NGC0584   	 0.095	  -0.011	 0.008	 26.250	   0.000	 0.000	        	        	   0.066	  23.250	        	        	   0.095	  -0.009	   0.011	   0.093	  -0.009	   0.010	
      96	NGC0600   	 0.838	  -0.085	 0.050	  6.750	  -1.500	 0.000	   0.815	   6.750	   0.834	   6.750	   0.811	   6.750	   0.768	  -0.082	   0.109	   0.345	  -0.041	   0.018	   0.299
      97	NGC0613   	 0.489	  -0.059	 0.039	 57.750	   0.000	-1.500	   0.425	  56.250	   0.438	  56.250	   0.382	  56.250	   0.447	  -0.073	   0.080	   0.440	  -0.044	   0.027	   0.353
      98	NGC0685   	 0.546	  -0.041	 0.025	  6.750	  -1.500	 0.000	   0.528	   5.250	   0.539	   5.250	   0.522	   5.250	   0.511	  -0.043	   0.051	   0.337	  -0.045	   0.021	   0.277
      99	NGC0701   	 0.524	  -0.034	 0.016	  3.750	   0.000	 0.000	   0.520	   3.750	   0.517	   3.750	   0.513	   3.750	   0.451	  -0.035	   0.039	   0.286	  -0.020	   0.009	   0.272
     100	NGC0718   	 0.132	  -0.061	 0.008	 20.250	   1.500	 0.000	   0.127	  20.250	   0.114	  17.250	   0.111	  17.250	   0.133	  -0.029	   0.025	   0.123	  -0.049	   0.007	   0.116
     101	NGC0864   	 0.461	  -0.055	 0.036	 27.750	   0.000	 0.000	   0.391	  24.750	   0.417	  26.250	   0.360	  23.250	   0.469	  -0.075	   0.070	   0.335	  -0.033	   0.020	   0.259
     102	NGC0895   	 0.625	  -0.099	 0.054	  3.750	   0.000	 0.000	   0.594	   3.750	   0.433	   3.750	   0.412	   3.750	   0.532	  -0.096	   0.120	   0.504	  -0.079	   0.042	   0.477
     103	NGC0918   	 0.258	  -0.021	 0.010	  2.250	   0.000	 0.000	   0.252	   2.250	   0.260	   2.250	   0.253	   2.250	   0.231	  -0.023	   0.024	   0.096	  -0.015	   0.008	   0.088
     104	NGC0936   	 0.199	  -0.094	 0.015	 38.250	   1.500	 0.000	        	        	   0.164	  35.250	        	        	   0.195	  -0.049	   0.048	   0.179	  -0.079	   0.013	
     105	NGC0941   	 0.326	  -0.033	 0.016	 14.250	   0.000	 0.000	   0.292	  14.250	   0.281	  11.250	   0.258	  11.250	   0.306	  -0.037	   0.039	   0.302	  -0.036	   0.017	   0.261
     106	NGC0986   	 0.524	  -0.063	 0.040	 44.250	   0.000	 0.000	        	        	   0.386	  33.750	        	        	   0.472	  -0.073	   0.083	   0.522	  -0.061	   0.042	
     107	NGC0991   	 0.183	  -0.017	 0.008	 12.750	   0.000	 0.000	   0.155	  12.750	        	        	        	        	   0.160	  -0.020	   0.021	        	        	        	
     108	NGC1015   	 0.249	  -0.130	 0.025	 17.250	   0.000	 0.000	   0.238	  17.250	   0.242	  17.250	   0.232	  17.250	   0.264	  -0.073	   0.076	   0.165	  -0.074	   0.013	   0.150
     109	NGC1022   	 0.108	  -0.054	 0.009	 17.250	   4.500	 0.000	   0.098	  17.250	   0.082	  14.250	   0.077	  14.250	   0.104	  -0.027	   0.026	   0.108	  -0.051	   0.008	   0.097
     110	NGC1042   	 0.674	  -0.104	 0.052	 35.250	   0.000	 0.000	   0.583	  35.250	   0.322	  27.750	   0.287	  26.250	   0.656	  -0.119	   0.124	   0.660	  -0.099	   0.049	   0.573
     111	NGC1047   	 0.392	  -0.030	 0.026	 14.250	  -1.500	 0.000	   0.367	  12.750	   0.297	   9.750	   0.286	   8.250	   0.392	  -0.030	   0.026	   0.379	  -0.031	   0.027	   0.350
     112	NGC1073   	 0.634	  -0.067	 0.033	 21.750	   0.000	 0.000	        	        	   0.623	  21.750	        	        	   0.625	  -0.077	   0.078	   0.347	  -0.039	   0.018	
     113	NGC1079   	 0.280	  -0.086	 0.013	 36.750	   0.000	 0.000	   0.217	  35.250	   0.241	  35.250	   0.189	  33.750	   0.271	  -0.043	   0.039	   0.233	  -0.057	   0.007	   0.166
     114	NGC1090   	 0.262	  -0.039	 0.023	 21.750	   0.000	 0.000	   0.213	  20.250	   0.229	  20.250	   0.190	  18.750	   0.252	  -0.052	   0.049	   0.216	  -0.030	   0.019	   0.164
     115	NGC1097   	 0.254	  -0.030	 0.021	 84.750	   1.500	-3.000	        	        	   0.205	  72.750	        	        	   0.257	  -0.040	   0.043	   0.242	  -0.027	   0.018	
     116	NGC1179   	 0.442	  -0.029	 0.016	  3.750	   0.000	 0.000	   0.424	   3.750	   0.439	   3.750	   0.421	   3.750	   0.503	  -0.044	   0.046	   0.192	  -0.021	   0.010	   0.136
     117	NGC1187   	 0.228	  -0.032	 0.021	 36.750	   0.000	 0.000	   0.182	  35.250	   0.145	  35.250	   0.115	  35.250	   0.210	  -0.043	   0.044	   0.216	  -0.030	   0.019	   0.168
     118	NGC1232   	 0.180	  -0.051	 0.016	  8.250	   1.500	-1.500	   0.177	   8.250	   0.167	   8.250	   0.165	   8.250	   0.131	  -0.050	   0.049	   0.118	  -0.024	   0.011	   0.110
     119	NGC1255   	 0.243	  -0.034	 0.023	 26.250	  -3.000	 0.000	   0.214	  26.250	   0.141	  21.750	   0.128	  21.750	   0.194	  -0.038	   0.031	   0.237	  -0.027	   0.019	   0.210
     120	NGC1258   	 0.262	  -0.049	 0.008	  3.750	  -1.500	 0.000	   0.222	   3.750	   0.260	   3.750	   0.220	   2.250	   0.269	  -0.026	   0.025	   0.195	  -0.068	   0.013	   0.130
     121	NGC1291   	 0.117	  -0.025	 0.005	 75.750	  -4.500	 0.000	   0.114	  74.250	   0.102	  69.750	   0.099	  68.250	   0.138	  -0.017	   0.017	   0.106	  -0.023	   0.005	   0.101
     122	NGC1300   	 0.580	  -0.092	 0.062	 60.750	   0.000	 0.000	   0.361	  57.750	   0.515	  59.250	   0.324	  56.250	   0.558	  -0.121	   0.127	   0.362	  -0.039	   0.023	   0.208
     123	NGC1302   	 0.094	  -0.017	 0.004	 20.250	   0.000	 1.500	   0.091	  20.250	   0.079	  18.750	   0.077	  18.750	   0.096	  -0.010	   0.012	   0.084	  -0.017	   0.003	   0.079
     124	NGC1309   	 0.194	  -0.019	 0.013	  9.750	   0.000	 0.000	   0.181	   9.750	   0.145	   9.750	   0.135	   9.750	   0.173	  -0.023	   0.026	   0.201	  -0.017	   0.011	   0.181
     125	NGC1310   	 0.306	  -0.047	 0.016	  3.750	   0.000	 0.000	   0.295	   3.750	   0.316	   3.750	   0.304	   3.750	   0.269	  -0.034	   0.038	   0.154	  -0.009	   0.004	   0.136
     126	NGC1313   	 0.559	  -0.062	 0.032	 33.750	   0.000	 1.500	   0.371	  27.750	   0.407	  27.750	   0.318	  18.750	   0.543	  -0.072	   0.075	   0.529	  -0.065	   0.033	   0.315
     127	NGC1316C  	 0.290	  -0.060	 0.011	  6.750	   0.000	 0.000	        	        	   0.248	   6.750	        	        	   0.287	  -0.032	   0.033	   0.178	  -0.033	   0.005	
     128	NGC1326   	 0.143	  -0.065	 0.009	 36.750	   4.500	 0.000	   0.132	  35.250	   0.121	  32.250	   0.113	  32.250	   0.151	  -0.030	   0.027	   0.136	  -0.056	   0.008	   0.121
     129	NGC1326A  	 0.449	  -0.042	 0.021	  5.250	  -1.500	 0.000	   0.371	   3.750	   0.420	   3.750	   0.349	   3.750	   0.518	  -0.047	   0.040	   0.277	  -0.029	   0.013	   0.177
     130	NGC1338   	 0.451	  -0.028	 0.014	  2.250	   0.000	 0.000	   0.448	   2.250	   0.438	   2.250	   0.435	   2.250	   0.404	  -0.027	   0.032	   0.350	  -0.031	   0.014	   0.334
     131	NGC1341   	 0.586	  -0.041	 0.022	  5.250	  -1.500	 0.000	   0.573	   3.750	   0.562	   3.750	   0.550	   3.750	   0.508	  -0.044	   0.047	   0.438	  -0.035	   0.014	   0.406
     132	NGC1345   	 0.557	  -0.043	 0.022	  5.250	  -1.500	 0.000	   0.504	   3.750	   0.546	   5.250	   0.498	   3.750	   0.530	  -0.042	   0.053	   0.378	  -0.029	   0.012	   0.196
     133	NGC1347   	 0.129	  -0.037	 0.018	  5.250	   0.000	 0.000	   0.114	   5.250	   0.178	   5.250	   0.158	   5.250	   0.151	  -0.042	   0.042	   0.089	  -0.006	   0.003	   0.078
     134	NGC1350   	 0.240	  -0.077	 0.011	 66.750	   4.500	 1.500	   0.191	  59.250	   0.202	  59.250	   0.164	  56.250	   0.253	  -0.035	   0.027	   0.223	  -0.064	   0.008	   0.163
     135	NGC1359   	 0.672	  -0.077	 0.076	 12.750	   0.000	 0.000	   0.596	   3.750	   0.590	   3.750	   0.563	   3.750	   0.672	  -0.077	   0.076	   0.670	  -0.077	   0.076	   0.517
     136	NGC1365   	 0.389	  -0.053	 0.036	137.250	   3.000	 1.500	        	        	   0.282	 113.250	        	        	   0.424	  -0.073	   0.064	   0.389	  -0.054	   0.035	
     137	NGC1367   	 0.128	  -0.028	 0.006	 21.750	  -1.500	 1.500	   0.113	  21.750	   0.107	  20.250	   0.096	  20.250	   0.127	  -0.015	   0.019	   0.114	  -0.028	   0.005	   0.094
     138	NGC1389   	 0.119	  -0.018	 0.003	 14.250	  -4.500	 0.000	        	        	   0.117	  14.250	        	        	   0.120	  -0.010	   0.010	   0.077	  -0.019	   0.003	
     139	NGC1398   	 0.192	  -0.049	 0.009	 38.250	  -3.000	 0.000	   0.177	  36.750	   0.171	  36.750	   0.158	  35.250	   0.201	  -0.030	   0.039	   0.158	  -0.038	   0.007	   0.138
     140	NGC1433   	 0.366	  -0.132	 0.023	 69.750	  13.500	 0.000	   0.303	  66.750	   0.253	  59.250	   0.219	  56.250	   0.390	  -0.070	   0.065	   0.360	  -0.128	   0.020	   0.290
     141	NGC1436   	 0.104	  -0.009	 0.006	  2.250	   0.000	 0.000	   0.102	   2.250	   0.115	   2.250	   0.114	   2.250	   0.103	  -0.012	   0.013	   0.058	   0.000	   0.001	   0.053
     142	NGC1438   	 0.317	  -0.075	 0.014	 24.750	  -1.500	 0.000	   0.204	  23.250	   0.285	  23.250	   0.185	  23.250	   0.298	  -0.033	   0.044	   0.239	  -0.048	   0.008	   0.142
     143	NGC1452   	 0.453	  -0.209	 0.040	 36.750	   0.000	 0.000	        	        	   0.427	  36.750	        	        	   0.492	  -0.120	   0.129	   0.344	  -0.142	   0.025	
     144	NGC1483   	 0.494	  -0.031	 0.014	  5.250	   0.000	 0.000	   0.439	   5.250	   0.428	   5.250	   0.380	   5.250	   0.454	  -0.038	   0.037	   0.454	  -0.036	   0.016	   0.350
     145	NGC1493   	 0.474	  -0.047	 0.026	  9.750	  -1.500	 0.000	   0.294	   6.750	   0.473	   9.750	   0.293	   6.750	   0.413	  -0.046	   0.053	   0.182	  -0.028	   0.014	   0.036
     146	NGC1512   	 0.278	  -0.097	 0.012	 66.750	   0.000	 0.000	   0.204	  56.250	   0.235	  57.750	   0.178	  53.250	   0.285	  -0.046	   0.038	   0.232	  -0.061	   0.007	   0.152
     147	NGC1533   	 0.095	  -0.048	 0.007	 20.250	   0.000	 0.000	        	        	   0.090	  18.750	        	        	   0.089	  -0.024	   0.023	   0.069	  -0.029	   0.004	
     148	NGC1556   	 0.354	  -0.028	 0.012	 15.750	   0.000	 0.000	   0.288	  15.750	   0.297	  15.750	   0.242	  15.750	   0.305	  -0.036	   0.036	   0.323	  -0.021	   0.008	   0.249
     149	NGC1559   	 0.540	  -0.053	 0.025	  6.750	   0.000	 0.000	        	        	   0.514	   8.250	        	        	   0.438	  -0.044	   0.051	   0.317	  -0.019	   0.010	
     150	NGC1566   	 0.189	  -0.023	 0.031	 32.250	  -1.500	 0.000	   0.185	  30.750	   0.169	  30.750	   0.166	  30.750	   0.189	  -0.023	   0.031	   0.166	  -0.024	   0.030	   0.161
     151	NGC1637   	 0.182	  -0.022	 0.011	 20.250	   0.000	 0.000	   0.167	  20.250	   0.168	  15.750	   0.159	  15.750	   0.173	  -0.027	   0.032	   0.158	  -0.019	   0.013	   0.140
     152	NGC1640   	 0.289	  -0.094	 0.016	 20.250	   1.500	 0.000	   0.239	  18.750	   0.240	  18.750	   0.203	  17.250	   0.278	  -0.048	   0.049	   0.277	  -0.089	   0.014	   0.210
     153	NGC1672   	 0.359	  -0.052	 0.034	 77.250	   0.000	 0.000	   0.266	  62.250	   0.295	  62.250	   0.229	  60.750	   0.362	  -0.071	   0.068	   0.356	  -0.051	   0.033	   0.238
     154	NGC1679   	 0.741	  -0.079	 0.041	  8.250	   0.000	 0.000	   0.676	   8.250	   0.720	   8.250	   0.656	   8.250	   0.654	  -0.077	   0.093	   0.381	  -0.033	   0.015	   0.267
     155	NGC1808   	 0.269	  -0.053	 0.044	 77.250	   4.500	-3.000	        	        	   0.265	  75.750	        	        	   0.269	  -0.051	   0.044	   0.170	  -0.022	   0.015	
     156	NGC1879   	 0.370	  -0.033	 0.016	 15.750	  -3.000	 0.000	   0.287	  12.750	   0.354	  14.250	   0.290	   9.750	   0.434	  -0.035	   0.026	   0.267	  -0.024	   0.010	   0.149
     157	NGC2500   	 0.304	  -0.027	 0.013	 11.250	   0.000	 0.000	   0.261	  11.250	   0.281	  11.250	   0.271	   6.750	   0.283	  -0.032	   0.031	   0.254	  -0.036	   0.017	   0.181
     158	NGC2543   	 0.372	  -0.063	 0.041	 24.750	   0.000	 0.000	   0.295	  24.750	   0.303	  23.250	   0.249	  21.750	   0.348	  -0.084	   0.085	   0.349	  -0.058	   0.040	   0.264
     159	NGC2604   	 0.586	  -0.068	 0.081	  6.750	  -1.500	 0.000	   0.542	   5.250	   0.562	   6.750	   0.527	   5.250	   0.586	  -0.068	   0.081	   0.399	  -0.070	   0.072	   0.317
     160	NGC2608   	 0.491	  -0.061	 0.041	 24.750	   0.000	 0.000	   0.398	  24.750	   0.251	  20.250	   0.214	  18.750	   0.443	  -0.074	   0.084	   0.488	  -0.061	   0.041	   0.396
     161	NGC2633   	 0.135	  -0.014	 0.011	 20.250	   0.000	-1.500	        	        	   0.129	  18.750	        	        	   0.126	  -0.017	   0.021	   0.121	  -0.012	   0.008	
     162	NGC2655   	 0.112	  -0.015	 0.003	 17.250	  -4.500	 0.000	   0.110	  15.750	   0.110	  15.750	   0.108	  15.750	   0.110	  -0.008	   0.010	   0.085	  -0.016	   0.002	   0.074
     163	NGC2681   	 0.058	  -0.011	 0.002	 15.750	  -3.000	 1.500	        	        	   0.045	  11.250	        	        	   0.057	  -0.006	   0.007	   0.058	  -0.012	   0.002	
     164	NGC2712   	 0.292	  -0.041	 0.025	 26.250	   0.000	 0.000	   0.234	  26.250	   0.169	  23.250	   0.140	  23.250	   0.276	  -0.056	   0.053	   0.292	  -0.041	   0.025	   0.233
     165	NGC2743   	 0.278	  -0.022	 0.010	  2.250	   0.000	 0.000	   0.276	   2.250	   0.270	   2.250	   0.268	   2.250	   0.247	  -0.027	   0.026	   0.194	  -0.024	   0.011	   0.190
     166	NGC2750   	 0.088	        	 0.009	 12.750	        	-1.500	   0.086	  12.750	   0.074	  11.250	   0.073	  11.250	   0.094	        	   0.020	   0.101	  -0.012	   0.007	   0.097
     167	NGC2780   	 0.466	  -0.134	 0.025	  8.250	  -1.500	 0.000	   0.352	   6.750	   0.392	   8.250	   0.308	   6.750	   0.461	  -0.072	   0.078	   0.296	  -0.066	   0.010	   0.205
     168	NGC2787   	 0.165	  -0.070	 0.010	 38.250	   0.000	 0.000	   0.136	  36.750	   0.143	  36.750	   0.120	  35.250	   0.155	  -0.035	   0.033	   0.115	  -0.037	   0.005	   0.084
     169	NGC2798   	 0.175	  -0.084	 0.014	 15.750	   1.500	 0.000	        	        	   0.165	  15.750	        	        	   0.179	  -0.044	   0.042	   0.147	  -0.063	   0.009	
     170	NGC2805   	 0.180	  -0.010	 0.005	  8.250	   0.000	 0.000	        	        	   0.129	   9.750	        	        	   0.192	  -0.014	   0.016	   0.211	  -0.017	   0.009	
     171	NGC2854   	 0.215	  -0.032	 0.036	  8.250	   0.000	 0.000	   0.201	   8.250	   0.203	   8.250	   0.190	   8.250	   0.215	  -0.032	   0.036	   0.147	  -0.021	   0.020	   0.134
     172	NGC2859   	 0.124	  -0.058	 0.010	 38.250	   6.000	 0.000	   0.112	  36.750	   0.096	  35.250	   0.088	  33.750	   0.167	  -0.027	   0.022	   0.121	  -0.056	   0.009	   0.107
     173	NGC2893   	 0.160	  -0.034	 0.006	  9.750	   0.000	 0.000	   0.114	   8.250	   0.131	   8.250	   0.107	   5.250	   0.164	  -0.019	   0.020	   0.154	  -0.036	   0.007	   0.089
     174	NGC2894   	 0.131	  -0.021	 0.019	 39.750	  -4.500	-1.500	   0.105	  38.250	   0.115	  32.250	   0.114	  20.250	   0.131	  -0.019	   0.020	   0.116	  -0.014	   0.013	   0.086
     175	NGC2903   	 0.317	  -0.058	 0.040	 62.250	   0.000	 0.000	   0.290	  62.250	   0.291	  59.250	   0.269	  54.750	   0.270	  -0.070	   0.081	   0.264	  -0.040	   0.026	   0.239
     176	NGC2962   	 0.134	  -0.052	 0.006	 27.750	   1.500	 0.000	   0.107	  26.250	   0.111	  26.250	   0.090	  26.250	   0.137	  -0.025	   0.022	   0.121	  -0.044	   0.006	   0.089
     177	NGC2964   	 0.339	  -0.052	 0.034	 21.750	   0.000	 0.000	        	        	   0.254	  20.250	        	        	   0.288	  -0.063	   0.070	   0.339	  -0.052	   0.034	
     178	NGC2968   	 0.151	  -0.040	 0.008	 32.250	  -1.500	 0.000	        	        	   0.138	  30.750	        	        	   0.161	  -0.024	   0.024	   0.129	  -0.034	   0.006	
     179	NGC3020   	 0.501	  -0.064	 0.295	  8.250	   0.000	 0.000	   0.433	   8.250	   0.442	   8.250	   0.385	   6.750	   0.458	  -0.063	   0.072	   0.300	  -0.022	   0.010	   0.250
     180	NGC3049   	 0.353	  -0.037	 0.025	 24.750	   0.000	 1.500	   0.294	  21.750	   0.331	  23.250	   0.281	  20.250	   0.357	  -0.050	   0.048	   0.290	  -0.032	   0.020	   0.207
     181	NGC3055   	 0.127	  -0.016	 0.002	  6.750	   0.000	 0.000	   0.125	   6.750	   0.097	   5.250	   0.096	   5.250	   0.098	  -0.015	   0.018	   0.113	  -0.015	   0.008	   0.110
     182	NGC3061   	 0.180	  -0.038	 0.025	  5.250	   0.000	 0.000	   0.165	   5.250	   0.188	   5.250	   0.173	   5.250	   0.180	  -0.051	   0.050	   0.105	  -0.013	   0.009	   0.081
     183	NGC3066   	 0.290	  -0.033	 0.022	 11.250	   0.000	 0.000	   0.242	  11.250	   0.179	   8.250	   0.160	   8.250	   0.256	  -0.039	   0.045	   0.279	  -0.027	   0.018	   0.238
     184	NGC3147   	 0.097	  -0.006	 0.005	  5.250	  -3.000	 0.000	   0.103	   2.250	   0.098	   2.250	   0.098	   2.250	   0.099	  -0.004	   0.000	   0.086	  -0.006	   0.005	   0.086
     185	NGC3155   	 0.291	  -0.020	 0.012	  3.750	   0.000	 0.000	   0.271	   3.750	   0.282	   3.750	   0.262	   3.750	   0.281	  -0.027	   0.026	   0.202	  -0.021	   0.015	   0.169
     186	NGC3166   	 0.159	  -0.072	 0.012	 30.750	   3.000	 0.000	        	        	   0.152	  30.750	        	        	   0.169	  -0.037	   0.033	   0.119	  -0.045	   0.006	
     187	NGC3185   	 0.167	  -0.058	 0.009	 24.750	   6.000	 0.000	   0.118	  21.750	   0.145	  23.250	   0.104	  21.750	   0.161	  -0.029	   0.028	   0.151	  -0.038	   0.006	   0.089
     188	NGC3190   	 0.256	  -0.034	 0.032	 62.250	  -3.000	 1.500	   0.259	  29.250	   0.270	  29.250	   0.257	  27.750	   0.256	  -0.034	   0.032	   0.219	  -0.028	   0.023	   0.145
     189	NGC3246   	 0.167	  -0.013	 0.007	  5.250	  -1.500	 0.000	   0.153	   3.750	   0.169	   5.250	   0.155	   3.750	   0.158	  -0.016	   0.017	   0.096	  -0.015	   0.007	   0.076
     190	NGC3266   	 0.103	  -0.028	 0.027	  8.250	   0.000	 0.000	   0.072	   6.750	   0.100	   8.250	   0.070	   6.750	   0.103	  -0.028	   0.027	   0.068	  -0.013	   0.010	   0.032
     191	NGC3287   	 0.463	  -0.041	 0.019	 15.750	   0.000	 0.000	   0.412	  15.750	   0.424	  15.750	   0.378	  15.750	   0.395	  -0.048	   0.050	   0.309	  -0.026	   0.011	   0.256
     192	NGC3319   	 0.687	  -0.055	 0.024	  9.750	   0.000	 0.000	   0.652	   9.750	   0.682	   9.750	   0.647	   9.750	   0.729	  -0.068	   0.072	   0.280	  -0.018	   0.008	   0.149
     193	NGC3321   	 0.143	  -0.083	 0.033	  6.750	   0.000	 0.000	   0.131	   6.750	   0.144	   6.750	   0.132	   6.750	   0.122	  -0.043	   0.049	   0.078	  -0.020	   0.009	   0.064
     194	NGC3344   	 0.067	  -0.016	 0.011	 15.750	   0.000	-1.500	   0.061	  14.250	   0.067	  14.250	   0.061	  14.250	   0.063	  -0.021	   0.023	   0.042	  -0.009	   0.007	   0.032
     195	NGC3346   	 0.443	  -0.039	 0.015	  3.750	   0.000	 0.000	   0.435	   3.750	   0.452	   3.750	   0.444	   3.750	   0.402	  -0.031	   0.038	   0.160	  -0.034	   0.017	   0.141
     196	NGC3351   	 0.227	  -0.058	 0.012	 51.750	  -1.500	 0.000	   0.204	  50.250	   0.201	  48.750	   0.182	  47.250	   0.238	  -0.035	   0.037	   0.169	  -0.035	   0.005	   0.141
     197	NGC3359   	 0.723	  -0.070	 0.037	 14.250	  -1.500	 0.000	   0.681	  12.750	   0.718	  14.250	   0.678	  12.750	   0.654	  -0.068	   0.084	   0.304	  -0.034	   0.015	   0.215
     198	NGC3368   	 0.241	  -0.029	 0.028	 68.250	  -1.500	-1.500	   0.226	  65.250	   0.177	  59.250	   0.169	  57.750	   0.241	  -0.029	   0.028	   0.232	  -0.026	   0.023	   0.213
