#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:14 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:14	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/587/A160/tablea3&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_587_A160_tablea3:
#Name: J/A+A/587/A160/tablea3
#Title: Bar intrinsic ellipticity and parameters from the Fourier dissection of bars
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;meta.main]
#Column	Ell	(F8.3)	? Bar intrinsic ellipticity	[ucd=src.ellipticity]
#Column	A2	(F6.3)	? Bar maximum normalized m=2 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA2	(F7.3)	? Bar maximum normalized m=2 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A4	(F8.3)	? Bar maximum normalized m=4 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA4	(F8.3)	? Bar maximum normalized m=4 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A6	(F8.3)	? Bar maximum normalized m=6 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA6	(F8.3)	? Bar maximum normalized m=6 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A8	(F8.3)	? Bar maximum normalized m=8 Fourier amplitude	[ucd=src.var.amplitude]
#Column	RA8	(F8.3)	? Bar maximum normalized m=8 Fourier amplitude radius	[ucd=phys.angSize;stat.max]
#Column	A2rbar	(F8.3)	? Normalized m=2 Fourier amplitude evaluated at the end of the bar	[ucd=src.var.amplitude]
recno	Galaxy	Ell	A2	RA2	A4	RA4	A6	RA6	A8	RA8	A2rbar
     221	NGC3626   	   0.208	 0.362	 23.250	   0.079	  23.250	        	        	        	        	   0.154
     222	NGC3627   	   0.605	 0.706	 56.250	   0.377	  56.250	   0.240	  56.250	   0.207	  56.250	   0.459
     223	NGC3637   	   0.401	 0.378	 15.750	   0.196	  14.250	   0.100	  15.750	   0.055	  15.750	   0.348
     224	NGC3654   	   0.821	 0.673	  8.250	   0.307	   8.250	   0.146	   8.250	   0.065	   8.250	   0.540
     225	NGC3659   	   0.665	 0.416	 11.250	   0.166	  11.250	        	        	        	        	   0.249
     226	NGC3664   	        	 0.672	 12.750	   0.320	  12.750	        	        	        	        	   0.610
     227	NGC3673   	   0.586	 0.517	 39.750	   0.296	  44.250	   0.173	  42.750	        	        	   0.553
     228	NGC3681   	   0.340	 0.333	  8.250	   0.095	   8.250	        	        	        	        	   0.137
     229	NGC3683A  	        	 0.118	  8.250	        	        	        	        	        	        	   0.117
     230	NGC3684   	   0.346	 0.199	 11.250	   0.092	  11.250	        	        	        	        	   0.181
     231	NGC3686   	        	 0.325	 11.250	   0.099	  12.750	        	        	        	        	   0.205
     232	NGC3687   	        	 0.302	  6.750	   0.099	   6.750	        	        	        	        	   0.167
     233	NGC3691   	   0.693	 0.323	 20.250	   0.235	  20.250	        	        	        	        	   0.260
     234	NGC3705   	        	 0.384	 18.750	   0.081	  21.750	        	        	        	        	   0.055
     235	NGC3715   	   0.389	 0.223	  5.250	   0.050	   5.250	        	        	        	        	   0.140
     236	NGC3726   	   0.675	 0.235	 30.750	   0.070	  30.750	        	        	        	        	   0.169
     237	NGC3729   	   0.626	 0.357	 20.250	   0.164	  18.750	        	        	        	        	   0.177
     238	NGC3757   	   0.210	 0.240	 11.250	   0.093	  14.250	        	        	        	        	   0.124
     239	NGC3782   	   0.608	 0.515	 14.250	   0.338	  21.750	   0.253	  21.750	        	        	   0.694
     240	NGC3795A  	   0.542	 0.282	 11.250	        	        	        	        	        	        	   0.251
     241	NGC3846A  	        	 0.313	 14.250	        	        	        	        	        	        	   0.254
     242	NGC3850   	   0.425	 0.279	 12.750	        	        	        	        	        	        	   0.258
     243	NGC3885   	        	 0.396	  8.250	        	        	        	        	        	        	
     244	NGC3887   	   0.667	 0.275	 21.750	   0.200	  27.750	        	        	        	        	   0.358
     245	NGC3892   	   0.446	 0.426	 32.250	   0.130	  33.750	        	        	        	        	   0.393
     246	NGC3906   	   0.808	 0.536	 14.250	   0.259	  14.250	   0.171	  14.250	   0.111	  14.250	   0.394
     247	NGC3912   	   0.483	 0.449	  9.750	   0.152	   9.750	        	        	        	        	   0.408
     248	NGC3930   	        	 0.277	 32.250	        	        	        	        	        	        	   0.265
     249	NGC3941   	   0.255	 0.317	 21.750	   0.113	  21.750	   0.047	  21.750	        	        	   0.185
     250	NGC3949   	   0.133	 0.085	  6.750	   0.047	  11.250	        	        	        	        	   0.084
     251	NGC3953   	   0.560	 0.470	 29.250	   0.200	  32.250	   0.102	  30.750	   0.052	  32.250	   0.178
     252	NGC3985   	   0.519	 0.319	  5.250	        	        	        	        	        	        	   0.281
     253	NGC3992   	   0.596	 0.564	 48.750	   0.282	  53.250	   0.138	  54.750	   0.068	  53.250	   0.273
     254	NGC4020   	   0.492	 0.386	 27.750	        	        	        	        	        	        	   0.382
     255	NGC4027   	   0.711	 0.617	  8.250	   0.318	   8.250	   0.185	   8.250	   0.105	   8.250	   0.461
     256	NGC4034   	   0.426	 0.209	  8.250	        	        	        	        	        	        	   0.143
     257	NGC4037   	   0.610	 0.397	 24.750	   0.150	  21.750	        	        	        	        	   0.311
     258	NGC4041   	   0.504	 0.241	  5.250	   0.108	   5.250	        	        	        	        	   0.228
     259	NGC4045   	   0.573	 0.418	 17.250	   0.222	  18.750	   0.084	  17.250	   0.058	  18.750	   0.577
     260	NGC4050   	   0.585	 0.421	 41.250	   0.145	  42.750	        	        	        	        	   0.480
     261	NGC4051   	   0.688	 0.788	 65.250	        	        	        	        	        	        	   0.627
     262	NGC4064   	   0.484	 0.512	 24.750	   0.190	  23.250	   0.104	  24.750	        	        	   0.338
     263	NGC4067   	   0.443	 0.367	  8.250	   0.155	   8.250	   0.078	   8.250	        	        	   0.186
     264	NGC4080   	        	 0.183	 11.250	   0.089	  14.250	        	        	        	        	   0.152
     265	NGC4102   	   0.324	 0.483	 15.750	        	        	        	        	        	        	   0.472
     266	NGC4123   	   0.680	 0.621	 36.750	   0.285	  36.750	        	        	        	        	   0.575
     267	NGC4133   	   0.482	 0.460	 11.250	   0.157	  11.250	        	        	        	        	   0.376
     268	NGC4136   	   0.489	 0.222	 14.250	   0.060	  14.250	        	        	        	        	   0.166
     269	NGC4141   	   0.354	 0.151	  6.750	        	        	        	        	        	        	   0.070
     270	NGC4142   	   0.719	 0.241	  9.750	        	        	        	        	        	        	   0.245
     271	NGC4151   	   0.331	 0.461	 66.750	   0.216	  66.750	        	        	        	        	   0.451
     272	NGC4152   	   0.512	 0.483	 15.750	   0.118	   6.750	        	        	        	        	   0.093
     273	NGC4158   	   0.289	 0.122	  6.750	   0.051	   5.250	        	        	        	        	   0.117
     274	NGC4165   	   0.269	 0.086	  8.250	        	        	        	        	        	        	   0.066
     275	NGC4189   	   0.577	 0.253	  8.250	   0.093	  12.750	        	        	        	        	   0.164
     276	NGC4203   	   0.143	 0.133	 12.750	        	        	        	        	        	        	   0.103
     277	NGC4204   	   0.815	 0.953	 20.250	   0.459	  20.250	        	        	        	        	   0.641
     278	NGC4210   	   0.625	 0.418	  8.250	   0.137	   8.250	   0.071	   6.750	        	        	   0.179
     279	NGC4242   	   0.363	 0.235	 47.250	   0.057	  47.250	        	        	        	        	   0.234
     280	NGC4245   	   0.524	 0.557	 38.250	   0.175	  26.250	   0.100	  29.250	        	        	   0.517
     281	NGC4250   	   0.609	 1.325	 53.250	   0.660	  50.250	   0.350	  53.250	        	        	   1.138
     282	NGC4262   	   0.303	 0.356	 11.250	   0.150	  12.750	   0.103	  12.750	   0.039	  12.750	   0.272
     283	NGC4267   	   0.215	 0.214	 14.250	   0.063	  14.250	   0.069	  15.750	   0.010	  11.250	   0.184
     284	NGC4276   	   0.586	 0.411	 11.250	   0.134	  11.250	   0.057	   8.250	        	        	   0.412
     285	NGC4293   	   0.543	 0.692	 74.250	   0.282	  74.250	   0.155	  72.750	   0.098	  72.750	   0.547
     286	NGC4303   	   0.684	 0.550	 36.750	   0.191	  35.250	        	        	        	        	   0.549
     287	NGC4309   	   0.356	 0.220	 20.250	   0.125	  21.750	        	        	        	        	   0.249
     288	NGC4314   	   0.662	 0.896	 63.750	   0.574	  54.750	   0.403	  56.250	   0.276	  63.750	   0.789
     289	NGC4319   	   0.396	 0.329	 15.750	   0.106	  14.250	        	        	        	        	   0.257
     290	NGC4321   	   0.617	 0.343	 60.750	   0.344	  65.250	        	        	        	        	   0.233
     291	NGC4336   	   0.581	 0.393	  6.750	   0.122	   6.750	        	        	        	        	   0.195
     292	NGC4371   	   0.597	 0.618	 57.750	   0.326	  57.750	   0.171	  57.750	   0.099	  56.250	   0.480
     293	NGC4385   	   0.509	 0.510	 30.750	        	        	        	        	        	        	   0.509
     294	NGC4389   	   0.727	 0.649	 20.250	   0.351	  18.750	   0.218	  18.750	   0.143	  18.750	   0.674
     295	NGC4390   	   0.488	 0.201	  9.750	   0.068	  11.250	        	        	        	        	   0.063
     296	NGC4394   	   0.552	 0.547	 33.750	   0.287	  33.750	   0.164	  35.250	   0.103	  33.750	   0.365
     297	NGC4405   	   0.487	 0.219	  6.750	   0.084	   6.750	        	        	        	        	   0.180
     298	NGC4411A  	   0.581	 0.321	  5.250	        	        	        	        	        	        	   0.214
     299	NGC4412   	   0.718	 0.408	 14.250	   0.201	  12.750	        	        	        	        	   0.396
     300	NGC4416   	   0.724	 0.422	  3.750	   0.113	   3.750	        	        	        	        	   0.381
     301	NGC4430   	   0.592	 0.295	  9.750	   0.084	   6.750	        	        	        	        	   0.164
     302	NGC4449   	   0.710	 0.513	 30.750	   0.253	  30.750	        	        	        	        	   0.357
     303	NGC4450   	   0.384	 0.348	 44.250	   0.126	  44.250	        	        	        	        	   0.320
     304	NGC4454   	   0.500	 0.291	 18.750	   0.097	  18.750	        	        	        	        	   0.248
     305	NGC4457   	   0.324	 0.356	 27.750	   0.131	  29.250	        	        	        	        	   0.367
     306	NGC4462   	   0.434	 0.436	 27.750	   0.160	  30.750	        	        	        	        	   0.364
     307	NGC4487   	   0.442	 0.201	  9.750	   0.077	   9.750	        	        	        	        	   0.171
     308	NGC4491   	        	 0.281	 14.250	   0.107	  14.250	   0.045	  14.250	        	        	   0.272
     309	NGC4498   	   0.729	 0.510	 26.250	   0.258	  26.250	        	        	        	        	   0.512
     310	NGC4502   	   0.444	 0.273	  9.750	        	        	        	        	        	        	   0.191
     311	NGC4503   	        	 0.261	 47.250	   0.094	  47.250	        	        	        	        	   0.248
     312	NGC4504   	   0.106	 0.092	 11.250	   0.016	  11.250	        	        	        	        	   0.098
     313	NGC4519   	   0.611	 0.388	  8.250	   0.111	   5.250	        	        	        	        	   0.445
     314	NGC4525   	   0.515	 0.232	  9.750	        	        	        	        	        	        	   0.247
     315	NGC4528   	   0.458	 0.397	  6.750	   0.145	   8.250	   0.074	   8.250	   0.043	   9.750	   0.147
     316	NGC4534   	   0.315	 0.159	 11.250	        	        	        	        	        	        	   0.140
     317	NGC4535   	   0.655	 0.524	 35.250	   0.261	  35.250	   0.139	  36.750	   0.090	  35.250	   0.498
     318	NGC4536   	   0.613	 0.676	 65.250	   0.306	  66.750	   0.165	  65.250	        	        	   0.673
     319	NGC4540   	   0.528	 0.311	 17.250	   0.094	  17.250	        	        	        	        	   0.281
     320	NGC4545   	   0.592	 0.264	  8.250	   0.073	   8.250	        	        	        	        	   0.188
     321	NGC4548   	   0.637	 0.676	 56.250	   0.305	  63.750	        	        	        	        	   0.516
     322	NGC4559   	   0.605	 0.286	 15.750	   0.136	  17.250	        	        	        	        	   0.219
     323	NGC4561   	   0.849	 0.399	  9.750	   0.165	   8.250	   0.124	   9.750	   0.086	   9.750	   0.272
     324	NGC4579   	   0.454	 0.469	 32.250	   0.232	  33.750	   0.125	  33.750	   0.064	  35.250	   0.240
     325	NGC4584   	        	 0.313	  5.250	   0.068	   5.250	        	        	        	        	   0.212
     326	NGC4591   	   0.327	 0.178	  8.250	   0.071	   6.750	        	        	        	        	   0.177
     327	NGC4593   	   0.616	 0.807	 60.750	   0.365	  39.750	   0.205	  47.250	   0.172	  50.250	   0.778
     328	NGC4596   	   0.542	 0.621	 51.750	   0.333	  50.250	   0.208	  48.750	   0.136	  48.750	   0.478
     329	NGC4597   	   0.737	 0.546	 63.750	        	        	        	        	        	        	   0.530
     330	NGC4604   	   0.486	 0.539	 11.250	   0.181	  11.250	        	        	        	        	   0.537
     331	NGC4618   	   0.673	 0.421	 26.250	   0.162	  24.750	        	        	        	        	   0.403
     332	NGC4625   	   0.373	 0.236	 11.250	        	        	        	        	        	        	   0.196
     333	NGC4639   	   0.550	 0.539	 27.750	   0.152	  27.750	        	        	        	        	   0.490
     334	NGC4643   	   0.566	 0.813	 38.250	   0.526	  41.250	   0.362	  41.250	   0.235	  41.250	   0.393
     335	NGC4653   	   0.502	 0.180	 14.250	        	        	        	        	        	        	   0.178
     336	NGC4659   	   0.390	 0.212	  8.250	   0.086	   9.750	   0.047	   9.750	   0.029	   9.750	   0.199
     337	NGC4668   	   0.372	 0.210	 11.250	   0.112	  12.750	        	        	        	        	   0.179
     338	NGC4680   	   0.643	 0.421	  9.750	        	        	        	        	        	        	   0.356
     339	NGC4688   	   0.698	 0.364	 15.750	   0.191	  12.750	        	        	        	        	   0.348
     340	NGC4699   	   0.379	 0.283	 11.250	   0.119	  11.250	   0.056	  11.250	   0.044	  12.750	   0.161
     341	NGC4713   	   0.434	 0.168	 11.250	        	        	        	        	        	        	   0.165
     342	NGC4725   	   0.574	 0.421	 96.750	   0.227	 107.250	        	        	        	        	   0.547
     343	NGC4731   	   0.859	 1.139	 68.250	   0.737	  68.250	        	        	        	        	   0.962
     344	NGC4733   	   0.325	 0.193	 11.250	   0.072	   9.750	   0.027	   9.750	        	        	   0.130
     345	NGC4736   	   0.229	 0.515	215.250	   0.028	  86.250	        	        	        	        	   0.451
     346	NGC4754   	   0.515	 0.680	 33.750	   0.305	  38.250	   0.147	  42.750	   0.083	  42.750	   0.369
     347	NGC4779   	   0.729	 0.614	 21.750	   0.230	  14.250	   0.127	  15.750	   0.105	  17.250	   0.638
     348	NGC4781   	   0.633	 0.386	 18.750	   0.120	  17.250	        	        	        	        	   0.217
     349	NGC4795   	   0.491	 0.511	 12.750	   0.186	  12.750	   0.091	  12.750	   0.050	  14.250	   0.404
     350	NGC4880   	   0.204	 0.134	 11.250	        	        	        	        	        	        	   0.080
     351	NGC4897   	   0.479	 0.418	 14.250	        	        	        	        	        	        	   0.341
     352	NGC4900   	        	 0.455	  6.750	   0.192	   6.750	        	        	        	        	   0.322
     353	NGC4902   	   0.574	 0.512	 17.250	   0.274	  17.250	   0.148	  18.750	   0.102	  18.750	   0.116
     354	NGC4904   	   0.797	 0.721	 12.750	   0.434	  15.750	   0.326	  15.750	   0.219	  17.250	   0.607
     355	NGC4942   	   0.446	 0.200	  9.750	        	        	        	        	        	        	   0.173
     356	NGC4948A  	   0.579	 0.375	 11.250	        	        	        	        	        	        	   0.335
     357	NGC4961   	   0.457	 0.284	  6.750	   0.078	   8.250	        	        	        	        	   0.203
     358	NGC4965   	   0.333	 0.184	  6.750	        	        	        	        	        	        	   0.173
     359	NGC4981   	   0.414	 0.172	 17.250	        	        	        	        	        	        	   0.164
     360	NGC4984   	   0.560	 0.836	 53.250	   0.355	  57.750	   0.163	  57.750	   0.094	  57.750	   0.804
     361	NGC5042   	        	 0.310	 12.750	   0.092	  12.750	        	        	        	        	   0.161
     362	NGC5068   	   0.516	 0.423	 23.250	   0.207	  23.250	        	        	        	        	   0.253
     363	NGC5079   	   0.722	 0.395	 12.750	   0.134	   9.750	        	        	        	        	   0.348
     364	NGC5101   	   0.492	 0.663	 45.750	   0.377	  42.750	   0.241	  45.750	   0.158	  47.250	   0.643
     365	NGC5112   	   0.767	 0.570	  9.750	   0.226	   9.750	   0.113	   9.750	        	        	   0.271
     366	NGC5117   	   0.444	 0.483	 23.250	        	        	        	        	        	        	   0.447
     367	NGC5134   	   0.626	 1.058	 50.250	   0.566	  48.750	   0.317	  48.750	   0.188	  48.750	   1.023
     368	NGC5147   	   0.573	 0.171	  6.750	   0.155	  12.750	        	        	        	        	   0.171
     369	NGC5194   	   0.434	 0.250	 17.250	        	        	        	        	        	        	   0.234
     370	NGC5195   	   0.510	 0.330	 50.250	   0.149	  42.750	   0.068	  50.250	        	        	   0.316
     371	NGC5205   	   0.674	 0.428	 11.250	   0.197	  14.250	   0.134	  17.250	   0.063	  17.250	   0.475
     372	NGC5218   	   0.590	 0.577	 14.250	   0.301	  17.250	   0.012	   2.250	        	        	   0.580
     373	NGC5236   	   0.695	 0.467	 80.250	   0.288	  83.250	        	        	        	        	   0.417
     374	NGC5240   	   0.547	 0.328	  9.750	   0.113	  11.250	        	        	        	        	   0.219
     375	NGC5248   	        	 0.324	 15.750	        	        	        	        	        	        	   0.151
     376	NGC5334   	   0.627	 0.369	 11.250	   0.146	  12.750	        	        	        	        	   0.167
     377	NGC5337   	   0.433	 0.276	  8.250	   0.103	   8.250	   0.050	   9.750	        	        	   0.211
     378	NGC5338   	   0.463	 0.354	 14.250	   0.125	  17.250	        	        	        	        	   0.320
     379	NGC5339   	   0.724	 0.513	 20.250	   0.209	  20.250	   0.119	  20.250	   0.056	  20.250	   0.631
     380	NGC5347   	   0.557	 0.409	 20.250	   0.212	  18.750	   0.134	  17.250	   0.080	  20.250	   0.522
     381	NGC5350   	   0.745	 0.485	 12.750	   0.225	  15.750	   0.113	  17.250	   0.064	  18.750	   0.279
     382	NGC5353   	   0.386	 0.546	 23.250	   0.225	  20.250	   0.101	  21.750	   0.048	  18.750	   0.540
     383	NGC5371   	   0.519	 0.377	 21.750	   0.117	  20.250	        	        	        	        	   0.366
     384	NGC5375   	   0.519	 0.512	 24.750	   0.313	  23.250	   0.207	  23.250	   0.162	  24.750	   0.425
     385	NGC5377   	   0.498	 0.990	 68.250	   0.449	  66.750	   0.234	  66.750	   0.139	  65.250	   0.616
     386	NGC5383   	   0.570	 0.814	 48.750	   0.525	  48.750	   0.201	  47.250	        	        	   0.747
     387	NGC5430   	   0.534	 0.739	 20.250	   0.439	  20.250	   0.275	  24.750	   0.203	  20.250	   0.604
     388	NGC5457   	   0.555	 0.206	 42.750	   0.042	  42.750	        	        	        	        	   0.162
     389	NGC5464   	        	 0.316	 12.750	   0.097	  11.250	        	        	        	        	   0.273
     390	NGC5473   	   0.367	 0.302	 14.250	   0.130	  14.250	   0.046	  15.750	        	        	   0.124
     391	NGC5476   	   0.467	 0.187	  8.250	        	        	        	        	        	        	   0.186
     392	NGC5486   	   0.550	 0.284	  6.750	   0.117	   8.250	   0.068	   8.250	        	        	   0.147
     393	NGC5507   	        	 0.451	 11.250	   0.123	  14.250	        	        	        	        	   0.341
     394	NGC5534   	   0.557	 0.879	 15.750	   0.455	  15.750	   0.260	  14.250	   0.158	  14.250	   0.658
     395	NGC5569   	        	 0.297	  9.750	        	        	        	        	        	        	   0.306
     396	NGC5574   	   0.579	 0.875	 26.250	   0.546	  30.750	   0.278	  30.750	   0.173	  32.250	   0.645
     397	NGC5584   	   0.544	 0.347	  3.750	   0.101	   5.250	        	        	        	        	   0.262
     398	NGC5595   	        	 0.261	  5.250	   0.053	   5.250	        	        	        	        	   0.123
     399	NGC5597   	        	 0.887	  3.750	   0.396	   5.250	   0.178	   5.250	   0.082	   6.750	   0.505
     400	NGC5600   	   0.436	 0.279	  3.750	   0.069	   5.250	        	        	        	        	   0.183
     401	NGC5604   	        	 0.112	  3.750	   0.012	   3.750	        	        	        	        	   0.060
     402	NGC5636   	   0.626	 0.321	 15.750	   0.179	  18.750	        	        	        	        	   0.291
     403	NGC5645   	   0.681	 0.430	  9.750	   0.157	  14.250	   0.030	   6.750	   0.030	   6.750	   0.379
     404	NGC5668   	   0.334	 0.134	 11.250	        	        	        	        	        	        	   0.123
     405	NGC5669   	   0.703	 0.381	  6.750	   0.101	   5.250	        	        	        	        	   0.277
     406	NGC5691   	   0.769	 0.481	  5.250	   0.185	   8.250	        	        	        	        	   0.513
     407	NGC5693   	   0.532	 0.345	  9.750	   0.150	  11.250	   0.095	  11.250	        	        	   0.220
     408	NGC5701   	   0.427	 0.514	 33.750	   0.208	  33.750	   0.093	  32.250	        	        	   0.506
     409	NGC5713   	   0.679	 0.482	 12.750	   0.226	  11.250	   0.154	  11.250	        	        	   0.595
     410	NGC5728   	   0.653	 1.149	 59.250	   0.685	  59.250	   0.406	  59.250	   0.256	  60.750	   1.061
     411	NGC5740   	   0.531	 0.331	 18.750	        	        	        	        	        	        	   0.261
     412	NGC5750   	   0.614	 0.405	 23.250	   0.128	  27.750	        	        	        	        	   0.362
     413	NGC5757   	   0.659	 0.714	 21.750	   0.359	  12.750	   0.224	  21.750	   0.163	  20.250	   0.713
     414	NGC5768   	   0.531	 0.272	  9.750	        	        	        	        	        	        	   0.264
     415	NGC5770   	   0.470	 0.530	 18.750	   0.229	  18.750	   0.106	  18.750	        	        	   0.456
     416	NGC5781   	        	 0.606	  8.250	   0.293	   8.250	   0.143	   9.750	   0.066	   9.750	   0.334
     417	NGC5806   	   0.462	 0.442	 36.750	   0.222	  35.250	   0.150	  38.250	        	        	   0.418
     418	NGC5832   	   0.492	 0.426	 45.750	        	        	        	        	        	        	   0.426
     419	NGC5850   	   0.651	 0.742	 71.250	   0.391	  71.250	   0.245	  69.750	   0.167	  68.250	   0.713
     420	NGC5885   	   0.588	 0.276	  9.750	        	        	        	        	        	        	   0.265
     421	NGC5892   	   0.401	 0.259	  5.250	   0.083	   5.250	        	        	        	        	   0.235
     422	NGC5913   	   0.740	 0.725	 20.250	   0.349	  18.750	   0.178	  20.250	   0.134	  18.750	   0.623
     423	NGC5921   	   0.730	 0.404	 18.750	   0.230	  24.750	   0.127	  23.250	   0.139	  29.250	   0.607
     424	NGC5930   	   0.605	 0.582	 12.750	   0.262	  12.750	   0.128	  14.250	   0.065	  14.250	   0.490
     425	NGC5950   	   0.768	 0.640	  8.250	   0.308	   9.750	   0.162	   8.250	   0.100	   9.750	   0.608
     426	NGC5956   	   0.432	 0.338	  5.250	   0.135	   5.250	   0.078	   6.750	        	        	   0.267
     427	NGC5957   	   0.587	 0.346	 14.250	   0.143	  17.250	   0.083	  18.750	        	        	   0.297
     428	NGC5958   	   0.513	 0.226	  5.250	   0.063	   5.250	        	        	        	        	   0.105
     429	NGC5962   	   0.505	 0.380	 12.750	   0.205	  14.250	   0.099	  14.250	        	        	   0.345
     430	NGC5963   	   0.241	 0.089	  3.750	        	        	        	        	        	        	   0.088
     431	NGC5964   	   0.725	 0.709	 17.250	   0.388	  18.750	   0.290	  17.250	   0.213	  17.250	   0.523
     432	NGC5970   	   0.462	 0.348	 14.250	   0.154	  14.250	   0.067	  14.250	   0.040	  15.750	   0.320
     433	NGC5985   	   0.339	 0.192	 11.250	        	        	        	        	        	        	   0.163
     434	NGC6012   	   0.657	 0.870	 20.250	   0.539	  21.750	   0.350	  23.250	   0.255	  21.750	   0.830
     435	NGC6014   	   0.390	 0.331	 14.250	   0.101	  12.750	        	        	        	        	   0.330
     436	NGC6140   	   0.672	 0.411	 11.250	   0.138	   6.750	        	        	        	        	   0.248
     437	NGC6155   	   0.337	 0.137	  3.750	   0.020	   3.750	        	        	        	        	   0.100
     438	NGC6217   	   0.744	 0.561	 27.750	   0.432	  32.250	   0.201	  23.250	   0.157	  24.750	   0.781
     439	NGC6236   	   0.655	 0.169	  6.750	        	        	        	        	        	        	   0.142
     440	NGC6267   	   0.801	 0.438	 15.750	   0.263	  20.250	   0.222	  20.250	        	        	   0.445
     441	NGC6339   	   0.841	 0.983	 12.750	   0.624	  14.250	   0.412	  14.250	   0.281	  12.750	   0.750
     442	NGC6412   	   0.415	 0.236	  3.750	   0.084	   8.250	        	        	        	        	   0.153
     443	NGC6434   	   0.618	 0.488	  9.750	   0.160	  12.750	   0.104	  14.250	   0.064	  15.750	   0.447
     444	NGC6889   	   0.568	 0.291	  5.250	   0.099	   5.250	   0.081	   6.750	   0.029	   8.250	   0.197
     445	NGC6902   	   0.339	 0.135	 15.750	        	        	        	        	        	        	   0.118
     446	NGC6902B  	   0.229	 0.146	  8.250	        	        	        	        	        	        	   0.117
     447	NGC6923   	   0.257	 0.367	 12.750	   0.179	  12.750	   0.091	  12.750	        	        	   0.369
     448	NGC7051   	   0.471	 0.591	  8.250	   0.216	   9.750	   0.071	   9.750	        	        	   0.519
     449	NGC7070   	   0.539	 0.320	  5.250	   0.087	   5.250	        	        	        	        	   0.152
     450	NGC7079   	   0.303	 0.270	 15.750	   0.071	  17.250	        	        	        	        	   0.162
     451	NGC7091   	   0.706	 0.477	  9.750	   0.166	   9.750	        	        	        	        	   0.508
     452	NGC7098   	   0.433	 0.567	 45.750	   0.210	  47.250	        	        	        	        	   0.445
     453	NGC7107   	   0.467	 0.402	  6.750	   0.174	  14.250	        	        	        	        	   0.204
     454	NGC7140   	   0.651	 0.805	 60.750	   0.399	  60.750	   0.315	  60.750	        	        	   0.697
     455	NGC7154   	   0.755	 0.582	 17.250	        	        	        	        	        	        	   0.645
     456	NGC7162A  	   0.915	 0.697	 14.250	   0.312	  14.250	        	        	        	        	   0.593
     457	NGC7163   	        	 0.399	 32.250	        	        	        	        	        	        	   0.396
     458	NGC7171   	   0.428	 0.325	 21.750	        	        	        	        	        	        	   0.259
     459	NGC7179   	   0.531	 0.595	 27.750	   0.272	  27.750	   0.141	  27.750	   0.110	  27.750	   0.547
     460	NGC7188   	        	 0.350	  8.250	        	        	        	        	        	        	   0.039
     461	NGC7191   	   0.243	 0.179	  8.250	        	        	        	        	        	        	   0.162
     462	NGC7218   	   0.778	 0.668	  8.250	   0.319	   8.250	   0.173	   8.250	   0.098	   8.250	   0.553
     463	NGC7219   	   0.501	 0.594	 12.750	   0.166	  12.750	        	        	        	        	   0.589
     464	NGC7254   	   0.480	 0.399	  8.250	   0.119	   8.250	        	        	        	        	   0.393
     465	NGC7280   	   0.171	 0.180	  9.750	        	        	        	        	        	        	   0.143
     466	NGC7371   	   0.268	 0.173	  8.250	   0.041	   8.250	        	        	        	        	   0.127
     467	NGC7412   	   0.598	 0.548	 33.750	   0.295	  33.750	        	        	        	        	   0.514
     468	NGC7418   	   0.709	 0.302	 23.250	        	        	        	        	        	        	   0.246
