#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:29:01 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:29:02	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/582/A86/table3&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35820086
#Name: J/A+A/582/A86
#Title: Catalogue of features in the S4G (Herrera-Endoqui+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/a+a/582/a86	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/582/a86	    IVOID of underlying data collection
#INFO	creator=Herrera-Endoqui M.	    First author or institution
#INFO	cites=bibcode:2015A&A...582A..86H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/582/A86	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35820086	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-04-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_582_A86_table3:
#Name: J/A+A/582/A86/table3
#Title: Properties of spiral arms in the S4G; corrected version sent by the author
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Class	(a24)	Morphological classification	[ucd=src.morph]
#Column	Type	(A1)	Type of arms (3)	[ucd=src.morph.type]
#Column	Segment	(A3)	Segment	[ucd=obs.field]
#Column	Pitchang	(F5.1)	Pitch angle	[ucd=src.morph.param]
#Column	ri	(F5.1)	Inner radius	[ucd=phys.angSize;src]
#Column	ro	(F5.1)	Outer radius	[ucd=phys.angSize;src]
#Column	Qual	(F4.1)	[1/2] Quality flag (4)	[ucd=meta.code.qual]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Name	Class	Type	Segment	Pitchang	ri	ro	Qual	Simbad	_RA	_DE
     458	NGC2701   	S_AB(s)_bcpec           	F	sp6	 24.6	 31.9	 41.8	 2.0	Simbad	134.77383	+53.77176
     459	NGC2701   	S_AB(s)_bcpec           	F	sp7	 13.9	 38.8	 52.2	 2.0	Simbad	134.77383	+53.77176
     460	NGC2710   	SB(s)b_c                	G	sp1	 -4.2	 14.9	 15.9	 1.0	Simbad	134.95142	+55.70644
     461	NGC2710   	SB(s)b_c                	G	sp2	-24.9	 18.2	 41.2	 1.0	Simbad	134.95142	+55.70644
     462	NGC2710   	SB(s)b_c                	G	sp3	-31.8	 10.1	 55.9	 1.0	Simbad	134.95142	+55.70644
     463	NGC2712   	(R')SAB(rsnl)a_b        	M	sp1	  8.2	 27.6	 48.4	 1.0	Simbad	134.87691	+44.91400
     464	NGC2712   	(R')SAB(rsnl)a_b        	M	sp2	 10.5	 26.8	 53.2	 1.0	Simbad	134.87691	+44.91400
     465	NGC2715   	SA(r_s)b_c              	F	sp1	 26.8	 44.6	140.9	 2.0	Simbad	137.02586	+78.08534
     466	NGC2715   	SA(r_s)b_c              	F	sp2	 19.1	 55.4	116.4	 2.0	Simbad	137.02586	+78.08534
     467	NGC2715   	SA(r_s)b_c              	F	sp3	 24.5	 41.8	101.2	 2.0	Simbad	137.02586	+78.08534
     468	NGC2715   	SA(r_s)b_c              	F	sp4	 30.3	 43.4	 98.6	 2.0	Simbad	137.02586	+78.08534
     469	NGC2742   	SA(s)c                  	M	sp1	 -2.9	 14.8	 15.9	 2.0	Simbad	136.88990	+60.47940
     470	NGC2742   	SA(s)c                  	M	sp2	-35.0	 15.8	 38.8	 2.0	Simbad	136.88990	+60.47940
     471	NGC2742   	SA(s)c                  	M	sp3	-14.8	 39.6	 62.3	 2.0	Simbad	136.88990	+60.47940
     472	NGC2742   	SA(s)c                  	M	sp4	-34.2	 19.3	 72.1	 2.0	Simbad	136.88990	+60.47940
     473	NGC2742   	SA(s)c                  	M	sp5	-13.1	 12.2	 16.7	 2.0	Simbad	136.88990	+60.47940
     474	NGC2742   	SA(s)c                  	M	sp6	-25.3	 17.3	 63.6	 2.0	Simbad	136.88990	+60.47940
     475	NGC2742   	SA(s)c                  	M	sp7	-29.4	 15.6	 65.2	 2.0	Simbad	136.88990	+60.47940
     476	NGC2743   	SB(rs)d_m               	F	sp1	-18.1	 10.6	 32.0	 2.0	Simbad	136.22500	+25.00405
     477	NGC2750   	S_AB(s)_bcpec           	M	sp1	 17.4	 14.7	 53.8	 1.0	Simbad	136.44955	+25.43736
     478	NGC2750   	S_AB(s)_bcpec           	M	sp2	  1.0	 55.1	 56.2	 1.0	Simbad	136.44955	+25.43736
     479	NGC2750   	S_AB(s)_bcpec           	M	sp3	 42.0	 19.2	 72.5	 1.0	Simbad	136.44955	+25.43736
     480	NGC2750   	S_AB(s)_bcpec           	M	sp4	 18.7	 20.5	 53.5	 1.0	Simbad	136.44955	+25.43736
     481	NGC2770   	SAB(rs)b_csp            	M	sp1	 -9.6	 28.9	 42.6	 2.0	Simbad	137.39009	+33.12341
     482	NGC2770   	SAB(rs)b_csp            	M	sp2	-18.4	 35.9	 80.5	 2.0	Simbad	137.39009	+33.12341
     483	NGC2770   	SAB(rs)b_csp            	M	sp3	-35.6	 28.9	 83.3	 2.0	Simbad	137.39009	+33.12341
     484	NGC2776   	SA(s)c                  	M	sp1	-16.9	  8.9	 38.8	 2.0	Simbad	138.06055	+44.95489
     485	NGC2776   	SA(s)c                  	M	sp2	-14.1	  8.7	 29.2	 2.0	Simbad	138.06055	+44.95489
     486	NGC2776   	SA(s)c                  	M	sp3	-29.3	 31.5	 53.9	 2.0	Simbad	138.06055	+44.95489
     487	NGC2776   	SA(s)c                  	M	sp4	-36.4	 28.3	 57.9	 2.0	Simbad	138.06055	+44.95489
     488	NGC2776   	SA(s)c                  	M	sp5	-20.6	 16.0	 67.5	 2.0	Simbad	138.06055	+44.95489
     489	NGC2776   	SA(s)c                  	M	sp6	-35.9	 23.5	 50.5	 2.0	Simbad	138.06055	+44.95489
     490	NGC2854   	SAB(r)_ab               	G	sp1	 -6.6	 18.9	 23.4	 2.0	Simbad	141.01352	+49.20430
     491	NGC2854   	SAB(r)_ab               	G	sp2	-27.1	 23.8	 42.4	 2.0	Simbad	141.01352	+49.20430
     492	NGC2854   	SAB(r)_ab               	G	sp3	-27.9	 14.0	 20.3	 2.0	Simbad	141.01352	+49.20430
     493	NGC2854   	SAB(r)_ab               	G	sp4	 -5.1	 20.8	 24.1	 2.0	Simbad	141.01352	+49.20430
     494	NGC2903   	(R')SB(rsnr)b           	M	sp1	-23.1	128.0	330.8	 2.0	Simbad	143.04213	+21.50083
     495	NGC2903   	(R')SB(rsnr)b           	M	sp2	-19.7	108.6	274.4	 2.0	Simbad	143.04213	+21.50083
     496	NGC2903   	(R')SB(rsnr)b           	M	sp3	-26.4	 74.6	283.4	 2.0	Simbad	143.04213	+21.50083
     497	NGC2906   	SA(rs)_ab               	M	sp1	-34.2	 14.2	 26.0	 2.0	Simbad	143.02603	+08.44191
     498	NGC2906   	SA(rs)_ab               	M	sp2	 -9.9	 26.8	 33.3	 2.0	Simbad	143.02603	+08.44191
     499	NGC2906   	SA(rs)_ab               	M	sp3	 -7.7	 20.8	 26.9	 2.0	Simbad	143.02603	+08.44191
     500	NGC2906   	SA(rs)_ab               	M	sp4	-20.3	 18.5	 33.0	 2.0	Simbad	143.02603	+08.44191
     501	NGC2919   	SA(s)_bc                	G	sp1	 14.5	 13.7	 34.5	 2.0	Simbad	143.69805	+10.28374
     502	NGC2919   	SA(s)_bc                	G	sp2	 30.4	  8.8	 31.3	 2.0	Simbad	143.69805	+10.28374
     503	NGC2919   	SA(s)_bc                	G	sp3	 38.7	 21.1	 41.1	 2.0	Simbad	143.69805	+10.28374
     504	NGC2964   	S_AB(r_s)b              	G	sp1	 25.9	 25.5	 74.9	 2.0	Simbad	145.72605	+31.84721
     505	NGC2964   	S_AB(r_s)b              	G	sp2	 27.1	 26.8	 67.1	 2.0	Simbad	145.72605	+31.84721
     506	NGC2964   	S_AB(r_s)b              	G	sp3	 48.1	 13.7	 32.6	 2.0	Simbad	145.72605	+31.84721
     507	NGC2967   	(R')SAB(rs)c            	M	sp1	 -8.3	 18.0	 27.7	 2.0	Simbad	145.51372	+00.33642
     508	NGC2967   	(R')SAB(rs)c            	M	sp2	-21.6	 27.5	 45.2	 2.0	Simbad	145.51372	+00.33642
     509	NGC2967   	(R')SAB(rs)c            	M	sp3	 -9.5	 15.3	 20.2	 2.0	Simbad	145.51372	+00.33642
     510	NGC2967   	(R')SAB(rs)c            	M	sp4	-24.4	 20.2	 42.9	 2.0	Simbad	145.51372	+00.33642
     511	NGC2978   	SA(s)b_c                	G	sp1	 18.8	  7.0	 15.3	 1.0	Simbad	145.81992	-09.74574
     512	NGC2978   	SA(s)b_c                	G	sp2	 13.5	 14.8	 27.8	 1.0	Simbad	145.81992	-09.74574
     513	NGC2978   	SA(s)b_c                	G	sp3	 15.3	  7.3	 26.8	 1.0	Simbad	145.81992	-09.74574
     514	NGC3020   	SB(rs)d_m               	F	sp1	 13.5	 23.0	 34.0	 2.0	Simbad	147.52750	+12.81360
     515	NGC3020   	SB(rs)d_m               	F	sp2	 12.2	 28.1	 35.4	 2.0	Simbad	147.52750	+12.81360
     516	NGC3020   	SB(rs)d_m               	F	sp3	 28.4	 38.5	 73.6	 2.0	Simbad	147.52750	+12.81360
     517	NGC3021   	SA(s)_bc                	M	sp1	 36.9	  8.6	 19.7	 2.0	Simbad	147.73811	+33.55359
     518	NGC3021   	SA(s)_bc                	M	sp2	  5.3	 19.7	 22.1	 2.0	Simbad	147.73811	+33.55359
     519	NGC3021   	SA(s)_bc                	M	sp3	 43.4	 11.3	 26.1	 2.0	Simbad	147.73811	+33.55359
     520	NGC3021   	SA(s)_bc                	M	sp4	 10.6	 13.1	 18.2	 2.0	Simbad	147.73811	+33.55359
     521	NGC3021   	SA(s)_bc                	M	sp5	 16.5	 18.4	 29.5	 2.0	Simbad	147.73811	+33.55359
     522	NGC3021   	SA(s)_bc                	M	sp6	 19.0	 10.0	 14.8	 2.0	Simbad	147.73811	+33.55359
     523	NGC3031   	SA(rrsnb)a              	G	sp1	-11.9	260.4	631.8	 1.0	Simbad	148.88822	+69.06529
     524	NGC3031   	SA(rrsnb)a              	G	sp2	-13.2	267.2	654.0	 1.0	Simbad	148.88822	+69.06529
     525	NGC3041   	SA(rs)_bc               	M	sp1	-16.1	 50.6	 74.4	 2.0	Simbad	148.27977	+16.67766
     526	NGC3041   	SA(rs)_bc               	M	sp2	-32.7	 46.1	 77.9	 2.0	Simbad	148.27977	+16.67766
     527	NGC3041   	SA(rs)_bc               	M	sp3	-11.0	 52.3	 69.5	 2.0	Simbad	148.27977	+16.67766
     528	NGC3041   	SA(rs)_bc               	M	sp4	-23.3	 38.3	 68.7	 2.0	Simbad	148.27977	+16.67766
     529	NGC3055   	S_AB(s)b_c              	M	sp1	 26.6	  8.3	 42.0	 1.0	Simbad	148.82529	+04.27001
     530	NGC3055   	S_AB(s)b_c              	M	sp2	  9.9	 42.8	 55.6	 1.0	Simbad	148.82529	+04.27001
     531	NGC3055   	S_AB(s)b_c              	M	sp3	 17.0	 14.0	 39.4	 1.0	Simbad	148.82529	+04.27001
     532	NGC3055   	S_AB(s)b_c              	M	sp4	 11.8	 15.5	 37.6	 1.0	Simbad	148.82529	+04.27001
     533	NGC3057   	SB(s)_dm                	F	sp1	 -5.3	 37.4	 43.6	 2.0	Simbad	151.41377	+80.28567
     534	NGC3057   	SB(s)_dm                	F	sp2	-16.7	 19.7	 35.9	 2.0	Simbad	151.41377	+80.28567
     535	NGC3057   	SB(s)_dm                	F	sp3	-12.1	 45.2	 59.2	 2.0	Simbad	151.41377	+80.28567
     536	NGC3061   	SAB(rs)bpec             	F	sp1	 20.8	 26.8	 49.2	 2.0	Simbad	149.05025	+75.86655
     537	NGC3061   	SAB(rs)bpec             	F	sp2	  8.6	 21.8	 31.1	 2.0	Simbad	149.05025	+75.86655
     538	NGC3147   	S_AB(r'l)b              	M	sp1	 -9.1	 16.7	 44.6	 2.0	Simbad	154.22347	+73.40065
     539	NGC3147   	S_AB(r'l)b              	M	sp2	-15.1	 40.8	 71.2	 2.0	Simbad	154.22347	+73.40065
     540	NGC3147   	S_AB(r'l)b              	M	sp3	 -9.5	 15.6	 32.9	 2.0	Simbad	154.22347	+73.40065
     541	NGC3147   	S_AB(r'l)b              	M	sp4	-17.2	 36.2	 61.4	 2.0	Simbad	154.22347	+73.40065
     542	NGC3147   	S_AB(r'l)b              	M	sp5	 -6.2	 56.1	 64.3	 2.0	Simbad	154.22347	+73.40065
     543	NGC3147   	S_AB(r'l)b              	M	sp6	-10.9	 56.7	 96.5	 2.0	Simbad	154.22347	+73.40065
     544	NGC3147   	S_AB(r'l)b              	M	sp7	 -8.2	 72.2	 83.4	 2.0	Simbad	154.22347	+73.40065
     545	NGC3153   	SB(r_s)c_d              	F	sp1	 35.4	 18.7	 36.4	 2.0	Simbad	153.21043	+12.66669
     546	NGC3153   	SB(r_s)c_d              	F	sp2	 11.4	 36.6	 56.1	 2.0	Simbad	153.21043	+12.66669
     547	NGC3153   	SB(r_s)c_d              	F	sp3	 27.3	 20.4	 55.6	 2.0	Simbad	153.21043	+12.66669
     548	NGC3155   	SB(s)b                  	G	sp1	 -5.0	 10.7	 13.5	 1.0	Simbad	154.41584	+74.34749
     549	NGC3155   	SB(s)b                  	G	sp2	-15.9	 13.5	 25.7	 1.0	Simbad	154.41584	+74.34749
     550	NGC3155   	SB(s)b                  	G	sp3	 -9.0	  8.8	 12.1	 1.0	Simbad	154.41584	+74.34749
     551	NGC3155   	SB(s)b                  	G	sp4	-21.6	 12.5	 29.0	 1.0	Simbad	154.41584	+74.34749
     552	NGC3162   	SA(s)b_c                	M	sp1	 33.0	 15.2	 61.0	 2.0	Simbad	153.38164	+22.73754
     553	NGC3162   	SA(s)b_c                	M	sp2	 13.1	 14.5	 37.1	 2.0	Simbad	153.38164	+22.73754
     554	NGC3162   	SA(s)b_c                	M	sp3	 15.7	 13.9	 27.4	 2.0	Simbad	153.38164	+22.73754
     555	NGC3162   	SA(s)b_c                	M	sp4	 31.8	 27.2	 60.9	 2.0	Simbad	153.38164	+22.73754
     556	NGC3177   	(R')SA(rs)a_b           	G	sp1	 11.8	  9.9	 21.9	 2.0	Simbad	154.14227	+21.12305
     557	NGC3177   	(R')SA(rs)a_b           	G	sp2	 17.7	  9.3	 15.8	 2.0	Simbad	154.14227	+21.12305
     558	NGC3177   	(R')SA(rs)a_b           	G	sp3	  2.9	 16.5	 18.4	 2.0	Simbad	154.14227	+21.12305
     559	NGC3184   	SA(rs)bc                	M	sp1	 16.1	 42.5	206.8	 2.0	Simbad	154.57077	+41.42438
     560	NGC3184   	SA(rs)bc                	M	sp2	 33.9	 61.9	155.5	 2.0	Simbad	154.57077	+41.42438
     561	NGC3184   	SA(rs)bc                	M	sp3	 23.1	 33.9	174.1	 2.0	Simbad	154.57077	+41.42438
     562	NGC3184   	SA(rs)bc                	M	sp4	 18.5	 77.8	169.6	 2.0	Simbad	154.57077	+41.42438
     563	NGC3184   	SA(rs)bc                	M	sp5	 29.8	 88.0	164.4	 2.0	Simbad	154.57077	+41.42438
     564	NGC3198   	SAB(r_s)bc              	M	sp1	-13.7	 78.9	174.5	 1.0	Simbad	154.97912	+45.54969
     565	NGC3198   	SAB(r_s)bc              	M	sp2	-13.1	 75.0	203.8	 1.0	Simbad	154.97912	+45.54969
     566	NGC3206   	SB(s)d                  	F	sp1	 24.8	 28.0	 57.4	 2.0	Simbad	155.44826	+56.93041
     567	NGC3206   	SB(s)d                  	F	sp2	 24.8	 42.2	 84.8	 2.0	Simbad	155.44826	+56.93041
     568	NGC3206   	SB(s)d                  	F	sp3	 19.6	 28.7	 61.9	 2.0	Simbad	155.44826	+56.93041
     569	NGC3225   	S_AB(s)_cd              	F	sp1	-25.3	  7.6	 22.2	 2.0	Simbad	156.29137	+58.15002
     570	NGC3225   	S_AB(s)_cd              	F	sp2	-16.1	  6.8	 16.9	 2.0	Simbad	156.29137	+58.15002
     571	NGC3225   	S_AB(s)_cd              	F	sp3	-42.7	 20.6	 43.8	 2.0	Simbad	156.29137	+58.15002
     572	NGC3227   	SAB_x(s)a               	G	sp1	 17.4	 55.8	 88.1	 1.0	Simbad	155.87737	+19.86508
     573	NGC3227   	SAB_x(s)a               	G	sp2	  2.7	 90.6	 96.5	 1.0	Simbad	155.87737	+19.86508
     574	NGC3227   	SAB_x(s)a               	G	sp3	 20.2	 54.8	 93.0	 1.0	Simbad	155.87737	+19.86508
     575	NGC3227   	SAB_x(s)a               	G	sp4	  1.6	 92.8	 97.4	 1.0	Simbad	155.87737	+19.86508
     576	NGC3246   	SB(s)d                  	F	sp1	-20.5	 10.6	 25.1	 2.0	Simbad	156.67402	+03.86211
     577	NGC3246   	SB(s)d                  	F	sp2	-22.4	 10.2	 25.3	 2.0	Simbad	156.67402	+03.86211
     578	NGC3246   	SB(s)d                  	F	sp3	 -6.1	 27.1	 32.8	 2.0	Simbad	156.67402	+03.86211
     579	NGC3246   	SB(s)d                  	F	sp4	-18.0	 20.4	 36.8	 2.0	Simbad	156.67402	+03.86211
     580	NGC3254   	SA_B_xab                	M	sp1	  4.4	 66.8	 72.6	 2.0	Simbad	157.33301	+29.49144
     581	NGC3254   	SA_B_xab                	M	sp2	 14.6	 73.5	101.8	 2.0	Simbad	157.33301	+29.49144
     582	NGC3254   	SA_B_xab                	M	sp3	  5.2	 53.0	 57.4	 2.0	Simbad	157.33301	+29.49144
     583	NGC3254   	SA_B_xab                	M	sp4	  5.3	 66.3	 77.1	 2.0	Simbad	157.33301	+29.49144
     584	NGC3294   	SA(r_s)_bc              	M	sp1	-30.2	 19.4	 58.3	 2.0	Simbad	159.06773	+37.32473
     585	NGC3294   	SA(r_s)_bc              	M	sp2	 -6.1	 57.2	 63.9	 2.0	Simbad	159.06773	+37.32473
     586	NGC3294   	SA(r_s)_bc              	M	sp3	-14.8	 21.4	 39.7	 2.0	Simbad	159.06773	+37.32473
     587	NGC3294   	SA(r_s)_bc              	M	sp4	-22.5	 20.4	 86.1	 2.0	Simbad	159.06773	+37.32473
     588	NGC3294   	SA(r_s)_bc              	M	sp5	-33.2	 43.5	 68.6	 2.0	Simbad	159.06773	+37.32473
     589	NGC3294   	SA(r_s)_bc              	M	sp6	-26.9	 29.0	 57.1	 2.0	Simbad	159.06773	+37.32473
     590	NGC3310   	SA(_rs)bcpec            	G	sp1	-40.5	 13.2	 69.1	 2.0	Simbad	159.69107	+53.50330
     591	NGC3310   	SA(_rs)bcpec            	G	sp2	-54.7	 13.7	 65.8	 2.0	Simbad	159.69107	+53.50330
     592	NGC3319   	(R')SB(s)cd             	G	sp1	 15.4	 57.3	153.1	 2.0	Simbad	159.78972	+41.68687
     593	NGC3319   	(R')SB(s)cd             	G	sp2	 -3.0	 61.1	 66.4	 2.0	Simbad	159.78972	+41.68687
     594	NGC3319   	(R')SB(s)cd             	G	sp3	 28.3	 64.1	110.0	 2.0	Simbad	159.78972	+41.68687
     595	NGC3320   	SB(s)b_cpec             	M	sp1	 43.5	 12.3	 53.2	 1.0	Simbad	159.90217	+47.39796
     596	NGC3320   	SB(s)b_cpec             	M	sp2	 27.4	 14.7	 29.9	 1.0	Simbad	159.90217	+47.39796
     597	NGC3320   	SB(s)b_cpec             	M	sp3	 10.4	 30.1	 40.1	 1.0	Simbad	159.90217	+47.39796
     598	NGC3320   	SB(s)b_cpec             	M	sp4	 38.5	 10.6	 43.1	 1.0	Simbad	159.90217	+47.39796
     599	NGC3321   	SAB(_rs)cd              	M	sp1	 14.1	 28.2	 48.9	 2.0	Simbad	159.71063	-11.64890
     600	NGC3321   	SAB(_rs)cd              	M	sp2	 12.6	 25.3	 41.2	 2.0	Simbad	159.71063	-11.64890
     601	NGC3338   	SA(rsnl)bc              	M	sp1	 12.0	 31.1	131.0	 1.0	Simbad	160.53140	+13.74699
     602	NGC3338   	SA(rsnl)bc              	M	sp2	 11.1	 34.1	125.2	 1.0	Simbad	160.53140	+13.74699
     603	NGC3344   	SAB(r)_bc               	M	sp1	  5.6	 41.8	 53.7	 2.0	Simbad	160.87979	+24.92222
     604	NGC3344   	SAB(r)_bc               	M	sp2	  7.8	 72.3	 89.2	 2.0	Simbad	160.87979	+24.92222
     605	NGC3344   	SAB(r)_bc               	M	sp3	 21.8	 39.4	 66.4	 2.0	Simbad	160.87979	+24.92222
     606	NGC3344   	SAB(r)_bc               	M	sp4	  9.6	 66.4	 93.5	 2.0	Simbad	160.87979	+24.92222
     607	NGC3344   	SAB(r)_bc               	M	sp5	 26.8	 47.4	117.0	 2.0	Simbad	160.87979	+24.92222
     608	NGC3344   	SAB(r)_bc               	M	sp6	 29.6	 61.0	143.7	 2.0	Simbad	160.87979	+24.92222
     609	NGC3346   	SB(rs)cd                	F	sp1	 18.8	 12.8	 32.9	 2.0	Simbad	160.91221	+14.87179
     610	NGC3346   	SB(rs)cd                	F	sp2	  4.6	 41.4	 47.3	 2.0	Simbad	160.91221	+14.87179
     611	NGC3346   	SB(rs)cd                	F	sp3	 19.3	 15.2	 31.1	 2.0	Simbad	160.91221	+14.87179
     612	NGC3346   	SB(rs)cd                	F	sp4	  9.3	 32.3	 43.9	 2.0	Simbad	160.91221	+14.87179
     613	NGC3359   	SB(rs)c_d               	M	sp1	-18.2	 49.5	165.5	 1.0	Simbad	161.65352	+63.22364
     614	NGC3359   	SB(rs)c_d               	M	sp2	-35.0	 35.6	193.0	 1.0	Simbad	161.65352	+63.22364
     615	NGC3361   	SA(rs)c                 	M	sp1	-49.2	 11.2	 60.9	 2.0	Simbad	161.12153	-11.20800
     616	NGC3361   	SA(rs)c                 	M	sp2	-20.1	 17.8	 56.4	 2.0	Simbad	161.12153	-11.20800
     617	NGC3361   	SA(rs)c                 	M	sp3	-31.2	 13.7	 36.8	 2.0	Simbad	161.12153	-11.20800
     618	NGC3361   	SA(rs)c                 	M	sp4	-10.3	 35.9	 47.8	 2.0	Simbad	161.12153	-11.20800
     619	NGC3364   	SA(s)_bc                	F	sp1	-14.1	 10.3	 24.4	 2.0	Simbad	162.12418	+72.42500
     620	NGC3364   	SA(s)_bc                	F	sp2	-38.2	  7.6	 31.1	 2.0	Simbad	162.12418	+72.42500
     621	NGC3364   	SA(s)_bc                	F	sp3	 -7.1	  9.0	 11.2	 2.0	Simbad	162.12418	+72.42500
     622	NGC3364   	SA(s)_bc                	F	sp4	-34.6	 14.4	 28.5	 2.0	Simbad	162.12418	+72.42500
     623	NGC3364   	SA(s)_bc                	F	sp5	-24.3	 17.8	 33.3	 2.0	Simbad	162.12418	+72.42500
     624	NGC3370   	SA(s)c                  	M	sp1	  7.9	  9.4	 12.7	 2.0	Simbad	161.76683	+17.27370
     625	NGC3370   	SA(s)c                  	M	sp2	 23.5	 12.8	 54.0	 2.0	Simbad	161.76683	+17.27370
     626	NGC3370   	SA(s)c                  	M	sp3	  7.5	  8.9	 13.3	 2.0	Simbad	161.76683	+17.27370
     627	NGC3370   	SA(s)c                  	M	sp4	 26.6	 13.7	 38.6	 2.0	Simbad	161.76683	+17.27370
     628	NGC3370   	SA(s)c                  	M	sp5	 11.8	 41.6	 65.3	 2.0	Simbad	161.76683	+17.27370
     629	NGC3370   	SA(s)c                  	M	sp6	 13.4	 20.6	 39.4	 2.0	Simbad	161.76683	+17.27370
     630	NGC3370   	SA(s)c                  	M	sp7	 24.5	 24.7	 55.4	 2.0	Simbad	161.76683	+17.27370
     631	NGC3381   	SB(s)dm                 	F	sp1	-22.0	 19.8	 38.6	 2.0	Simbad	162.10333	+34.71141
     632	NGC3381   	SB(s)dm                 	F	sp2	-21.9	 20.9	 53.5	 2.0	Simbad	162.10333	+34.71141
     633	NGC3423   	SA(s)b_c                	F	sp1	-49.5	 22.0	 64.6	 2.0	Simbad	162.80969	+05.84005
     634	NGC3423   	SA(s)b_c                	F	sp2	 -4.4	 63.4	 77.2	 2.0	Simbad	162.80969	+05.84005
     635	NGC3423   	SA(s)b_c                	F	sp3	-28.1	 20.2	 80.1	 2.0	Simbad	162.80969	+05.84005
     636	NGC3423   	SA(s)b_c                	F	sp4	-32.5	 13.0	 52.6	 2.0	Simbad	162.80969	+05.84005
     637	NGC3423   	SA(s)b_c                	F	sp5	-11.0	 53.2	 82.1	 2.0	Simbad	162.80969	+05.84005
     638	NGC3423   	SA(s)b_c                	F	sp6	-18.6	 66.4	 97.0	 2.0	Simbad	162.80969	+05.84005
     639	NGC3430   	SAB(s)bc                	M	sp1	-21.9	 13.2	 75.4	 2.0	Simbad	163.04756	+32.95042
     640	NGC3430   	SAB(s)bc                	M	sp2	-28.6	 12.7	 75.7	 2.0	Simbad	163.04756	+32.95042
     641	NGC3430   	SAB(s)bc                	M	sp3	 -8.2	 75.6	 84.1	 2.0	Simbad	163.04756	+32.95042
     642	NGC3430   	SAB(s)bc                	M	sp4	-11.7	 22.0	 70.0	 2.0	Simbad	163.04756	+32.95042
     643	NGC3433   	SAB(s)b                 	G	sp1	 -7.6	 15.4	 19.7	 2.0	Simbad	163.01595	+10.14824
     644	NGC3433   	SAB(s)b                 	G	sp2	-23.2	 21.0	 61.5	 2.0	Simbad	163.01595	+10.14824
     645	NGC3433   	SAB(s)b                 	G	sp3	 -4.8	 13.6	 16.4	 2.0	Simbad	163.01595	+10.14824
     646	NGC3433   	SAB(s)b                 	G	sp4	-31.2	 17.0	 71.7	 2.0	Simbad	163.01595	+10.14824
     647	NGC3433   	SAB(s)b                 	G	sp5	-12.0	 73.0	 81.8	 2.0	Simbad	163.01595	+10.14824
     648	NGC3433   	SAB(s)b                 	G	sp6	-13.2	 33.0	 66.8	 2.0	Simbad	163.01595	+10.14824
     649	NGC3433   	SAB(s)b                 	G	sp7	-33.3	 27.3	 68.2	 2.0	Simbad	163.01595	+10.14824
     650	NGC3433   	SAB(s)b                 	G	sp8	  3.6	 63.3	 67.1	 2.0	Simbad	163.01595	+10.14824
     651	NGC3437   	SA(rs)b_c               	M	sp1	 -6.0	 26.2	 33.1	 2.0	Simbad	163.14894	+22.93412
     652	NGC3437   	SA(rs)b_c               	M	sp2	-51.2	 26.2	 49.9	 2.0	Simbad	163.14894	+22.93412
     653	NGC3437   	SA(rs)b_c               	M	sp3	-12.0	 52.1	 58.8	 2.0	Simbad	163.14894	+22.93412
     654	NGC3455   	SA(r_s)c:               	F	sp1	  8.3	 10.3	 13.7	 2.0	Simbad	163.62955	+17.28471
     655	NGC3455   	SA(r_s)c:               	F	sp2	 37.7	 15.8	 45.1	 2.0	Simbad	163.62955	+17.28471
     656	NGC3455   	SA(r_s)c:               	F	sp3	 24.2	 13.7	 35.6	 2.0	Simbad	163.62955	+17.28471
     657	NGC3455   	SA(r_s)c:               	F	sp4	 38.4	  8.3	 30.8	 2.0	Simbad	163.62955	+17.28471
