#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:29:00 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:29:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/582/A86/table2&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35820086
#Name: J/A+A/582/A86
#Title: Catalogue of features in the S4G (Herrera-Endoqui+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/a+a/582/a86	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/582/a86	    IVOID of underlying data collection
#INFO	creator=Herrera-Endoqui M.	    First author or institution
#INFO	cites=bibcode:2015A&A...582A..86H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/582/A86	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35820086	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-04-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_582_A86_table2:
#Name: J/A+A/582/A86/table2
#Title: Properties of bars, ring- and lens-structures in the S4G
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Class	(a27)	Morphological classification	[ucd=src.morph]
#Column	Type	(a5)	Type of feature (1)	[ucd=src.morph.type]
#Column	sma	(F5.1)	Semi-major axis	[ucd=phys.angSize;src]
#Column	PA	(I3)	Position angle	[ucd=pos.posAng]
#Column	Ell	(F7.2)	? Ellipticity	[ucd=src.ellipticity]
#Column	smaEll	(F6.1)	? Semi-major axis from ellipticity	[ucd=phys.angSize;src]
#Column	dsma	(F6.1)	? Deprojected semi-major axis	[ucd=phys.angSize;src]
#Column	dPA	(I4)	? Deprojected position angle	[ucd=pos.posAng]
#Column	dEll	(F7.2)	? Deprojected ellipticity	[ucd=src.ellipticity]
#Column	dsmaEll	(F6.1)	? Deprojexted semi-major axis from Ell	[ucd=phys.angSize;src]
#Column	Qual	(I1)	[1/3] Quality flag (2)	[ucd=meta.code.qual]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Name	Class	Type	sma	PA	Ell	smaEll	dsma	dPA	dEll	dsmaEll	Qual	Simbad	_RA	_DE
     507	NGC1297   	SA(rl_,l)0-o               	rl_  	 28.9	103	   0.04	      	  30.9	 103	   0.10	      	1	Simbad	049.80929	-19.10010
     508	NGC1297   	SA(rl_,l)0-o               	l    	 14.8	179	   0.12	      	  14.9	 -13	   0.07	      	1	Simbad	049.80929	-19.10010
     509	NGC1300   	(R')SB(s,bl,nrl)b          	bar  	 80.7	 99	   0.78	  84.4	  80.9	  98	   0.73	  84.5	1	Simbad	049.92102	-19.41115
     510	NGC1300   	(R')SB(s,bl,nrl)b          	bl   	 40.7	 98	   0.27	      	  41.0	  89	   0.14	      	1	Simbad	049.92102	-19.41115
     511	NGC1300   	(R')SB(s,bl,nrl)b          	nrl  	  5.5	105	   0.09	      	   6.0	  16	   0.08	      	1	Simbad	049.92102	-19.41115
     512	NGC1300   	(R')SB(s,bl,nrl)b          	R'   	172.3	129	   0.23	      	 181.9	 151	   0.17	      	3	Simbad	049.92102	-19.41115
     513	NGC1302   	(RL,RL)SAB(_rl,bl)0+       	bar  	 27.2	172	   0.34	  27.9	  27.3	 170	   0.32	  28.1	1	Simbad	049.96335	-26.06054
     514	NGC1302   	(RL,RL)SAB(_rl,bl)0+       	bl   	 18.7	 15	   0.16	      	  18.7	  16	   0.13	      	1	Simbad	049.96335	-26.06054
     515	NGC1302   	(RL,RL)SAB(_rl,bl)0+       	RL   	109.3	 36	   0.07	      	 110.6	  52	   0.05	      	1	Simbad	049.96335	-26.06054
     516	NGC1302   	(RL,RL)SAB(_rl,bl)0+       	RL   	 72.4	 62	   0.08	      	  74.3	  73	   0.09	      	1	Simbad	049.96335	-26.06054
     517	NGC1302   	(RL,RL)SAB(_rl,bl)0+       	_rl  	 36.0	 38	   0.03	      	  36.6	  72	   0.03	      	1	Simbad	049.96335	-26.06054
     518	NGC1310   	(R')SA_B(rs)_cd            	bar  	 11.2	 91	   0.63	   7.6	  11.4	  95	   0.56	   7.6	1	Simbad	050.26430	-37.10169
     519	NGC1310   	(R')SA_B(rs)_cd            	rs   	 10.1	 97	   0.20	      	  10.6	 127	   0.13	      	2	Simbad	050.26430	-37.10169
     520	NGC1310   	(R')SA_B(rs)_cd            	R'   	 39.6	113	   0.22	      	  43.7	 136	   0.22	      	2	Simbad	050.26430	-37.10169
     521	NGC1311   	Sm:,sp/Sph                 	bar  	 49.7	 39	       	      	      	    	       	      	3	Simbad	050.02894	-52.18549
     522	NGC1313   	SB(s)d,pec/Im,pec          	bar  	 42.0	 17	   0.71	  54.0	  42.6	  20	   0.69	  54.8	2	Simbad	049.56686	-66.49826
     523	NGC1316C  	SA_Ba(s)0+:                	bar  	 10.9	 85	   0.74	   9.0	  10.9	  87	   0.47	   9.1	1	Simbad	051.24350	-37.00960
     524	NGC1326   	(R1)SABa(r,bl,nr)0+        	bar  	 28.7	 16	   0.42	  32.0	  34.8	   8	   0.50	  38.7	2	Simbad	050.98499	-36.46466
     525	NGC1326   	(R1)SABa(r,bl,nr)0+        	bl   	 19.0	 60	   0.18	      	  20.7	  20	   0.14	      	1	Simbad	050.98499	-36.46466
     526	NGC1326   	(R1)SABa(r,bl,nr)0+        	nr   	  5.4	 72	   0.15	      	   5.8	   5	   0.08	      	1	Simbad	050.98499	-36.46466
     527	NGC1326   	(R1)SABa(r,bl,nr)0+        	R1   	 81.3	 86	   0.31	      	  81.8	  95	   0.14	      	1	Simbad	050.98499	-36.46466
     528	NGC1326   	(R1)SABa(r,bl,nr)0+        	r    	 32.5	 45	   0.19	      	  37.1	  16	   0.22	      	1	Simbad	050.98499	-36.46466
     529	NGC1326A  	S/IBm                      	bar  	 15.8	 50	       	      	      	    	       	      	2	Simbad	051.28417	-36.36417
     530	NGC1326B  	S/IBm:,sp                  	bar  	 53.8	131	       	      	      	    	       	      	3	Simbad	051.33375	-36.38556
     531	NGC1338   	SB(s)cd,pec                	bar  	  6.4	147	       	      	      	    	       	      	2	Simbad	052.22725	-12.15333
     532	NGC1341   	(R')SB(rs_)_dm,pec         	bar  	 10.9	164	   0.66	   9.0	  11.0	 162	   0.66	   9.1	1	Simbad	051.99332	-37.15008
     533	NGC1341   	(R')SB(rs_)_dm,pec         	rs_  	 14.4	139	   0.24	      	  14.8	 -44	   0.25	      	3	Simbad	051.99332	-37.15008
     534	NGC1341   	(R')SB(rs_)_dm,pec         	R'   	 22.1	 79	   0.15	      	  22.9	  84	   0.17	      	2	Simbad	051.99332	-37.15008
     535	NGC1345   	SB(s)m                     	bar  	 13.2	 20	   0.58	   7.7	  15.5	  19	   0.65	   9.1	2	Simbad	052.38206	-17.77834
     536	NGC1347   	SABa(s)_dm                 	bar  	  7.7	120	   0.53	   6.1	   8.1	 116	   0.54	   6.6	2	Simbad	052.42417	-22.27889
     537	NGC1350   	(R)SABa(r,bl)0/a           	bar  	 57.4	 36	   0.58	  55.7	  78.9	  62	   0.58	  76.9	2	Simbad	052.78383	-33.62864
     538	NGC1350   	(R)SABa(r,bl)0/a           	bl   	 38.6	  6	   0.51	      	  38.8	  22	   0.08	      	1	Simbad	052.78383	-33.62864
     539	NGC1350   	(R)SABa(r,bl)0/a           	r    	 66.6	 17	   0.49	      	  77.0	  54	   0.28	      	1	Simbad	052.78383	-33.62864
     540	NGC1350   	(R)SABa(r,bl)0/a           	R    	162.6	  1	   0.51	      	 166.9	 -26	   0.11	      	1	Simbad	052.78383	-33.62864
     541	NGC1353   	(R')SAB(rs,nl)a            	bar  	 13.5	 14	       	      	      	    	       	      	3	Simbad	053.01260	-20.81916
     542	NGC1353   	(R')SAB(rs,nl)a            	nl   	  5.6	137	   0.56	      	   5.9	  48	   0.05	      	1	Simbad	053.01260	-20.81916
     543	NGC1353   	(R')SAB(rs,nl)a            	rs   	 32.7	138	   0.65	      	  32.8	 146	   0.17	      	1	Simbad	053.01260	-20.81916
     544	NGC1353   	(R')SAB(rs,nl)a            	R'   	 71.3	134	   0.66	      	  72.2	 121	   0.21	      	1	Simbad	053.01260	-20.81916
     545	NGC1357   	(R'L)SA(_rs)0/a            	R'L  	102.0	 62	   0.30	      	 107.1	  42	   0.20	      	1	Simbad	053.32122	-13.66416
     546	NGC1357   	(R'L)SA(_rs)0/a            	_rs  	 31.6	 64	   0.14	      	  35.3	   9	   0.13	      	1	Simbad	053.32122	-13.66416
     547	NGC1359   	SB(s)dm                    	bar  	 11.6	 90	   0.70	  13.1	  13.1	  83	   0.72	  14.9	2	Simbad	053.44874	-19.49195
     548	NGC1365   	(R')SB(rs_,nr)bc           	bar  	 90.4	 86	   0.63	  91.4	 138.0	 101	   0.72	 137.3	1	Simbad	053.40191	-36.14066
     549	NGC1365   	(R')SB(rs_,nr)bc           	nr   	  8.0	 17	   0.21	      	  11.1	 -49	   0.29	      	1	Simbad	053.40191	-36.14066
     550	NGC1365   	(R')SB(rs_,nr)bc           	R'   	319.3	 33	   0.46	      	 321.1	  47	   0.09	      	3	Simbad	053.40191	-36.14066
     551	NGC1365   	(R')SB(rs_,nr)bc           	rs_  	 95.4	 73	   0.17	      	 149.2	 112	   0.42	      	2	Simbad	053.40191	-36.14066
     552	NGC1366   	SA(_rl)0-,sp               	_rl  	 14.2	  3	   0.55	      	  14.6	  69	   0.03	      	1	Simbad	053.47357	-31.19411
     553	NGC1367   	(RL,R')SAB(rs)0/a          	bar  	 24.0	105	   0.44	  22.4	  27.6	  84	   0.38	  25.5	1	Simbad	053.75563	-24.93311
     554	NGC1367   	(RL,R')SAB(rs)0/a          	RL   	145.0	136	   0.29	      	 151.0	 196	   0.05	      	1	Simbad	053.75563	-24.93311
     555	NGC1367   	(RL,R')SAB(rs)0/a          	rs   	 39.0	124	   0.32	      	  41.4	  84	   0.12	      	1	Simbad	053.75563	-24.93311
     556	NGC1367   	(RL,R')SAB(rs)0/a          	R'   	 84.3	127	   0.36	      	  85.8	 105	   0.10	      	1	Simbad	053.75563	-24.93311
     557	NGC1385   	SB(s)dm,pec                	bar  	 22.8	103	   0.69	  19.5	  33.5	  95	   0.78	  28.7	2	Simbad	054.36801	-24.50128
     558	NGC1386   	(R')SA(r)_0/a              	r    	 14.3	 25	   0.58	      	  14.8	 113	   0.03	      	1	Simbad	054.19266	-35.99927
     559	NGC1386   	(R')SA(r)_0/a              	R'   	 55.3	 25	   0.70	      	  55.3	  23	   0.27	      	1	Simbad	054.19266	-35.99927
     560	NGC1398   	(R'R)SB(_rs,bl)a           	bar  	 36.9	 10	       	      	      	    	       	      	2	Simbad	054.71721	-26.33784
     561	NGC1398   	(R'R)SB(_rs,bl)a           	bl   	 19.6	 54	   0.03	      	  25.9	   6	   0.25	      	1	Simbad	054.71721	-26.33784
     562	NGC1398   	(R'R)SB(_rs,bl)a           	_rs  	 44.2	104	   0.13	      	  52.5	 175	   0.17	      	1	Simbad	054.71721	-26.33784
     563	NGC1398   	(R'R)SB(_rs,bl)a           	R    	111.0	 92	   0.38	      	 111.1	  90	   0.16	      	3	Simbad	054.71721	-26.33784
     564	NGC1398   	(R'R)SB(_rs,bl)a           	R'   	155.3	 90	   0.40	      	 155.6	  86	   0.20	      	3	Simbad	054.71721	-26.33784
     565	NGC1406   	SB(s)b_c,sp                	bar  	 26.1	 10	       	      	      	    	       	      	3	Simbad	054.84710	-31.32153
     566	NGC1411   	(L)SA(l,nl)0o              	L    	 50.8	 12	   0.27	      	  50.9	  24	   0.03	      	1	Simbad	054.68689	-44.10062
     567	NGC1411   	(L)SA(l,nl)0o              	l    	 13.6	 10	   0.30	      	  13.6	   9	   0.08	      	1	Simbad	054.68689	-44.10062
     568	NGC1411   	(L)SA(l,nl)0o              	nl   	  3.1	  3	   0.11	      	   3.6	 -73	   0.16	      	3	Simbad	054.68689	-44.10062
     569	NGC1414   	SABd:,sp                   	bar  	 10.0	157	       	      	      	    	       	      	3	Simbad	055.23806	-21.71391
     570	NGC1415   	(RL)SABa(r'l,nr)0+         	bar  	 37.2	128	       	      	      	    	       	      	2	Simbad	055.23689	-22.56446
     571	NGC1415   	(RL)SABa(r'l,nr)0+         	nr   	  8.3	156	   0.66	      	   8.6	 178	   0.22	      	1	Simbad	055.23689	-22.56446
     572	NGC1415   	(RL)SABa(r'l,nr)0+         	r'l  	 51.8	143	   0.64	      	  58.2	 110	   0.29	      	1	Simbad	055.23689	-22.56446
     573	NGC1415   	(RL)SABa(r'l,nr)0+         	RL   	133.1	155	   0.61	      	 138.3	 189	   0.11	      	1	Simbad	055.23689	-22.56446
     574	NGC1421   	SAB(s)c,sp                 	bar  	 14.7	173	       	      	      	    	       	      	3	Simbad	055.62202	-13.48801
     575	NGC1425   	(R'R')SA(rl)b              	R'   	 82.8	130	   0.66	      	  82.8	 127	   0.22	      	1	Simbad	055.54785	-29.89339
     576	NGC1425   	(R'R')SA(rl)b              	rl   	 20.7	134	   0.52	      	  22.9	 197	   0.12	      	1	Simbad	055.54785	-29.89339
     577	NGC1425   	(R'R')SA(rl)b              	R'   	133.9	131	   0.63	      	 134.0	 134	   0.17	      	1	Simbad	055.54785	-29.89339
     578	NGC1433   	(R'1)SB(r,p,nrl,nb)a       	bar  	 65.9	 95	   0.65	  86.2	  75.5	  98	   0.69	  98.8	1	Simbad	055.50647	-47.22208
     579	NGC1433   	(R'1)SB(r,p,nrl,nb)a       	nb   	  7.1	 30	   0.33	   5.4	   7.2	  34	   0.22	   5.4	1	Simbad	055.50647	-47.22208
     580	NGC1433   	(R'1)SB(r,p,nrl,nb)a       	R1'  	172.7	  2	   0.15	      	 181.8	 -27	   0.11	      	1	Simbad	055.50647	-47.22208
     581	NGC1433   	(R'1)SB(r,p,nrl,nb)a       	r    	 83.3	100	   0.22	      	  96.3	 106	   0.32	      	1	Simbad	055.50647	-47.22208
     582	NGC1433   	(R'1)SB(r,p,nrl,nb)a       	nrl  	  9.9	 27	   0.13	      	  10.0	  82	   0.02	      	1	Simbad	055.50647	-47.22208
     583	NGC1436   	(R')SAB(rs_)a              	bar  	  9.9	171	   0.32	   7.7	  11.3	  22	   0.24	   8.7	1	Simbad	055.90454	-35.85305
     584	NGC1436   	(R')SAB(rs_)a              	R'   	 48.9	154	   0.38	      	  49.6	 169	   0.14	      	1	Simbad	055.90454	-35.85305
     585	NGC1436   	(R')SAB(rs_)a              	rs_  	 25.0	168	   0.40	      	  27.3	 191	   0.28	      	1	Simbad	055.90454	-35.85305
     586	NGC1438   	SAB(r)0/a                  	bar  	 28.6	 56	   0.71	  28.4	  31.6	  36	   0.54	  32.6	1	Simbad	056.32185	-23.00244
     587	NGC1438   	SAB(r)0/a                  	r    	 31.7	 70	   0.55	      	  31.8	  77	   0.07	      	1	Simbad	056.32185	-23.00244
     588	NGC1448   	SA(rs)bc,sp                	rs   	 38.9	 42	   0.85	      	  38.9	  41	   0.20	      	1	Simbad	056.13298	-44.64483
     589	NGC1452   	(RL)SB(_rs,bl)0/a          	bar  	 27.6	 32	   0.48	  27.3	  45.9	  27	   0.68	  45.5	1	Simbad	056.34294	-18.63362
     590	NGC1452   	(RL)SB(_rs,bl)0/a          	bl   	 21.0	114	   0.22	      	  27.4	 203	   0.23	      	1	Simbad	056.34294	-18.63362
     591	NGC1452   	(RL)SB(_rs,bl)0/a          	_rs  	 39.4	117	   0.32	      	  45.1	 192	   0.13	      	1	Simbad	056.34294	-18.63362
     592	NGC1452   	(RL)SB(_rs,bl)0/a          	RL   	 84.4	115	   0.45	      	  84.7	 126	   0.09	      	1	Simbad	056.34294	-18.63362
     593	NGC1461   	S_AB(r)0-o                 	r    	 41.6	155	   0.77	      	  41.6	 154	   0.30	      	1	Simbad	057.11308	-16.39293
     594	NGC1473   	S/IB(s)m                   	bar  	 21.3	 35	   0.80	  18.6	  21.4	  32	   0.71	  19.3	2	Simbad	056.85455	-68.22049
     595	NGC1483   	(R')SB(s)_dm               	bar  	  9.4	 14	       	      	      	    	       	      	2	Simbad	058.19837	-47.47752
     596	NGC1483   	(R')SB(s)_dm               	R'   	 26.0	142	   0.42	      	  26.7	 151	   0.32	      	1	Simbad	058.19837	-47.47752
     597	NGC1493   	SB(rs)_cd                  	bar  	 33.3	 71	   0.62	  27.3	  33.3	  71	   0.62	  27.4	1	Simbad	059.36428	-46.21070
     598	NGC1493   	SB(rs)_cd                  	rs   	 36.6	 54	   0.19	      	  36.6	  54	   0.17	      	2	Simbad	059.36428	-46.21070
     599	NGC1507   	SB(s)m,sp                  	bar  	 19.4	 14	       	      	      	    	       	      	3	Simbad	061.11400	-02.18614
     600	NGC1511   	SB:(s)c:,pec,sp            	bar  	 26.7	120	       	      	      	    	       	      	3	Simbad	059.89917	-67.63528
     601	NGC1512   	(RL_)SB(r,bl,nr)a          	bar  	 71.4	 42	   0.66	  73.5	  80.1	  31	   0.62	  81.4	1	Simbad	060.97617	-43.34885
     602	NGC1512   	(RL_)SB(r,bl,nr)a          	bl   	 45.9	 48	   0.36	      	  51.3	  25	   0.30	      	1	Simbad	060.97617	-43.34885
     603	NGC1512   	(RL_)SB(r,bl,nr)a          	nr   	  8.2	 84	   0.19	      	   9.2	 147	   0.12	      	1	Simbad	060.97617	-43.34885
     604	NGC1512   	(RL_)SB(r,bl,nr)a          	r    	 69.6	 51	   0.23	      	  80.0	  12	   0.21	      	1	Simbad	060.97617	-43.34885
     605	NGC1512   	(RL_)SB(r,bl,nr)a          	RL_  	184.7	 69	   0.25	      	 190.7	  19	   0.05	      	1	Simbad	060.97617	-43.34885
     606	NGC1515   	(L)SAB(rs,nd)0/a,sp        	bar  	 20.7	165	       	      	      	    	       	      	3	Simbad	061.01115	-54.10014
     607	NGC1515   	(L)SAB(rs,nd)0/a,sp        	L    	160.8	 19	   0.81	      	 164.2	  34	   0.28	      	1	Simbad	061.01115	-54.10014
     608	NGC1515   	(L)SAB(rs,nd)0/a,sp        	rs   	 66.5	 19	   0.79	      	  67.9	  37	   0.21	      	1	Simbad	061.01115	-54.10014
     609	NGC1518   	SB(s)m                     	bar  	 21.5	 14	       	      	      	    	       	      	3	Simbad	061.70712	-21.17262
     610	NGC1519   	SB(s)dm                    	bar  	 14.1	 94	       	      	      	    	       	      	3	Simbad	062.03163	-17.19291
     611	NGC1532   	S_AB(rs,nd)ab,sp,pec       	rs   	 69.5	 34	   0.80	      	  69.5	  35	   0.35	      	2	Simbad	063.01806	-32.87421
     612	NGC1533   	(RL)SB(bl)0o               	bar  	 26.8	167	   0.37	  26.8	  27.3	 169	   0.37	  27.2	1	Simbad	062.46598	-56.11845
     613	NGC1533   	(RL)SB(bl)0o               	bl   	 18.3	124	   0.07	      	  18.3	 121	   0.04	      	1	Simbad	062.46598	-56.11845
     614	NGC1533   	(RL)SB(bl)0o               	RL   	 62.4	139	   0.12	      	  62.6	 144	   0.09	      	1	Simbad	062.46598	-56.11845
     615	NGC1546   	(R')SA(r)a/E(b)3-4         	r    	 15.8	148	   0.65	      	  15.8	 156	   0.21	      	1	Simbad	063.65226	-56.06081
     616	NGC1546   	(R')SA(r)a/E(b)3-4         	R'   	 29.7	148	   0.60	      	  29.7	 154	   0.09	      	3	Simbad	063.65226	-56.06081
     617	NGC1553   	SA(rl,nrl,nb)0+/E(d)0      	nb   	  7.0	  4	   0.35	   7.7	   7.2	  79	   0.30	   7.7	3	Simbad	064.04363	-55.78003
     618	NGC1553   	SA(rl,nrl,nb)0+/E(d)0      	nrl  	  8.9	148	   0.37	      	   8.9	 147	   0.32	      	1	Simbad	064.04363	-55.78003
     619	NGC1553   	SA(rl,nrl,nb)0+/E(d)0      	rl   	 38.3	150	   0.43	      	  38.3	 150	   0.38	      	1	Simbad	064.04363	-55.78003
     620	NGC1556   	SBm:                       	bar  	 19.5	171	       	      	      	    	       	      	2	Simbad	064.43667	-50.16432
     621	NGC1559   	SB(s)cd                    	bar  	 18.3	 83	   0.73	  15.0	  20.1	  97	   0.60	  15.8	2	Simbad	064.39896	-62.78367
     622	NGC1566   	(R'1)SAB(rs,rs_)b          	bar  	 35.8	177	   0.50	  33.3	  42.4	 176	   0.58	  39.3	1	Simbad	065.00167	-54.93794
     623	NGC1566   	(R'1)SAB(rs,rs_)b          	R1'  	226.8	 78	   0.19	      	 229.4	  56	   0.06	      	1	Simbad	065.00167	-54.93794
     624	NGC1566   	(R'1)SAB(rs,rs_)b          	rs_  	 36.6	 63	   0.18	      	  38.8	  34	   0.13	      	1	Simbad	065.00167	-54.93794
     625	NGC1566   	(R'1)SAB(rs,rs_)b          	rs   	123.0	 18	   0.28	      	 143.0	  10	   0.37	      	1	Simbad	065.00167	-54.93794
     626	NGC1637   	SAB(s)b                    	bar  	 20.1	 85	   0.52	  23.3	  24.1	  95	   0.53	  26.8	1	Simbad	070.36762	-02.85804
     627	NGC1640   	(R')SBa(r,bl)_ab           	bar  	 25.5	 43	   0.62	  30.3	  25.5	  44	   0.59	  30.3	1	Simbad	070.56044	-20.43478
     628	NGC1640   	(R')SBa(r,bl)_ab           	bl   	 14.3	 43	   0.28	      	  14.3	  43	   0.21	      	1	Simbad	070.56044	-20.43478
     629	NGC1640   	(R')SBa(r,bl)_ab           	r    	 29.2	 41	   0.28	      	  29.2	  41	   0.22	      	1	Simbad	070.56044	-20.43478
     630	NGC1640   	(R')SBa(r,bl)_ab           	R'   	 56.5	134	   0.17	      	  61.8	 -46	   0.24	      	1	Simbad	070.56044	-20.43478
     631	NGC1672   	(R')SA_B(rs,nr)b           	bar  	 74.4	 96	   0.67	  69.3	  80.1	  92	   0.68	  74.5	1	Simbad	071.42730	-59.24741
     632	NGC1672   	(R')SA_B(rs,nr)b           	nr   	  6.6	120	   0.20	      	   6.9	 105	   0.17	      	1	Simbad	071.42730	-59.24741
     633	NGC1672   	(R')SA_B(rs,nr)b           	R'   	138.6	153	   0.15	      	 138.9	 163	   0.05	      	3	Simbad	071.42730	-59.24741
     634	NGC1672   	(R')SA_B(rs,nr)b           	rs   	 72.9	 99	   0.40	      	  78.2	  92	   0.42	      	1	Simbad	071.42730	-59.24741
     635	NGC1679   	S/IB(s)m                   	bar  	 24.9	127	   0.60	  27.9	  27.5	 118	   0.60	  31.1	2	Simbad	072.48166	-31.96557
     636	NGC1688   	(R')SB(s)dm                	bar  	 17.2	129	   0.71	  15.8	  23.9	 116	   0.76	  21.5	2	Simbad	072.09912	-59.80031
     637	NGC1688   	(R')SB(s)dm                	R'   	 45.3	 12	   0.28	      	  53.0	  71	   0.18	      	3	Simbad	072.09912	-59.80031
     638	NGC1744   	SB(s)d                     	bar  	 74.9	176	       	      	      	    	       	      	3	Simbad	074.99058	-26.02218
     639	NGC1800   	IBm/Sph                    	bar  	 15.8	118	   0.66	  17.3	  16.7	 131	   0.47	  17.7	2	Simbad	076.60724	-31.95422
     640	NGC1808   	(R'1)SAB(l,s,nr)a          	bar  	136.8	139	       	      	      	    	       	      	2	Simbad	076.92643	-37.51305
     641	NGC1808   	(R'1)SAB(l,s,nr)a          	nr   	  7.0	136	   0.45	      	   7.1	 147	   0.29	      	1	Simbad	076.92643	-37.51305
     642	NGC1808   	(R'1)SAB(l,s,nr)a          	R1'  	187.4	120	   0.36	      	 188.8	 109	   0.14	      	1	Simbad	076.92643	-37.51305
     643	NGC1808   	(R'1)SAB(l,s,nr)a          	l    	146.4	138	   0.55	      	 150.3	 147	   0.42	      	1	Simbad	076.92643	-37.51305
     644	NGC1853   	SAB(s)c_d                  	bar  	 13.3	 63	       	      	      	    	       	      	2	Simbad	078.06872	-57.39905
     645	NGC1879   	SAB(s)m                    	bar  	 34.9	 64	   0.61	  31.3	  35.9	  73	   0.47	  32.2	2	Simbad	079.95125	-32.14222
     646	NGC2460   	SA(r'l)a                   	r'l  	 14.7	 16	   0.21	      	  18.3	 -25	   0.27	      	1	Simbad	119.21804	+60.34937
     647	NGC2500   	SAB(s)c_d                  	bar  	 20.8	  6	   0.48	  29.6	  22.9	   1	   0.51	  32.8	2	Simbad	120.47156	+50.73711
     648	NGC2537   	SB(s)m                     	bar  	 14.4	176	       	      	      	    	       	      	2	Simbad	123.31101	+45.98979
     649	NGC2543   	SAB(s,bl)b                 	bar  	 14.9	105	   0.54	  18.8	  27.9	 119	   0.67	  31.3	1	Simbad	123.24148	+36.25451
     650	NGC2543   	SAB(s,bl)b                 	bl   	 11.9	 27	   0.21	      	  19.0	 -43	   0.39	      	1	Simbad	123.24148	+36.25451
     651	NGC2550   	(R)SAB(s)b,pec             	bar  	  3.3	 48	       	      	      	    	       	      	2	Simbad	126.14017	+74.01231
     652	NGC2550   	(R)SAB(s)b,pec             	R    	 25.2	101	   0.75	      	  25.2	 100	   0.41	      	1	Simbad	126.14017	+74.01231
     653	NGC2551   	SA(l)0/a                   	l    	 23.5	 56	   0.40	      	  23.5	  54	   0.07	      	2	Simbad	126.20946	+73.41204
     654	NGC2552   	(R')SAB(s)d_m              	bar  	 55.8	 79	       	      	      	    	       	      	3	Simbad	124.83557	+50.00961
     655	NGC2552   	(R')SAB(s)d_m              	R'   	 61.4	 53	   0.36	      	  63.8	  78	   0.15	      	3	Simbad	124.83557	+50.00961
     656	NGC2591   	(R')SB(s)d,sp              	bar  	 18.0	 43	       	      	      	    	       	      	3	Simbad	129.35637	+78.02644
     657	NGC2604   	(R'1)SB(rs_)_cd            	bar  	 14.6	 52	   0.81	  18.3	  14.7	  52	   0.78	  18.4	2	Simbad	128.34607	+29.53862
     658	NGC2604   	(R'1)SB(rs_)_cd            	R1   	 27.8	141	   0.41	      	  31.8	 -39	   0.49	      	1	Simbad	128.34607	+29.53862
     659	NGC2604   	(R'1)SB(rs_)_cd            	rs_  	 16.5	131	   0.24	      	  19.0	 133	   0.34	      	3	Simbad	128.34607	+29.53862
     660	NGC2608   	SAB(s)b                    	bar  	 19.8	 86	   0.65	  20.9	  24.6	  97	   0.68	  25.7	1	Simbad	128.82221	+28.47340
     661	NGC2633   	(R'2)SAB(rs)b              	bar  	 18.0	171	   0.58	  18.0	  18.7	 159	   0.40	  18.8	2	Simbad	132.01928	+74.09862
     662	NGC2633   	(R'2)SAB(rs)b              	rs   	 20.1	175	   0.55	      	  20.5	 -14	   0.33	      	1	Simbad	132.01928	+74.09862
     663	NGC2633   	(R'2)SAB(rs)b              	R2'  	 47.2	 14	   0.41	      	  50.2	  42	   0.19	      	1	Simbad	132.01928	+74.09862
     664	NGC2634A  	SB(s)m:,sp                 	bar  	  9.7	 55	       	      	      	    	       	      	3	Simbad	132.15906	+73.93932
     665	NGC2648   	SA(r)a                     	r    	 16.0	150	   0.62	      	  21.8	 218	   0.30	      	1	Simbad	130.66594	+14.28550
     666	NGC2654   	SBx(r,nd)_0/a,sp           	r    	 36.7	 65	   0.87	      	  36.7	  66	   0.51	      	1	Simbad	132.29947	+60.22112
