#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T05:30:12 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T05:30:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/587/A160/tablea1&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_587_A160_tablea1:
#Name: J/A+A/587/A160/tablea1
#Title: Fundamental properties of S4G galaxies: distance, mass distribution, velocities and stellar disk
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	rfp	(A3)	Display the Radial force profiles of this galaxy	[ucd=meta.ref.url]
#Column	rcdm	(A4)	Display the Rotation curve decomposition model of this galaxy	[ucd=meta.ref.url]
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;src.class.starGalaxy;meta.main]
#Column	M*	(I12)	? Total stellar mass	[ucd=phys.mass]
#Column	Dist	(F7.3)	Distance to the galaxy	[ucd=pos.distance]
#Column	hz	(F6.3)	Disk scale-height	[ucd=phys.angSize;src]
#Column	e_hz1	(F7.3)	[] Uncertainty on the disk scale-height associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_hz2	(F7.3)	[] Uncertainty on the disk scale-height associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	Ropt	(F8.3)	? Estimated optical radius	[ucd=phys.angSize;em.opt]
#Column	VHI	(F8.3)	? Inclination-corrected HI maximum velocity	[ucd=spect.dopplerVeloc]
#Column	V36max	(F8.3)	? Maximum of the stellar contribution to the rotation curve	[ucd=phys.veloc.rotat]
#Column	e_V36max1	(F7.3)	[] Uncertainty on the maximum of the stellar contribution to the rotation curve associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_V36max2	(F6.3)	[] Uncertainty on the maximum of the stellar contribution to the rotation curve associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	V36maxRad	(F8.3)	? Radius of maximum velocity of the stellar component of the rotation curve	[ucd=phys.angSize]
#Column	e_V36maxRad1	(F8.3)	[]? Uncertainty on the radius of maximum velocity of the stellar component of the rotation curve associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_V36maxRad2	(F8.3)	[]? Uncertainty on the radius of maximum velocity of the stellar component of the rotation curve associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	V36Ropt	(F8.3)	? The stellar contribution to the rotation curve evaluated at the optical radius	[ucd=phys.veloc.rotat]
#Column	e_V36Ropt1	(F8.3)	[]? Uncertainty on the stellar contribution to the rotation curve evaluated at the optical radius associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_V36Ropt2	(F8.3)	[]? Uncertainty on the stellar contribution to the rotation curve evaluated at the optical radius associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	dRV36	(F8.3)	? Inner slope of the stellar component of the rotation curve	[ucd=arith.grad;phys.veloc]
#Column	e_dRV361	(F8.3)	[]? Uncertainty on the inner slope of the stellar component of the rotation curve associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_dRV362	(F8.3)	[]? Uncertainty on the inner slope of the stellar component of the rotation curve associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	ahalo	(F8.3)	? Halo core radius	[ucd=phys.size.radius]
#Column	Vinfhalo	(F8.3)	? Halo velocity amplitude, corrected to match the HI maximum velocity	[ucd=phys.veloc.dispersion]
#Column	Mh/M*	(F8.3)	? Stellar-to-halo mass ratio within the optical radius	[ucd=phys.mass;arith.ratio]
#Column	bar	(A1)	indicates bar informations in tables A2 and/or A3	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	rfp	rcdm	Galaxy	M*	Dist	hz	e_hz1	e_hz2	Ropt	VHI	V36max	e_V36max1	e_V36max2	V36maxRad	e_V36maxRad1	e_V36maxRad2	V36Ropt	e_V36Ropt1	e_V36Ropt2	dRV36	e_dRV361	e_dRV362	ahalo	Vinfhalo	Mh/M*	bar	Simbad	_RA	_DE
     700	rfp	rcdm	NGC4503   	 25882099712	 17.033	 6.450	 19.350	 -1.290	  82.601	        	 146.088	-29.230	 3.837	  26.250	  28.500	   0.000	 125.420	 -13.395	   0.931	 329.391	-135.970	  23.290	        	        	        	*	Simbad	188.02580	+11.17643
     701	rfp	rcdm	NGC4504   	 14223299584	 21.814	 3.139	  2.512	 -0.785	  91.721	 140.768	  90.630	 -3.029	 1.094	  51.750	   1.500	   0.000	  87.216	  -1.567	   0.506	  70.188	  -9.240	   4.020	  12.545	 179.693	   2.154	*	Simbad	188.07272	-07.56343
     702	rfp	rcdm	NGC4506   	   859014016	 10.236	 2.920	  2.920	 -1.460	  85.459	        	  51.252	 -3.066	 2.057	  26.250	   3.000	  -4.500	  39.105	  -0.533	   0.229	 175.275	 -39.410	  41.810	        	        	        	 	Simbad	188.04369	+13.41966
     703	rfp	rcdm	NGC4517A  	  4655860224	 22.680	 4.153	  3.322	 -1.038	 124.496	  99.948	  48.791	 -1.210	 0.452	  92.250	   1.500	  -7.500	  47.701	  -0.918	   0.299	  26.042	  -3.780	   1.750	  11.250	 113.872	   4.549	 	Simbad	188.11717	+00.38975
     704	rfp	rcdm	NGC4519   	 15523900416	 28.411	 2.596	  2.077	 -0.649	  75.100	 129.739	 101.570	 -2.354	 0.771	  66.750	   0.000	   0.000	  97.836	  -1.867	   0.600	 137.530	 -23.320	  11.100	  11.897	 128.782	   1.018	*	Simbad	188.37616	+08.65446
     705	rfp	rcdm	NGC4523   	  1235949952	 16.800	 3.156	  2.524	 -0.789	  93.659	 110.378	  42.553	 -1.159	 0.387	  65.250	   1.500	   0.000	  38.583	  -0.459	   0.130	  39.908	  -6.780	   3.380	   6.393	 134.830	   9.640	 	Simbad	188.44997	+15.16830
     706	rfp	rcdm	NGC4525   	  2805430016	 15.687	 2.352	  1.882	 -0.588	  69.575	  84.969	  58.338	 -1.620	 0.555	  47.250	   0.000	  -1.500	  54.487	  -0.853	   0.262	  67.412	 -10.400	   4.970	   4.667	  86.678	   1.921	*	Simbad	188.46330	+30.27752
     707	rfp	rcdm	NGC4528   	  9616119808	 17.556	 2.094	  6.283	 -0.419	  25.743	        	 147.553	-26.353	 2.780	  14.250	   4.500	   0.000	 131.328	 -14.700	   1.050	 677.267	-281.250	  49.270	        	        	        	*	Simbad	188.52502	+11.32192
     708	rfp	rcdm	NGC4531   	  9506039808	 15.200	 6.094	 18.281	 -1.219	  78.028	        	  90.251	-13.050	 1.650	  41.250	  25.500	  -1.500	  87.094	 -10.274	   0.782	 104.872	 -41.560	   7.270	        	        	        	 	Simbad	188.56602	+13.07553
     709	rfp	rcdm	NGC4532   	  5211950080	 15.589	 2.100	  1.680	 -0.525	  61.586	 105.222	  98.417	 -3.445	 1.210	  30.750	   1.500	   0.000	  83.619	  -1.046	   0.305	  84.507	  -6.860	   2.790	   5.127	  94.041	   0.783	 	Simbad	188.58054	+06.46770
     710	rfp	rcdm	NGC4534   	  1599559936	 14.225	 1.919	  1.535	 -0.480	  53.358	  99.286	  49.244	 -1.483	 0.495	  33.750	   0.000	   0.000	  45.839	  -0.724	   0.223	  50.321	  -6.230	   2.950	   2.984	 113.403	   4.953	*	Simbad	188.52255	+35.51835
     711	rfp	rcdm	NGC4535   	 49544998912	 16.958	 5.949	  4.760	 -1.487	 182.328	 306.845	 154.599	 -5.014	 1.794	 102.750	   6.000	  -1.500	 138.770	  -2.061	   0.633	        	        	        	  19.314	 446.172	   5.219	*	Simbad	188.58462	+08.19776
     712	rfp	rcdm	NGC4536   	 18281000960	 15.321	10.105	  6.737	 -2.887	 162.191	 179.413	 182.689	-25.775	17.025	  12.750	   1.500	  -1.500	 117.660	  -2.032	   0.811	 554.566	-111.130	  83.220	        	        	   1.778	*	Simbad	188.61304	+02.18788
     713	rfp	rcdm	NGC4540   	  7533550080	 16.800	 1.665	  1.332	 -0.416	  48.886	 170.647	 106.056	 -3.701	 1.265	  29.250	   0.000	   0.000	  95.875	  -1.464	   0.450	 145.647	 -20.330	   9.370	   4.152	 204.000	   2.909	*	Simbad	188.71195	+15.55145
     714	rfp	rcdm	NGC4545   	 20137199616	 40.285	 1.731	  1.384	 -0.433	  51.574	 153.268	 115.509	 -3.383	 1.192	  35.250	   1.500	   0.000	 106.683	  -1.644	   0.506	 123.883	 -21.710	  10.390	  12.673	 176.051	   1.428	*	Simbad	188.64256	+63.52506
     715	rfp	rcdm	NGC4548   	 49659199488	 16.196	13.298	 39.895	 -2.660	 178.865	 184.005	 146.224	-21.890	 1.918	 132.750	   6.000	   0.000	 134.367	 -15.096	   1.096	 207.069	 -87.490	  15.330	  21.308	 227.400	   1.175	*	Simbad	188.86012	+14.49632
     716	rfp	rcdm	NGC4559   	 10092499968	  9.290	 5.442	  4.353	 -1.360	 158.070	 130.421	  90.398	 -2.752	 0.999	  98.250	  15.000	  -1.500	  86.288	  -1.460	   0.459	  88.471	  -9.430	   3.630	   8.863	 155.737	   1.724	*	Simbad	188.99037	+27.95976
     717	rfp	rcdm	NGC4561   	  1161449984	 12.300	 1.522	  1.217	 -0.380	  45.058	 124.109	  56.432	 -1.473	 0.489	  32.250	   1.500	   0.000	  50.925	  -0.686	   0.203	 111.686	 -16.860	   8.180	   1.903	 137.922	   6.628	*	Simbad	189.03390	+19.32259
     718	rfp	rcdm	NGC4567   	 35727298560	 25.550	 7.780	  7.780	 -3.890	 150.318	 189.480	 164.328	 -8.348	 4.902	 108.750	   1.500	  -1.500	 141.682	  -3.607	   1.596	 125.136	 -27.670	  27.240	  17.088	 127.893	   1.058	 	Simbad	189.13626	+11.25787
     719	rfp	rcdm	NGC4568   	 54200098816	 21.000	10.480	 10.480	 -5.240	 195.511	 172.405	 183.405	-15.721	12.805	  45.750	  21.000	  -3.000	 143.691	  -3.318	   1.472	 167.038	 -35.160	  33.170	        	        	   0.590	 	Simbad	189.14288	+11.23863
     720	rfp	rcdm	NGC4571   	 17947299840	 17.733	 3.738	  2.991	 -0.935	 112.618	 220.200	 111.831	 -2.978	 1.002	  86.250	   0.000	   0.000	 103.582	  -1.592	   0.483	 108.718	 -14.670	   6.340	   9.616	 272.905	   4.722	 	Simbad	189.23488	+14.21736
     721	rfp	rcdm	NGC4572   	  6501289984	 24.097	 5.490	  5.490	 -2.745	  58.947	  89.368	  60.920	 -4.596	 2.823	  42.750	   1.500	  -1.500	  54.465	  -2.560	   1.228	  92.433	 -23.640	  28.440	   6.367	  89.213	   2.271	 	Simbad	188.94171	+74.24603
     722	rfp	rcdm	NGC4579   	125313998848	 19.583	11.315	 33.946	 -2.263	 144.864	 269.016	 224.361	-36.762	 8.928	  26.250	  78.000	  -1.500	 207.582	 -23.821	   1.789	 405.305	-179.310	  33.960	  24.078	 343.857	   0.912	*	Simbad	189.43165	+11.81809
     723	rfp	rcdm	NGC4580   	 12445200384	 18.575	 4.097	 12.291	 -0.819	  52.547	 124.144	 118.494	-17.340	 1.690	  38.250	  13.500	   0.000	 114.989	 -14.026	   1.113	 175.851	 -75.780	  14.100	   5.212	  67.999	   0.222	 	Simbad	189.45166	+05.36843
     724	rfp	rcdm	NGC4584   	  5345639936	 24.764	 1.456	  1.165	 -0.364	  38.997	  71.911	  77.117	 -2.691	 0.982	  20.250	   1.500	   0.000	  72.516	  -1.240	   0.389	 132.538	 -20.590	   9.760	        	        	        	*	Simbad	189.57430	+13.11002
     725	rfp	rcdm	NGC4591   	 24660400128	 48.067	 2.179	  6.537	 -0.436	  27.508	 159.729	 136.589	-21.607	 2.073	  20.250	   3.000	   0.000	 127.583	 -14.828	   1.097	 190.736	 -84.140	  16.020	   8.221	 154.720	   0.761	*	Simbad	189.80183	+06.01221
     726	rfp	rcdm	NGC4593   	 85506703360	 33.933	 9.215	 27.646	 -1.843	 124.169	 293.241	 215.516	-61.728	13.033	  11.250	  54.000	  -1.500	 161.962	 -17.190	   1.241	 618.711	-298.840	  65.640	  34.970	 485.318	   3.057	*	Simbad	189.91455	-05.34421
     727	rfp	rcdm	NGC4595   	  3467369984	 16.289	 1.361	  1.089	 -0.340	  40.647	  96.273	  80.405	 -1.860	 0.631	  35.250	   0.000	  -1.500	  76.715	  -1.274	   0.397	 163.913	 -26.930	  13.090	   2.900	  77.523	   0.771	 	Simbad	189.96629	+15.29780
     728	rfp	rcdm	NGC4596   	 48084000768	 16.800	11.125	 33.374	 -2.225	 150.753	 160.164	 166.834	-37.864	 6.233	  29.250	  54.000	  -1.500	 136.367	 -14.059	   0.966	 304.148	-131.600	  24.130	        	        	   0.509	*	Simbad	189.98306	+10.17603
     729	rfp	rcdm	NGC4597   	  3723919872	 17.000	 4.623	  3.698	 -1.156	 141.492	  87.077	  53.571	 -1.715	 0.582	  96.750	   0.000	   0.000	  46.769	  -0.762	   0.241	  27.285	  -3.890	   1.780	  11.445	 102.714	   3.309	*	Simbad	190.05388	-05.79929
     730	rfp	rcdm	NGC4604   	  5235999744	 36.944	 0.850	  0.680	 -0.213	  25.282	  84.512	  89.387	 -3.242	 1.153	  14.250	   0.000	   0.000	  82.410	  -1.585	   0.531	 122.976	 -15.810	   7.470	        	        	   0.069	*	Simbad	190.18724	-05.30254
     731	rfp	rcdm	NGC4606   	  6441690112	 17.080	 6.177	 18.532	 -1.235	  77.026	  80.386	  84.826	-14.527	 1.387	  45.750	   7.500	  -1.500	  75.520	  -8.366	   0.581	 171.019	 -71.290	  12.530	        	        	   0.179	 	Simbad	190.23982	+11.91219
     732	rfp	rcdm	NGC4618   	  2924150016	  7.300	 7.310	  7.310	 -3.655	 147.412	  96.123	  65.370	 -3.111	 1.821	 108.750	   0.000	  -1.500	  58.164	  -1.576	   0.735	 121.708	 -25.000	  24.390	   5.075	  98.391	   2.323	*	Simbad	190.38684	+41.15076
     733	rfp	rcdm	NGC4625   	  1177609984	  8.200	 1.541	  1.233	 -0.385	  48.009	  82.699	  63.247	 -1.699	 0.574	  39.750	   0.000	   0.000	  57.523	  -0.857	   0.257	 353.785	 -62.670	  30.890	   1.454	 208.654	   1.432	*	Simbad	190.46959	+41.27372
     734	rfp	rcdm	NGC4630   	  5034999808	 17.150	 1.490	  1.192	 -0.373	  40.446	 101.551	  89.166	 -2.291	 0.761	  30.750	   0.000	   0.000	  86.020	  -1.500	   0.471	 297.519	 -47.910	  22.490	   2.898	  71.310	   0.528	 	Simbad	190.62977	+03.96036
     735	rfp	rcdm	NGC4633   	  3334259968	 22.600	 2.234	  1.787	 -0.558	  65.826	  92.743	  54.317	 -1.341	 0.439	  53.250	   0.000	   0.000	  51.588	  -0.852	   0.257	  67.732	 -12.400	   6.110	   6.680	 105.354	   2.995	 	Simbad	190.65454	+14.35558
     736	rfp	rcdm	NGC4635   	  5470159872	 23.500	 2.356	  1.885	 -0.589	  69.546	  96.480	  66.019	 -1.800	 0.602	  54.750	   0.000	   0.000	  62.324	  -1.088	   0.338	  62.130	 -10.530	   5.130	   7.056	  98.306	   1.874	 	Simbad	190.66356	+19.94523
     737	rfp	rcdm	NGC4639   	 20749199360	 22.356	 3.435	  2.290	 -0.982	  56.095	 186.783	 143.880	 -5.503	 2.579	  38.250	   0.000	   0.000	 128.598	  -2.569	   1.051	 444.639	 -76.380	  51.590	   8.119	 225.063	   1.489	*	Simbad	190.71814	+13.25754
     738	rfp	rcdm	NGC4641   	  6208690176	 27.944	 6.680	 20.041	 -1.336	  89.586	  84.586	  67.600	 -3.782	 4.338	  11.250	  10.500	  -1.500	  52.054	  -0.405	   0.178	 151.483	 -31.710	  31.840	  11.195	  90.717	   2.201	 	Simbad	190.78190	+12.05111
     739	rfp	rcdm	NGC4643   	106660003840	 25.700	 9.719	 29.158	 -1.944	 131.221	 200.710	 237.473	-66.365	 9.219	  24.750	  16.500	  -1.500	 173.675	 -17.376	   1.167	 344.736	-152.070	  28.810	        	        	   0.450	*	Simbad	190.83389	+01.97840
     740	rfp	rcdm	NGC4647   	            	 18.300	 8.600	  8.600	 -4.300	 112.500	 121.583	 157.777	-11.317	 8.079	 110.250	   0.000	   0.000	 157.777	 -11.317	   8.079	  59.124	  -6.230	   2.950	        	        	        	 	Simbad	190.88559	+11.58247
     741	rfp	rcdm	NGC4651   	 69823201280	 26.708	 9.317	  6.211	 -2.662	 162.711	 223.866	 192.301	-15.022	 8.209	  39.750	   1.500	  -1.500	 127.860	  -1.649	   0.610	 128.728	 -20.070	  12.980	  35.397	 358.766	   2.771	 	Simbad	190.92761	+16.39340
     742	rfp	rcdm	NGC4653   	 20941099008	 40.200	 2.957	  1.972	 -0.845	  56.847	 154.201	 108.045	 -4.154	 2.052	  35.250	   1.500	   0.000	 100.171	  -1.809	   0.742	  81.484	 -11.950	   7.580	  13.503	 185.638	   1.838	*	Simbad	190.96217	-00.56130
     743	rfp	rcdm	NGC4654   	 30549200896	 16.362	 3.514	  2.811	 -0.878	 102.732	 169.281	 147.636	 -3.578	 1.205	  86.250	   0.000	   0.000	 141.469	  -2.363	   0.726	 153.080	 -15.340	   5.610	  10.496	 150.649	   0.579	 	Simbad	190.98599	+13.12635
     744	rfp	rcdm	NGC4658   	 16904399872	 31.780	 1.210	  0.968	 -0.302	  34.338	 155.227	 143.163	 -3.926	 1.362	  24.750	   1.500	   0.000	 134.242	  -2.094	   0.641	 176.365	 -27.420	  13.000	   6.988	 129.534	   0.452	 	Simbad	191.15744	-10.08312
     745	rfp	rcdm	NGC4659   	  1442119936	  3.708	 8.088	 24.263	 -1.618	  52.006	        	  47.119	 -9.098	 1.645	  12.750	  24.000	  -1.500	  40.793	  -4.438	   0.311	 925.906	-415.460	  80.960	        	        	        	*	Simbad	191.12239	+13.49867
     746	rfp	rcdm	NGC4668   	  1717910016	 16.433	 1.756	  1.405	 -0.439	  55.576	  89.585	  58.697	 -2.136	 0.778	  29.250	   0.000	  -1.500	  46.474	  -0.534	   0.163	  80.000	 -13.550	   6.810	   3.707	  99.298	   3.644	*	Simbad	191.38309	-00.53399
     747	rfp	rcdm	NGC4680   	 23713699840	 36.625	 1.978	  1.319	 -0.565	  32.450	 147.747	 161.504	 -6.837	 3.517	  21.750	   0.000	  -1.500	 147.493	  -3.424	   1.482	 329.464	 -57.170	  38.800	        	        	   0.005	*	Simbad	191.72812	-11.63704
     748	rfp	rcdm	NGC4682   	 20090900480	 33.029	 4.171	  2.781	 -1.192	  69.836	 153.831	 106.104	 -3.916	 1.883	  51.750	   1.500	   0.000	  99.805	  -2.478	   1.092	  68.531	 -11.400	   7.710	  15.566	 200.407	   1.846	 	Simbad	191.81453	-10.06346
     749	rfp	rcdm	NGC4688   	  4645150208	 17.100	 3.002	  2.401	 -0.750	  86.852	  37.076	  47.513	 -1.192	 0.671	  44.250	  28.500	   0.000	  44.315	  -0.523	   0.135	  62.069	 -10.010	   4.710	        	        	        	*	Simbad	191.94359	+04.33607
     750	rfp	rcdm	NGC4689   	 31260798976	 17.891	 7.078	  4.719	 -2.022	 114.962	 150.011	 120.766	 -4.996	 2.450	  75.750	   1.500	  -1.500	 109.981	  -2.353	   0.976	 111.431	 -15.940	   9.910	   9.585	 141.197	   1.155	 	Simbad	191.93968	+13.76269
     751	rfp	rcdm	NGC4691   	 30130100224	 22.500	 7.041	 21.124	 -1.408	  83.620	  50.888	 158.957	-38.309	 5.338	  23.250	  25.500	   0.000	 132.586	 -15.406	   1.122	 189.951	 -78.140	  13.770	        	        	        	 	Simbad	192.05667	-03.33269
     752	rfp	rcdm	NGC4694   	  7798300160	 15.302	 8.594	 25.781	 -1.719	 102.176	  68.490	  92.174	-21.852	 2.953	  29.250	  21.000	  -3.000	  72.480	  -7.829	   0.524	 183.974	 -76.690	  13.400	        	        	        	 	Simbad	192.06288	+10.98362
     753	rfp	rcdm	NGC4698   	 70469197824	 23.650	 8.550	  8.550	 -4.275	 247.729	 253.966	 178.629	-12.456	 7.704	  62.250	   4.500	  -7.500	 111.184	  -1.214	   0.529	 155.911	 -28.580	  22.500	  46.892	 423.696	   5.659	 	Simbad	192.09557	+08.48724
     754	rfp	rcdm	NGC4699   	215774003200	 24.700	15.246	 45.739	 -3.049	 188.564	 364.377	 319.753	-96.144	13.748	  32.250	  19.500	  -1.500	 208.570	 -19.992	   1.196	 363.667	-161.120	  30.610	  44.911	 665.166	   2.753	*	Simbad	192.25911	-08.66430
     755	rfp	rcdm	NGC4701   	  9418900480	 23.843	 1.811	  1.207	 -0.517	  28.938	 102.224	 121.866	 -4.781	 2.302	  21.750	   0.000	   0.000	 113.972	  -2.743	   1.202	 257.554	 -35.720	  22.330	        	        	        	 	Simbad	192.29817	+03.38873
     756	rfp	rcdm	NGC4707   	   197242000	  8.000	 4.376	  4.376	 -2.188	  69.701	  58.855	  24.435	 -1.228	 0.754	  80.250	   0.000	   0.000	  23.735	  -1.095	   0.592	  15.221	  -2.100	   2.190	   1.830	  99.313	   6.909	 	Simbad	192.09575	+51.16608
     757	rfp	rcdm	NGC4713   	  6854889984	 16.367	 2.218	  1.774	 -0.555	  65.475	 105.650	  93.384	 -2.939	 1.043	  48.750	   1.500	   0.000	  87.533	  -1.566	   0.479	 121.946	 -18.690	   8.740	   5.089	  82.475	   0.613	*	Simbad	192.49122	+05.31142
     758	rfp	rcdm	NGC4723   	   787046016	 18.111	 1.650	  1.320	 -0.412	  46.944	  64.997	  29.772	 -1.037	 0.595	  57.750	   0.000	   0.000	  27.467	  -0.664	   0.336	  35.085	  -6.910	   7.140	   2.922	  72.010	   6.172	 	Simbad	192.76208	-13.23722
     759	rfp	rcdm	NGC4725   	 76032499712	 13.637	17.647	 52.940	 -3.529	 234.239	 272.652	 170.547	-28.207	 2.721	 147.750	  21.000	  -1.500	 151.220	 -15.851	   1.055	 215.269	 -89.810	  15.370	  26.025	 442.430	   3.020	*	Simbad	192.61089	+25.50076
     760	rfp	rcdm	NGC4731   	 11534499840	 19.750	 6.440	  6.440	 -3.220	 204.717	 121.220	  65.945	 -1.911	 1.038	 173.250	   0.000	  -1.500	  61.696	  -1.145	   0.525	  50.441	  -8.960	   7.510	  27.238	 175.272	   3.838	*	Simbad	192.75456	-06.39305
     761	rfp	rcdm	NGC4733   	  9397220352	 16.933	 4.429	 13.287	 -0.886	  56.711	        	  99.039	-15.190	 1.446	  36.750	   9.000	   0.000	  93.147	 -10.695	   0.778	 230.912	 -98.080	  17.810	        	        	        	*	Simbad	192.77826	+10.91210
     762	rfp	rcdm	NGC4736   	 33189400576	  5.126	17.230	 17.230	 -8.615	 577.270	 192.732	 241.925	-31.123	28.236	  50.250	   4.500	 -27.000	 112.090	  -1.275	   0.579	 984.583	-227.110	 233.010	        	        	   2.625	*	Simbad	192.72145	+41.12015
     763	rfp	rcdm	NGC4750   	 53579698176	 26.100	 6.401	 19.202	 -1.280	  86.062	 229.146	 207.444	-48.609	 5.962	  27.750	  10.500	   0.000	 157.112	 -15.065	   0.944	 262.646	-113.180	  20.720	  15.434	 288.230	   1.512	 	Simbad	192.53006	+72.87450
     764	rfp	rcdm	NGC4754   	 43651600384	 17.264	10.175	 30.525	 -2.035	 131.245	 199.061	 171.410	-45.175	 6.866	  24.750	  24.000	  -3.000	 130.107	 -13.700	   0.939	 379.043	-167.860	  31.930	  16.510	 271.429	   1.799	*	Simbad	193.07318	+11.31366
     765	rfp	rcdm	NGC4765   	  3451440128	 21.200	 1.291	  1.033	 -0.323	  37.075	  46.526	  91.502	 -4.893	 1.842	  12.750	   1.500	   0.000	  68.863	  -0.743	   0.218	 209.821	 -34.260	  16.700	        	        	        	 	Simbad	193.31070	+04.46333
     766	rfp	rcdm	NGC4772   	 55846998016	 30.475	 8.734	 26.203	 -1.747	 110.654	 235.310	 151.592	-32.189	 5.070	  26.250	  36.000	  -1.500	 127.506	 -13.513	   0.912	 184.461	 -79.290	  14.370	  23.605	 347.832	   3.228	 	Simbad	193.37155	+02.16834
     767	rfp	rcdm	NGC4775   	 16069399552	 26.600	 1.947	  1.558	 -0.487	  56.728	 100.916	 124.350	 -3.266	 1.108	  45.750	   0.000	   0.000	 120.175	  -2.118	   0.659	 126.965	 -20.560	   9.890	        	        	        	 	Simbad	193.44045	-06.62215
     768	rfp	rcdm	NGC4779   	 28054300672	 40.840	 3.608	  2.405	 -1.031	  61.836	 178.921	 123.713	 -4.758	 7.121	  32.250	   6.000	 -27.000	 113.057	  -2.414	   1.034	 256.637	 -46.150	  33.030	  15.320	 220.841	   2.019	*	Simbad	193.46193	+09.70992
     769	rfp	rcdm	NGC4781   	 12445200384	 16.125	 2.620	  2.096	 -0.655	  81.456	 132.446	 115.482	 -2.628	 0.871	  71.250	   0.000	   0.000	 109.849	  -1.723	   0.517	 156.415	 -21.790	   9.640	   8.022	 118.062	   0.609	*	Simbad	193.59895	-10.53722
     770	rfp	rcdm	NGC4789A  	    12133900	  4.113	 2.882	  2.306	 -0.721	  71.250	  50.864	  10.201	 -0.342	 0.121	  69.750	   0.000	   0.000	  10.201	  -0.342	   0.121	  66.349	 -14.670	   7.660	   0.683	  51.350	  32.016	 	Simbad	193.52187	+27.14963
     771	rfp	rcdm	NGC4790   	  8729709568	 23.520	 2.557	  1.705	 -0.731	  44.447	 126.562	 111.262	 -4.211	 2.072	  33.750	   0.000	  -1.500	 104.374	  -2.581	   1.127	 267.714	 -49.900	  35.480	   6.011	 110.718	   0.631	 	Simbad	193.71638	-10.24782
     772	rfp	rcdm	NGC4791   	  4720629760	 35.125	 1.171	  3.512	 -0.234	  15.329	 161.459	  96.486	-14.732	 1.374	  14.250	   0.000	   0.000	  91.707	 -11.329	   0.924	        	        	        	   2.270	 173.874	   2.817	 	Simbad	193.68307	+08.05316
     773	rfp	rcdm	NGC4793   	 44055498752	 32.888	 1.161	  0.929	 -0.290	  33.491	 189.086	 233.377	 -7.173	 2.493	  26.250	   0.000	   0.000	 213.549	  -3.267	   0.975	 297.245	 -36.750	  15.860	        	        	        	 	Simbad	193.66917	+28.93877
