#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:23 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:23	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/716/198/table2&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17160198
#Name: J/ApJ/716/198
#Title: The DiskMass survey. I. (Bershady+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/apj/716/198	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/716/198	    IVOID of underlying data collection
#INFO	creator=Bershady M.A.	    First author or institution
#INFO	cites=bibcode:2010ApJ...716..198B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/716/198	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17160198	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-02-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_716_198_table2:
#Name: J/ApJ/716/198/table2
#Title: DiskMass sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	UGC	(I5)	UGC number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Type	(a6)	Hubble morphological type	[ucd=src.morph.type]
#Column	f_Type	(I1)	[1/5]? additional classification (1)	[ucd=meta.code]
#Column	HRV	(I5)	NED heliocentric velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.1)	NED distance (2)	[ucd=pos.distance;pos.heliocentric]
#Column	AB	(F5.2)	B-band Galactic extinction	[ucd=phys.absorption]
#Column	Bmag	(F4.1)	? Apparent B-band magnitude from RC3, with corrections applied	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F4.1)	? Bmag uncertainty	[ucd=stat.error;phot.mag;em.opt.B]
#Column	Ksmag	(F5.2)	? 2MASS Ks-band magnitude, with corrections applied	[ucd=phot.mag;em.IR.K]
#Column	e_Ksmag	(F5.2)	? Ksmag uncertainty	[ucd=stat.error;phot.mag;em.IR.K]
#Column	KMag	(F5.1)	? Absolute K-band magnitude applying distance modulus and Galactic extinction corrections	[ucd=phys.magAbs;em.IR.K]
#Column	B-K	(F4.1)	? Rest-frame B-K color index, corrected for Galactic extinction	[ucd=phot.color;em.opt.B;em.IR.K]
#Column	e_B-K	(F4.1)	? B-K uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	mu0	(F4.1)	Estimated disk central surface brightness from POSS images, calibrated to R band	[ucd=phot.mag.sb]
#Column	hR	(F4.1)	Estimated disk radial scale length	[ucd=phys.angSize;src]
#Column	r23.5	(F4.1)	Apparent isophotal radius where {mu}_R_=23.5mag/arcsec2	[ucd=phys.angSize]
#Column	Sel	(a6)	Disk-mass Phase-A sample selection (3)	[ucd=meta.code]
#Column	Ha	(A3)	H{alpha} IFU observations (D=DensePak or S=SparsePak)	[ucd=meta.code]
#Column	f_Ha	(A1)	[g] incomplete H{alpha} observation (4)	[ucd=meta.code]
#Column	sigma	(a5)	Stellar line-of-site velocity dispersion (IFS) observations ({sigma}^LOS^_*_) (5)	[ucd=meta.code]
#Column	n_sigma	(A1)	[g] incomplete sigma observation (4)	[ucd=meta.note]
#Column	Spz	(A1)	[y/ ] Spitzer/IRAC or MIPS imaging?	[ucd=meta.code]
#Column	HI	(a5)	21cm aperture-synthesis observations (V: VLA, W: Westerbork and/or G: GMRT)	[ucd=meta.code]
#Column	2M	(A2)	Display the 2MASS extended data within 15" (Cat. VII/233)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
recno	UGC	RAJ2000	DEJ2000	Type	f_Type	HRV	Dist	AB	Bmag	e_Bmag	Ksmag	e_Ksmag	KMag	B-K	e_B-K	mu0	hR	r23.5	Sel	Ha	f_Ha	sigma	n_sigma	Spz	HI	2M	Simbad	NED
     182	 9406	14 36 11.5	+48 35 08	SBcd  	 	 2279	 38.7	 0.16	14.0	 0.3	10.67	 0.09	-22.3	 3.2	 0.3	19.7	11.2	38.9	d     	S  	 	     	 	 	     	2M	Simbad	NED
     183	 9505	14 45 19.7	+38 43 52	SBb   	 	 4561	 70.3	 0.05	    	    	 9.90	 0.05	-24.3	    	    	20.2	12.9	35.1	d     	S  	 	     	 	 	     	2M	Simbad	NED
     184	 9535	14 48 42.6	+12 27 26	Sa    	2	 1792	 31.6	 0.14	13.7	 0.2	10.54	 0.04	-22.0	 3.0	 0.2	21.7	17.3	28.6	d     	   	 	     	 	 	     	2M	Simbad	NED
     185	 9544	14 49 35.9	+25 22 53	S0    	 	10178	147.4	 0.17	14.2	 0.2	10.25	 0.06	-25.6	 3.8	 0.2	21.2	15.4	33.5	d     	S  	 	     	 	 	     	2M	Simbad	NED
     186	 9564	14 52 08.1	-02 31 46	Sc    	 	 1962	 31.9	 0.39	13.3	 0.2	 9.64	 0.04	-22.9	 3.3	 0.2	19.6	11.7	40.2	d     	S  	 	     	 	 	     	2M	Simbad	NED
     187	 9569	14 52 00.0	+43 43 15	SBcd  	 	 2493	 41.9	 0.11	14.0	 0.2	11.35	 0.11	-21.8	 2.6	 0.2	20.7	14.6	35.6	4     	S  	 	     	 	 	     	2M	Simbad	NED
     188	 9601	14 56 01.8	-01 23 18	SBcd  	1	 1839	 30.4	 0.25	13.9	 0.2	11.30	 0.20	-21.1	 2.3	 0.3	20.7	14.5	35.7	4     	   	 	     	 	 	     	2M	Simbad	NED
     189	 9610	14 55 53.6	+49 43 34	S     	 	 4171	 64.3	 0.08	14.2	 0.2	10.07	 0.03	-24.0	 4.1	 0.2	20.2	 9.2	29.0	dD    	S  	g	     	 	 	     	2M	Simbad	NED
     190	 9661	15 02 03.7	+01 50 26	SBdm  	 	 1242	 22.0	 0.25	14.4	 0.2	11.14	 0.15	-20.6	 3.1	 0.2	20.3	11.3	32.3	d     	   	 	     	 	 	     	2M	Simbad	NED
     191	 9761	15 11 13.3	+46 09 06	SB0/a 	 	 5578	 83.5	 0.11	14.0	 0.2	 9.50	 0.03	-25.1	 4.3	 0.2	19.6	10.0	35.3	4     	   	 	     	 	 	     	2M	Simbad	NED
     192	 9774	15 13 34.3	+41 57 31	SBb   	 	 5381	 81.2	 0.11	13.9	 0.2	10.15	 0.05	-24.4	 3.7	 0.2	19.5	 9.4	31.7	4     	S  	 	     	 	 	     	2M	Simbad	NED
     193	 9823	15 21 14.2	+41 43 33	SABbc 	 	 5568	 83.7	 0.10	14.1	 0.3	10.36	 0.08	-24.3	 3.7	 0.3	20.3	14.0	40.8	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     194	 9837	15 23 51.8	+58 03 11	SABc  	 	 2657	 43.2	 0.07	14.1	 0.3	11.28	 0.11	-21.9	 2.8	 0.3	21.1	16.6	35.9	p,4,d 	S  	 	P,M,C	g	y	W    	2M	Simbad	NED
     195	 9896	15 31 45.4	+67 33 22	Scd   	2	 6471	 93.6	 0.14	14.1	 0.2	10.40	 0.08	-24.5	 3.6	 0.2	20.5	11.6	29.8	p,d   	S  	 	     	 	 	     	2M	Simbad	NED
     196	 9908	15 34 58.6	+11 45 01	Scd   	 	 1899	 33.0	 0.21	13.1	 0.2	 9.76	 0.04	-22.8	 3.2	 0.2	19.8	10.2	34.0	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     197	 9965	15 40 06.8	+20 40 51	Sc    	 	 4528	 70.6	 0.27	14.0	 0.2	10.63	 0.09	-23.6	 3.2	 0.2	20.9	15.9	29.9	4,d   	S,D	g	P,M,C	g	y	G    	2M	Simbad	NED
     198	10020	15 45 44.5	+20 33 37	Scd   	 	 2093	 36.3	 0.23	13.5	 0.3	11.21	 0.13	-21.6	 2.1	 0.3	21.3	16.3	33.2	p,4,d 	S  	 	     	 	 	     	2M	Simbad	NED
     199	10055	15 50 25.9	+18 08 23	Scd   	 	13989	199.3	 0.17	14.1	 0.3	10.66	 0.09	-25.9	 3.3	 0.3	21.1	12.6	25.9	4     	S  	g	     	 	 	     	2M	Simbad	NED
     200	10076	15 52 56.0	+21 06 03	SBb   	 	 4869	 75.2	 0.21	13.8	 0.2	10.09	 0.07	-24.3	 3.5	 0.2	19.4	 8.8	32.5	4     	S  	 	     	 	 	     	2M	Simbad	NED
     201	10104	15 57 27.9	+30 03 35	Sbc   	 	 9841	142.3	 0.16	13.5	 0.5	10.61	 0.08	-25.2	 2.8	 0.5	21.5	17.2	31.1	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     202	10149	16 02 40.6	+37 21 35	Sc    	 	 9392	135.6	 0.10	14.1	 0.2	10.04	 0.05	-25.6	 4.0	 0.2	18.9	 8.8	36.9	p     	S  	 	M    	 	 	G,W  	2M	Simbad	NED
     203	10269	16 12 35.3	+29 21 54	Sa    	 	10202	147.0	 0.18	13.9	 0.2	 9.90	 0.04	-26.0	 3.8	 0.2	20.9	14.2	34.4	4,d   	S  	g	P    	g	 	     	2M	Simbad	NED
     204	10316	16 17 40.6	+35 00 15	E/S0  	 	 8857	128.4	 0.10	14.4	 0.2	10.13	 0.04	-25.4	 4.2	 0.2	21.0	12.5	28.2	d     	S  	g	     	 	 	     	2M	Simbad	NED
     205	10436	16 31 03.9	+41 09 21	Sc    	 	 9064	130.6	 0.05	14.3	 0.2	10.66	 0.08	-24.9	 3.6	 0.2	20.4	 8.9	23.7	p,4   	S,D	 	     	 	 	     	2M	Simbad	NED
     206	10443	16 32 06.8	+58 26 21	Scd   	 	 3351	 52.2	 0.05	13.3	 0.2	10.03	 0.05	-23.6	 3.3	 0.2	20.5	13.6	38.4	d     	S  	 	P,M  	g	 	G,W  	2M	Simbad	NED
     207	10458	16 34 41.6	+46 23 32	Scd   	 	 5439	 81.1	 0.08	14.3	 0.2	10.60	 0.12	-23.9	 3.6	 0.2	20.7	12.0	28.1	4     	S  	g	     	 	 	     	2M	Simbad	NED
     208	10500	16 38 59.4	+57 43 27	S0/a  	 	 5218	 77.3	 0.07	13.9	 0.2	10.03	 0.05	-24.4	 3.8	 0.2	21.0	15.1	35.0	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     209	10537	16 43 20.5	+70 37 56	SBa   	 	 4437	 65.7	 0.19	13.5	 0.2	10.13	 0.04	-24.0	 3.2	 0.2	20.6	12.4	36.0	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     210	10586	16 50 48.6	+45 24 07	S0/a  	1	 9384	134.4	 0.10	14.4	 0.3	10.59	 0.09	-25.1	 3.7	 0.3	20.9	11.2	26.9	p,4,d 	S  	 	     	 	 	     	2M	Simbad	NED
     211	10897	17 29 37.6	+75 42 16	Sc    	 	 1313	 23.7	 0.17	12.6	 0.2	 9.35	 0.07	-22.5	 3.1	 0.2	20.2	25.6	65.8	4     	S  	 	     	 	 	     	2M	Simbad	NED
     212	11014	17 51 52.8	+31 27 44	Sbc   	 	 4743	 71.6	 0.25	13.7	 0.2	10.44	 0.04	-23.9	 3.1	 0.2	20.4	10.1	27.1	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     213	11318	18 39 12.3	+55 38 31	SBbc  	 	 5886	 85.1	 0.21	13.8	 0.2	 9.93	 0.05	-24.7	 3.7	 0.2	20.6	16.9	34.9	4     	S  	 	P    	 	y	V,W  	2M	Simbad	NED
     214	12158	22 42 10.6	+19 59 49	Sb/Ia 	 	 9289	126.7	 0.23	14.5	 0.3	10.53	 0.09	-25.0	 3.8	 0.3	20.7	11.9	30.3	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     215	12193	22 48 44.1	+27 35 03	SBbc  	 	 9566	130.4	 0.22	13.9	 0.2	10.28	 0.05	-25.3	 3.4	 0.2	20.3	12.5	32.7	4     	S  	 	     	 	 	     	2M	Simbad	NED
     216	12213	22 51 03.1	+07 17 46	SABdm 	 	 3206	 44.8	 0.38	    	    	11.46	 0.14	-21.8	    	    	21.5	15.5	25.7	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     217	12224	22 52 38.5	+06 05 37	Scd   	 	 3506	 48.7	 0.37	14.3	 0.3	10.33	 0.09	-23.1	 3.7	 0.3	21.2	20.6	36.7	4,dD  	S  	 	     	 	 	     	2M	Simbad	NED
     218	12270	22 58 10.1	+14 18 31	SABcd 	 	 2116	 30.3	 0.17	13.8	 0.3	11.20	 0.12	-21.2	 2.5	 0.3	20.8	18.4	43.7	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     219	12303	23 00 49.1	+26 44 27	Sb    	 	 7962	108.4	 0.22	14.2	 0.3	10.22	 0.04	-25.0	 3.8	 0.3	20.5	10.3	29.2	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     220	12359	23 06 04.8	+14 52 01	S     	 	10703	145.2	 0.63	    	    	10.09	 0.06	-25.8	    	    	20.8	13.5	32.1	d     	S  	g	     	 	 	     	2M	Simbad	NED
     221	12391	23 08 57.3	+12 02 52	SABc  	 	 4887	 66.8	 0.37	14.0	 0.3	10.33	 0.08	-23.8	 3.4	 0.3	20.6	15.4	39.2	4,d   	S  	 	P,M  	 	y	G    	2M	Simbad	NED
     222	12418	23 12 48.9	+12 40 43	S     	 	 4475	 61.3	 0.19	13.6	 0.2	 9.29	 0.03	-24.7	 4.2	 0.2	19.9	13.7	42.8	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     223	12438	23 14 12.7	+13 34 55	Scd   	 	 4604	 64.4	 0.28	14.6	 0.3	     	     	     	    	    	21.0	14.4	32.1	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     224	12586	23 24 49.4	+15 16 33	Sb    	 	 4265	 58.3	 0.29	13.5	 0.2	 9.66	 0.04	-24.2	 3.6	 0.2	20.1	12.7	39.2	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     225	12702	23 36 31.5	+00 17 50	SABb  	 	 2571	 35.6	 0.15	12.8	 0.2	 9.27	 0.03	-23.5	 3.4	 0.2	19.6	14.3	49.8	4     	S  	 	M    	 	 	G    	2M	Simbad	NED
     226	12753	23 43 28.8	+13 12 34	SABbc 	 	11867	160.2	 0.24	14.3	 0.3	 9.87	 0.07	-26.2	 4.2	 0.3	20.5	13.7	37.8	4,d   	   	 	     	 	 	     	2M	Simbad	NED
     227	12760	23 44 15.9	+10 46 02	S0/a  	2	 1663	 23.6	 0.24	12.6	 0.2	 8.61	 0.02	-23.3	 3.8	 0.2	20.0	12.4	39.5	4,d   	S  	 	     	 	 	     	2M	Simbad	NED
     228	12784	23 48 04.5	+17 28 30	SABbc 	 	 9953	134.3	 0.30	14.5	 0.3	     	     	     	    	    	20.5	 8.9	24.0	4     	D  	 	     	 	 	     	2M	Simbad	NED
     229	12808	23 51 04.0	+20 09 01	Sab   	4	 4211	 57.2	 0.32	12.9	 0.2	 8.91	 0.02	-24.9	 3.7	 0.2	19.6	13.4	52.2	4     	S  	 	     	 	 	     	2M	Simbad	NED
     230	12852	23 56 07.1	-00 54 59	Sbc   	1	 7334	 98.2	 0.12	13.8	 0.2	10.01	 0.04	-25.0	 3.7	 0.2	20.3	10.6	30.4	d     	   	 	     	 	 	     	2M	Simbad	NED
     231	12893	00 00 28.2	+17 13 08	Sdm   	 	 1108	 16.5	 0.14	14.4	 0.3	11.82	 0.22	-19.3	 2.5	 0.4	21.5	19.8	35.5	d     	   	 	     	 	 	     	2M	Simbad	NED

