#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:03 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:03	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/276/59/table7&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22760059
#Name: J/ApJS/276/59
#Title: The DiskMass Survey (DMS). XI. Full Ha sample (Swaters+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/276/59	    IVOID of underlying data collection
#INFO	creator=Swaters R.A.	    First author or institution
#INFO	cites=bibcode:2025ApJS..276...59S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/276/59	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bb-8m-1v	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_276_59_table7:
#Name: J/ApJS/276/59/table7
#Title: H{alpha} data table for individual fiber measurements
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	UGC	(I5)	[16/12808] UGC galaxy identifier	[ucd=meta.id;meta.main]
#Column	R	(A3)	Run code (1)	[ucd=meta.id;obs]
#Column	N	(I1)	[1/5] Night during the observing run	[ucd=meta.note]
#Column	P	(I1)	[1/4] SparsePak pointing	[ucd=obs.field]
#Column	A	(I2)	[1/82] SparsePak fiber aperture	[ucd=instr.fov]
#Column	C	(I1)	[1/9] Fitting code (2)	[ucd=meta.code]
#Column	oRA	(F5.1)	[-70.5/38.7] East-West offset of fiber aperture (3)	[ucd=pos.eq.ra;arith.diff]
#Column	oDE	(F5.1)	[-47/62.5] North-South offset of fiber aperture (3)	[ucd=pos.eq.dec;arith.diff]
#Column	EWg	(F6.1)	[-0.2/1167]? H{alpha} emission equivalent width from sum of Gaussian line parameters	[ucd=spect.line.eqWidth]
#Column	EWsum	(F7.1)	[-0.2/29060]? H{alpha} emission equivalent width from zeroth moment of line emission	[ucd=spect.line.eqWidth]
#Column	logmuN	(F6.2)	[-16.6/-13] Log H{alpha} narrow component surface-brightness (flux within the 4.7" diameter fiber aperture); in erg/s/cm^2^/arcsec^2^	[ucd=phot.mag.sb]
#Column	e_logmuN	(F5.2)	[0/73] Uncertainty in logmuN	[ucd=stat.error;phot.mag.sb]
#Column	VelN	(F6.1)	[-382/348] Narrow component velocity relative to kinematic model galaxy barycenter	[ucd=phys.veloc;arith.diff]
#Column	e_VelN	(F6.1)	[0/5579] Uncertainty in VelN	[ucd=stat.error;phys.veloc;arith.diff]
#Column	sigmaN	(F5.1)	[2.9/142] Narrow component velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmaN	(F5.1)	[0/999] Uncertainty in sigmaN	[ucd=stat.error;phys.veloc.dispersion]
#Column	logmuB	(F6.2)	[-99/-13]? Log H{alpha} broad component surface-brightness; in erg/s/cm^2^/arcsec^2^	[ucd=phot.mag.sb]
#Column	e_logmuB	(F5.2)	[0/13.4]? Uncertainty in logmuB	[ucd=stat.error;phot.mag.sb]
#Column	VelB	(F6.1)	[-487/340]? Broad component velocity relative to the kinematic model galaxy barycenter	[ucd=phys.veloc;arith.diff]
#Column	e_VelB	(F6.1)	[0/1174]? Uncertainty in VelB	[ucd=stat.error;phys.veloc;arith.diff]
#Column	sigmaB	(F5.1)	[0/888]? Broad component velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmaB	(F5.1)	[0/999]? Uncertainty in sigmaB	[ucd=stat.error;phys.veloc.dispersion]
recno	UGC	R	N	P	A	C	oRA	oDE	EWg	EWsum	logmuN	e_logmuN	VelN	e_VelN	sigmaN	e_sigmaN	logmuB	e_logmuB	VelB	e_VelB	sigmaB	e_sigmaB
    2587	 1579	R2 	1	2	 6	1	 31.8	 30.8	  40.4	   36.3	-15.50	 0.04	 -17.8	   1.6	 19.9	  1.3	      	     	      	      	     	
    2588	 1579	R2 	1	2	 7	1	 26.9	 22.4	  20.3	   18.6	-15.46	 0.04	 -21.1	   1.9	 21.8	  1.6	      	     	      	      	     	
    2589	 1579	R2 	1	2	 8	7	 31.8	 -3.0	  -0.2	   15.2	-15.75	 0.08	  18.5	   3.7	 21.2	  3.0	      	     	      	      	     	
    2590	 1579	R2 	1	2	12	1	 31.8	-36.7	  58.3	   54.1	-15.50	 0.04	  36.9	   2.0	 21.5	  1.6	      	     	      	      	     	
    2591	 1579	R2 	1	2	14	1	 31.8	-19.9	  10.9	    9.8	-15.81	 0.08	  37.0	   3.7	 21.4	  3.0	      	     	      	      	     	
    2592	 1579	R2 	1	2	15	1	 26.9	-11.4	  35.1	   30.8	-15.42	 0.04	  23.0	   2.5	 31.6	  2.0	      	     	      	      	     	
    2593	 1579	R2 	1	2	19	1	 12.1	 30.8	  41.8	   38.9	-15.25	 0.02	 -37.1	   0.8	 20.1	  0.6	      	     	      	      	     	
    2594	 1579	R2 	1	2	21	1	 12.1	 13.9	   3.8	    3.6	-15.91	 0.07	 -22.4	   1.9	 13.7	  1.6	      	     	      	      	     	
    2595	 1579	R2 	1	2	23	3	 17.1	  5.5	  38.7	   38.4	-15.07	 0.01	  -7.7	   0.5	 18.2	  0.4	-15.34	 0.03	  10.0	   2.1	 34.2	  1.7
    2596	 1579	R2 	1	2	24	7	 17.1	-11.4	  -0.2	    8.9	-15.88	 0.07	  32.7	   3.4	 23.0	  2.8	      	     	      	      	     	
    2597	 1579	R2 	1	2	25	2	  7.2	-11.4	  39.6	   38.5	-14.93	 0.01	  26.7	   0.4	 18.8	  0.3	-15.13	 0.02	  27.8	   1.4	 32.1	  1.1
    2598	 1579	R2 	1	2	26	1	  7.2	 -0.2	  18.0	   17.8	-14.77	 0.01	   5.1	   0.3	 20.8	  0.2	      	     	      	      	     	
    2599	 1579	R2 	1	2	28	1	 22.0	 -3.0	  17.6	   17.9	-15.67	 0.05	   6.4	   1.7	 17.3	  1.4	      	     	      	      	     	
    2600	 1579	R2 	1	2	29	1	 12.1	-36.7	  -0.2	 3355.6	-15.04	 0.01	  39.1	   0.6	 20.9	  0.4	      	     	      	      	     	
    2601	 1579	R2 	1	2	31	1	  2.3	 -8.6	  43.1	   43.7	-14.56	 0.00	  24.5	   0.2	 21.4	  0.1	      	     	      	      	     	
    2602	 1579	R2 	1	2	33	1	 12.1	-19.9	  11.6	   12.7	-15.69	 0.04	  31.2	   2.0	 22.0	  1.6	      	     	      	      	     	
    2603	 1579	R2 	1	2	34	1	 17.1	-28.3	  81.0	   88.0	-15.57	 0.03	  39.7	   1.1	 17.7	  0.9	      	     	      	      	     	
    2604	 1579	R2 	1	2	36	1	-17.4	 30.8	  50.6	   54.5	-15.41	 0.02	 -37.4	   1.0	 19.5	  0.8	      	     	      	      	     	
    2605	 1579	R2 	1	2	38	1	  2.3	 30.8	  50.4	   51.3	-15.14	 0.01	 -35.7	   0.5	 18.2	  0.4	      	     	      	      	     	
    2606	 1579	R2 	1	2	39	7	 -7.6	 30.8	  -0.2	    4.9	-16.24	 0.11	 -43.1	   2.2	  9.0	  1.8	      	     	      	      	     	
    2607	 1579	R2 	1	2	40	1	 -2.6	 22.4	  19.6	   15.7	-15.56	 0.04	 -32.4	   1.7	 22.0	  1.4	      	     	      	      	     	
    2608	 1579	R2 	1	2	41	1	  7.2	  5.5	   8.0	    7.5	-15.17	 0.01	 -17.2	   0.5	 17.8	  0.4	      	     	      	      	     	
    2609	 1579	R2 	1	2	42	1	  2.3	 13.9	  29.1	   29.8	-14.91	 0.01	 -28.4	   0.3	 19.1	  0.3	      	     	      	      	     	
    2610	 1579	R2 	1	2	43	1	 -2.6	 -0.2	   5.3	    5.2	-15.35	 0.02	   4.6	   0.9	 20.5	  0.8	      	     	      	      	     	
    2611	 1579	R2 	1	2	44	1	  2.3	  8.3	  23.2	   23.5	-14.74	 0.01	 -22.7	   0.2	 19.8	  0.2	      	     	      	      	     	
    2612	 1579	R2 	1	2	45	1	 -7.6	 -3.0	   9.6	    9.2	-15.37	 0.02	   9.6	   1.0	 19.2	  0.8	      	     	      	      	     	
    2613	 1579	R2 	1	2	46	1	  7.2	 -5.8	  37.0	   37.8	-14.60	 0.01	  14.8	   0.2	 21.1	  0.2	      	     	      	      	     	
    2614	 1579	R2 	1	2	47	3	  2.3	  2.7	  15.7	   15.1	-14.94	 0.01	  -6.1	   0.4	 16.8	  0.3	-15.00	 0.02	  -4.0	   1.1	 31.6	  0.9
    2615	 1579	R2 	1	2	48	9	  2.3	-14.2	  -0.2	   17.9	-15.15	 0.03	  23.8	   1.5	 26.0	  1.4	-16.32	 0.07	  16.0	   0.9	  6.0	  0.7
    2616	 1579	R2 	1	2	49	1	 -2.6	-28.3	 182.2	  170.7	-15.12	 0.01	  34.4	   0.5	 18.3	  0.4	      	     	      	      	     	
    2617	 1579	R2 	1	2	51	1	 -2.6	-11.4	  13.7	   13.8	-15.30	 0.02	  23.2	   1.0	 23.9	  0.8	      	     	      	      	     	
    2618	 1579	R2 	1	2	52	1	  2.3	 -3.0	  15.8	   15.8	-14.81	 0.01	  10.6	   0.4	 20.6	  0.3	      	     	      	      	     	
    2619	 1579	R2 	1	2	55	1	-22.3	 22.4	  33.9	   33.6	-15.24	 0.01	 -34.4	   0.7	 21.4	  0.5	      	     	      	      	     	
    2620	 1579	R2 	1	2	56	1	 -7.6	 13.9	  12.9	   14.0	-15.40	 0.02	 -17.1	   1.0	 19.5	  0.8	      	     	      	      	     	
    2621	 1579	R2 	1	2	57	1	-27.3	 30.8	   6.3	    7.0	-16.18	 0.11	 -31.6	   2.9	 12.4	  2.4	      	     	      	      	     	
    2622	 1579	R2 	1	2	58	1	-12.5	 22.4	   9.7	   12.0	-15.85	 0.06	 -37.1	   2.1	 15.4	  1.7	      	     	      	      	     	
    2623	 1579	R2 	1	2	59	1	-32.2	 22.4	  43.4	   60.2	-15.94	 0.08	 -30.9	   2.8	 16.5	  2.3	      	     	      	      	     	
    2624	 1579	R2 	1	2	60	3	-17.4	 13.9	 115.6	  113.1	-14.47	 0.00	 -13.1	   0.1	 20.1	  0.1	-15.32	 0.03	 -10.0	   2.9	 47.4	  2.3
    2625	 1579	R2 	1	2	61	1	-22.3	-11.4	 199.0	  204.4	-14.86	 0.01	  18.1	   0.4	 23.9	  0.4	      	     	      	      	     	
    2626	 1579	R2 	1	2	62	1	 -2.6	  5.5	  11.9	   11.9	-14.89	 0.01	 -12.8	   0.5	 22.0	  0.4	      	     	      	      	     	
    2627	 1579	R2 	1	2	64	1	-12.5	-11.4	  22.4	   21.8	-15.25	 0.02	  14.8	   0.9	 20.7	  0.7	      	     	      	      	     	
    2628	 1579	R2 	1	2	65	1	-22.3	  5.5	  22.0	   20.8	-15.63	 0.05	 -19.0	   3.2	 29.5	  2.6	      	     	      	      	     	
    2629	 1579	R2 	1	2	66	1	 -2.6	 -5.8	   7.1	    7.4	-15.47	 0.04	  20.6	   1.9	 23.7	  1.6	      	     	      	      	     	
    2630	 1579	R2 	1	2	70	7	-61.8	-33.9	  -0.2	   -0.2	-16.12	 0.16	 347.9	   6.9	 20.9	  5.7	      	     	      	      	     	
    2631	 1579	R2 	1	2	71	1	 -7.6	-19.9	  11.6	   10.7	-15.68	 0.05	  34.6	   2.4	 20.8	  1.9	      	     	      	      	     	
    2632	 1579	R2 	1	2	73	1	-27.3	 -3.0	  53.7	   59.0	-15.08	 0.02	  -2.6	   0.8	 23.6	  0.7	      	     	      	      	     	
    2633	 1579	R2 	1	2	74	1	-32.2	-11.4	 169.1	  174.4	-14.54	 0.01	   2.5	   0.2	 20.0	  0.2	      	     	      	      	     	
    2634	 1579	R2 	1	2	75	1	-27.3	 13.9	  29.6	   28.2	-15.42	 0.02	 -38.1	   1.2	 22.2	  0.9	      	     	      	      	     	
    2635	 1579	R2 	1	2	76	1	-32.2	  5.5	  21.4	   24.5	-15.54	 0.05	 -21.1	   2.5	 23.6	  2.1	      	     	      	      	     	
    2636	 1579	R2 	1	2	77	7	-27.3	-19.9	  -0.2	   32.3	-15.97	 0.13	   7.4	   5.8	 21.5	  4.7	      	     	      	      	     	
    2637	 1579	R2 	1	2	78	7	-32.2	-28.3	  -0.2	   37.4	-16.01	 0.11	  20.9	   2.9	 11.9	  2.4	      	     	      	      	     	
    2638	 1579	R2 	1	2	79	7	  2.3	-19.9	  -0.2	    3.3	-15.87	 0.12	  20.1	   8.2	 31.7	  6.7	      	     	      	      	     	
    2639	 1579	R2 	1	2	81	7	-22.3	-28.3	  -0.2	   12.6	-15.78	 0.10	  27.7	   5.7	 26.7	  4.7	      	     	      	      	     	
    2640	 1579	R2 	1	2	82	1	-17.4	 -3.0	  33.3	   33.2	-14.95	 0.01	   1.5	   0.7	 23.4	  0.5	      	     	      	      	     	
    2641	 1579	R2 	1	3	 1	1	 14.0	 -0.6	  33.7	   33.0	-14.73	 0.01	   3.7	   0.5	 21.8	  0.4	      	     	      	      	     	
    2642	 1579	R2 	1	3	 6	7	 33.7	 33.2	  -0.2	   18.6	-15.95	 0.10	 -15.8	   3.3	 16.2	  2.7	      	     	      	      	     	
    2643	 1579	R2 	1	3	15	1	 28.8	 -9.1	  29.5	   27.7	-15.72	 0.06	  27.0	   2.0	 16.0	  1.6	      	     	      	      	     	
    2644	 1579	R2 	1	3	17	1	 23.9	 33.2	 115.3	  116.1	-14.77	 0.01	 -30.4	   0.4	 22.5	  0.3	      	     	      	      	     	
    2645	 1579	R2 	1	3	18	1	  9.1	 24.7	  19.1	   18.0	-15.49	 0.03	 -22.1	   1.3	 17.7	  1.1	      	     	      	      	     	
    2646	 1579	R2 	1	3	23	1	 18.9	  7.8	  35.8	   35.4	-15.24	 0.02	   4.1	   1.0	 20.2	  0.8	      	     	      	      	     	
    2647	 1579	R2 	1	3	25	1	  9.1	 -9.1	  37.1	   35.6	-14.92	 0.01	  21.6	   0.6	 22.9	  0.4	      	     	      	      	     	
    2648	 1579	R2 	1	3	26	1	  9.1	  2.2	   5.6	    5.3	-15.48	 0.03	   0.5	   1.0	 16.8	  0.8	      	     	      	      	     	
    2649	 1579	R2 	1	3	27	1	 23.9	 16.3	  69.3	   64.4	-15.20	 0.02	  -7.3	   0.7	 20.0	  0.6	      	     	      	      	     	
    2650	 1579	R2 	1	3	28	1	 23.9	 -0.6	 164.0	  163.1	-14.71	 0.01	  18.5	   0.3	 20.8	  0.2	      	     	      	      	     	
    2651	 1579	R2 	1	3	30	1	 23.9	-17.5	  31.5	   26.7	-15.53	 0.04	  27.5	   2.9	 32.3	  2.4	      	     	      	      	     	
    2652	 1579	R2 	1	3	31	3	  4.2	 -6.2	  38.0	   37.2	-14.70	 0.01	  18.2	   0.3	 19.8	  0.2	-15.30	 0.04	   9.2	   3.6	 46.5	  2.9
    2653	 1579	R2 	1	3	32	7	  9.1	-25.9	  -0.2	    9.8	-15.88	 0.09	  39.1	   3.9	 20.2	  3.1	      	     	      	      	     	
    2654	 1579	R2 	1	3	33	1	 14.0	-17.5	  12.9	    8.7	-15.86	 0.07	  33.2	   3.7	 25.4	  3.0	      	     	      	      	     	
    2655	 1579	R2 	1	3	34	1	 18.9	-25.9	  86.7	   80.4	-15.26	 0.02	  36.3	   0.9	 19.5	  0.7	      	     	      	      	     	
    2656	 1579	R2 	1	3	35	7	 23.9	-34.4	  -0.2	   -0.2	-15.88	 0.11	  36.3	   7.9	 34.5	  6.4	      	     	      	      	     	
    2657	 1579	R2 	1	3	38	1	  4.2	 33.2	  14.2	   12.5	-15.97	 0.08	 -34.9	   2.6	 15.2	  2.1	      	     	      	      	     	
    2658	 1579	R2 	1	3	39	1	 -5.7	 33.2	  26.4	   24.1	-15.31	 0.02	 -34.3	   0.9	 21.0	  0.7	      	     	      	      	     	
    2659	 1579	R2 	1	3	41	1	  9.1	  7.8	  12.9	   11.6	-15.24	 0.02	 -25.0	   0.9	 21.0	  0.7	      	     	      	      	     	
    2660	 1579	R2 	1	3	42	1	  4.2	 16.3	   4.0	    2.9	-16.00	 0.08	 -25.7	   2.6	 14.5	  2.1	      	     	      	      	     	
    2661	 1579	R2 	1	3	43	3	 -0.8	  2.2	  15.5	   14.8	-14.75	 0.01	  -5.3	   0.3	 20.5	  0.2	-15.53	 0.05	  18.9	   3.8	 38.8	  3.0
    2662	 1579	R2 	1	3	44	1	  4.2	 10.6	  32.2	   31.5	-14.84	 0.01	 -22.8	   0.3	 20.1	  0.3	      	     	      	      	     	
    2663	 1579	R2 	1	3	45	1	 -5.7	 -0.6	   8.4	    7.8	-15.11	 0.02	   3.6	   0.7	 20.2	  0.5	      	     	      	      	     	
    2664	 1579	R2 	1	3	46	1	  9.1	 -3.4	  89.4	   92.0	-14.34	 0.00	   4.8	   0.1	 21.9	  0.1	      	     	      	      	     	
    2665	 1579	R2 	1	3	47	1	  4.2	  5.0	   7.4	    7.1	-15.22	 0.02	 -17.3	   0.7	 18.1	  0.6	      	     	      	      	     	
    2666	 1579	R2 	1	3	48	3	  4.2	-11.9	  46.9	   44.9	-14.84	 0.01	  28.6	   0.3	 19.7	  0.2	-15.26	 0.02	  18.0	   1.4	 28.7	  1.1
    2667	 1579	R2 	1	3	49	1	 -0.8	-25.9	  18.6	   17.3	-15.53	 0.04	  25.1	   1.6	 20.3	  1.3	      	     	      	      	     	
    2668	 1579	R2 	1	3	51	1	 -0.8	 -9.1	  47.0	   46.9	-14.55	 0.00	  24.0	   0.2	 21.6	  0.2	      	     	      	      	     	
    2669	 1579	R2 	1	3	52	1	  4.2	 -0.6	  15.6	   15.6	-14.84	 0.01	   2.9	   0.4	 21.6	  0.3	      	     	      	      	     	
    2670	 1579	R2 	1	3	53	1	  4.2	-34.4	 149.4	  140.8	-15.11	 0.01	  35.7	   0.6	 19.7	  0.5	      	     	      	      	     	
    2671	 1579	R2 	1	3	55	1	-20.5	 24.7	 122.5	  116.7	-14.83	 0.01	 -43.6	   0.4	 21.5	  0.3	      	     	      	      	     	
    2672	 1579	R2 	1	3	56	3	 -5.7	 16.3	  76.6	   75.3	-14.60	 0.01	 -34.0	   0.2	 20.2	  0.2	-15.56	 0.07	 -56.4	   7.6	 51.8	  6.1
    2673	 1579	R2 	1	3	57	1	-25.4	 33.2	  35.0	   31.2	-15.23	 0.03	 -37.9	   1.2	 21.6	  1.0	      	     	      	      	     	
    2674	 1579	R2 	1	3	58	7	-10.6	 24.7	  -0.2	    0.0	-16.16	 0.13	 -35.3	   5.1	 18.1	  4.1	      	     	      	      	     	
    2675	 1579	R2 	1	3	59	1	-30.3	 24.7	  60.5	   62.4	-15.08	 0.01	 -33.6	   0.6	 22.9	  0.5	      	     	      	      	     	
    2676	 1579	R2 	1	3	60	3	-15.5	 16.3	  60.9	   56.6	-14.87	 0.01	 -27.1	   0.4	 20.9	  0.3	-15.37	 0.05	 -49.1	   8.4	 77.5	  6.8
    2677	 1579	R2 	1	3	61	1	-20.5	 -9.1	  68.1	   71.6	-14.91	 0.01	  12.6	   0.4	 20.2	  0.3	      	     	      	      	     	
    2678	 1579	R2 	1	3	62	2	 -0.8	  7.8	  25.9	   24.5	-14.71	 0.01	 -22.5	   0.2	 19.5	  0.2	-15.53	 0.05	 -27.1	   4.8	 45.4	  3.8
    2679	 1579	R2 	1	3	63	1	-10.6	  7.8	  21.7	   21.3	-14.84	 0.01	 -17.2	   0.4	 20.8	  0.3	      	     	      	      	     	
    2680	 1579	R2 	1	3	64	1	-10.6	 -9.1	   4.0	    5.0	-15.89	 0.08	  22.9	   2.5	 14.8	  2.0	      	     	      	      	     	
    2681	 1579	R2 	1	3	65	7	-20.5	  7.8	  -0.2	    2.7	-16.07	 0.12	  -9.8	   3.0	 12.2	  2.5	      	     	      	      	     	
    2682	 1579	R2 	1	3	66	1	 -0.8	 -3.4	  15.6	   15.2	-14.80	 0.01	  10.2	   0.4	 20.5	  0.3	      	     	      	      	     	
    2683	 1579	R2 	1	3	67	7	-10.6	-25.9	  -0.2	    8.6	-16.00	 0.15	  42.1	   8.4	 26.1	  6.9	      	     	      	      	     	
    2684	 1579	R2 	1	3	73	1	-25.4	 -0.6	  47.6	   46.5	-15.13	 0.02	  -2.1	   0.9	 21.8	  0.7	      	     	      	      	     	
    2685	 1579	R2 	1	3	75	1	-25.4	 16.3	 101.0	   99.1	-14.67	 0.01	 -20.1	   0.3	 23.0	  0.3	      	     	      	      	     	
    2686	 1579	R2 	1	3	76	1	-30.3	  7.8	 137.2	  142.4	-14.56	 0.00	 -26.6	   0.2	 22.0	  0.2	      	     	      	      	     	
    2687	 1579	R2 	1	3	77	1	-25.4	-17.5	  45.8	   43.1	-15.42	 0.04	  12.3	   2.6	 29.0	  2.1	      	     	      	      	     	
    2688	 1579	R2 	1	3	78	7	-30.3	-25.9	  -0.2	   13.7	-16.05	 0.11	  29.3	   2.6	 11.6	  2.1	      	     	      	      	     	
    2689	 1579	R2 	1	3	79	1	  4.2	-17.5	  10.6	   10.1	-15.37	 0.03	  37.3	   1.2	 20.9	  1.0	      	     	      	      	     	
    2690	 1579	R2 	1	3	81	1	-20.5	-25.9	  17.3	   18.0	-15.78	 0.09	   9.6	   4.3	 21.0	  3.5	      	     	      	      	     	
    2691	 1579	R2 	1	3	82	1	-15.5	 -0.6	   7.8	    6.8	-15.45	 0.04	  -6.4	   1.8	 20.5	  1.5	      	     	      	      	     	
    2692	 1635	R3 	2	1	 1	1	 10.1	  0.2	   3.1	    3.2	-15.59	 0.08	  30.8	   3.5	 19.5	  2.9	      	     	      	      	     	
    2693	 1635	R3 	2	1	 4	1	 24.8	  8.6	  16.2	   18.4	-15.15	 0.02	  15.0	   0.9	 17.1	  0.7	      	     	      	      	     	
    2694	 1635	R3 	2	1	 7	1	 24.8	 25.5	  15.7	   15.1	-15.56	 0.05	 -11.1	   2.1	 19.9	  1.7	      	     	      	      	     	
    2695	 1635	R3 	2	1	 9	7	 34.7	  8.6	  -0.2	   14.7	-15.87	 0.13	  23.4	   5.3	 18.6	  4.3	      	     	      	      	     	
    2696	 1635	R3 	2	1	10	7	 34.7	-25.2	  -0.2	   33.2	-15.12	 0.02	  54.3	   0.7	 19.0	  0.6	      	     	      	      	     	
    2697	 1635	R3 	2	1	11	1	 24.8	-25.2	   4.1	    0.0	-16.08	 0.15	  51.8	   4.3	 13.6	  3.5	      	     	      	      	     	
    2698	 1635	R3 	2	1	12	9	 29.8	-33.6	  -0.2	    0.0	-15.99	 0.11	  54.6	   3.1	 12.9	  2.6	-99.00	 0.00	   0.0	   0.0	  0.0	  0.0
    2699	 1635	R3 	2	1	13	1	 34.7	 -8.3	  28.4	   28.3	-15.39	 0.03	  45.8	   1.4	 20.5	  1.2	      	     	      	      	     	
    2700	 1635	R3 	2	1	15	1	 24.8	 -8.3	   8.9	    8.1	-15.59	 0.05	  43.3	   1.8	 18.4	  1.5	      	     	      	      	     	
    2701	 1635	R3 	2	1	18	9	  5.1	 25.5	  -0.2	    2.4	-15.82	 0.10	 -24.8	   4.0	 23.4	  3.3	-16.37	 0.16	 152.5	   4.1	 10.8	  3.3
    2702	 1635	R3 	2	1	21	1	 10.1	 17.0	   8.1	    7.0	-15.45	 0.04	 -21.9	   1.4	 17.7	  1.1	      	     	      	      	     	
    2703	 1635	R3 	2	1	23	1	 15.0	  8.6	  11.3	   11.1	-15.33	 0.02	   4.4	   0.9	 19.9	  0.8	      	     	      	      	     	
    2704	 1635	R3 	2	1	24	1	 15.0	 -8.3	   6.0	    5.9	-15.62	 0.05	  43.1	   1.7	 16.3	  1.4	      	     	      	      	     	
    2705	 1635	R3 	2	1	25	1	  5.1	 -8.3	   6.1	    5.8	-15.47	 0.03	  42.3	   1.1	 15.5	  0.9	      	     	      	      	     	
    2706	 1635	R3 	2	1	26	1	  5.1	  3.0	   3.8	    3.3	-15.46	 0.03	   0.8	   1.3	 19.8	  1.1	      	     	      	      	     	
    2707	 1635	R3 	2	1	27	1	 19.9	 17.0	  18.3	   19.0	-15.33	 0.02	  -7.6	   0.9	 18.2	  0.7	      	     	      	      	     	
    2708	 1635	R3 	2	1	28	7	 19.9	  0.2	  -0.2	    0.0	-16.23	 0.14	  29.2	   3.0	 10.0	  2.5	      	     	      	      	     	
    2709	 1635	R3 	2	1	29	1	 10.1	-33.6	  11.6	   12.6	-15.99	 0.08	  51.9	   2.0	 11.6	  1.6	      	     	      	      	     	
    2710	 1635	R3 	2	1	30	1	 19.9	-16.7	   7.8	    8.8	-15.93	 0.09	  47.9	   3.2	 16.4	  2.6	      	     	      	      	     	
    2711	 1635	R3 	2	1	31	1	  0.2	 -5.5	   6.6	    6.8	-15.24	 0.02	  28.5	   0.5	 16.8	  0.4	      	     	      	      	     	
    2712	 1635	R3 	2	1	33	1	 10.1	-16.7	  14.3	   15.1	-15.27	 0.02	  48.3	   0.7	 17.8	  0.6	      	     	      	      	     	
    2713	 1635	R3 	2	1	34	7	 15.0	-25.2	  -0.2	    0.0	-16.08	 0.10	  55.9	   3.2	 15.0	  2.6	      	     	      	      	     	
    2714	 1635	R3 	2	1	38	7	  0.2	 33.9	  -0.2	    0.0	-16.21	 0.17	 -36.2	   4.3	 11.7	  3.5	      	     	      	      	     	
    2715	 1635	R3 	2	1	40	1	 -4.7	 25.5	   4.5	    4.6	-15.78	 0.06	 -47.0	   1.9	 15.6	  1.6	      	     	      	      	     	
    2716	 1635	R3 	2	1	42	1	  0.2	 17.0	  22.6	   22.2	-15.04	 0.01	 -38.9	   0.4	 17.2	  0.3	      	     	      	      	     	
    2717	 1635	R3 	2	1	43	1	 -4.7	  3.0	   6.5	    6.1	-15.14	 0.01	 -29.8	   0.5	 16.9	  0.4	      	     	      	      	     	
    2718	 1635	R3 	2	1	44	1	  0.2	 11.4	   7.0	    7.2	-15.29	 0.02	 -30.4	   0.7	 17.4	  0.6	      	     	      	      	     	
    2719	 1635	R3 	2	1	45	1	 -9.7	  0.2	   4.0	    4.1	-15.63	 0.04	 -28.1	   1.2	 14.9	  1.0	      	     	      	      	     	
    2720	 1635	R3 	2	1	46	1	  5.1	 -2.7	   5.9	    5.3	-15.26	 0.02	  32.3	   0.7	 17.8	  0.6	      	     	      	      	     	
    2721	 1635	R3 	2	1	47	1	  0.2	  5.8	   5.5	    5.4	-15.19	 0.02	 -23.9	   0.8	 19.2	  0.6	      	     	      	      	     	
    2722	 1635	R3 	2	1	48	1	  0.2	-11.1	  12.2	   12.0	-15.19	 0.02	  33.3	   0.6	 17.8	  0.5	      	     	      	      	     	
    2723	 1635	R3 	2	1	49	1	 -4.7	-25.2	   5.8	    7.0	-15.88	 0.07	  37.2	   2.3	 16.0	  1.9	      	     	      	      	     	
    2724	 1635	R3 	2	1	51	1	 -4.7	 -8.3	   8.7	    8.4	-15.28	 0.02	  16.5	   0.7	 17.9	  0.6	      	     	      	      	     	
    2725	 1635	R3 	2	1	52	1	  0.2	  0.2	   1.6	    1.6	-15.33	 0.03	   4.9	   1.3	 21.1	  1.1	      	     	      	      	     	
    2726	 1635	R3 	2	1	56	1	 -9.7	 17.0	  18.1	   17.5	-15.15	 0.02	 -47.9	   0.6	 18.2	  0.5	      	     	      	      	     	
