#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/703/894/table4&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17030894
#Name: J/ApJ/703/894
#Title: PNe in 5 nearby galaxies (Herrmann+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/apj/703/894	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/703/894	    IVOID of underlying data collection
#INFO	creator=Herrmann K.A.	    First author or institution
#INFO	cites=bibcode:2009ApJ...703..894H	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/703/894	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17030894	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_703_894_table4:
#Name: J/ApJ/703/894/table4
#Title: Planetary nebula identifications
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(a10)	Source identification (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	m5007	(F5.2)	The [O III] (5007) emission line magnitude	[ucd=phot.mag;em.line.OIII]
#Column	l_R	(A1)	Limit flag on R	[ucd=meta.code.error]
#Column	R	(F5.2)	? I({lambda}5007)_0_/I(H{alpha}+[N II])_0_ ratio	[ucd=phot.flux;arith.ratio]
#Column	e_R	(F5.2)	? The 1{sigma} error in R	[ucd=stat.error]
#Column	n_R	(A4)	? Type of R value given (L, Phot, Spect)	[ucd=meta.note]
#Column	Ntrg	(I1)	? Number of Hydra+MRS setups where PN was targeted	[ucd=meta.number]
#Column	Ndet	(I1)	? Number of Hydra+MRS setups where PN was detected	[ucd=meta.number]
#Column	RV	(F6.1)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F4.1)	? The 1{sigma} error in RV	[ucd=stat.error]
#Column	Rem	(A3)	Remarks (2)	[ucd=meta.note]
#Column	File	(a26)	Name of the FITS file of the spectrum	[ucd=meta.id;meta.fits]
#Column	File2	(a26)	Name of the second FITS file of the spectrum	[ucd=meta.id;meta.file]
#Column	Sp	(A3)	VizieR added column, not part of original data	[ucd=meta.ref.url]
recno	ID	RAJ2000	DEJ2000	m5007	l_R	R	e_R	n_R	Ntrg	Ndet	RV	e_RV	Rem	File	File2	Sp
     129	IC 342-129	03 46 18.81	+68 03 36.2	26.64	>	 0.93	     	Phot	0	0	      	    	   	                          	                          	1 2
     130	IC 342-130	03 46 49.88	+68 03 53.4	26.64	>	 0.76	     	Phot	0	0	      	    	   	                          	                          	1 2
     131	IC 342-131	03 47 35.97	+68 04 47.0	26.65	 	 1.39	 0.38	Phot	0	0	      	    	   	                          	                          	1 2
     132	IC 342-132	03 46 30.89	+68 03 36.5	26.68	 	 0.84	 0.19	Phot	0	0	      	    	   	                          	                          	1 2
     133	IC 342-133	03 46 22.47	+68 07 57.4	26.69	>	 0.89	     	Phot	4	3	  -0.7	 6.2	   	IC342/PN_IC342_133.fits   	                          	1 2
     134	IC 342-134	03 46 13.14	+68 04 18.3	26.71	 	 0.88	 0.24	Phot	0	0	      	    	   	                          	                          	1 2
     135	IC 342-135	03 46 59.82	+68 06 00.6	26.71	>	 0.77	     	Phot	3	0	      	    	   	                          	                          	1 2
     136	IC 342-136	03 46 06.55	+68 07 24.3	26.74	 	 2.04	 0.98	Phot	0	0	      	    	   	                          	                          	1 2
     137	IC 342-137	03 47 12.63	+68 08 28.6	26.74	 	 0.62	 0.23	Phot	3	2	 153.8	 9.0	   	IC342/PN_IC342_137.fits   	                          	1 2
     138	IC 342-138	03 47 09.82	+68 08 30.4	26.74	 	 0.84	     	L   	0	0	      	    	   	                          	                          	1 2
     139	IC 342-139	03 47 36.01	+68 07 46.9	26.75	 	 1.65	     	Spec	8	2	  94.1	 8.2	   	IC342/PN_IC342_139.fits   	                          	1 2
     140	IC 342-140	03 46 39.78	+68 06 53.7	26.75	 	 0.99	 0.33	Phot	0	0	      	    	   	                          	                          	1 2
     141	IC 342-141	03 47 23.37	+68 10 06.4	26.76	 	 1.55	 0.85	Phot	3	0	      	    	   	                          	                          	1 2
     142	IC 342-142	03 46 57.17	+68 02 42.7	26.76	 	 0.94	 0.21	Phot	2	0	      	    	   	                          	                          	1 2
     143	IC 342-143	03 47 34.29	+68 05 22.6	26.80	 	 0.80	     	L   	4	0	      	    	   	                          	                          	1 2
     144	IC 342-144	03 47 13.31	+68 03 33.0	26.80	 	 0.80	     	L   	1	0	      	    	   	                          	                          	1 2
     145	IC 342-145	03 46 34.33	+68 03 22.7	26.84	 	 1.02	 0.36	Phot	0	0	      	    	   	                          	                          	1 2
     146	IC 342-146	03 46 41.41	+68 07 46.0	26.86	 	 0.70	 0.18	Phot	4	3	  -2.4	 8.2	   	IC342/PN_IC342_146.fits   	                          	1 2
     147	IC 342-147	03 46 44.62	+68 04 45.8	26.86	 	 1.03	     	Spec	2	0	      	    	   	                          	                          	1 2
     148	IC 342-148	03 46 42.18	+68 01 53.9	26.86	 	 1.71	 0.75	Phot	5	1	   1.3	16.4	U  	IC342/PN_IC342_148_U.fits 	                          	1 2
     149	IC 342-149	03 46 55.37	+68 07 20.7	26.89	 	 1.61	 0.84	Phot	0	0	      	    	   	                          	                          	1 2
     150	IC 342-150	03 46 24.27	+68 04 44.6	26.91	 	 1.56	 0.67	Phot	0	0	      	    	   	                          	                          	1 2
     151	IC 342-151	03 46 42.48	+68 08 55.0	26.92	 	 0.78	 0.26	Phot	0	0	      	    	   	                          	                          	1 2
     152	IC 342-152	03 46 21.46	+68 07 39.5	26.92	>	 0.72	     	Phot	1	0	      	    	   	                          	                          	1 2
     153	IC 342-153	03 46 15.50	+68 06 48.5	26.93	>	 0.72	     	Phot	0	0	      	    	   	                          	                          	1 2
     154	IC 342-154	03 47 36.22	+68 05 05.0	26.94	>	 0.70	     	Phot	1	0	      	    	   	                          	                          	1 2
     155	IC 342-155	03 47 31.75	+68 05 09.1	26.96	>	 0.69	     	Phot	0	0	      	    	   	                          	                          	1 2
     156	IC 342-156	03 47 00.16	+68 03 47.5	26.98	 	 1.11	 0.43	Phot	2	1	  78.7	15.0	   	IC342/PN_IC342_156.fits   	                          	1 2
     157	IC 342-157	03 47 10.77	+68 01 07.8	27.05	 	 1.12	 0.45	Phot	3	1	 -36.2	11.0	   	IC342/PN_IC342_157.fits   	                          	1 2
     158	IC 342-158	03 47 16.99	+68 04 58.6	27.14	>	 0.60	     	Phot	2	0	      	    	   	                          	                          	1 2
     159	IC 342-159	03 46 34.90	+68 06 39.0	27.16	>	 0.67	     	Phot	0	0	      	    	   	                          	                          	1 2
     160	IC 342-160	03 46 15.00	+68 06 46.4	27.16	>	 0.58	     	Phot	0	0	      	    	   	                          	                          	1 2
     161	IC 342-161	03 46 52.88	+68 04 54.1	27.18	 	 0.75	 0.32	Phot	1	0	      	    	   	                          	                          	1 2
     162	IC 342-162	03 46 58.90	+68 05 58.2	27.19	 	 0.65	     	L   	1	0	      	    	   	                          	                          	1 2
     163	IC 342-163	03 46 28.01	+68 06 43.2	27.34	 	 1.30	     	Spec	1	0	      	    	   	                          	                          	1 2
     164	IC 342-164	03 46 39.53	+68 02 38.3	27.60	 	 0.58	 0.29	Phot	0	0	      	    	   	                          	                          	1 2
     165	IC 342-165	03 47 04.81	+68 04 31.6	27.67	 	 0.68	 0.35	Phot	3	0	      	    	   	                          	                          	1 2
     166	M74-1     	01 36 39.95	+15 47 02.5	25.44	 	 3.09	     	Spec	4	4	 657.3	 4.2	   	M74/PN_M74_001.fits       	                          	1 2
     167	M74-2     	01 36 44.57	+15 47 56.6	25.57	>	 2.76	     	Phot	2	2	 619.1	 6.0	   	M74/PN_M74_002.fits       	                          	1 2
     168	M74-3     	01 36 55.25	+15 47 20.4	25.57	 	 6.23	 2.99	Phot	2	2	 678.0	 3.9	   	M74/PN_M74_003.fits       	                          	1 2
     169	M74-4     	01 36 27.82	+15 44 42.1	25.63	>	 2.62	     	Phot	4	4	 632.0	 4.2	H  	M74/PN_M74_004_H.fits     	                          	1 2
     170	M74-5     	01 36 32.70	+15 47 50.7	25.81	 	 1.98	 0.44	Phot	3	3	 683.0	 4.8	   	M74/PN_M74_005.fits       	                          	1 2
     171	M74-6     	01 36 46.90	+15 43 54.1	25.82	 	 1.93	 0.43	Phot	2	2	 647.4	 5.4	   	M74/PN_M74_006.fits       	                          	1 2
     172	M74-7     	01 36 49.21	+15 45 00.1	25.86	>	 2.15	     	Phot	1	1	 676.7	 5.5	   	M74/PN_M74_007.fits       	                          	1 2
     173	M74-8     	01 36 39.86	+15 45 08.0	25.87	 	 1.83	 0.48	Phot	1	1	 660.8	 5.9	H  	M74/PN_M74_008_H.fits     	                          	1 2
     174	M74-9     	01 36 44.40	+15 49 55.5	25.87	 	 3.95	     	Spec	2	2	 702.7	 4.9	   	M74/PN_M74_009.fits       	                          	1 2
     175	M74-10    	01 36 32.77	+15 46 16.7	25.89	>	 2.10	     	Phot	2	1	 676.3	11.8	   	M74/PN_M74_010.fits       	                          	1 2
     176	M74-11    	01 36 44.58	+15 46 54.0	25.89	>	 2.10	     	Phot	4	2	 574.3	 6.3	S  	M74/PN_M74_011_S0.fits    	M74/PN_M74_011_S1.fits    	1 2
     177	M74-12    	01 36 46.03	+15 50 48.9	25.90	 	 2.49	 0.75	Phot	1	1	 695.9	 5.9	   	M74/PN_M74_012.fits       	                          	1 2
     178	M74-13    	01 36 29.61	+15 45 59.2	25.90	 	 2.28	     	Spec	1	1	 645.7	 6.0	   	M74/PN_M74_013.fits       	                          	1 2
     179	M74-14    	01 36 43.33	+15 48 04.7	25.92	>	 2.05	     	Phot	0	0	      	    	   	                          	                          	1 2
     180	M74-15    	01 36 40.76	+15 45 01.9	25.93	 	 5.03	     	Spec	3	3	 636.3	 3.1	   	M74/PN_M74_015.fits       	                          	1 2
     181	M74-16    	01 36 48.91	+15 46 35.0	25.93	>	 2.03	     	Phot	2	2	 669.1	 4.1	   	M74/PN_M74_016.fits       	                          	1 2
     182	M74-17    	01 36 35.81	+15 46 19.7	25.93	 	 4.88	     	Spec	2	2	 633.9	 4.2	   	M74/PN_M74_017.fits       	                          	1 2
     183	M74-18    	01 36 41.56	+15 46 21.0	25.94	>	 2.02	     	Phot	1	1	 590.3	 4.9	P  	M74/PN_M74_018_P.fits     	                          	1 2
     184	M74-19    	01 36 45.94	+15 43 27.8	25.94	 	 4.86	     	Spec	1	1	 657.3	 4.1	   	M74/PN_M74_019.fits       	                          	1 2
     185	M74-20    	01 36 55.43	+15 46 34.4	25.95	>	 1.99	     	Phot	0	0	      	    	   	                          	                          	1 2
     186	M74-21    	01 36 28.87	+15 47 24.8	25.96	 	 3.04	     	Spec	2	2	 652.2	 3.7	   	M74/PN_M74_021.fits       	                          	1 2
     187	M74-22    	01 36 22.42	+15 43 15.4	25.97	 	 2.38	 0.71	Phot	4	3	 656.8	 4.8	   	M74/PN_M74_022.fits       	                          	1 2
     188	M74-23    	01 36 32.87	+15 46 08.8	25.99	>	 1.93	     	Phot	1	1	 678.6	 5.2	   	M74/PN_M74_023.fits       	                          	1 2
     189	M74-24    	01 36 49.50	+15 45 22.1	26.00	 	 3.16	 1.45	Phot	2	2	 644.2	 5.2	   	M74/PN_M74_024.fits       	                          	1 2
     190	M74-25    	01 36 44.31	+15 42 46.5	26.00	 	 4.98	     	Spec	2	2	 647.5	 3.5	   	M74/PN_M74_025.fits       	                          	1 2
     191	M74-26    	01 36 44.38	+15 45 16.0	26.04	 	 4.42	     	Spec	2	2	 641.3	 5.1	   	M74/PN_M74_026.fits       	                          	1 2
     192	M74-27    	01 36 37.64	+15 51 01.3	26.04	>	 1.07	     	Phot	7	2	 693.0	10.5	   	M74/PN_M74_027.fits       	                          	1 2
     193	M74-28    	01 36 51.84	+15 49 12.7	26.06	>	 1.82	     	Phot	3	3	 694.1	 3.8	   	M74/PN_M74_028.fits       	                          	1 2
     194	M74-29    	01 36 35.68	+15 44 41.8	26.07	 	 1.71	     	Spec	2	2	 623.1	 4.1	   	M74/PN_M74_029.fits       	                          	1 2
     195	M74-30    	01 36 41.75	+15 47 57.5	26.07	 	 5.47	     	Spec	3	1	 689.8	10.9	   	M74/PN_M74_030.fits       	                          	1 2
     196	M74-31    	01 36 33.84	+15 49 23.1	26.10	 	 1.75	 0.48	Phot	3	3	 666.1	 4.4	   	M74/PN_M74_031.fits       	                          	1 2
     197	M74-32    	01 36 40.32	+15 47 04.7	26.10	 	 1.47	     	Spec	1	1	 617.3	10.3	   	M74/PN_M74_032.fits       	                          	1 2
     198	M74-33    	01 36 43.34	+15 47 18.6	26.13	 	 9.35	     	Spec	1	1	 666.1	 5.6	   	M74/PN_M74_033.fits       	                          	1 2
     199	M74-34    	01 36 53.24	+15 44 55.2	26.13	 	 3.73	     	Spec	4	2	 630.6	 3.7	   	M74/PN_M74_034.fits       	                          	1 2
     200	M74-35    	01 36 39.91	+15 46 50.8	26.13	 	 2.24	     	Spec	1	1	 659.8	 6.5	   	M74/PN_M74_035.fits       	                          	1 2
     201	M74-36    	01 36 39.16	+15 46 32.9	26.13	 	 4.44	     	Spec	2	1	 688.2	 6.0	   	M74/PN_M74_036.fits       	                          	1 2
     202	M74-37    	01 36 30.76	+15 48 29.9	26.14	 	 1.44	 0.31	Phot	3	3	 669.8	 7.3	   	M74/PN_M74_037.fits       	                          	1 2
     203	M74-38    	01 36 29.55	+15 49 20.3	26.16	>	 1.68	     	Phot	1	1	 658.0	 5.3	   	M74/PN_M74_038.fits       	                          	1 2
     204	M74-39    	01 36 42.61	+15 46 42.0	26.16	>	 1.67	     	Phot	2	2	 634.7	 6.0	   	M74/PN_M74_039.fits       	                          	1 2
     205	M74-40    	01 36 32.32	+15 43 58.5	26.17	 	 1.51	 0.36	Phot	4	4	 628.8	 5.6	   	M74/PN_M74_040.fits       	                          	1 2
     206	M74-41    	01 36 38.89	+15 45 50.1	26.18	>	 1.65	     	Phot	2	2	 646.9	 4.7	   	M74/PN_M74_041.fits       	                          	1 2
     207	M74-42    	01 36 28.01	+15 46 11.3	26.19	 	 1.89	 0.57	Phot	1	1	 658.7	 7.6	   	M74/PN_M74_042.fits       	                          	1 2
     208	M74-43    	01 36 59.52	+15 46 43.8	26.20	 	 1.88	     	Spec	2	1	 635.7	14.5	   	M74/PN_M74_043.fits       	                          	1 2
     209	M74-44    	01 36 30.85	+15 45 24.4	26.20	>	 1.61	     	Phot	0	0	      	    	   	                          	                          	1 2
     210	M74-45    	01 36 29.25	+15 47 37.1	26.25	 	 1.89	     	Spec	2	2	 674.9	 5.4	   	M74/PN_M74_045.fits       	                          	1 2
     211	M74-46    	01 36 49.46	+15 46 47.1	26.26	>	 1.54	     	Phot	2	2	 626.0	 7.1	   	M74/PN_M74_046.fits       	                          	1 2
     212	M74-47    	01 36 49.06	+15 47 19.6	26.28	>	 1.51	     	Phot	1	1	 679.4	 5.0	H  	M74/PN_M74_047_H.fits     	                          	1 2
     213	M74-48    	01 36 47.32	+15 42 34.2	26.28	 	 2.94	     	Spec	3	3	 636.1	 5.6	   	M74/PN_M74_048.fits       	                          	1 2
     214	M74-49    	01 36 38.79	+15 48 11.2	26.28	 	 2.24	     	Spec	3	2	 673.0	10.2	X  	M74/PN_M74_049_X.fits     	                          	1 2
     215	M74-50    	01 36 45.38	+15 48 43.6	26.29	>	 1.50	     	Phot	3	1	 712.6	 8.6	S  	M74/PN_M74_050_S0.fits    	M74/PN_M74_050_S1.fits    	1 2
     216	M74-51    	01 36 43.17	+15 46 38.4	26.29	>	 1.50	     	Phot	1	1	 733.4	14.7	   	M74/PN_M74_051.fits       	                          	1 2
     217	M74-52    	01 36 38.28	+15 47 36.2	26.31	 	 0.93	     	Spec	3	3	 628.7	 9.4	   	M74/PN_M74_052.fits       	                          	1 2
     218	M74-53    	01 36 48.60	+15 48 29.0	26.32	 	 1.15	     	Spec	4	2	 644.3	10.6	   	M74/PN_M74_053.fits       	                          	1 2
     219	M74-54    	01 36 51.76	+15 48 43.1	26.33	 	 1.89	 0.59	Phot	4	2	 695.2	10.3	   	M74/PN_M74_054.fits       	                          	1 2
     220	M74-55    	01 36 45.17	+15 48 36.3	26.35	>	 1.43	     	Phot	3	3	 703.4	 9.7	S  	M74/PN_M74_055_S0.fits    	M74/PN_M74_055_S1.fits    	1 2
     221	M74-56    	01 36 45.86	+15 46 22.2	26.36	>	 1.41	     	Phot	2	2	 692.9	13.6	S  	M74/PN_M74_056_S0.fits    	M74/PN_M74_056_S1.fits    	1 2
     222	M74-57    	01 36 43.31	+15 45 12.7	26.37	 	 1.11	     	Spec	2	1	 604.2	 6.0	   	M74/PN_M74_057.fits       	                          	1 2
     223	M74-58    	01 37 02.30	+15 49 24.0	26.37	>	 0.65	     	Phot	4	4	 667.0	 7.6	   	M74/PN_M74_058.fits       	                          	1 2
     224	M74-59    	01 36 44.09	+15 47 20.6	26.38	 	 1.31	     	Spec	1	1	 672.9	11.5	   	M74/PN_M74_059.fits       	                          	1 2
     225	M74-60    	01 36 39.05	+15 46 36.8	26.38	 	 2.04	     	Spec	1	1	 654.7	 9.8	   	M74/PN_M74_060.fits       	                          	1 2
     226	M74-61    	01 36 40.28	+15 45 12.0	26.39	 	 2.68	     	Spec	1	1	 681.1	11.0	   	M74/PN_M74_061.fits       	                          	1 2
     227	M74-62    	01 36 31.34	+15 48 55.4	26.40	 	 2.18	 0.86	Phot	5	0	      	    	   	                          	                          	1 2
     228	M74-63    	01 36 53.49	+15 46 08.5	26.42	>	 1.35	     	Phot	3	3	 701.6	 6.0	   	M74/PN_M74_063.fits       	                          	1 2
     229	M74-64    	01 36 35.04	+15 47 03.2	26.42	 	 2.70	     	Spec	3	3	 669.7	 8.2	   	M74/PN_M74_064.fits       	                          	1 2
     230	M74-65    	01 36 45.29	+15 47 34.7	26.43	>	 1.34	     	Phot	2	1	 766.7	 7.6	S  	M74/PN_M74_065_S0.fits    	M74/PN_M74_065_S1.fits    	1 2
     231	M74-66    	01 36 30.00	+15 49 04.2	26.43	>	 1.44	     	Phot	2	2	 653.7	 4.9	   	M74/PN_M74_066.fits       	                          	1 2
     232	M74-67    	01 36 45.93	+15 46 04.7	26.44	>	 1.32	     	Phot	4	2	 656.0	 5.8	   	M74/PN_M74_067.fits       	                          	1 2
     233	M74-68    	01 36 33.39	+15 47 13.6	26.44	 	 1.99	 0.84	Phot	5	1	 549.1	 9.1	S  	M74/PN_M74_068_S0.fits    	M74/PN_M74_068_S1.fits    	1 2
     234	M74-69    	01 36 40.54	+15 49 11.0	26.45	 	 3.42	     	Spec	2	1	 668.4	 5.1	   	M74/PN_M74_069.fits       	                          	1 2
     235	M74-70    	01 36 27.37	+15 45 43.6	26.47	 	 3.45	     	Spec	2	2	 649.5	 8.1	   	M74/PN_M74_070.fits       	                          	1 2
     236	M74-71    	01 36 37.97	+15 46 57.6	26.47	>	 1.29	     	Phot	0	0	      	    	   	                          	                          	1 2
     237	M74-72    	01 36 43.12	+15 47 40.5	26.47	>	 1.28	     	Phot	0	0	      	    	   	                          	                          	1 2
     238	M74-73    	01 36 23.26	+15 48 48.6	26.48	 	 2.45	 1.09	Phot	5	0	      	    	   	                          	                          	1 2
     239	M74-74    	01 37 00.32	+15 45 27.2	26.48	>	 1.18	     	Phot	5	2	 655.3	10.1	   	M74/PN_M74_074.fits       	                          	1 2
     240	M74-75    	01 36 48.65	+15 46 35.7	26.50	>	 1.25	     	Phot	1	0	      	    	   	                          	                          	1 2
     241	M74-76    	01 36 29.43	+15 48 39.0	26.52	 	 1.96	     	Spec	2	2	 643.7	 5.7	   	M74/PN_M74_076.fits       	                          	1 2
     242	M74-77    	01 36 48.36	+15 46 09.4	26.52	>	 1.24	     	Phot	2	1	 648.1	 7.0	H  	M74/PN_M74_077_H.fits     	                          	1 2
     243	M74-78    	01 36 30.96	+15 45 27.7	26.54	>	 1.22	     	Phot	0	0	      	    	   	                          	                          	1 2
     244	M74-79    	01 36 37.66	+15 45 24.5	26.54	 	 1.81	     	Spec	4	4	 614.8	 7.5	   	M74/PN_M74_079.fits       	                          	1 2
     245	M74-80    	01 36 38.72	+15 48 10.5	26.54	 	 1.52	 0.61	Phot	0	0	      	    	   	                          	                          	1 2
     246	M74-81    	01 36 47.24	+15 47 40.1	26.54	 	 2.40	     	Spec	1	1	 634.6	 4.8	   	M74/PN_M74_081.fits       	                          	1 2
     247	M74-82    	01 36 34.76	+15 48 22.1	26.55	>	 1.21	     	Phot	1	0	      	    	   	                          	                          	1 2
     248	M74-83    	01 36 40.47	+15 47 16.6	26.55	>	 1.21	     	Phot	0	0	      	    	   	                          	                          	1 2
     249	M74-84    	01 36 39.76	+15 49 08.4	26.55	>	 1.21	     	Phot	1	1	 679.0	 8.3	H  	M74/PN_M74_084_H.fits     	                          	1 2
     250	M74-85    	01 36 49.72	+15 49 38.1	26.55	>	 1.20	     	Phot	5	4	 669.8	 8.8	H  	M74/PN_M74_085_H.fits     	                          	1 2
     251	M74-86    	01 36 45.26	+15 46 19.1	26.56	 	 2.96	     	Spec	1	1	 697.4	10.2	   	M74/PN_M74_086.fits       	                          	1 2
     252	M74-87    	01 36 26.78	+15 45 01.2	26.56	 	 1.68	 0.73	Phot	4	2	 677.7	10.5	   	M74/PN_M74_087.fits       	                          	1 2
     253	M74-88    	01 37 00.23	+15 46 46.2	26.57	 	 1.99	     	Spec	4	2	 627.6	 8.5	   	M74/PN_M74_088.fits       	                          	1 2
     254	M74-89    	01 36 35.01	+15 44 09.4	26.59	 	 2.05	     	Spec	6	4	 643.5	 8.9	   	M74/PN_M74_089.fits       	                          	1 2
     255	M74-90    	01 36 37.85	+15 48 44.7	26.60	 	 1.20	     	Spec	5	3	 698.5	 7.1	   	M74/PN_M74_090.fits       	                          	1 2
     256	M74-91    	01 36 37.78	+15 46 45.1	26.61	>	 1.15	     	Phot	0	0	      	    	   	                          	                          	1 2
     257	M74-92    	01 36 50.32	+15 46 51.8	26.62	>	 1.13	     	Phot	0	0	      	    	   	                          	                          	1 2
     258	M74-93    	01 36 30.98	+15 49 53.7	26.63	 	 1.64	 0.64	Phot	3	2	 658.4	 4.9	   	M74/PN_M74_093.fits       	                          	1 2
     259	M74-94    	01 36 49.55	+15 43 30.9	26.63	 	 1.17	     	Spec	3	2	 622.0	 6.2	   	M74/PN_M74_094.fits       	                          	1 2
     260	M74-95    	01 36 35.35	+15 49 11.1	26.63	>	 1.12	     	Phot	1	0	      	    	   	                          	                          	1 2
     261	M74-96    	01 36 51.19	+15 46 54.0	26.63	 	 2.70	     	Spec	3	1	 597.4	13.5	   	M74/PN_M74_096.fits       	                          	1 2
     262	M74-97    	01 36 31.13	+15 45 56.3	26.64	 	 1.20	 0.34	Phot	3	3	 642.8	 9.0	   	M74/PN_M74_097.fits       	                          	1 2
     263	M74-98    	01 36 46.99	+15 46 58.0	26.64	 	 1.01	     	Spec	1	1	 619.7	 7.4	   	M74/PN_M74_098.fits       	                          	1 2
     264	M74-99    	01 36 33.33	+15 46 44.5	26.65	>	 1.10	     	Phot	1	1	 656.1	12.8	   	M74/PN_M74_099.fits       	                          	1 2
     265	M74-100   	01 36 47.32	+15 49 48.5	26.66	 	 1.39	 0.47	Phot	5	2	 666.9	 8.7	   	M74/PN_M74_100.fits       	                          	1 2
     266	M74-101   	01 36 55.76	+15 43 52.7	26.69	 	 1.87	     	Spec	6	4	 646.8	10.5	   	M74/PN_M74_101.fits       	                          	1 2
     267	M74-102   	01 36 38.45	+15 46 53.5	26.69	>	 1.07	     	Phot	0	0	      	    	   	                          	                          	1 2
     268	M74-103   	01 36 44.10	+15 46 40.1	26.72	>	 1.05	     	Phot	0	0	      	    	   	                          	                          	1 2
     269	M74-104   	01 36 43.80	+15 46 59.2	26.72	>	 1.04	     	Phot	2	1	 618.1	14.4	   	M74/PN_M74_104.fits       	                          	1 2
     270	M74-105   	01 36 51.57	+15 45 16.9	26.72	>	 1.04	     	Phot	0	0	      	    	   	                          	                          	1 2
     271	M74-106   	01 36 56.14	+15 43 58.7	26.74	 	 2.16	     	Spec	4	1	 642.1	15.5	U  	M74/PN_M74_106_U.fits     	                          	1 2
     272	M74-107   	01 36 49.49	+15 46 51.3	26.74	>	 1.03	     	Phot	2	1	 699.0	11.9	   	M74/PN_M74_107.fits       	                          	1 2
     273	M74-108   	01 36 55.29	+15 44 58.2	26.75	 	 0.78	     	Spec	4	2	 638.2	 9.5	   	M74/PN_M74_108.fits       	                          	1 2
     274	M74-109   	01 36 30.82	+15 45 26.7	26.76	>	 1.01	     	Phot	0	0	      	    	   	                          	                          	1 2
     275	M74-110   	01 36 35.14	+15 46 22.4	26.79	>	 0.98	     	Phot	0	0	      	    	   	                          	                          	1 2
     276	M74-111   	01 36 53.79	+15 48 38.7	26.81	 	 1.27	 0.47	Phot	1	1	 673.4	 8.1	   	M74/PN_M74_111.fits       	                          	1 2
     277	M74-112   	01 36 24.58	+15 47 57.9	26.81	 	 1.26	 0.42	Phot	0	0	      	    	   	                          	                          	1 2
     278	M74-113   	01 36 48.90	+15 49 12.5	26.84	 	 1.27	     	Spec	3	3	 684.1	 8.8	   	M74/PN_M74_113.fits       	                          	1 2
     279	M74-114   	01 36 37.62	+15 43 51.6	26.84	>	 0.94	     	Phot	4	4	 653.3	 5.8	   	M74/PN_M74_114.fits       	                          	1 2
     280	M74-115   	01 36 44.43	+15 45 50.7	26.84	 	 2.22	     	Spec	4	2	 685.9	 9.9	   	M74/PN_M74_115.fits       	                          	1 2
     281	M74-116   	01 36 38.19	+15 50 56.9	26.85	>	 0.44	     	Phot	2	1	 677.8	 9.8	   	M74/PN_M74_116.fits       	                          	1 2
     282	M74-117   	01 36 32.31	+15 47 20.4	26.85	>	 0.93	     	Phot	0	0	      	    	   	                          	                          	1 2
     283	M74-118   	01 36 38.88	+15 46 23.0	26.87	>	 0.92	     	Phot	1	1	 624.4	 9.3	   	M74/PN_M74_118.fits       	                          	1 2
     284	M74-119   	01 36 35.02	+15 47 24.7	26.87	>	 0.92	     	Phot	0	0	      	    	   	                          	                          	1 2
     285	M74-120   	01 36 38.24	+15 47 48.9	26.87	>	 0.92	     	Phot	3	1	 649.0	13.8	X  	M74/PN_M74_120_X.fits     	                          	1 2
     286	M74-121   	01 36 51.13	+15 46 38.0	26.88	>	 0.91	     	Phot	1	0	      	    	   	                          	                          	1 2
     287	M74-122   	01 36 50.09	+15 42 20.2	26.88	 	 1.67	     	Spec	8	2	 651.7	 7.0	   	M74/PN_M74_122.fits       	                          	1 2
     288	M74-123   	01 36 31.77	+15 43 49.4	26.89	 	 1.43	 0.62	Phot	6	3	 631.7	 7.0	   	M74/PN_M74_123.fits       	                          	1 2
     289	M74-124   	01 36 42.82	+15 43 45.2	26.90	>	 0.90	     	Phot	7	0	      	    	   	                          	                          	1 2
