#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:49 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/501/2279&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75012279
#Name: J/MNRAS/501/2279
#Title: Stars in the Sagittarius stream (Vasiliev+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/mnras/501/2279	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/501/2279	    IVOID of underlying data collection
#INFO	creator=Vasiliev E.	    First author or institution
#INFO	cites=bibcode:2021MNRAS.501.2279V	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/501/2279	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75012279	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-06-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_501_2279_catalog:
#Name: J/MNRAS/501/2279/catalog
#Title: Catalogue of stars in the Sagittarius stream
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RAJ2000	(F8.4)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	plx	(F6.3)	Gaia DR2 parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	Error on plx	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F6.3)	Proper motion in right ascension	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	Error on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.3)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	Error on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Gmag	(F5.2)	Gaia DR2 G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BPmag	(F5.2)	Gaia DR2 BP-band magnitude	[ucd=phot.mag;em.opt.B]
#Column	Jmag	(F5.2)	2MASS J-band magnitude	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F5.2)	2MASS H-band magnitude	[ucd=phot.mag;em.IR.H]
#Column	Kmag	(F5.2)	2MASS K-band magnitude	[ucd=phot.mag;em.IR.K]
#Column	E(B-V)	(F5.2)	Reddening from Schlegel, Finkbeiner & Davis (1998ApJ...500..525S)	[ucd=phot.color.excess]
#Column	Dist	(F5.2)	Estimate of the distance from nearby RR Lyrae stars	[ucd=pos.distance]
#Column	e_Dist	(F5.2)	Error on Dist	[ucd=stat.error]
#Column	vLOS	(F7.2)	? Heliocentric line-of-sight velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_vLOS	(F5.2)	? Error on vLOS	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Fe/H abundance ratio	[ucd=phys.abund.Fe;arith.ratio]
#Column	e_[Fe/H]	(F5.2)	? Error on [Fe/H]	[ucd=stat.error;phys.abund.Fe]
#Column	Ref	(I1)	? Reference for the spectroscopic data (1)	[ucd=meta.ref;pos.frame]
#Column	Lambda	(F8.3)	{Lambda} coordinate in the Sgr stream frame (2)	[ucd=pos.frame]
#Column	Beta	(F7.3)	{Beta} coordinate in the Sgr stream frame (2)	[ucd=pos.frame]
#Column	SimbadName	(A28)	Simbad column added by the CDS	[ucd=meta.id]
recno	RAJ2000	DEJ2000	plx	e_plx	pmRA	e_pmRA	pmDE	e_pmDE	Gmag	BPmag	Jmag	Hmag	Kmag	E(B-V)	Dist	e_Dist	vLOS	e_vLOS	[Fe/H]	e_[Fe/H]	Ref	Lambda	Beta	SimbadName
   18269	280.8608	-30.1250	 0.040	 0.077	-2.615	 0.107	-1.253	 0.087	15.90	 1.87	13.60	12.79	12.58	 0.15	26.91	 2.26	       	     	     	     	0	   2.512	  1.609	Gaia DR2 4047230082012071680
   18270	280.8613	-30.2288	 0.040	 0.042	-3.029	 0.073	-1.368	 0.064	15.03	 2.01	12.59	11.73	11.53	 0.14	26.91	 2.36	       	     	     	     	0	   2.491	  1.711	Gaia DR2 4047224756251835264
   18271	280.8620	-29.7012	 0.017	 0.043	-2.726	 0.072	-1.124	 0.065	15.47	 1.98	13.04	12.21	11.95	 0.14	28.59	 2.72	 146.04	 0.96	     	     	6	   2.594	  1.193	Gaia DR2 4047258115221220608
   18272	280.8622	-29.8176	-0.072	 0.100	-2.481	 0.161	-1.251	 0.142	17.02	 1.50	15.07	14.46	14.39	 0.13	28.80	 2.41	       	     	     	     	0	   2.571	  1.307	Gaia DR2 4047254889743372032
   18273	280.8623	-30.1744	-0.001	 0.069	-2.473	 0.106	-1.279	 0.088	15.71	 1.85	13.40	12.59	12.38	 0.14	26.91	 2.26	 152.00	     	     	     	4	   2.501	  1.657	Gaia DR2 4047228290967404288
   18274	280.8633	-30.9796	 0.027	 0.055	-2.865	 0.086	-1.430	 0.077	15.98	 1.80	13.72	12.91	12.78	 0.15	27.47	 2.46	       	     	     	     	0	   2.342	  2.446	Gaia DR2 6737315812004838144
   18275	280.8634	-28.5160	 0.089	 0.073	-2.763	 0.123	-1.325	 0.115	16.19	 1.54	14.15	13.48	13.40	 0.16	28.20	 2.32	       	     	     	     	0	   2.826	  0.031	Gaia DR2 4071598730022586112
   18276	280.8647	-32.4927	-0.012	 0.083	-2.429	 0.132	-1.421	 0.119	16.58	 1.51	14.75	14.02	13.95	 0.11	27.76	 1.77	       	     	     	     	0	   2.043	  3.930	Gaia DR2 6736470047036976512
   18277	280.8648	-29.1115	 0.018	 0.047	-2.837	 0.088	-1.481	 0.076	15.14	 1.75	13.03	12.27	12.10	 0.22	26.79	 1.32	       	     	     	     	0	   2.708	  0.614	Gaia DR2 4071356218983058048
   18278	280.8652	-30.5877	-0.333	 0.220	-2.865	 0.514	-0.763	 0.431	18.18	 1.23	16.61	15.66	15.51	 0.15	27.01	 1.54	       	     	     	     	0	   2.417	  2.062	Gaia DR2 6737342608277326848
   18279	280.8652	-29.9986	-0.020	 0.103	-2.656	 0.149	-1.378	 0.132	16.66	 1.69	14.53	13.81	13.65	 0.15	26.91	 2.26	       	     	     	     	0	   2.533	  1.484	Gaia DR2 4047243688467774592
   18280	280.8654	-28.8390	-0.060	 0.059	-2.660	 0.107	-1.605	 0.094	16.22	 1.79	13.98	13.13	13.00	 0.15	30.60	 1.88	       	     	     	     	0	   2.761	  0.347	Gaia DR2 4071572715360223232
   18281	280.8658	-30.1483	 0.017	 0.102	-2.532	 0.151	-1.111	 0.123	16.64	 1.56	14.62	13.92	13.78	 0.15	26.91	 2.26	       	     	     	     	0	   2.503	  1.631	Gaia DR2 4047228531485615104
   18282	280.8659	-30.2492	 0.072	 0.179	-2.614	 0.274	-1.425	 0.249	17.81	 1.29	16.15	15.52	15.44	 0.14	26.91	 2.36	       	     	     	     	0	   2.483	  1.730	Gaia DR2 4047224442678153984
   18283	280.8660	-32.5449	-0.219	 0.125	-2.326	 0.189	-1.147	 0.166	17.28	 1.33	15.49	14.91	14.83	 0.11	27.76	 1.09	       	     	     	     	0	   2.031	  3.981	Gaia DR2 6736469188043485696
   18284	280.8660	-30.0300	-0.017	 0.186	-2.648	 0.261	-1.215	 0.231	17.71	 1.47	15.85	15.22	15.06	 0.15	26.91	 2.26	       	     	     	     	0	   2.526	  1.515	Gaia DR2 4047243512331770240
   18285	280.8675	-27.5300	-0.007	 0.055	-2.768	 0.093	-1.370	 0.085	15.00	 2.78	11.99	10.72	 9.94	 0.24	26.98	 1.43	       	     	     	     	0	   3.016	 -0.937	Gaia DR2 4072557190588371328
   18286	280.8686	-30.4644	-0.021	 0.068	-2.746	 0.176	-1.138	 0.137	16.27	 1.46	14.41	13.73	13.63	 0.15	25.97	 1.07	       	     	     	     	0	   2.439	  1.940	Gaia DR2 6737348037108204800
   18287	280.8687	-29.4208	-0.017	 0.078	-2.723	 0.126	-1.343	 0.116	16.51	 1.52	14.58	13.79	13.62	 0.14	26.46	 0.82	       	     	     	     	0	   2.644	  0.917	Gaia DR2 4071332167165710208
   18288	280.8696	-30.3783	 0.026	 0.085	-2.661	 0.154	-1.678	 0.134	16.82	 1.39	15.02	14.38	14.29	 0.14	28.50	 3.68	       	     	     	     	0	   2.455	  1.856	Gaia DR2 6737349686375713792
   18289	280.8697	-29.1068	 0.021	 0.128	-2.845	 0.261	-1.429	 0.253	17.05	 1.56	15.18	14.49	14.25	 0.22	26.79	 1.32	       	     	     	     	0	   2.705	  0.609	Gaia DR2 4071357692116865664
   18290	280.8710	-28.7514	-0.064	 0.074	-2.623	 0.124	-1.379	 0.099	16.35	 1.51	14.47	13.72	13.65	 0.15	30.60	 1.88	       	     	     	     	0	   2.773	  0.260	Gaia DR2 4071577701862085504
   18291	280.8719	-28.5403	-0.032	 0.093	-2.076	 0.148	-0.810	 0.147	16.46	 1.55	14.53	13.78	13.66	 0.16	28.20	 2.32	       	     	     	     	0	   2.814	  0.053	Gaia DR2 4071598455144652288
   18292	280.8730	-32.8675	-0.096	 0.143	-2.849	 0.187	-1.642	 0.165	17.15	 1.25	15.60	15.02	14.94	 0.10	27.47	 0.66	       	     	     	     	0	   1.962	  4.296	Gaia DR2 6736443207759591808
   18293	280.8738	-30.2078	 0.030	 0.046	-2.944	 0.077	-1.265	 0.069	15.14	 2.21	12.47	11.57	11.38	 0.14	26.91	 2.36	       	     	     	     	0	   2.485	  1.688	Gaia DR2 4047225168568485504
   18294	280.8746	-28.4694	-0.015	 0.058	-2.535	 0.099	-1.398	 0.091	15.66	 1.80	13.39	12.64	12.41	 0.17	26.63	 2.11	       	     	     	     	0	   2.826	 -0.017	Gaia DR2 4071602200356195072
   18295	280.8762	-27.4483	-0.018	 0.053	-2.633	 0.087	-1.317	 0.081	14.76	 2.02	12.29	11.39	11.16	 0.24	27.85	 1.29	       	     	     	     	0	   3.025	 -1.018	Gaia DR2 4072561004552248576
   18296	280.8762	-28.8602	 0.005	 0.043	-2.665	 0.080	-1.505	 0.068	15.44	 1.61	13.35	12.67	12.49	 0.15	30.60	 1.88	       	     	     	     	0	   2.747	  0.366	Gaia DR2 4071572646640700800
   18297	280.8772	-31.2105	-0.079	 0.043	-2.691	 0.073	-1.372	 0.065	14.79	 2.18	12.17	11.30	11.05	 0.18	25.48	 1.51	       	     	     	     	0	   2.285	  2.670	Gaia DR2 6737170328541784064
   18298	280.8776	-28.7770	 0.042	 0.068	-2.764	 0.112	-1.398	 0.090	16.19	 1.73	13.95	13.16	12.92	 0.15	30.60	 1.88	       	     	     	     	0	   2.763	  0.284	Gaia DR2 4071577594445539456
   18299	280.8784	-30.2148	-0.257	 0.088	-2.748	 0.249	-1.648	 0.275	16.66	 1.45	14.81	14.17	14.03	 0.14	26.91	 2.36	       	     	     	     	0	   2.480	  1.694	Gaia DR2 4047225095511671936
   18300	280.8788	-30.2835	-0.060	 0.109	-2.817	 0.164	-1.244	 0.146	16.79	 1.47	15.06	14.32	14.03	 0.13	28.50	 3.44	       	     	     	     	0	   2.466	  1.761	Gaia DR2 4047223519301016576
   18301	280.8793	-30.5554	-0.027	 0.076	-3.126	 0.228	-0.946	 0.171	16.42	 1.63	14.43	13.65	13.45	 0.15	27.01	 1.54	       	     	     	     	0	   2.412	  2.028	Gaia DR2 6737343093637639808
   18302	280.8798	-29.5445	-0.026	 0.037	-2.480	 0.066	-1.163	 0.058	14.77	 2.18	12.18	11.35	11.06	 0.15	26.46	 0.82	       	     	     	     	0	   2.610	  1.036	Gaia DR2 4071326360369720832
   18303	280.8799	-33.3758	-0.073	 0.071	-3.106	 0.140	-1.459	 0.120	15.98	 1.42	14.19	13.53	13.38	 0.09	26.48	 1.93	       	     	     	     	0	   1.856	  4.793	Gaia DR2 6735654170726486016
   18304	280.8801	-30.6212	 0.011	 0.076	-2.922	 0.148	-1.355	 0.122	16.35	 1.55	14.35	13.64	13.51	 0.15	27.01	 1.54	       	     	     	     	0	   2.398	  2.092	Gaia DR2 6737342303363564160
   18305	280.8805	-30.1296	-0.058	 0.091	-2.650	 0.134	-1.373	 0.115	16.41	 1.61	14.44	13.69	13.54	 0.15	27.31	 1.50	       	     	     	     	0	   2.495	  1.610	Gaia DR2 4047230047651581056
   18306	280.8808	-30.4750	 0.009	 0.164	-2.421	 0.273	-1.221	 0.233	17.70	 1.43	15.92	15.12	14.74	 0.15	25.97	 1.07	       	     	     	     	0	   2.426	  1.949	Gaia DR2 6737347972720600192
   18307	280.8824	-29.8124	 0.030	 0.184	-2.633	 0.273	-1.248	 0.242	17.79	 1.27	16.23	15.48	15.37	 0.13	28.59	 2.72	       	     	     	     	0	   2.555	  1.299	Gaia DR2 4047254717913618560
   18308	280.8832	-32.8682	 0.016	 0.088	-2.724	 0.115	-1.197	 0.100	16.34	 1.57	14.39	13.66	13.49	 0.10	27.47	 0.66	       	     	     	     	0	   1.953	  4.295	Gaia DR2 6736443379557700992
   18309	280.8832	-31.7830	-0.069	 0.044	-2.890	 0.083	-1.424	 0.068	14.97	 2.06	12.45	11.62	11.41	 0.16	27.10	 2.59	       	     	     	     	0	   2.167	  3.231	Gaia DR2 6736927405196703488
   18310	280.8843	-28.4707	-0.169	 0.089	-2.332	 0.160	-1.388	 0.146	16.69	 1.50	14.84	14.19	14.03	 0.17	26.63	 2.11	       	     	     	     	0	   2.817	 -0.017	Gaia DR2 4071602200356184192
   18311	280.8847	-29.0857	 0.049	 0.061	-2.670	 0.115	-1.345	 0.101	15.64	 1.93	13.22	12.38	12.12	 0.22	26.79	 1.32	 126.35	 1.12	     	     	6	   2.696	  0.586	Gaia DR2 4071357898281679232
   18312	280.8849	-31.2578	 0.032	 0.065	-2.655	 0.109	-1.275	 0.099	15.87	 1.89	13.48	12.68	12.48	 0.18	27.49	 1.33	       	     	     	     	0	   2.269	  2.715	Gaia DR2 6737167098726324736
   18313	280.8855	-30.3678	 0.076	 0.157	-3.112	 0.273	-1.203	 0.242	17.95	 1.34	16.09	15.30	15.15	 0.14	28.50	 3.68	       	     	     	     	0	   2.444	  1.843	Gaia DR2 6737349793770096000
   18314	280.8855	-30.5461	 0.050	 0.068	-2.891	 0.125	-1.344	 0.104	16.04	 1.50	14.11	13.44	13.28	 0.15	27.01	 1.54	       	     	     	     	0	   2.408	  2.018	Gaia DR2 6737343192385035008
   18315	280.8862	-30.9049	 0.080	 0.077	-2.515	 0.123	-1.570	 0.114	16.33	 1.73	14.12	13.36	13.18	 0.15	27.47	 0.45	       	     	     	     	0	   2.337	  2.369	Gaia DR2 6737316636638622720
   18316	280.8863	-29.0912	-0.138	 0.126	-2.512	 0.215	-1.374	 0.184	17.26	 1.44	15.50	14.80	14.57	 0.22	26.79	 1.32	       	     	     	     	0	   2.693	  0.591	Gaia DR2 4071357726474771840
   18317	280.8864	-28.7942	-0.146	 0.234	-2.454	 0.347	-0.794	 0.297	18.06	 1.31	16.47	15.71	15.63	 0.15	30.60	 1.88	       	     	     	     	0	   2.752	  0.300	Gaia DR2 4071575846398748160
   18318	280.8870	-28.4446	 0.039	 0.195	-2.599	 0.398	-1.453	 0.396	18.08	 1.41	16.26	15.62	15.44	 0.17	26.63	 2.11	       	     	     	     	0	   2.820	 -0.043	Gaia DR2 4071603776570081920
   18319	280.8871	-32.8816	 0.029	 0.078	-2.674	 0.108	-1.333	 0.099	16.02	 1.58	14.03	13.32	13.16	 0.10	27.47	 0.66	       	     	     	     	0	   1.947	  4.307	Gaia DR2 6736442937202652672
   18320	280.8877	-29.6566	 0.024	 0.074	-2.873	 0.121	-1.454	 0.110	16.68	 1.58	14.66	13.92	13.83	 0.14	28.59	 2.72	       	     	     	     	0	   2.581	  1.145	Gaia DR2 4047305226763342080
   18321	280.8881	-29.9121	-0.001	 0.076	-3.026	 0.127	-1.593	 0.110	16.42	 1.59	14.43	13.73	13.48	 0.14	28.59	 2.72	       	     	     	     	0	   2.531	  1.395	Gaia DR2 4047250796596570880
   18322	280.8883	-30.0443	-0.030	 0.078	-2.478	 0.107	-1.640	 0.091	16.03	 1.71	13.89	13.08	12.94	 0.15	26.91	 0.62	       	     	     	     	0	   2.505	  1.525	Gaia DR2 4047231696919056256
   18323	280.8886	-30.1399	 0.038	 0.173	-2.300	 0.255	-1.367	 0.221	17.41	 1.29	15.81	15.07	14.97	 0.15	27.31	 1.50	       	     	     	     	0	   2.486	  1.619	Gaia DR2 4047229837155690368
   18324	280.8892	-29.5583	 0.062	 0.163	-2.829	 0.284	-0.966	 0.258	18.10	 1.37	16.32	15.61	15.46	 0.15	26.46	 0.82	       	     	     	     	0	   2.599	  1.048	Gaia DR2 4071326081163022208
   18325	280.8892	-29.9959	 0.004	 0.083	-2.790	 0.119	-1.448	 0.104	16.18	 1.61	14.06	13.40	13.28	 0.15	26.91	 2.26	       	     	     	     	0	   2.513	  1.477	Gaia DR2 4047243654108028800
   18326	280.8902	-29.5227	-0.005	 0.059	-2.559	 0.104	-1.308	 0.092	16.14	 1.61	14.08	13.37	13.21	 0.15	26.04	 0.63	       	     	     	     	0	   2.605	  1.013	Gaia DR2 4071326394729477888
   18327	280.8902	-28.5942	 0.014	 0.064	-2.921	 0.116	-1.435	 0.107	16.27	 1.71	14.11	13.33	13.26	 0.15	26.69	 0.09	       	     	     	     	0	   2.788	  0.103	Gaia DR2 4071597420012764416
   18328	280.8904	-28.8267	-0.011	 0.059	-2.636	 0.095	-1.454	 0.076	15.55	 2.03	13.03	12.22	11.92	 0.15	30.60	 1.88	       	     	     	     	0	   2.742	  0.331	Gaia DR2 4071572857138927872
   18329	280.8919	-30.7437	-0.018	 0.060	-2.761	 0.113	-1.232	 0.099	15.72	 1.62	13.64	12.98	12.78	 0.15	27.01	 1.54	       	     	     	     	0	   2.364	  2.210	Gaia DR2 6737323027550158464
   18330	280.8927	-31.1097	 0.021	 0.062	-2.697	 0.107	-1.263	 0.102	16.36	 1.45	14.46	13.79	13.66	 0.15	27.47	 2.46	       	     	     	     	0	   2.292	  2.569	Gaia DR2 6737173455278070912
   18331	280.8927	-30.8459	 0.049	 0.114	-2.850	 0.186	-1.029	 0.171	17.11	 1.45	15.16	14.54	14.39	 0.15	27.01	 1.54	       	     	     	     	0	   2.343	  2.310	Gaia DR2 6737321343922846464
   18332	280.8929	-30.2775	-0.025	 0.055	-2.571	 0.092	-1.456	 0.091	15.61	 1.90	13.31	12.49	12.27	 0.13	28.50	 2.36	       	     	     	     	0	   2.455	  1.753	Gaia DR2 4047223622380228224
   18333	280.8932	-28.6357	-0.156	 0.084	-2.916	 0.146	-1.655	 0.127	16.85	 1.54	14.88	14.24	14.11	 0.15	26.69	 0.09	       	     	     	     	0	   2.777	  0.143	Gaia DR2 4071591239600041472
   18334	280.8938	-30.6990	 0.061	 0.091	-2.238	 0.174	-1.304	 0.149	16.62	 1.68	14.58	13.90	13.65	 0.15	27.42	 2.14	       	     	     	     	0	   2.371	  2.166	Gaia DR2 6737323439867075968
   18335	280.8946	-29.3115	-0.147	 0.236	-1.889	 0.483	-1.050	 0.401	18.03	 1.25	16.42	15.48	15.19	 0.15	27.47	 0.31	       	     	     	     	0	   2.643	  0.805	Gaia DR2 4071344944660155776
   18336	280.8956	-31.3921	 0.040	 0.070	-2.656	 0.102	-1.271	 0.085	15.63	 1.62	13.54	12.85	12.74	 0.17	26.74	 0.80	       	     	     	     	0	   2.234	  2.845	Gaia DR2 6737147513675274368
   18337	280.8974	-29.6760	 0.013	 0.039	-2.544	 0.064	-1.150	 0.058	15.19	 1.91	12.81	11.99	11.80	 0.14	28.59	 2.72	 153.90	 0.94	     	     	6	   2.569	  1.162	Gaia DR2 4047258287019952768
   18338	280.8976	-29.4367	-0.101	 0.072	-2.849	 0.110	-1.265	 0.097	15.98	 1.52	14.03	13.35	13.18	 0.14	26.46	 0.82	       	     	     	     	0	   2.616	  0.928	Gaia DR2 4071331445611142272
   18339	280.8978	-30.4376	-0.001	 0.087	-2.734	 0.166	-1.239	 0.149	16.42	 1.70	14.22	13.46	13.34	 0.15	28.50	 3.68	       	     	     	     	0	   2.419	  1.909	Gaia DR2 6737348174547180288
   18340	280.8981	-29.9089	 0.004	 0.080	-2.763	 0.121	-1.341	 0.100	16.18	 1.49	14.29	13.63	13.53	 0.14	28.59	 2.72	       	     	     	     	0	   2.523	  1.391	Gaia DR2 4047251174553698048
   18341	280.8991	-31.6462	 0.017	 0.037	-2.856	 0.057	-1.372	 0.049	14.62	 2.01	12.14	11.30	11.08	 0.17	27.52	 0.62	       	     	     	     	0	   2.181	  3.094	Gaia DR2 6737140401209161600
   18342	280.8994	-29.9253	 0.092	 0.083	-2.933	 0.121	-1.385	 0.098	16.13	 1.64	14.09	13.33	13.15	 0.14	28.59	 2.72	       	     	     	     	0	   2.519	  1.406	Gaia DR2 4047250045020166400
   18343	280.8995	-29.4863	-0.205	 0.072	-2.817	 0.132	-1.460	 0.120	16.64	 1.64	14.55	13.83	13.73	 0.14	26.46	 0.82	       	     	     	     	0	   2.605	  0.976	Gaia DR2 4071326600887951232
   18344	280.8999	-30.3923	-0.032	 0.046	-2.674	 0.081	-1.266	 0.072	15.16	 1.97	12.72	11.85	11.65	 0.14	27.92	 3.96	 159.13	 0.87	     	     	6	   2.426	  1.864	Gaia DR2 6737349411497794944
   18345	280.9005	-30.9222	-0.004	 0.052	-2.800	 0.081	-1.347	 0.073	15.77	 1.55	13.84	13.12	13.00	 0.15	27.77	 0.52	       	     	     	     	0	   2.322	  2.384	Gaia DR2 6737316430480155520
   18346	280.9010	-30.4599	-0.016	 0.065	-2.608	 0.139	-1.176	 0.120	16.33	 1.74	14.16	13.41	13.23	 0.15	25.97	 1.07	       	     	     	     	0	   2.412	  1.930	Gaia DR2 6737348071467947520
   18347	280.9014	-30.2245	-0.082	 0.054	-2.518	 0.084	-1.480	 0.076	15.72	 1.91	13.35	12.55	12.34	 0.14	26.91	 2.26	       	     	     	     	0	   2.458	  1.700	Gaia DR2 4047224889353229184
   18348	280.9018	-30.4557	 0.063	 0.059	-2.923	 0.099	-1.279	 0.086	15.76	 1.82	13.49	12.65	12.51	 0.15	27.92	 3.96	       	     	     	     	0	   2.412	  1.926	Gaia DR2 6737348110159552000
   18349	280.9025	-30.3071	-0.216	 0.099	-2.327	 0.184	-1.226	 0.170	17.20	 1.43	15.26	14.65	14.59	 0.13	28.84	 2.94	       	     	     	     	0	   2.441	  1.780	Gaia DR2 4047223240085671680
   18350	280.9033	-28.4011	 0.016	 0.063	-2.830	 0.109	-1.215	 0.100	16.22	 1.51	14.34	13.63	13.53	 0.18	26.63	 2.11	       	     	     	     	0	   2.814	 -0.089	Gaia DR2 4071604158861317504
   18351	280.9034	-27.2662	-0.114	 0.053	-2.852	 0.089	-1.413	 0.079	15.37	 2.25	12.68	11.77	11.48	 0.27	27.65	 2.06	       	     	     	     	0	   3.037	 -1.202	Gaia DR2 4072582273191815168
   18352	280.9040	-31.5150	-0.003	 0.051	-2.578	 0.075	-1.080	 0.062	14.87	 2.09	12.32	11.42	11.26	 0.16	27.28	 0.35	       	     	     	     	0	   2.203	  2.964	Gaia DR2 6737145559498519168
   18353	280.9050	-31.0035	 0.049	 0.058	-2.672	 0.094	-1.191	 0.087	15.88	 1.75	13.74	12.91	12.77	 0.15	27.77	 0.81	       	     	     	     	0	   2.302	  2.463	Gaia DR2 6737314781212601728
   18354	280.9051	-32.3256	-0.003	 0.068	-2.841	 0.103	-1.478	 0.089	14.64	 2.45	11.87	11.01	10.72	 0.11	27.47	 0.90	       	     	     	     	0	   2.042	  3.759	Gaia DR2 6736894218007329280
   18355	280.9055	-28.6935	 0.044	 0.087	-2.824	 0.153	-1.258	 0.119	16.32	 1.57	14.25	13.54	13.40	 0.15	28.49	 2.77	       	     	     	     	0	   2.755	  0.198	Gaia DR2 4071579003192710016
   18356	280.9057	-32.9530	-0.007	 0.075	-2.769	 0.107	-1.419	 0.100	16.29	 1.58	14.35	13.62	13.44	 0.10	27.02	 0.80	       	     	     	     	0	   1.918	  4.374	Gaia DR2 6736441700251986432
   18357	280.9057	-22.0577	 0.088	 0.108	-2.500	 0.137	-0.870	 0.114	16.09	 1.90	13.70	12.98	12.81	 0.43	31.10	 5.67	       	     	     	     	0	   4.061	 -6.309	Gaia DR2 4079319943008297728
   18358	280.9060	-31.0311	-0.019	 0.047	-2.928	 0.073	-1.328	 0.067	15.58	 1.87	13.23	12.44	12.27	 0.15	27.77	 0.81	       	     	     	     	0	   2.296	  2.490	Gaia DR2 6737314678133357440
   18359	280.9060	-27.7998	-0.028	 0.075	-2.832	 0.156	-1.344	 0.147	16.37	 1.71	14.15	13.46	13.27	 0.21	26.98	 1.29	       	     	     	     	0	   2.930	 -0.679	Gaia DR2 4071775128580483072
   18360	280.9061	-30.1232	-0.052	 0.077	-2.448	 0.112	-1.308	 0.096	16.03	 1.43	14.12	13.47	13.35	 0.15	27.31	 1.50	       	     	     	     	0	   2.474	  1.599	Gaia DR2 4047229940234936832
   18361	280.9062	-28.4599	 0.067	 0.188	-2.466	 0.304	-1.149	 0.279	17.98	 1.27	16.38	15.71	15.57	 0.17	26.63	 2.11	       	     	     	     	0	   2.800	 -0.032	Gaia DR2 4071600757212456320
   18362	280.9069	-29.6823	 0.069	 0.075	-2.928	 0.128	-1.555	 0.114	16.65	 1.59	14.66	13.85	13.71	 0.14	28.59	 2.72	       	     	     	     	0	   2.560	  1.167	Gaia DR2 4047258222637604352
   18363	280.9070	-29.6007	-0.027	 0.059	-2.805	 0.112	-1.223	 0.103	16.25	 1.65	14.10	13.40	13.29	 0.15	26.46	 3.13	       	     	     	     	0	   2.576	  1.087	Gaia DR2 4071324848541099520
   18364	280.9070	-28.7950	 0.019	 0.163	-2.353	 0.253	-1.449	 0.209	17.80	 1.34	16.23	15.52	15.33	 0.15	30.60	 1.88	       	     	     	     	0	   2.734	  0.297	Gaia DR2 4071574364633796992
   18365	280.9072	-30.7871	 0.030	 0.049	-2.741	 0.080	-1.238	 0.072	15.34	 1.97	12.89	12.07	11.85	 0.15	27.01	 1.54	       	     	     	     	0	   2.343	  2.250	Gaia DR2 6737322164227552512
   18366	280.9072	-28.2763	-0.009	 0.092	-2.227	 0.151	-0.896	 0.139	16.97	 1.52	15.06	14.37	14.22	 0.22	26.82	 2.04	       	     	     	     	0	   2.835	 -0.212	Gaia DR2 4071746678732360704
   18367	280.9075	-28.9090	 0.004	 0.182	-2.806	 0.308	-1.595	 0.267	18.25	 1.39	16.55	15.81	15.62	 0.16	27.13	 3.29	       	     	     	     	0	   2.711	  0.409	Gaia DR2 4071571169176570496
   18368	280.9078	-32.1107	 0.060	 0.069	-2.629	 0.146	-1.610	 0.134	16.31	 1.41	14.44	13.83	13.67	 0.13	28.08	 1.70	       	     	     	     	0	   2.082	  3.548	Gaia DR2 6736901154356508160
   18369	280.9092	-31.6522	 0.043	 0.074	-2.646	 0.107	-1.362	 0.094	16.31	 1.61	14.26	13.56	13.44	 0.18	27.52	 0.62	       	     	     	     	0	   2.171	  3.098	Gaia DR2 6737139649623160448
