#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:58 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:58	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/418/244&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74180244
#Name: J/MNRAS/418/244
#Title: SDSS-based Polar Ring Catalogue (Moiseev+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/mnras/418/244	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/418/244	    IVOID of underlying data collection
#INFO	creator=Moiseev A.V.	    First author or institution
#INFO	cites=bibcode:2011MNRAS.418..244M	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/418/244	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74180244	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_418_244_table1:
#Name: J/MNRAS/418/244/table1
#Title: Catalogue of galaxies with polar rings (PRG) candidates
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Type	(A1)	[BGRP] Type of candidate: B=Best, G=Good, R=Related ojbect, P=possible face-on ring	[ucd=meta.code]
#Column	Seq	(I3)	SPRC (SDSS-based Polar Ring Catalogue) sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	rmag	(F5.2)	SDSS r magnitude	[ucd=phot.mag;em.opt.R]
#Column	u_rmag	(A1)	Uncertainty flag on rmag	[ucd=meta.code.error]
#Column	cz	(I5)	? Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	OName	(a18)	Other name(s)	[ucd=meta.id;meta.main]
#Column	Sloan	(a5)	Display the SDSS data for this galaxy	[ucd=meta.ref.url]
#Column	Zoo	(A3)	Display the Morphology as classified in the Galaxy Zoo (Lintott et al. 2011, Cat. J/MNRAS/410/166)	[ucd=meta.ref.url]
#Column	DR7	(A3)	Details from the SDSS-DR7, Cat. II/294	[ucd=meta.ref.url]
recno	Type	Seq	RAJ2000	DEJ2000	rmag	u_rmag	cz	OName	Sloan	Zoo	DR7
     212	R	212	13 08 41.16	+54 50 58.9	19.32	 	     	                  	Sloan	Zoo	DR7
     213	R	213	13 10 05.84	+34 10 52.0	14.70	 	  806	                  	Sloan	Zoo	DR7
     214	R	214	13 35 37.37	+13 19 32.5	14.46	 	12781	UGC 08576         	Sloan	Zoo	DR7
     215	R	215	13 41 17.08	+26 16 19.4	15.10	 	19169	                  	Sloan	Zoo	DR7
     216	R	216	13 44 50.67	+55 43 05.9	15.95	 	35545	                  	Sloan	Zoo	DR7
     217	R	217	14 01 27.22	+31 38 47.0	15.25	 	     	                  	Sloan	Zoo	DR7
     218	R	218	14 32 39.84	+36 18 08.0	12.43	 	 3972	NGC 5675          	Sloan	Zoo	DR7
     219	R	219	14 41 32.45	+46 40 34.6	16.12	 	25384	                  	Sloan	Zoo	DR7
     220	R	220	15 12 02.25	+21 17 53.4	14.07	 	 4707	UGC 09763         	Sloan	Zoo	DR7
     221	R	221	15 17 25.86	-00 08 05.5	16.99	 	15903	                  	Sloan	Zoo	DR7
     222	R	222	15 17 49.18	+04 09 45.4	13.29	 	11058	UGC 09804 NED01   	Sloan	Zoo	DR7
     223	R	223	15 20 17.21	+14 04 31.5	17.53	 	     	                  	Sloan	Zoo	DR7
     224	R	224	16 12 34.06	+28 19 08.2	14.53	 	 9412	KUG 1610+284A     	Sloan	Zoo	DR7
     225	R	225	16 19 23.92	+17 38 43.6	15.25	 	20900	                  	Sloan	Zoo	DR7
     226	R	226	16 20 01.60	+37 35 18.1	16.79	 	20679	                  	Sloan	Zoo	DR7
     227	R	227	16 28 20.56	+32 48 34.8	14.93	 	10094	NGC 6161          	Sloan	Zoo	DR7
     228	R	228	16 33 46.26	+49 50 08.4	14.11	 	     	MCG +08-30-028    	Sloan	Zoo	DR7
     229	R	229	16 37 57.48	+11 36 08.5	15.27	 	23512	                  	Sloan	Zoo	DR7
     230	R	230	16 41 50.51	+25 15 44.7	14.97	 	14212	                  	Sloan	Zoo	DR7
     231	R	231	17 38 43.26	+57 14 21.1	14.34	 	 8800	UGC 10935         	Sloan	Zoo	DR7
     232	R	232	20 56 35.72	-03 22 23.5	16.44	 	 5842	                  	Sloan	Zoo	DR7
     233	R	233	21 13 32.62	-01 22 47.5	13.83	 	13669	CGCG 375-014      	Sloan	Zoo	DR7
     234	R	234	21 23 39.15	-00 22 35.1	16.70	 	18582	                  	Sloan	Zoo	DR7
     235	R	235	22 29 57.15	+01 35 53.9	16.23	:	     	                  	Sloan	Zoo	DR7
     236	R	236	23 25 14.20	+15 14 41.4	14.92	 	13025	                  	Sloan	Zoo	DR7
     237	R	237	23 30 13.64	+15 45 39.7	13.49	 	 4212	UGC 12633         	Sloan	Zoo	DR7
     238	R	238	23 39 57.61	+00 08 06.7	15.44	 	18040	                  	Sloan	Zoo	DR7
     239	P	239	00 16 15.19	-10 14 41.1	16.27	 	25566	                  	Sloan	Zoo	DR7
     240	P	240	00 34 36.18	-09 35 36.8	18.05	 	     	                  	Sloan	Zoo	DR7
     241	P	241	02 41 57.00	-06 47 32.3	14.15	 	 5267	MCG -01-07-035    	Sloan	Zoo	DR7
     242	P	242	07 35 50.48	+32 35 06.3	17.68	 	60453	                  	Sloan	Zoo	DR7
     243	P	243	07 53 25.87	+15 06 56.8	17.08	 	30797	                  	Sloan	Zoo	DR7
     244	P	244	07 58 48.20	+38 21 50.5	17.86	 	29092	                  	Sloan	Zoo	DR7
     245	P	245	08 05 05.38	+40 10 28.4	14.24	 	15024	CGCG 207-027      	Sloan	Zoo	DR7
     246	P	246	08 08 21.30	+07 17 12.6	16.99	 	     	                  	Sloan	Zoo	DR7
     247	P	247	08 12 12.08	+44 39 20.5	17.63	 	55134	                  	Sloan	Zoo	DR7
     248	P	248	08 24 01.83	+16 26 38.2	17.62	 	45769	                  	Sloan	Zoo	DR7
     249	P	249	08 47 08.70	+19 37 51.7	14.03	 	 9438	UGC 04596         	Sloan	Zoo	DR7
     250	P	250	08 47 41.69	+13 25 08.8	13.46	 	 2071	UGC 04599         	Sloan	Zoo	DR7
     251	P	251	08 49 01.21	+41 11 57.2	14.08	 	 8824	UGC 04609         	Sloan	Zoo	DR7
     252	P	252	10 24 01.96	+10 19 15.8	17.36	 	57101	                  	Sloan	Zoo	DR7
     253	P	253	10 43 15.06	+10 02 06.0	16.33	 	26880	                  	Sloan	Zoo	DR7
     254	P	254	11 01 45.49	+25 26 44.4	17.36	 	43410	                  	Sloan	Zoo	DR7
     255	P	255	11 02 16.90	+38 23 20.2	16.53	 	27444	                  	Sloan	Zoo	DR7
     256	P	256	11 10 49.29	+13 36 34.1	16.27	 	21033	                  	Sloan	Zoo	DR7
     257	P	257	11 30 19.31	+58 16 40.8	17.62	 	59052	                  	Sloan	Zoo	DR7
     258	P	258	11 30 40.21	+50 37 04.6	15.31	 	17384	                  	Sloan	Zoo	DR7
     259	P	259	11 37 13.65	+23 17 21.9	17.18	 	14815	                  	Sloan	Zoo	DR7
     260	P	260	11 45 30.25	+09 43 44.8	14.48	 	 6399	CGCG 068-056      	Sloan	Zoo	DR7
     261	P	261	12 01 43.47	+00 10 59.2	18.32	 	31300	                  	Sloan	Zoo	DR7
     262	P	262	12 49 15.77	+04 39 24.5	20.36	 	 2666	UGC 07976         	Sloan	Zoo	DR7
     263	P	263	13 01 13.66	+58 06 44.2	15.02	 	 8444	MCG +10-19-014    	Sloan	Zoo	DR7
     264	P	264	13 16 14.69	+41 29 40.1	14.24	 	 6217	MRK 1477          	Sloan	Zoo	DR7
     265	P	265	13 20 22.67	-00 24 07.6	17.82	 	32954	                  	Sloan	Zoo	DR7
     266	P	266	13 20 54.29	+41 35 35.5	17.09	 	46536	                  	Sloan	Zoo	DR7
     267	P	267	13 37 39.21	+54 35 24.8	16.15	 	20490	                  	Sloan	Zoo	DR7
     268	P	268	13 40 04.76	+64 03 02.0	17.45	 	45640	                  	Sloan	Zoo	DR7
     269	P	269	14 04 53.72	+12 43 18.1	14.25	 	 4093	UGC 09002 = VV328a	Sloan	Zoo	DR7
     270	P	270	14 09 31.41	+50 08 17.3	15.66	 	21759	                  	Sloan	Zoo	DR7
     271	P	271	14 51 48.17	+16 47 27.7	16.06	 	35878	                  	Sloan	Zoo	DR7
     272	P	272	15 45 47.04	+14 06 13.5	15.96	 	22091	                  	Sloan	Zoo	DR7
     273	P	273	16 06 07.97	+10 34 06.0	17.16	 	51450	                  	Sloan	Zoo	DR7
     274	P	274	16 33 09.59	+34 55 34.7	14.80	 	10465	KUGX 1631+350     	Sloan	Zoo	DR7
     275	P	275	20 53 53.46	-00 58 05.4	17.46	 	31807	                  	Sloan	Zoo	DR7

