#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:08 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/281/19&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22810019
#Name: J/ApJS/281/19
#Title: Stellar counterrotation in galaxies using MaNGA (Gasymov+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/281/19	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/281/19	    IVOID of underlying data collection
#INFO	creator=Gasymov D.	    First author or institution
#INFO	cites=bibcode:2025ApJS..281...19G	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/281/19	    Dataset landing page
#INFO	publication_date=2026-08-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_281_19_table2:
#Name: J/ApJS/281/19/table2
#Title: reliable galaxies with stellar counterrotation
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MANGAID	(A8)	"MaNGA-ID" object identifier	[ucd=meta.id;meta.main]
#Column	f_MANGAID	(a5)	Flag on MANGAID (G1)	[ucd=meta.code]
#Column	RAJ2000	(F9.5)	[28/332.3] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-1.2/55.8] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TType	(a5)	Morphology from MVM-VAC (Vazquez-Mata+ 2022MNRAS.512.2222V)	[ucd=src.morph]
#Column	logM	(F6.3)	[9.5/11.2] Log of stellar mass (G2)	[ucd=phys.mass]
#Column	z	(F8.5)	[0.017/0.075] Spectroscopic redshift	[ucd=src.redshift]
#Column	Features	(a25)	Kinematic classification (G3)	[ucd=src.morph.param]
#Column	CRConfig	(A7)	Location of CR disk (inner, outer, undef or unclear)	[ucd=meta.note]
#Column	Env	(a11)	Environmental properties (G4)	[ucd=meta.note]
#Column	Morph	(a11)	Morphological features (G5)	[ucd=src.morph]
#Column	Refs	(a7)	Reference codes (G6)	[ucd=meta.ref;pos.frame]
#Column	DR15	(I3)	Display data from ManGA DR15 (Wake+ 2017, J/AJ/154/86)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
recno	MANGAID	f_MANGAID	RAJ2000	DEJ2000	TType	logM	z	Features	CRConfig	Env	Morph	Refs	DR15	Simbad	NED
#Column	DR15	(I3)	Display data from ManGA DR15 (Wake+ 2017, J/AJ/154/86)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
recno	MANGAID	RAJ2000	DEJ2000	TType	logM	z	Features	Env	Morph	DR15	Simbad	NED
 	 	deg	deg	 	[Msun]	 	 	 	 	 	 	
--------	---------	---------	---------	--------	------	--------	-----------------------	-----------	-----------	---	------	---
       1	1-178443 	260.75469	+27.56946	SABbc   	10.215	 0.04769	2sigma                 	Cl, G      	           	  2	Simbad	NED
       2	1-209407 	238.26176	+46.76800	SABbc   	 9.398	 0.01950	2sigma                 	Cl, G      	E          	  1	Simbad	NED
       3	1-248565 	242.70907	+38.70824	SABa    	 9.829	 0.03790	2sigma                 	Cl, G      	           	  0	Simbad	NED
       4	1-269886 	248.49630	+26.89797	Edc     	10.949	 0.07056	2sigma                 	Cl, G      	           	  0	Simbad	NED
       5	1-282020 	184.66520	+43.53871	SBd     	 9.614	 0.02391	2sigma                 	F, G       	B          	  1	Simbad	NED
       6	1-603965 	046.88457	-00.96455	Edc     	11.404	 0.03863	2sigma                 	V, G       	Sh         	  1	Simbad	NED
       7	1-78294  	147.06764	+03.90585	Sbc     	10.082	 0.02411	2sigma                 	F, G       	E          	  0	Simbad	NED
       8	1-97176  	318.29095	-07.63177	Sa      	10.438	 0.02833	2sigma                 	V, G       	Sh         	  0	Simbad	NED
       9	12-84617 	231.47875	+41.90977	SABa    	 9.128	 0.02264	2sigma                 	Sh, G, O   	           	  1	Simbad	NED
      10	1-60334  	149.59381	+01.58471	Sb      	 9.972	 0.02775	2sigma                 	F, G       	           	  0	Simbad	NED
      11	1-594318 	242.99221	+29.83853	Edc     	11.621	 0.05006	2sigma, NRR            	Cl, G      	T, Sh, C   	  1	Simbad	NED
      12	1-179395 	316.25170	-00.93327	SABab   	 9.257	 0.01758	2sigma, other          	V, G       	LSB        	  1	Simbad	NED
      13	1-247630 	234.93838	+46.02500	Sa      	10.756	 0.03776	2sigma, star/gas-polar 	Cl, P, G   	T, Sh, P   	  0	Simbad	NED
      14	1-131278 	225.16763	+55.48871	S0      	 9.833	 0.02631	2sigma?                	Sh, G      	           	  0	Simbad	NED
      15	1-135772 	250.38551	+37.26639	Edc     	11.266	 0.10119	2sigma?                	Cl, G      	T          	  0	Simbad	NED
      16	1-135949 	252.37263	+36.03948	SABb    	 9.909	 0.03138	2sigma?                	F, G       	E          	  0	Simbad	NED
      17	1-294016 	254.32084	+19.33947	Sa      	 9.612	 0.03341	2sigma?                	Sh, G      	E          	  0	Simbad	NED
      18	1-301360 	146.71636	+35.25109	Scd     	 9.614	 0.03911	2sigma?                	Cl, G      	E          	  0	Simbad	NED
      19	1-420979 	203.77038	+31.01156	S0a     	 9.607	 0.01655	2sigma?                	F, G       	           	  0	Simbad	NED
      20	1-60713  	151.39573	+03.05362	SABbc   	10.120	 0.02364	2sigma?                	Sh, G      	           	  0	Simbad	NED
      21	1-151914 	191.43928	+52.95090	Sd      	 9.430	 0.02312	2sigma?                	Sh, G      	E          	  0	Simbad	NED
      22	1-109392 	050.92234	-00.11703	Edc     	11.202	 0.05147	CR-GS                  	V, P, G    	T, C       	  1	Simbad	NED
      23	1-115650 	334.74752	+13.18747	Edc     	10.454	 0.02683	CR-GS                  	V, G       	C          	  0	Simbad	NED
      24	1-118363 	351.22558	+14.21520	Sb      	 9.893	 0.02562	CR-GS                  	V, G       	           	  0	Simbad	NED
      25	1-118369 	351.51309	+14.62961	Sab     	10.118	 0.04199	CR-GS                  	V, G       	           	  0	Simbad	NED
      26	1-118383 	351.21765	+14.13893	S0      	10.053	 0.04027	CR-GS                  	V, G       	           	  0	Simbad	NED
      27	1-118456 	351.20098	+15.00006	SB0a    	10.890	 0.03071	CR-GS                  	V, G       	B          	  0	Simbad	NED
      28	1-122057 	120.87297	+38.44227	S0      	 9.940	 0.03994	CR-GS                  	F, G, O    	           	  1	Simbad	NED
      29	1-133944 	238.91282	+47.66191	SABab   	 9.444	 0.01941	CR-GS                  	Cl, P, G   	           	  0	Simbad	NED
      30	1-135165 	247.15072	+40.68555	Edc     	11.079	 0.07607	CR-GS                  	F, G       	           	  0	Simbad	NED
      31	1-135177 	246.46722	+41.05778	S0a     	 9.566	 0.02906	CR-GS                  	Cl, G      	           	  0	Simbad	NED
      32	1-135239 	246.48724	+41.52206	E       	10.013	 0.04272	CR-GS                  	V, P, G, O 	           	  1	Simbad	NED
      33	1-135568 	247.71803	+41.28615	S0      	11.206	 0.09386	CR-GS                  	V, P, G, O 	T, C       	  1	Simbad	NED
      34	1-135577 	247.73350	+40.44205	Sb      	 9.609	 0.02699	CR-GS                  	Cl, G      	           	  0	Simbad	NED
      35	1-135773 	250.45565	+37.30926	Sab     	11.375	 0.09922	CR-GS                  	Cl, G      	LSB        	  0	Simbad	NED
      36	1-138140 	145.30812	+47.68859	Edc     	10.503	 0.04679	CR-GS                  	Sh, G, O   	           	  1	Simbad	NED
      37	1-146344 	120.06709	+29.47143	Sb      	10.141	 0.04526	CR-GS                  	Sh, G, O   	E          	  1	Simbad	NED
      38	1-149871 	173.48736	+51.24977	S0      	10.684	 0.02610	CR-GS                  	Cl, G, O   	           	  1	Simbad	NED
      39	1-153077 	119.22200	+32.34558	S0      	10.266	 0.04349	CR-GS                  	Sh, G, O   	E          	  1	Simbad	NED
      40	1-156061 	143.69703	+48.74758	S0      	 9.908	 0.02593	CR-GS                  	F, G, O    	           	  1	Simbad	NED
      41	1-167141 	150.22840	+44.76480	S0      	 9.839	 0.02786	CR-GS                  	Sh, G, O   	           	  1	Simbad	NED
      42	1-177203 	255.77795	+34.63795	SAB0a   	10.809	 0.05821	CR-GS                  	F, G       	           	  0	Simbad	NED
      43	1-177610 	257.43414	+32.16078	Sa      	 9.633	 0.03748	CR-GS                  	V, G       	C          	  0	Simbad	NED
      44	1-178790 	310.37277	+00.13225	Sa      	10.037	 0.02693	CR-GS                  	V, G       	E          	  1	Simbad	NED
      45	1-195979 	202.20397	+53.44292	E       	10.003	 0.02535	CR-GS                  	F, G       	           	  0	Simbad	NED
      46	1-197573 	221.22517	+48.64191	S0      	10.529	 0.05009	CR-GS                  	F, P, G    	           	  0	Simbad	NED
      47	1-199340 	233.16510	+44.53417	S0a     	 9.848	 0.03756	CR-GS                  	Cl, G, O   	           	  1	Simbad	NED
      48	1-201364 	117.19946	+28.23974	Sa      	 9.957	 0.02772	CR-GS                  	V, O       	           	  1	Simbad	NED
      49	1-201936 	120.57662	+32.53549	Sa      	10.470	 0.03830	CR-GS                  	F, G       	T, C       	  0	Simbad	NED
      50	1-210863 	246.07345	+39.21104	E       	10.839	 0.03002	CR-GS                  	Cl, G, O   	           	  1	Simbad	NED
      51	1-217050 	136.71998	+41.40824	S0      	10.825	 0.02735	CR-GS                  	Cl, P, G, O	           	  1	Simbad	NED
      52	1-217537 	117.20659	+21.73261	S0a     	 9.829	 0.02387	CR-GS                  	F, P, G, O 	C          	  1	Simbad	NED
      53	1-225    	145.84750	+00.67572	Sa      	 9.927	 0.02659	CR-GS                  	V, G       	E          	  0	Simbad	NED
      54	1-22572  	259.06381	+64.49479	S0      	 9.674	 0.03511	CR-GS                  	Sh, G      	           	  0	Simbad	NED
      55	1-229012 	057.11265	-00.78873	SAB0    	10.952	 0.04021	CR-GS                  	V, G       	           	  1	Simbad	NED
      56	1-235307 	211.47839	+45.64468	S0      	 9.964	 0.04027	CR-GS                  	Sh, G, O   	           	  1	Simbad	NED
      57	1-235530 	214.42210	+45.46582	SAB0    	10.316	 0.02745	CR-GS                  	Sh, G, O   	T, LSB     	  2	Simbad	NED
      58	1-23568  	255.79132	+59.66022	Edc     	10.733	 0.05454	CR-GS                  	F, G       	           	  0	Simbad	NED
      59	1-236099 	225.23622	+41.56626	SBab    	 9.936	 0.02046	CR-GS                  	Sh, G, O   	B, E       	  1	Simbad	NED
      60	1-24055  	257.13931	+57.47669	Sa      	 9.640	 0.02961	CR-GS                  	F, G       	           	  0	Simbad	NED
      61	1-245088 	212.61210	+54.61957	S0a     	10.149	 0.04033	CR-GS                  	Cl, P, G, O	E          	  1	Simbad	NED
      62	1-24547  	261.46905	+53.53945	S0a     	10.488	 0.03005	CR-GS                  	F, P, G    	E, C       	  1	Simbad	NED
      63	1-247223 	230.34263	+48.41579	Sa      	10.506	 0.02662	CR-GS                  	F, G       	E          	  0	Simbad	NED
      64	1-248133 	237.91162	+43.63959	S0      	 9.976	 0.03998	CR-GS                  	Cl, G, O   	E          	  1	Simbad	NED
      65	1-248443 	242.31861	+41.74573	SB0     	10.639	 0.02562	CR-GS                  	F, G, O    	B          	  1	Simbad	NED
      66	1-248618 	243.15504	+39.41902	SB0a    	10.614	 0.03220	CR-GS                  	F, G       	B, Sh      	  0	Simbad	NED
      67	1-249383 	249.78587	+34.26235	Edc     	11.473	 0.09712	CR-GS                  	Cl, G      	T          	  0	Simbad	NED
      68	1-251067 	207.47785	+43.48223	Sab     	10.275	 0.04492	CR-GS                  	Sh, G, O   	           	  1	Simbad	NED
      69	1-256234 	167.05920	+43.62482	E       	11.375	 0.07558	CR-GS                  	Cl, G, O   	           	  1	Simbad	NED
      70	1-256283 	167.89875	+43.59130	S0      	10.871	 0.06146	CR-GS                  	F, G, O    	           	  1	Simbad	NED
      71	1-256819 	169.35394	+44.56330	S0      	10.935	 0.06624	CR-GS                  	Cl, G, O   	           	  1	Simbad	NED
      72	1-25725  	262.99673	+59.97164	E       	10.341	 0.02912	CR-GS                  	F, G       	T, Sh      	  1	Simbad	NED
      73	1-261224 	213.23022	+39.31264	Sb      	10.112	 0.02507	CR-GS                  	F, G       	E          	  0	Simbad	NED
      74	1-26587  	331.10549	+00.71540	SAB0    	11.131	 0.04262	CR-GS                  	V, G       	           	  0	Simbad	NED
      75	1-269212 	242.48736	+30.10652	S0      	10.397	 0.04822	CR-GS                  	V, P, O    	E          	  1	Simbad	NED
      76	1-271717 	243.06329	+31.81871	S0a     	10.461	 0.04938	CR-GS                  	F, G       	           	  0	Simbad	NED
      77	1-272473 	246.41769	+29.14760	Sc      	10.291	 0.04444	CR-GS                  	F, G, O    	E          	  1	Simbad	NED
      78	1-279532 	170.80827	+46.99779	SBa     	10.327	 0.02477	CR-GS                  	F, G, O    	B, E       	  1	Simbad	NED
      79	1-283580 	190.92097	+41.15451	Sb      	 9.896	 0.02339	CR-GS                  	F, G       	E          	  0	Simbad	NED
      80	1-283903 	192.76855	+48.40858	Edc     	10.339	 0.04943	CR-GS                  	F, P, G    	T          	  0	Simbad	NED
      81	1-284321 	196.75506	+46.30944	S0      	10.111	 0.02446	CR-GS                  	F, G, O    	E          	  1	Simbad	NED
      82	1-293928 	254.31750	+18.45264	Edc     	 9.547	 0.03282	CR-GS                  	Sh, G      	           	  0	Simbad	NED
      83	1-296799 	242.94827	+28.39468	SABa    	 9.695	 0.03095	CR-GS                  	F, G       	           	  0	Simbad	NED
      84	1-301495 	146.31188	+35.36930	S0      	10.598	 0.05115	CR-GS                  	F, G       	           	  0	Simbad	NED
      85	1-317979 	240.98834	+24.40224	S0a     	 9.817	 0.03706	CR-GS                  	V, G       	           	  0	Simbad	NED
      86	1-318434 	243.03207	+23.71813	S0a     	10.572	 0.03190	CR-GS                  	Cl, G      	T, Sh      	  1	Simbad	NED
      87	1-319646 	203.67428	+50.46416	Sa      	10.277	 0.02890	CR-GS                  	Sh, G      	E          	  0	Simbad	NED
      88	1-319706 	200.84509	+50.17015	E       	10.406	 0.04817	CR-GS                  	Sh, G      	T          	  0	Simbad	NED
      89	1-322240 	229.00950	+42.14624	Sa      	11.024	 0.07519	CR-GS                  	Cl, G, O   	E          	  1	Simbad	NED
      90	1-325871 	254.31239	+26.83633	S0      	10.678	 0.03581	CR-GS                  	F, G       	T, Sh      	  0	Simbad	NED
      91	1-326103 	256.41046	+25.20836	SBa     	11.026	 0.03753	CR-GS                  	Cl, G      	B          	  0	Simbad	NED
      92	1-333290 	225.46539	+09.72593	Sab     	10.656	 0.03367	CR-GS                  	F, G       	Sh         	  0	Simbad	NED
      93	1-336458 	236.26817	+08.55965	S0      	 9.974	 0.04149	CR-GS                  	Cl, G      	           	  0	Simbad	NED
      94	1-337237 	239.72543	+09.52213	SAB0a   	 9.917	 0.03976	CR-GS                  	F, G       	           	  0	Simbad	NED
      95	1-338746 	116.85491	+43.91862	E       	10.479	 0.03175	CR-GS                  	Cl, G, O   	           	  1	Simbad	NED
      96	1-339094 	117.47241	+45.24848	S0a     	10.484	 0.03125	CR-GS                  	Cl, G, O   	           	  1	Simbad	NED
      97	1-351572 	117.54100	+48.47888	S0a     	10.004	 0.02239	CR-GS                  	Cl, G, O   	E          	  1	Simbad	NED
      98	1-35391  	028.67100	-00.14334	SBa     	10.690	 0.01851	CR-GS                  	V, G       	B, LSB     	  0	Simbad	NED
      99	1-35832  	031.12722	+00.43116	SAB0a   	 9.144	 0.01950	CR-GS                  	V, G       	E          	  0	Simbad	NED
     100	1-379008 	118.76127	+52.22743	Sab     	 9.666	 0.02316	CR-GS                  	V, G, O    	E          	  1	Simbad	NED
     101	1-380032 	122.98512	+56.97901	SB0a    	10.634	 0.02718	CR-GS                  	F, G       	B          	  0	Simbad	NED
     102	1-38510  	053.02330	+00.47938	Sb      	 9.587	 0.02205	CR-GS                  	V, G       	E          	  1	Simbad	NED
     103	1-38887  	054.08900	+00.18689	Sb      	 9.630	 0.02415	CR-GS                  	V, G       	E          	  1	Simbad	NED
     104	1-397739 	186.31370	+40.39664	Edc     	11.219	 0.06690	CR-GS                  	Cl, G      	T          	  0	Simbad	NED
     105	1-404060 	187.85513	+36.82611	Sab     	 9.396	 0.02239	CR-GS                  	F, G       	E          	  0	Simbad	NED
     106	1-405760 	196.10272	+36.47994	Sb      	10.176	 0.02322	CR-GS                  	F, G, O    	E, T, Sh   	  1	Simbad	NED
     107	1-409368 	196.91020	+31.48697	Sa      	 9.978	 0.02614	CR-GS                  	F, G       	E          	  0	Simbad	NED
     108	1-40992  	021.85499	+14.05453	SABab   	10.472	 0.02360	CR-GS                  	V, G       	           	  0	Simbad	NED
     109	1-412566 	123.78459	+20.16382	S0a     	10.277	 0.04424	CR-GS                  	F, G       	           	  0	Simbad	NED
     110	1-412833 	126.40985	+21.14255	S0      	 9.853	 0.02305	CR-GS                  	V, G, O    	           	  1	Simbad	NED
     111	1-415354 	199.67590	+32.91865	Sa      	 9.765	 0.03585	CR-GS                  	Cl, G, O   	E          	  1	Simbad	NED
     112	1-415754 	204.96998	+29.37969	S0      	10.011	 0.04391	CR-GS                  	Cl, P, G   	E, C       	  0	Simbad	NED
     113	1-419380 	183.00790	+35.40439	Sa      	 9.975	 0.02350	CR-GS                  	V, G, O    	           	  1	Simbad	NED
     114	1-42255  	027.42366	+13.09712	S0      	 9.471	 0.03365	CR-GS                  	V, G       	           	  0	Simbad	NED
     115	1-424438 	208.52252	+24.96663	S0      	10.229	 0.02995	CR-GS                  	Cl, G, O   	E          	  1	Simbad	NED
     116	1-42583  	029.26573	+13.16705	S0      	10.715	 0.03234	CR-GS                  	V, P, G    	           	  0	Simbad	NED
     117	1-42626  	028.56049	+13.67868	SABa    	10.142	 0.02074	CR-GS                  	V, G       	           	  0	Simbad	NED
     118	1-43717  	117.09381	+43.78049	Edc     	10.060	 0.03144	CR-GS                  	Cl, G, O   	Sh, P      	  1	Simbad	NED
     119	1-445333 	246.65600	+13.68342	Edc     	10.682	 0.03443	CR-GS                  	F, G       	T, Sh      	  0	Simbad	NED
     120	1-458301 	204.89137	+25.55610	SAB0    	10.356	 0.02641	CR-GS                  	F, G, O    	           	  1	Simbad	NED
     121	1-48136  	132.91276	+57.10742	E       	10.171	 0.02560	CR-GS                  	F, G, O    	           	  1	Simbad	NED
     122	1-487046 	165.89283	+21.04947	Sb      	 9.289	 0.02105	CR-GS                  	F, G, O    	E          	  1	Simbad	NED
     123	1-519412 	203.77723	+22.66183	S0a     	10.068	 0.03170	CR-GS                  	F, G, O    	E          	  1	Simbad	NED
     124	1-53278  	135.70510	+01.02061	Sa      	10.708	 0.05344	CR-GS                  	F, G       	           	  0	Simbad	NED
     125	1-546345 	244.26629	+19.00745	SBb     	 9.668	 0.03570	CR-GS                  	F, G       	B          	  0	Simbad	NED
     126	1-547295 	259.18353	+32.80627	S0a     	 9.852	 0.04058	CR-GS                  	Sh, G, O   	E          	  1	Simbad	NED
     127	1-556703 	126.85999	+23.56878	SABa    	10.216	 0.01844	CR-GS                  	F, P, G    	T, Sh, C   	  1	Simbad	NED
     128	1-561039 	258.27108	+35.26861	Sb      	10.288	 0.02566	CR-GS                  	F          	E          	  1	Simbad	NED
     129	1-564487 	243.25903	+39.23712	E       	10.542	 0.03255	CR-GS                  	F, G       	C          	  0	Simbad	NED
     130	1-575704 	197.89184	+44.93307	SBab    	10.237	 0.02476	CR-GS                  	Sh, G      	B, T       	  1	Simbad	NED
     131	1-576335 	225.06054	+53.10086	E       	11.115	 0.08606	CR-GS                  	Cl, P, G   	C          	  0	Simbad	NED
     132	1-576537 	198.14184	+48.36661	Sb      	10.655	 0.05581	CR-GS                  	F, P, G    	E, C       	  1	Simbad	NED
     133	1-593898 	233.18893	+08.25506	E       	11.195	 0.04278	CR-GS                  	F, G       	T, C       	  0	Simbad	NED
     134	1-594098 	238.93026	+47.86727	Edc     	11.149	 0.01988	CR-GS                  	Cl, G      	T          	  0	Simbad	NED
     135	1-627331 	206.55291	+23.05384	S0      	10.733	 0.02686	CR-GS                  	Cl, G      	           	  0	Simbad	NED
     136	1-636700 	344.47094	+12.95956	Sb      	 9.794	 0.02570	CR-GS                  	V, G       	E          	  0	Simbad	NED
     137	1-66669  	198.46832	+02.13256	Sab     	10.575	 0.03016	CR-GS                  	F, G       	T, Sh      	  0	Simbad	NED
     138	1-71956  	118.44165	+38.86904	S0      	 9.862	 0.03974	CR-GS                  	Cl, G, O   	           	  1	Simbad	NED
     139	1-76744  	133.27807	+03.81465	Sa      	 9.872	 0.02771	CR-GS                  	F, G       	E          	  0	Simbad	NED
     140	1-76995  	135.52746	+03.49769	Edc     	10.142	 0.02735	CR-GS                  	Sh, G      	           	  0	Simbad	NED
     141	1-77738  	143.58810	+03.10946	S0a     	 9.577	 0.02789	CR-GS                  	Sh, G      	           	  0	Simbad	NED
     142	1-78715  	151.01609	+04.28143	Sa      	10.659	 0.05421	CR-GS                  	Sh, G      	E, C       	  0	Simbad	NED
     143	1-79648  	157.20817	+04.96055	SB0     	10.208	 0.02294	CR-GS                  	F, G       	B          	  0	Simbad	NED
     144	1-91923  	238.88517	+50.47858	S0a     	10.244	 0.04442	CR-GS                  	F, G       	C          	  0	Simbad	NED
     145	1-92702  	242.09974	+48.94451	Edc     	10.244	 0.04439	CR-GS                  	F, G       	           	  0	Simbad	NED
     146	1-92908  	244.02482	+50.91545	Edc     	11.026	 0.04733	CR-GS                  	F, G       	           	  0	Simbad	NED
     147	1-95058  	251.75317	+39.06134	S0a     	10.488	 0.02912	CR-GS                  	F, G       	           	  0	Simbad	NED
     148	12-129608	205.04475	+26.84103	Sb      	 9.784	 0.03181	CR-GS                  	F, G, O    	E          	  1	Simbad	NED
     149	12-84677 	232.15806	+42.44202	SB0a    	11.205	 0.07509	CR-GS                  	Cl, G, O   	B, T       	  1	Simbad	NED
     150	1-113242 	316.70947	+09.19736	Edc     	11.202	 0.04371	CR-GS                  	V, G       	           	  1	Simbad	NED
     151	1-401759 	200.30592	+30.47810	Sb      	 9.793	 0.03660	CR-GS                  	F, G       	E          	  1	Simbad	NED
     152	1-547402 	258.49584	+33.60713	Sb      	 9.952	 0.03866	CR-GS                  	F, G, O    	E          	  1	Simbad	NED
     153	1-244629 	206.08993	+55.85596	SBb     	10.801	 0.03740	CR-GS                  	F, G       	B, E       	  0	Simbad	NED
     154	1-201392 	117.86048	+28.23422	Sa      	10.315	 0.02267	CR-GS                  	F, O       	E          	  1	Simbad	NED
     155	1-145920 	119.35684	+27.44038	S0      	 9.711	 0.02669	CR-GS                  	Cl, G, O   	           	  1	Simbad	NED
     156	1-251374 	213.77233	+40.33985	SAB0a   	 9.919	 0.04193	CR-GS, 2sigma?         	Sh, G      	           	  0	Simbad	NED
     157	1-44113  	120.20641	+44.69116	S0      	11.411	 0.10231	CR-GS, 2sigma?         	Cl, G, O   	T, Sh, C   	  1	Simbad	NED
     158	1-149329 	168.36149	+51.78984	S0a     	10.131	 0.02624	CR-GS, NRR             	F, G       	C          	  0	Simbad	NED
     159	1-246298 	222.43684	+50.71089	SAB0    	 9.627	 0.01341	CR-GS, NRR             	F, G, O    	           	  1	Simbad	NED
     160	1-284174 	194.48045	+42.93727	S0      	 9.740	 0.03525	CR-GS, NRR             	Sh, G, O   	           	  1	Simbad	NED
     161	1-295542 	246.25598	+24.26316	Edc     	10.447	 0.05029	CR-GS, NRR             	Sh, G, O   	           	  1	Simbad	NED
     162	1-151874 	192.36274	+51.58190	S0      	10.295	 0.03210	CR-GS, sigma-elong.    	F, G       	T          	  0	Simbad	NED
     163	1-385167 	128.62882	+25.79216	Sb      	 9.756	 0.02879	CR-GS?                 	Cl, G, O   	E          	  1	Simbad	NED
     164	1-201307 	116.99786	+29.19068	S0      	 9.550	 0.02670	Gas-mis                	V, O       	           	  1	Simbad	NED
     165	1-114820 	330.42349	+11.85678	Sa      	10.934	 0.02982	Gas-mis                	V, G       	T, Sh      	  0	Simbad	NED
     166	1-118427 	351.30398	+15.79430	Edc     	11.239	 0.10503	Gas-mis                	V, G       	T          	  0	Simbad	NED
     167	1-121648 	119.71777	+35.04265	S0a     	11.074	 0.08269	Gas-mis                	F, G       	           	  0	Simbad	NED
     168	1-131060 	224.54690	+57.00096	SAB0a   	 9.832	 0.02821	Gas-mis                	Sh, G      	           	  0	Simbad	NED
     169	1-134004 	238.44857	+47.40496	Sa      	 9.545	 0.01855	Gas-mis                	Cl, G, O   	           	  1	Simbad	NED
     170	1-135056 	247.78355	+40.38808	SABa    	10.072	 0.02924	Gas-mis                	Cl, G      	           	  0	Simbad	NED
     171	1-135101 	247.48042	+40.65996	Sa      	 9.999	 0.02945	Gas-mis                	Cl, P, G, O	           	  1	Simbad	NED
     172	1-135517 	248.45675	+39.26321	Sab     	10.843	 0.03175	Gas-mis                	Cl, P, G, O	LSB        	  1	Simbad	NED
     173	1-135664 	249.33546	+41.18898	S0      	10.672	 0.03164	Gas-mis                	F, G, O    	T, Sh      	  1	Simbad	NED
     174	1-135794 	249.77018	+39.29077	S0      	10.666	 0.03043	Gas-mis                	F, G, O    	E          	  1	Simbad	NED
     175	1-146292 	120.69966	+29.46982	S0a     	10.344	 0.04642	Gas-mis                	F, G, O    	E          	  1	Simbad	NED
     176	1-148949 	165.19827	+49.90187	SAB0    	 9.966	 0.02580	Gas-mis                	F, G, O    	           	  1	Simbad	NED
     177	1-149496 	172.62193	+50.76527	SB0a    	10.110	 0.02614	Gas-mis                	F, G, O    	B          	  1	Simbad	NED
     178	1-152632 	116.49262	+29.71540	Sa      	10.189	 0.02387	Gas-mis                	V, G, O    	E          	  1	Simbad	NED
     179	1-152700 	116.53439	+31.01993	E       	10.795	 0.05919	Gas-mis                	Cl, G, O   	           	  1	Simbad	NED
     180	1-153254 	119.02304	+33.74454	Edc     	11.347	 0.07429	Gas-mis                	Cl, G, O   	           	  1	Simbad	NED
     181	1-153402 	121.98828	+34.22732	S0      	 9.802	 0.02177	Gas-mis                	Sh, P, G   	T, LSB     	  0	Simbad	NED
     182	1-1655   	152.56721	-00.07479	E       	11.259	 0.09646	Gas-mis                	Cl, G      	T, Sh      	  0	Simbad	NED
     183	1-167582 	154.48083	+46.60327	SABab   	10.100	 0.02996	Gas-mis                	Sh, G, O   	           	  1	Simbad	NED
     184	1-174119 	169.28712	+48.53876	S0      	10.086	 0.02522	Gas-mis                	F, G, O    	           	  1	Simbad	NED
     185	1-1756   	155.43533	-00.67215	Edc     	11.445	 0.09594	Gas-mis                	F, G       	T, Sh      	  0	Simbad	NED
     186	1-175911 	184.74856	+51.27841	E       	11.126	 0.04738	Gas-mis                	Cl, G      	C          	  0	Simbad	NED
     187	1-176422 	254.05436	+33.59057	E       	10.739	 0.05604	Gas-mis                	F, G, O    	           	  1	Simbad	NED
     188	1-177974 	259.60040	+29.70577	Edc     	10.146	 0.02861	Gas-mis                	F, G       	           	  0	Simbad	NED
     189	1-178824 	311.65878	+00.33935	SB0     	 9.771	 0.01262	Gas-mis                	V, G       	B          	  1	Simbad	NED
