#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:26:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:26:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	Nd	(I3)	Number of data available for this galaxy (apparent magnitudes + velocities + kinematics + distances, in tables 3--6)	[ucd=meta.number]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	a26	(F6.2)	[0.1/645.65]? Major angular diameter (1)	[ucd=phys.angSize]
#Column	b/a	(F5.2)	[0/1]? Apparent axial ratio (1)	[ucd=phys.angSize;arith.ratio]
#Column	AB	(F5.2)	[0.01/7.88]? Galactic extinction in B band (2)	[ucd=phys.absorption.gal]
#Column	l_FUV	(A1)	[>] Lower limit flag on FUV	[ucd=meta.code.error]
#Column	FUV	(F5.2)	[8.21/24.56]? GALEX/FUV band magnitude (3)	[ucd=phot.mag;em.UV]
#Column	Bmag	(F5.2)	[-4.6/21.4]? Apparent integral B band magnitude (4)	[ucd=phot.mag;em.opt.B]
#Column	l_Hamag	(A1)	[>] Lower limit flag on Hamag	[ucd=meta.code.error]
#Column	Hamag	(F5.2)	[3.79/27.87]? Integral H{alpha} line emission magnitude (5)	[ucd=phot.flux;em.line.Halpha]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	f_Kmag	(A1)	[*] Estimated Kmag (7)	[ucd=meta.code]
#Column	l_HImag	(A1)	[>] Lower limit flag on HImag	[ucd=meta.code.error]
#Column	HImag	(F6.2)	[-3.35/21.5]? HI 21cm line magnitude (8)	[ucd=phot.mag;em.radio.750-1500MHz]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	Mcl	(a5)	Dwarf galaxy morphology (BCD, HIcld, Im, Ir, S0em, Sm, Sph, Tr, dE, dEem, or dS0em) (11)	[ucd=src.morph.type]
#Column	Tdw	(A1)	Dwarf galaxy surface brightness morphology (H=high, N=normal, L=low, X=extremely low) (11)	[ucd=meta.code;src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
#Column	A26	(F5.2)	? Major linear diameter (13)	[ucd=phys.size.diameter]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	ABi	(F5.2)	[0/1.25]? Internal B band extinction (15)	[ucd=phys.absorption;em.opt.B]
#Column	BMag	(F5.1)	[-21.8/-0.6]? Absolute B band magnitude (16)	[ucd=phys.magAbs;em.opt.B]
#Column	<Bmu>	(F4.1)	? Average B band surface brightness (17)	[ucd=phot.mag.sb;em.opt.B]
#Column	KLum	(F5.2)	[3.19/11.3]? log(luminosity) in Ks band (18)	[ucd=phys.luminosity;em.IR.K]
#Column	M26	(F5.2)	? log(mass) within Holmberg radius (19)	[ucd=phys.mass]
#Column	l_MHI	(A1)	[<] Upper limit flag on MHI	[ucd=meta.code.error]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti1	(F4.1)	[-3/6.5]? Tidal index {Theta}_1_ (22)	[ucd=src.class.struct]
#Column	MD	(a15)	Main disturber name (23)	[ucd=meta.id.assoc]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
#Column	Tij	(F5.2)	[-2.7/2.4]? Ks-density index {Theta}_j_ (25)	[ucd=src.class.struct]
#Column	K+04	(I3)	Cross-match with the Catalog of neighboring galaxies of Karachentsev et al. (2004, cat. J/AJ/127/2031) within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(a29)	Simbad column added by the CDS	[ucd=meta.id]
recno	Name	Nd	RAJ2000	DEJ2000	a26	b/a	AB	l_FUV	FUV	Bmag	l_Hamag	Hamag	Kmag	f_Kmag	l_HImag	HImag	W50	TT	Mcl	Tdw	HRV	Dist	f_Dist	A26	i	vAmp	ABi	BMag	<Bmu>	KLum	M26	l_MHI	MHI	Vlg	Ti1	MD	Ti5	Tij	K+04	SimbadName	NEDname
     224	NGC2683           	  8	08 52 40.9	+33 25 02	 13.49	 0.24	 0.14	 	14.40	10.34	 	14.71	 6.33	 	 	 12.93	428	 3	     	 	 411	 7.73	SBF 	29.52	90	202	 1.12	-20.4	23.3	10.60	11.14	 	 8.94	 365	 0.0	KK70           	 0.2	-1.30	  1	NGC2683                      	NGC2683
     225	KK69              	  7	08 52 50.7	+33 47 52	  1.38	 0.76	 0.13	 	20.84	17.40	 	22.62	14.93	*	 	 16.50	 13	10	Ir   	L	 462	 7.70	mem 	 3.15	46	  3	 0.00	-12.2	26.6	 7.12	 6.65	 	 7.51	 418	 3.3	NGC2683        	 3.3	 1.35	  1	[KK98a] 69                   	[KK98a] 69
     226	KK70              	  5	08 55 22.0	+33 33 33	  0.50	 0.97	 0.13	>	23.00	17.70	 	24.53	13.48	*	>	 18.20	   	-3	Sph  	L	    	 7.70	mem 	 1.17	17	   	 0.00	-11.9	24.8	 7.70	     	<	 6.83	    	 2.9	NGC2683        	 2.9	 1.35	  1	[KK98a] 70                   	[KK98a] 70
     227	UGC04704          	  7	08 59 00.3	+39 12 36	  4.37	 0.11	 0.13	 	16.11	15.00	 	18.56	11.91	*	 	 14.27	132	 8	     	 	 599	15.20	TF  	18.17	90	 57	 0.40	-16.4	26.2	 8.93	 9.84	 	 8.99	 584	-2.3	NGC2964        	-1.8	     	  0	UGC04704                     	UGC04704
     228	LSBC D564-08      	  7	09 02 54.0	+20 04 31	  0.72	 0.71	 0.12	 	18.99	17.90	>	24.61	15.44	*	 	 16.72	 49	10	Ir   	L	 483	 8.67	TRGB	 1.85	51	 26	 0.00	-11.9	25.7	 7.02	 8.16	 	 7.52	 366	-0.3	NGC2903        	-0.2	-1.94	  1	ESDO 564-08                  	ESDO 564-08
     229	ESO497-004        	  7	09 03 03.1	-23 48 30	  1.12	 0.23	 1.01	 	19.16	16.36	 	20.76	12.79	*	 	 15.49	 95	 8	     	 	 806	19.00	TF  	 7.28	79	 42	 0.05	-16.1	24.5	 8.79	 9.18	 	 8.69	 519	-0.9	NGC2613        	-0.7	     	  0	ESO497-004                   	ESO497-004
     230	HIPASS J0905-36   	  5	09 06 00.0	-36 03 36	  0.50	 0.75	 1.82	>	23.00	17.40	 	     	13.38	*	 	 15.42	 70	10	Ir   	N	 886	 7.93	h   	 1.69	47	 42	 0.01	-13.9	23.5	 7.82	 8.53	 	 7.96	 579	-1.3	ESO314-002     	-0.9	-1.49	  0	HIPASS J0905-36              	HIPASS J0905-36
     231	UGC04787          	  7	09 07 34.9	+33 16 36	  2.45	 0.28	 0.10	 	16.19	14.60	 	18.41	11.69	*	 	 15.29	130	 8	     	 	 553	20.30	TF  	14.08	76	 58	 0.24	-17.3	24.8	 9.26	 9.74	 	 8.83	 504	-1.9	PGC2020885     	-1.5	-0.90	  0	UGC04787                     	UGC04787
     232	KKH46             	  6	09 08 36.6	+05 17 32	  0.60	 0.86	 0.20	 	18.14	17.05	 	19.55	14.52	*	 	 16.36	 25	10	Ir   	N	 598	 5.60	h   	 1.02	34	  7	 0.00	-11.9	24.5	 7.01	 6.78	 	 7.28	 409	-1.9	NGC2903        	-1.4	     	  1	[KKH2001] 46                 	[KKH2001] 46
     233	LSBC D634-03      	  7	09 08 53.5	+14 34 55	  0.47	 0.88	 0.16	 	21.10	17.50	>	24.86	15.00	*	 	 18.99	 47	10	Ir   	N	 335	 9.55	TRGB	 1.34	32	 37	 0.00	-12.6	24.4	 7.28	 8.32	 	 6.70	 189	-0.7	NGC2903        	-0.7	     	  1	ESDO 634-03                  	ESDO 634-03
     234	KK71              	  4	09 09 10.9	-23 22 04	  0.40	 0.78	 0.77	 	21.14	17.70	 	     	12.90	*	>	 18.20	   	-3	Sph  	N	    	 9.80	mem 	 1.41	48	   	 0.00	-13.0	24.0	 8.16	     	<	 7.03	    	 2.0	NGC2784        	 2.1	 1.65	  1	[KK98a] 71                   	[KK98a] 71
     235	DDO056            	  6	09 09 46.6	-23 00 33	  1.29	 0.70	 0.72	 	     	15.63	 	19.46	12.60	*	 	 16.13	 79	10	Ir   	N	 724	 9.80	mem 	 4.23	52	 44	 0.02	-15.1	24.4	 8.28	 8.97	 	 7.86	 438	 1.8	NGC2784        	 1.8	 1.65	  1	DDO056                       	DDO056
     236	KK72              	  4	09 11 42.3	-23 58 56	  0.45	 0.83	 0.80	 	23.74	18.00	 	     	13.17	*	>	 18.20	   	-3	Sph  	L	    	 9.80	mem 	 1.60	41	   	 0.00	-12.8	24.6	 8.05	     	<	 7.03	    	 3.9	NGC2784        	 3.9	 1.65	  1	[KK98a] 72                   	[KK98a] 72
     237	NGC2784 dw01      	  4	09 12 18.5	-24 12 40	  0.89	 0.89	 0.89	>	23.00	17.27	 	     	12.36	*	>	 18.20	   	-3	Sph  	L	    	 9.80	mem 	 3.29	33	   	 0.00	-13.6	25.3	 8.38	     	<	 7.03	    	 5.0	NGC2784        	 5.1	 1.65	  1	NAME NGC 2784 DW1            	NAME NGC 2784 DW1
     238	NGC2784           	  6	09 12 19.4	-24 10 18	  5.50	 0.40	 0.93	 	16.73	11.24	 	16.91	 6.33	 	 	      	   	-2	     	 	 687	 9.82	SBF 	19.27	90	   	 0.00	-19.7	23.1	10.80	     	 	     	 398	 3.1	KK73           	 3.2	 0.99	  1	NGC2784                      	NGC2784
     239	KK73              	  5	09 12 29.3	-24 14 28	  0.62	 0.62	 0.85	 	20.67	16.35	 	     	10.62	 	>	 18.20	   	-3	Sph  	N	    	 9.80	mem 	 2.22	68	   	 0.00	-14.5	23.6	 9.08	     	<	 7.03	    	 4.8	NGC2784        	 4.8	 1.64	  1	[KK98a] 73                   	[KK98a] 73
     240	UGCA153           	  7	09 13 12.1	-19 24 31	  2.24	 0.60	 0.38	 	17.07	15.40	 	19.31	12.36	*	 	 14.89	111	 8	     	 	 766	21.90	TF  	15.17	54	 59	 0.10	-16.8	25.4	 9.07	 9.79	 	 9.06	 489	-1.7	NGC2613        	-1.4	     	  1	UGCA153                      	UGCA153
     241	LV J0913+1937     	  5	09 13 39.0	+19 37 08	  0.54	 0.45	 0.19	 	18.94	17.40	 	     	14.88	*	 	 17.90	 25	10	Ir   	N	 445	 4.43	h   	 0.70	79	  3	 0.00	-11.0	24.5	 6.66	 5.98	 	 6.47	 324	-1.7	MESSIER081     	-1.3	     	  0	[KMK2013] LV J0913+1937      	[KMK2013] LV J0913+1937
     242	AGC198507         	  6	09 15 25.8	+25 25 10	  0.20	 0.75	 0.14	 	19.96	18.60	 	     	16.12	*	 	 17.82	 37	 9	BCD  	N	 502	21.70	TF  	 1.29	47	 19	 0.00	-13.2	23.6	 7.54	 7.71	 	 7.88	 411	-2.5	NGC3032        	-1.9	     	  0	AGC198507                    	AGC198507
     243	UGC04879          	  8	09 16 02.2	+52 50 24	  3.24	 0.56	 0.07	 	15.97	13.80	 	20.61	11.50	 	 	 16.54	 14	 9	BCD  	N	 -25	 1.36	TRGB	 1.27	66	  3	 0.00	-11.9	24.9	 6.98	 6.05	 	 5.98	  33	-0.7	MESSIER031     	-0.3	-2.32	  0	UGC04879                     	UGC04879
     244	HIPASS J0916-23b  	  7	09 16 58.0	-23 16 47	  0.66	 0.37	 0.47	 	18.32	15.84	 	20.77	13.06	*	 	 17.12	 40	10	Ir   	N	 837	10.30	mem 	 2.11	90	 15	 0.00	-14.7	23.2	 8.13	 7.76	 	 7.51	 550	 1.5	NGC2835        	 1.6	 1.65	  0	HIPASS J0916-23b             	HIPASS J0916-23b
     245	NGC2835           	  8	09 17 52.9	-22 21 19	  8.91	 0.67	 0.44	 	13.20	11.01	 	13.66	 7.92	 	 	 12.54	194	 5	     	 	 885	10.30	TF  	28.90	49	113	 0.20	-19.7	23.9	10.19	10.63	 	 9.34	 600	 0.5	NGC2784        	 0.5	 1.56	  0	NGC2835                      	NGC2835
     246	NGC2787           	  8	09 19 18.6	+69 12 12	  3.31	 0.63	 0.56	 	18.94	11.82	 	19.21	 7.26	 	 	 14.12	358	 1	     	 	 700	 7.48	SBF 	 7.99	55	203	 0.36	-18.5	22.4	10.19	10.58	 	 8.43	 842	-1.7	NGC2841        	-1.1	-0.55	  1	NGC2787                      	NGC2787
     247	LSBC D565-06      	  7	09 19 29.4	+21 36 12	  0.60	 0.86	 0.17	 	20.58	17.30	>	25.61	14.79	*	 	 18.77	 14	10	Ir   	N	 498	 9.08	TRGB	 1.64	34	  4	 0.00	-12.7	24.7	 7.32	 6.58	 	 6.74	 386	 0.7	NGC2903        	 0.7	 1.56	  1	ESDO 565-06                  	ESDO 565-06
     248	UGC04932          	  7	09 19 34.1	+51 06 33	  1.86	 0.32	 0.07	 	17.06	15.17	 	     	13.15	 	 	 15.59	110	 8	     	 	 549	20.60	TF  	10.82	73	 50	 0.13	-16.6	24.9	 8.69	 9.50	 	 8.72	 597	-1.7	NGC2950        	-1.3	     	  0	UGC04932                     	UGC04932
     249	DDO062            	  7	09 21 27.5	-22 30 02	  2.51	 0.24	 0.29	 	16.68	14.80	 	18.28	11.72	*	 	 13.85	124	 8	     	 	 846	18.60	TF  	13.67	79	 55	 0.23	-17.1	24.9	 9.18	 9.68	 	 9.33	 560	-1.5	NGC2613        	-1.1	     	  0	DDO062                       	DDO062
     250	AGC198508         	  6	09 22 57.0	+24 56 48	  0.38	 0.57	 0.16	 	18.34	17.80	 	     	15.30	*	 	 18.48	 29	10	Ir   	N	 519	10.40	TF  	 1.16	65	  9	 0.00	-12.5	24.2	 7.23	 7.01	 	 6.97	 424	-0.8	NGC2903        	-0.7	     	  0	AGC198508                    	AGC198508
     251	ESO565-003        	  6	09 23 09.9	-20 10 03	  0.72	 0.67	 0.27	 	17.49	15.53	 	19.39	12.93	*	 	 16.90	 31	10	Ir   	N	 829	 7.52	h   	 1.65	55	 12	 0.00	-14.1	23.3	 7.90	 7.41	 	 7.32	 549	-1.3	NGC2784        	-1.0	-1.84	  1	ESO565-003                   	ESO565-003
     252	MCG +09-16-010    	  3	09 23 17.0	+51 58 23	  0.92	 0.78	 0.07	 	17.46	16.20	 	     	13.54	*	 	      	   	 8	     	 	 484	 7.35	h   	 1.98	39	   	 0.00	-13.2	24.6	 7.63	     	 	     	 537	-1.1	NGC2841        	-0.8	-1.98	  0	MCG +09-16-010               	MCG +09-16-010
     253	UGC04998          	  8	09 25 12.1	+68 22 59	  1.78	 0.62	 0.25	 	18.44	15.00	 	19.54	11.11	 	 	 17.81	 89	 9	BCD  	N	 632	 8.24	TRGB	 4.41	60	 45	 0.03	-14.9	24.7	 8.71	 9.01	 	 7.04	 770	-0.4	NGC2787        	-0.4	 0.94	  0	UGC04998                     	UGC04998
     254	LV J0926+3343     	  6	09 26 09.4	+33 43 04	  0.85	 0.24	 0.08	 	18.14	17.80	 	     	15.13	*	 	 16.39	 47	 8	     	 	 540	19.70	TF  	 4.69	79	 20	 0.00	-13.8	25.9	 7.85	 8.33	 	 8.37	 492	-1.5	NGC3003        	-1.1	-0.90	  0	[KMK2013] LV J0926+3343      	[KMK2013] LV J0926+3343
     255	NGC2915           	  8	09 26 11.5	-76 37 35	  2.00	 0.53	 1.19	 	15.65	13.20	 	15.99	 9.70	 	 	 12.38	153	 9	BCD  	H	 467	 3.78	TRGB	 2.77	69	 71	 0.18	-16.1	22.5	 8.63	 9.21	 	 8.54	 191	-1.1	CIRCINUS       	-0.7	-2.23	  1	NGC2915                      	NGC2915
     256	[CKT2009]d0926+70 	  4	09 26 27.9	+70 30 24	  0.40	 0.75	 0.99	 	22.27	19.00	 	     	15.74	*	>	 19.69	   	10	Tr   	L	    	 3.93	TRGB	 0.56	47	   	 0.00	-10.0	25.1	 6.24	     	<	 5.64	    	 1.3	MESSIER081     	 1.5	 1.87	  0	[CKT2009] dJ0926+70          	[CKT2009] dJ0926+70
     257	UGC05047          	  5	09 28 49.6	+51 33 38	  1.62	 0.28	 0.06	 	     	16.00	 	     	13.00	*	 	 17.01	104	 7	     	 	 502	19.68	TF  	 8.93	76	 47	 0.11	-15.6	25.4	 8.71	 9.35	 	 8.12	 552	-1.5	NGC2950        	-1.1	     	  0	UGC05047                     	UGC05047
     258	KDG056            	  7	09 30 12.9	+19 59 30	  0.68	 0.80	 0.19	 	19.56	17.02	 	24.70	14.50	*	 	 17.64	 25	10	Ir   	L	 561	 8.90	mem 	 1.81	41	  4	 0.00	-12.9	24.7	 7.42	 6.57	 	 7.17	 441	 1.7	NGC2903        	 1.7	 1.56	  1	KDG056                       	KDG056
     259	NGC2903-HI-1      	  6	09 30 39.9	+21 43 25	  0.27	 0.75	 0.13	 	20.81	18.20	 	     	15.73	*	 	 19.53	 24	10	Ir   	N	 582	 8.90	mem 	 0.71	47	  3	 0.00	-11.7	23.9	 6.92	 5.99	 	 6.42	 470	 3.3	NGC2903        	 3.3	 1.56	  0	[IHS2009] N2903-HI-1         	[IHS2009] N2903-HI-1
     260	NGC2903           	  8	09 32 09.6	+21 30 02	 12.59	 0.48	 0.13	 	12.61	 9.53	 	13.21	 6.04	 	 	 11.96	366	 4	     	 	 556	 8.87	BS  	32.45	64	189	 0.55	-20.9	23.0	10.82	11.13	 	 9.44	 443	 1.7	UGC05086       	 1.7	-0.80	  1	NGC2903                      	NGC2903
     261	ESO373-007        	  6	09 32 45.4	-33 14 44	  1.29	 0.54	 0.58	 	19.48	16.40	 	     	13.52	*	 	 16.21	 44	10	Ir   	L	 862	 8.30	TF  	 3.44	68	 19	 0.00	-13.8	25.2	 7.76	 8.16	 	 7.69	 556	-1.2	NGC2784        	-0.7	-1.43	  0	ESO373-007                   	ESO373-007
     262	UGC05086          	  5	09 32 48.9	+21 27 54	  0.98	 0.90	 0.14	>	23.00	16.36	 	25.10	12.13	*	 	      	   	-3	Sph  	N	 491	 8.90	mem 	 2.63	31	   	 0.00	-13.5	24.9	 8.36	     	 	     	 378	 4.1	NGC2903        	 4.1	 1.56	  1	UGC05086                     	UGC05086
     263	[CKT2009]d0934+70 	  3	09 34 03.7	+70 12 57	  0.59	 0.86	 1.11	 	22.30	19.30	 	     	14.18	*	 	      	   	-3	Sph  	X	    	 3.66	TRGB	 0.87	37	   	 0.00	 -9.6	26.4	 6.80	     	 	     	    	 2.5	MESSIER081     	 2.6	 1.90	  0	[CKT2009] dJ0934+70          	[CKT2009] dJ0934+70
     264	CGCG 035-007      	  7	09 34 44.9	+06 25 32	  1.07	 0.63	 0.18	 	17.49	15.22	 	19.43	12.68	*	 	 15.98	 89	 9	BCD  	N	 552	13.00	TF  	 4.14	59	 45	 0.03	-15.6	23.8	 8.48	 8.99	 	 8.17	 366	-1.6	NGC3169        	-1.1	     	  0	MCG+01-25-003                	MCG+01-25-003
     265	LeoT              	  7	09 34 53.4	+17 03 05	  2.09	 0.71	 0.13	 	19.53	16.50	>	21.79	14.03	*	 	 14.85	 15	10	Ir   	L	  39	 0.42	TRGB	 0.26	51	  3	 0.00	 -6.7	26.6	 4.94	 5.49	 	 5.63	 -97	 0.7	Milky Way      	 0.8	 1.72	  0	LEO T                        	LEO T
     266	LV J0935-1348     	  4	09 35 21.6	-13 48 52	  0.42	 0.75	 0.19	 	18.56	16.60	 	     	14.08	*	>	 17.40	   	 9	BCD  	N	 796	 7.30	h   	 0.91	47	   	 0.00	-12.9	23.2	 7.42	     	<	 7.10	 533	-1.3	NGC3115        	-1.0	-1.35	  0	[KMK2013] LV J0935-1348      	[KMK2013] LV J0935-1348
     267	[CKT2009]d0939+71 	  3	09 39 15.9	+71 18 42	  0.35	 0.85	 0.17	 	24.56	19.60	 	     	17.09	*	 	      	   	10	Tr   	L	    	 3.63	TRGB	 0.38	35	   	 0.00	 -8.4	25.8	 5.60	     	 	     	    	 2.3	MESSIER081     	 2.5	 1.90	  0	[CKT2009] dJ0939+71          	[CKT2009] dJ0939+71
     268	LV J0939-2507     	  5	09 39 35.0	-25 07 35	  0.63	 0.57	 0.25	 	     	15.50	 	19.03	12.92	*	 	 17.30	 56	10	Ir   	N	 741	 6.15	h   	 1.17	65	 26	 0.00	-13.7	23.0	 7.73	 7.97	 	 6.99	 449	-1.9	NGC3621        	-1.3	-2.04	  0	[KMK2013] LV J0939-2507      	[KMK2013] LV J0939-2507
     269	KISSB023          	  6	09 40 12.7	+29 35 29	  0.83	 0.34	 0.08	 	17.01	16.32	 	     	13.90	*	 	 16.62	 77	10	Ir   	N	 544	19.80	TF  	 4.67	90	 33	 0.00	-15.2	24.4	 8.35	 8.78	 	 8.28	 474	-1.0	NGC3032        	-0.5	 0.38	  0	KISSB023                     	KISSB023
     270	KUG 0937+480      	  3	09 40 19.6	+47 46 38	  0.85	 0.36	 0.07	 	18.34	17.00	 	     	14.59	*	 	      	   	 9	Im   	N	 546	 7.88	h   	 1.90	90	   	 0.00	-12.6	25.2	 7.27	     	 	     	 575	-0.8	NGC2841        	-0.6	-1.47	  0	KUG 0937+480                 	KUG 0937+480
     271	KDG058            	  3	09 40 27.0	+00 02 33	  0.66	 0.78	 0.25	 	20.04	17.20	 	     	14.62	*	 	      	   	10	Ir   	L	    	10.00	txt 	 2.01	44	   	 0.00	-13.1	24.8	 7.47	     	 	     	    	-0.7	NGC3115        	-0.6	-2.43	  0	KDG058                       	KDG058
     272	HolmI             	  8	09 40 32.3	+71 11 11	  4.57	 0.81	 0.21	 	15.00	13.64	 	17.48	11.20	 	 	 13.72	 29	10	Ir   	N	 139	 3.84	TRGB	 5.29	40	 12	 0.00	-14.5	25.4	 8.01	 7.95	 	 8.01	 291	 1.7	MESSIER081     	 1.8	 1.87	  1	Holmberg I                   	Holmberg I
     273	UGC05186          	  7	09 42 59.8	+33 15 52	  1.38	 0.23	 0.06	 	18.39	16.27	 	23.47	13.87	*	 	 16.97	 34	10	Ir   	N	 546	 8.30	TF  	 3.18	90	 12	 0.00	-13.4	25.4	 7.61	 7.70	 	 7.38	 496	-1.0	NGC2683        	-0.6	     	  1	UGC05186                     	UGC05186
     274	LV J0944-2254     	  3	09 44 20.1	-22 54 58	  0.32	 0.76	 0.33	 	     	16.83	 	     	14.18	*	>	 17.40	   	 9	BCD  	N	 729	 6.05	h   	 0.59	46	   	 0.00	-12.4	22.8	 7.22	     	<	 6.94	 442	-1.6	LV J0939-2507  	-1.1	-1.53	  0	[KMK2013] LV J0944-2254      	[KMK2013] LV J0944-2254
     275	[CKT2009]d0944+69 	  3	09 44 22.5	+69 12 40	  0.20	 0.99	 0.41	>	23.00	21.00	 	     	16.52	*	 	      	   	-3	Sph  	X	    	 3.98	TRGB	 0.26	10	   	 0.00	 -7.4	26.0	 5.92	     	 	     	    	 1.3	MESSIER081     	 1.5	 1.87	  0	[CKT2009] dJ0944+69          	[CKT2009] dJ0944+69
     276	[CKT2009]d0944+71 	  4	09 44 34.4	+71 28 57	  0.89	 0.62	 0.14	 	24.21	16.70	 	     	12.47	*	>	 19.76	   	-1	Tr   	L	    	 3.39	TRGB	 0.89	60	   	 0.00	-11.1	25.0	 7.39	     	<	 5.49	    	 1.8	MESSIER082     	 2.0	 1.90	  0	[CKT2009] dJ0944+71          	[CKT2009] dJ0944+71
     277	IC0559            	  7	09 44 43.9	+09 36 55	  1.32	 0.74	 0.12	 	16.68	14.98	 	19.04	12.52	*	 	 15.69	 67	 9	BCD  	N	 541	 9.40	TF  	 3.66	48	 39	 0.00	-15.0	24.1	 8.25	 8.81	 	 8.00	 370	-1.1	NGC2903        	-0.7	     	  0	IC0559                       	IC0559
     278	F8D1              	  6	09 44 50.0	+67 28 32	  2.19	 0.91	 0.41	>	23.00	15.70	 	22.91	11.22	*	>	 18.20	   	-3	Sph  	L	-125	 3.77	TRGB	 2.70	29	   	 0.00	-12.6	25.9	 7.99	     	<	 6.20	   8	 2.2	MESSIER081     	 2.3	 1.90	  1	NAME F8D1                    	NAME F8D1
     279	UGC05209          	  6	09 45 04.2	+32 14 18	  0.83	 0.96	 0.08	 	18.23	16.06	 	21.29	13.64	*	 	 17.05	 32	10	Ir   	N	 535	 6.56	h   	 1.61	18	 32	 0.00	-13.1	24.2	 7.49	 8.29	 	 7.15	 479	-1.1	NGC2683        	-0.8	-0.84	  1	UGC05209                     	UGC05209
     280	FM1               	  5	09 45 10.0	+68 45 54	  0.89	 0.89	 0.31	>	23.00	17.50	 	24.25	13.12	*	>	 18.20	   	-3	Sph  	L	    	 3.40	TRGB	 0.96	33	   	 0.00	-10.5	25.8	 7.14	     	<	 6.12	    	 2.1	MESSIER082     	 2.3	 1.90	  1	[FM2000b] cand 1             	[FM2000b] cand 1
     281	RKK1610           	  5	09 45 24.8	-48 08 29	  0.93	 0.68	 2.08	 	     	16.90	 	     	12.63	*	 	 15.01	 79	10	Ir   	L	 882	14.90	TF  	 6.25	54	 43	 0.02	-16.1	24.2	 8.68	 9.12	 	 8.67	 566	-2.3	NGC2997        	-1.7	     	  0	RKK1610                      	RKK1610
     282	NGC2976           	  8	09 47 15.6	+67 54 49	  5.75	 0.46	 0.30	 	13.77	11.01	 	14.45	 7.53	 	 	 13.52	 91	 7	     	 	   6	 3.56	TRGB	 6.17	64	 44	 0.04	-17.1	23.2	 9.42	 9.15	 	 8.03	 142	 2.9	MESSIER081     	 3.0	 1.89	  1	NGC2976                      	NGC2976
