#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:45 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:45	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/768/172/table3&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17680172
#Name: J/ApJ/768/172
#Title: Kinematic analysis of red giant in M31 dSphs (Collins+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/768/172	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/768/172	    IVOID of underlying data collection
#INFO	creator=Collins M.L.M.	    First author or institution
#INFO	cites=bibcode:2013ApJ...768..172C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/768/172	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17680172	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_768_172_table3:
#Name: J/ApJ/768/172/table3
#Title: Details of probable dSph members
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Gal	(a10)	Field (dwarf spheroidal) name	[ucd=meta.id.parent]
#Column	m_Gal	(A1)	[ab] Index in case of multiple observations	[ucd=meta.code.multip]
#Column	ID	(I3)	[1/172] Star identifier in Gal	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	gmag	(F6.3)	[21.4/25] The CFHT/MegaCam g-band magnitude	[ucd=phot.mag;em.opt.B]
#Column	imag	(F6.3)	[20.3/24] The CFHT/MegaCam i-band magnitude	[ucd=phot.mag;em.opt.I]
#Column	HRV	(F7.2)	[-604.5/918.2] Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(F6.2)	[1.2/227] Error in HRV	[ucd=stat.error]
#Column	S/N	(F6.3)	[0.3/17] Signal-to-noise (per Angstrom)	[ucd=stat.snr]
#Column	Pi	(F6.3)	[0/1] Likelihood of membership (1)	[ucd=stat.likelihood]
#Column	Obs	(A3)	Details of this observation	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	Gal	m_Gal	ID	RAJ2000	DEJ2000	gmag	imag	HRV	e_HRV	S/N	Pi	Obs	Simbad
     161	And XXI   	 	 80	23 54 43.09	+42 24 54.6	23.634	22.508	-372.83	 10.03	 1.425	 0.741	Obs	Simbad
     162	And XXI   	 	 81	23 54 53.16	+42 27 25.2	23.845	22.751	-362.19	  4.62	 1.709	 0.982	Obs	Simbad
     163	And XXI   	 	 83	23 54 42.35	+42 26 25.9	23.873	22.565	-355.06	  4.36	 2.041	 0.916	Obs	Simbad
     164	And XXI   	 	 84	23 54 52.10	+42 26 50.6	23.896	22.783	-351.87	  7.57	 1.776	 0.914	Obs	Simbad
     165	And XXI   	 	 86	23 54 41.22	+42 26 59.9	23.938	22.762	-387.53	 11.15	 1.608	 0.809	Obs	Simbad
     166	And XXI   	 	 88	23 54 52.69	+42 26 23.0	24.013	22.842	-377.71	  6.84	 1.662	 0.764	Obs	Simbad
     167	And XXI   	 	 92	23 54 52.10	+42 25 43.4	24.197	22.969	-340.78	  9.40	 1.220	 0.407	Obs	Simbad
     168	And XXII  	 	 10	01 27 23.05	+28 04 12.6	23.403	22.642	-130.40	 14.20	 2.080	 0.001	Obs	Simbad
     169	And XXII  	 	 24	01 27 43.63	+28 04 52.0	24.413	23.340	-129.40	  8.30	 0.817	 0.685	Obs	Simbad
     170	And XXII  	 	 29	01 27 47.09	+28 04 58.5	24.060	23.020	-130.80	  9.20	13.709	 0.317	Obs	Simbad
     171	And XXII  	 	 33	01 27 49.90	+28 05 08.6	24.139	23.131	 918.14	226.60	 1.168	 0.004	Obs	Simbad
     172	And XXII  	 	 42	01 27 40.26	+28 05 20.2	23.930	22.880	-131.90	  3.80	 1.197	 0.996	Obs	Simbad
     173	And XXII  	 	 53	01 27 35.21	+28 05 29.9	22.880	21.650	-113.20	  1.90	 8.386	 0.039	Obs	Simbad
     174	And XXII  	 	 57	01 27 41.10	+28 05 34.4	22.880	21.650	-130.70	  3.70	 8.386	 0.688	Obs	Simbad
     175	And XXII  	 	 60	01 27 35.48	+28 05 37.2	23.390	22.150	-125.60	  6.00	 8.386	 0.220	Obs	Simbad
     176	And XXII  	 	 76	01 27 37.34	+28 05 54.4	24.362	23.244	-119.00	 16.95	 0.924	 0.564	Obs	Simbad
     177	And XXII  	 	 77	01 27 37.77	+28 05 54.4	23.050	21.660	-128.60	  3.70	 0.924	 0.282	Obs	Simbad
     178	And XXII  	 	 86	01 27 55.63	+28 06 18.0	24.270	23.040	-133.90	  3.20	 0.924	 0.006	Obs	Simbad
     179	And XXII  	 	 95	01 27 34.17	+28 06 30.9	23.550	22.290	-129.50	  5.40	 0.924	 0.084	Obs	Simbad
     180	And XXIII 	a	 11	01 29 45.58	+38 37 54.3	23.361	22.008	-248.86	  5.18	 1.347	 0.262	Obs	Simbad
     181	And XXIII 	a	 20	01 29 30.89	+38 38 26.4	22.882	21.326	-233.45	  2.96	 3.416	 0.185	Obs	Simbad
     182	And XXIII 	a	 24	01 29 39.46	+38 38 54.9	22.955	21.718	-243.08	  4.49	 2.024	 0.010	Obs	Simbad
     183	And XXIII 	a	 32	01 29 33.59	+38 39 19.0	23.112	21.743	-234.42	  3.89	 2.149	 0.151	Obs	Simbad
     184	And XXIII 	a	 40	01 29 23.31	+38 39 52.0	23.077	21.690	-244.38	  4.40	 2.253	 0.206	Obs	Simbad
     185	And XXIII 	a	 49	01 29 24.59	+38 40 23.8	23.665	22.530	-243.44	  8.15	 0.978	 0.392	Obs	Simbad
     186	And XXIII 	a	 52	01 29 33.17	+38 40 38.6	23.299	22.026	-243.89	  3.67	 1.705	 0.193	Obs	Simbad
     187	And XXIII 	a	 56	01 29 42.22	+38 40 47.0	23.030	21.725	-245.48	  3.65	 2.164	 0.051	Obs	Simbad
     188	And XXIII 	a	 66	01 29 32.28	+38 41 29.7	22.991	21.569	-241.42	  4.13	 3.304	 0.053	Obs	Simbad
     189	And XXIII 	a	 67	01 29 15.79	+38 41 30.6	23.595	22.390	  39.22	 73.20	 1.102	 0.001	Obs	Simbad
     190	And XXIII 	a	 73	01 29 26.06	+38 42 01.4	23.155	21.765	-256.95	  3.70	 2.243	 0.281	Obs	Simbad
     191	And XXIII 	a	 80	01 29 24.54	+38 42 36.2	23.669	22.438	-256.26	  5.61	 1.108	 0.490	Obs	Simbad
     192	And XXIII 	a	 84	01 29 21.85	+38 42 56.6	23.097	21.775	-239.55	  4.55	 2.275	 0.119	Obs	Simbad
     193	And XXIII 	a	 85	01 29 28.45	+38 43 03.5	22.761	21.187	-241.88	  2.56	 3.895	 0.037	Obs	Simbad
     194	And XXIII 	a	 86	01 29 15.61	+38 43 06.3	22.806	21.270	-245.32	  2.77	 3.603	 0.181	Obs	Simbad
     195	And XXIII 	a	 88	01 29 20.91	+38 43 10.1	23.492	22.194	-252.03	  4.78	 1.678	 0.556	Obs	Simbad
     196	And XXIII 	a	106	01 29 20.94	+38 43 55.1	23.225	21.945	-238.35	  4.80	 1.995	 0.313	Obs	Simbad
     197	And XXIII 	a	108	01 29 15.92	+38 44 02.3	23.344	22.020	-224.79	  4.20	 1.856	 0.185	Obs	Simbad
     198	And XXIII 	a	116	01 29 17.26	+38 44 24.3	23.175	21.833	-259.26	  5.51	 2.043	 0.290	Obs	Simbad
     199	And XXIII 	a	119	01 29 17.10	+38 44 29.0	24.718	23.539	-604.41	 87.49	 0.820	 0.004	Obs	Simbad
     200	And XXIII 	a	128	01 29 05.72	+38 44 58.0	23.074	21.744	-252.82	  6.18	 2.075	 0.164	Obs	Simbad
     201	And XXIII 	a	140	01 28 59.25	+38 45 38.4	22.948	21.567	-251.62	  3.15	 2.799	 0.036	Obs	Simbad
     202	And XXIII 	a	159	01 28 55.14	+38 46 51.8	23.809	22.646	-250.84	  8.00	 1.328	 0.232	Obs	Simbad
     203	And XXIII 	a	166	01 28 47.09	+38 47 18.6	23.220	21.969	-213.60	  6.98	 1.752	 0.006	Obs	Simbad
     204	And XXIII 	b	  6	01 29 39.46	+38 38 54.9	22.955	21.718	-231.45	  4.11	 3.490	 0.009	Obs	Simbad
     205	And XXIII 	b	 11	01 29 45.64	+38 39 12.6	23.545	22.209	-256.15	  6.61	 1.829	 0.215	Obs	Simbad
     206	And XXIII 	b	 25	01 29 24.54	+38 40 07.7	22.792	21.213	-243.73	  2.26	 4.328	 0.099	Obs	Simbad
     207	And XXIII 	b	 47	01 29 29.86	+38 41 26.6	22.863	21.319	-248.07	  1.90	 5.365	 0.259	Obs	Simbad
     208	And XXIII 	b	 49	01 29 32.28	+38 41 29.7	22.991	21.569	-242.93	  2.67	 4.658	 0.053	Obs	Simbad
     209	And XXIII 	b	 55	01 29 24.18	+38 41 58.3	23.839	22.791	-239.01	  9.51	 1.541	 0.442	Obs	Simbad
     210	And XXIII 	b	 64	01 29 26.69	+38 42 16.1	22.797	21.337	-246.89	  1.88	 5.514	 0.077	Obs	Simbad
     211	And XXIII 	b	 65	01 29 45.06	+38 42 16.3	23.599	22.339	-234.59	  4.25	 1.956	 0.359	Obs	Simbad
     212	And XXIII 	b	 66	01 29 28.59	+38 42 26.9	23.572	22.429	-231.40	  5.35	 2.052	 0.237	Obs	Simbad
     213	And XXIII 	b	 67	01 29 24.54	+38 42 36.2	23.669	22.438	-247.20	  4.82	 2.334	 0.512	Obs	Simbad
     214	And XXIII 	b	 70	01 29 21.85	+38 42 56.6	23.097	21.775	-223.08	  4.34	 3.846	 0.024	Obs	Simbad
     215	And XXIII 	b	 71	01 29 18.88	+38 42 59.2	24.283	22.957	-238.66	  5.97	 1.330	 0.078	Obs	Simbad
     216	And XXIII 	b	 79	01 29 35.47	+38 43 35.9	24.043	22.981	-243.34	  5.22	 1.285	 0.449	Obs	Simbad
     217	And XXIII 	b	 85	01 29 28.70	+38 43 45.8	23.588	22.492	-236.55	  6.02	 2.341	 0.156	Obs	Simbad
     218	And XXIII 	b	 86	01 29 20.94	+38 43 55.1	23.225	21.945	-237.91	  3.27	 2.995	 0.313	Obs	Simbad
     219	And XXIII 	b	 91	01 29 19.91	+38 44 04.2	23.193	21.920	-236.91	  3.58	 2.846	 0.121	Obs	Simbad
     220	And XXIII 	b	 94	01 29 20.07	+38 44 15.0	22.873	21.571	-253.83	  2.80	 4.281	 0.002	Obs	Simbad
     221	And XXIII 	b	102	01 29 30.32	+38 44 59.4	23.294	22.073	-244.12	  4.09	 2.732	 0.090	Obs	Simbad
     222	And XXIII 	b	103	01 29 27.62	+38 45 03.8	24.272	23.199	-244.43	  7.08	 1.191	 0.846	Obs	Simbad
     223	And XXIII 	b	111	01 29 16.21	+38 45 26.5	23.471	22.198	-231.86	  5.10	 2.296	 0.353	Obs	Simbad
     224	And XXIII 	b	115	01 29 10.54	+38 45 41.5	23.065	21.700	-244.29	  3.27	 3.888	 0.174	Obs	Simbad
     225	And XXIII 	b	126	01 29 09.46	+38 46 18.6	23.896	22.716	-233.06	  7.83	 1.345	 0.328	Obs	Simbad
     226	And XXIII 	b	133	01 29 17.82	+38 46 48.5	23.180	21.842	-250.86	  2.97	 3.504	 0.278	Obs	Simbad
     227	And XXIV  	 	  1	01 18 32.74	+46 20 20.7	23.036	21.739	-137.30	  4.15	 1.188	 0.092	Obs	Simbad
     228	And XXIV  	 	  3	01 18 30.50	+46 22 04.8	22.923	21.680	-127.53	  1.27	 0.654	 0.876	Obs	Simbad
     229	And XXIV  	 	116	01 18 20.18	+46 21 18.7	22.932	21.641	-121.90	  4.31	 1.650	 0.011	Obs	Simbad
     230	And XXV   	 	  8	00 30 16.02	+46 49 21.7	23.384	21.870	-113.02	  4.01	 3.644	 0.275	Obs	Simbad
     231	And XXV   	 	  9	00 30 03.66	+46 49 22.8	23.507	21.963	-101.19	  4.34	 3.824	 0.309	Obs	Simbad
     232	And XXV   	 	 47	00 30 34.46	+46 50 16.4	23.542	22.022	-147.71	  8.01	 3.663	 0.004	Obs	Simbad
     233	And XXV   	 	 54	00 29 55.25	+46 50 24.6	23.034	21.563	-115.44	  2.73	 5.233	 0.150	Obs	Simbad
     234	And XXV   	 	 55	00 30 32.62	+46 50 25.5	22.688	20.879	-107.74	  1.77	 8.974	 0.010	Obs	Simbad
     235	And XXV   	 	 70	00 30 07.60	+46 50 41.9	23.004	21.367	-112.60	  2.42	 5.820	 0.926	Obs	Simbad
     236	And XXV   	 	 75	00 30 07.02	+46 50 48.3	23.136	21.814	-103.71	  3.29	 4.112	 0.896	Obs	Simbad
     237	And XXV   	 	 80	00 30 10.64	+46 50 55.6	23.338	21.956	-100.14	  5.36	 3.789	 0.948	Obs	Simbad
     238	And XXV   	 	 86	00 30 11.34	+46 50 59.4	23.049	21.381	-110.60	  2.61	 5.589	 0.822	Obs	Simbad
     239	And XXV   	 	 96	00 30 19.61	+46 51 07.1	23.927	22.999	-112.65	  9.67	 1.309	 0.308	Obs	Simbad
     240	And XXV   	 	 99	00 30 05.47	+46 51 09.0	23.705	22.516	-106.88	  7.83	 2.107	 0.866	Obs	Simbad
     241	And XXV   	 	100	00 30 30.09	+46 51 09.2	23.676	22.377	-107.37	  6.10	 2.455	 0.047	Obs	Simbad
     242	And XXV   	 	105	00 30 04.71	+46 51 13.0	23.469	22.145	-106.90	  4.77	 2.730	 0.846	Obs	Simbad
     243	And XXV   	 	106	00 30 13.88	+46 51 14.0	23.157	21.880	-111.15	  3.94	 3.164	 0.766	Obs	Simbad
     244	And XXV   	 	110	00 29 56.98	+46 51 17.2	23.512	22.051	-111.64	  4.04	 3.622	 0.177	Obs	Simbad
     245	And XXV   	 	122	00 30 18.23	+46 51 27.8	24.002	22.820	-123.40	  8.04	 1.878	 0.519	Obs	Simbad
     246	And XXV   	 	128	00 30 15.04	+46 51 33.5	24.244	22.933	-114.30	  7.85	 1.323	 0.622	Obs	Simbad
     247	And XXV   	 	137	00 30 17.66	+46 51 44.2	23.308	22.070	-102.60	  3.83	 3.618	 0.404	Obs	Simbad
     248	And XXV   	 	139	00 30 12.50	+46 51 51.2	23.001	21.318	-107.73	  2.36	 5.936	 0.578	Obs	Simbad
     249	And XXV   	 	143	00 30 12.94	+46 51 53.9	22.773	21.252	-103.98	  2.72	 5.280	 0.611	Obs	Simbad
     250	And XXV   	 	144	00 30 24.46	+46 51 53.9	24.022	22.897	-119.30	 11.69	 1.342	 0.219	Obs	Simbad
     251	And XXV   	 	146	00 29 56.38	+46 51 56.1	24.026	22.791	 -94.71	  6.52	 1.766	 0.207	Obs	Simbad
     252	And XXV   	 	166	00 29 48.50	+46 52 26.7	22.635	21.188	 -70.64	  2.47	 5.864	 0.001	Obs	Simbad
     253	And XXV   	 	167	00 30 09.04	+46 52 27.4	23.837	22.731	 -97.62	  8.20	 1.520	 0.699	Obs	Simbad
     254	And XXV   	 	172	00 29 58.59	+46 52 34.4	23.042	21.422	-103.36	  2.44	 5.185	 0.179	Obs	Simbad
     255	And XXVI  	 	 25	00 24 00.16	+47 54 08.5	23.703	22.389	-259.85	  7.31	 2.081	 0.041	Obs	Simbad
     256	And XXVI  	 	 51	00 23 43.60	+47 54 45.7	23.675	22.564	-256.13	  8.59	 1.629	 0.085	Obs	Simbad
     257	And XXVI  	 	 56	00 23 39.73	+47 54 50.0	23.267	21.939	-265.59	  3.39	 2.840	 0.464	Obs	Simbad
     258	And XXVI  	 	 63	00 23 47.38	+47 54 57.4	23.631	22.246	-277.16	  4.55	 2.008	 0.082	Obs	Simbad
     259	And XXVI  	 	 85	00 23 53.27	+47 55 35.9	23.770	22.483	-246.10	  7.04	 1.788	 0.184	Obs	Simbad
     260	And XXVI  	 	149	00 23 58.31	+47 56 54.7	23.618	22.322	-255.97	  6.72	 1.856	 0.025	Obs	Simbad
     261	And XXVII 	 	  5	00 37 18.84	+45 23 19.3	23.246	22.113	-465.96	  5.04	 2.500	 0.004	Obs	Simbad
     262	And XXVII 	 	  6	00 37 19.75	+45 23 51.8	22.831	21.353	-534.45	  2.19	 4.653	 0.909	Obs	Simbad
     263	And XXVII 	 	  7	00 37 19.82	+45 24 17.8	22.951	21.636	-473.11	  3.27	 3.800	 0.008	Obs	Simbad
     264	And XXVII 	 	 11	00 37 19.24	+45 21 36.4	23.023	21.727	-560.91	  2.81	 3.036	 0.888	Obs	Simbad
     265	And XXVII 	 	 19	00 37 33.79	+45 25 18.9	23.611	22.394	-530.80	  5.40	 2.124	 0.824	Obs	Simbad
     266	And XXVII 	 	 20	00 37 41.84	+45 25 27.9	23.472	21.936	-541.17	  3.44	 2.687	 0.522	Obs	Simbad
     267	And XXVII 	 	 31	00 37 36.90	+45 27 06.8	23.330	21.797	-534.71	  3.47	 3.473	 0.390	Obs	Simbad
     268	And XXVII 	 	 32	00 37 43.68	+45 27 11.3	22.950	21.296	-532.56	  1.85	 5.222	 0.128	Obs	Simbad
     269	And XXVII 	 	 33	00 37 39.99	+45 27 25.2	23.482	22.047	-538.59	  3.28	 3.111	 0.237	Obs	Simbad
     270	And XXVII 	 	 46	00 37 07.86	+45 22 50.5	23.868	22.541	-565.65	  5.72	 1.997	 0.388	Obs	Simbad
     271	And XXVII 	 	 54	00 37 21.21	+45 24 25.2	24.132	23.164	-517.64	  8.95	 1.461	 0.850	Obs	Simbad
     272	And XXVIII	 	 15	22 32 44.09	+31 12 55.2	21.560	21.100	-338.50	  3.07	 3.901	 0.156	Obs	Simbad
     273	And XXVIII	 	 16	22 32 42.99	+31 12 46.5	22.090	21.690	-349.48	  4.71	 2.306	 0.017	Obs	Simbad
     274	And XXVIII	 	 20	22 32 39.84	+31 12 18.8	21.610	21.000	-318.23	  2.94	 3.647	 0.510	Obs	Simbad
     275	And XXVIII	 	 21	22 32 40.15	+31 12 57.8	22.090	21.490	-327.63	  5.77	 1.935	 0.924	Obs	Simbad
     276	And XXVIII	 	 22	22 32 38.83	+31 12 49.1	22.090	21.700	-335.06	  4.97	 1.810	 0.541	Obs	Simbad
     277	And XXVIII	 	 23	22 32 41.32	+31 13 20.3	22.790	22.150	-376.99	 19.58	 1.133	 0.077	Obs	Simbad
     278	And XXVIII	 	 24	22 32 54.29	+31 13 07.1	21.670	21.210	-316.99	  4.30	 3.128	 0.010	Obs	Simbad
     279	And XXVIII	 	 36	22 32 39.86	+31 12 40.2	22.140	21.690	-346.26	  4.99	 2.205	 0.069	Obs	Simbad
     280	And XXVIII	 	 40	22 32 42.12	+31 14 14.1	21.410	20.820	-329.27	  2.24	 5.079	 0.179	Obs	Simbad
     281	And XXVIII	 	 41	22 32 44.99	+31 13 20.4	22.540	21.970	-315.41	  7.02	 1.435	 0.384	Obs	Simbad
     282	And XXVIII	 	 43	22 32 46.42	+31 13 40.7	21.820	21.540	-321.82	  4.22	 2.716	 0.288	Obs	Simbad
     283	And XXVIII	 	 49	22 32 36.23	+31 12 33.1	21.720	21.360	-324.19	  3.80	 3.203	 0.380	Obs	Simbad
     284	And XXVIII	 	 50	22 32 37.70	+31 12 01.1	22.520	22.380	-319.66	  9.21	 1.136	 0.181	Obs	Simbad
     285	And XXVIII	 	 51	22 32 40.98	+31 14 18.2	21.740	21.490	-305.91	  5.39	 2.382	 0.044	Obs	Simbad
     286	And XXVIII	 	 53	22 32 45.52	+31 12 27.7	22.170	21.780	-337.84	 10.90	 1.557	 0.261	Obs	Simbad
     287	And XXVIII	 	 54	22 32 45.30	+31 13 46.7	22.340	21.630	-324.09	  7.10	 1.383	 0.233	Obs	Simbad
     288	And XXX   	 	  2	00 36 38.28	+49 37 47.5	23.048	21.629	-136.93	  4.23	 3.236	 0.408	Obs	Simbad
     289	And XXX   	 	 12	00 36 35.67	+49 39 09.7	23.631	22.286	-152.32	  7.51	 1.803	 0.923	Obs	Simbad
     290	And XXX   	 	 15	00 36 36.38	+49 39 29.7	23.409	22.159	-123.96	  6.44	 2.090	 0.631	Obs	Simbad
     291	And XXX   	 	 17	00 36 40.56	+49 39 31.9	22.255	20.683	-143.09	  5.85	 3.432	 0.109	Obs	Simbad
     292	And XXX   	 	 20	00 36 37.01	+49 40 02.4	22.704	21.299	-123.88	  3.79	 4.197	 0.081	Obs	Simbad
     293	And XXX   	 	 23	00 36 40.27	+49 36 43.1	22.950	21.591	-150.55	 13.48	 1.347	 0.052	Obs	Simbad
     294	And XXX   	 	 27	00 36 48.49	+49 37 56.1	23.447	22.357	-141.43	  6.94	 1.606	 0.007	Obs	Simbad
     295	And XXX   	 	 36	00 36 45.60	+49 39 15.4	23.133	21.713	-141.47	  5.10	 3.195	 0.011	Obs	Simbad

