#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/511/139&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75110139
#Name: J/MNRAS/511/139
#Title: CRDs galaxies candidates in SDSS-IV MaNGA (Bevacqua+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/mnras/511/139	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/511/139	    IVOID of underlying data collection
#INFO	creator=Bevacqua D.	    First author or institution
#INFO	cites=bibcode:2022MNRAS.511..139B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/511/139	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75110139	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-07-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_511_139_table1:
#Name: J/MNRAS/511/139/table1
#Title: Properties of Counter-Rotating stellar Disks galaxy candidates
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MaNGAId	(A8)	MaNGA-ID associated with a unique MaNGA galaxy (MaNGA-ID)	[ucd=meta.id;meta.main]
#Column	DR15	(A4)	Link to see the MaNGA DR15 catalog	[ucd=meta.ref.url]
#Column	n_MaNGAId	(I1)	[1/2]? Note on MaNGAId objects (1)	[ucd=meta.note]
#Column	Mtype	(A2)	Galaxy Hubble morphology (Morphology) (2)	[ucd=src.morph.type]
#Column	logM*	(F5.2)	Stellar mass taken from Graham et al. 2019arXiv191005139G (log10M*)	[ucd=phys.mass]
#Column	Pth50	(F5.2)	Elliptical Petrosian 50 per cent light radius in SDSS r-band (Re)	[ucd=phys]
#Column	DPA	(F5.1)	? Difference of the kinematic position angles between the stellar and the gas velocity fields ({Delta}PA) (3)	[ucd=pos.posAng]
#Column	n_DPA	(A5)	Note on DPA (star/gas_alignment) (4)	[ucd=meta.note]
#Column	Pop	(A5)	[young old nan] Correspond to the corotation of the gaseous disk with the younger or older disk (star/gas_vs.pop)	[ucd=src.class]
#Column	logAge	(F5.2)	Luminosity weighted mean age within 1 R_e_ as in the equation 8 of the section 4.1 Stellar population maps (log10<Age>)	[ucd=phys.luminosity;stat.mean]
#Column	[M/H]	(F5.2)	Luminosity weighted mean metallicity within 1 R_e_ as in the equation 9 of the section 4.1 Stellar population maps (<[M/H]>)	[ucd=phys.luminosity;stat.mean]
#Column	GradAge	(F5.2)	Gradient of Age (GradAge) (5)	[ucd=time.age]
#Column	Grad[M/H]	(F5.2)	Gradient of metallicity (Grad[M/H]) (5)	[ucd=arith.grad;phys.abund]
#Column	Modality	(A5)	Modality of the weights maps from regularized fits (Modality) (6)	[ucd=src.class]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from MaNGA catalog DR15 Cat. J/AJ/154/86 (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from MaNGA catalog DR15 Cat. J/AJ/154/86 (declination part)	[ucd=pos.eq.dec;meta.main]
recno	MaNGAId	DR15	n_MaNGAId	Mtype	logM*	Pth50	DPA	n_DPA	Pop	logAge	[M/H]	GradAge	Grad[M/H]	Modality	Simbad	_RA	_DE
     446	1-377787 	DR15	Y	E   	F	R   	 0.573	 0.422	11.49	 2.28	113.59316	+43.89128
     447	1-377679 	DR15	Y	S   	F	R   	 0.725	 0.263	11.26	 2.17	111.82384	+43.78488
     448	1-377720 	DR15	Y	S0  	F	R   	 0.831	 0.382	11.46	 2.22	112.72176	+43.50074
     449	1-377978 	DR15	Y	S0  	F	R   	 0.709	 0.246	10.01	 1.71	112.69868	+46.01012
     450	1-378164 	DR15	Y	S   	F	R   	 0.849	 0.257	11.24	 2.02	114.45593	+46.39766
     451	1-378271 	DR15	Y	I   	F	R   	 0.671	 0.242	 9.47	 1.81	114.47365	+47.95722
     452	1-548076 	DR15	Y	S   	F	R   	 0.828	 0.210	11.51	 2.07	114.73363	+47.47378
     453	1-378182 	DR15	Y	S0  	F	R   	 0.858	 0.473	 9.71	 1.76	114.67302	+45.94365
     454	1-378039 	DR15	Y	S0  	F	R   	 0.543	 0.063	11.50	 2.12	113.40018	+45.94338
     455	1-378276 	DR15	Y	E   	S	NR  	 0.039	 0.131	11.29	 2.28	114.06017	+47.33968
     456	1-378237 	DR15	N	M/CP	S	R   	 0.785	 0.509	12.04	 2.57	113.32661	+46.34819
     457	1-378168 	DR15	Y	E   	F	R   	 0.100	 0.080	11.94	 2.36	114.30970	+46.93750
     458	1-378123 	DR15	Y	S0  	F	R   	 0.609	 0.325	11.25	 2.32	115.03494	+46.17231
     459	1-338911 	DR15	Y	E   	F	R   	 0.350	 0.443	10.60	 2.03	115.23806	+45.29220
     460	1-339218 	DR15	Y	E   	S	R   	 0.091	 0.079	11.65	 2.30	116.57719	+46.81758
     461	1-378148 	DR15	Y	S   	F	R   	 0.606	 0.324	11.27	 2.26	114.92451	+45.91261
     462	1-548075 	DR15	Y	S   	F	R   	 0.430	 0.018	10.49	 1.80	114.76759	+48.12908
     463	1-378373 	DR15	Y	S0  	F	R   	 0.489	 0.591	 9.37	 1.82	116.28665	+47.55237
     464	1-548074 	DR15	Y	E   	S	NR  	 0.072	 0.254	11.93	 2.36	114.39402	+47.46396
     465	1-339163 	DR15	Y	S   	F	R   	 0.804	 0.373	11.33	 2.19	116.28021	+46.07242
     466	1-604761 	DR15	Y	S   	F	R   	 0.881	 0.367	11.53	 2.15	113.47227	+37.02590
     467	1-43012  	DR15	Y	S   	F	R   	 0.837	 0.214	10.91	 1.89	112.93356	+38.33656
     468	1-43009  	DR15	Y	S0  	F	R   	 0.883	 0.418	10.90	 2.01	113.55388	+39.07683
     469	1-43506  	DR15	Y	S   	F	R   	 0.894	 0.562	11.40	 2.19	114.75306	+38.12774
     470	1-43497  	DR15	Y	S0  	F	R   	 0.867	 0.812	10.42	 1.90	115.44314	+37.61554
     471	1-337898 	DR15	Y	E   	F	R   	 0.443	 0.168	10.01	 1.86	112.66266	+38.44759
     472	1-43214  	DR15	N	U   	F	F   	 0.905	 0.240	12.20	 3.38	114.09638	+39.43828
     473	1-43241  	DR15	Y	E   	F	R   	 0.518	 0.386	11.89	 2.38	114.00214	+39.23354
     474	1-43229  	DR15	Y	S0  	F	R   	 0.741	 0.265	10.07	 1.76	114.08479	+39.87999
     475	1-43512  	DR15	Y	E   	S	R   	 0.080	 0.271	11.35	 2.30	115.56505	+39.33457
     476	1-43505  	DR15	Y	S   	F	R   	 0.334	 0.187	10.36	 1.94	114.89737	+37.75151
     477	1-43148  	DR15	Y	I   	F	R   	 0.246	 0.371	 9.31	 1.73	115.24227	+39.37932
     478	1-43099  	DR15	Y	E   	F	R   	 0.398	 0.180	11.81	 2.30	114.87264	+37.82051
     479	1-338220 	DR15	Y	S   	F	R   	 0.651	 0.433	11.26	 2.07	113.05701	+39.56007
     480	1-338237 	DR15	Y	S0  	F	R   	 0.722	 0.499	10.98	 2.14	112.91099	+39.40054
     481	1-338152 	DR15	Y	E   	S	NR  	 0.067	 0.368	11.85	 2.35	112.97971	+39.14013
     482	1-43022  	DR15	Y	S0  	F	R   	 0.777	 0.417	10.58	 1.96	113.61009	+38.62901
     483	1-338709 	DR15	Y	S0  	F	R   	 0.839	 0.769	10.09	 1.90	115.16694	+42.45395
     484	1-338697 	DR15	Y	S   	F	R   	 0.817	 0.149	10.75	 1.82	115.01777	+43.00091
     485	1-338796 	DR15	Y	S   	F	R   	 0.896	 0.367	11.09	 2.03	116.16926	+44.14441
     486	1-338770 	DR15	Y	S0  	F	R   	 0.818	 0.341	10.53	 1.79	116.33574	+43.90177
     487	1-338677 	DR15	Y	S0  	F	R   	 0.595	 0.354	10.57	 2.11	114.18628	+42.44371
     488	1-43723  	DR15	Y	E   	F	R   	 0.581	 0.361	11.38	 2.27	116.70357	+43.37484
     489	1-43718  	DR15	Y	E   	F	R   	 0.257	 0.164	11.60	 2.35	116.78261	+43.31407
     490	1-338737 	DR15	Y	S0  	F	R   	 0.890	 0.682	10.40	 1.86	116.47535	+43.51939
     491	1-574402 	DR15	Y	S0  	F	R   	 0.707	 0.119	11.94	 2.15	115.36872	+44.40879
     492	1-338746 	DR15	Y	E   	F	R   	 0.416	 0.005	10.91	 2.13	116.85491	+43.91862
     493	1-338828 	DR15	Y	S0  	F	R   	 0.851	 0.684	10.55	 2.03	115.64161	+44.21586
     494	1-338851 	DR15	Y	E   	S	CR  	 0.048	 0.160	11.74	 2.37	115.25278	+43.32613
     495	1-338721 	DR15	Y	E   	F	R   	 0.148	 0.236	11.68	 2.36	115.30203	+42.74938
     496	1-43721  	DR15	Y	S0  	F	R   	 0.685	 0.082	12.15	 2.29	116.96757	+43.38350
     497	1-338822 	DR15	Y	E   	S	CR  	 0.059	 0.195	11.99	 2.39	115.63232	+43.93552
     498	1-338829 	DR15	Y	I   	F	R   	 0.695	 0.360	10.18	 1.75	115.63344	+44.23382
     499	1-338963 	DR15	Y	S0  	F	R   	 0.877	 0.723	11.03	 2.08	115.31625	+44.91603
     500	1-339166 	DR15	Y	E   	F	R   	 0.366	 0.258	11.42	 2.27	116.38969	+45.77233
     501	1-339041 	DR15	Y	S   	F	R   	 0.809	 0.389	11.69	 2.27	116.65713	+44.79052
     502	1-339042 	DR15	Y	S0  	F	R   	 0.876	 0.669	11.19	 2.20	116.91312	+44.46279
     503	1-339233 	DR15	Y	S0  	F	R   	 0.488	 0.623	 9.82	 1.90	116.76397	+46.53448
     504	1-44216  	DR15	Y	S   	F	R   	 0.868	 0.323	10.60	 1.88	118.32531	+44.86601
     505	1-339028 	DR15	Y	S   	F	R   	 0.255	 0.448	11.45	 2.13	116.09793	+44.52774
     506	1-44183  	DR15	Y	S0  	F	R   	 0.205	 0.132	10.27	 1.94	118.02049	+44.16146
     507	1-339010 	DR15	Y	S0  	F	R   	 0.810	 0.701	10.68	 2.04	115.96401	+44.72433
     508	1-339061 	DR15	Y	E   	F	2S  	 0.136	 0.550	10.67	 2.16	117.14434	+44.68828
     509	1-339138 	DR15	Y	S0  	F	R   	 0.839	 0.755	10.70	 2.04	117.31815	+46.20504
     510	1-339258 	DR15	Y	S   	F	R   	 0.463	 0.036	10.07	 1.87	117.29142	+46.46188
     511	1-548136 	DR15	Y	S   	F	R   	 0.909	 0.289	11.34	 2.08	117.30259	+45.51027
     512	1-44219  	DR15	Y	S   	F	R   	 0.579	 0.447	11.25	 2.06	118.32854	+45.46203
     513	1-121151 	DR15	Y	S0  	F	R   	 0.585	 0.684	 9.65	 1.85	115.47993	+31.41153
     514	1-71137  	DR15	N	M/CP	F	M/CP	 0.896	 0.245	 9.87	 2.60	113.50057	+32.21576
     515	1-71124  	DR15	N	I   	F	R   	 0.428	 0.351	 9.45	 1.63	114.04749	+32.51515
     516	1-604797 	DR15	Y	S0  	F	R   	 0.568	 0.733	 9.05	 1.68	115.04293	+32.20644
     517	1-604821 	DR15	Y	S   	F	F   	 0.503	 0.347	10.60	 2.51	116.43123	+32.10292
     518	1-71180  	DR15	Y	S0  	F	R   	 0.491	 0.526	10.48	 1.94	114.88231	+33.67935
     519	1-121202 	DR15	Y	S0  	F	R   	 0.798	 0.308	10.25	 1.75	114.63698	+31.17809
     520	1-71113  	DR15	Y	E   	F	R   	 0.492	 0.204	11.55	 2.26	114.18115	+31.47649
     521	1-604791 	DR15	Y	I   	F	NR  	 0.152	 0.194	 9.39	 1.93	114.75871	+33.91605
     522	1-121218 	DR15	Y	S0  	F	R   	 0.882	 0.776	10.15	 1.79	116.08278	+32.81059
     523	1-71090  	DR15	Y	E   	F	R   	 0.723	 0.370	11.59	 2.24	115.12864	+32.44073
     524	1-121209 	DR15	Y	S0  	F	R   	 0.749	 0.330	10.73	 2.08	115.00596	+32.19459
     525	1-71225  	DR15	Y	S0  	F	R   	 0.461	 0.119	11.32	 2.08	115.36266	+32.77932
     526	1-71167  	DR15	Y	S0  	F	R   	 0.436	 0.546	 9.75	 1.82	114.19016	+33.12275
     527	1-121206 	DR15	Y	I   	F	R   	 0.386	 0.282	 9.82	 1.79	114.50066	+31.24928
     528	1-71108  	DR15	Y	E   	F	R   	 0.474	 0.266	11.46	 2.33	114.75603	+31.91471
     529	1-548082 	DR15	N	S0  	F	R   	      	 0.474	10.72	     	116.75322	+41.52609
     530	1-43679  	DR15	Y	S0  	F	R   	 0.591	 0.361	10.23	 2.00	116.72921	+41.44489
     531	1-43654  	DR15	N	S   	F	R   	 0.361	 0.483	10.96	 2.07	116.93032	+41.38638
     532	1-43680  	DR15	Y	S0  	F	R   	 0.579	 0.150	 9.87	 1.70	116.57616	+41.70165
     533	1-43632  	DR15	Y	S0  	F	R   	 0.889	 0.692	10.56	 1.95	117.90319	+41.46044
     534	1-43783  	DR15	Y	S   	F	R   	 0.859	 0.537	11.25	 2.11	117.89847	+42.88011
     535	1-43651  	DR15	Y	S   	F	R   	 0.602	 0.138	10.20	 1.85	117.92377	+42.30357
     536	1-43849  	DR15	Y	S0  	F	R   	 0.829	 0.318	10.30	 1.82	118.98615	+40.55398
     537	1-43663  	DR15	Y	S0  	F	R   	 0.747	 0.196	10.23	 1.75	117.76603	+41.97346
     538	1-43702  	DR15	Y	S   	F	R   	 0.777	 0.123	10.96	 1.94	116.17685	+42.35769
     539	1-43773  	DR15	Y	E   	F	R   	 0.287	 0.123	11.16	 2.19	117.41248	+42.96707
     540	1-43933  	DR15	Y	E   	S	NR  	 0.056	 0.024	11.42	 2.27	116.78572	+40.39294
     541	1-43957  	DR15	Y	S0  	F	R   	 0.459	 0.089	10.17	 1.35	117.81856	+40.95209
     542	1-43672  	DR15	Y	S   	F	R   	 0.766	 0.650	10.96	 2.19	116.78716	+42.07872
     543	1-43956  	DR15	N	S0  	F	R   	      	 0.692	10.48	     	117.70586	+40.94632
     544	1-43381  	DR15	Y	S0  	F	R   	 0.661	 0.262	10.12	 1.69	116.50722	+40.87506
     545	1-43687  	DR15	Y	S   	F	R   	 0.660	 0.138	11.65	 2.15	116.74260	+42.32097
     546	1-338771 	DR15	Y	S   	F	R   	 0.871	 0.683	11.00	 2.05	116.73264	+44.26570
     547	1-43733  	DR15	Y	S   	F	R   	 0.766	 0.436	10.93	 2.00	117.23982	+43.78659
     548	1-43717  	DR15	Y	E   	F	R   	 0.768	 0.215	10.36	 1.98	117.09381	+43.78049
     549	1-43741  	DR15	Y	E   	F	R   	 0.137	 0.004	10.91	 2.28	117.30366	+44.06504
     550	1-43724  	DR15	Y	S   	F	R   	 0.872	 0.578	10.91	 1.96	117.03863	+43.59070
     551	1-604937 	DR15	Y	S   	F	R   	 0.670	 0.630	11.37	 2.21	120.36009	+44.19362
     552	1-44172  	DR15	Y	S   	F	R   	 0.845	 0.197	10.95	 1.90	118.79829	+44.38217
     553	1-44117  	DR15	Y	S0  	F	R   	 0.836	 0.759	10.84	 2.10	118.86386	+44.02933
     554	1-339094 	DR15	Y	E   	F	R   	 0.551	 0.074	10.85	 2.08	117.47242	+45.24848
     555	1-44526  	DR15	Y	S0  	F	R   	 0.709	 0.457	11.06	 2.19	118.71334	+43.18264
     556	1-44163  	DR15	Y	E   	F	R   	 0.196	 0.029	11.25	 2.22	118.64899	+44.15181
     557	1-44180  	DR15	Y	S0  	F	R   	 0.789	 0.684	10.97	 2.13	118.39369	+44.09543
     558	1-339116 	DR15	Y	S0  	F	R   	 0.658	 0.594	10.17	 1.88	117.24119	+44.98606
     559	1-339057 	DR15	Y	S0  	F	R   	 0.532	 0.400	11.40	 2.19	117.47145	+44.87315
     560	1-44141  	DR15	Y	S0  	F	R   	 0.626	 0.325	10.76	 2.09	119.05715	+44.38612
     561	1-44100  	DR15	Y	E   	F	R   	 0.540	 0.368	11.56	 2.35	119.16593	+44.10101
     562	1-44549  	DR15	Y	E   	F	CR  	 0.119	 0.142	11.81	 2.32	120.44053	+44.11005
     563	1-339092 	DR15	Y	E   	S	NR  	 0.051	 0.186	11.48	 2.27	117.41841	+44.89601
     564	1-44083  	DR15	Y	S   	F	R   	 0.406	 0.060	10.89	 1.67	119.61155	+44.04622
     565	1-44015  	DR15	Y	E   	F	NR  	 0.069	 0.405	11.78	 2.36	119.26901	+40.99515
     566	1-43823  	DR15	Y	S0  	F	R   	 0.882	 0.554	10.72	 1.92	118.90670	+42.75124
     567	1-44565  	DR15	Y	S0  	F	R   	 0.768	 0.763	 9.81	 1.79	120.90851	+43.34305
     568	1-44487  	DR15	N	M/CP	F	R   	 0.707	 0.623	11.14	 2.05	119.56004	+42.26867
     569	1-72339  	DR15	Y	S0  	F	R   	 0.871	 0.807	10.36	 1.91	121.48998	+41.14812
     570	1-43629  	DR15	Y	E   	F	R   	 0.321	 0.004	10.52	 1.90	118.66022	+42.54411
     571	1-44044  	DR15	Y	S0  	F	R   	 0.713	 0.234	10.56	 1.90	119.58345	+41.56806
     572	1-44047  	DR15	Y	E   	S	2S  	 0.050	 0.314	10.55	 2.11	119.64331	+41.57841
     573	1-44483  	DR15	Y	S0  	F	2S  	 0.095	 0.534	10.49	 2.11	119.83486	+42.05707
     574	1-44447  	DR15	Y	S0  	F	R   	 0.765	 0.168	10.53	 1.68	120.63984	+42.39270
     575	1-44418  	DR15	Y	E   	F	R   	 0.137	 0.089	11.37	 2.40	120.38464	+42.00230
     576	1-72322  	DR15	Y	S0  	F	R   	 0.751	 0.293	12.24	 2.41	121.01420	+40.80261
     577	1-44009  	DR15	Y	S0  	F	R   	 0.632	 0.287	10.21	 1.69	118.94695	+41.28037
     578	1-44436  	DR15	Y	E   	F	R   	 0.379	 0.421	11.62	 2.36	120.11665	+41.66065
     579	1-44013  	DR15	Y	S0  	F	R   	 0.917	 0.618	10.69	 2.01	119.40124	+41.11458
     580	1-44463  	DR15	Y	S   	F	R   	 0.878	 0.438	10.75	 1.90	119.92996	+42.19978
     581	1-44479  	DR15	Y	S0  	F	R   	 0.236	 0.370	11.36	 2.31	119.82253	+42.00854
     582	1-152389 	DR15	Y	S0  	F	R   	 0.774	 0.185	10.14	 1.73	114.83597	+27.36062
     583	1-120955 	DR15	Y	S0  	F	R   	 0.884	 0.702	10.95	 2.02	114.16249	+28.52677
     584	1-120967 	DR15	Y	S0  	F	R   	 0.639	 0.058	11.65	 2.20	114.17713	+29.30491
     585	1-556549 	DR15	Y	S   	F	R   	 0.869	 0.783	11.20	 2.10	115.30987	+27.61405
     586	1-121035 	DR15	Y	S0  	F	R   	 0.265	 0.200	10.70	 2.20	113.67844	+30.01890
     587	1-152474 	DR15	Y	S0  	F	NR  	 0.443	 0.037	 9.27	 1.18	114.45795	+28.65289
     588	1-120941 	DR15	Y	S0  	F	R   	 0.857	 0.682	10.28	 1.90	114.61023	+28.96308
     589	1-152675 	DR15	Y	S0  	F	R   	 0.647	 0.110	11.19	 1.99	115.31559	+29.13465
     590	1-121075 	DR15	Y	E   	F	R   	 0.243	 0.043	11.79	 2.17	114.69539	+29.89128
     591	1-152563 	DR15	N	I   	F	NR  	 0.496	 0.278	 9.36	 1.46	115.65039	+28.26148
     592	1-152384 	DR15	Y	S   	F	R   	 0.861	 0.808	10.84	 1.95	115.16325	+27.61118
     593	1-152527 	DR15	Y	E   	F	R   	 0.479	 0.087	10.74	 1.87	115.07567	+28.46421
     594	1-120935 	DR15	Y	S   	F	R   	 0.699	 0.031	11.52	 1.95	114.77504	+29.16007
     595	1-120943 	DR15	Y	E   	S	R   	 0.086	 0.236	11.32	 2.23	114.63553	+29.18552
     596	1-121023 	DR15	Y	E   	F	R   	 0.318	 0.249	11.26	 2.00	113.04872	+28.89543
     597	1-152524 	DR15	Y	E   	F	R   	 0.599	 0.200	11.52	 2.12	115.04839	+28.39464
     598	1-152666 	DR15	Y	S0  	F	R   	 0.846	 0.328	10.78	 2.02	115.36563	+29.66918
     599	1-152618 	DR15	N	M/CP	S	M/CP	 0.279	 0.113	11.73	 2.41	115.96360	+28.35778
     600	1-201318 	DR15	Y	S0  	F	R   	 0.815	 0.778	10.52	 1.85	117.06579	+28.71540
     601	1-201352 	DR15	N	S0  	F	R   	 0.689	 0.807	 9.58	 1.69	117.00966	+28.40500
     602	1-201356 	DR15	Y	S0  	F	R   	 0.662	 0.345	10.56	 2.02	116.99360	+28.32481
     603	1-556501 	DR15	Y	S0  	F	R   	 0.756	 0.517	10.96	 2.23	117.04574	+28.23027
     604	1-201355 	DR15	Y	E   	F	R   	 0.324	 0.118	10.74	 1.99	117.05387	+28.22509
     605	1-201353 	DR15	Y	S0  	F	R   	 0.689	 0.811	10.55	 1.90	117.01332	+28.02827
     606	1-201364 	DR15	Y	S0  	F	R   	 0.581	 0.361	10.29	 1.85	117.19945	+28.23974
     607	1-556583 	DR15	Y	S0  	F	R   	 0.542	 0.414	 9.79	 1.74	117.10474	+27.57525
     608	1-201314 	DR15	N	S0  	F	NR  	 0.148	 0.523	 9.49	 1.56	116.37953	+28.44101
     609	1-556499 	DR15	N	M/CP	F	R   	 0.403	 0.043	10.16	 1.74	117.32528	+28.47349
     610	1-584619 	DR15	Y	I   	F	R   	 0.497	 0.504	 9.86	 1.79	116.68564	+26.74100
     611	1-145783 	DR15	Y	S0  	F	R   	 0.822	 0.349	 9.72	 1.81	116.75957	+26.77649
     612	1-201180 	DR15	N	S0  	F	R   	      	 0.411	 9.69	     	116.55353	+26.92300
     613	1-201182 	DR15	Y	S0  	F	R   	 0.734	 0.349	 9.62	 1.76	116.62089	+26.71812
     614	1-145771 	DR15	N	S   	F	R   	 0.426	 0.419	 9.42	 1.88	116.66047	+26.47022
     615	1-201183 	DR15	N	U   	F	R   	 0.568	 0.028	 9.80	 1.51	116.59948	+27.33821
     616	1-201291 	DR15	Y	S   	F	R   	 0.546	 0.235	10.30	 1.72	116.50304	+28.69963
     617	1-152567 	DR15	N	S0  	F	R   	      	 0.373	10.08	     	116.51168	+28.87807
     618	1-201173 	DR15	Y	S0  	F	R   	 0.848	 0.597	10.64	 1.97	117.10860	+27.29804
     619	1-152596 	DR15	Y	S   	F	R   	 0.805	 0.401	11.57	 2.18	116.83569	+29.41293
     620	1-556516 	DR15	N	M/CP	S	M/CP	 0.454	 0.017	11.46	 2.54	117.48113	+29.42021
     621	1-556514 	DR15	Y	E   	S	NR  	 0.055	 0.136	11.36	 2.30	117.47538	+29.46814
     622	1-152579 	DR15	Y	E   	F	R   	 0.694	 0.549	11.58	 2.46	117.31791	+29.66479
     623	1-604816 	DR15	Y	E   	S	R   	 0.693	 0.371	11.36	 0.35	116.11043	+29.26940
     624	1-201449 	DR15	Y	S0  	F	R   	 0.677	 0.388	11.26	 2.17	118.47006	+29.19699
     625	1-604864 	DR15	Y	E   	S	NR  	 0.067	 0.190	11.52	 2.32	118.36085	+29.35946
     626	1-556498 	DR15	Y	S0  	F	R   	 0.564	 0.394	10.96	 2.20	117.57035	+27.85699
     627	1-201175 	DR15	Y	E   	F	R   	 0.206	 0.188	10.51	 1.99	117.58447	+27.84296
     628	1-201197 	DR15	Y	S   	F	R   	 0.898	 0.458	10.66	 1.96	117.43493	+27.85375
     629	1-201493 	DR15	Y	E   	F	CR  	 0.089	 0.031	11.66	 2.44	118.18570	+28.78301
     630	1-152566 	DR15	N	S   	F	F   	 0.359	 0.178	 9.57	 1.84	116.52608	+29.21086
     631	1-201464 	DR15	Y	E   	F	R   	 0.833	 0.246	11.86	 2.35	118.30705	+28.82830
     632	1-556506 	DR15	N	I   	F	F   	 0.530	 0.949	 9.94	 2.23	116.27746	+28.75752
     633	1-152587 	DR15	Y	S   	F	R   	 0.656	 0.028	10.34	 1.62	116.23935	+28.92750
     634	1-201391 	DR15	Y	S   	F	R   	 0.764	 0.372	10.95	 2.10	117.81157	+28.15363
     635	1-145842 	DR15	Y	E   	S	CR  	 0.084	 0.245	11.71	 2.28	117.87004	+27.20214
     636	1-146028 	DR15	Y	S   	F	R   	 0.798	 0.180	10.89	 1.87	118.59263	+27.00880
     637	1-145669 	DR15	Y	I   	F	F   	 0.178	 0.074	 9.15	 1.77	118.67516	+26.64273
     638	1-145894 	DR15	Y	S   	F	R   	 0.523	 0.260	 9.25	 1.84	118.85282	+26.98635
     639	1-604856 	DR15	Y	S0  	F	R   	 0.823	 0.793	10.98	 2.14	117.98211	+27.30297
     640	1-201217 	DR15	Y	E   	S	NR  	 0.039	 0.048	10.40	 1.88	116.21391	+26.57904
     641	1-145741 	DR15	Y	S0  	F	R   	 0.469	 0.172	 9.35	 1.60	117.17750	+26.53976
     642	1-145828 	DR15	Y	S0  	F	R   	 0.849	 0.572	 9.75	 1.70	117.86043	+26.99184
     643	1-556577 	DR15	Y	S0  	F	R   	 0.236	 0.105	 9.80	 1.61	119.28998	+26.64860
     644	1-146046 	DR15	Y	S0  	F	R   	 0.349	 0.312	11.06	 2.12	118.32396	+27.46074
     645	1-163831 	DR15	Y	S   	F	R   	 0.687	 0.128	11.60	 1.99	118.62784	+25.81599
     646	1-164053 	DR15	Y	S   	F	R   	 0.829	 0.061	11.50	 2.04	119.03950	+26.87578
     647	1-145856 	DR15	Y	S0  	F	R   	 0.451	 0.437	 9.52	 1.83	118.38368	+27.74288
     648	1-164109 	DR15	Y	S0  	F	R   	 0.849	 0.447	10.63	 1.87	119.60927	+27.16155
     649	1-146001 	DR15	Y	S0  	F	R   	 0.912	 0.800	10.74	 1.97	119.06649	+28.14822
     650	1-218116 	DR15	Y	E   	F	R   	 0.236	 0.155	11.30	 2.34	120.92675	+26.45544
     651	1-145913 	DR15	Y	E   	F	KDC 	 0.116	 0.077	10.04	 1.82	120.22169	+28.13039
     652	1-163989 	DR15	Y	E   	F	R   	 0.715	 0.257	10.00	 1.69	119.92389	+27.00350
     653	1-163975 	DR15	Y	E   	F	R   	 0.738	 0.310	 9.78	 1.68	120.20315	+26.98627
     654	1-164007 	DR15	Y	E   	F	R   	 0.634	 0.349	10.47	 2.06	119.79267	+26.08667
     655	1-145995 	DR15	Y	S0  	F	R   	 0.647	 0.256	10.37	 2.18	119.19856	+28.21672
     656	1-145922 	DR15	Y	E   	F	CR  	 0.094	 0.041	11.06	 2.15	119.31439	+27.49602
     657	1-145920 	DR15	Y	S0  	F	R   	 0.689	 0.330	10.18	 1.73	119.35684	+27.44038
     658	1-164153 	DR15	Y	S   	F	R   	 0.419	 0.211	10.79	 1.94	120.20722	+27.50036
     659	1-163894 	DR15	Y	S0  	F	R   	 0.580	 0.110	10.21	 1.74	120.65561	+26.29355
     660	1-146106 	DR15	N	S   	F	R   	      	 0.246	 9.22	     	119.17420	+28.37185
     661	1-163925 	DR15	Y	S0  	F	R   	 0.619	 0.598	 9.69	 1.80	120.97037	+26.61468
     662	1-145884 	DR15	N	I   	F	NR  	 0.531	 0.238	 9.72	 1.57	118.62567	+26.91533
     663	1-584746 	DR15	Y	S   	F	R   	 0.829	 0.552	10.56	 1.93	120.97918	+26.52063
     664	1-389685 	DR15	Y	S0  	F	R   	 0.724	 0.472	 9.76	 1.80	146.70143	+31.71958
