#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:38 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:38	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/374/394&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33740394
#Name: J/A+A/374/394
#Title: Gas and stars kinematics in disc galaxies (Vega Beltran+ 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/374/394	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/374/394	    IVOID of underlying data collection
#INFO	creator=Vega Beltran J.C.	    First author or institution
#INFO	cites=bibcode:2001A&A...374..394V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/374/394	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33740394	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_374_394_galaxies:
#Name: J/A+A/374/394/galaxies
#Title: Summary of galaxies studied
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a7)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	Simbad	(A6)	ask the SIMBAD data-base about this object	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	RAJ2000	(A10)	Right Ascension J2000 (hours) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000 (degrees) (1)	[ucd=pos.eq.dec;meta.main]
#Column	ONames	(a31)	Other name(s)	[ucd=meta.id]
recno	Name	Simbad	NED	RAJ2000	DEJ2000	ONames
 	 	 	 	"h:m:s"	"d:m:s"	
--------	-------	------	---	----------	---------	-------------------------------
       1	NGC0224	Simbad	NED	00 42 44.3	+41 16 09	M 31
       2	NGC0470	Simbad	NED	01 19 45.0	+03 24 35	UGC 858
       3	NGC0949	Simbad	NED	02 30 48.9	+37 08 12	UGC 1983 = EQ 0227+369
       4	NGC0980	Simbad	NED	02 35 18.6	+40 55 35	UGC 2063 = MCG+07-06-038
       5	NGC1160	Simbad	NED	03 01 13.5	+44 57 18	UGC 2475 = IRAS 02579+4445
       6	NGC2541	Simbad	NED	08 14 40.4	+49 03 42	UGC 4284 = IRAS F08109+4912
       7	NGC2683	Simbad	NED	08 52 41.7	+33 25 10	UGC 4641 = 87GB 084932.5+333654
       8	NGC2841	Simbad	NED	09 22 02.0	+50 58 40	UGC 4966 = 2E 0918.5+5111
       9	NGC3031	Simbad	NED	09 55 33.2	+69 03 55	M 81
      10	NGC3200	Simbad	NED	10 18 36.5	-17 58 57	UGCA 210 = ESO 567- 45
      11	NGC3368	Simbad	NED	10 46 45.8	+11 49 10	M 96 = NGC 3368
      12	NGC3705	Simbad	NED	11 30 07.6	+09 16 36	UGC 6498 = IRAS F11275+0933
      13	NGC3810	Simbad	NED	11 40 58.9	+11 28 17	UGC 6644 = 87GB 113827.0+114446
      14	NGC4419	Simbad	NED	12 26 56.6	+15 02 49	UGC 7551 = EQ 1224+153
      15	NGC5064	Simbad	NED	13 19 00.3	-47 54 40	ESO 220- 2 = AGC 29455
      16	NGC5854	Simbad	NED	15 07 47.7	+02 34 06	UGC 9726 = MCG+01-39-001
      17	NGC7331	Simbad	NED	22 37 04.3	+34 24 59	UGC 12113 = 2E 4630

#Table	J_A_A_374_394_table5:
#Name: J/A+A/374/394/table5
#Title: Stellar kinematics for the sample galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a7)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	PA	(I3)	Position angle of the slit (G1)	[ucd=pos.posAng]
#Column	Rad	(F5.1)	[-89/59] Radius (G1)	[ucd=pos.angDistance]
#Column	Vel	(I4)	Velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_Vel	(I2)	Velocity error	[ucd=stat.error]
#Column	sigma	(I3)	Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I3)	Velocity dispersion error	[ucd=stat.error]
#Column	h3	(F5.2)	? h3 Gauss-Hermite coefficient	[ucd=stat.fit.param]
#Column	e_h3	(F5.2)	? h3 Gauss-Hermite coefficient error	[ucd=stat.error]
#Column	h4	(F5.2)	? h4 Gauss-Hermite coefficient	[ucd=stat.fit.param]
#Column	e_h4	(F5.2)	? h4 Gauss-Hermite coefficient error	[ucd=stat.error]
recno	Name	PA	Rad	Vel	e_Vel	sigma	e_sigma	h3	e_h3	h4	e_h4
     203	NGC2841	147	 -0.6	 663	30	189	 28	 0.08	 0.14	-0.04	 0.14
     204	NGC2841	147	 -0.9	 674	22	193	 25	 0.05	 0.10	-0.02	 0.10
     205	NGC2841	147	 -1.2	 680	23	184	 31	 0.06	 0.11	 0.02	 0.11
     206	NGC2841	147	 -1.6	 694	30	189	 29	 0.04	 0.14	-0.04	 0.14
     207	NGC2841	147	 -2.2	 713	20	181	 17	 0.03	 0.10	-0.06	 0.10
     208	NGC2841	147	 -2.8	 726	19	177	 13	 0.03	 0.09	-0.08	 0.09
     209	NGC2841	147	 -3.4	 734	31	185	 20	 0.01	 0.14	-0.09	 0.14
     210	NGC2841	147	 -4.2	 742	26	173	 25	 0.02	 0.13	-0.04	 0.13
     211	NGC2841	147	 -5.1	 750	19	172	 22	-0.03	 0.10	-0.01	 0.10
     212	NGC2841	147	 -6.1	 738	30	170	 19	-0.04	 0.15	-0.09	 0.15
     213	NGC2841	147	 -7.5	 734	15	161	 13	 0.00	 0.08	-0.06	 0.08
     214	NGC2841	147	 -9.2	 724	17	166	 10	 0.09	 0.09	-0.12	 0.09
     215	NGC2841	147	-11.2	 719	12	158	  8	 0.09	 0.05	-0.05	 0.05
     216	NGC2841	147	-12.6	 715	12	157	  6	 0.11	 0.06	-0.14	 0.06
     217	NGC2841	147	-14.2	 707	12	125	 15	 0.18	 0.07	 0.07	 0.07
     218	NGC2841	147	-16.2	 723	12	136	 16	 0.12	 0.06	 0.08	 0.06
     219	NGC2841	147	-18.5	 733	12	147	 11	 0.19	 0.06	-0.03	 0.06
     220	NGC2841	147	-21.5	 748	12	134	 17	 0.27	 0.07	 0.08	 0.07
     221	NGC2841	147	-22.6	 765	12	156	 11	 0.24	 0.07	-0.05	 0.07
     222	NGC2841	147	-25.4	 773	12	164	  7	 0.19	 0.06	-0.13	 0.06
     223	NGC2841	147	-26.4	 793	12	149	  6	 0.13	 0.06	-0.11	 0.06
     224	NGC2841	147	-28.8	 779	20	155	 12	 0.10	 0.12	-0.12	 0.12
     225	NGC2841	147	-31.6	 758	12	 85	 22	 0.38	 0.06	 0.42	 0.06
     226	NGC2841	147	-35.2	 774	12	 83	 26	 0.18	 0.08	 0.40	 0.08
     227	NGC2841	147	-41.2	 785	12	 99	 19	 0.19	 0.07	 0.20	 0.07
     228	NGC2841	147	-51.8	 831	12	120	 12	 0.14	 0.09	-0.04	 0.09
     229	NGC3031	157	-47.1	-186	12	 52	  0	 0.00	 0.01	 0.00	 0.01
     230	NGC3031	157	-41.2	-157	12	133	  2	 0.00	 0.01	 0.00	 0.01
     231	NGC3031	157	-37.2	-160	12	109	  1	 0.00	 0.01	 0.00	 0.01
     232	NGC3031	157	-33.9	-167	12	 96	  2	 0.00	 0.02	 0.00	 0.02
     233	NGC3031	157	-31.2	-167	12	114	  4	 0.00	 0.03	 0.00	 0.03
     234	NGC3031	157	-29.1	-165	12	116	  3	 0.00	 0.02	 0.04	 0.02
     235	NGC3031	157	-26.0	-155	12	110	  5	-0.07	 0.02	 0.13	 0.02
     236	NGC3031	157	-23.4	-156	12	126	  3	 0.02	 0.02	 0.05	 0.02
     237	NGC3031	157	-21.3	-161	12	125	  3	 0.03	 0.02	 0.03	 0.02
     238	NGC3031	157	-20.1	-168	12	107	  3	 0.06	 0.01	 0.13	 0.01
     239	NGC3031	157	-17.9	-155	12	108	  3	 0.08	 0.01	 0.14	 0.01
     240	NGC3031	157	-15.9	-147	12	124	  2	 0.11	 0.01	 0.04	 0.01
     241	NGC3031	157	-14.3	-137	14	124	 16	 0.03	 0.10	-0.01	 0.10
     242	NGC3031	157	-12.8	-128	12	133	 14	 0.06	 0.07	 0.01	 0.07
     243	NGC3031	157	-11.4	-117	12	139	 11	 0.07	 0.06	 0.02	 0.06
     244	NGC3031	157	-10.2	-106	12	132	 11	 0.04	 0.07	-0.02	 0.07
     245	NGC3031	157	 -9.9	-104	12	132	  3	 0.01	 0.01	 0.05	 0.01
     246	NGC3031	157	 -7.8	 -91	12	140	  3	 0.03	 0.01	 0.03	 0.01
     247	NGC3031	157	 -6.2	 -82	12	152	  1	 0.03	 0.01	 0.00	 0.01
     248	NGC3031	157	 -4.8	 -78	12	158	  3	 0.06	 0.01	 0.02	 0.01
     249	NGC3031	157	 -3.8	 -69	12	157	  3	 0.05	 0.01	-0.01	 0.01
     250	NGC3031	157	 -2.9	 -62	12	163	  2	 0.04	 0.01	 0.00	 0.01
     251	NGC3031	157	 -2.2	 -51	12	165	  2	 0.07	 0.01	-0.02	 0.01
     252	NGC3031	157	 -1.6	 -47	12	164	  2	 0.07	 0.01	-0.03	 0.01
     253	NGC3031	157	 -1.0	 -39	12	168	  3	 0.06	 0.01	 0.01	 0.01
     254	NGC3031	157	 -0.4	 -36	12	173	  3	 0.05	 0.02	-0.03	 0.02
     255	NGC3031	157	  0.2	 -27	12	173	  1	 0.01	 0.01	-0.03	 0.01
     256	NGC3031	157	  0.8	 -18	12	169	  2	 0.05	 0.01	 0.01	 0.01
     257	NGC3031	157	  1.4	 -19	12	169	  3	 0.05	 0.02	-0.05	 0.02
     258	NGC3031	157	  2.0	  -3	12	167	  2	 0.03	 0.01	-0.03	 0.01
     259	NGC3031	157	  2.8	   7	12	163	  2	-0.02	 0.01	 0.00	 0.01
     260	NGC3031	157	  3.7	  14	12	162	  2	 0.00	 0.01	-0.03	 0.01
     261	NGC3031	157	  4.7	  18	12	159	  3	-0.01	 0.02	 0.00	 0.02
     262	NGC3031	157	  6.1	  22	12	152	  2	 0.00	 0.02	-0.03	 0.02
     263	NGC3031	157	  7.8	  30	12	151	  2	-0.01	 0.01	 0.01	 0.01
     264	NGC3031	157	 10.4	  46	12	155	  8	-0.03	 0.04	-0.02	 0.04
     265	NGC3031	157	 11.6	  52	12	140	  8	-0.04	 0.05	-0.01	 0.05
     266	NGC3031	157	 13.0	  57	12	143	 10	-0.04	 0.05	-0.02	 0.05
     267	NGC3031	157	 14.6	  70	12	124	 17	-0.11	 0.08	 0.05	 0.08
     268	NGC3031	157	 16.5	  89	12	131	  6	-0.07	 0.03	 0.08	 0.03
     269	NGC3031	157	 18.8	  82	12	130	  8	-0.04	 0.04	 0.03	 0.04
     270	NGC3031	157	 21.4	  77	12	126	 18	-0.05	 0.08	 0.07	 0.08
     271	NGC3031	157	 23.7	  99	12	128	 13	-0.12	 0.07	 0.02	 0.07
     272	NGC3031	157	 27.0	 101	15	123	 15	-0.12	 0.10	-0.03	 0.10
     273	NGC3031	157	 31.6	  95	12	136	 12	-0.03	 0.08	-0.03	 0.08
     274	NGC3031	157	 32.1	  93	17	137	 20	 0.00	 0.11	 0.00	 0.11
     275	NGC3031	157	 35.8	 115	12	122	  3	 0.00	 0.02	 0.00	 0.02
     276	NGC3031	157	 41.1	 106	12	123	  2	 0.00	 0.02	 0.00	 0.02
     277	NGC3031	157	 46.8	 103	12	119	  2	 0.00	 0.01	 0.00	 0.01
     278	NGC3200	169	-52.9	3252	59	 92	 35	     	     	     	
     279	NGC3200	169	-16.4	3333	12	 67	  7	     	     	     	
     280	NGC3200	169	 -3.7	3464	13	190	 22	     	     	     	
     281	NGC3200	169	 -1.7	3510	12	192	  6	     	     	     	
     282	NGC3200	169	 -0.6	3536	15	231	 12	     	     	     	
     283	NGC3200	169	  0.2	3565	12	185	 11	     	     	     	
     284	NGC3200	169	  1.4	3576	12	197	 20	     	     	     	
     285	NGC3200	169	  3.3	3595	12	155	 12	     	     	     	
     286	NGC3200	169	 14.2	3715	13	 89	  8	     	     	     	
     287	NGC3200	169	 51.0	3745	12	 71	  5	     	     	     	
     288	NGC3368	  5	-13.0	 785	12	130	  1	     	     	     	
     289	NGC3368	  5	 -9.1	 771	12	133	  2	     	     	     	
     290	NGC3368	  5	 -6.9	 753	12	108	  1	     	     	     	
     291	NGC3368	  5	 -5.3	 756	12	120	  2	     	     	     	
     292	NGC3368	  5	 -3.9	 758	12	135	  1	     	     	     	
     293	NGC3368	  5	 -2.7	 791	12	143	  1	     	     	     	
     294	NGC3368	  5	 -1.7	 818	12	143	  1	     	     	     	
     295	NGC3368	  5	 -0.9	 846	12	135	  1	     	     	     	
     296	NGC3368	  5	 -0.3	 860	12	133	  0	     	     	     	
     297	NGC3368	  5	  0.2	 859	12	126	  1	     	     	     	
     298	NGC3368	  5	  0.8	 870	12	137	  0	     	     	     	
     299	NGC3368	  5	  1.4	 878	12	127	  1	     	     	     	
     300	NGC3368	  5	  2.2	 889	12	129	  0	     	     	     	
     301	NGC3368	  5	  3.3	 896	12	111	  1	     	     	     	
     302	NGC3368	  5	  5.4	 938	12	114	  2	     	     	     	
     303	NGC3368	  5	  8.9	 939	12	130	  1	     	     	     	
     304	NGC3368	  5	 16.0	 947	12	130	  0	     	     	     	
     305	NGC3368	  5	 29.8	 986	12	122	  7	     	     	     	
     306	NGC3705	122	  9.8	1071	12	 89	 10	     	     	     	
     307	NGC3705	122	  4.7	1057	13	 85	  7	     	     	     	
     308	NGC3705	122	  3.5	1043	12	108	  6	     	     	     	
     309	NGC3705	122	  2.4	1035	12	104	 14	     	     	     	
     310	NGC3705	122	  1.7	1034	12	102	  4	     	     	     	
     311	NGC3705	122	  1.1	1019	12	113	  9	     	     	     	
     312	NGC3705	122	  0.6	1001	12	105	 10	     	     	     	
     313	NGC3705	122	  0.3	1022	12	100	 15	     	     	     	
     314	NGC3705	122	  0.0	1008	12	118	  3	     	     	     	
     315	NGC3705	122	 -0.3	 997	12	110	 14	     	     	     	
     316	NGC3705	122	 -0.6	1002	12	119	 13	     	     	     	
     317	NGC3705	122	 -1.0	 980	12	106	 16	     	     	     	
     318	NGC3705	122	 -1.6	 971	12	113	  7	     	     	     	
     319	NGC3705	122	 -2.3	 991	12	 90	 11	     	     	     	
     320	NGC3705	122	 -3.5	 959	12	 91	 22	     	     	     	
     321	NGC3705	122	 -5.3	 962	12	133	  8	     	     	     	
     322	NGC3705	122	 -7.7	 973	12	 88	 10	     	     	     	
     323	NGC3810	 15	-14.3	 955	17	 65	  1	     	     	     	
     324	NGC3810	 15	 -5.7	 958	12	 67	  4	     	     	     	
     325	NGC3810	 15	 -2.3	 984	12	 74	  6	     	     	     	
     326	NGC3810	 15	 -0.7	 985	12	 46	  4	     	     	     	
     327	NGC3810	 15	  0.5	 991	12	 67	  5	     	     	     	
     328	NGC3810	 15	  1.7	1016	14	 63	  0	     	     	     	
     329	NGC3810	 15	  4.4	1017	17	 78	  4	     	     	     	
     330	NGC3810	 15	 10.0	1075	12	 73	  6	     	     	     	
     331	NGC4419	133	 53.4	 -56	12	 34	  1	     	     	     	
     332	NGC4419	133	 28.6	 -68	13	 77	 19	     	     	     	
     333	NGC4419	133	 16.9	 -74	12	 34	  0	     	     	     	
     334	NGC4419	133	 12.7	-106	12	 58	 10	     	     	     	
     335	NGC4419	133	  9.5	-105	12	 78	  6	     	     	     	
     336	NGC4419	133	  6.7	-126	12	 90	  1	     	     	     	
     337	NGC4419	133	  4.7	-144	15	 90	 10	     	     	     	
     338	NGC4419	133	  3.0	-177	12	 85	  2	     	     	     	
     339	NGC4419	133	  1.4	-196	12	104	  6	     	     	     	
     340	NGC4419	133	  0.2	-219	12	102	  5	     	     	     	
     341	NGC4419	133	 -0.6	-208	12	 86	  3	     	     	     	
     342	NGC4419	133	 -1.4	-211	13	103	  8	     	     	     	
     343	NGC4419	133	 -2.6	-239	12	126	  5	     	     	     	
     344	NGC4419	133	 -4.2	-242	12	110	  3	     	     	     	
     345	NGC4419	133	 -6.2	-250	12	 46	  2	     	     	     	
     346	NGC4419	133	 -9.0	-283	12	 77	  9	     	     	     	
     347	NGC4419	133	-13.6	-324	12	 85	 13	     	     	     	
     348	NGC4419	133	-24.7	-327	12	 52	  2	     	     	     	
     349	NGC4419	133	-52.1	-327	14	 47	  8	     	     	     	
     350	NGC5064	 38	-41.9	2778	 8	107	 10	 0.00	 0.07	 0.00	 0.07
     351	NGC5064	 38	-18.1	2875	28	250	 17	 0.03	 0.10	-0.15	 0.10
     352	NGC5064	 38	-10.4	2869	23	233	 13	 0.04	 0.09	-0.14	 0.09
     353	NGC5064	 38	 -7.4	2857	11	232	  7	 0.14	 0.04	-0.09	 0.04
     354	NGC5064	 38	 -5.7	2876	13	230	 14	 0.12	 0.05	-0.03	 0.05
     355	NGC5064	 38	 -4.5	2864	10	207	 17	 0.17	 0.04	 0.08	 0.04
     356	NGC5064	 38	 -3.6	2884	10	220	  7	 0.18	 0.04	-0.08	 0.04
     357	NGC5064	 38	 -2.8	2898	13	201	 17	 0.09	 0.06	 0.01	 0.06
     358	NGC5064	 38	 -2.2	2906	 9	236	  5	 0.17	 0.04	-0.10	 0.04
     359	NGC5064	 38	 -1.5	2914	 6	198	  6	 0.10	 0.03	-0.05	 0.03
     360	NGC5064	 38	 -1.0	2935	 9	215	  6	 0.14	 0.04	-0.08	 0.04
     361	NGC5064	 38	 -0.7	2958	 7	189	  7	-0.02	 0.03	-0.02	 0.03
     362	NGC5064	 38	 -0.4	2985	 8	197	  9	 0.05	 0.04	-0.02	 0.04
     363	NGC5064	 38	 -0.1	2970	 9	187	 10	 0.08	 0.04	-0.01	 0.04
     364	NGC5064	 38	  0.2	2991	10	193	 12	 0.01	 0.05	 0.01	 0.05
     365	NGC5064	 38	  0.6	3005	 8	184	  6	 0.04	 0.04	-0.08	 0.04
     366	NGC5064	 38	  0.9	3020	 7	187	  8	 0.05	 0.03	-0.01	 0.03
     367	NGC5064	 38	  1.4	3031	 8	206	  4	 0.04	 0.03	-0.12	 0.03
     368	NGC5064	 38	  2.0	3048	 8	198	  8	-0.06	 0.04	-0.04	 0.04
     369	NGC5064	 38	  2.6	3074	 9	182	 11	 0.00	 0.05	 0.00	 0.05
     370	NGC5064	 38	  3.4	3086	 6	187	  4	-0.09	 0.03	-0.07	 0.03
     371	NGC5064	 38	  4.4	3096	22	218	 17	-0.09	 0.09	-0.07	 0.09
     372	NGC5064	 38	  5.5	3098	16	191	 17	-0.04	 0.07	-0.02	 0.07
     373	NGC5064	 38	  7.2	3100	12	194	  8	-0.03	 0.05	-0.09	 0.05
     374	NGC5064	 38	 10.7	3067	19	149	 28	 0.38	 0.11	 0.05	 0.11
     375	NGC5064	 38	 39.0	3120	 5	 61	  5	 0.00	 0.06	 0.00	 0.06
     376	NGC5854	 25	-14.3	1735	12	 63	  3	-0.10	 0.10	-0.20	 0.10
     377	NGC5854	 25	 -8.0	1719	12	 84	  5	-0.20	 0.10	-0.10	 0.10
     378	NGC5854	 25	 -5.7	1687	12	101	  5	 0.00	 0.00	 0.00	 0.00
     379	NGC5854	 25	 -4.1	1662	12	 97	  6	 0.00	 0.00	 0.00	 0.00
     380	NGC5854	 25	 -2.9	1656	12	101	  4	 0.00	 0.10	-0.10	 0.10
     381	NGC5854	 25	 -2.1	1662	12	104	  3	 0.00	 0.10	-0.20	 0.10
     382	NGC5854	 25	 -1.3	1669	12	107	  4	-0.10	 0.00	 0.00	 0.00
     383	NGC5854	 25	 -0.5	1645	12	108	  5	-0.10	 0.00	 0.00	 0.00
     384	NGC5854	 25	  0.3	1639	12	 92	  3	 0.00	 0.00	 0.00	 0.00
     385	NGC5854	 25	  1.1	1611	12	110	  4	 0.00	 0.10	-0.10	 0.10
     386	NGC5854	 25	  2.0	1616	12	 97	  3	 0.10	 0.00	-0.20	 0.00
     387	NGC5854	 25	  2.8	1609	12	117	  5	 0.10	 0.10	-0.20	 0.10
     388	NGC5854	 25	  3.9	1594	12	 93	  3	 0.20	 0.00	-0.10	 0.00
     389	NGC5854	 25	  5.6	1586	12	 88	 10	 0.10	 0.10	 0.00	 0.10
     390	NGC5854	 25	  7.9	1556	12	 85	 11	 0.00	 0.10	 0.00	 0.10
     391	NGC5854	 25	 15.1	1554	12	 69	  4	 0.00	 0.10	-0.10	 0.10
     392	NGC5854	145	-12.5	1643	12	 37	  7	 0.20	 0.30	-0.20	 0.30
     393	NGC5854	145	 -5.0	1643	12	 80	  5	-0.10	 0.00	 0.00	 0.00
     394	NGC5854	145	 -3.1	1643	12	108	  6	-0.10	 0.00	 0.00	 0.00
     395	NGC5854	145	 -1.9	1655	12	127	 12	 0.00	 0.10	 0.10	 0.10
     396	NGC5854	145	 -1.1	1655	12	125	 12	 0.10	 0.00	 0.10	 0.00
     397	NGC5854	145	 -0.3	1649	12	105	  8	 0.10	 0.00	 0.10	 0.00
     398	NGC5854	145	  0.5	1634	12	116	  4	 0.00	 0.00	-0.10	 0.00
     399	NGC5854	145	  1.3	1641	12	101	  9	-0.10	 0.00	 0.10	 0.00
     400	NGC5854	145	  2.1	1654	12	 95	  5	-0.10	 0.10	-0.10	 0.10
     401	NGC5854	145	  3.3	1627	12	 80	  6	 0.00	 0.10	 0.00	 0.10
     402	NGC5854	145	  5.2	1623	12	 82	  7	 0.10	 0.10	 0.00	 0.10
     403	NGC5854	 55	-40.4	1732	23	167	 29	 0.18	 0.12	 0.01	 0.12
     404	NGC5854	 55	-16.1	1769	12	 79	  4	-0.05	 0.06	-0.06	 0.06
     405	NGC5854	 55	 -7.8	1698	12	107	  8	-0.11	 0.07	-0.05	 0.07
     406	NGC5854	 55	 -4.3	1684	12	 99	  5	-0.08	 0.04	 0.03	 0.04
     407	NGC5854	 55	 -2.3	1647	12	118	  2	-0.07	 0.02	-0.22	 0.02
     408	NGC5854	 55	 -1.1	1648	12	103	  6	-0.07	 0.05	-0.03	 0.05
     409	NGC5854	 55	 -0.3	1638	12	111	  3	 0.06	 0.05	-0.11	 0.05
     410	NGC5854	 55	  0.5	1623	12	 97	  4	 0.08	 0.04	-0.02	 0.04
     411	NGC5854	 55	  1.3	1618	12	112	  5	 0.06	 0.04	-0.05	 0.04
     412	NGC5854	 55	  2.4	1629	12	111	  3	-0.07	 0.04	-0.08	 0.04
     413	NGC5854	 55	  4.4	1587	12	 86	  5	-0.06	 0.04	 0.03	 0.04
     414	NGC5854	 55	  7.9	1567	12	 89	  8	 0.08	 0.06	 0.03	 0.06
     415	NGC5854	 55	 16.8	1517	12	 66	  3	 0.00	 0.07	-0.09	 0.07
     416	NGC5854	 55	 43.7	1537	14	 59	  8	 0.07	 0.20	-0.29	 0.20
     417	NGC7331	171	 58.9	 617	12	 27	  3	 0.00	 0.09	 0.00	 0.09
     418	NGC7331	171	 45.7	 581	12	 35	  5	 0.00	 0.10	 0.00	 0.10
     419	NGC7331	171	 37.2	 604	12	 78	  6	 0.00	 0.06	 0.00	 0.06
     420	NGC7331	171	 32.8	 612	12	 58	 12	 0.19	 0.06	 0.28	 0.06
     421	NGC7331	171	 24.7	 621	12	 58	  8	 0.19	 0.05	 0.24	 0.05
     422	NGC7331	171	 19.2	 635	12	 74	 10	 0.20	 0.05	 0.17	 0.05
     423	NGC7331	171	 14.8	 651	12	 91	 20	 0.21	 0.07	 0.27	 0.07
     424	NGC7331	171	 11.5	 658	12	 87	 11	 0.21	 0.05	 0.16	 0.05
     425	NGC7331	171	  9.1	 667	12	 87	 10	 0.17	 0.05	 0.12	 0.05
     426	NGC7331	171	  7.2	 687	12	110	 10	 0.14	 0.05	 0.08	 0.05
     427	NGC7331	171	  5.6	 706	12	118	 10	 0.14	 0.05	 0.04	 0.05
     428	NGC7331	171	  4.2	 741	12	119	  9	 0.02	 0.05	 0.04	 0.05
     429	NGC7331	171	  3.2	 758	12	120	 15	 0.02	 0.06	 0.08	 0.06
     430	NGC7331	171	  2.4	 763	12	127	  8	 0.03	 0.05	 0.02	 0.05
     431	NGC7331	171	  1.8	 768	12	130	 14	 0.05	 0.06	 0.05	 0.06
     432	NGC7331	171	  1.2	 779	12	131	  9	 0.03	 0.05	-0.01	 0.05
     433	NGC7331	171	  0.8	 796	12	145	 10	 0.02	 0.06	-0.01	 0.06
     434	NGC7331	171	  0.5	 796	12	137	  8	 0.04	 0.05	-0.02	 0.05
     435	NGC7331	171	  0.2	 806	12	139	 11	 0.01	 0.06	 0.00	 0.06
     436	NGC7331	171	 -0.1	 826	12	142	  7	-0.02	 0.05	-0.03	 0.05
     437	NGC7331	171	 -0.4	 831	12	134	  8	-0.03	 0.04	 0.01	 0.04
     438	NGC7331	171	 -0.7	 834	12	137	  9	-0.03	 0.06	-0.02	 0.06
     439	NGC7331	171	 -1.2	 847	12	128	  9	-0.01	 0.05	 0.03	 0.05
     440	NGC7331	171	 -1.8	 863	12	132	  7	-0.01	 0.05	-0.01	 0.05
     441	NGC7331	171	 -2.4	 879	12	121	  9	-0.02	 0.05	 0.02	 0.05
     442	NGC7331	171	 -3.1	 896	12	129	  7	-0.05	 0.04	 0.00	 0.04
     443	NGC7331	171	 -4.2	 916	12	122	  7	-0.06	 0.04	 0.01	 0.04
     444	NGC7331	171	 -5.5	 943	12	111	  8	-0.09	 0.05	 0.03	 0.05
     445	NGC7331	171	 -7.3	 963	12	106	  6	-0.16	 0.04	 0.02	 0.04
     446	NGC7331	171	 -9.7	 986	12	 82	  7	-0.16	 0.04	 0.16	 0.04
     447	NGC7331	171	-12.6	1006	12	 76	  6	-0.20	 0.03	 0.13	 0.03
     448	NGC7331	171	-16.8	 998	12	 87	  9	-0.19	 0.04	 0.21	 0.04
     449	NGC7331	171	-26.0	1023	12	 49	  2	-0.28	 0.03	 0.06	 0.03
     450	NGC7331	171	-29.9	1032	12	 36	  1	 0.00	 0.03	 0.00	 0.03
     451	NGC7331	171	-35.4	1031	12	 24	  0	 0.00	 0.02	 0.00	 0.02
     452	NGC7331	171	-57.7	1030	12	 29	  1	 0.00	 0.04	 0.00	 0.04
     453	NGC7331	171	-88.2	1020	12	  5	  0	 0.00	 0.12	 0.00	 0.12

#Table	J_A_A_374_394_table6:
#Name: J/A+A/374/394/table6
#Title: Ionized gas kinematics for the sample galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a7)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	PA	(I3)	Position angle of the slit (G1)	[ucd=pos.posAng]
#Column	Rad	(F5.1)	[-81/82] Radius (G1)	[ucd=pos.angDistance]
#Column	Vel	(I4)	Velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_Vel	(I2)	Velocity error	[ucd=stat.error]
#Column	sigma	(I3)	Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I3)	? Velocity dispersion error	[ucd=stat.error]
#Column	Ion	(a10)	Ionized emission lines	[ucd=phys.atmol.ionization]
recno	Name	PA	Rad	Vel	e_Vel	sigma	e_sigma	Ion
 	 	deg	arcsec	km/s	km/s	km/s	km/s	
--------	-------	---	-----	----	--	---	---	----------
