#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:26:25 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:26:25	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/237/pgc&-out.all&-out.max=unlimited&PGC=1952,18880,66669,67782,8279,2081,5139,6110,8974,9747,9988,10060,10330,11527,11638,12342,12626,13108,13166,16044,23028,24111,25237,25955,26034,26100,27074,27635,27723,28805,30176,32605,34232,34325,34561,35294,36138,36304,37483,38031,38802,40284,40490,41083,44017,44025,45643,48767,48815,49112,49342,49604,49618,49820,50031,50670,51055,51275,51340,51471,51620,51953,52116,52273,52266,52735,53043,53499,53630,54111,54119,54234,55588,56337,57345,58470,59426,64725,66318,66566,66934,67146,67532,67663,67817,68312,69349,69677,70025,70419,70795,71883,72001,72009,72060,73163,279,13646,68743,4948,26246	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7237
#Name: VII/237
#Title: HYPERLEDA. I. Catalog of galaxies (Paturel+, 2003)
#INFO	ivoid=ivo://cds.vizier/vii/237	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/237	    IVOID of underlying data collection
#INFO	creator=Paturel G.	    First author or institution
#INFO	cites=bibcode:2003A&A...412...45P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/237	    Dataset landing page
#INFO	publication_date=2017-09-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_237_pgc:
#Name: VII/237/pgc
#Title: Catalog of galaxies (table 5 in the paper)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	PGC	(I7)	PGC number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	OType	(A2)	[GM ] Object type (1)	[ucd=src.class]
#Column	MType	(a5)	Provisional morphological type from LEDA according to the RC2 code.	[ucd=src.morph.type]
#Column	logD25	(F5.2)	? Apparent diameter (2)	[ucd=phys.angSize;src]
#Column	e_logD25	(F5.2)	? Actual error of logD25	[ucd=stat.error]
#Column	logR25	(F5.2)	? Axis ratio in log scale (log of major axis to minor axis)	[ucd=phys.size;arith.ratio]
#Column	e_logR25	(F5.2)	? Actual error on logR25	[ucd=stat.error]
#Column	PA	(F4)	? Adopted 1950-position angle (3)	[ucd=pos.posAng]
#Column	e_PA	(F4)	? rms uncertainty on PA	[ucd=stat.error]
#Column	o_ANames	(I2)	Number of alternate names.	[ucd=meta.number]
#Column	ANames	(a255)	Alternate names (4)	[ucd=meta.id]
#Column	LEDA	(A4)	Data from the current data-base	[ucd=meta.ref]
#Column	Simbad	(A6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
recno	PGC	RAJ2000	DEJ2000	OType	MType	logD25	e_logD25	logR25	e_logR25	PA	e_PA	o_ANames	ANames	LEDA	Simbad	NED
  856822	  67146	21 40 13.0	-42 32 21	G 	E    	 1.31	 0.08	 0.15	 0.03	  16	   4	 4	NGC7097               ESO287-48             MCG-7-44-029          ESO-LV2870480                                                                                                                                                                                	LEDA	Simbad	NED
  867053	  67532	21 52 15.1	-55 34 11	G 	SBbc 	 1.54	 0.13	 0.57	 0.07	  19	   5	 6	NGC7141               NGC7140               ESO189-7              ESO-LV1890070         FAIRALL354            IRAS21488-5548                                                                                                                                   	LEDA	Simbad	NED
  870317	  67663	21 56 09.6	-49 31 14	G 	SO   	 1.33	 0.07	 0.09	 0.07	 126	  41	 4	NGC7155               ESO237-16             ESO-LV2370160         FAIRALL991                                                                                                                                                                                   	LEDA	Simbad	NED
  873193	  67782	21 59 16.7	-43 52 01	G 	Sbc  	 1.44	 0.06	 0.93	 0.15	  54	   2	 5	ESO288-25             MCG-7-45-002          ESO-LV2880250         FGCE1679              IRAS21562-4406                                                                                                                                                         	LEDA	Simbad	NED
  874298	  67817	22 00 32.6	-43 23 19	G 	E-SO 	 1.41	 0.09	 0.28	 0.09	  10	   5	 4	NGC7166               ESO288-27             MCG-7-45-004          ESO-LV2880270                                                                                                                                                                                	LEDA	Simbad	NED
  884864	  68312	22 13 08.6	-64 50 56	G 	SO-a 	 1.25	 0.05	 0.24	 0.05	  36	   7	 5	NGC7219               ESO108-19             ESO-LV1080190         FAIRALL1002           IRAS22094-6505                                                                                                                                                         	LEDA	Simbad	NED
  894139	  68743	22 23 39.1	-03 25 52	G 	SO   	 1.27	 0.05	 0.18	 0.03	  92	   6	 2	MCG-1-57-004          IRAS22210-0341                                                                                                                                                                                                                           	LEDA	Simbad	NED
  906429	  69349	22 37 29.3	+10 31 54	G 	Sab  	 1.31	 0.07	 0.45	 0.04	  88	   6	 7	NGC7328               UGC12118              MCG2-57-007           CGCG429-15            KUG2234+102           KIG976                IRAS22349+1016                                                                                                             	LEDA	Simbad	NED
  914221	  69677	22 46 03.7	-11 00 04	G 	SO-a 	 1.35	 0.07	 0.04	 0.03	    	    	 3	NGC7371               MCG-2-58-001          NPM1G-11.0516                                                                                                                                                                                                      	LEDA	Simbad	NED
  923127	  70025	22 55 41.8	-05 29 47	G 	SBb  	 1.50	 0.03	 0.66	 0.07	 110	   1	 2	NGC7416               MCG-1-58-004                                                                                                                                                                                                                             	LEDA	Simbad	NED
  930859	  70419	23 04 56.6	+12 19 22	G 	SBbc 	 1.58	 0.04	 0.12	 0.03	  29	   3	 7	NGC7479               UGC12343              MCG2-58-060           CGCG430-58            KUG2302+120           KIG1004               IRAS23024+1203                                                                                                             	LEDA	Simbad	NED
  939225	  70795	23 14 43.9	+04 32 03	GM	SBc  	 1.51	 0.07	 0.48	 0.04	    	    	 6	NGC7541               UGC12447              MCG1-59-017           CGCG406-30            KPG578B               IRAS23121+0415                                                                                                                                   	LEDA	Simbad	NED
  958315	  71883	23 36 31.3	+00 17 49	G 	SBb  	 1.29	 0.05	 0.12	 0.05	  19	  36	 5	NGC7716               UGC12702              MCG0-60-019           CGCG381-13            IRAS23339+0001                                                                                                                                                         	LEDA	Simbad	NED
  960613	  72001	23 38 48.6	-06 31 06	G 	Sc   	 1.53	 0.05	 0.52	 0.10	  17	   2	 3	NGC7721               MCG-1-60-017          IRAS23362-0647                                                                                                                                                                                                     	LEDA	Simbad	NED
  960755	  72009	23 38 57.0	-12 57 42	G 	SBb  	 1.53	 0.06	 0.16	 0.04	  40	   4	 3	NGC7723               MCG-2-60-005          IRAS23363-1314                                                                                                                                                                                                     	LEDA	Simbad	NED
  961718	  72060	23 39 53.7	-12 17 29	G 	SBa  	 1.58	 0.06	 0.11	 0.04	  66	  32	 4	NGC7727               MCG-2-60-008          ARP222                VV67                                                                                                                                                                                         	LEDA	Simbad	NED
  982650	  73163	23 59 25.7	+20 44 59	G 	Sbc  	 1.16	 0.05	 0.04	 0.04	    	    	 7	NGC7798               UGC12884              MCG3-01-010           CGCG456-9             KUG2356+204           MRK332                IRAS23568+2028                                                                                                             	LEDA	Simbad	NED

