#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:19 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:19	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/414/888&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74140888
#Name: J/MNRAS/414/888
#Title: ATLAS3D project. III. (Emsellem+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/mnras/414/888	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/414/888	    IVOID of underlying data collection
#INFO	creator=Emsellem E.	    First author or institution
#INFO	cites=bibcode:2011MNRAS.414..888E	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/414/888	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74140888	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_414_888_tableb1:
#Name: J/MNRAS/414/888/tableb1
#Title: Ellipticities, {lambda}_R_ and V/{sigma} tabulated values for the ATLAS3D sample of 260 ETGs
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Gal	(a10)	Galaxy name from the principal designation from the LEDA database	[ucd=meta.id;meta.main]
#Column	Rmax	(F5.2)	Largest equivalent aperture radius reached by the SAURON maps, in units of the effective radius Re	[ucd=phys.angSize;src]
#Column	epse	(F6.3)	Moment ellipticity measured within one effective radius R, {epsilon}_e_ (1)	[ucd=src.ellipticity]
#Column	epse/2	(F6.3)	Moment ellipticity measured within one-half effective radius Re/2, {epsilon}_e/2_ (1)	[ucd=src.ellipticity]
#Column	Band	(A1)	[GRSC] Source of the radial ellipticity profiles (2)	[ucd=meta.code]
#Column	V/sige	(F6.3)	V/{sigma} as measured within 1Re	[ucd=phys.veloc]
#Column	V/sige/2	(F6.3)	V/{sigma} as measured within Re/2	[ucd=phys.veloc]
#Column	lamRe	(F6.3)	{lambda}_R_ parameter measured within 1Re (3)	[ucd=stat.fit.param]
#Column	lamRe/2	(F6.3)	{lambda}_R_ parameter measured within Re/2 (3)	[ucd=stat.fit.param]
#Column	F/S	(A1)	[F/S] Fast (F) or Slow (S) rotator according to the {lambda}_R_ and {epsilon} values at Re	[ucd=meta.code]
#Column	F/S2	(A1)	[F/S] Fast (F) or Slow (S) rotator according to the {lambda}_R_ and {epsilon} values at Re/2	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Gal	Rmax	epse	epse/2	Band	V/sige	V/sige/2	lamRe	lamRe/2	F/S	F/S2	Simbad	NED	LEDA	_RA	_DE
     138	NGC4442   	 0.62	 0.335	 0.307	G	 0.350	 0.329	 0.363	 0.338	F	F	Simbad	NED	LEDA	187.01622	+09.80362
     139	NGC4452   	 0.42	 0.880	 0.880	G	 0.765	 0.765	 0.648	 0.648	F	F	Simbad	NED	LEDA	187.18045	+11.75503
     140	NGC4458   	 0.68	 0.121	 0.119	G	 0.150	 0.161	 0.072	 0.079	S	S	Simbad	NED	LEDA	187.23972	+13.24192
     141	NGC4459   	 0.64	 0.148	 0.128	G	 0.477	 0.450	 0.438	 0.408	F	F	Simbad	NED	LEDA	187.25011	+13.97858
     142	NGC4461   	 0.68	 0.392	 0.306	G	 0.486	 0.405	 0.511	 0.430	F	F	Simbad	NED	LEDA	187.26254	+13.18386
     143	NGC4472   	 0.26	 0.172	 0.172	G	 0.073	 0.073	 0.077	 0.077	S	S	Simbad	NED	LEDA	187.44499	+08.00041
     144	NGC4473   	 0.71	 0.421	 0.396	G	 0.255	 0.263	 0.229	 0.250	F	F	Simbad	NED	LEDA	187.45366	+13.42932
     145	NGC4474   	 0.72	 0.570	 0.468	G	 0.439	 0.347	 0.446	 0.353	F	F	Simbad	NED	LEDA	187.47310	+14.06867
     146	NGC4476   	 1.07	 0.353	 0.375	G	 0.236	 0.298	 0.153	 0.266	S	F	Simbad	NED	LEDA	187.49617	+12.34867
     147	NGC4477   	 0.44	 0.135	 0.135	C	 0.216	 0.216	 0.221	 0.221	F	F	Simbad	NED	LEDA	187.50905	+13.63644
     148	NGC4478   	 0.98	 0.165	 0.175	G	 0.221	 0.175	 0.233	 0.177	F	F	Simbad	NED	LEDA	187.57266	+12.32858
     149	NGC4483   	 1.02	 0.346	 0.251	G	 0.474	 0.271	 0.465	 0.273	F	F	Simbad	NED	LEDA	187.66925	+09.01566
     150	NGC4486   	 0.28	 0.037	 0.037	G	 0.024	 0.024	 0.021	 0.021	S	S	Simbad	NED	LEDA	187.70593	+12.39112
     151	NGC4486A  	 1.96	 0.224	 0.224	G	 0.379	 0.379	 0.351	 0.351	F	F	Simbad	NED	LEDA	187.74054	+12.27036
     152	NGC4489   	 0.62	 0.085	 0.075	G	 0.176	 0.125	 0.168	 0.117	F	F	Simbad	NED	LEDA	187.71767	+16.75870
     153	NGC4494   	 0.48	 0.173	 0.173	G	 0.219	 0.219	 0.212	 0.212	F	F	Simbad	NED	LEDA	187.85014	+25.77498
     154	NGC4503   	 0.61	 0.446	 0.429	G	 0.510	 0.451	 0.523	 0.470	F	F	Simbad	NED	LEDA	188.02580	+11.17643
     155	NGC4521   	 0.89	 0.566	 0.482	G	 0.794	 0.566	 0.682	 0.534	F	F	Simbad	NED	LEDA	188.19885	+63.93929
     156	NGC4526   	 0.45	 0.361	 0.361	G	 0.563	 0.563	 0.453	 0.453	F	F	Simbad	NED	LEDA	188.51262	+07.69914
     157	NGC4528   	 1.15	 0.392	 0.129	G	 0.112	 0.116	 0.096	 0.102	S	F	Simbad	NED	LEDA	188.52527	+11.32127
     158	NGC4546   	 0.66	 0.527	 0.465	G	 0.653	 0.572	 0.639	 0.579	F	F	Simbad	NED	LEDA	188.87294	-03.79323
     159	NGC4550   	 0.88	 0.649	 0.633	G	 0.122	 0.072	 0.105	 0.061	S	S	Simbad	NED	LEDA	188.87755	+12.22096
     160	NGC4551   	 0.92	 0.284	 0.259	G	 0.311	 0.285	 0.295	 0.259	F	F	Simbad	NED	LEDA	188.90825	+12.26401
     161	NGC4552   	 0.46	 0.047	 0.047	G	 0.051	 0.051	 0.049	 0.049	S	S	Simbad	NED	LEDA	188.91618	+12.55604
     162	NGC4564   	 0.78	 0.560	 0.477	G	 0.640	 0.532	 0.619	 0.536	F	F	Simbad	NED	LEDA	189.11247	+11.43932
     163	NGC4570   	 0.70	 0.626	 0.551	G	 0.586	 0.470	 0.603	 0.498	F	F	Simbad	NED	LEDA	189.22250	+07.24666
     164	NGC4578   	 0.70	 0.289	 0.282	G	 0.669	 0.596	 0.596	 0.544	F	F	Simbad	NED	LEDA	189.37727	+09.55512
     165	NGC4596   	 0.56	 0.254	 0.254	C	 0.310	 0.297	 0.297	 0.280	F	F	Simbad	NED	LEDA	189.98306	+10.17603
     166	NGC4608   	 0.56	 0.115	 0.115	C	 0.194	 0.180	 0.203	 0.185	F	F	Simbad	NED	LEDA	190.30537	+10.15579
     167	NGC4612   	 0.75	 0.204	 0.196	R	 0.428	 0.345	 0.407	 0.324	F	F	Simbad	NED	LEDA	190.38649	+07.31478
     168	NGC4621   	 0.50	 0.365	 0.364	G	 0.273	 0.272	 0.291	 0.291	F	F	Simbad	NED	LEDA	190.50967	+11.64693
     169	NGC4623   	 0.64	 0.673	 0.648	G	 0.660	 0.602	 0.598	 0.564	F	F	Simbad	NED	LEDA	190.54460	+07.67693
     170	NGC4624   	 0.42	 0.065	 0.065	C	 0.292	 0.288	 0.297	 0.293	F	F	Simbad	NED	LEDA	191.27482	+03.05568
     171	NGC4636   	 0.25	 0.094	 0.094	G	 0.039	 0.039	 0.036	 0.036	S	S	Simbad	NED	LEDA	190.70778	+02.68778
     172	NGC4638   	 0.87	 0.606	 0.657	G	 0.909	 0.895	 0.691	 0.715	F	F	Simbad	NED	LEDA	190.69763	+11.44246
     173	NGC4643   	 0.61	 0.249	 0.199	G	 0.321	 0.323	 0.255	 0.254	F	F	Simbad	NED	LEDA	190.83389	+01.97840
     174	NGC4649   	 0.35	 0.156	 0.156	G	 0.123	 0.123	 0.127	 0.127	F	F	Simbad	NED	LEDA	190.91670	+11.55261
     175	NGC4660   	 1.39	 0.441	 0.315	G	 0.603	 0.518	 0.553	 0.475	F	F	Simbad	NED	LEDA	191.13321	+11.19053
     176	NGC4684   	 0.70	 0.598	 0.596	G	 0.713	 0.665	 0.622	 0.600	F	F	Simbad	NED	LEDA	191.82286	-02.72754
     177	NGC4690   	 0.96	 0.266	 0.257	G	 0.149	 0.130	 0.151	 0.123	S	S	Simbad	NED	LEDA	191.98132	-01.65597
     178	NGC4694   	 0.52	 0.547	 0.546	G	 0.275	 0.276	 0.289	 0.295	F	F	Simbad	NED	LEDA	192.06288	+10.98362
     179	NGC4697   	 0.37	 0.447	 0.447	G	 0.363	 0.363	 0.322	 0.322	F	F	Simbad	NED	LEDA	192.14961	-05.80085
     180	NGC4710   	 0.74	 0.699	 0.395	G	 0.731	 0.496	 0.652	 0.456	F	F	Simbad	NED	LEDA	192.41232	+15.16549
     181	NGC4733   	 0.74	 0.060	 0.060	C	 0.096	 0.088	 0.086	 0.076	F	F	Simbad	NED	LEDA	192.77826	+10.91210
     182	NGC4753   	 0.49	 0.213	 0.213	G	 0.537	 0.537	 0.467	 0.467	F	F	Simbad	NED	LEDA	193.09213	-01.19969
     183	NGC4754   	 0.68	 0.480	 0.480	C	 0.445	 0.395	 0.467	 0.418	F	F	Simbad	NED	LEDA	193.07318	+11.31366
     184	NGC4762   	 0.40	 0.852	 0.852	G	 0.783	 0.783	 0.724	 0.724	F	F	Simbad	NED	LEDA	193.23354	+11.23080
     185	NGC4803   	 2.02	 0.282	 0.266	S	 0.192	 0.063	 0.181	 0.054	F	S	Simbad	NED	LEDA	193.89029	+08.24055
     186	NGC5103   	 1.47	 0.594	 0.400	G	 0.588	 0.370	 0.573	 0.386	F	F	Simbad	NED	LEDA	200.12523	+43.08401
     187	NGC5173   	 1.71	 0.133	 0.124	G	 0.164	 0.110	 0.168	 0.106	F	F	Simbad	NED	LEDA	202.10530	+46.59157
     188	NGC5198   	 0.62	 0.146	 0.151	G	 0.074	 0.072	 0.061	 0.057	S	S	Simbad	NED	LEDA	202.54755	+46.67083
     189	NGC5273   	 0.61	 0.108	 0.116	G	 0.554	 0.512	 0.517	 0.482	F	F	Simbad	NED	LEDA	205.53494	+35.65424
     190	NGC5308   	 0.78	 0.735	 0.637	G	 0.641	 0.478	 0.651	 0.510	F	F	Simbad	NED	LEDA	206.75163	+60.97304
     191	NGC5322   	 0.56	 0.307	 0.304	G	 0.126	 0.121	 0.073	 0.067	S	S	Simbad	NED	LEDA	207.31334	+60.19041
     192	NGC5342   	 1.51	 0.586	 0.425	G	 0.637	 0.410	 0.626	 0.439	F	F	Simbad	NED	LEDA	207.85791	+59.86301
     193	NGC5353   	 0.77	 0.552	 0.541	G	 0.689	 0.544	 0.618	 0.532	F	F	Simbad	NED	LEDA	208.36142	+40.28312
     194	NGC5355   	 1.59	 0.296	 0.263	G	 0.288	 0.214	 0.286	 0.211	F	F	Simbad	NED	LEDA	208.43985	+40.33879
     195	NGC5358   	 1.32	 0.592	 0.395	G	 0.675	 0.461	 0.610	 0.442	F	F	Simbad	NED	LEDA	208.50180	+40.27742
     196	NGC5379   	 0.67	 0.627	 0.696	G	 0.920	 0.794	 0.719	 0.677	F	F	Simbad	NED	LEDA	208.89311	+59.74282
     197	NGC5422   	 0.68	 0.604	 0.537	G	 0.588	 0.475	 0.600	 0.501	F	F	Simbad	NED	LEDA	210.17526	+55.16448
     198	NGC5473   	 0.71	 0.211	 0.211	C	 0.437	 0.326	 0.447	 0.324	F	F	Simbad	NED	LEDA	211.18017	+54.89262
     199	NGC5475   	 0.86	 0.697	 0.568	G	 0.965	 0.711	 0.759	 0.638	F	F	Simbad	NED	LEDA	211.30144	+55.74180
     200	NGC5481   	 0.79	 0.214	 0.161	G	 0.159	 0.165	 0.103	 0.091	S	S	Simbad	NED	LEDA	211.67172	+50.72332
     201	NGC5485   	 0.61	 0.171	 0.208	G	 0.176	 0.160	 0.165	 0.149	F	F	Simbad	NED	LEDA	211.79713	+55.00152
     202	NGC5493   	 1.08	 0.561	 0.640	G	 1.095	 1.089	 0.740	 0.773	F	F	Simbad	NED	LEDA	212.87242	-05.04366
     203	NGC5500   	 1.10	 0.234	 0.214	G	 0.178	 0.155	 0.172	 0.146	F	F	Simbad	NED	LEDA	212.56352	+48.54607
     204	NGC5507   	 1.36	 0.252	 0.144	G	 0.479	 0.302	 0.495	 0.306	F	F	Simbad	NED	LEDA	213.33282	-03.14886
     205	NGC5557   	 0.60	 0.169	 0.157	G	 0.048	 0.044	 0.049	 0.045	S	S	Simbad	NED	LEDA	214.60712	+36.49369
     206	NGC5574   	 1.04	 0.627	 0.566	G	 0.443	 0.371	 0.452	 0.382	F	F	Simbad	NED	LEDA	215.23311	+03.23799
     207	NGC5576   	 0.76	 0.306	 0.310	G	 0.097	 0.088	 0.102	 0.091	S	S	Simbad	NED	LEDA	215.26538	+03.27105
     208	NGC5582   	 0.63	 0.320	 0.321	G	 0.676	 0.668	 0.564	 0.567	F	F	Simbad	NED	LEDA	215.17970	+39.69358
     209	NGC5611   	 1.57	 0.559	 0.485	G	 0.816	 0.661	 0.691	 0.590	F	F	Simbad	NED	LEDA	216.01990	+33.04750
     210	NGC5631   	 0.81	 0.127	 0.167	G	 0.171	 0.193	 0.110	 0.166	S	F	Simbad	NED	LEDA	216.63869	+56.58266
     211	NGC5638   	 0.61	 0.091	 0.079	G	 0.253	 0.222	 0.265	 0.229	F	F	Simbad	NED	LEDA	217.41829	+03.23344
     212	NGC5687   	 0.76	 0.379	 0.349	G	 0.486	 0.440	 0.479	 0.435	F	F	Simbad	NED	LEDA	218.71820	+54.47569
     213	NGC5770   	 0.99	 0.061	 0.061	C	 0.242	 0.171	 0.273	 0.174	F	F	Simbad	NED	LEDA	223.31265	+03.95972
     214	NGC5813   	 0.38	 0.170	 0.170	G	 0.161	 0.161	 0.071	 0.071	S	S	Simbad	NED	LEDA	225.29694	+01.70197
     215	NGC5831   	 0.81	 0.136	 0.203	G	 0.088	 0.093	 0.063	 0.065	S	S	Simbad	NED	LEDA	226.02927	+01.21992
     216	NGC5838   	 0.67	 0.361	 0.297	G	 0.521	 0.464	 0.521	 0.460	F	F	Simbad	NED	LEDA	226.35947	+02.09936
     217	NGC5839   	 1.03	 0.100	 0.169	G	 0.385	 0.269	 0.430	 0.298	F	F	Simbad	NED	LEDA	226.36447	+01.63463
     218	NGC5845   	 2.57	 0.264	 0.236	G	 0.402	 0.368	 0.404	 0.358	F	F	Simbad	NED	LEDA	226.50328	+01.63382
     219	NGC5846   	 0.38	 0.062	 0.062	R	 0.037	 0.037	 0.032	 0.032	S	S	Simbad	NED	LEDA	226.62189	+01.60564
     220	NGC5854   	 0.79	 0.575	 0.426	G	 0.761	 0.531	 0.678	 0.515	F	F	Simbad	NED	LEDA	226.94885	+02.56856
     221	NGC5864   	 0.59	 0.695	 0.658	G	 0.630	 0.556	 0.603	 0.550	F	F	Simbad	NED	LEDA	227.38979	+03.05274
     222	NGC5866   	 0.44	 0.566	 0.566	G	 0.349	 0.349	 0.319	 0.319	F	F	Simbad	NED	LEDA	226.62317	+55.76331
     223	NGC5869   	 0.85	 0.245	 0.244	G	 0.433	 0.387	 0.428	 0.383	F	F	Simbad	NED	LEDA	227.45605	+00.46997
     224	NGC6010   	 0.84	 0.742	 0.539	G	 0.703	 0.555	 0.679	 0.556	F	F	Simbad	NED	LEDA	238.57977	+00.54303
     225	NGC6014   	 0.58	 0.419	 0.434	G	 0.418	 0.378	 0.387	 0.353	F	F	Simbad	NED	LEDA	238.98910	+05.93184
     226	NGC6017   	 2.53	 0.455	 0.405	G	 0.441	 0.352	 0.429	 0.340	F	F	Simbad	NED	LEDA	239.31453	+05.99836
     227	NGC6149   	 1.65	 0.325	 0.279	G	 0.656	 0.579	 0.563	 0.513	F	F	Simbad	NED	LEDA	246.85115	+19.59729
     228	NGC6278   	 1.02	 0.409	 0.401	G	 0.521	 0.368	 0.576	 0.411	F	F	Simbad	NED	LEDA	255.20976	+23.01096
     229	NGC6547   	 1.22	 0.674	 0.456	G	 0.616	 0.410	 0.632	 0.444	F	F	Simbad	NED	LEDA	271.29175	+25.23264
     230	NGC6548   	 0.66	 0.107	 0.107	C	 0.315	 0.254	 0.326	 0.261	F	F	Simbad	NED	LEDA	271.49682	+18.58722
     231	NGC6703   	 0.68	 0.019	 0.017	G	 0.043	 0.038	 0.041	 0.035	S	F	Simbad	NED	LEDA	281.82852	+45.55065
     232	NGC6798   	 0.95	 0.461	 0.372	G	 0.488	 0.322	 0.483	 0.310	F	F	Simbad	NED	LEDA	291.01330	+53.62475
     233	NGC7280   	 0.82	 0.363	 0.377	G	 0.606	 0.538	 0.557	 0.503	F	F	Simbad	NED	LEDA	336.61490	+16.14827
     234	NGC7332   	 0.85	 0.674	 0.469	G	 0.490	 0.291	 0.561	 0.338	F	F	Simbad	NED	LEDA	339.35217	+23.79835
     235	NGC7454   	 0.65	 0.364	 0.363	R	 0.106	 0.091	 0.094	 0.067	S	S	Simbad	NED	LEDA	345.27713	+16.38837
     236	NGC7457   	 0.62	 0.470	 0.438	G	 0.546	 0.478	 0.519	 0.465	F	F	Simbad	NED	LEDA	345.24972	+30.14489
     237	NGC7465   	 2.17	 0.364	 0.406	G	 0.343	 0.352	 0.283	 0.294	F	F	Simbad	NED	LEDA	345.50397	+15.96487
     238	NGC7693   	 1.34	 0.233	 0.275	G	 0.686	 0.440	 0.616	 0.408	F	F	Simbad	NED	LEDA	353.29367	-01.29201
     239	NGC7710   	 1.84	 0.581	 0.548	S	 0.293	 0.136	 0.340	 0.137	F	S	Simbad	NED	LEDA	353.94226	-02.88094
     240	PGC016060 	 1.32	 0.694	 0.681	G	 1.019	 0.682	 0.759	 0.616	F	F	Simbad	NED	LEDA	072.14339	-03.86710
     241	PGC028887 	 1.49	 0.323	 0.312	G	 0.282	 0.332	 0.145	 0.252	S	F	Simbad	NED	LEDA	149.93129	+11.66081
     242	PGC029321 	 2.32	 0.140	 0.146	G	 0.339	 0.187	 0.336	 0.175	F	F	Simbad	NED	LEDA	151.46322	+12.96121
     243	PGC035754 	 2.60	 0.275	 0.333	G	 0.258	 0.275	 0.210	 0.266	F	F	Simbad	NED	LEDA	173.61472	+33.17891
     244	PGC042549 	 1.57	 0.369	 0.450	G	 0.771	 0.560	 0.673	 0.529	F	F	Simbad	NED	LEDA	190.31651	-05.00918
     245	PGC044433 	 3.00	 0.335	 0.184	S	 0.362	 0.205	 0.357	 0.200	F	F	Simbad	NED	LEDA	194.57811	+13.39141
     246	PGC050395 	 1.58	 0.233	 0.240	G	 0.149	 0.111	 0.138	 0.089	S	S	Simbad	NED	LEDA	211.91355	+54.79457
     247	PGC051753 	 1.54	 0.549	 0.538	G	 0.668	 0.538	 0.587	 0.513	F	F	Simbad	NED	LEDA	217.31032	+44.69910
     248	PGC054452 	 1.17	 0.189	 0.175	G	 0.435	 0.316	 0.416	 0.307	F	F	Simbad	NED	LEDA	228.89418	+02.24819
     249	PGC056772 	 1.87	 0.493	 0.467	G	 0.386	 0.443	 0.310	 0.420	F	F	Simbad	NED	LEDA	240.54458	+07.08722
     250	PGC058114 	 1.95	 0.185	 0.213	R	 0.228	 0.159	 0.176	 0.132	F	F	Simbad	NED	LEDA	246.51784	+02.90655
     251	PGC061468 	 1.58	 0.231	 0.230	G	 0.464	 0.391	 0.409	 0.360	F	F	Simbad	NED	LEDA	272.36075	+19.11768
     252	PGC071531 	 2.35	 0.305	 0.235	R	 0.323	 0.263	 0.333	 0.266	F	F	Simbad	NED	LEDA	352.12134	+19.86396
     253	PGC170172 	 2.08	 0.195	 0.372	G	 0.287	 0.192	 0.324	 0.218	F	F	Simbad	NED	LEDA	176.73172	-05.18774
     254	UGC03960  	 0.93	 0.190	 0.081	G	 0.130	 0.109	 0.119	 0.094	S	F	Simbad	NED	LEDA	115.09485	+23.27509
     255	UGC04551  	 1.59	 0.137	 0.137	G	 0.252	 0.205	 0.277	 0.214	F	F	Simbad	NED	LEDA	131.02458	+49.79397
     256	UGC05408  	 2.68	 0.168	 0.248	G	 0.290	 0.270	 0.278	 0.292	F	F	Simbad	NED	LEDA	150.96610	+59.43614
     257	UGC06062  	 1.55	 0.449	 0.449	C	 0.472	 0.325	 0.475	 0.332	F	F	Simbad	NED	LEDA	164.65666	+09.05047
     258	UGC06176  	 1.58	 0.252	 0.330	G	 0.670	 0.447	 0.585	 0.426	F	F	Simbad	NED	LEDA	166.85275	+21.65719
     259	UGC08876  	 1.93	 0.408	 0.180	S	 0.311	 0.182	 0.341	 0.189	F	F	Simbad	NED	LEDA	209.24194	+45.97318
     260	UGC09519  	 2.48	 0.484	 0.407	G	 0.764	 0.631	 0.632	 0.552	F	F	Simbad	NED	LEDA	221.58803	+34.37065

