#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:33 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/342/671&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33420671
#Name: J/A+A/342/671
#Title: Early-type spiral galaxies kinematics (Corsini+ 1999)
#INFO	ivoid=ivo://cds.vizier/j/a+a/342/671	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/342/671	    IVOID of underlying data collection
#INFO	creator=Funes J.G.S.J.	    First author or institution
#INFO	cites=bibcode:1999A&A...342..671F	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=1999	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/342/671	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33420671	    Dataset identifier that can be used for citation
#INFO	publication_date=1999-02-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_342_671_halpha:
#Name: J/A+A/342/671/halpha
#Title: H{alpha} kinematics
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a8)	Galaxy name (1)	[ucd=meta.id;meta.main]
#Column	r	(F6.1)	Galactocentric distance	[ucd=pos.angDistance]
#Column	HRV	(I4)	Heliocentric radial velocity measured along the major axis	[ucd=phys.veloc;pos.heliocentric]
#Column	e_HRV	(I2)	Heliocentric radial velocity error	[ucd=stat.error]
#Column	sigma	(I3)	Velocity dispersion measured along the major axis	[ucd=phys.veloc.dispersion]
#Column	n	(I2)	Number of rebinned rows	[ucd=meta.number]
#Column	S/N	(F5.1)	? Signal-to-noise ratio	[ucd=stat.snr]
recno	Galaxy	r	HRV	e_HRV	sigma	n	S/N
     113	NGC 3281	  11.4	3554	 2	 78	 1	 37.8
     114	NGC 3281	  13.8	3542	 4	 88	 1	 22.0
     115	NGC 3281	  16.3	3548	 5	 78	 1	 15.7
     116	NGC 3281	  18.7	3559	 8	 68	 1	  9.0
     117	NGC 3281	  21.1	3570	 6	 52	 1	 13.9
     118	NGC 3281	  23.5	3576	 5	 52	 1	 16.8
     119	NGC 3281	  26.0	3566	 6	 54	 1	 13.3
     120	NGC 3281	  28.4	3584	 6	 47	 1	 12.6
     121	NGC 3281	  30.8	3576	11	 85	 1	  6.3
     122	NGC 3281	  33.3	3604	12	 72	 1	  5.9
     123	NGC 3281	  35.7	3622	14	107	 1	  5.0
     124	NGC 3281	  38.1	3607	19	 93	 1	  3.5
     125	NGC 3281	  40.6	3620	12	 81	 1	  5.9
     126	NGC 3281	  43.0	3661	19	 90	 1	  3.5
     127	NGC 3281	  45.4	3651	22	 99	 1	  3.1
     128	NGC 3281	  50.3	3662	23	 68	 3	  3.0
     129	IC 724  	 -54.5	5716	21	 54	 2	  3.2
     130	IC 724  	 -50.9	5732	15	 24	 1	  4.5
     131	IC 724  	 -48.5	5741	13	 21	 1	  5.3
     132	IC 724  	 -46.0	5740	 9	 44	 1	  8.7
     133	IC 724  	 -43.6	5738	 6	 53	 1	 13.0
     134	IC 724  	 -41.2	5744	 6	 43	 1	 14.1
     135	IC 724  	 -38.7	5762	13	 63	 1	  5.3
     136	IC 724  	 -36.3	5765	29	 56	 1	  2.3
     137	IC 724  	 -32.7	5755	19	 14	 2	  3.5
     138	IC 724  	 -27.8	5778	27	 95	 2	  2.5
     139	IC 724  	 -22.9	5758	18	 48	 2	  3.8
     140	IC 724  	 -18.1	5772	20	 93	 2	  3.4
     141	IC 724  	 -14.4	5692	15	 83	 1	  4.7
     142	IC 724  	 -12.0	5723	11	 98	 1	  6.4
     143	IC 724  	  -9.6	5708	 9	 77	 1	  8.1
     144	IC 724  	  -7.1	5741	 6	134	 1	 12.1
     145	IC 724  	  -4.7	5829	 4	190	 1	 23.3
     146	IC 724  	  -2.3	5899	 2	184	 1	 42.9
     147	IC 724  	   0.2	5971	 2	205	 1	 51.5
     148	IC 724  	   2.6	6055	 2	185	 1	 45.0
     149	IC 724  	   5.0	6144	 3	161	 1	 26.8
     150	IC 724  	   7.4	6222	 6	126	 1	 13.9
     151	IC 724  	   9.9	6256	 5	 67	 1	 16.0
     152	IC 724  	  12.3	6246	 7	 63	 1	 11.1
     153	IC 724  	  14.7	6231	12	 75	 1	  6.1
     154	IC 724  	  18.4	6186	16	 70	 1	  4.5
     155	IC 724  	  24.5	6200	18	 55	 2	  3.9
     156	IC 724  	  29.3	6143	14	 12	 3	  5.1
     157	IC 724  	  31.7	6178	18	 17	 1	  3.9
     158	IC 724  	  34.2	6205	25	  4	 1	  2.6
     159	IC 724  	  36.6	6191	26	 16	 1	  2.6
     160	IC 724  	  39.0	6193	 8	 34	 1	  9.6
     161	IC 724  	  41.5	6192	 4	 34	 1	 18.8
     162	IC 724  	  43.9	6191	 3	 34	 1	 29.0
     163	IC 724  	  46.3	6194	 4	 40	 1	 23.2
     164	IC 724  	  48.8	6204	 6	 37	 1	 12.3
     165	IC 724  	  51.2	6222	13	 10	 1	  5.3
     166	IC 724  	  53.6	6194	19	 20	 1	  3.7
     167	NGC 4698	-100.7	1197	30	 55	 2	  2.2
     168	NGC 4698	 -95.9	1221	39	  0	 2	  1.6
     169	NGC 4698	 -89.8	1206	21	 51	 3	  3.3
     170	NGC 4698	 -77.7	1237	25	  0	 3	  2.7
     171	NGC 4698	 -71.6	1205	14	  2	 2	  5.2
     172	NGC 4698	 -66.7	1217	11	 54	 2	  6.5
     173	NGC 4698	 -61.9	1214	18	 47	 2	  3.9
     174	NGC 4698	 -57.0	1182	17	 28	 2	  4.2
     175	NGC 4698	 -52.2	1177	 7	 38	 2	 10.1
     176	NGC 4698	 -47.3	1177	 6	 52	 2	 12.1
     177	NGC 4698	 -42.4	1158	 9	 47	 2	  8.2
     178	NGC 4698	 -38.8	1154	 9	 32	 1	  8.4
     179	NGC 4698	 -36.3	1177	12	 18	 1	  6.0
     180	NGC 4698	 -33.9	1150	14	 24	 1	  5.1
     181	NGC 4698	 -31.5	1166	 8	 47	 1	  9.5
     182	NGC 4698	 -29.1	1164	 6	  0	 1	 12.3
     183	NGC 4698	 -26.6	1149	 6	 65	 1	 12.9
     184	NGC 4698	 -24.2	1143	 6	 65	 1	 13.2
     185	NGC 4698	 -21.8	1151	 6	 70	 1	 13.4
     186	NGC 4698	 -19.3	1149	 5	 45	 1	 15.2
     187	NGC 4698	 -16.9	1126	 4	 46	 1	 23.0
     188	NGC 4698	 -14.5	1126	 4	 67	 1	 21.9
     189	NGC 4698	 -12.1	1118	 3	 66	 1	 24.1
     190	NGC 4698	  -9.6	1102	 3	 68	 1	 33.3
     191	NGC 4698	  -7.2	1070	 2	 91	 1	 38.8
     192	NGC 4698	  -4.8	1036	 2	 92	 1	 68.6
     193	NGC 4698	  -2.3	1030	 2	108	 1	146.6
     194	NGC 4698	   0.1	1018	 2	 97	 1	254.8
     195	NGC 4698	   2.5	1004	 2	102	 1	127.3
     196	NGC 4698	   5.0	 982	 2	 91	 1	 47.1
     197	NGC 4698	   7.4	 965	 3	 60	 1	 26.2
     198	NGC 4698	   9.8	 955	 4	 79	 1	 18.8
     199	NGC 4698	  12.3	 922	 6	 78	 1	 12.7
     200	NGC 4698	  14.7	 894	 6	 54	 1	 12.8
     201	NGC 4698	  17.1	 867	 4	 32	 1	 21.3
     202	NGC 4698	  19.5	 864	 4	 42	 1	 19.9
     203	NGC 4698	  22.0	 861	 5	 44	 1	 14.5
     204	NGC 4698	  24.4	 883	10	 41	 1	  7.7
     205	NGC 4698	  26.8	 912	11	 41	 1	  6.7
     206	NGC 4698	  29.3	 867	 8	 46	 1	  8.8
     207	NGC 4698	  31.7	 840	 5	 46	 1	 14.6
     208	NGC 4698	  34.1	 848	 8	 20	 1	  9.3
     209	NGC 4698	  36.5	 850	 9	 69	 1	  8.0
     210	NGC 4698	  39.0	 827	 9	 38	 1	  8.4
     211	NGC 4698	  41.4	 833	12	 48	 1	  5.9
     212	NGC 4698	  43.8	 839	13	 55	 1	  5.7
     213	NGC 4698	  46.3	 836	10	 73	 1	  7.0
     214	NGC 4698	  48.7	 826	 9	  0	 1	  7.8
     215	NGC 4698	  52.3	 828	 9	 32	 2	  8.6
     216	NGC 4698	  57.2	 823	10	 15	 2	  7.7
     217	NGC 4698	  62.1	 810	10	 19	 2	  7.7
     218	NGC 4698	  66.9	 804	 8	 17	 2	  9.1
     219	NGC 4698	  71.8	 803	 7	 13	 2	 11.6
     220	NGC 4698	  80.3	 793	10	 31	 3	  7.2
     221	NGC 4698	  87.6	 819	11	 14	 3	  6.7
     222	NGC 4698	  93.7	 811	29	  0	 2	  2.2
     223	NGC 4698	 113.1	 763	87	  0	 4	  0.7
     224	NGC 4845	-100.0	1286	87	 41	 9	  0.7
     225	NGC 4845	 -81.8	1214	16	 59	 5	  4.5
     226	NGC 4845	 -74.5	1232	16	 17	 1	  4.2
     227	NGC 4845	 -72.1	1227	22	 61	 1	  3.1
     228	NGC 4845	 -69.6	1254	10	 30	 1	  7.1
     229	NGC 4845	 -67.2	1243	12	 46	 1	  6.2
     230	NGC 4845	 -64.8	1242	 8	 17	 1	  9.0
     231	NGC 4845	 -62.3	1257	 8	 44	 1	  9.9
     232	NGC 4845	 -59.9	1267	 8	 39	 1	  9.1
     233	NGC 4845	 -57.5	1260	 6	 46	 1	 11.8
     234	NGC 4845	 -55.0	1262	 9	 42	 1	  8.6
     235	NGC 4845	 -52.6	1259	 7	 16	 1	 10.4
     236	NGC 4845	 -50.2	1238	11	 73	 1	  6.7
     237	NGC 4845	 -47.8	1237	 8	 48	 1	  9.7
     238	NGC 4845	 -45.3	1254	12	 90	 1	  6.2
     239	NGC 4845	 -42.9	1241	11	 54	 1	  6.4
     240	NGC 4845	 -40.5	1240	17	103	 1	  4.1
     241	NGC 4845	 -38.0	1245	13	 70	 1	  5.6
     242	NGC 4845	 -35.6	1265	12	122	 1	  5.7
     243	NGC 4845	 -33.2	1211	10	 56	 1	  7.1
     244	NGC 4845	 -30.7	1250	14	 79	 1	  4.9
     245	NGC 4845	 -28.3	1258	13	 88	 1	  5.4
     246	NGC 4845	 -25.9	1226	11	 90	 1	  6.4
     247	NGC 4845	 -23.5	1197	 8	 71	 1	  9.7
     248	NGC 4845	 -21.0	1229	 8	 69	 1	 10.1
     249	NGC 4845	 -18.6	1228	 8	 75	 1	 10.1
     250	NGC 4845	 -16.2	1254	 6	 88	 1	 13.4
     251	NGC 4845	 -13.7	1233	 4	 78	 1	 18.4
     252	NGC 4845	 -11.3	1224	 2	 56	 1	 34.5
     253	NGC 4845	  -8.9	1239	 2	 44	 1	 62.1
     254	NGC 4845	  -6.4	1211	 2	 60	 1	143.8
     255	NGC 4845	  -4.0	1194	 2	 66	 1	265.1
     256	NGC 4845	  -1.6	1130	 2	 84	 1	356.6
     257	NGC 4845	   0.9	1057	 2	 83	 1	416.5
     258	NGC 4845	   3.3	 985	 2	 63	 1	427.6
     259	NGC 4845	   5.7	 960	 2	 55	 1	198.9
     260	NGC 4845	   8.1	 952	 2	 60	 1	 65.3
     261	NGC 4845	  10.6	 936	 2	 47	 1	 45.8
     262	NGC 4845	  13.0	 937	 3	 39	 1	 27.5
     263	NGC 4845	  15.4	 954	 6	 85	 1	 14.1
     264	NGC 4845	  17.9	 999	 9	100	 1	  8.2
     265	NGC 4845	  20.3	 983	 8	 83	 1	  8.8
     266	NGC 4845	  22.7	 983	 9	 76	 1	  8.0
     267	NGC 4845	  25.1	 976	12	 77	 1	  6.1
     268	NGC 4845	  27.6	1012	13	 86	 1	  5.4
     269	NGC 4845	  30.0	 994	15	 56	 1	  4.5
     270	NGC 4845	  32.4	 996	12	100	 1	  6.2
     271	NGC 4845	  36.1	1010	10	103	 2	  7.1
     272	NGC 4845	  39.7	 986	 9	 62	 1	  7.9
     273	NGC 4845	  42.2	 993	 9	 52	 1	  8.4
     274	NGC 4845	  49.5	 970	 6	  4	 1	 12.4
     275	NGC 4845	  51.9	 951	 5	 30	 1	 14.8
     276	NGC 4845	  54.3	 966	 6	 34	 1	 13.9
     277	NGC 4845	  56.7	 954	 8	 26	 1	  8.9
     278	NGC 4845	  59.2	 965	 8	  0	 1	  9.4
     279	NGC 4845	  61.6	 974	18	  0	 1	  3.8
     280	NGC 4845	  64.0	 963	23	  0	 1	  3.0
     281	NGC 4845	  71.3	 957	52	  0	 1	  1.2

#Table	J_A_A_342_671_nii6548:
#Name: J/A+A/342/671/nii6548
#Title: [NII] ({lambda}6548.0{AA} kinematics
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a8)	Galaxy name (1)	[ucd=meta.id;meta.main]
#Column	r	(F6.1)	Galactocentric distance	[ucd=pos.angDistance]
#Column	HRV	(I4)	Heliocentric radial velocity measured along the major axis	[ucd=phys.veloc;pos.heliocentric]
#Column	e_HRV	(I2)	Heliocentric radial velocity error	[ucd=stat.error]
#Column	sigma	(I3)	Velocity dispersion measured along the major axis	[ucd=phys.veloc.dispersion]
#Column	n	(I2)	Number of rebinned rows	[ucd=meta.number]
#Column	S/N	(F5.1)	? Signal-to-noise ratio	[ucd=stat.snr]
recno	Galaxy	r	HRV	e_HRV	sigma	n	S/N
 	 	arcsec	km/s	km/s	km/s	 	
--------	--------	------	----	--	---	--	-----
       1	NGC 2775	 -62.3	1514	21	 17	 1	  3.2
       2	NGC 2775	 -59.9	1534	19	 21	 1	  3.6
       3	NGC 2775	 -57.5	1557	21	 40	 1	  3.2
       4	NGC 2775	 -55.0	1537	16	  0	 1	  4.4
       5	NGC 2775	 -52.6	1527	17	  0	 1	  4.2
       6	NGC 2775	 -50.2	1567	15	  0	 1	  4.7
       7	NGC 2775	 -47.7	1563	11	  0	 1	  6.6
       8	NGC 2775	 -45.3	1542	18	 41	 1	  3.9
       9	NGC 2775	 -42.9	1528	22	  0	 1	  3.0
      10	NGC 2775	 -40.4	1521	18	  0	 1	  3.8
      11	NGC 2775	   5.7	1247	 7	 47	 1	 10.3
      12	NGC 2775	   8.2	1251	 9	 42	 1	  8.3
      13	NGC 2775	  10.6	1199	14	 30	 1	  5.2
      14	NGC 2775	  27.6	1059	10	 59	 1	  7.5
      15	NGC 2775	  32.5	1130	12	 39	 1	  5.9
      16	NGC 2775	  34.9	1143	10	 64	 1	  7.3
      17	NGC 2775	  37.3	1169	 7	  0	 1	 10.2
      18	NGC 2775	  39.8	1165	10	  0	 1	  7.6
      19	NGC 2775	  42.2	1130	11	  0	 1	  6.8
      20	NGC 2775	  47.0	1170	10	  0	 1	  7.6
      21	NGC 2775	  49.5	1146	12	  0	 1	  5.8
      22	NGC 2775	  53.1	1145	15	  0	 2	  4.7
      23	NGC 2775	  58.0	1153	15	 25	 2	  4.5
      24	NGC 2775	  62.8	1119	19	  0	 2	  3.6
      25	NGC 3281	 -45.7	3190	37	 42	 2	  1.7
      26	NGC 3281	 -40.8	3206	19	 59	 2	  3.6
      27	NGC 3281	 -37.2	3215	11	 13	 2	  6.3
      28	NGC 3281	 -32.3	3142	24	 43	 1	  2.8
      29	NGC 3281	 -29.9	3176	13	 37	 1	  5.6
      30	NGC 3281	 -27.5	3161	14	 46	 1	  5.0
      31	NGC 3281	 -25.0	3199	13	 20	 1	  5.6
      32	NGC 3281	 -21.4	3206	14	 55	 2	  4.9
      33	NGC 3281	 -17.8	3195	10	 82	 1	  7.7
      34	NGC 3281	 -15.3	3246	 8	 37	 1	  9.5
      35	NGC 3281	 -12.9	3236	 9	 70	 1	  8.6
      36	NGC 3281	 -10.5	3203	 7	 93	 1	 10.6
      37	NGC 3281	  -8.0	3239	 6	 79	 1	 13.4
      38	NGC 3281	  -5.6	3236	 3	118	 1	 24.3
      39	NGC 3281	  -3.2	3331	 2	151	 1	 81.2
      40	NGC 3281	  -0.8	3391	 2	160	 1	245.3
      41	NGC 3281	   1.7	3441	 2	150	 1	263.1
      42	NGC 3281	   4.1	3480	 2	133	 1	 85.0
      43	NGC 3281	   6.5	3501	 3	119	 1	 27.4
      44	NGC 3281	   9.0	3538	 6	 97	 1	 12.8
      45	NGC 3281	  11.4	3536	 7	 41	 1	 11.4
      46	NGC 3281	  13.8	3552	 8	 92	 1	  9.9
      47	NGC 3281	  16.3	3535	11	 35	 1	  6.7
      48	NGC 3281	  18.7	3517	14	 55	 1	  4.9
      49	NGC 3281	  21.1	3557	17	 22	 1	  4.0
      50	NGC 3281	  23.5	3550	20	 54	 1	  3.3
      51	NGC 3281	  26.0	3577	12	 53	 1	  6.0
      52	NGC 3281	  28.4	3564	22	 99	 1	  3.0
      53	NGC 3281	  30.8	3594	39	  9	 1	  1.6
      54	NGC 3281	  33.3	3554	26	105	 1	  2.6
      55	NGC 3281	  35.7	3571	20	 71	 1	  3.4
      56	NGC 3281	  38.1	3617	21	  8	 1	  3.2
      57	NGC 3281	  43.0	3630	23	 44	 1	  2.9
      58	NGC 4698	 -27.9	1132	12	  0	 2	  6.2
      59	NGC 4698	 -24.2	1131	13	 17	 1	  5.6
      60	NGC 4698	 -21.8	1135	23	 49	 1	  2.8
      61	NGC 4698	 -19.3	1141	11	 67	 1	  6.3
      62	NGC 4698	 -16.9	1152	13	 43	 1	  5.4
      63	NGC 4698	 -14.5	1137	14	 54	 1	  4.9
      64	NGC 4698	 -12.1	1114	10	 41	 1	  7.3
      65	NGC 4698	  -9.6	1102	 6	 24	 1	 13.1
      66	NGC 4698	  -7.2	1103	 9	 40	 1	  8.5
      67	NGC 4698	  -4.8	1020	 4	 74	 1	 21.0
      68	NGC 4698	  -2.3	 991	 2	 90	 1	 38.5
      69	NGC 4698	   0.1	1003	 2	 70	 1	 77.5
      70	NGC 4698	   2.5	 993	 2	 94	 1	 36.0
      71	NGC 4698	   5.0	 932	 7	 81	 1	 10.5
      72	NGC 4698	   7.4	 949	11	 67	 1	  6.5
      73	NGC 4698	   9.8	 949	 9	 28	 1	  7.8
      74	NGC 4698	  12.3	 914	 9	  0	 1	  8.7
      75	NGC 4698	  14.7	 901	14	 38	 1	  4.9
      76	NGC 4698	  17.1	 861	 9	 41	 1	  8.2
      77	NGC 4698	  19.5	 856	14	100	 1	  5.1
      78	NGC 4698	  23.2	 837	22	 45	 2	  3.0
      79	NGC 4698	  29.3	 873	22	 22	 1	  3.0
      80	NGC 4698	  31.7	 832	16	 18	 1	  4.4
      81	NGC 4698	  34.1	 803	34	 12	 1	  1.9
      82	NGC 4698	  36.5	 841	17	 50	 1	  4.1
      83	NGC 4698	  39.0	 773	22	 42	 1	  3.0
      84	NGC 4698	  41.4	 753	42	 49	 1	  1.5
      85	NGC 4698	  48.7	 772	17	 39	 3	  4.1
      86	NGC 4698	  57.2	 786	14	 45	 2	  4.9
      87	NGC 4698	  62.1	 761	18	 51	 2	  3.9
      88	NGC 4698	  66.9	 759	18	 42	 2	  3.9
      89	NGC 4698	  71.8	 734	23	 51	 2	  2.9
      90	NGC 4698	  80.3	 721	10	 27	 2	  7.0
      91	NGC 4698	  87.6	 738	23	 20	 2	  2.9
      92	NGC 4845	 -59.9	1264	14	 30	 1	  4.9
      93	NGC 4845	 -57.5	1223	20	 82	 1	  3.4
      94	NGC 4845	 -55.0	1248	21	 62	 1	  3.2
      95	NGC 4845	 -52.6	1240	58	 50	 1	  1.0
      96	NGC 4845	 -50.2	1203	29	 40	 1	  2.3
      97	NGC 4845	 -47.8	1289	35	 59	 1	  1.8
      98	NGC 4845	 -45.3	1263	14	 14	 1	  5.2
      99	NGC 4845	 -42.9	1301	24	 26	 1	  2.8
     100	NGC 4845	 -38.0	1214	20	  0	 1	  3.4
     101	NGC 4845	 -35.6	1246	18	 61	 1	  3.7
     102	NGC 4845	 -30.7	1187	31	 19	 1	  2.1
     103	NGC 4845	 -28.3	1235	25	  0	 1	  2.6
     104	NGC 4845	 -25.9	1135	26	 50	 1	  2.5
     105	NGC 4845	 -23.5	1226	40	 62	 1	  1.6
     106	NGC 4845	 -21.0	1215	19	 53	 1	  3.6
     107	NGC 4845	 -18.6	1262	13	 19	 1	  5.5
     108	NGC 4845	 -16.2	1288	10	  0	 1	  7.6
     109	NGC 4845	 -13.7	1243	11	 69	 1	  6.3
     110	NGC 4845	 -11.3	1221	 5	 41	 1	 16.1
     111	NGC 4845	  -8.9	1242	 5	 55	 1	 14.9
     112	NGC 4845	  -6.4	1205	 2	 61	 1	 40.7
     113	NGC 4845	  -4.0	1230	 2	 60	 1	 79.6
     114	NGC 4845	  -1.6	1122	 2	 84	 1	107.5
     115	NGC 4845	   0.9	1053	 2	 77	 1	131.6
     116	NGC 4845	   3.3	 980	 2	 62	 1	130.7
     117	NGC 4845	   5.7	 958	 2	 55	 1	 57.7
     118	NGC 4845	   8.1	 947	 4	 53	 1	 21.5
     119	NGC 4845	  10.6	 932	 5	 25	 1	 15.4
     120	NGC 4845	  13.0	 921	10	 24	 1	  7.2
     121	NGC 4845	  17.9	 951	24	 61	 1	  2.8
     122	NGC 4845	  20.3	 957	33	 23	 1	  1.9
     123	NGC 4845	  22.7	 950	24	 59	 1	  2.7
     124	NGC 4845	  25.1	 970	24	 26	 1	  2.7
     125	NGC 4845	  30.0	 993	13	 45	 3	  5.3
     126	NGC 4845	  36.1	1014	19	 42	 2	  3.5
     127	NGC 4845	  39.7	1016	33	 56	 1	  2.0
     128	NGC 4845	  42.2	1006	21	 13	 1	  3.2
     129	NGC 4845	  47.0	 986	18	 42	 1	  3.8
     130	NGC 4845	  51.9	 989	15	  0	 1	  4.8
     131	NGC 4845	  54.3	 952	20	 35	 1	  3.5
     132	NGC 4845	  56.7	 973	21	 57	 1	  3.2
     133	NGC 4845	  59.2	 945	13	 24	 1	  5.4

#Table	J_A_A_342_671_sii6716:
#Name: J/A+A/342/671/sii6716
#Title: [SII] ({lambda}6716.5{AA} kinematics
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a8)	Galaxy name (1)	[ucd=meta.id;meta.main]
#Column	r	(F6.1)	Galactocentric distance	[ucd=pos.angDistance]
#Column	HRV	(I4)	Heliocentric radial velocity measured along the major axis	[ucd=phys.veloc;pos.heliocentric]
#Column	e_HRV	(I2)	Heliocentric radial velocity error	[ucd=stat.error]
#Column	sigma	(I3)	Velocity dispersion measured along the major axis	[ucd=phys.veloc.dispersion]
#Column	n	(I2)	Number of rebinned rows	[ucd=meta.number]
#Column	S/N	(F5.1)	? Signal-to-noise ratio	[ucd=stat.snr]
recno	Galaxy	r	HRV	e_HRV	sigma	n	S/N
 	 	arcsec	km/s	km/s	km/s	 	
--------	--------	------	----	--	---	--	-----
       1	NGC 2179	 -39.3	2743	23	 33	 3	  3.0
       2	NGC 2179	 -32.0	2744	15	  6	 1	  4.7
       3	NGC 2179	 -29.6	2689	18	 35	 1	  3.8
       4	NGC 2179	 -27.1	2722	16	  4	 1	  4.3
       5	NGC 2179	 -24.7	2706	16	 16	 1	  4.4
       6	NGC 2179	 -22.3	2708	 8	  1	 1	  9.7
       7	NGC 2179	 -19.8	2704	 8	  5	 1	  9.3
       8	NGC 2179	 -17.4	2706	 6	 40	 1	 11.9
       9	NGC 2179	 -15.0	2714	 8	 34	 1	  9.0
      10	NGC 2179	 -12.6	2719	 7	 21	 1	 10.3
      11	NGC 2179	 -10.1	2706	 3	 35	 1	 29.4
      12	NGC 2179	  -7.7	2705	 3	 27	 1	 25.5
      13	NGC 2179	  -5.3	2707	 2	 40	 1	 56.6
      14	NGC 2179	  -2.8	2752	 2	 99	 1	 78.0
      15	NGC 2179	  -0.4	2830	 2	157	 1	140.4
      16	NGC 2179	   2.0	2968	 2	164	 1	 96.9
      17	NGC 2179	   4.5	3052	 2	 34	 1	 76.7
      18	NGC 2179	   6.9	3062	 2	 12	 1	 40.3
      19	NGC 2179	   9.3	3066	 4	  0	 1	 17.8
      20	NGC 2179	  11.7	3060	 6	  8	 1	 14.1
      21	NGC 2179	  14.2	3076	10	 32	 1	  7.1
      22	NGC 2179	  16.6	3074	 9	 17	 1	  8.0
      23	NGC 2179	  20.0	3075	12	  0	 1	  6.0
      24	NGC 2179	  21.5	3085	12	 30	 1	  6.0
      25	NGC 2179	  23.9	3071	15	  0	 1	  4.8
      26	NGC 2179	  26.3	3072	14	  8	 1	  5.1
      27	NGC 2179	  30.0	3083	 6	  0	 2	 13.4
      28	NGC 2775	 -61.1	1540	12	  0	 2	  5.9
      29	NGC 2775	 -57.5	1544	22	 28	 1	  3.0
      30	NGC 2775	 -55.0	1555	20	 25	 1	  3.5
      31	NGC 2775	 -52.6	1560	16	 17	 1	  4.4
      32	NGC 2775	 -50.2	1540	11	 27	 1	  6.6
      33	NGC 2775	 -47.7	1549	 8	  0	 1	  8.8
      34	NGC 2775	 -45.3	1539	13	  0	 1	  5.7
      35	NGC 2775	 -42.9	1532	17	  0	 1	  4.1
      36	NGC 2775	 -40.4	1543	14	 41	 1	  5.1
      37	NGC 2775	 -38.0	1551	15	 31	 1	  4.6
      38	NGC 2775	 -35.6	1559	13	 20	 1	  5.7
      39	NGC 2775	 -33.2	1541	21	 11	 1	  3.3
      40	NGC 2775	 -30.7	1549	19	 12	 1	  3.7
      41	NGC 2775	 -28.3	1501	23	  0	 1	  3.0
      42	NGC 2775	 -25.9	1540	30	  0	 1	  2.1
      43	NGC 2775	 -23.4	1527	15	  0	 1	  4.6
      44	NGC 2775	  27.6	1173	46	  0	 1	  1.4
      45	NGC 2775	  30.0	1159	16	  0	 1	  4.3
      46	NGC 2775	  32.5	1157	11	 34	 1	  6.7
      47	NGC 2775	  34.9	1172	16	  1	 1	  4.3
      48	NGC 2775	  37.3	1172	11	 33	 1	  6.3
      49	NGC 2775	  39.8	1167	 8	 16	 1	  8.9
      50	NGC 2775	  42.2	1165	22	  0	 1	  3.0
      51	NGC 2775	  44.6	1184	10	 11	 1	  7.7
      52	NGC 2775	  47.0	1159	10	  0	 1	  7.6
      53	NGC 2775	  49.5	1160	14	 22	 1	  4.9
      54	NGC 2775	  53.1	1189	17	  0	 2	  4.2
      55	NGC 2775	  54.3	1150	14	 20	 3	  5.2
      56	NGC 3281	 -17.8	3240	14	 24	 1	  5.1
      57	NGC 3281	 -15.3	3221	10	 16	 1	  7.6
      58	NGC 3281	 -10.5	3192	 8	 82	 1	  9.7
      59	NGC 3281	  -8.0	3238	 6	 82	 1	 14.1
      60	NGC 3281	  -5.6	3255	 3	120	 1	 33.1
      61	NGC 3281	  -3.2	3334	 2	171	 1	 94.2
      62	NGC 3281	  -0.8	3398	 2	145	 1	261.9
      63	NGC 3281	   1.7	3445	 2	136	 1	251.0
      64	NGC 3281	   4.1	3486	 2	114	 1	 79.1
      65	NGC 3281	   6.5	3528	 4	111	 1	 22.8
      66	NGC 3281	   9.0	3537	 5	 71	 1	 16.0
      67	NGC 3281	  11.4	3549	 6	 53	 1	 12.6
      68	NGC 3281	  13.8	3573	14	 53	 1	  5.0
      69	IC 724  	 -54.5	5675	31	 46	 2	  2.1
      70	IC 724  	 -50.9	5712	20	 29	 1	  3.3
      71	IC 724  	 -48.5	5707	17	 38	 1	  4.2
      72	IC 724  	 -46.0	5719	15	 50	 1	  4.8
      73	IC 724  	 -43.6	5739	10	 27	 1	  7.0
