#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:42 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/408/873&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34080873
#Name: J/A+A/408/873
#Title: Gas and stellar kinematics in spirals (Corsini+, 2003)
#INFO	ivoid=ivo://cds.vizier/j/a+a/408/873	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/408/873	    IVOID of underlying data collection
#INFO	creator=Corsini E.M.	    First author or institution
#INFO	cites=bibcode:2003A&A...408..873C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/408/873	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34080873	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_408_873_table3:
#Name: J/A+A/408/873/table3
#Title: Ionized-gas kinematics for the sample galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a7)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	PA	(I3)	Position angle of the slit (G1)	[ucd=pos.posAng]
#Column	r	(F5.1)	Distance from galaxy center	[ucd=pos.angDistance]
#Column	vg(r)	(I4)	Line-of-sight gas mean velocity	[ucd=phys.veloc;stat.mean]
#Column	e_vg(r)	(I2)	Error of v_g(r)_	[ucd=stat.error]
#Column	sigmag	(I3)	Line-of-sight gas velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmag	(I3)	Error of sigma_g(r)_	[ucd=stat.error]
#Column	Simbad	(A6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
recno	Name	PA	r	vg(r)	e_vg(r)	sigmag	e_sigmag	Simbad	NED
     314	NGC4586	115	-70.0	-110	12	  8	109	Simbad	NED
     315	NGC4586	115	-69.2	-105	 8	 47	 31	Simbad	NED
     316	NGC4586	115	-68.4	-102	 7	 44	 25	Simbad	NED
     317	NGC4586	115	-67.5	-103	 7	 39	 17	Simbad	NED
     318	NGC4586	115	-66.7	-107	 5	 36	 14	Simbad	NED
     319	NGC4586	115	-65.9	-108	 5	 33	 14	Simbad	NED
     320	NGC4586	115	-65.1	-104	 5	 33	 13	Simbad	NED
     321	NGC4586	115	-64.3	-103	 5	 36	 12	Simbad	NED
     322	NGC4586	115	-63.4	-102	 5	 34	 14	Simbad	NED
     323	NGC4586	115	-62.6	-105	 5	 34	 14	Simbad	NED
     324	NGC4586	115	-61.8	-104	 5	 36	 12	Simbad	NED
     325	NGC4586	115	-61.0	 -97	 6	 38	 14	Simbad	NED
     326	NGC4586	115	-60.2	 -88	 6	 44	 14	Simbad	NED
     327	NGC4586	115	-59.3	 -85	 7	 31	 21	Simbad	NED
     328	NGC4586	115	-58.5	 -91	18	 60	 35	Simbad	NED
     329	NGC4586	115	-57.7	-103	19	 35	 49	Simbad	NED
     330	NGC4586	115	-38.0	 -32	26	 39	 33	Simbad	NED
     331	NGC4586	115	-31.9	 -35	20	 20	 83	Simbad	NED
     332	NGC4586	115	-24.1	 -43	17	 39	 43	Simbad	NED
     333	NGC4586	115	-20.0	 -24	25	102	 40	Simbad	NED
     334	NGC4586	115	-17.5	 -33	20	 73	 36	Simbad	NED
     335	NGC4586	115	-15.9	 -67	15	 74	 27	Simbad	NED
     336	NGC4586	115	-15.1	 -71	11	 71	 19	Simbad	NED
     337	NGC4586	115	-14.2	 -74	 9	 77	 16	Simbad	NED
     338	NGC4586	115	-13.4	 -84	 6	 65	 12	Simbad	NED
     339	NGC4586	115	-12.6	 -83	 6	 66	 11	Simbad	NED
     340	NGC4586	115	-11.8	 -74	 5	 66	 10	Simbad	NED
     341	NGC4586	115	-11.0	 -78	 5	 74	 10	Simbad	NED
     342	NGC4586	115	-10.1	 -82	 5	 77	  9	Simbad	NED
     343	NGC4586	115	 -9.3	 -77	 5	 74	  8	Simbad	NED
     344	NGC4586	115	 -8.5	 -73	 4	 72	  8	Simbad	NED
     345	NGC4586	115	 -7.7	 -72	 4	 68	  7	Simbad	NED
     346	NGC4586	115	 -6.9	 -69	 4	 62	  7	Simbad	NED
     347	NGC4586	115	 -6.0	 -66	 3	 56	  6	Simbad	NED
     348	NGC4586	115	 -5.2	 -62	 3	 60	  6	Simbad	NED
     349	NGC4586	115	 -4.4	 -65	 3	 64	  5	Simbad	NED
     350	NGC4586	115	 -3.6	 -65	 3	 62	  5	Simbad	NED
     351	NGC4586	115	 -2.8	 -58	 2	 64	  4	Simbad	NED
     352	NGC4586	115	 -1.9	 -45	 2	 66	  4	Simbad	NED
     353	NGC4586	115	 -1.1	 -25	 2	 66	  4	Simbad	NED
     354	NGC4586	115	 -0.3	  -5	 2	 65	  4	Simbad	NED
     355	NGC4586	115	  0.5	  12	 2	 58	  4	Simbad	NED
     356	NGC4586	115	  1.3	  24	 2	 49	  4	Simbad	NED
     357	NGC4586	115	  2.2	  33	 2	 45	  5	Simbad	NED
     358	NGC4586	115	  3.0	  41	 2	 43	  5	Simbad	NED
     359	NGC4586	115	  3.8	  48	 3	 45	  6	Simbad	NED
     360	NGC4586	115	  4.6	  56	 3	 47	  7	Simbad	NED
     361	NGC4586	115	  5.4	  64	 3	 54	  7	Simbad	NED
     362	NGC4586	115	  6.3	  64	 4	 58	  8	Simbad	NED
     363	NGC4586	115	  7.1	  59	 4	 66	  8	Simbad	NED
     364	NGC4586	115	  7.9	  58	 5	 69	  9	Simbad	NED
     365	NGC4586	115	  8.7	  52	 5	 65	  9	Simbad	NED
     366	NGC4586	115	  9.5	  47	 5	 60	 10	Simbad	NED
     367	NGC4586	115	 10.4	  48	 6	 54	 12	Simbad	NED
     368	NGC4586	115	 11.2	  45	 6	 51	 12	Simbad	NED
     369	NGC4586	115	 12.0	  45	 6	 53	 14	Simbad	NED
     370	NGC4586	115	 12.8	  42	 8	 51	 17	Simbad	NED
     371	NGC4586	115	 13.6	  53	 8	 46	 20	Simbad	NED
     372	NGC4586	115	 14.5	  53	13	 31	 38	Simbad	NED
     373	NGC4586	115	 15.3	  51	12	 43	 28	Simbad	NED
     374	NGC4586	115	 16.1	  59	15	 43	 35	Simbad	NED
     375	NGC4586	115	 16.9	  56	16	 18	 69	Simbad	NED
     376	NGC4586	115	 17.7	  64	16	 13	 99	Simbad	NED
     377	NGC4586	115	 18.6	  41	21	 61	 40	Simbad	NED
     378	NGC4586	115	 19.4	  39	30	 93	 48	Simbad	NED
     379	NGC4586	115	 20.2	  27	30	 85	 49	Simbad	NED
     380	NGC4586	115	 21.0	  15	20	 36	 50	Simbad	NED
     381	NGC4586	115	 21.8	  16	23	 39	 54	Simbad	NED
     382	NGC4586	115	 22.7	  63	25	 16	120	Simbad	NED
     383	NGC4586	115	 24.3	  53	22	 23	 64	Simbad	NED
     384	NGC4586	115	 26.8	  80	28	 48	 58	Simbad	NED
     385	NGC4586	115	 29.2	  55	27	 25	 87	Simbad	NED
     386	NGC4586	115	 31.7	  68	25	 16	122	Simbad	NED
     387	NGC4586	115	 34.1	  51	22	 27	 69	Simbad	NED
     388	NGC4586	115	 36.6	  52	23	 22	 84	Simbad	NED
     389	NGC4586	115	 39.1	  66	25	 36	 62	Simbad	NED
     390	NGC4586	115	 41.5	  66	24	 13	135	Simbad	NED
     391	NGC4586	115	 44.0	  62	27	 33	 71	Simbad	NED
     392	NGC4586	115	 46.4	  68	30	 23	105	Simbad	NED
     393	NGC4586	115	 48.9	  72	24	 22	 90	Simbad	NED
     394	NGC4586	115	 49.7	  70	28	 21	 92	Simbad	NED
     395	NGC4586	115	 52.2	  76	12	 29	 43	Simbad	NED
     396	NGC4586	115	 53.8	  73	11	 26	 37	Simbad	NED
     397	NGC4586	115	 55.5	  90	 6	 24	 21	Simbad	NED
     398	NGC4586	115	 56.3	  88	 5	 28	 15	Simbad	NED
     399	NGC4586	115	 57.1	  94	 4	 30	 12	Simbad	NED
     400	NGC4586	115	 57.9	  97	 4	 31	 10	Simbad	NED
     401	NGC4586	115	 58.7	 101	 4	 34	 11	Simbad	NED
     402	NGC4586	115	 59.6	 100	 5	 33	 13	Simbad	NED
     403	NGC4586	115	 60.4	  97	 6	 22	 26	Simbad	NED
     404	NGC4586	115	 61.2	  96	10	 25	 33	Simbad	NED
     405	NGC4586	115	 62.0	  97	10	 18	 45	Simbad	NED
     406	NGC4586	115	 62.8	  96	14	 18	 62	Simbad	NED
     407	NGC4586	115	 63.7	  86	15	 17	 65	Simbad	NED
     408	NGC4586	115	 65.7	  95	19	 16	 89	Simbad	NED
     409	NGC4586	115	 75.5	 104	20	 31	 42	Simbad	NED
     410	NGC4586	 25	-14.8	  21	36	 52	 72	Simbad	NED
     411	NGC4586	 25	 -9.5	 -70	32	132	 48	Simbad	NED
     412	NGC4586	 25	 -7.9	 -98	19	111	 30	Simbad	NED
     413	NGC4586	 25	 -7.0	 -82	14	 94	 22	Simbad	NED
     414	NGC4586	 25	 -6.2	 -86	 9	 78	 16	Simbad	NED
     415	NGC4586	 25	 -5.4	 -81	 6	 72	 11	Simbad	NED
     416	NGC4586	 25	 -4.6	 -61	 5	 72	 10	Simbad	NED
     417	NGC4586	 25	 -3.8	 -48	 5	 88	  8	Simbad	NED
     418	NGC4586	 25	 -2.9	 -39	 4	 88	  7	Simbad	NED
     419	NGC4586	 25	 -2.1	 -37	 3	 87	  5	Simbad	NED
     420	NGC4586	 25	 -1.3	 -28	 3	 82	  4	Simbad	NED
     421	NGC4586	 25	 -0.5	 -13	 2	 75	  4	Simbad	NED
     422	NGC4586	 25	  0.3	   2	 2	 68	  4	Simbad	NED
     423	NGC4586	 25	  1.2	  15	 2	 65	  4	Simbad	NED
     424	NGC4586	 25	  2.0	  27	 2	 64	  4	Simbad	NED
     425	NGC4586	 25	  2.8	  36	 2	 63	  4	Simbad	NED
     426	NGC4586	 25	  3.6	  38	 3	 68	  5	Simbad	NED
     427	NGC4586	 25	  4.4	  38	 4	 70	  7	Simbad	NED
     428	NGC4586	 25	  5.3	  46	 5	 73	 10	Simbad	NED
     429	NGC4586	 25	  6.1	  35	 6	 78	 10	Simbad	NED
     430	NGC4586	 25	  6.9	  55	 9	 91	 15	Simbad	NED
     431	NGC4586	 25	  7.7	  65	11	 77	 18	Simbad	NED
     432	NGC4586	 25	  8.5	  53	17	 86	 28	Simbad	NED
     433	NGC4586	 25	 10.2	  30	26	 62	 47	Simbad	NED
     434	NGC4586	 25	 14.3	  27	40	 91	 64	Simbad	NED
     435	NGC4984	 90	-41.7	 -46	24	 22	 86	Simbad	NED
     436	NGC4984	 90	-31.9	 -26	18	 48	 39	Simbad	NED
     437	NGC4984	 90	-31.1	 -20	18	 64	 33	Simbad	NED
     438	NGC4984	 90	-30.3	   4	12	 71	 27	Simbad	NED
     439	NGC4984	 90	-29.4	 -10	12	 36	 31	Simbad	NED
     440	NGC4984	 90	-28.6	  -9	 8	 42	 19	Simbad	NED
     441	NGC4984	 90	-27.8	   2	 6	 44	 20	Simbad	NED
     442	NGC4984	 90	-27.0	  -3	 5	 36	 16	Simbad	NED
     443	NGC4984	 90	-26.2	 -10	 6	 41	 14	Simbad	NED
     444	NGC4984	 90	-25.3	 -21	10	 45	 22	Simbad	NED
     445	NGC4984	 90	-24.5	 -17	 7	 35	 19	Simbad	NED
     446	NGC4984	 90	-23.7	 -12	 9	 36	 22	Simbad	NED
     447	NGC4984	 90	-22.9	 -15	 8	 42	 19	Simbad	NED
     448	NGC4984	 90	-22.1	 -15	 7	 59	 14	Simbad	NED
     449	NGC4984	 90	-21.2	  -4	 8	 63	 15	Simbad	NED
     450	NGC4984	 90	-20.4	 -15	 7	 72	 12	Simbad	NED
     451	NGC4984	 90	-19.6	 -10	 8	 72	 15	Simbad	NED
     452	NGC4984	 90	-18.8	  -5	 9	 88	 16	Simbad	NED
     453	NGC4984	 90	-18.0	  -9	 9	 80	 18	Simbad	NED
     454	NGC4984	 90	-17.1	 -16	11	 87	 19	Simbad	NED
     455	NGC4984	 90	-16.3	 -31	10	 77	 17	Simbad	NED
     456	NGC4984	 90	-15.5	 -45	11	 72	 21	Simbad	NED
     457	NGC4984	 90	-14.7	 -48	13	 83	 22	Simbad	NED
     458	NGC4984	 90	-13.9	 -64	10	 56	 21	Simbad	NED
     459	NGC4984	 90	-13.0	 -72	10	 48	 21	Simbad	NED
     460	NGC4984	 90	-12.2	 -63	 8	 64	 17	Simbad	NED
     461	NGC4984	 90	-11.4	 -52	 9	 95	 17	Simbad	NED
     462	NGC4984	 90	-10.6	 -59	 8	 84	 15	Simbad	NED
     463	NGC4984	 90	 -9.8	 -66	 6	 74	 11	Simbad	NED
     464	NGC4984	 90	 -8.9	 -58	 5	 75	 10	Simbad	NED
     465	NGC4984	 90	 -8.1	 -56	 4	 69	  9	Simbad	NED
     466	NGC4984	 90	 -7.3	 -55	 4	 66	  8	Simbad	NED
     467	NGC4984	 90	 -6.5	 -50	 3	 58	  6	Simbad	NED
     468	NGC4984	 90	 -5.7	 -42	 3	 55	  5	Simbad	NED
     469	NGC4984	 90	 -4.8	 -37	 2	 54	  4	Simbad	NED
     470	NGC4984	 90	 -4.0	 -34	 2	 52	  4	Simbad	NED
     471	NGC4984	 90	 -3.2	 -34	 2	 49	  4	Simbad	NED
     472	NGC4984	 90	 -2.4	 -34	 2	 51	  4	Simbad	NED
     473	NGC4984	 90	 -1.6	 -26	 2	 57	  4	Simbad	NED
     474	NGC4984	 90	 -0.7	 -15	 2	 66	  3	Simbad	NED
     475	NGC4984	 90	  0.1	   1	 2	 71	  3	Simbad	NED
     476	NGC4984	 90	  0.9	  15	 2	 72	  3	Simbad	NED
     477	NGC4984	 90	  1.7	  30	 2	 69	  3	Simbad	NED
     478	NGC4984	 90	  2.5	  42	 2	 55	  4	Simbad	NED
     479	NGC4984	 90	  3.4	  43	 2	 40	  4	Simbad	NED
     480	NGC4984	 90	  4.2	  40	 2	 32	  5	Simbad	NED
     481	NGC4984	 90	  5.0	  35	 2	 31	  5	Simbad	NED
     482	NGC4984	 90	  5.8	  34	 2	 33	  5	Simbad	NED
     483	NGC4984	 90	  6.6	  34	 2	 39	  5	Simbad	NED
     484	NGC4984	 90	  7.5	  37	 2	 44	  4	Simbad	NED
     485	NGC4984	 90	  8.3	  40	 3	 48	  5	Simbad	NED
     486	NGC4984	 90	  9.1	  42	 3	 54	  6	Simbad	NED
     487	NGC4984	 90	  9.9	  43	 3	 64	  7	Simbad	NED
     488	NGC4984	 90	 10.7	  51	 5	 82	  9	Simbad	NED
     489	NGC4984	 90	 11.6	  50	 6	 89	 11	Simbad	NED
     490	NGC4984	 90	 12.4	  54	 6	 86	 11	Simbad	NED
     491	NGC4984	 90	 13.2	  50	 7	 87	 12	Simbad	NED
     492	NGC4984	 90	 14.0	  44	 7	 85	 12	Simbad	NED
     493	NGC4984	 90	 14.8	  46	 6	 83	 12	Simbad	NED
     494	NGC4984	 90	 15.7	  42	 9	 85	 15	Simbad	NED
     495	NGC4984	 90	 16.5	  39	 7	 90	 11	Simbad	NED
     496	NGC4984	 90	 17.3	  49	 7	 97	 13	Simbad	NED
     497	NGC4984	 90	 18.1	  39	10	 87	 17	Simbad	NED
     498	NGC4984	 90	 18.9	  37	 7	 64	 13	Simbad	NED
     499	NGC4984	 90	 19.8	  42	 7	 63	 14	Simbad	NED
     500	NGC4984	 90	 20.6	  38	 9	 68	 16	Simbad	NED
     501	NGC4984	 90	 21.4	  35	 6	 54	 13	Simbad	NED
     502	NGC4984	 90	 22.2	  32	 6	 52	 13	Simbad	NED
     503	NGC4984	 90	 23.0	  28	 7	 57	 15	Simbad	NED
     504	NGC4984	 90	 23.9	  31	 6	 61	 11	Simbad	NED
     505	NGC4984	 90	 24.7	  31	 7	 60	 14	Simbad	NED
     506	NGC4984	 90	 25.5	  54	 9	 57	 18	Simbad	NED
     507	NGC4984	 90	 26.3	  53	 8	 51	 18	Simbad	NED
     508	NGC4984	 90	 27.1	  46	 9	 60	 18	Simbad	NED
     509	NGC4984	 90	 28.0	  35	11	 70	 19	Simbad	NED
     510	NGC4984	 90	 28.8	  15	 6	 63	 14	Simbad	NED
     511	NGC4984	 90	 29.6	  12	 8	 62	 16	Simbad	NED
     512	NGC4984	 90	 30.4	  23	 9	 74	 17	Simbad	NED
     513	NGC4984	 90	 31.2	  23	 9	 66	 21	Simbad	NED
     514	NGC4984	 90	 32.1	  41	13	 64	 25	Simbad	NED
     515	NGC4984	 90	 32.9	  26	14	 58	 28	Simbad	NED
     516	NGC4984	 90	 34.5	  46	19	 45	 43	Simbad	NED
     517	NGC4984	 90	 37.0	  28	33	 78	 55	Simbad	NED
     518	NGC4984	 90	 39.4	   7	30	 67	 54	Simbad	NED
     519	NGC4984	 90	 41.9	  35	29	 61	 54	Simbad	NED
     520	NGC4984	  0	-36.0	  -2	31	 66	 57	Simbad	NED
     521	NGC4984	  0	-29.9	 -63	43	 90	 67	Simbad	NED
     522	NGC4984	  0	-26.6	-102	11	 65	 21	Simbad	NED
     523	NGC4984	  0	-24.1	 -88	11	 48	 26	Simbad	NED
     524	NGC4984	  0	-21.7	-117	 8	 70	 14	Simbad	NED
     525	NGC4984	  0	-20.0	-130	 5	 80	  9	Simbad	NED
     526	NGC4984	  0	-19.2	-138	 5	 79	  8	Simbad	NED
     527	NGC4984	  0	-18.4	-146	 4	 79	  7	Simbad	NED
     528	NGC4984	  0	-17.6	-129	 6	 81	 11	Simbad	NED
     529	NGC4984	  0	-15.9	-113	 4	 75	  8	Simbad	NED
     530	NGC4984	  0	-13.5	 -88	 5	 60	 11	Simbad	NED
     531	NGC4984	  0	-11.8	 -88	 6	 76	 12	Simbad	NED
     532	NGC4984	  0	-11.0	 -97	 4	 68	  8	Simbad	NED
     533	NGC4984	  0	-10.2	 -99	 4	 55	  7	Simbad	NED
     534	NGC4984	  0	 -9.4	-102	 3	 54	  6	Simbad	NED
     535	NGC4984	  0	 -8.6	-104	 3	 52	  5	Simbad	NED
     536	NGC4984	  0	 -7.7	-110	 2	 57	  4	Simbad	NED
     537	NGC4984	  0	 -6.9	-121	 2	 52	  4	Simbad	NED
     538	NGC4984	  0	 -6.1	-132	 2	 45	  4	Simbad	NED
     539	NGC4984	  0	 -5.3	-137	 2	 42	  4	Simbad	NED
     540	NGC4984	  0	 -4.5	-137	 2	 42	  4	Simbad	NED
     541	NGC4984	  0	 -3.6	-128	 2	 46	  4	Simbad	NED
     542	NGC4984	  0	 -2.8	-104	 2	 61	  4	Simbad	NED
     543	NGC4984	  0	 -2.0	 -70	 2	 74	  3	Simbad	NED
     544	NGC4984	  0	 -1.2	 -35	 2	 82	  3	Simbad	NED
     545	NGC4984	  0	 -0.4	   2	 2	 87	  3	Simbad	NED
     546	NGC4984	  0	  0.5	  45	 2	 78	  3	Simbad	NED
     547	NGC4984	  0	  1.3	  76	 2	 56	  4	Simbad	NED
     548	NGC4984	  0	  2.1	  89	 2	 45	  4	Simbad	NED
     549	NGC4984	  0	  2.9	  95	 2	 41	  4	Simbad	NED
     550	NGC4984	  0	  3.7	  96	 3	 41	  5	Simbad	NED
     551	NGC4984	  0	  4.6	  94	 2	 43	  5	Simbad	NED
     552	NGC4984	  0	  5.4	  88	 2	 48	  5	Simbad	NED
     553	NGC4984	  0	  6.2	  85	 3	 51	  5	Simbad	NED
     554	NGC4984	  0	  7.0	  82	 3	 50	  7	Simbad	NED
     555	NGC4984	  0	  7.8	  79	 3	 62	  7	Simbad	NED
     556	NGC4984	  0	  8.7	  85	 4	 50	  8	Simbad	NED
     557	NGC4984	  0	  9.5	  84	 4	 64	  9	Simbad	NED
     558	NGC4984	  0	 10.3	  87	 5	 61	 10	Simbad	NED
     559	NGC4984	  0	 11.1	 103	 5	 80	 11	Simbad	NED
     560	NGC4984	  0	 11.9	 109	 6	 72	 13	Simbad	NED
     561	NGC4984	  0	 12.8	 105	 6	 61	 12	Simbad	NED
     562	NGC4984	  0	 13.6	 114	 6	 60	 11	Simbad	NED
     563	NGC4984	  0	 14.4	 111	 6	 72	 13	Simbad	NED
     564	NGC4984	  0	 15.2	 114	 6	 59	 13	Simbad	NED
     565	NGC4984	  0	 16.0	 112	 7	 54	 13	Simbad	NED
     566	NGC4984	  0	 16.9	 122	 9	 60	 18	Simbad	NED
     567	NGC4984	  0	 17.7	  81	 8	 69	 15	Simbad	NED
     568	NGC4984	  0	 18.5	  76	10	 67	 19	Simbad	NED
     569	NGC4984	  0	 19.3	 106	 9	 76	 17	Simbad	NED
     570	NGC4984	  0	 20.1	 108	10	 64	 18	Simbad	NED
     571	NGC4984	  0	 21.0	  94	11	 79	 21	Simbad	NED
     572	NGC4984	  0	 21.8	  90	16	 56	 34	Simbad	NED
     573	NGC4984	  0	 22.6	  97	14	 75	 28	Simbad	NED
     574	NGC4984	  0	 25.1	 113	14	 52	 29	Simbad	NED
     575	NGC4984	  0	 25.9	  84	21	 47	 48	Simbad	NED
     576	NGC4984	  0	 28.3	 106	25	 54	 50	Simbad	NED
     577	NGC4984	  0	 33.3	 106	28	 59	 51	Simbad	NED
     578	NGC4984	  0	 39.0	  83	30	101	 47	Simbad	NED
     579	NGC7049	 57	-25.7	-342	13	 50	 42	Simbad	NED
     580	NGC7049	 57	-22.7	-334	16	 20	 68	Simbad	NED
     581	NGC7049	 57	-21.9	-365	19	 24	 58	Simbad	NED
     582	NGC7049	 57	-20.2	-352	17	 30	 54	Simbad	NED
     583	NGC7049	 57	-19.4	-369	23	 34	 43	Simbad	NED
     584	NGC7049	 57	-18.6	-352	13	 40	 34	Simbad	NED
     585	NGC7049	 57	-17.8	-349	 9	 20	 31	Simbad	NED
     586	NGC7049	 57	-17.0	-338	10	 25	 36	Simbad	NED
     587	NGC7049	 57	-16.1	-340	11	 36	 30	Simbad	NED
     588	NGC7049	 57	-15.3	-340	11	 50	 25	Simbad	NED
     589	NGC7049	 57	-14.5	-351	 8	 37	 22	Simbad	NED
     590	NGC7049	 57	-13.7	-332	 9	 52	 20	Simbad	NED
     591	NGC7049	 57	-12.9	-342	 6	 44	 16	Simbad	NED
     592	NGC7049	 57	-12.0	-344	 7	 65	 15	Simbad	NED
     593	NGC7049	 57	-11.2	-350	 6	 47	 13	Simbad	NED
     594	NGC7049	 57	-10.4	-351	 6	 38	 13	Simbad	NED
     595	NGC7049	 57	 -9.6	-343	 6	 49	 13	Simbad	NED
     596	NGC7049	 57	 -8.8	-329	 6	 44	 14	Simbad	NED
     597	NGC7049	 57	 -7.9	-319	 6	 65	 13	Simbad	NED
     598	NGC7049	 57	 -7.1	-314	 7	 40	 18	Simbad	NED
     599	NGC7049	 57	 -6.3	-310	 7	 66	 16	Simbad	NED
     600	NGC7049	 57	 -5.5	-270	 7	 73	 13	Simbad	NED
     601	NGC7049	 57	 -4.7	-171	 6	159	  9	Simbad	NED
     602	NGC7049	 57	 -3.8	-119	 6	176	  8	Simbad	NED
     603	NGC7049	 57	 -3.0	 -73	 5	149	  7	Simbad	NED
     604	NGC7049	 57	 -2.2	 -36	 4	120	  7	Simbad	NED
     605	NGC7049	 57	 -1.4	 -32	 3	113	  4	Simbad	NED
     606	NGC7049	 57	 -0.6	  -8	 2	100	  4	Simbad	NED
     607	NGC7049	 57	  0.3	  -1	 2	101	  4	Simbad	NED
     608	NGC7049	 57	  1.1	  11	 3	 94	  4	Simbad	NED
     609	NGC7049	 57	  1.9	  32	 3	115	  4	Simbad	NED
     610	NGC7049	 57	  2.7	  72	 4	112	  5	Simbad	NED
     611	NGC7049	 57	  3.5	 159	 4	113	  7	Simbad	NED
     612	NGC7049	 57	  4.4	 178	 4	 92	  7	Simbad	NED
     613	NGC7049	 57	  5.2	 210	 5	 74	  8	Simbad	NED
     614	NGC7049	 57	  6.0	 234	 5	 54	 11	Simbad	NED
     615	NGC7049	 57	  6.8	 263	 6	 67	 14	Simbad	NED
     616	NGC7049	 57	  7.6	 248	 6	 44	 15	Simbad	NED
     617	NGC7049	 57	  8.5	 275	 6	 48	 13	Simbad	NED
     618	NGC7049	 57	  9.3	 280	 6	 51	 13	Simbad	NED
     619	NGC7049	 57	 10.1	 284	 6	 55	 15	Simbad	NED
     620	NGC7049	 57	 10.9	 289	 6	 35	 16	Simbad	NED
     621	NGC7049	 57	 11.7	 287	 6	 38	 16	Simbad	NED
     622	NGC7049	 57	 12.6	 300	 7	 49	 16	Simbad	NED
     623	NGC7049	 57	 13.4	 300	 7	 57	 15	Simbad	NED
     624	NGC7049	 57	 14.2	 293	 8	 60	 16	Simbad	NED
     625	NGC7049	 57	 15.0	 285	 8	 41	 24	Simbad	NED
     626	NGC7049	 57	 15.8	 292	 8	 68	 16	Simbad	NED
     627	NGC7049	 57	 17.5	 303	10	 32	 29	Simbad	NED
     628	NGC7049	 57	 19.9	 285	12	 46	 31	Simbad	NED
     629	NGC7049	 57	 22.4	 275	10	 41	 26	Simbad	NED
     630	NGC7049	 57	 24.9	 295	17	 40	 44	Simbad	NED
     631	NGC7049	147	-11.7	 -10	15	 53	 33	Simbad	NED
     632	NGC7049	147	-10.0	   3	21	 18	 88	Simbad	NED
     633	NGC7049	147	 -9.2	 -11	13	 84	 25	Simbad	NED
     634	NGC7049	147	 -7.6	   5	11	116	 19	Simbad	NED
     635	NGC7049	147	 -6.7	   5	 8	107	 15	Simbad	NED
     636	NGC7049	147	 -5.9	  10	 7	 86	 12	Simbad	NED
     637	NGC7049	147	 -5.1	   3	 6	 50	 13	Simbad	NED
     638	NGC7049	147	 -4.3	 -13	 5	 80	  9	Simbad	NED
     639	NGC7049	147	 -3.5	 -22	 6	 89	  9	Simbad	NED
     640	NGC7049	147	 -2.6	 -33	 3	110	  5	Simbad	NED
     641	NGC7049	147	 -1.8	 -21	 3	102	  5	Simbad	NED
     642	NGC7049	147	 -1.0	  -1	 3	 97	  4	Simbad	NED
     643	NGC7049	147	 -0.2	  11	 2	107	  4	Simbad	NED
     644	NGC7049	147	  0.6	  19	 3	103	  4	Simbad	NED
     645	NGC7049	147	  1.5	  38	 3	 93	  4	Simbad	NED
     646	NGC7049	147	  2.3	  52	 3	 90	  5	Simbad	NED
     647	NGC7049	147	  3.1	  51	 4	 96	  7	Simbad	NED
     648	NGC7049	147	  3.9	  38	 4	 71	  8	Simbad	NED
     649	NGC7049	147	  4.7	  33	 7	 85	 12	Simbad	NED
     650	NGC7049	147	  5.6	  19	 8	 67	 15	Simbad	NED
     651	NGC7049	147	  6.4	  31	 8	 52	 17	Simbad	NED
     652	NGC7049	147	  7.2	  27	10	 43	 24	Simbad	NED
     653	NGC7049	147	  8.0	   3	11	 24	 40	Simbad	NED
     654	NGC7049	147	  8.8	   3	14	 49	 31	Simbad	NED
     655	NGC7049	147	 10.5	 -14	14	 22	 56	Simbad	NED
     656	NGC7049	147	 12.9	  -4	19	 53	 41	Simbad	NED
     657	NGC7213	124	-49.3	 -39	22	 62	 45	Simbad	NED
     658	NGC7213	124	-41.5	   7	14	 36	 51	Simbad	NED
     659	NGC7213	124	-37.4	  29	13	 44	 36	Simbad	NED
