#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:10 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:10	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/other/NatAs/7.463&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1061000701
#Name: J/other/NatAs/7.463
#Title: Galaxies stellar and gas kinematic angles (Raimundo+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/other/natas/7.463	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/other/natas/7.463	    IVOID of underlying data collection
#INFO	creator=Raimundo S.I.	    First author or institution
#INFO	cites=bibcode:2023NatAs...7..463R	    Article or Data origin sources
#INFO	journal=NatA	    Journal name
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/NatAs/7.463	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/dt/hkegd	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-03-04	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_NatAs_7_463_tabled1:
#Name: J/other/NatAs/7.463/tabled1
#Title: Summary of the main results for the of 1310 galaxies with measured stellar and gas kinematic angles
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Seq	(I4)	[0/1309] Sequential number	[ucd=meta.record]
#Column	CatId	(I10)	Catalogue ID from the SAMI survey DR3	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	zsp	(F7.4)	Spectroscopic redshift	[ucd=src.redshift]
#Column	PAs	(F5.1)	Principal stellar kinematic axis (PAstellar)	[ucd=pos.posAng]
#Column	e_PAs	(F4.1)	3{sigma} uncertainty in PAstellar	[ucd=stat.error]
#Column	PAg	(F5.1)	Principal gas kinematic axis (PAgas)	[ucd=pos.posAng]
#Column	e_PAg	(F4.1)	3{sigma} uncertainty in PAgas	[ucd=stat.error]
#Column	DPA	(F5.1)	Difference in stellar-gas kinematic angles ({DELTA}PA=|PAstellar-PAgas|)	[ucd=pos.posAng]
#Column	e_DPA	(F4.1)	3{sigma} uncertainty in PA	[ucd=stat.error]
#Column	Flag	(A1)	[als] Flag for excitation mechanism (1)	[ucd=meta.code.error]
#Column	FAGN	(A2)	Flag for AGN detection (2)	[ucd=meta.code]
#Column	Type	(F4.1)	Morphological type as in the SAMI survey classification	[ucd=src.morph.type]
#Column	logMstar	(F10.7)	? Stellar mass	[ucd=phys.mass]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
recno	Seq	CatId	RAJ2000	DEJ2000	zsp	PAs	e_PAs	PAg	e_PAg	DPA	e_DPA	Flag	FAGN	Type	logMstar	SimbadName
     135	 134	    208520	129.4091	+00.0507	 0.0346	170.9	 5.0	164.9	 0.5	  6.0	 5.5	s	  	 3.0	 9.6500000	GAMA 208520
     136	 135	    208589	129.6325	+00.0124	 0.0780	264.5	 4.0	257.4	 0.5	  7.0	 4.5	s	  	 2.0	10.5600000	GAMA 208589
     137	 136	    208652	129.7534	+00.0623	 0.0498	250.4	 4.0	295.6	 0.5	 45.2	 4.5	l	  	 0.0	11.0000000	GAMA 208652
     138	 137	    209181	132.1252	+00.1709	 0.0581	147.8	 4.5	138.8	 0.5	  9.1	 5.0	s	  	 3.0	10.3000000	GAMA 209181
     139	 138	    209185	132.1843	+00.1685	 0.0516	 94.5	 0.5	 94.5	 0.5	  0.0	 1.0	 	  	 0.5	10.7300000	GAMA 209185
     140	 139	    209697	134.5771	+00.1562	 0.0536	248.4	 4.0	261.4	 0.5	 13.1	 4.5	s	  	 2.0	10.2600000	GAMA 209697
     141	 140	    209698	134.6191	+00.0235	 0.0285	149.8	 1.5	129.7	 1.5	 20.1	 3.0	a	bl	 2.0	10.4300000	GAMA 209698
     142	 141	    209701	134.5249	+00.1462	 0.0532	122.7	 1.0	119.7	 0.5	  3.0	 1.5	 	  	 2.0	10.7900000	GAMA 209701
     143	 142	    209743	134.6768	+00.1914	 0.0406	306.7	 2.0	310.7	 0.5	  4.0	 2.5	s	  	 3.0	10.1600000	GAMA 209743
     144	 143	    209807	135.0211	+00.0797	 0.0539	356.0	 1.5	348.9	 0.5	  7.0	 2.0	l	  	 2.0	10.8100000	GAMA 209807
     145	 144	    210228	137.1263	+00.2057	 0.0514	160.9	 0.5	160.9	 0.5	  0.0	 1.0	 	  	 1.5	10.6800000	GAMA 210228
     146	 145	    210611	138.9173	+00.1856	 0.0704	 83.5	 3.0	251.4	 2.0	167.9	 5.0	s	  	 2.0	10.5100000	GAMA 210611
     147	 146	    210660	139.1757	+00.2056	 0.0168	323.8	 2.0	324.8	 0.5	  1.0	 2.5	s	  	 2.0	 9.8400000	GAMA 210660
     148	 147	    210781	139.6482	+00.0599	 0.0554	268.5	 3.5	265.5	 0.5	  3.0	 4.0	s	  	 3.0	10.2200000	GAMA 210781
     149	 148	    214182	129.0022	+00.6230	 0.0128	276.5	 5.0	269.5	 0.5	  7.0	 5.5	s	  	 3.0	 9.5300000	GAMA 214182
     150	 149	    214184	129.0064	+00.4381	 0.0332	271.5	 2.0	270.5	 0.5	  1.0	 2.5	s	  	 1.5	10.5600000	GAMA 214184
     151	 150	    214363	129.9706	+00.4324	 0.0421	221.2	 2.0	232.3	 2.5	 11.1	 4.5	 	  	 1.0	10.9900000	GAMA 214363
     152	 151	    214462	130.3511	+00.5303	 0.0510	120.7	 4.5	120.7	 0.5	  0.0	 5.0	s	  	 3.0	 9.6000000	GAMA 214462
     153	 152	    215053	132.6667	+00.4410	 0.0522	255.4	 2.0	261.4	 2.5	  6.0	 4.5	 	  	 2.0	10.0500000	GAMA 215053
     154	 153	    215292	133.5355	+00.4986	 0.0282	333.9	 1.5	332.9	 0.5	  1.0	 2.0	s	  	 3.0	10.0900000	GAMA 215292
     155	 154	    215335	133.6439	+00.4850	 0.0532	325.8	21.6	297.6	 2.5	 28.2	24.1	s	  	 2.0	10.0900000	GAMA 215335
     156	 155	    215579	134.2533	+00.5055	 0.0532	358.0	 1.0	358.0	 0.5	  0.0	 1.5	l	  	 2.0	10.7500000	GAMA 215579
     157	 156	    216111	136.7458	+00.5428	 0.0538	214.2	 3.0	228.3	 0.5	 14.1	 3.5	s	  	 2.0	10.0900000	GAMA 216111
     158	 157	    216155	136.9455	+00.5751	 0.0535	237.3	 6.0	223.2	 0.5	 14.1	 6.5	a	  	 2.5	10.2800000	GAMA 216155
     159	 158	    216401	138.0244	+00.4489	 0.0545	 49.3	10.6	 55.3	 0.5	  6.0	11.1	s	  	-9.0	10.4800000	GAMA 216401
     160	 159	    216670	139.2085	+00.5727	 0.0284	258.4	 2.0	264.5	 0.5	  6.0	 2.5	s	  	 2.0	10.4300000	GAMA 216670
     161	 160	    216843	140.1924	+00.6047	 0.0238	 49.3	 6.0	 50.3	 0.5	  1.0	 6.5	s	  	 3.0	 9.2600000	GAMA 216843
     162	 161	    218681	139.2505	+00.8441	 0.0380	231.3	 4.0	229.3	 0.5	  2.0	 4.5	s	  	 3.0	 9.9100000	GAMA 218681
     163	 162	    218713	140.0100	+00.8442	 0.0585	218.2	 6.5	 37.2	 0.5	179.0	 7.0	s	  	 1.5	10.0300000	GAMA 218713
     164	 163	    219992	179.9052	+01.4960	 0.0782	152.8	 4.5	141.8	11.1	 11.1	15.6	 	  	 1.0	10.4500000	GAMA 219992
     165	 164	    220217	180.7925	+01.5800	 0.0781	 34.2	 1.0	 53.3	 0.5	 19.1	 1.5	s	  	 2.5	10.4300000	GAMA 220217
     166	 165	    220275	180.9261	+01.4573	 0.0208	233.3	 7.0	236.3	 0.5	  3.0	 7.5	s	  	 3.0	 9.1400000	GAMA 220275
     167	 166	    220326	181.0833	+01.5676	 0.0208	275.5	 1.0	270.5	 0.5	  5.0	 1.5	l	  	 2.0	11.0600000	GAMA 220326
     168	 167	    220330	181.1049	+01.6473	 0.0234	119.7	 2.0	101.6	 1.5	 18.1	 3.5	a	  	 2.5	 9.5600000	GAMA 220330
     169	 168	    220332	181.1745	+01.6027	 0.0203	278.6	 3.0	276.5	 1.5	  2.0	 4.5	 	  	 2.5	 9.7000000	GAMA 220332
     170	 169	    220371	181.2372	+01.5082	 0.0203	 65.4	 6.5	 60.3	 0.5	  5.0	 7.0	s	  	 3.0	 9.5300000	GAMA 220371
     171	 170	    220372	181.2894	+01.5593	 0.0213	 57.3	10.1	358.0	 2.5	 59.3	12.6	s	  	 3.0	 9.0600000	GAMA 220372
     172	 171	    220437	181.5951	+01.4720	 0.0784	148.8	 5.0	141.8	 9.6	  7.0	14.6	 	  	 0.0	11.0900000	GAMA 220437
     173	 172	    220439	181.6316	+01.6166	 0.0195	206.2	 3.0	199.1	 0.5	  7.0	 3.5	s	  	 3.0	 9.5400000	GAMA 220439
     174	 173	    220578	182.1782	+01.4564	 0.0186	124.7	 9.6	124.7	 0.5	  0.0	10.1	s	  	 3.0	 8.9800000	GAMA 220578
     175	 174	    220951	184.0338	+01.6106	 0.0498	 27.1	14.6	344.9	 0.5	 42.2	15.1	s	  	 3.0	 9.7400000	GAMA 220951
     176	 175	    221050	184.3534	+01.6103	 0.0497	173.0	 7.5	170.9	 0.5	  2.0	 8.0	s	  	 3.0	 9.7200000	GAMA 221050
     177	 176	    221194	185.1153	+01.4697	 0.0053	108.6	10.6	347.9	 0.5	120.7	11.1	s	  	 3.0	 9.0000000	GAMA 221194
     178	 177	    221375	185.8253	+01.4869	 0.0278	217.2	 5.0	221.2	 0.5	  4.0	 5.5	s	  	 3.0	 9.8200000	GAMA 221375
     179	 178	     22595	178.3162	+01.2112	 0.0790	 57.3	 0.5	  4.0	 0.5	 53.3	 1.0	l	  	 1.0	11.1200000	GAMA 22595
     180	 179	     22633	178.4447	+01.1935	 0.0704	312.7	 7.5	316.8	 0.5	  4.0	 8.0	s	  	 3.0	10.4000000	GAMA 22633
     181	 180	    227036	211.8282	+01.2820	 0.0348	215.2	 5.0	204.1	 0.5	 11.1	 5.5	s	  	 3.0	 9.5600000	GAMA 227036
     182	 181	    227123	212.1979	+01.3180	 0.0477	316.8	 1.5	317.8	 0.5	  1.0	 2.0	l	  	 2.0	10.1800000	GAMA 227123
     183	 182	    227176	212.5092	+01.2632	 0.0258	114.6	 7.0	112.6	 0.5	  2.0	 7.5	s	  	 3.0	 9.5200000	GAMA 227176
     184	 183	    227223	212.6711	+01.3394	 0.0547	101.6	 3.0	 99.5	 0.5	  2.0	 3.5	s	  	 3.0	10.3100000	GAMA 227223
     185	 184	    227230	212.7210	+01.3694	 0.0260	281.6	 4.5	275.5	 0.5	  6.0	 5.0	s	  	 3.0	 9.6800000	GAMA 227230
     186	 185	    227264	212.8239	+01.2753	 0.0250	268.5	 2.0	275.5	 0.5	  7.0	 2.5	l	  	 1.5	10.4100000	GAMA 227264
     187	 186	    227266	212.8593	+01.2865	 0.0250	214.2	15.6	359.0	 0.5	144.8	16.1	a	  	 0.0	10.9600000	GAMA 227266
     188	 187	    227278	212.8299	+01.3095	 0.0250	287.6	 4.0	  3.0	 4.5	 75.4	 8.6	l	  	 1.0	10.1100000	GAMA 227278
     189	 188	    227351	213.0929	+01.3652	 0.0248	133.7	 9.1	131.7	 1.0	  2.0	10.1	s	  	 2.5	 9.5000000	GAMA 227351
     190	 189	    227428	213.4402	+01.1803	 0.0546	277.5	 6.0	292.6	 0.5	 15.1	 6.5	s	  	 2.5	10.0100000	GAMA 227428
     191	 190	    227572	214.2527	+01.2956	 0.0563	114.6	 4.0	126.7	 0.5	 12.1	 4.5	s	  	 3.0	10.1100000	GAMA 227572
     192	 191	    227607	214.3244	+01.1562	 0.0536	284.6	 1.5	282.6	 0.5	  2.0	 2.0	s	  	 2.0	10.7500000	GAMA 227607
     193	 192	    227614	214.3126	+01.2294	 0.0544	174.0	11.1	119.7	 0.5	 54.3	11.6	s	  	 2.0	10.1500000	GAMA 227614
     194	 193	    227617	214.3240	+01.2215	 0.0543	261.4	 9.1	249.4	 7.0	 12.1	16.1	 	  	 0.0	10.5200000	GAMA 227617
     195	 194	    227618	214.3332	+01.1735	 0.0544	103.6	 1.5	 96.5	 0.5	  7.0	 2.0	a	  	 2.5	10.3300000	GAMA 227618
     196	 195	    227905	215.3194	+01.2074	 0.0548	256.4	 3.0	244.4	 5.0	 12.1	 8.1	 	  	 1.0	10.7900000	GAMA 227905
     197	 196	    227961	215.4973	+01.1599	 0.0548	 75.4	 3.0	 62.4	 0.5	 13.1	 3.5	s	  	 2.5	10.3600000	GAMA 227961
     198	 197	    227970	215.6046	+01.1976	 0.0541	 35.2	 3.5	 23.1	 0.5	 12.1	 4.0	s	  	 3.0	10.1600000	GAMA 227970
     199	 198	    228066	215.8674	+01.1021	 0.0397	262.5	 2.0	264.5	 0.5	  2.0	 2.5	l	  	 1.5	10.3100000	GAMA 228066
     200	 199	    228105	216.1382	+01.1773	 0.0388	 26.1	 7.0	 19.1	 0.5	  7.0	 7.5	 	  	 2.0	11.0300000	GAMA 228105
     201	 200	    228349	217.0767	+01.1296	 0.0550	108.6	 4.5	127.7	 0.5	 19.1	 5.0	s	  	 2.5	10.2100000	GAMA 228349
     202	 201	     22839	179.2427	+01.1480	 0.0392	 46.3	 4.5	 46.3	 0.5	  0.0	 5.0	s	  	 3.0	 9.3700000	GAMA 22839
     203	 202	    228428	217.3067	+01.0719	 0.0369	 57.3	 5.0	 59.3	 0.5	  2.0	 5.5	s	  	 3.0	 9.5200000	GAMA 228428
     204	 203	    228432	217.3857	+01.1174	 0.0297	221.2	 7.5	211.2	 0.5	 10.1	 8.0	s	  	 3.0	 9.4000000	GAMA 228432
     205	 204	    228433	217.3889	+01.1044	 0.0300	114.6	 7.5	115.6	 0.5	  1.0	 8.0	s	  	 3.0	 9.3300000	GAMA 228433
     206	 205	    228564	217.8525	+01.2344	 0.0300	358.0	 2.0	254.4	 3.0	103.6	 5.0	 	  	 2.0	10.6500000	GAMA 228564
     207	 206	    228570	217.7573	+01.2429	 0.0262	168.9	 3.5	180.0	 0.5	 11.1	 4.0	s	  	 2.0	10.1300000	GAMA 228570
     208	 207	    228608	217.9096	+01.1239	 0.0300	244.4	 7.5	244.4	 0.5	  0.0	 8.0	s	  	 2.5	 9.7300000	GAMA 228608
     209	 208	    228740	218.6129	+01.0803	 0.0789	260.4	 2.0	257.4	 0.5	  3.0	 2.5	 	  	 2.0	10.9500000	GAMA 228740
     210	 209	     22887	179.4026	+01.1408	 0.0363	111.6	 1.0	108.6	 0.5	  3.0	 1.5	s	  	 2.0	10.4700000	GAMA 22887
     211	 210	    229163	220.8427	+01.0981	 0.0381	179.0	 0.5	189.1	 0.5	 10.1	 1.0	s	  	 2.0	10.5900000	GAMA 229163
     212	 211	    229167	220.7825	+01.1000	 0.0339	 24.1	 2.0	 16.1	 0.5	  8.0	 2.5	s	  	 2.5	10.2000000	GAMA 229167
     213	 212	     22932	179.6329	+01.1319	 0.0393	163.9	15.6	181.0	 0.5	 17.1	16.1	s	  	 3.0	 9.4700000	GAMA 22932
     214	 213	    230421	179.7718	+01.9099	 0.0474	259.4	 4.0	 89.5	 0.5	169.9	 4.5	l	  	 1.0	10.5100000	GAMA 230421
     215	 214	    230455	179.8960	+01.8671	 0.0776	 27.1	 6.5	 30.2	 3.0	  3.0	 9.6	l	  	 0.5	11.0500000	GAMA 230455
     216	 215	    230560	180.3454	+01.9257	 0.0185	286.6	 6.0	290.6	 0.5	  4.0	 6.5	s	  	 3.0	 9.5200000	GAMA 230560
     217	 216	     23070	180.1815	+01.1822	 0.0791	115.6	 1.5	105.6	 5.5	 10.1	 7.0	 	  	 1.0	10.9200000	GAMA 23070
     218	 217	    230714	180.9759	+01.8913	 0.0245	140.8	 3.5	145.8	 0.5	  5.0	 4.0	s	  	 2.5	10.1800000	GAMA 230714
     219	 218	     23075	180.1491	+01.2063	 0.0489	352.0	 1.0	350.9	 0.5	  1.0	 1.5	l	  	 1.5	10.3800000	GAMA 23075
     220	 219	    231024	182.1302	+01.9094	 0.0207	139.8	 4.5	119.7	 0.5	 20.1	 5.0	s	  	 3.0	10.0400000	GAMA 231024
     221	 220	     23117	180.4077	+01.1980	 0.0819	211.2	 2.0	214.2	 0.5	  3.0	 2.5	l	  	 1.5	11.1400000	GAMA 23117
     222	 221	    231528	184.2065	+01.9079	 0.0772	 88.5	 3.0	264.5	 1.0	176.0	 4.0	 	  	 1.5	10.9600000	GAMA 231528
     223	 222	     23265	180.9158	+01.2046	 0.0780	104.6	 6.5	178.0	 7.0	 73.4	13.6	 	  	 0.0	11.0000000	GAMA 23265
     224	 223	     23337	181.2276	+01.2156	 0.0213	318.8	 2.0	318.8	 0.5	  0.0	 2.5	s	  	 2.5	 9.7400000	GAMA 23337
     225	 224	     23341	181.2277	+01.2341	 0.0783	128.7	 2.5	146.8	 0.5	 18.1	 3.0	s	  	 0.0	11.0100000	GAMA 23341
     226	 225	     23565	182.2069	+01.1918	 0.0371	214.2	 1.5	210.2	 0.5	  4.0	 2.0	s	  	 2.0	10.3100000	GAMA 23565
     227	 226	     23619	182.3966	+01.1311	 0.0765	255.4	 1.0	257.4	 1.5	  2.0	 2.5	 	  	 1.5	10.9800000	GAMA 23619
     228	 227	    238072	213.1576	+01.6157	 0.0258	214.2	 5.5	212.2	 0.5	  2.0	 6.0	s	  	 3.0	 9.1600000	GAMA 238072
     229	 228	    238094	213.2419	+01.7125	 0.0259	321.8	10.1	323.8	 0.5	  2.0	10.6	s	  	 3.0	 9.1700000	GAMA 238094
     230	 229	    238125	213.3289	+01.6644	 0.0259	129.7	 4.0	114.6	 0.5	 15.1	 4.5	s	  	 3.0	 9.5000000	GAMA 238125
     231	 230	    238204	213.5912	+01.7409	 0.0542	335.9	 1.5	346.9	 0.5	 11.1	 2.0	 	  	 2.0	10.6500000	GAMA 238204
     232	 231	    238213	213.6323	+01.7296	 0.0536	210.2	 0.5	194.1	 0.5	 16.1	 1.0	l	  	 1.5	11.0400000	GAMA 238213
     233	 232	    238282	213.8140	+01.7314	 0.0540	218.2	 1.0	221.2	 5.5	  3.0	 6.5	 	  	 1.0	10.4800000	GAMA 238282
     234	 233	    238350	214.0951	+01.5912	 0.0538	 82.5	 1.0	 77.4	 2.0	  5.0	 3.0	l	  	 2.0	11.0900000	GAMA 238350
     235	 234	    238358	214.1284	+01.6189	 0.0539	128.7	 1.0	129.7	 0.5	  1.0	 1.5	l	bl	 2.0	10.7800000	GAMA 238358
     236	 235	    238360	214.0185	+01.7489	 0.0557	 57.3	 2.5	 46.3	 0.5	 11.1	 3.0	 	  	 3.0	10.1500000	GAMA 238360
     237	 236	    238369	214.1425	+01.6282	 0.0559	 26.1	 5.5	  5.0	 0.5	 21.1	 6.0	s	  	 2.5	10.1800000	GAMA 238369
     238	 237	    238395	214.2432	+01.6404	 0.0251	241.3	 6.5	248.4	 0.5	  7.0	 7.0	s	  	 3.0	 9.8700000	GAMA 238395
     239	 238	    238406	214.2024	+01.7596	 0.0558	 27.1	 2.0	 19.1	 0.5	  8.0	 2.5	s	  	 3.0	10.4500000	GAMA 238406
     240	 239	    238453	214.3032	+01.7140	 0.0546	 50.3	 6.0	  7.0	 7.5	 43.2	13.6	s	  	 0.5	10.6900000	GAMA 238453
     241	 240	    238496	214.4722	+01.6396	 0.0546	265.5	 3.5	251.4	 0.5	 14.1	 4.0	s	  	 1.5	10.1300000	GAMA 238496
     242	 241	    238922	215.7872	+01.6716	 0.0262	310.7	 2.0	 45.2	 0.5	 94.5	 2.5	l	  	 0.0	10.7400000	GAMA 238922
     243	 242	    239109	216.5418	+01.6049	 0.0853	 66.4	 1.0	 67.4	 0.5	  1.0	 1.5	s	  	 2.0	11.1200000	GAMA 239109
     244	 243	    239249	217.0184	+01.6391	 0.0290	130.7	 6.5	116.7	 0.5	 14.1	 7.0	s	  	 3.0	 9.3600000	GAMA 239249
     245	 244	    239292	217.1999	+01.6929	 0.0482	244.4	 3.0	248.4	 0.5	  4.0	 3.5	s	  	 0.5	10.0000000	GAMA 239292
     246	 245	    239376	217.5202	+01.5368	 0.0271	175.0	 4.5	182.0	 0.5	  7.0	 5.0	s	  	 3.0	 9.5800000	GAMA 239376
     247	 246	    239490	217.9976	+01.5814	 0.0298	154.9	 8.0	153.8	 0.5	  1.0	 8.5	s	  	 3.0	 9.2100000	GAMA 239490
     248	 247	    239560	218.2094	+01.5425	 0.0271	 39.2	 2.5	 36.2	 0.5	  3.0	 3.0	l	  	 2.5	10.1600000	GAMA 239560
     249	 248	    240108	220.6234	+01.5004	 0.0065	205.1	 6.5	233.3	 0.5	 28.2	 7.0	s	  	 3.0	 9.0200000	GAMA 240108
     250	 249	     24013	184.0187	+01.1804	 0.0500	 24.1	 2.0	 28.2	 0.5	  4.0	 2.5	s	  	 2.5	10.5800000	GAMA 24013
     251	 250	    240205	221.1758	+01.4497	 0.0382	228.3	14.1	248.4	 0.5	 20.1	14.6	s	  	 3.0	 9.3900000	GAMA 240205
     252	 251	    240227	221.2509	+01.4085	 0.0338	173.0	 2.0	179.0	 0.5	  6.0	 2.5	s	  	 2.5	10.1600000	GAMA 240227
     253	 252	    240352	222.0437	+01.3672	 0.0288	 77.4	 2.5	 68.4	 0.5	  9.1	 3.0	s	  	 1.5	 9.8600000	GAMA 240352
     254	 253	    240432	222.4689	+01.4605	 0.0488	254.4	 3.0	254.4	 0.5	  0.0	 3.5	s	  	 2.0	10.8000000	GAMA 240432
     255	 254	    240449	222.5431	+01.3835	 0.0442	148.8	 4.5	157.9	 0.5	  9.1	 5.0	s	  	 3.0	10.2200000	GAMA 240449
     256	 255	     24433	185.7225	+01.2413	 0.0278	175.0	 1.5	 31.2	 1.0	143.8	 2.5	s	  	 3.0	 9.1400000	GAMA 24433
     257	 256	    250277	214.4338	+01.9813	 0.0581	128.7	12.6	118.7	 0.5	 10.1	13.1	s	  	 3.0	10.0100000	GAMA 250277
     258	 257	    250466	214.7666	+01.9912	 0.0542	144.8	 5.0	148.8	 0.5	  4.0	 5.5	s	  	 2.5	10.1200000	GAMA 250466
     259	 258	    250473	214.8278	+01.9722	 0.0846	133.7	 1.0	136.8	 0.5	  3.0	 1.5	l	  	 2.0	11.0300000	GAMA 250473
     260	 259	    251297	218.1196	+01.9105	 0.0304	 25.1	 3.5	 11.1	 0.5	 14.1	 4.0	s	  	 3.0	 9.5200000	GAMA 251297
     261	 260	    251887	220.9555	+01.9260	 0.0786	132.7	 1.0	131.7	 0.5	  1.0	 1.5	a	  	 2.0	11.3500000	GAMA 251887
     262	 261	    252005	221.7444	+01.8398	 0.0338	170.9	 1.5	168.9	 0.5	  2.0	 2.0	s	  	 2.0	10.3700000	GAMA 252005
     263	 262	    252021	221.8654	+01.9181	 0.0339	166.9	 3.5	172.0	 0.5	  5.0	 4.0	s	  	 2.0	10.1200000	GAMA 252021
     264	 263	    252091	222.1596	+01.8714	 0.0343	306.7	 5.0	290.6	 0.5	 16.1	 5.5	s	  	 3.0	 9.3700000	GAMA 252091
     265	 264	    271385	174.1170	+01.3065	 0.0744	190.1	 2.0	181.0	 0.5	  9.1	 2.5	 	  	 2.0	10.9600000	GAMA 271385
     266	 265	    271387	174.1364	+01.3798	 0.0750	235.3	 8.6	233.3	 2.5	  2.0	11.1	 	  	 1.0	10.9300000	GAMA 271387
     267	 266	    271431	174.2196	+01.2815	 0.0743	 54.3	 2.5	 35.2	 7.5	 19.1	10.1	l	  	 1.5	10.5100000	GAMA 271431
     268	 267	    271455	174.3862	+01.2809	 0.0764	194.1	 1.0	193.1	 0.5	  1.0	 1.5	 	  	 2.0	10.9700000	GAMA 271455
     269	 268	    272190	178.2417	+01.2878	 0.0809	 84.5	 7.0	 79.4	 3.0	  5.0	10.1	 	  	 0.0	10.9600000	GAMA 272190
     270	 269	    272298	178.7273	+01.3727	 0.0773	257.4	 1.0	258.4	 0.5	  1.0	 1.5	 	  	 2.0	10.9900000	GAMA 272298
     271	 270	    272443	179.4949	+01.3689	 0.0783	113.6	 0.5	120.7	 0.5	  7.0	 1.0	l	  	 2.0	11.0100000	GAMA 272443
     272	 271	    272543	179.8526	+01.4341	 0.0473	 36.2	 2.0	 25.1	 0.5	 11.1	 2.5	s	  	 3.0	10.4400000	GAMA 272543
     273	 272	    272667	180.3818	+01.2959	 0.0227	 90.5	 1.0	 74.4	 0.5	 16.1	 1.5	s	  	 3.0	 9.4700000	GAMA 272667
     274	 273	    272820	180.9651	+01.2951	 0.0832	226.3	13.6	335.9	 1.5	109.6	15.1	l	  	 0.0	10.8200000	GAMA 272820
     275	 274	    272822	180.9982	+01.4108	 0.0223	340.9	 2.5	290.6	 0.5	 50.3	 3.0	l	  	 3.0	10.2200000	GAMA 272822
     276	 275	    272833	181.0148	+01.3736	 0.0825	214.2	 9.1	215.2	21.6	  1.0	30.7	 	  	 0.5	10.9200000	GAMA 272833
     277	 276	    272990	181.6968	+01.2861	 0.0412	  4.0	 2.5	  5.0	 0.5	  1.0	 3.0	s	  	 0.5	10.5900000	GAMA 272990
     278	 277	    273092	182.0000	+01.3959	 0.0374	275.5	23.6	244.4	 0.5	 31.2	24.1	s	  	 3.0	10.0700000	GAMA 273092
     279	 278	    273296	182.9977	+01.3500	 0.0209	161.9	 4.5	166.9	 0.5	  5.0	 5.0	s	  	 3.0	 9.5600000	GAMA 273296
     280	 279	    273309	183.0384	+01.3115	 0.0202	276.5	18.6	110.6	 0.5	165.9	19.1	s	  	 3.0	 9.2400000	GAMA 273309
     281	 280	    273750	185.1853	+01.3657	 0.0325	182.0	16.6	198.1	 0.5	 16.1	17.1	s	  	 3.0	 9.1200000	GAMA 273750
     282	 281	    273889	185.5538	+01.4276	 0.0794	282.6	 1.5	262.5	 3.5	 20.1	 5.0	 	  	 1.5	11.0800000	GAMA 273889
     283	 282	    273952	185.9556	+01.3751	 0.0269	160.9	23.6	159.9	 0.5	  1.0	24.1	s	  	 3.0	 9.6300000	GAMA 273952
     284	 283	    278390	130.9489	+00.8384	 0.0288	  2.0	 1.0	  2.0	 0.5	  0.0	 1.5	s	  	 2.0	10.5100000	GAMA 278390
     285	 284	    278548	132.3058	+00.8519	 0.0433	211.2	 4.0	223.2	 0.5	 12.1	 4.5	s	  	 3.0	10.2500000	GAMA 278548
     286	 285	    278703	133.3608	+00.8329	 0.0409	125.7	19.1	127.7	 0.5	  2.0	19.6	s	  	 3.0	 9.3600000	GAMA 278703
     287	 286	    278760	133.6729	+00.8991	 0.0410	 82.5	 1.0	 99.5	 0.5	 17.1	 1.5	s	  	 3.0	10.0200000	GAMA 278760
     288	 287	    278804	133.8594	+00.8582	 0.0420	278.6	 3.5	281.6	 0.5	  3.0	 4.0	s	  	 1.5	 9.8200000	GAMA 278804
     289	 288	    278812	133.7809	+00.8116	 0.0417	 52.3	 5.5	 37.2	 0.5	 15.1	 6.0	s	  	 3.0	 9.5400000	GAMA 278812
     290	 289	    278840	133.9595	+00.8311	 0.0417	226.3	 2.0	 42.2	 0.5	176.0	 2.5	s	  	 0.5	10.4100000	GAMA 278840
