#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/922/267/table4&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19220267
#Name: J/ApJ/922/267
#Title: Dwarf galaxies photometry & structures (Carlsten+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apj/922/267	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/922/267	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2021ApJ...922..267C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/922/267	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19220267	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-12-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_922_267_table4:
#Name: J/ApJ/922/267/table4
#Title: The Local Volume (LV) field dwarf photometry
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a15)	Dwarf name	[ucd=meta.id;meta.main]
#Column	Host	(A5)	Host type ("FIELD" or "LG")	[ucd=obs.field]
#Column	RAJ2000	(F8.4)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	[-61.4/80.2] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	gmag	(F5.2)	[10.5/19.3]? Apparent g-band magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_gmag	(F5.2)	[0.08/0.12]? Uncertainty in gmag	[ucd=stat.error;phot.mag]
#Column	rimag	(F5.2)	[10.2/19.1]? Apparent r- or i- band magnitude (G1)	[ucd=phot.mag;em.opt]
#Column	e_rimag	(F5.2)	[0.09/0.12]? Uncertainty in rimag	[ucd=stat.error;phot.mag]
#Column	gMag	(F6.2)	[-16.3/-10.3]? Absolute g-band magnitude	[ucd=phys.magAbs;em.opt.B]
#Column	e_gMag	(F5.2)	[0.08/0.12]? Uncertainty in gMag	[ucd=stat.error;phot.mag]
#Column	VMag	(F6.2)	[-16.5/-10.4] Absolute V-band magnitude (G2)	[ucd=phys.magAbs;em.opt.V]
#Column	e_VMag	(F5.2)	[0.09/0.2] Uncertainty in VMag	[ucd=stat.error;phot.mag]
#Column	logMs	(F5.2)	[5.5/8.5] Log of stellar mass	[ucd=phys.mass]
#Column	e_logMs	(F5.2)	[0.06/0.2] Uncertainty in logMs	[ucd=stat.error]
#Column	mu0V	(F5.2)	[19.1/26.18] V-band central surface brightness	[ucd=phot.mag.sb;em.opt.V]
#Column	e_mu0V	(F5.2)	[0.1/0.3]? Uncertainty in mu0V	[ucd=stat.error]
#Column	Re	(F6.1)	[157/4299] Effective radius of galaxy model	[ucd=phys.size.radius;meta.modelled]
#Column	e_Re	(F5.1)	[12/208]? Uncertainty in Re	[ucd=stat.error]
#Column	ell	(F5.2)	[0.05/0.87] Measured ellipticity	[ucd=src.ellipticity]
#Column	e_ell	(F5.2)	[0.02/0.1] Uncertainty in ell	[ucd=stat.error]
#Column	ETG	(A5)	Early-type galaxy? (always "False")	[ucd=meta.code.class]
#Column	Filt	(A4)	Filters used ("gi", "gr" or "None")	[ucd=meta.code;instr.filter]
#Column	Tel	(A6)	Instrument+Telescope used ("DECALS", "CFHT" or "MCCONN")	[ucd=instr.setup]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
recno	Name	Host	RAJ2000	DEJ2000	gmag	e_gmag	rimag	e_rimag	gMag	e_gMag	VMag	e_VMag	logMs	e_logMs	mu0V	e_mu0V	Re	e_Re	ell	e_ell	ETG	Filt	Tel	SimbadName	NED	LEDA
      72	KK109          	FIELD	176.7995	+43.6718	17.91	 0.10	17.75	 0.10	-10.36	 0.10	-10.46	 0.10	 5.66	 0.08	23.59	 0.13	 242.3	 17.0	 0.51	 0.03	False	gr  	DECALS	[KK98a] 109                  	NED	LEDA
      73	DDO099         	FIELD	177.7223	+38.8801	13.06	 0.08	12.82	 0.09	-14.05	 0.08	-14.20	 0.09	 7.28	 0.07	22.58	 0.11	1073.6	 51.4	 0.51	 0.02	False	gr  	DECALS	DDO099                       	NED	LEDA
      74	LVJ1157+5638   	FIELD	179.4754	+56.6379	16.76	 0.09	16.60	 0.09	-12.95	 0.09	-13.05	 0.09	 6.69	 0.08	19.87	 0.12	 256.1	 14.9	 0.23	 0.02	False	gr  	DECALS	[KMK2013] LV J1157+5638      	NED	LEDA
      75	BTS76          	FIELD	179.6835	+27.5848	16.96	 0.09	16.44	 0.09	-13.54	 0.09	-13.85	 0.09	 7.56	 0.08	21.68	 0.12	 552.1	 33.0	 0.45	 0.03	False	gr  	DECALS	BTS76                        	NED	LEDA
      76	ESO572m034     	FIELD	179.7429	-19.0280	14.12	 0.09	13.96	 0.09	-15.99	 0.09	-16.08	 0.09	 7.91	 0.07	20.35	 0.11	 635.5	 31.1	 0.56	 0.02	False	gr  	CFHT  	ESO572-034                   	NED	LEDA
      77	NGC4068        	FIELD	181.0094	+52.5905	12.87	 0.08	12.59	 0.09	-15.34	 0.08	-15.51	 0.09	 7.86	 0.08	21.88	 0.11	1092.6	 52.2	 0.50	 0.02	False	gr  	DECALS	NGC4068                      	NED	LEDA
      78	LVJ1207+3133   	FIELD	181.9585	+31.5524	16.63	 0.09	16.22	 0.09	-13.77	 0.09	-14.01	 0.09	 7.46	 0.08	22.69	 0.11	 980.6	 56.3	 0.35	 0.02	False	gr  	DECALS	[KMK2013] LV J1207+3133      	NED	LEDA
      79	MCGp06m27m017  	FIELD	182.4849	+36.4351	15.06	 0.09	14.74	 0.09	-13.37	 0.09	-13.49	 0.09	 6.92	 0.06	20.31	 0.11	 264.7	 13.4	 0.56	 0.02	False	gi  	CFHT  	MCG+06-27-017                	NED	LEDA
      80	ngc4163        	FIELD	183.1926	+36.0927	13.39	 0.09	13.05	 0.09	-13.99	 0.09	-14.12	 0.09	 7.20	 0.06	20.84	 0.11	 279.9	 13.5	 0.15	 0.02	False	gi  	CFHT  	ngc4163                      	NED	LEDA
      81	ngc4190        	FIELD	183.6227	+36.5242	12.89	 0.08	12.55	 0.09	-14.37	 0.08	-14.50	 0.09	 7.35	 0.06	20.76	 0.11	 374.6	 17.9	 0.38	 0.02	False	gi  	CFHT  	ngc4190                      	NED	LEDA
      82	MCG+09-20-131  	FIELD	183.9455	+52.3880	15.10	 0.09	14.99	 0.09	-13.21	 0.09	-13.28	 0.09	 6.71	 0.07	21.40	 0.11	 310.0	 15.7	 0.37	 0.02	False	gr  	DECALS	MCG+09-20-131                	NED	LEDA
      83	UGC07298       	FIELD	184.1249	+52.2284	15.68	 0.09	15.57	 0.09	-12.43	 0.09	-12.50	 0.09	 6.39	 0.08	22.73	 0.11	 309.2	 16.3	 0.32	 0.02	False	gr  	DECALS	UGC07298                     	NED	LEDA
      84	GR34           	FIELD	185.5319	+15.7988	15.09	 0.09	14.77	 0.09	-14.75	 0.09	-14.94	 0.09	 7.69	 0.08	22.61	 0.11	1581.6	 80.2	 0.14	 0.02	False	gr  	DECALS	GRDG 34                      	NED	LEDA
      85	KK141          	FIELD	185.7198	+33.8286	17.19	 0.09	17.04	 0.10	-12.07	 0.09	-12.16	 0.10	 6.33	 0.08	22.79	 0.12	 259.2	 16.0	 0.35	 0.03	False	gr  	DECALS	[KK98a] 141                  	NED	LEDA
      86	KK144          	FIELD	186.3706	+28.4842	15.88	 0.09	15.70	 0.09	-13.01	 0.09	-13.12	 0.09	 6.76	 0.08	23.67	 0.11	 704.8	 37.6	 0.49	 0.02	False	gr  	DECALS	[KK98a] 144                  	NED	LEDA
      87	ddo125         	FIELD	187.0901	+43.4152	12.68	 0.08	12.62	 0.09	-14.40	 0.08	-14.43	 0.09	 6.99	 0.06	22.42	 0.11	 868.3	 41.4	 0.55	 0.02	False	gi  	CFHT  	ddo125                       	NED	LEDA
      88	KKH80          	FIELD	187.0211	+22.2909	16.20	 0.09	15.96	 0.09	-12.74	 0.09	-12.88	 0.09	 6.76	 0.08	23.15	 0.11	 600.5	 33.0	 0.44	 0.02	False	gr  	DECALS	[KKH2001] 80                 	NED	LEDA
      89	UGC07605       	FIELD	187.1610	+35.7172	14.59	 0.09	14.46	 0.09	-13.79	 0.09	-13.87	 0.09	 6.98	 0.07	22.00	 0.11	 456.6	 22.7	 0.19	 0.02	False	gr  	DECALS	UGC07605                     	NED	LEDA
      90	AGC229379      	FIELD	187.6425	+23.2056	18.24	 0.10	17.87	 0.10	-10.79	 0.10	-11.01	 0.10	 6.21	 0.08	23.77	 0.13	 231.9	 17.4	 0.27	 0.04	False	gr  	CFHT  	AGC229379                    	NED	LEDA
      91	ComaP          	FIELD	188.0450	+20.4227	18.18	 0.10	18.26	 0.11	-12.01	 0.10	-11.97	 0.10	 5.89	 0.08	26.18	 0.13	1707.8	126.2	 0.67	 0.03	False	gr  	DECALS	NAME Coma P                  	NED	LEDA
      92	DDO133         	FIELD	188.2270	+31.5389	13.24	 0.08	12.91	 0.09	-15.20	 0.08	-15.40	 0.09	 7.90	 0.08	23.49	 0.11	2497.3	119.8	 0.53	 0.02	False	gr  	DECALS	DDO133                       	NED	LEDA
      93	dw1238p3245    	FIELD	189.6681	+32.7651	16.01	 0.09	15.84	 0.09	-11.91	 0.09	-12.02	 0.09	 6.30	 0.08	24.38	 0.11	 588.8	 31.8	 0.30	 0.02	False	gr  	CFHT  	Anon 1236+33                 	NED	LEDA
      94	AGC749241      	FIELD	190.0071	+26.3222	18.25	 0.10	18.19	 0.11	-10.50	 0.10	-10.54	 0.10	 5.54	 0.08	24.23	 0.13	 270.1	 20.3	 0.30	 0.04	False	gr  	DECALS	AGC749241                    	NED	LEDA
      95	VCC2037        	FIELD	191.5639	+10.2055	15.37	 0.09	15.04	 0.09	-14.55	 0.09	-14.75	 0.09	 7.64	 0.08	21.21	 0.11	1050.3	 54.1	 0.48	 0.02	False	gr  	DECALS	VCC2037                      	NED	LEDA
      96	DDO147         	FIELD	191.7495	+36.4775	14.71	 0.09	14.60	 0.09	-12.68	 0.09	-12.75	 0.09	 6.50	 0.08	23.51	 0.11	 588.5	 29.3	 0.38	 0.02	False	gr  	DECALS	DDO147                       	NED	LEDA
      97	NGC4707        	FIELD	192.0952	+51.1647	13.47	 0.09	13.10	 0.09	-15.60	 0.09	-15.82	 0.09	 8.12	 0.08	22.18	 0.11	1371.1	 66.0	 0.25	 0.02	False	gr  	DECALS	NGC4707                      	NED	LEDA
      98	LVJ1249+2155   	FIELD	192.4032	+21.9181	17.15	 0.09	16.87	 0.10	-11.85	 0.09	-12.01	 0.10	 6.46	 0.08	20.20	 0.12	 298.8	 18.4	 0.38	 0.03	False	gr  	DECALS	SDSS J124936.89+215505.7     	NED	LEDA
      99	IC3840         	FIELD	192.9417	+21.7348	15.88	 0.09	15.69	 0.09	-13.00	 0.09	-13.12	 0.09	 6.77	 0.08	22.66	 0.11	 545.6	 29.1	 0.60	 0.02	False	gr  	DECALS	IC3840                       	NED	LEDA
     100	UGC08061       	FIELD	194.1829	+11.9319	15.69	 0.09	15.27	 0.09	-14.81	 0.09	-15.06	 0.09	 7.89	 0.07	23.09	 0.11	1183.8	 62.3	 0.16	 0.02	False	gr  	DECALS	UGC08061                     	NED	LEDA
     101	GR8            	FIELD	194.6663	+14.2178	14.79	 0.09	14.54	 0.09	-11.91	 0.09	-12.06	 0.09	 6.43	 0.08	22.84	 0.11	 301.7	 15.1	 0.39	 0.02	False	gr  	DECALS	GRDG 8                       	NED	LEDA
     102	DDO165         	FIELD	196.6048	+67.7055	12.86	 0.08	12.71	 0.09	-15.56	 0.08	-15.65	 0.09	 7.72	 0.08	22.77	 0.11	1586.5	 75.7	 0.50	 0.02	False	gr  	DECALS	DDO165                       	NED	LEDA
     103	UGC08245       	FIELD	197.1481	+78.9372	14.03	 0.09	13.67	 0.09	-14.34	 0.09	-14.55	 0.09	 7.60	 0.08	21.22	 0.11	 637.5	 31.1	 0.65	 0.02	False	gr  	DECALS	UGC08245                     	NED	LEDA
     104	DDO167         	FIELD	198.3453	+46.3207	15.29	 0.09	15.10	 0.09	-12.86	 0.09	-12.97	 0.09	 6.70	 0.08	23.00	 0.11	 487.0	 25.0	 0.42	 0.02	False	gr  	DECALS	DDO167                       	NED	LEDA
     105	DDO169         	FIELD	198.8753	+47.4990	14.21	 0.09	13.93	 0.09	-14.01	 0.09	-14.17	 0.09	 7.33	 0.08	22.22	 0.11	 909.6	 44.6	 0.68	 0.02	False	gr  	DECALS	DDO169                       	NED	LEDA
     106	UGC08508       	FIELD	202.6850	+54.9107	13.81	 0.09	13.55	 0.09	-13.32	 0.09	-13.42	 0.09	 6.82	 0.06	21.78	 0.11	 384.2	 18.6	 0.49	 0.02	False	gi  	CFHT  	UGC08508                     	NED	LEDA
     107	AGC238890      	FIELD	203.1267	+25.1237	15.98	 0.09	15.58	 0.09	-12.55	 0.09	-12.79	 0.09	 6.96	 0.08	20.94	 0.11	 320.0	 17.2	 0.33	 0.02	False	gr  	DECALS	AGC238890                    	NED	LEDA
     108	NGC5238        	FIELD	203.6781	+51.6144	13.33	 0.09	13.02	 0.09	-14.94	 0.09	-15.12	 0.09	 7.76	 0.08	21.20	 0.11	 927.3	 44.6	 0.41	 0.02	False	gr  	DECALS	NGC5238                      	NED	LEDA
     109	UGC08638       	FIELD	204.8321	+24.7756	14.24	 0.09	13.90	 0.09	-13.92	 0.09	-14.12	 0.09	 7.40	 0.08	21.89	 0.11	 600.2	 29.4	 0.45	 0.02	False	gr  	DECALS	UGC08638                     	NED	LEDA
     110	DDO181         	FIELD	204.9736	+40.7399	14.13	 0.09	13.90	 0.09	-13.33	 0.09	-13.46	 0.09	 6.96	 0.08	22.84	 0.11	 655.5	 32.0	 0.53	 0.02	False	gr  	CFHT  	DDO181                       	NED	LEDA
     111	DDO183         	FIELD	207.7121	+38.0198	14.22	 0.09	13.99	 0.09	-13.38	 0.09	-13.51	 0.09	 6.99	 0.07	22.47	 0.11	 756.2	 37.1	 0.75	 0.02	False	gr  	DECALS	DDO183                       	NED	LEDA
     112	KKH86          	FIELD	208.6397	+04.2444	16.60	 0.09	16.28	 0.09	-10.48	 0.09	-10.67	 0.09	 5.99	 0.08	23.50	 0.11	 209.0	 12.0	 0.42	 0.02	False	gr  	DECALS	[KKH2001] 86                 	NED	LEDA
     113	UGC08833       	FIELD	208.7031	+35.8378	15.13	 0.09	14.92	 0.09	-12.43	 0.09	-12.55	 0.09	 6.57	 0.08	22.58	 0.11	 288.0	 14.6	 0.27	 0.02	False	gr  	DECALS	UGC08833                     	NED	LEDA
     114	DDO187         	FIELD	213.9857	+23.0550	14.36	 0.09	14.25	 0.09	-12.44	 0.09	-12.51	 0.09	 6.42	 0.08	22.80	 0.11	 331.2	 16.3	 0.38	 0.02	False	gr  	CFHT  	DDO187                       	NED	LEDA
     115	ddo190         	FIELD	216.3676	+44.3171	13.19	 0.08	12.88	 0.09	-14.07	 0.08	-14.19	 0.09	 7.18	 0.06	21.81	 0.11	 413.1	 19.8	 0.17	 0.02	False	gi  	CFHT  	ddo190                       	NED	LEDA
     116	ugc9405        	FIELD	219.1309	+57.0749	14.22	 0.09	13.62	 0.09	-14.60	 0.09	-14.83	 0.09	 7.78	 0.06	21.96	 0.11	1268.6	 62.2	 0.46	 0.02	False	gi  	CFHT  	ugc9405                      	NED	LEDA
     117	UGC09660       	FIELD	225.2903	+44.6980	13.98	 0.09	13.70	 0.09	-16.18	 0.09	-16.34	 0.09	 8.19	 0.08	19.39	 0.11	 613.3	 29.9	 0.60	 0.02	False	gr  	DECALS	UGC09660                     	NED	LEDA
     118	UGC09992       	FIELD	235.4497	+67.2540	14.55	 0.09	14.16	 0.09	-15.71	 0.09	-15.94	 0.09	 8.20	 0.08	21.69	 0.11	1632.8	 80.9	 0.43	 0.02	False	gr  	DECALS	UGC09992                     	NED	LEDA
     119	UGC11411       	FIELD	287.1809	+70.2838	14.37	 0.09	14.06	 0.09	-14.72	 0.09	-14.90	 0.09	 7.67	 0.07	20.67	 0.11	 354.8	 17.5	 0.23	 0.02	False	gr  	DECALS	UGC11411                     	NED	LEDA
     120	NGC6789        	FIELD	289.1746	+63.9715	13.65	 0.09	13.30	 0.09	-14.10	 0.09	-14.31	 0.09	 7.50	 0.07	20.34	 0.11	 320.9	 15.5	 0.32	 0.02	False	gr  	DECALS	NGC6789                      	NED	LEDA
     121	IC5152         	FIELD	330.6735	-51.2963	10.59	 0.08	10.24	 0.09	-15.87	 0.08	-16.07	 0.09	 8.19	 0.08	19.71	 0.11	 754.8	 35.4	 0.47	 0.02	False	gr  	DECALS	IC5152                       	NED	LEDA
     122	ESO238-005     	FIELD	335.6262	-48.4039	14.80	 0.09	14.39	 0.09	-14.72	 0.09	-14.97	 0.09	 7.85	 0.08	23.15	 0.11	1792.0	 89.7	 0.33	 0.02	False	gr  	DECALS	ESO238-005                   	NED	LEDA
     123	kkh98          	FIELD	356.4241	+38.5178	15.37	 0.09	15.37	 0.09	-11.69	 0.09	-11.70	 0.09	 5.83	 0.06	23.19	 0.11	 283.0	 14.6	 0.46	 0.02	False	gi  	CFHT  	[KKH2001] 98                 	NED	LEDA
     124	ESO149-003     	FIELD	358.0120	-52.5772	14.80	 0.09	14.70	 0.09	-14.43	 0.09	-14.49	 0.09	 7.19	 0.08	21.18	 0.11	 619.7	 31.0	 0.68	 0.02	False	gr  	DECALS	ESO149-003                   	NED	LEDA
     125	DDO226         	FIELD	010.7662	-22.2472	14.17	 0.09	13.89	 0.09	-14.29	 0.09	-14.46	 0.09	 7.44	 0.08	22.37	 0.11	 962.2	 47.1	 0.65	 0.02	False	gr  	DECALS	DDO226                       	NED	LEDA
     126	UGCA281        	FIELD	186.5684	+48.4940	14.52	 0.09	14.45	 0.09	-14.26	 0.09	-14.30	 0.09	 7.05	 0.08	20.60	 0.11	 437.7	 21.7	 0.39	 0.02	False	gr  	DECALS	UGCA281                      	NED	LEDA
     127	Arp211         	FIELD	189.3410	+38.7437	15.80	 0.09	15.73	 0.09	-13.15	 0.09	-13.19	 0.09	 6.60	 0.08	22.59	 0.11	 389.6	 20.7	 0.42	 0.02	False	gr  	DECALS	Arp211                       	NED	LEDA
     128	KKH87          	FIELD	213.7891	+57.0869	15.59	 0.09	15.35	 0.09	-14.15	 0.09	-14.30	 0.09	 7.32	 0.08	22.36	 0.11	 908.3	 47.5	 0.65	 0.02	False	gr  	DECALS	[KKH2001] 87                 	NED	LEDA

