#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:30	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/474/1307&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74741307
#Name: J/MNRAS/474/1307
#Title: S0 galaxies morpho-kinematic properties (Mendez-Abreu+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/474/1307	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/474/1307	    IVOID of underlying data collection
#INFO	creator=Mendez-Abreu J.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.474.1307M	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/474/1307	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74741307	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_MNRAS_474_1307_tablea1:
#Name: J/MNRAS/474/1307/tablea1
#Title: Structural parameters of the bulge structures in our galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a13)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Band	(A1)	[griz] SDSS band	[ucd=instr.bandpass]
#Column	SuBre	(F4.1)	Effective surface brightness in Band	[ucd=phot.mag.sb]
#Column	e_SuBre	(F4.1)	Error in effective surface brightness in Band	[ucd=stat.error]
#Column	re	(F4.1)	Effective radius in Band in arcsec	[ucd=phys.angSize]
#Column	e_re	(F4.1)	Error in effective radius in Band in arcsec	[ucd=stat.error]
#Column	rek	(F4.1)	Effective radius in Band in kpc	[ucd=phys.size.radius]
#Column	e_rek	(F4.1)	Error in effective radius in Band in kpc	[ucd=stat.error]
#Column	n	(F4.1)	Sersic index in Band	[ucd=stat.fit.param]
#Column	e_n	(F4.1)	Error on Sersic index in Band	[ucd=stat.error]
#Column	qbulge	(F5.2)	Bulge axis ratio in Band	[ucd=phys.size.axisRatio]
#Column	e_qbulge	(F5.2)	Error in Bulge axis ratio in Band	[ucd=stat.error]
#Column	PA	(I3)	Position angle of the bulge in Band	[ucd=pos.posAng]
#Column	e_PA	(I1)	Error on position angle of the bulge in Band	[ucd=stat.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Galaxy	Band	SuBre	e_SuBre	re	e_re	rek	e_rek	n	e_n	qbulge	e_qbulge	PA	e_PA	Simbad	_RA	_DE
      13	NGC0528      	g	18.8	 0.1	 8.6	 0.4	 2.6	 0.1	29	2	 8.9	 0.5	16	2	 5.0	 0.6	 0.42	 0.01	 57	1
      14	NGC0528      	r	19.0	 0.1	 8.9	 0.4	 2.6	 0.1	31	2	 9.5	 0.5	17	2	 5.4	 0.7	 0.41	 0.01	 57	1
      15	NGC0528      	i	18.8	 0.1	 9.3	 0.4	 2.8	 0.1	33	2	10.0	 0.5	18	2	 5.6	 0.7	 0.40	 0.01	 57	1
      16	NGC0677      	g	22.4	 0.1	24.9	 0.7	 7.8	 0.2	  	 	    	    	  	 	    	    	 0.80	 0.01	173	1
      17	NGC0677      	r	21.7	 0.1	27.2	 0.8	 8.5	 0.2	  	 	    	    	  	 	    	    	 0.82	 0.01	171	1
      18	NGC0677      	i	21.1	 0.1	26.6	 0.7	 8.4	 0.2	  	 	    	    	  	 	    	    	 0.82	 0.01	171	1
      19	NGC0842      	g	20.8	 0.1	16.0	 0.4	 3.8	 0.1	38	2	 9.0	 0.4	12	1	 2.9	 0.1	 0.51	 0.01	145	1
      20	NGC0842      	r	20.2	 0.1	16.6	 0.4	 3.9	 0.1	40	2	 9.5	 0.4	12	1	 3.0	 0.1	 0.51	 0.01	145	1
      21	NGC0842      	i	19.7	 0.1	16.3	 0.4	 3.9	 0.1	37	2	 8.9	 0.4	13	1	 3.1	 0.1	 0.52	 0.01	145	1
      22	NGC0924      	g	21.2	 0.2	17.0	 0.7	 4.7	 0.2	  	 	    	    	  	 	    	    	 0.50	 0.02	 50	2
      23	NGC0924      	r	20.6	 0.2	17.8	 0.8	 4.9	 0.2	  	 	    	    	  	 	    	    	 0.51	 0.02	 47	2
      24	NGC0924      	i	20.0	 0.2	16.3	 0.7	 4.5	 0.2	  	 	    	    	  	 	    	    	 0.54	 0.02	 48	2
      25	NGC1211      	g	23.1	 0.1	39.2	 1.0	 7.7	 0.2	19	1	 3.9	 0.2	 6	1	 1.2	 0.1	 0.90	 0.01	 37	1
      26	NGC1211      	r	21.8	 0.1	29.3	 0.8	 5.8	 0.2	19	1	 3.9	 0.2	 8	1	 1.5	 0.1	 0.88	 0.01	 37	1
      27	NGC1211      	i	21.6	 0.1	32.0	 0.8	 6.3	 0.2	19	1	 3.9	 0.2	10	1	 1.9	 0.1	 0.90	 0.01	 37	1
      28	NGC1349      	g	21.4	 0.2	12.4	 0.8	 5.0	 0.3	  	 	    	    	  	 	    	    	 0.87	 0.01	 98	4
      29	NGC1349      	r	20.7	 0.2	13.5	 0.9	 5.5	 0.4	  	 	    	    	  	 	    	    	 0.87	 0.01	 98	4
      30	NGC1349      	i	20.2	 0.2	13.6	 0.9	 5.5	 0.4	  	 	    	    	  	 	    	    	 0.88	 0.01	 98	4
      31	NGC1645      	g	20.5	 0.2	17.9	 0.8	 5.4	 0.2	  	 	    	    	  	 	    	    	 0.46	 0.01	 86	2
      32	NGC1645      	r	20.1	 0.2	15.8	 0.7	 4.8	 0.2	  	 	    	    	  	 	    	    	 0.46	 0.01	 87	2
      33	NGC1645      	i	19.6	 0.2	15.0	 0.6	 4.6	 0.2	  	 	    	    	  	 	    	    	 0.47	 0.01	 86	2
      34	NGC1665      	g	20.7	 0.1	17.6	 0.5	 3.1	 0.1	  	 	    	    	  	 	    	    	 0.56	 0.01	 48	1
      35	NGC1665      	r	20.0	 0.1	18.0	 0.5	 3.2	 0.1	  	 	    	    	  	 	    	    	 0.55	 0.01	 48	1
      36	NGC1665      	i	19.6	 0.1	18.2	 0.5	 3.2	 0.1	  	 	    	    	  	 	    	    	 0.55	 0.01	 48	2
      37	NGC2476      	g	20.2	 0.1	10.1	 0.2	 2.5	 0.1	31	1	 8.0	 0.2	14	1	 3.6	 0.2	 0.65	 0.01	149	1
      38	NGC2476      	r	19.4	 0.1	 9.9	 0.2	 2.5	 0.1	31	1	 7.9	 0.2	13	1	 3.5	 0.2	 0.65	 0.01	149	1
      39	NGC2476      	i	19.1	 0.1	10.3	 0.2	 2.6	 0.1	33	1	 8.3	 0.2	14	1	 3.6	 0.2	 0.66	 0.01	149	1
      40	NGC2592      	g	20.5	 0.1	10.9	 0.3	 1.6	 0.1	  	 	    	    	  	 	    	    	 0.79	 0.01	 58	2
      41	NGC2592      	r	19.9	 0.1	11.1	 0.3	 1.6	 0.1	  	 	    	    	  	 	    	    	 0.80	 0.01	 58	2
      42	NGC2592      	i	19.3	 0.1	11.3	 0.3	 1.7	 0.1	  	 	    	    	  	 	    	    	 0.80	 0.01	 58	2
      43	NGC2880      	g	21.2	 0.1	23.7	 0.3	 3.0	 0.1	  	 	    	    	  	 	    	    	 0.56	 0.01	146	1
      44	NGC2880      	r	20.4	 0.1	23.2	 0.3	 2.9	 0.1	  	 	    	    	  	 	    	    	 0.54	 0.01	143	1
      45	NGC2880      	i	19.8	 0.1	22.4	 0.2	 2.8	 0.1	  	 	    	    	  	 	    	    	 0.57	 0.01	143	1
      46	NGC3158      	g	22.3	 0.1	32.5	 0.9	15.0	 0.4	  	 	    	    	  	 	    	    	 0.85	 0.01	 72	2
      47	NGC3158      	r	21.4	 0.1	31.4	 0.9	14.5	 0.4	  	 	    	    	  	 	    	    	 0.86	 0.01	 71	2
      48	NGC3158      	i	20.9	 0.1	30.6	 0.9	14.1	 0.4	  	 	    	    	  	 	    	    	 0.86	 0.01	 71	2
      49	NGC3300      	g	20.2	 0.1	13.4	 0.4	 3.0	 0.1	  	 	    	    	  	 	    	    	 0.54	 0.01	174	1
      50	NGC3300      	r	19.4	 0.1	13.5	 0.4	 3.0	 0.1	  	 	    	    	  	 	    	    	 0.54	 0.01	174	1
      51	NGC3300      	i	19.0	 0.1	13.6	 0.4	 3.1	 0.1	  	 	    	    	  	 	    	    	 0.55	 0.01	174	1
      52	NGC4003      	g	21.9	 0.2	14.6	 0.6	 6.5	 0.3	  	 	    	    	  	 	    	    	 0.68	 0.02	169	2
      53	NGC4003      	r	21.1	 0.2	14.6	 0.6	 6.5	 0.3	  	 	    	    	  	 	    	    	 0.70	 0.02	173	2
      54	NGC4003      	i	20.8	 0.2	15.5	 0.7	 6.9	 0.3	  	 	    	    	  	 	    	    	 0.69	 0.02	175	2
      55	NGC5473      	g	20.2	 0.1	17.1	 0.3	 2.8	 0.1	29	1	 4.8	 0.1	25	1	 4.1	 0.1	 0.78	 0.01	156	1
      56	NGC5473      	r	19.4	 0.1	17.1	 0.3	 2.8	 0.1	30	1	 5.0	 0.1	26	1	 4.3	 0.1	 0.78	 0.01	155	1
      57	NGC5473      	i	19.0	 0.1	17.0	 0.3	 2.8	 0.1	31	1	 5.1	 0.1	24	1	 4.0	 0.1	 0.78	 0.01	155	1
      58	NGC5481      	g	20.3	 0.1	13.7	 0.2	 1.8	 0.1	84	2	10.9	 0.2	50	2	 6.5	 0.3	 0.73	 0.01	114	1
      59	NGC5481      	r	20.2	 0.1	13.4	 0.2	 1.7	 0.1	79	2	10.2	 0.2	44	2	 5.7	 0.3	 0.73	 0.01	115	1
      60	NGC5481      	i	19.5	 0.1	13.7	 0.2	 1.8	 0.1	85	2	11.0	 0.2	49	2	 6.4	 0.3	 0.73	 0.01	115	1
      61	NGC5784      	g	21.9	 0.1	20.7	 0.6	 7.7	 0.2	  	 	    	    	  	 	    	    	 0.69	 0.01	 12	2
      62	NGC5784      	r	20.8	 0.1	17.9	 0.5	 6.7	 0.2	  	 	    	    	  	 	    	    	 0.78	 0.01	 20	2
      63	NGC5784      	i	20.2	 0.1	16.5	 0.5	 6.2	 0.2	  	 	    	    	  	 	    	    	 0.80	 0.01	 25	2
      64	NGC5794      	g	21.0	 0.2	10.9	 0.5	 2.9	 0.1	  	 	    	    	  	 	    	    	 0.93	 0.02	139	2
      65	NGC5794      	r	21.3	 0.2	11.6	 0.5	 3.1	 0.1	  	 	    	    	  	 	    	    	 0.92	 0.02	140	2
      66	NGC5794      	i	20.5	 0.2	12.2	 0.5	 3.2	 0.1	  	 	    	    	  	 	    	    	 0.91	 0.02	145	2
      67	NGC5876      	g	21.8	 0.1	33.5	 0.9	 8.1	 0.2	55	2	13.2	 0.6	11	1	 2.8	 0.1	 0.42	 0.01	 54	1
      68	NGC5876      	r	21.0	 0.1	31.6	 0.8	 7.6	 0.2	52	2	12.7	 0.5	11	1	 2.9	 0.1	 0.42	 0.01	 52	1
      69	NGC5876      	i	20.5	 0.1	29.9	 0.8	 7.2	 0.2	49	2	11.9	 0.5	11	1	 2.8	 0.1	 0.43	 0.01	 52	1
      70	NGC6278      	g	21.5	 0.1	28.6	 0.7	 6.1	 0.2	37	2	 7.9	 0.3	12	1	 2.6	 0.1	 0.52	 0.01	127	1
      71	NGC6278      	r	20.4	 0.1	24.5	 0.6	 5.2	 0.1	38	2	 8.1	 0.4	11	1	 2.5	 0.1	 0.51	 0.01	127	1
      72	NGC6278      	i	20.0	 0.1	24.7	 0.6	 5.3	 0.1	39	2	 8.4	 0.4	12	1	 2.6	 0.1	 0.53	 0.01	127	1
      73	NGC6427      	g	20.6	 0.2	14.3	 0.6	 3.4	 0.1	  	 	    	    	  	 	    	    	 0.33	 0.02	 36	2
      74	NGC6427      	r	19.6	 0.2	13.1	 0.6	 3.1	 0.1	  	 	    	    	  	 	    	    	 0.37	 0.02	 36	2
      75	NGC6427      	i	19.3	 0.2	13.8	 0.6	 3.3	 0.1	  	 	    	    	  	 	    	    	 0.36	 0.02	 36	2
      76	NGC6945      	g	20.9	 0.1	16.1	 0.5	 4.2	 0.1	  	 	    	    	  	 	    	    	 0.61	 0.01	120	1
      77	NGC6945      	r	20.2	 0.1	16.4	 0.5	 4.3	 0.1	  	 	    	    	  	 	    	    	 0.60	 0.01	122	1
      78	NGC6945      	i	19.8	 0.1	16.3	 0.5	 4.2	 0.1	  	 	    	    	  	 	    	    	 0.64	 0.01	120	1
      79	NGC7611      	g	20.1	 0.1	12.1	 0.4	 2.5	 0.1	  	 	    	    	  	 	    	    	 0.45	 0.01	137	1
      80	NGC7611      	r	19.2	 0.1	12.0	 0.4	 2.5	 0.1	  	 	    	    	  	 	    	    	 0.45	 0.01	137	1
      81	NGC7611      	i	18.8	 0.1	11.5	 0.3	 2.4	 0.1	  	 	    	    	  	 	    	    	 0.48	 0.01	137	1
      82	NGC7619      	g	21.8	 0.1	34.4	 0.4	 8.3	 0.1	  	 	    	    	  	 	    	    	 0.87	 0.01	 91	1
      83	NGC7619      	r	21.0	 0.1	34.3	 0.4	 8.3	 0.1	  	 	    	    	  	 	    	    	 0.87	 0.01	 90	1
      84	NGC7619      	i	20.7	 0.1	35.0	 0.4	 8.4	 0.1	  	 	    	    	  	 	    	    	 0.90	 0.01	 91	1
      85	NGC7623      	g	21.9	 0.2	19.0	 1.1	 4.6	 0.3	27	3	 6.6	 0.6	11	1	 2.6	 0.3	 0.72	 0.01	  7	2
      86	NGC7623      	r	21.1	 0.2	20.4	 1.1	 4.9	 0.3	25	2	 6.1	 0.6	14	2	 3.5	 0.4	 0.70	 0.01	  8	2
      87	NGC7623      	i	20.6	 0.2	20.1	 1.1	 4.8	 0.3	25	2	 6.0	 0.6	12	2	 2.9	 0.4	 0.71	 0.01	  7	2
      88	NGC7671      	g	20.1	 0.1	10.5	 0.3	 2.7	 0.1	46	2	12.2	 0.5	17	1	 4.5	 0.2	 0.58	 0.01	135	1
      89	NGC7671      	r	19.2	 0.1	10.3	 0.3	 2.7	 0.1	46	2	12.3	 0.5	16	1	 4.4	 0.2	 0.58	 0.01	135	1
      90	NGC7671      	i	18.7	 0.1	10.2	 0.3	 2.7	 0.1	47	2	12.3	 0.5	16	1	 4.3	 0.2	 0.59	 0.01	135	1
      91	UGC01271     	g	21.1	 0.2	11.5	 0.5	 3.6	 0.2	  	 	    	    	  	 	    	    	 0.62	 0.02	 95	2
      92	UGC01271     	r	20.1	 0.2	11.6	 0.5	 3.6	 0.2	  	 	    	    	  	 	    	    	 0.61	 0.02	108	2
      93	UGC01271     	i	19.9	 0.2	11.8	 0.5	 3.7	 0.2	  	 	    	    	  	 	    	    	 0.62	 0.02	 94	2
      94	UGC02222     	g	22.0	 0.2	15.2	 0.6	 4.7	 0.2	  	 	    	    	  	 	    	    	 0.38	 0.02	102	2
      95	UGC02222     	r	20.9	 0.2	14.6	 0.6	 4.6	 0.2	  	 	    	    	  	 	    	    	 0.39	 0.02	101	2
      96	UGC02222     	i	20.7	 0.2	16.2	 0.7	 5.1	 0.2	  	 	    	    	  	 	    	    	 0.37	 0.02	102	2
      97	UGC09629     	g	20.8	 0.2	12.3	 0.8	 6.4	 0.4	  	 	    	    	  	 	    	    	 0.33	 0.03	125	4
      98	UGC09629     	r	20.1	 0.2	12.5	 0.8	 6.5	 0.4	  	 	    	    	  	 	    	    	 0.32	 0.03	124	4
      99	UGC09629     	i	19.7	 0.2	12.7	 0.8	 6.6	 0.4	  	 	    	    	  	 	    	    	 0.31	 0.03	124	4
     100	UGC11228     	g	21.5	 0.2	13.8	 0.6	 5.4	 0.2	  	 	    	    	  	 	    	    	 0.67	 0.02	178	2
     101	UGC11228     	r	20.5	 0.2	13.1	 0.6	 5.1	 0.2	  	 	    	    	  	 	    	    	 0.65	 0.02	176	2
     102	UGC11228     	i	20.2	 0.2	14.2	 0.6	 5.5	 0.2	  	 	    	    	  	 	    	    	 0.66	 0.02	176	2

#Table	J_MNRAS_474_1307_tablea3:
#Name: J/MNRAS/474/1307/tablea3
#Title: Structural parameters of the bar structures in our galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a13)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Band	(A1)	[griz] SDSS band	[ucd=instr.bandpass]
#Column	SuBrbar	(F4.1)	? Central surface in Band	[ucd=phot.mag.sb]
#Column	e_SuBrbar	(F4.1)	? Error on central surface in Band	[ucd=stat.error]
#Column	abar	(F5.2)	? Semi-major axis length in Band in arcsec	[ucd=phys.angSize;src]
#Column	e_abar	(F4.1)	? Error on semi-major axis length in Band in arcsec	[ucd=stat.error]
#Column	abark	(F4.1)	? Semi-major axis length in Band in kpc	[ucd=phys.angSize;src]
#Column	e_abark	(F4.1)	? Error on semi-major axis length in Band in kpc	[ucd=stat.error]
#Column	qbar	(F5.2)	? Axis ratio	[ucd=phys.size.axisRatio]
#Column	e_qbar	(F5.2)	? Error on axis ratio	[ucd=stat.error]
#Column	PA	(I3)	? Position angle of the bar	[ucd=pos.posAng]
#Column	e_PA	(I1)	? Error on position angle of the bar	[ucd=stat.error]
recno	Galaxy	Band	SuBrbar	e_SuBrbar	abar	e_abar	abark	e_abark	qbar	e_qbar	PA	e_PA
 	 	 	mag/arcsec2	mag/arcsec2	arcsec	arcsec	arcsec	arcsec	 	 	deg	deg
--------	-------------	-	----	----	-----	----	----	----	-----	-----	---	-
       1	IC2341       	g	    	    	     	    	    	    	     	     	   	
       2	IC2341       	r	    	    	     	    	    	    	     	     	   	
       3	IC2341       	i	    	    	     	    	    	    	     	     	   	
       4	MCG-01-52-012	g	    	    	     	    	    	    	     	     	   	
       5	MCG-01-52-012	r	    	    	     	    	    	    	     	     	   	
       6	MCG-01-52-012	i	    	    	     	    	    	    	     	     	   	
       7	NGC0364      	g	20.9	 0.4	12.60	 1.2	 4.0	 0.1	 0.55	 0.06	 91	4
       8	NGC0364      	r	20.0	 0.4	12.70	 1.2	 4.0	 0.1	 0.55	 0.06	 91	4
       9	NGC0364      	i	19.7	 0.4	12.90	 1.2	 4.1	 0.1	 0.54	 0.06	 92	4
      10	NGC0515      	g	19.9	 0.4	12.30	 1.2	 4.0	 0.1	 0.47	 0.06	132	4
      11	NGC0515      	r	20.2	 0.4	12.20	 1.2	 4.0	 0.1	 0.47	 0.06	132	4
      12	NGC0515      	i	19.2	 0.4	12.10	 1.2	 4.0	 0.1	 0.46	 0.06	132	4
      13	NGC0528      	g	    	    	     	    	    	    	     	     	   	
      14	NGC0528      	r	    	    	     	    	    	    	     	     	   	
      15	NGC0528      	i	    	    	     	    	    	    	     	     	   	
      16	NGC0677      	g	    	    	     	    	    	    	     	     	   	
      17	NGC0677      	r	    	    	     	    	    	    	     	     	   	
      18	NGC0677      	i	    	    	     	    	    	    	     	     	   	
      19	NGC0842      	g	20.9	 0.3	18.50	 1.2	 4.4	 0.1	 0.54	 0.03	154	2
      20	NGC0842      	r	20.2	 0.3	18.90	 1.2	 4.5	 0.1	 0.52	 0.03	155	2
      21	NGC0842      	i	19.8	 0.3	18.20	 1.2	 4.3	 0.1	 0.54	 0.03	156	2
      22	NGC0924      	g	21.2	 0.4	18.00	 1.4	 5.0	 0.1	 0.38	 0.06	 51	4
      23	NGC0924      	r	20.4	 0.4	19.60	 1.4	 5.4	 0.1	 0.37	 0.06	 50	4
      24	NGC0924      	i	19.7	 0.4	19.00	 1.4	 5.2	 0.1	 0.36	 0.06	 50	4
      25	NGC1211      	g	21.5	 0.3	40.10	 1.5	 7.9	 0.1	 0.28	 0.03	145	2
      26	NGC1211      	r	20.3	 0.3	35.80	 1.4	 7.1	 0.1	 0.31	 0.03	146	2
      27	NGC1211      	i	20.2	 0.3	38.80	 1.5	 7.7	 0.1	 0.29	 0.03	145	2
      28	NGC1349      	g	    	    	     	    	    	    	     	     	   	
      29	NGC1349      	r	    	    	     	    	    	    	     	     	   	
      30	NGC1349      	i	    	    	     	    	    	    	     	     	   	
      31	NGC1645      	g	19.8	 0.4	13.30	 1.3	 4.1	 0.1	 0.65	 0.06	 26	4
      32	NGC1645      	r	19.5	 0.4	13.30	 1.3	 4.1	 0.1	 0.63	 0.06	 25	4
      33	NGC1645      	i	19.1	 0.4	13.40	 1.3	 4.1	 0.1	 0.61	 0.06	 23	4
      34	NGC1665      	g	    	    	     	    	    	    	     	     	   	
      35	NGC1665      	r	    	    	     	    	    	    	     	     	   	
      36	NGC1665      	i	    	    	     	    	    	    	     	     	   	
      37	NGC2476      	g	    	    	     	    	    	    	     	     	   	
      38	NGC2476      	r	    	    	     	    	    	    	     	     	   	
      39	NGC2476      	i	    	    	     	    	    	    	     	     	   	
      40	NGC2592      	g	    	    	     	    	    	    	     	     	   	
      41	NGC2592      	r	    	    	     	    	    	    	     	     	   	
      42	NGC2592      	i	    	    	     	    	    	    	     	     	   	
      43	NGC2880      	g	20.6	 0.1	14.60	 1.1	 1.9	 0.1	 0.55	 0.02	 80	1
      44	NGC2880      	r	19.7	 0.1	14.70	 1.1	 1.9	 0.1	 0.54	 0.02	 81	1
      45	NGC2880      	i	19.5	 0.1	14.60	 1.1	 1.9	 0.1	 0.54	 0.02	 82	1
      46	NGC3158      	g	    	    	     	    	    	    	     	     	   	
      47	NGC3158      	r	    	    	     	    	    	    	     	     	   	
      48	NGC3158      	i	    	    	     	    	    	    	     	     	   	
      49	NGC3300      	g	20.3	 0.2	17.80	 1.2	 4.0	 0.1	 0.42	 0.05	 44	1
      50	NGC3300      	r	19.5	 0.2	17.70	 1.2	 4.0	 0.1	 0.42	 0.05	 44	1
      51	NGC3300      	i	19.1	 0.2	17.70	 1.2	 4.0	 0.1	 0.42	 0.05	 44	1
      52	NGC4003      	g	21.8	 0.4	39.10	 1.9	17.3	 0.4	 0.27	 0.06	144	4
      53	NGC4003      	r	21.0	 0.4	39.30	 1.9	17.4	 0.4	 0.27	 0.06	144	4
      54	NGC4003      	i	20.6	 0.4	39.30	 1.9	17.4	 0.4	 0.27	 0.06	144	4
      55	NGC5473      	g	20.6	 0.2	22.20	 1.1	 3.6	 0.1	 0.49	 0.02	 80	1
      56	NGC5473      	r	19.8	 0.2	22.20	 1.1	 3.6	 0.1	 0.48	 0.02	 79	1
      57	NGC5473      	i	19.4	 0.2	22.30	 1.1	 3.6	 0.1	 0.47	 0.02	 79	1
      58	NGC5481      	g	    	    	     	    	    	    	     	     	   	
      59	NGC5481      	r	    	    	     	    	    	    	     	     	   	
      60	NGC5481      	i	    	    	     	    	    	    	     	     	   	
      61	NGC5784      	g	    	    	     	    	    	    	     	     	   	
      62	NGC5784      	r	    	    	     	    	    	    	     	     	   	
      63	NGC5784      	i	    	    	     	    	    	    	     	     	   	
      64	NGC5794      	g	20.6	 0.4	17.80	 1.4	 4.7	 0.1	 0.49	 0.06	 99	4
      65	NGC5794      	r	21.0	 0.4	18.40	 1.4	 4.9	 0.1	 0.48	 0.06	101	4
      66	NGC5794      	i	20.2	 0.4	19.00	 1.4	 5.1	 0.1	 0.47	 0.06	100	4
      67	NGC5876      	g	21.1	 0.3	21.50	 1.2	 5.2	 0.1	 0.49	 0.03	180	2
      68	NGC5876      	r	20.2	 0.3	21.60	 1.2	 5.2	 0.1	 0.49	 0.03	180	2
      69	NGC5876      	i	19.8	 0.3	22.00	 1.2	 5.3	 0.1	 0.48	 0.03	179	2
      70	NGC6278      	g	21.0	 0.3	22.50	 1.2	 4.8	 0.1	 0.38	 0.03	117	2
      71	NGC6278      	r	20.1	 0.3	21.80	 1.2	 4.6	 0.1	 0.39	 0.03	116	2
      72	NGC6278      	i	19.8	 0.3	22.40	 1.2	 4.8	 0.1	 0.37	 0.03	117	2
      73	NGC6427      	g	20.9	 0.4	13.00	 1.3	 3.1	 0.1	 0.47	 0.06	 78	4
      74	NGC6427      	r	19.9	 0.4	12.70	 1.2	 3.0	 0.1	 0.52	 0.06	 80	4
      75	NGC6427      	i	19.5	 0.4	12.70	 1.2	 3.0	 0.1	 0.49	 0.06	 78	4
      76	NGC6945      	g	20.9	 0.2	19.60	 1.3	 5.1	 0.1	 0.56	 0.05	 91	1
      77	NGC6945      	r	20.1	 0.2	19.20	 1.3	 5.0	 0.1	 0.53	 0.05	 87	1
      78	NGC6945      	i	19.7	 0.2	19.50	 1.3	 5.1	 0.1	 0.50	 0.05	 87	1
      79	NGC7611      	g	19.7	 0.2	 8.01	 1.1	 1.7	 0.1	 0.69	 0.05	  2	1
      80	NGC7611      	r	19.0	 0.2	 8.21	 1.1	 1.7	 0.1	 0.69	 0.05	  4	1
      81	NGC7611      	i	18.3	 0.2	 7.75	 1.1	 1.6	 0.1	 0.71	 0.05	  2	1
      82	NGC7619      	g	    	    	     	    	    	    	     	     	   	
      83	NGC7619      	r	    	    	     	    	    	    	     	     	   	
      84	NGC7619      	i	    	    	     	    	    	    	     	     	   	
      85	NGC7623      	g	21.7	 0.5	21.90	 1.6	 5.2	 0.2	 0.41	 0.07	161	3
      86	NGC7623      	r	20.9	 0.5	21.40	 1.6	 5.1	 0.2	 0.38	 0.07	161	3
      87	NGC7623      	i	20.4	 0.5	21.50	 1.6	 5.1	 0.2	 0.40	 0.07	161	3
      88	NGC7671      	g	21.1	 0.3	 9.18	 1.1	 2.4	 0.1	 0.59	 0.03	 24	2
      89	NGC7671      	r	19.7	 0.3	 8.77	 1.1	 2.3	 0.1	 0.62	 0.03	 24	2
      90	NGC7671      	i	19.4	 0.3	 9.01	 1.1	 2.4	 0.1	 0.61	 0.03	 24	2
      91	UGC01271     	g	21.2	 0.4	18.70	 1.4	 5.8	 0.1	 0.43	 0.06	 52	4
      92	UGC01271     	r	20.3	 0.4	18.30	 1.4	 5.7	 0.1	 0.39	 0.06	 53	4
      93	UGC01271     	i	19.9	 0.4	18.70	 1.4	 5.8	 0.1	 0.42	 0.06	 52	4
      94	UGC02222     	g	22.4	 0.4	22.60	 1.5	 7.1	 0.2	 0.35	 0.06	102	4
      95	UGC02222     	r	21.2	 0.4	20.30	 1.4	 6.3	 0.1	 0.37	 0.06	 98	4
      96	UGC02222     	i	20.9	 0.4	22.40	 1.5	 7.0	 0.2	 0.34	 0.06	101	4
      97	UGC09629     	g	    	    	     	    	    	    	     	     	   	
      98	UGC09629     	r	    	    	     	    	    	    	     	     	   	
      99	UGC09629     	i	    	    	     	    	    	    	     	     	   	
     100	UGC11228     	g	21.9	 0.4	23.50	 1.5	 9.2	 0.2	 0.30	 0.06	160	4
     101	UGC11228     	r	20.9	 0.4	22.90	 1.5	 8.9	 0.2	 0.31	 0.06	158	4
     102	UGC11228     	i	20.6	 0.4	23.00	 1.5	 9.0	 0.2	 0.28	 0.06	157	4

