#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:30 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:30	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/933/47/table6&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19330047
#Name: J/ApJ/933/47
#Title: The ELVES survey photometric results (Carlsten+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2022ApJ...933...47C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/933/47	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19330047	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_933_47_table6:
#Name: J/ApJ/933/47/table6
#Title: Confirmed dwarf satellite distance results
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a14)	Dwarf galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F7.3)	[11.78/288] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	[-64.3/56] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Host	(A7)	Host galaxy name	[ucd=meta.id.parent]
#Column	D-Host	(F5.2)	[3.5/12] Host distance	[ucd=pos.distance]
#Column	D-SBF	(F5.2)	[3.3/13]? Surface brightness fluctuation (SBF) distance	[ucd=pos.distance]
#Column	lb2Dist	(F5.2)	[1.8/11.5]? Lower 2{sigma} bound on Dist	[ucd=pos.distance;stat.min]
#Column	lb1Dist	(F5.2)	[2.7/12]? Lower 1{sigma} bound on Dist	[ucd=pos.distance;stat.min]
#Column	ub1Dist	(F5.2)	[4.3/15]? Upper 1{sigma} bound on Dist	[ucd=pos.distance;stat.max]
#Column	ub2Dist	(F5.2)	[5.5/18]? Upper 2{sigma} bound on Dist	[ucd=pos.distance;stat.max]
#Column	SNR	(F5.2)	[3.2/83]? SBF Signal-to-noise ratio	[ucd=stat.snr]
#Column	Tel	(a8)	SBF Source (1)	[ucd=meta.ref]
#Column	Conf	(A5)	Confirmation criteria exception (G1)	[ucd=meta.code]
#Column	vrec	(I4)	[140/1353]? Recessional velocity	[ucd=phys.veloc]
#Column	r_vrec	(A4)	Source for vrec (G2)	[ucd=meta.ref;phys.veloc]
#Column	D-trgb	(F5.2)	[3/11]? Distance, tip of the red giant branch	[ucd=pos.distance]
#Column	r_D-trgb	(A1)	Source for D-trgb (G2)	[ucd=meta.ref;pos.distance]
#Column	UV	(I3)	Display the GALEX photometry for this satellite (link to Table 10)	[ucd=meta.ref.url]
recno	Name	RAJ2000	DEJ2000	Host	D-Host	D-SBF	lb2Dist	lb1Dist	ub1Dist	ub2Dist	SNR	Tel	Conf	vrec	r_vrec	D-trgb	r_D-trgb	UV
     139	dw1104p0005   	166.171	+00.094	NGC3521	11.20	12.75	10.69	11.65	14.01	15.48	 6.95	HSC     	False	    	    	     	 	  1
     140	dw1105p0006   	166.422	+00.116	NGC3521	11.20	     	     	     	     	     	     	        	     	    	    	     	 	  1
     141	dw1106m0126   	166.531	-01.448	NGC3521	11.20	11.57	 9.86	10.74	12.36	13.06	23.25	HSC     	False	    	    	     	 	  1
     142	dw1106m0052   	166.608	-00.880	NGC3521	11.20	12.15	10.21	11.15	13.21	14.37	 9.01	HSC     	False	    	    	     	 	  1
     143	dw1107m0038   	166.776	-00.634	NGC3521	11.20	11.49	 9.41	10.44	12.58	13.77	 8.25	HSC     	False	    	    	     	 	  1
     144	dw110m0011    	166.805	-00.187	NGC3521	11.20	12.29	10.19	11.28	13.27	14.21	17.78	HSC     	False	    	    	     	 	  1
     145	dw1109m0016   	167.328	-00.277	NGC3521	11.20	 9.91	 7.74	 8.83	10.97	12.04	15.38	HSC     	False	    	    	     	 	  1
     146	dw1110p0037   	167.623	+00.617	NGC3521	11.20	11.43	 9.44	10.48	12.32	13.12	27.95	HSC     	False	    	    	     	 	  1
     147	dw1111p0049   	167.849	+00.831	NGC3521	11.20	10.06	 7.91	 9.03	11.12	12.22	10.59	HSC     	False	    	    	     	 	  1
     148	dw1119p5543   	169.952	+55.722	NGC3556	 9.55	     	     	     	     	     	     	        	     	 684	S   	     	 	  1
     149	NGC3593       	168.654	+12.818	NGC3627	10.50	     	     	     	     	     	     	        	     	 627	S   	     	 	  0
     150	dw1114p1238   	168.688	+12.648	NGC3627	10.50	     	     	     	     	     	     	        	     	 582	S   	     	 	  1
     151	dw1117p1305   	169.254	+13.099	NGC3627	10.50	     	     	     	     	     	     	        	     	 588	a   	     	 	  1
     152	dw1118p1233   	169.676	+12.561	NGC3627	10.50	 9.67	 7.44	 8.54	10.83	12.02	11.76	CFHT    	False	 980	S   	     	 	  1
     153	dw1118p1348   	169.723	+13.805	NGC3627	10.50	 9.86	 8.18	 8.95	10.92	12.20	 6.41	HSC     	False	    	    	     	 	  1
     154	NGC3623       	169.733	+13.092	NGC3627	10.50	     	     	     	     	     	     	        	     	 762	S   	     	 	  0
     155	dw1119p1419   	169.803	+14.327	NGC3627	10.50	     	     	     	     	     	     	        	     	 998	S   	     	 	  1
     156	dw1119p1157   	169.810	+11.952	NGC3627	10.50	     	     	     	     	     	     	        	     	 861	S   	     	 	  1
     157	dw1119p1417   	169.816	+14.290	NGC3627	10.50	     	     	     	     	     	     	        	     	 726	S   	     	 	  1
     158	dw1119p1404   	169.840	+14.075	NGC3627	10.50	 9.48	 7.34	 8.38	10.72	12.14	 6.30	HSC     	False	 486	S   	     	 	  1
     159	dw1120p1332   	170.067	+13.549	NGC3627	10.50	11.43	 9.12	10.20	12.95	14.81	 5.22	HSC     	False	    	    	     	 	  1
     160	NGC3628       	170.071	+13.590	NGC3627	10.50	     	     	     	     	     	     	        	     	 863	S   	     	 	  0
     161	dw1120p1337   	170.255	+13.607	NGC3627	10.50	     	     	     	     	     	     	        	     	    	    	     	 	  0
     162	dw1121p1326   	170.404	+13.447	NGC3627	10.50	 8.69	 6.87	 7.76	 9.79	11.12	 5.83	HSC     	False	    	    	     	 	  1
     163	dw1122p1258   	170.600	+12.980	NGC3627	10.50	11.66	 9.68	10.65	12.70	13.81	 8.93	HSC     	False	 627	S   	     	 	  1
     164	IC2782        	170.731	+13.441	NGC3627	10.50	10.46	 7.93	 9.21	11.67	12.86	14.12	CFHT    	False	 999	S   	     	 	  1
     165	dw1123p1342   	170.806	+13.714	NGC3627	10.50	     	     	     	     	     	     	        	     	 897	S   	     	 	  0
     166	IC2787        	170.830	+13.630	NGC3627	10.50	11.06	 8.76	 9.90	12.16	13.26	14.69	CFHT    	False	 742	S   	     	 	  0
     167	IC2791        	170.907	+12.896	NGC3627	10.50	 9.95	 8.12	 9.00	10.95	12.03	11.29	CFHT    	False	 660	S   	     	 	  1
     168	dw1124p1240   	171.145	+12.674	NGC3627	10.50	     	     	     	     	     	     	        	     	1004	S   	     	 	  1
     169	NGC4248       	184.459	+47.409	NGC4258	 7.20	 7.61	 6.62	 7.13	 8.06	 8.49	49.49	CFHT    	False	 527	S   	 6.82	i	  1
     170	LVJ1218+4655  	184.547	+46.917	NGC4258	 7.20	 7.43	 6.37	 6.86	 8.10	 8.88	 7.57	CFHT    	False	 386	S   	 8.28	a	  1
     171	dw1219p4743   	184.776	+47.730	NGC4258	 7.20	 7.55	 6.11	 6.79	 8.39	 9.28	 8.59	CFHT    	False	    	    	 7.30	h	  1
     172	UGC7356       	184.787	+47.090	NGC4258	 7.20	 6.29	 4.95	 5.61	 6.99	 7.64	22.79	CFHT    	False	 272	j   	 7.28	a	  1
     173	dw1220p4729   	185.126	+47.491	NGC4258	 7.20	 9.25	 5.70	 7.26	11.84	15.41	 5.15	CFHT    	False	    	    	     	 	  1
     174	dw1220p4649   	185.229	+46.830	NGC4258	 7.20	 7.95	 6.04	 6.95	 9.00	10.11	 9.18	CFHT    	False	    	    	     	 	  1
     175	dw1223p4739   	185.942	+47.659	NGC4258	 7.20	 7.41	 5.90	 6.62	 8.23	 9.12	 8.94	CFHT    	False	    	    	     	 	  1
     176	dw1227p0136   	186.944	+01.600	NGC4517	 8.34	     	     	     	     	     	     	        	     	1301	S   	     	 	  1
     177	dw1231p0140   	187.766	+01.676	NGC4517	 8.34	 8.49	 7.43	 7.94	 9.06	 9.68	15.85	HSC     	False	1130	S   	     	 	  1
     178	dw1232p0015   	188.151	+00.262	NGC4517	 8.34	 9.56	 7.99	 8.80	10.27	10.94	37.40	HSC     	False	1190	S   	     	 	  1
     179	dw1236m0025   	189.175	-00.431	NGC4517	 8.34	 9.38	 8.32	 8.82	10.02	10.76	23.19	HSC     	False	    	    	     	 	  1
     180	dw1238p0028   	189.559	+00.477	NGC4517	 8.34	 9.21	 7.47	 8.30	10.24	11.50	 6.18	HSC     	False	    	    	     	 	  1
     181	dw1238m0035   	189.705	-00.598	NGC4517	 8.34	 9.20	 7.89	 8.54	 9.88	10.57	12.54	HSC     	False	    	    	     	 	  1
     182	dw1238m0105   	189.709	-01.087	NGC4517	 8.34	 7.27	 6.12	 6.66	 7.97	 8.74	 7.81	HSC     	False	    	    	     	 	  1
     183	dw1239m0039   	189.761	-00.664	NGC4517	 8.34	 8.34	 7.40	 7.85	 8.90	 9.58	34.89	HSC     	False	    	    	     	 	  1
     184	NGC4592       	189.827	-00.532	NGC4517	 8.34	     	     	     	     	     	     	        	     	1075	S   	 9.07	k	  1
     185	dw1234p2531   	188.601	+25.522	NGC4565	11.90	11.87	10.09	10.98	12.82	13.85	 9.42	CFHT    	False	    	    	     	 	  1
     186	NGC4562       	188.895	+25.850	NGC4565	11.90	     	     	     	     	     	     	        	     	1353	S   	     	 	  1
     187	IC3571        	189.084	+26.084	NGC4565	11.90	     	     	     	     	     	     	        	     	1202	S   	     	 	  1
     188	dw1237p2602   	189.255	+26.036	NGC4565	11.90	10.97	 9.63	10.26	11.75	12.65	 8.87	CFHT    	False	    	    	     	 	  1
     189	dw1237m1125   	189.299	-11.433	M104   	 9.55	 7.51	 4.28	 5.75	 9.55	12.15	 6.37	CFHT    	False	    	    	     	 	  1
     190	dw1239m1159   	189.788	-11.987	M104   	 9.55	11.33	 9.04	10.09	12.78	14.55	 6.17	CFHT    	False	    	    	     	 	  1
     191	dw1239m1143   	189.814	-11.719	M104   	 9.55	 9.39	 8.05	 8.77	10.01	10.61	21.46	CFHT    	False	    	    	     	 	  1
     192	dw1239m1113   	189.887	-11.227	M104   	 9.55	 7.87	 5.59	 6.69	 9.08	10.31	12.75	CFHT    	False	    	    	     	 	  1
     193	dw1239m1120   	189.964	-11.341	M104   	 9.55	 9.71	 8.54	 9.12	10.33	10.99	11.70	CFHT    	False	    	    	     	 	  1
     194	dw1239m1144   	189.979	-11.746	M104   	 9.55	 9.00	 6.47	 7.72	10.45	12.05	 9.56	CFHT    	False	    	    	     	 	  1
     195	dw1240m1118   	190.039	-11.314	M104   	 9.55	 8.79	 7.56	 8.21	 9.31	 9.79	35.37	CFHT    	False	    	    	     	 	  1
     196	dw1240m1140   	190.073	-11.679	M104   	 9.55	 4.25	 3.17	 3.70	 4.85	 5.56	 5.85	CFHT    	True 	    	    	     	 	  1
     197	dw1241m1131   	190.262	-11.529	M104   	 9.55	 7.25	 5.23	 6.20	 8.45	 9.72	 6.06	CFHT    	False	    	    	     	 	  1
     198	dw1241m1153   	190.300	-11.892	M104   	 9.55	11.19	 8.97	10.03	12.55	14.12	 6.13	CFHT    	False	    	    	     	 	  1
     199	dw1241m1155   	190.328	-11.925	M104   	 9.55	 9.02	 7.43	 8.25	 9.77	10.49	16.34	CFHT    	False	    	    	     	 	  1
     200	dw1236p3336   	189.206	+33.613	NGC4631	 7.40	     	     	     	     	     	     	        	     	 530	l   	     	 	  1
     201	dw1239p3230   	189.771	+32.505	NGC4631	 7.40	 7.32	 6.11	 6.66	 8.09	 9.01	 7.26	CFHT    	False	 613	m   	     	 	  1
     202	dw1239p3251   	189.832	+32.861	NGC4631	 7.40	 5.93	 3.63	 4.69	 7.41	 9.13	 7.05	CFHT    	False	    	    	     	 	  1
     203	dw1240p3216   	190.221	+32.282	NGC4631	 7.40	 6.68	 5.24	 5.93	 7.42	 8.18	12.04	CFHT    	False	    	    	     	 	  1
     204	dw1240p3247   	190.244	+32.790	NGC4631	 7.40	 7.11	 1.87	 3.77	13.42	     	 9.52	CFHT    	False	    	    	     	 	  1
     205	dw1241p3251   	190.446	+32.858	NGC4631	 7.40	 6.21	 5.44	 5.79	 6.68	 7.23	14.96	CFHT    	True 	 696	n   	     	 	  1
     206	NGC4627       	190.499	+32.574	NGC4631	 7.40	     	     	     	     	     	     	        	     	 813	S   	     	 	  1
     207	dw1242p3237   	190.525	+32.622	NGC4631	 7.40	 7.18	 3.60	 5.09	10.14	14.24	 8.79	CFHT    	False	    	    	     	 	  1
     208	dw1242p3158   	190.631	+31.969	NGC4631	 7.40	 7.06	 5.44	 6.21	 8.00	 8.99	 6.91	CFHT    	False	    	    	     	 	  1
     209	dw1243p3228   	190.853	+32.482	NGC4631	 7.40	 8.07	 7.17	 7.63	 8.52	 8.96	18.27	CFHT    	False	 666	S   	     	 	  1
     210	NGC4656       	190.991	+32.168	NGC4631	 7.40	     	     	     	     	     	     	        	     	 707	S   	     	 	  0
     211	dw1248p3158   	192.219	+31.970	NGC4631	 7.40	 7.55	 6.37	 6.92	 8.31	 9.19	 6.52	GEMINI  	False	    	    	     	 	  1
     212	dw1231p4205   	187.787	+42.094	NGC4736	 4.20	     	     	     	     	     	     	        	     	 543	S   	     	 	  1
     213	IC3687        	190.563	+38.503	NGC4736	 4.20	     	     	     	     	     	     	        	     	 359	S   	 4.57	a	  1
     214	dw1243p4127   	190.980	+41.457	NGC4736	 4.20	     	     	     	     	     	     	        	     	 402	S   	 4.81	a	  1
     215	dw1243p4339   	190.990	+43.662	NGC4736	 4.20	     	     	     	     	     	     	        	     	 293	S   	 4.33	a	  1
     216	dw1249p4421   	192.380	+44.360	NGC4736	 4.20	     	     	     	     	     	     	        	     	 540	S   	     	 	  1
     217	dw1251p4138   	192.770	+41.635	NGC4736	 4.20	     	     	     	     	     	     	        	     	    	    	 4.70	o	  1
     218	dw1255p4035   	193.762	+40.590	NGC4736	 4.20	     	     	     	     	     	     	        	     	    	    	 4.10	o	  1
     219	UGC7929       	191.337	+21.427	NGC4826	 5.30	     	     	     	     	     	     	        	     	 387	S   	     	 	  1
     220	IC3840        	192.942	+21.735	NGC4826	 5.30	     	     	     	     	     	     	        	     	 583	S   	 5.97	a	  1
     221	dw1252p2215   	193.024	+22.265	NGC4826	 5.30	 5.42	 4.14	 4.77	 6.13	 6.86	 8.61	HSC     	False	    	    	     	 	  1
     222	dw1255p1912   	193.921	+19.210	NGC4826	 5.30	     	     	     	     	     	     	        	     	 419	S   	 4.83	a	  1
     223	dw1258p2329   	194.714	+23.490	NGC4826	 5.30	 6.08	 5.21	 5.64	 6.53	 7.03	11.20	HSC     	False	    	    	     	 	  1
     224	dw1300p1843   	195.129	+18.718	NGC4826	 5.30	 3.38	 2.17	 2.71	 4.33	 5.65	 3.29	DECAM   	True 	    	    	     	 	  1
     225	IC4107        	195.674	+21.998	NGC4826	 5.30	 4.63	 2.96	 3.72	 5.68	 6.90	 9.07	DECAM   	False	 267	S   	 4.83	a	  1
     226	dw1310p4153   	197.674	+41.891	NGC5055	 8.87	 7.38	 5.89	 6.63	 8.22	 9.15	 6.84	HSC     	False	    	    	     	 	  1
     227	dw1312p4158   	198.077	+41.975	NGC5055	 8.87	 9.26	 7.65	 8.50	10.00	10.72	21.40	HSC     	False	    	    	     	 	  1
     228	dw1312p4032   	198.216	+40.543	NGC5055	 8.87	     	     	     	     	     	     	        	     	 570	S   	     	 	  1
     229	UGCA337       	198.244	+41.786	NGC5055	 8.87	 7.58	 6.21	 6.93	 8.17	 8.78	76.63	HSC     	True 	 529	S   	     	 	  1
     230	dw1313p4202   	198.416	+42.043	NGC5055	 8.87	 8.78	 7.41	 8.13	 9.40	 9.96	33.92	HSC     	False	    	    	 8.28	a	  1
     231	UGC8313       	198.475	+42.209	NGC5055	 8.87	 8.77	 7.68	 8.26	 9.25	 9.68	53.78	HSC     	False	 626	S   	     	 	  1
     232	dw1315p4123   	198.816	+41.397	NGC5055	 8.87	 8.80	 6.87	 7.79	 9.88	10.99	 8.25	HSC     	False	    	    	     	 	  1
     233	dw1315p4130   	198.874	+41.502	NGC5055	 8.87	 9.65	 8.28	 8.98	10.29	10.90	18.74	HSC     	False	    	    	     	 	  1
     234	dw1321p4226   	200.371	+42.433	NGC5055	 8.87	 7.30	 5.39	 6.28	 8.39	 9.53	12.55	HSC     	False	    	    	     	 	  1
     235	dw1328p4703   	202.103	+47.065	NGC5194	 8.58	 8.35	 6.38	 7.35	 9.44	10.66	 7.07	HSC     	False	    	    	     	 	  1
     236	NGC5195       	202.498	+47.266	NGC5194	 8.58	     	     	     	     	     	     	        	     	 572	S   	     	 	  0
     237	dw1330p4731   	202.641	+47.526	NGC5194	 8.58	11.49	 7.37	 9.23	14.22	17.92	 7.58	HSC     	False	    	    	     	 	  1
     238	dw1350p5441   	207.743	+54.689	NGC5457	 6.50	 6.27	 5.21	 5.74	 6.80	 7.39	23.57	HSC     	False	    	    	     	 	  1
     239	UGC8837       	208.689	+53.904	NGC5457	 6.50	     	     	     	     	     	     	        	     	 140	S   	 7.24	p	  0
     240	UGC8882       	209.311	+54.101	NGC5457	 6.50	 6.95	 6.06	 6.53	 7.37	 7.76	28.37	CFHT    	False	 344	S   	     	 	  1
     241	dw1403p5337   	210.773	+53.615	NGC5457	 6.50	 7.58	 6.33	 6.91	 8.34	 9.21	13.66	CFHT    	False	    	    	 6.52	q	  1
     242	dw1403p5356   	210.937	+53.944	NGC5457	 6.50	 6.02	 4.61	 5.32	 6.79	 7.64	 7.43	CFHT    	False	    	    	 6.37	q	  1
     243	NGC5474       	211.256	+53.662	NGC5457	 6.50	     	     	     	     	     	     	        	     	 294	S   	 6.98	a	  1
     244	NGC5477       	211.386	+54.461	NGC5457	 6.50	     	     	     	     	     	     	        	     	 317	S   	 6.76	a	  1
     245	dw1406p5344   	211.708	+53.741	NGC5457	 6.50	 6.17	 5.00	 5.56	 6.78	 7.42	11.04	CFHT    	False	    	    	 6.83	r	  1
     246	dw1408p5419   	212.156	+54.325	NGC5457	 6.50	 7.49	 6.06	 6.74	 8.37	 9.37	 7.51	CFHT    	False	    	    	 6.87	q	  0
     247	dw1905m6316   	286.483	-63.272	NGC6744	 8.95	 7.61	 5.57	 6.55	 8.77	10.26	 5.57	DECAM   	False	    	    	     	 	  1
     248	dw1906m6357   	286.742	-63.964	NGC6744	 8.95	 7.31	 5.55	 6.44	 8.21	 9.17	 9.68	DECAM   	False	    	    	     	 	  1
     249	dw1907m6342   	286.844	-63.706	NGC6744	 8.95	 7.99	 6.26	 7.12	 8.94	10.01	11.51	DECAM   	False	    	    	     	 	  1
     250	dw1908m6343   	287.183	-63.730	NGC6744	 8.95	 5.33	 4.35	 4.80	 5.96	 6.73	43.93	DECAM   	True 	    	    	     	 	  1
     251	dw1911m6413   	287.844	-64.223	NGC6744	 8.95	     	     	     	     	     	     	        	     	 779	j   	     	 	  1

