#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:34 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/933/47/table10&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19330047
#Name: J/ApJ/933/47
#Title: The ELVES survey photometric results (Carlsten+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2022ApJ...933...47C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/933/47	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19330047	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_933_47_table10:
#Name: J/ApJ/933/47/table10
#Title: GALEX photometry for confirmed satellites
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a14)	Dwarf galaxy name	[ucd=meta.id;meta.main]
#Column	Host	(A7)	Host galaxy name	[ucd=meta.id.parent]
#Column	RAJ2000	(F8.4)	[11.8/288] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	[-64.3/71.5] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	l_NUVmag	(A1)	Limit flag on NUVmag (1)	[ucd=meta.code.error;phot.mag;em.UV.200-300nm]
#Column	NUVmag	(F5.2)	[12.4/24.2] GALEX FUV magnitude (1)	[ucd=phot.mag;em.UV.200-300nm]
#Column	e_NUVmag	(F5.2)	[0.05/0.8]? Uncertainty in NUVmag (1)	[ucd=stat.error;phot.mag;em.UV.200-300nm]
#Column	l_FUVmag	(A1)	Limit flag on FUVmag (1)	[ucd=meta.code.error;phot.mag;em.UV.100-200nm]
#Column	FUVmag	(F5.2)	[12.5/24.5] GALEX FUV magnitude (1)	[ucd=phot.mag;em.UV.100-200nm]
#Column	e_FUVmag	(F5.2)	[0.05/0.7]? Uncertainty in FUVmag (1)	[ucd=stat.error;phot.mag;em.UV.100-200nm]
#Column	GALEX	(a28)	GALEX imaging dataset in the MAST archive	[ucd=meta.dataset]
recno	Name	Host	RAJ2000	DEJ2000	l_NUVmag	NUVmag	e_NUVmag	l_FUVmag	FUVmag	e_FUVmag	GALEX
     184	dw1237p2602   	NGC4565	189.2549	+26.0360	 	20.58	 0.06	 	20.92	 0.09	GI1_033001_NGC4565
     185	dw1237m1125   	M104   	189.2985	-11.4332	>	21.91	     	>	21.49	     	AIS_331_1_73
     186	dw1239m1159   	M104   	189.7877	-11.9867	>	22.43	     	>	22.47	     	NGA_NGC4594
     187	dw1239m1143   	M104   	189.8136	-11.7189	 	20.18	 0.08	 	22.43	 0.69	NGA_NGC4594
     188	dw1239m1113   	M104   	189.8866	-11.2268	>	21.88	     	>	22.22	     	NGA_NGC4594
     189	dw1239m1120   	M104   	189.9645	-11.3413	>	23.10	     	>	23.20	     	NGA_NGC4594
     190	dw1239m1144   	M104   	189.9787	-11.7460	>	21.19	     	>	21.88	     	NGA_NGC4594
     191	dw1240m1118   	M104   	190.0392	-11.3139	 	19.86	 0.07	 	22.08	 0.61	NGA_NGC4594
     192	dw1240m1140   	M104   	190.0733	-11.6793	>	21.67	     	 	22.28	 0.66	NGA_NGC4594
     193	dw1241m1131   	M104   	190.2617	-11.5288	>	22.42	     	>	22.88	     	NGA_NGC4594
     194	dw1241m1153   	M104   	190.3002	-11.8916	 	21.61	 0.40	>	22.15	     	NGA_NGC4594
     195	dw1241m1155   	M104   	190.3281	-11.9254	 	20.92	 0.20	>	22.12	     	NGA_NGC4594
     196	dw1236p3336   	NGC4631	189.2059	+33.6131	 	18.45	 0.06	 	18.79	 0.11	AIS_113_1_38
     197	dw1239p3230   	NGC4631	189.7713	+32.5046	 	20.74	 0.12	 	21.46	 0.27	GI4_016001_CVNIDWA
     198	dw1239p3251   	NGC4631	189.8317	+32.8608	>	23.25	     	>	23.29	     	GI4_016001_CVNIDWA
     199	dw1240p3216   	NGC4631	190.2209	+32.2822	 	23.06	 0.39	>	23.92	     	NGA_NGC4631
     200	dw1240p3247   	NGC4631	190.2437	+32.7904	>	21.00	     	>	21.66	     	NGA_NGC4631
     201	dw1241p3251   	NGC4631	190.4464	+32.8577	 	17.17	 0.05	 	17.41	 0.05	NGA_NGC4631
     202	NGC4627       	NGC4631	190.4987	+32.5740	 	16.08	 0.05	 	17.33	 0.05	NGA_NGC4631
     203	dw1242p3237   	NGC4631	190.5255	+32.6219	 	20.74	 0.65	 	21.12	 0.26	NGA_NGC4631
     204	dw1242p3158   	NGC4631	190.6308	+31.9692	 	22.93	 0.38	 	23.02	 0.41	NGA_NGC4631
     205	dw1243p3228   	NGC4631	190.8534	+32.4821	 	20.14	 0.05	 	22.93	 0.53	NGA_NGC4631
     206	dw1248p3158   	NGC4631	192.2187	+31.9702	 	19.91	 0.21	>	21.17	     	AIS_113_1_45
     207	dw1231p4205   	NGC4736	187.7873	+42.0942	 	19.09	 0.05	 	19.29	 0.05	NGA_NGC4490
     208	IC3687        	NGC4736	190.5626	+38.5034	 	14.72	 0.05	 	14.89	 0.05	GI1_047079_IC3687
     209	dw1243p4127   	NGC4736	190.9798	+41.4575	 	18.71	 0.05	 	19.35	 0.05	NGA_NGC4625
     210	dw1243p4339   	NGC4736	190.9898	+43.6618	 	19.32	 0.11	 	20.68	 0.49	AIS_107_1_09
     211	dw1249p4421   	NGC4736	192.3797	+44.3595	 	18.70	 0.07	 	18.82	 0.13	AIS_103_1_96
     212	dw1251p4138   	NGC4736	192.7698	+41.6353	 	21.62	 0.15	>	23.17	     	NGA_NGC4736
     213	dw1255p4035   	NGC4736	193.7615	+40.5902	>	21.46	     	>	21.13	     	AIS_108_1_65
     214	UGC7929       	NGC4826	191.3366	+21.4271	 	18.91	 0.11	 	19.42	 0.26	AIS_222_1_87
     215	IC3840        	NGC4826	192.9417	+21.7349	 	17.33	 0.05	 	17.43	 0.07	AIS_219_1_12
     216	dw1252p2215   	NGC4826	193.0237	+22.2654	>	21.80	     	>	22.07	     	AIS_219_1_11
     217	dw1255p1912   	NGC4826	193.9210	+19.2096	 	17.89	 0.06	 	18.40	 0.11	AIS_219_1_32
     218	dw1258p2329   	NGC4826	194.7139	+23.4899	>	21.16	     	>	21.25	     	AIS_219_1_18
     219	dw1300p1843   	NGC4826	195.1295	+18.7177	 	20.42	 0.63	>	20.38	     	AIS_219_1_52
     220	IC4107        	NGC4826	195.6741	+21.9979	 	19.71	 0.24	>	20.71	     	AIS_219_1_28
     221	dw1310p4153   	NGC5055	197.6743	+41.8908	>	21.71	     	>	21.67	     	AIS_108_1_43
     222	dw1312p4158   	NGC5055	198.0772	+41.9755	>	21.80	     	>	21.84	     	AIS_108_1_43
     223	dw1312p4032   	NGC5055	198.2159	+40.5432	 	16.39	 0.05	 	16.68	 0.05	GI4_095027_CGCG217_018
     224	UGCA337       	NGC5055	198.2440	+41.7864	 	18.81	 0.05	 	20.32	 0.12	NGA_NGC5055
     225	dw1313p4202   	NGC5055	198.4161	+42.0431	 	21.56	 0.15	>	22.92	     	NGA_NGC5055
     226	UGC8313       	NGC5055	198.4754	+42.2092	 	16.15	 0.05	 	16.54	 0.05	NGA_NGC5055
     227	dw1315p4123   	NGC5055	198.8158	+41.3967	>	21.83	     	>	22.13	     	AIS_108_1_42
     228	dw1315p4130   	NGC5055	198.8742	+41.5022	 	20.85	 0.12	>	22.69	     	NGA_NGC5055
     229	dw1321p4226   	NGC5055	200.3708	+42.4334	>	22.80	     	>	22.53	     	AIS_108_1_31
     230	KK189         	CENA   	198.1875	-41.8319	>	20.03	     	>	19.85	     	AIS_472_1_19
     231	ESO269-066    	CENA   	198.2875	-44.8900	 	17.31	 0.16	>	18.70	     	AIS_472_1_50
     232	NGC5011C      	CENA   	198.2958	-43.2656	 	17.12	 0.05	 	18.30	 0.09	GI3_087010_NGC5011
     233	KK196         	CENA   	200.4458	-45.0633	 	17.98	 0.08	 	18.48	 0.21	AIS_472_1_59
     234	KK197         	CENA   	200.5042	-42.5356	>	18.49	     	>	17.98	     	AIS_472_1_37
     235	KKS55         	CENA   	200.5500	-42.7308	>	18.84	     	>	18.35	     	AIS_472_1_37
     236	CENA-MM-DW4   	CENA   	200.7583	-41.7861	>	19.82	     	>	19.54	     	AIS_472_1_36
     237	dw1323-40b    	CENA   	201.0000	-40.8367	>	19.87	     	>	19.46	     	AIS_472_1_26
     238	dw1323-40     	CENA   	201.2421	-40.7622	 	20.04	 0.49	>	20.04	     	AIS_471_1_95
     239	CENA-MM-DW6   	CENA   	201.4875	-41.0942	>	19.91	     	>	19.68	     	AIS_472_1_35
     240	CENA-MM-DW7   	CENA   	201.6167	-43.5567	>	19.63	     	>	19.06	     	AIS_472_1_58
     241	ESO324-024    	CENA   	201.9042	-41.4806	 	14.13	 0.05	 	14.41	 0.05	AIS_472_1_35
     242	KK203         	CENA   	201.8667	-45.3525	>	19.40	     	>	18.93	     	AIS_472_1_69
     243	CENA-MM-DW1   	CENA   	202.5583	-41.8933	>	18.32	     	>	17.98	     	AIS_472_1_46
     244	CENA-MM-DW3   	CENA   	202.5875	-42.1925	>	16.13	     	 	15.84	 0.59	AIS_472_1_46
     245	CENA-MM-DW9   	CENA   	203.2542	-42.5300	>	19.80	     	>	19.44	     	AIS_472_1_56
     246	CENA-MM-DW8   	CENA   	203.3917	-41.6078	>	19.51	     	>	19.25	     	AIS_472_1_45
     247	NGC5237       	CENA   	204.4127	-42.8469	 	14.88	 0.05	 	15.51	 0.09	AIS_472_1_66
     248	dw1328p4703   	NGC5194	202.1030	+47.0651	>	23.78	     	>	24.41	     	GI3_050006_NGC5194
     249	dw1330p4731   	NGC5194	202.6411	+47.5257	>	23.51	     	>	24.02	     	GI3_050006_NGC5194
     250	dw1335-29     	NGC5236	203.9417	-29.7067	>	21.58	     	>	21.47	     	NGA_M83_582_F5_19_158
     251	dw1340-30     	NGC5236	205.0792	-30.3597	 	20.61	 0.61	>	20.43	     	AIS_351_1_67
     252	KK200         	NGC5236	201.1500	-30.9717	 	17.75	 0.07	 	18.36	 0.12	AIS_491_1_97
     253	IC4247        	NGC5236	201.6875	-30.3625	 	15.77	 0.05	 	16.17	 0.05	GI4_095028_IC4247
     254	ESO444-84     	NGC5236	204.3333	-28.0442	 	15.98	 0.05	 	16.29	 0.05	GI1_047094_ESO444_G084
     255	IC4316        	NGC5236	205.0750	-28.8947	 	15.95	 0.05	 	16.20	 0.05	AIS_351_1_56
     256	ESO444-78     	NGC5236	204.1292	-29.2342	 	17.25	 0.05	 	17.72	 0.07	AIS_351_1_57
     257	NGC5264       	NGC5236	205.4042	-29.9131	 	14.65	 0.05	 	15.12	 0.05	GI4_095030_NGC5264
     258	KK218         	NGC5236	206.6667	-29.9781	 	20.15	 0.38	>	21.33	     	GI1_032001_NGC5291
     259	HIJ1337-33    	NGC5236	204.2542	-33.3631	 	19.61	 0.05	 	19.67	 0.07	GI3_087015_IC4296
     260	dw1350p5441   	NGC5457	207.7431	+54.6892	 	20.08	 0.30	>	20.68	     	AIS_101_1_34
     261	UGC8882       	NGC5457	209.3112	+54.1008	 	18.76	 0.05	 	20.87	 0.22	GI5_028139_W3_00783_0105o
     262	dw1403p5337   	NGC5457	210.7728	+53.6147	>	21.93	     	>	22.02	     	NGA_NGC5474
     263	dw1403p5356   	NGC5457	210.9373	+53.9437	>	23.68	     	>	24.10	     	GI3_050008_NGC5457
     264	NGC5474       	NGC5457	211.2561	+53.6617	 	12.99	 0.05	 	13.23	 0.05	NGA_NGC5474
     265	NGC5477       	NGC5457	211.3863	+54.4608	 	15.01	 0.05	 	15.07	 0.05	GI3_050008_NGC5457
     266	dw1406p5344   	NGC5457	211.7080	+53.7413	>	24.20	     	>	23.95	     	PS_GROTH_MOS04
     267	dw1905m6316   	NGC6744	286.4831	-63.2721	 	21.81	 0.45	>	21.90	     	LGAL_NGC6744n_css28108
     268	dw1906m6357   	NGC6744	286.7415	-63.9636	 	20.43	 0.12	>	21.80	     	LGAL_NGC6744n
     269	dw1907m6342   	NGC6744	286.8439	-63.7064	 	21.53	 0.11	>	22.73	     	LGAL_NGC6744n
     270	dw1908m6343   	NGC6744	287.1830	-63.7301	 	16.17	 0.05	 	16.41	 0.05	LGAL_NGC6744n
     271	dw1911m6413   	NGC6744	287.8437	-64.2226	 	16.70	 0.05	 	17.29	 0.05	LGAL_NGC6744n

