#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:49 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/469/2539&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74692539
#Name: J/MNRAS/469/2539
#Title: New classification of CALIFA galaxies (Kalinova+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/mnras/469/2539	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/469/2539	    IVOID of underlying data collection
#INFO	creator=Kalinova V.	    First author or institution
#INFO	cites=bibcode:2017MNRAS.469.2539K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/469/2539	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74692539	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_MNRAS_469_2539_tableb:
#Name: J/MNRAS/469/2539/tableb
#Title: Properties of the 238 (E1-Sdm) CALIFA galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a13)	Galaxy identifier	[ucd=meta.id;meta.main]
#Column	Type	(A3)	Hubble type based on by-eye morphological classification from Walcher et al. (2014, Cat. J/A+A/589/A1)	[ucd=meta.note;src.morph.type]
#Column	Dist	(I3)	Hubble flow (Galactocentric) distances (1)	[ucd=pos.distance]
#Column	PA	(I3)	Average photometric position angle (2)	[ucd=pos.posAng;stat.mean]
#Column	eps	(F5.2)	Average photometric ellipticity (2)	[ucd=src.ellipticity]
#Column	Incl	(I2)	Inclination (3)	[ucd=src.orbital.inclination]
#Column	Re	(I2)	Effective (half-light) radius measured via growth curve analysis (Walcher et al., 2014, Cat. J/A+A/589/A1)	[ucd=phys.angSize]
#Column	Rmax	(I2)	Radial extent of the stellar kinematic data (Falcon-Barroso et al., 2017, Cat. J/A+A/597/A48)	[ucd=phys.angSize]
#Column	Rmax/Re	(F4.1)	Radial extent of the stellar kinematic data in terms of effective radius	[ucd=spect.dopplerVeloc]
#Column	Vsys	(I4)	Systemic velocity of the galaxies (4)	[ucd=phys.veloc]
#Column	(M/L)dyn	(F6.3)	Median of the posterior distributions of the dynamical mass-to-light ratios, from JAM-MCMC model	[ucd=phys.composition.massLightRatio]
#Column	E_(M/L)dyn	(F6.3)	Error on (M/L)dyn, upper value (5)	[ucd=stat.error;stat.max]
#Column	e_(M/L)dyn	(F6.3)	Error on (M/L)dyn, lower value (6)	[ucd=stat.error]
#Column	betaz	(F6.3)	Median of the posterior distributions of the azimuthal velocity anisotropies, from JAM-MCMC model.	[ucd=stat.fit.param]
#Column	E_betaz	(F6.3)	Error on betaz, upper value (5)	[ucd=stat.error;stat.max]
#Column	e_betaz	(F6.3)	Error on betaz, lower value (6)	[ucd=stat.error]
#Column	CVC	(A1)	Circular velocity curve class (10)	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Galaxy	Type	Dist	PA	eps	Incl	Re	Rmax	Rmax/Re	Vsys	(M/L)dyn	E_(M/L)dyn	e_(M/L)dyn	betaz	E_betaz	e_betaz	CVC	Simbad	_RA	_DE
     111	NGC 5876     	S0a	 47	 50	 0.58	67	12	31	 2.6	3274	 9.370	 0.023	 0.025	 0.094	 0.005	 0.008	2	Simbad	227.38156	+54.50649
     112	NGC 5888     	Sb 	121	152	 0.39	68	16	31	 1.9	8583	 5.749	 0.013	 0.011	-0.888	 0.060	 0.023	2	Simbad	228.28073	+41.26462
     113	NGC 5908     	Sa 	 47	154	 0.56	81	34	42	 1.2	3327	 8.192	 0.020	 0.016	-0.026	 0.006	 0.005	2	Simbad	229.18008	+55.40925
     114	NGC 5971     	Sb 	 61	131	 0.55	68	12	27	 2.2	3385	 6.655	 0.047	 0.033	 0.429	 0.006	 0.008	0	Simbad	233.90377	+56.46170
     115	NGC 5980     	Sbc	 57	193	 0.62	71	17	40	 2.4	4045	 4.474	 0.022	 0.014	 0.401	 0.008	 0.012	2	Simbad	235.37673	+15.78770
     116	NGC 5987     	Sa 	 44	 61	 0.61	75	33	37	 1.1	2994	 6.452	 0.024	 0.014	 0.308	 0.004	 0.006	1	Simbad	234.98909	+58.07955
     117	NGC 6020     	E4 	 60	133	 0.29	50	19	25	 1.3	4272	 6.520	 0.037	 0.027	 0.417	 0.005	 0.008	3	Simbad	239.28383	+22.40455
     118	NGC 6021     	E5 	 66	156	 0.30	48	 9	27	 3.0	4698	 6.203	 0.029	 0.025	 0.475	 0.003	 0.005	2	Simbad	239.37782	+15.95621
     119	NGC 6032     	Sbc	 60	179	 0.48	76	27	39	 1.4	4331	 3.198	 0.063	 0.028	 0.757	 0.004	 0.018	0	Simbad	240.75468	+20.95597
     120	NGC 6060     	Sb 	 62	100	 0.58	65	28	35	 1.2	4407	 4.937	 0.020	 0.017	 0.325	 0.010	 0.021	1	Simbad	241.46658	+21.48498
     121	NGC 6063     	Sbc	 40	155	 0.45	59	20	36	 1.8	2853	 5.875	 0.025	 0.025	-0.073	 0.025	 0.031	0	Simbad	241.80417	+07.97901
     122	NGC 6081     	S0a	 72	129	 0.60	71	12	30	 2.5	5073	 6.046	 0.025	 0.022	 0.197	 0.008	 0.012	2	Simbad	243.23687	+09.86712
     123	NGC 6125     	E1 	 69	199	 0.04	26	21	28	 1.3	4678	 6.507	 0.018	 0.012	 0.389	 0.006	 0.008	3	Simbad	244.79814	+57.98411
     124	NGC 6132     	Sbc	 69	126	 0.66	72	14	31	 2.2	4911	 5.884	 0.025	 0.027	 0.384	 0.011	 0.018	0	Simbad	245.91167	+11.78636
     125	NGC 6146     	E5 	123	 79	 0.35	49	15	26	 1.7	8700	 5.968	 0.024	 0.018	 0.270	 0.005	 0.006	2	Simbad	246.29302	+40.89287
     126	NGC 6150     	E7 	122	 58	 0.46	61	11	29	 2.6	8645	 6.897	 0.019	 0.019	 0.633	 0.002	 0.005	2	Simbad	246.45835	+40.48873
     127	NGC 6168     	Sc 	 36	109	 0.77	77	26	34	 1.3	2539	 7.706	 0.078	 0.070	 0.548	 0.011	 0.017	0	Simbad	247.83949	+20.18372
     128	NGC 6173     	E6 	122	145	 0.39	53	38	32	 0.8	8694	 6.146	 0.017	 0.017	 0.544	 0.002	 0.004	3	Simbad	247.43715	+40.81161
     129	NGC 6186     	Sb 	 42	 55	 0.36	69	20	35	 1.8	2937	 2.341	 0.014	 0.012	 0.218	 0.013	 0.019	1	Simbad	248.60619	+21.54084
     130	NGC 6278     	S0a	 41	126	 0.45	57	11	33	 3.0	2869	 5.284	 0.015	 0.017	 0.517	 0.003	 0.008	2	Simbad	255.20968	+23.01104
     131	NGC 6301     	Sbc	117	108	 0.42	57	24	39	 1.6	8219	 5.787	 0.017	 0.014	-0.119	 0.014	 0.017	0	Simbad	257.13641	+42.33913
     132	NGC 6310     	Sb 	 50	248	 0.72	76	23	33	 1.4	3393	 6.152	 0.022	 0.022	 0.347	 0.012	 0.026	0	Simbad	256.98932	+60.99006
     133	NGC 6314     	Sab	 93	171	 0.44	60	12	37	 3.1	6548	 3.258	 0.020	 0.013	 0.712	 0.003	 0.006	2	Simbad	258.16121	+23.27007
     134	NGC 6478     	Sc 	 96	215	 0.58	69	23	38	 1.7	6701	 5.026	 0.012	 0.014	 0.612	 0.005	 0.012	1	Simbad	267.15976	+51.15728
     135	NGC 6497     	Sab	 87	114	 0.45	61	13	34	 2.6	5981	 5.385	 0.012	 0.013	-0.199	 0.010	 0.013	3	Simbad	267.82488	+59.47087
     136	NGC 6515     	E3 	 97	193	 0.33	62	19	28	 1.5	6764	 5.769	 0.021	 0.019	 0.163	 0.004	 0.006	3	Simbad	269.35497	+50.72812
     137	NGC 6762     	Sab	 43	118	 0.70	78	 9	31	 3.4	2932	 4.733	 0.016	 0.021	 0.120	 0.008	 0.011	0	Simbad	286.40451	+63.93409
     138	NGC 6941     	Sb 	 87	131	 0.28	53	20	32	 1.6	6171	 4.154	 0.013	 0.010	-0.270	 0.020	 0.022	1	Simbad	309.09781	-04.61873
     139	NGC 6945     	S0 	 54	129	 0.33	55	13	31	 2.4	3750	 3.622	 0.011	 0.008	-0.326	 0.013	 0.014	2	Simbad	309.75251	-04.97254
     140	NGC 6978     	Sb 	 84	128	 0.62	70	18	34	 1.9	5876	 5.003	 0.011	 0.014	 0.380	 0.007	 0.008	2	Simbad	313.14764	-05.71112
     141	NGC 7025     	S0a	 71	 66	 0.31	46	13	31	 2.4	4916	 5.381	 0.014	 0.010	 0.033	 0.007	 0.011	2	Simbad	316.94720	+16.33586
     142	NGC 7047     	Sbc	 82	108	 0.52	61	18	29	 1.6	5729	 4.719	 0.021	 0.022	 0.230	 0.013	 0.023	0	Simbad	319.11514	-00.82650
     143	NGC 7194     	E3 	113	 20	 0.31	47	17	22	 1.3	8037	 7.426	 0.036	 0.027	 0.117	 0.007	 0.012	2	Simbad	330.87891	+12.63678
     144	NGC 7311     	Sa 	 64	 11	 0.46	61	12	37	 3.1	4474	 2.752	 0.011	 0.011	 0.294	 0.011	 0.028	2	Simbad	338.52817	+05.57031
     145	NGC 7321     	Sbc	100	 15	 0.34	56	15	32	 2.1	7060	 4.272	 0.015	 0.010	-0.634	 0.031	 0.020	0	Simbad	339.11673	+21.62177
     146	NGC 7364     	Sab	 68	 62	 0.34	49	12	32	 2.7	4797	 3.906	 0.013	 0.016	 0.758	 0.003	 0.013	2	Simbad	341.10154	-00.16212
     147	NGC 7466     	Sbc	106	206	 0.58	67	13	31	 2.4	7417	 5.280	 0.016	 0.017	 0.087	 0.015	 0.017	0	Simbad	345.51431	+27.05260
     148	NGC 7489     	Sbc	 88	169	 0.43	67	20	39	 2.0	6170	 3.516	 0.022	 0.016	 0.134	 0.011	 0.018	0	Simbad	346.88617	+22.99805
     149	NGC 7549     	Sbc	 67	196	 0.58	72	20	34	 1.7	4616	 7.854	 0.042	 0.038	-0.514	 0.019	 0.015	2	Simbad	348.82202	+19.04164
     150	NGC 7550     	E4 	 72	138	 0.08	22	24	25	 1.0	5029	 7.122	 0.024	 0.023	 0.318	 0.014	 0.016	3	Simbad	348.81708	+18.96137
     151	NGC 7562     	E4 	 51	 83	 0.35	66	20	36	 1.8	3588	 5.285	 0.028	 0.012	 0.220	 0.003	 0.005	2	Simbad	348.98960	+06.68749
     152	NGC 7563     	Sa 	 59	146	 0.40	55	 9	31	 3.4	4310	 6.571	 0.015	 0.015	 0.048	 0.005	 0.006	2	Simbad	348.98312	+13.19629
     153	NGC 7591     	Sbc	 70	151	 0.49	62	16	33	 2.1	4950	 3.785	 0.012	 0.012	-0.048	 0.011	 0.011	2	Simbad	349.56778	+06.58586
     154	NGC 7608     	Sbc	 50	 18	 0.71	75	20	33	 1.6	3522	 4.043	 0.033	 0.039	 0.734	 0.007	 0.014	0	Simbad	349.81390	+08.35016
     155	NGC 7611     	S0 	 47	136	 0.49	63	11	21	 1.9	3204	 7.129	 0.068	 0.062	 0.086	 0.017	 0.019	2	Simbad	349.90259	+08.06321
     156	NGC 7619     	E3 	 54	 42	 0.16	47	35	34	 1.0	3732	 5.679	 0.016	 0.013	 0.366	 0.003	 0.008	3	Simbad	350.06052	+08.20629
     157	NGC 7623     	S0 	 53	  7	 0.27	44	10	31	 3.1	3660	 4.314	 0.013	 0.030	 0.714	 0.002	 0.008	2	Simbad	350.12501	+08.39578
     158	NGC 7625     	Sa 	 25	211	 0.10	41	14	34	 2.4	1615	 2.273	 0.020	 0.017	 0.510	 0.011	 0.109	0	Simbad	350.12555	+17.22560
     159	NGC 7631     	Sb 	 54	 76	 0.60	68	17	33	 1.9	3706	 4.150	 0.012	 0.010	 0.179	 0.015	 0.018	0	Simbad	350.36115	+08.21761
     160	NGC 7653     	Sb 	 61	167	 0.17	35	12	38	 3.2	4239	 2.832	 0.019	 0.011	-0.730	 0.071	 0.068	0	Simbad	351.20567	+15.27559
     161	NGC 7671     	S0 	 59	136	 0.38	56	11	26	 2.4	3885	 6.004	 0.017	 0.014	 0.311	 0.006	 0.009	2	Simbad	351.83054	+12.46739
     162	NGC 7683     	S0 	 53	141	 0.48	62	14	33	 2.4	3725	 5.646	 0.018	 0.021	 0.309	 0.006	 0.018	2	Simbad	352.26587	+11.44510
     163	NGC 7711     	E7 	 58	 92	 0.58	65	15	42	 2.8	4049	 4.564	 0.019	 0.011	 0.345	 0.004	 0.013	2	Simbad	353.91418	+15.30215
     164	NGC 7716     	Sb 	 37	 35	 0.19	55	21	38	 1.8	2565	 2.485	 0.007	 0.007	-0.176	 0.012	 0.019	1	Simbad	354.13107	+00.29731
     165	NGC 7722     	Sab	 57	148	 0.19	54	21	24	 1.1	4024	 6.660	 0.033	 0.030	 0.102	 0.010	 0.012	3	Simbad	354.67163	+15.95485
     166	NGC 7738     	Sb 	 94	 43	 0.37	72	14	37	 2.6	6708	 3.685	 0.019	 0.020	 0.508	 0.008	 0.041	1	Simbad	356.00843	+00.51660
     167	NGC 7787     	Sab	 93	115	 0.48	62	11	23	 2.1	6622	 5.480	 0.048	 0.048	-0.100	 0.022	 0.021	0	Simbad	359.03256	+00.54943
     168	NGC 7819     	Sc 	 70	100	 0.40	54	23	37	 1.6	4908	 3.754	 0.021	 0.019	 0.175	 0.023	 0.025	1	Simbad	001.10206	+31.47203
     169	NGC 7824     	Sab	 86	146	 0.35	54	11	38	 3.5	6071	 6.052	 0.031	 0.027	 0.250	 0.011	 0.017	2	Simbad	001.27600	+06.92014
     170	UGC 00005    	Sbc	101	227	 0.49	65	16	33	 2.1	7166	 5.291	 0.015	 0.014	-0.626	 0.032	 0.020	2	Simbad	000.77355	-01.91387
     171	UGC 00029    	E1 	123	172	 0.26	45	17	13	 0.8	8687	 7.690	 0.075	 0.066	-0.504	 0.065	 0.056	3	Simbad	001.14056	+28.30166
     172	UGC 00036    	Sab	 88	 17	 0.59	66	10	20	 2.0	6249	 7.877	 0.029	 0.032	-0.099	 0.013	 0.013	2	Simbad	001.30783	+06.77200
     173	UGC 00148    	Sc 	 60	 95	 0.66	76	20	36	 1.8	4148	 4.755	 0.041	 0.035	 0.705	 0.006	 0.016	0	Simbad	003.96364	+16.08980
     174	UGC 00312    	Sd 	 61	  8	 0.56	75	20	38	 1.9	4288	 8.364	 0.064	 0.057	-0.357	 0.030	 0.035	0	Simbad	007.84933	+08.46703
     175	UGC 00809    	Scd	 60	 22	 0.79	78	20	36	 1.8	4154	13.184	 0.101	 0.098	 0.532	 0.008	 0.010	0	Simbad	018.96605	+33.81079
     176	UGC 00987    	Sa 	 66	 31	 0.69	75	12	34	 2.8	4615	 4.650	 0.028	 0.017	 0.262	 0.011	 0.016	2	Simbad	021.38107	+32.13625
     177	UGC 01057    	Sc 	 89	152	 0.69	77	14	27	 1.9	6308	 5.074	 0.034	 0.038	 0.420	 0.009	 0.012	0	Simbad	022.22264	+13.79257
     178	UGC 01271    	S0a	 71	101	 0.42	60	 9	29	 3.2	5017	 4.959	 0.035	 0.030	-0.423	 0.031	 0.028	2	Simbad	027.25023	+13.21111
     179	UGC 02222    	S0a	 71	 98	 0.56	66	10	23	 2.3	4949	 5.060	 0.024	 0.019	 0.314	 0.007	 0.011	2	Simbad	041.29032	+32.98972
     180	UGC 02229    	S0a	100	172	 0.38	59	19	25	 1.3	7219	 8.181	 0.031	 0.027	 0.597	 0.004	 0.005	2	Simbad	041.36483	+00.91434
     181	UGC 02403    	Sb 	 57	150	 0.62	70	19	26	 1.4	4144	 4.777	 0.040	 0.037	 0.569	 0.008	 0.010	0	Simbad	043.98868	+00.69254
     182	UGC 03253    	Sb 	 59	 84	 0.36	62	15	33	 2.2	4093	 5.915	 0.022	 0.019	-0.455	 0.024	 0.020	0	Simbad	079.92344	+84.05253
     183	UGC 03539    	Sc 	 47	117	 0.78	84	20	38	 1.9	3257	11.785	 0.090	 0.090	-0.555	 0.058	 0.060	0	Simbad	102.22522	+66.26136
     184	UGC 03995    	Sb 	 64	 90	 0.53	62	25	39	 1.6	4746	 5.642	 0.023	 0.025	 0.345	 0.007	 0.009	1	Simbad	116.03803	+29.24744
     185	UGC 04029    	Sc 	 60	 63	 0.80	81	26	37	 1.4	4411	 7.837	 0.045	 0.037	 0.394	 0.009	 0.018	0	Simbad	117.07914	+34.33215
     186	UGC 04132    	Sbc	 71	 29	 0.71	76	22	35	 1.6	5111	 7.697	 0.029	 0.019	 0.024	 0.011	 0.016	2	Simbad	119.80449	+32.91481
     187	UGC 04145    	Sa 	 62	138	 0.48	81	 9	29	 3.2	4609	 7.279	 0.028	 0.030	 0.077	 0.009	 0.007	0	Simbad	119.91721	+15.38684
     188	UGC 04197    	Sab	 61	131	 0.74	82	18	41	 2.3	4490	 7.807	 0.026	 0.022	 0.303	 0.012	 0.013	0	Simbad	120.85629	+10.05062
     189	UGC 04280    	Sb 	 49	  1	 0.68	75	11	36	 3.3	3512	 5.942	 0.023	 0.029	 0.291	 0.009	 0.010	0	Simbad	123.63898	+54.79944
     190	UGC 04308    	Sc 	 48	125	 0.23	58	24	33	 1.4	3538	 4.002	 0.030	 0.030	-0.404	 0.040	 0.037	0	Simbad	124.35740	+21.68557
     191	UGC 05108    	Sb 	110	151	 0.56	64	 9	19	 2.1	8001	 7.372	 0.039	 0.029	-0.337	 0.015	 0.016	1	Simbad	143.85949	+29.81266
     192	UGC 05113    	S0a	 95	 41	 0.71	78	 8	22	 2.8	6752	 5.324	 0.024	 0.024	 0.510	 0.006	 0.008	2	Simbad	144.23788	+66.54865
     193	UGC 05598    	Sb 	 76	 36	 0.73	76	15	27	 1.8	5597	 5.574	 0.071	 0.057	 0.713	 0.007	 0.012	0	Simbad	155.55833	+20.58932
     194	UGC 05771    	E6 	102	 57	 0.31	47	12	27	 2.2	7360	 7.771	 0.034	 0.032	 0.501	 0.004	 0.009	3	Simbad	159.33059	+43.58758
     195	UGC 05990    	Sc 	 21	 16	 0.70	78	12	33	 2.8	1566	 8.605	 0.137	 0.114	 0.656	 0.010	 0.011	0	Simbad	163.15984	+34.48279
     196	UGC 06036    	Sa 	 89	100	 0.74	81	11	38	 3.5	6492	 7.644	 0.017	 0.017	 0.005	 0.008	 0.007	2	Simbad	163.98023	+36.86153
     197	UGC 06312    	Sab	 85	 56	 0.62	68	13	29	 2.2	6295	 7.055	 0.028	 0.025	 0.370	 0.005	 0.006	2	Simbad	169.50085	+07.84487
     198	UGC 07012    	Scd	 42	 10	 0.47	58	14	30	 2.1	3070	 6.506	 0.061	 0.052	 0.289	 0.020	 0.027	0	Simbad	180.51318	+29.84809
     199	UGC 07145    	Sbc	 91	152	 0.62	69	16	32	 2.0	6562	 7.018	 0.059	 0.051	 0.744	 0.004	 0.010	0	Simbad	182.46227	+38.21854
     200	UGC 08107    	Sa 	115	 52	 0.62	72	16	33	 2.1	8220	12.324	 0.039	 0.047	 0.390	 0.006	 0.007	2	Simbad	194.91524	+53.34131
     201	UGC 08231    	Sd 	 35	 75	 0.63	71	19	33	 1.7	2482	19.564	 0.171	 0.170	 0.249	 0.017	 0.023	0	Simbad	197.15526	+54.07445
     202	UGC 08234    	S0 	113	134	 0.40	55	 8	24	 3.0	8043	 3.166	 0.021	 0.013	 0.565	 0.004	 0.020	2	Simbad	197.19378	+62.27171
     203	UGC 08733    	Sdm	 33	195	 0.42	64	30	40	 1.3	2329	 9.708	 0.080	 0.075	 0.528	 0.009	 0.010	0	Simbad	207.16300	+43.41242
     204	UGC 08778    	Sb 	 46	117	 0.74	78	15	27	 1.8	3235	 5.848	 0.036	 0.029	 0.362	 0.013	 0.015	0	Simbad	208.02772	+38.06695
     205	UGC 08781    	Sb 	104	161	 0.42	59	15	29	 1.9	7554	 4.789	 0.036	 0.027	 0.289	 0.008	 0.010	2	Simbad	208.09475	+21.53935
     206	UGC 09476    	Sbc	 46	130	 0.34	49	21	40	 1.9	3247	 3.754	 0.016	 0.018	 0.111	 0.033	 0.036	0	Simbad	220.38316	+44.51261
     207	UGC 09537    	Sb 	122	139	 0.76	82	20	40	 2.0	8778	 6.438	 0.040	 0.029	 0.659	 0.003	 0.005	1	Simbad	222.11159	+34.99811
     208	UGC 09542    	Sc 	 76	 40	 0.69	73	21	37	 1.8	5412	 6.245	 0.040	 0.037	 0.788	 0.004	 0.008	0	Simbad	222.25496	+42.46400
     209	UGC 09665    	Sb 	 37	140	 0.76	80	18	33	 1.8	2524	 6.302	 0.050	 0.038	 0.285	 0.025	 0.031	0	Simbad	225.38521	+48.31990
     210	UGC 09873    	Sb 	 79	125	 0.77	78	21	33	 1.6	5587	 7.666	 0.056	 0.054	 0.427	 0.020	 0.019	1	Simbad	232.46106	+42.62897
     211	UGC 09892    	Sbc	 80	101	 0.74	77	16	26	 1.6	5632	 4.904	 0.037	 0.028	-0.083	 0.046	 0.048	0	Simbad	233.21649	+41.19154
     212	UGC 10097    	E5 	 84	125	 0.14	51	14	27	 1.9	5912	 6.390	 0.016	 0.015	 0.415	 0.004	 0.005	3	Simbad	238.93045	+47.86734
     213	UGC 10123    	Sab	 54	 53	 0.72	79	18	31	 1.7	3723	 8.337	 0.037	 0.041	 0.476	 0.008	 0.011	0	Simbad	239.76150	+51.30451
     214	UGC 10205    	S0a	 92	152	 0.41	54	19	35	 1.8	6500	 8.828	 0.019	 0.023	 0.055	 0.008	 0.008	2	Simbad	241.66759	+30.09901
     215	UGC 10257    	Sbc	 54	164	 0.76	77	20	38	 1.9	3826	 6.514	 0.040	 0.037	 0.531	 0.016	 0.024	0	Simbad	242.78143	+38.25135
     216	UGC 10331    	Sc 	 64	141	 0.77	78	19	41	 2.2	4447	 4.990	 0.073	 0.103	 0.776	 0.006	 0.038	0	Simbad	244.33798	+59.32016
     217	UGC 10337    	Sb 	121	 56	 0.54	72	17	26	 1.5	8685	 6.969	 0.027	 0.044	 0.869	 0.001	 0.011	0	Simbad	244.86926	+07.27878
     218	UGC 10384    	Sb 	 69	 91	 0.76	79	11	35	 3.2	4935	 6.230	 0.042	 0.038	 0.505	 0.013	 0.019	0	Simbad	246.69455	+11.58017
     219	UGC 10388    	Sa 	 65	129	 0.68	73	11	28	 2.5	4600	 6.253	 0.024	 0.019	 0.292	 0.008	 0.009	2	Simbad	246.76236	+16.38221
     220	UGC 10650    	Scd	 42	202	 0.77	83	23	43	 1.9	2999	13.753	 0.306	 0.281	 0.798	 0.008	 0.007	0	Simbad	255.06075	+23.10634
     221	UGC 10693    	E7 	117	109	 0.34	49	22	31	 1.4	8259	 5.434	 0.028	 0.024	 0.774	 0.002	 0.008	3	Simbad	256.22070	+41.86549
     222	UGC 10695    	E5 	116	116	 0.42	55	24	27	 1.1	8156	 7.652	 0.028	 0.026	 0.390	 0.005	 0.007	3	Simbad	256.27335	+43.04324
     223	UGC 10710    	Sb 	117	148	 0.74	78	20	36	 1.8	8239	 8.040	 0.035	 0.028	 0.568	 0.007	 0.011	0	Simbad	256.71892	+43.12223
     224	UGC 10796    	Scd	 45	236	 0.44	57	20	32	 1.6	3060	 6.207	 0.098	 0.109	 0.293	 0.021	 0.028	0	Simbad	259.19852	+61.92011
     225	UGC 10811    	Sb 	122	 90	 0.65	71	12	29	 2.4	8581	 8.154	 0.046	 0.043	-0.313	 0.023	 0.026	2	Simbad	259.68223	+58.13512
     226	UGC 10905    	S0a	110	173	 0.47	69	15	25	 1.7	7679	 6.456	 0.017	 0.020	 0.203	 0.005	 0.004	2	Simbad	263.52681	+25.34396
     227	UGC 10972    	Sbc	 66	 57	 0.62	77	24	34	 1.4	4617	 5.231	 0.028	 0.023	 0.612	 0.006	 0.016	1	Simbad	266.59115	+26.54371
     228	UGC 11228    	S0 	 82	178	 0.31	59	12	33	 2.8	5745	 4.673	 0.031	 0.016	 0.439	 0.004	 0.009	2	Simbad	276.19277	+41.49273
     229	UGC 11717    	Sab	 89	213	 0.57	65	17	39	 2.3	6181	 9.592	 0.080	 0.066	 0.607	 0.005	 0.006	2	Simbad	319.64740	+19.71865
     230	UGC 12054    	Sc 	 31	 47	 0.78	83	15	33	 2.2	2039	 7.214	 0.106	 0.128	 0.140	 0.036	 0.041	0	Simbad	337.38525	+07.72602
     231	UGC 12127    	E1 	116	185	 0.15	44	36	25	 0.7	8169	 7.714	 0.027	 0.033	 0.444	 0.005	 0.005	3	Simbad	339.62257	+35.32968
     232	UGC 12185    	Sb 	 94	153	 0.48	60	12	33	 2.8	6518	 4.967	 0.027	 0.027	 0.584	 0.006	 0.017	2	Simbad	341.85443	+31.37355
     233	UGC 12274    	Sa 	108	142	 0.58	66	17	27	 1.6	7553	 6.030	 0.033	 0.032	 0.529	 0.007	 0.015	2	Simbad	344.58151	+26.06197
     234	UGC 12308    	Scd	 33	119	 0.80	79	27	38	 1.4	2204	12.393	 0.139	 0.119	 0.655	 0.008	 0.010	0	Simbad	345.32803	+14.33948
     235	UGC 12518    	Sb 	 40	 25	 0.75	80	17	34	 2.0	3740	 3.869	 0.952	 0.127	 0.905	 0.004	 0.024	0	Simbad	350.05325	+07.93212
     236	UGC 12519    	Sc 	 62	157	 0.70	81	21	34	 1.6	4325	 5.886	 0.049	 0.047	-0.188	 0.025	 0.029	0	Simbad	350.01145	+15.95271
     237	UGC 12723    	Sc 	 77	 76	 0.83	82	17	27	 1.6	5400	 9.874	 0.081	 0.090	 0.588	 0.016	 0.023	0	Simbad	354.85004	+10.85008
     238	UGC 12857    	Sbc	 36	 34	 0.74	82	19	36	 1.9	2466	 4.287	 0.051	 0.049	 0.554	 0.014	 0.031	0	Simbad	359.19803	+01.35510

#Table	J_MNRAS_469_2539_tablec1:
#Name: J/MNRAS/469/2539/tablec1
#Title: Main PC eigenvectors of the 238 CVCs
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	R/Re	(F6.3)	Normalized PC radius	[ucd=phys.size.radius;arith.ratio]
#Column	u1	(F10.6)	PC eigenvector u1	[ucd=stat.fit.param]
#Column	u2	(F13.9)	PC eigenvector u2	[ucd=stat.fit.param]
#Column	u3	(F12.8)	PC eigenvector u3	[ucd=stat.fit.param]
#Column	u4	(F12.9)	PC eigenvector u4	[ucd=stat.fit.param]
#Column	u5	(F11.8)	PC eigenvector u5	[ucd=stat.fit.param]
recno	R/Re	u1	u2	u3	u4	u5
 	 	 	 	 	 	
--------	------	----------	-------------	------------	------------	-----------
       1	 0.050	 64.769320	 37.259213000	 11.21853000	 8.948954300	 4.64111780
       2	 0.054	 68.055877	 37.676725000	 10.94869600	 8.245330200	 3.94471580
       3	 0.057	 71.360914	 37.860693000	 10.53666600	 7.375107200	 3.13736660
       4	 0.062	 74.666903	 37.790020000	  9.97388110	 6.341990100	 2.23669090
       5	 0.066	 77.955658	 37.448003000	  9.25545200	 5.157990700	 1.27005090
       6	 0.071	 81.208198	 36.823327000	  8.38078790	 3.844267300	 0.27449214
