#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/927/44/table4&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19270044
#Name: J/ApJ/927/44
#Title: ELVES II: early-type satellites phot. & GC data (Carlsten+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/927/44	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/927/44	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2022ApJ...927...44C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/927/44	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19270044	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-10-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_927_44_table4:
#Name: J/ApJ/927/44/table4
#Title: Dwarf photometry and globular cluster (GC) results
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a14)	Satellite name	[ucd=meta.id;meta.main]
#Column	Host	(A8)	Host galaxy name	[ucd=meta.id.parent]
#Column	Dist	(F5.2)	[0/11.9] Host distance	[ucd=pos.distance;pos.heliocentric]
#Column	logM	(F5.2)	[5.58/8.47] Log of dwarf's stellar mass	[ucd=phys.mass]
#Column	Ngc	(F4.1)	[-6.5/16.2]? GC abundance from the simple background-subtraction analysis	[ucd=phys.abund]
#Column	e_Ngc	(F4.1)	[0/14.1]? Lower uncertainty on Ngc	[ucd=stat.error;stat.min;phys.abund]
#Column	E_Ngc	(F4.1)	[0/6.6]? Upper uncertainty on Ngc	[ucd=stat.error;stat.max;phys.abund]
#Column	Filt	(A2)	Filter combination (g/r or g/i)	[ucd=meta.id;instr.filter]
#Column	Source	(A6)	Source of data (CFHT/MegaCam, DECaLS...)	[ucd=meta.id;instr]
#Column	papI	(I3)	Display data from Paper I (Carlsten+ 2022, J/ApJ/933/47)	[ucd=meta.ref.url]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from Carlsten+ 2022, J/ApJ/933/47 (Paper I) or from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Carlsten+ 2022, J/ApJ/933/47 (Paper I) or from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	Host	Dist	logM	Ngc	e_Ngc	E_Ngc	Filt	Source	papI	SimbadName	_RA	_DE
     139	dw1048p1259   	NGC 3379	10.70	 6.03	 0.0	 3.3	 1.6	gi	HSC   	  1	[CGG2021] dw1048p1259   	162.21740	+12.99540
     140	dw1047p1257   	NGC 3379	10.70	 6.80	-1.6	 1.6	 1.6	gi	HSC   	  1	[CGG2021] dw1047p1257   	161.75250	+12.96040
     141	dw1044p1351   	NGC 3379	10.70	 6.47	 1.6	 3.1	 0.0	gi	HSC   	  1	[CGG2021] dw1044p1351   	161.15880	+13.85910
     142	dw1048p1303   	NGC 3379	10.70	 6.42	 1.6	 1.6	 1.6	gi	HSC   	  1	[CGG2021] dw1048p1303   	162.14920	+13.05980
     143	dw1048p1158   	NGC 3379	10.70	 6.50	 0.0	 3.1	 0.0	gi	HSC   	  1	[CGG2021] dw1048p1158   	162.05470	+11.96840
     144	dw1047p1258   	NGC 3379	10.70	 6.39	 0.8	 0.8	 0.8	gi	HSC   	  1	[CGG2021] dw1047p1258   	161.92550	+12.97540
     145	dw1049p1233   	NGC 3379	10.70	 6.60	 3.2	 1.7	 1.6	gi	HSC   	  1	[CGG2021] dw1049p1233   	162.35800	+12.55250
     146	dw1049p1247   	NGC 3379	10.70	 6.26	 2.4	 2.4	 0.8	gi	HSC   	  1	[CGG2021] dw1049p1247   	162.29770	+12.79250
     147	dw1047p1202   	NGC 3379	10.70	 6.32	 1.6	 0.0	 1.6	gi	HSC   	  1	[CGG2021] dw1047p1202   	161.91900	+12.04870
     148	dw1043p1415   	NGC 3379	10.70	 6.27	 1.6	 1.6	 1.6	gi	HSC   	  1	[CGG2021] dw1043p1415   	160.95720	+14.25540
     149	dw1044p1351B  	NGC 3379	10.70	 6.29	 0.0	 1.6	 1.6	gi	HSC   	  0	[CGG2021] dw1044p1351B  	161.16000	+13.85583
     150	dw1043p1410   	NGC 3379	10.70	 6.03	-1.6	 0.0	 1.6	gi	HSC   	  1	[CGG2021] dw1043p1410   	160.79480	+14.17990
     151	dw1050p1236   	NGC 3379	10.70	 6.03	 0.0	 1.6	 1.6	gi	HSC   	  1	[CGG2021] dw1050p1236   	162.64860	+12.60930
     152	dw1048p1154   	NGC 3379	10.70	 6.56	 2.4	 7.1	 3.9	gi	HSC   	  1	[CGG2021] dw1048p1154   	162.10390	+11.91230
     153	dw1044p1359   	NGC 3379	10.70	 5.99	 0.0	 1.6	 0.0	gi	HSC   	  1	[CGG2021] dw1044p1359   	161.10750	+13.99880
     154	dw1042p1359   	NGC 3379	10.70	 5.82	 0.0	 1.6	 0.0	gi	HSC   	  1	[CGG2021] dw1042p1359   	160.68860	+13.99050
     155	dw1050p1213   	NGC 3379	10.70	 5.75	 0.0	 1.6	 0.0	gi	HSC   	  1	[CGG2021] dw1050p1213   	162.60040	+12.21820
     156	dw1005m0744   	NGC 3115	10.20	 8.02	 6.6	 4.6	 4.9	gr	DECaLS	  1	[CGG2021] dw1005m0744   	151.39610	-07.74980
     157	dw1000m0821   	NGC 3115	10.20	 7.91	 4.9	 3.3	 1.6	gr	DECaLS	  1	[CGG2021] dw1000m0821   	150.04360	-08.35740
     158	dw1000m0741   	NGC 3115	10.20	 7.30	-1.7	 3.4	 1.7	gr	DECaLS	  1	[CGG2021] dw1000m0741   	150.00390	-07.68750
     159	dw1007m0715   	NGC 3115	10.20	 7.25	-1.6	 3.2	 1.6	gr	DECaLS	  1	[CGG2021] dw1007m0715   	151.83430	-07.26320
     160	dw1006m0730   	NGC 3115	10.20	 6.96	 0.0	 1.7	 0.0	gr	DECaLS	  1	[CGG2021] dw1006m0730   	151.55280	-07.50010
     161	dw1004m0657   	NGC 3115	10.20	 6.63	 0.0	 3.2	 1.6	gr	DECaLS	  1	[CGG2021] dw1004m0657   	151.15720	-06.95850
     162	dw1004m0737   	NGC 3115	10.20	 6.57	 0.9	 4.3	 2.6	gr	DECaLS	  1	[CGG2021] dw1004m0737   	150.99480	-07.64090
     163	dw1006m0732   	NGC 3115	10.20	 6.53	-1.7	 0.0	 1.7	gr	DECaLS	  1	[CGG2021] dw1006m0732   	151.61090	-07.54900
     164	dw1006m0730-n2	NGC 3115	10.20	 6.41	 4.9	 1.6	 1.6	gr	DECaLS	  1	[CGG2021] dw1006m0730-n2	151.64040	-07.50960
     165	dw1007m0830   	NGC 3115	10.20	 6.12	 0.0	 1.8	 0.0	gr	DECaLS	  1	[CGG2021] dw1007m0830   	151.94640	-08.50420
     166	dw1000m0831   	NGC 3115	10.20	 6.06	 1.7	 1.7	 0.0	gr	DECaLS	  1	[CGG2021] dw1000m0831   	150.22890	-08.53050
     167	dw1002m0642   	NGC 3115	10.20	 5.66	 0.0	 1.6	 0.0	gr	DECaLS	  1	[CGG2021] dw1002m0642   	150.65700	-06.70830
     168	dw1104p0003   	NGC 3521	11.20	 7.55	-4.0	 5.6	 2.4	gr	CFHT  	  1	[CGG2021] dw1104p0003   	166.16760	+00.05810
     169	dw1110p0037   	NGC 3521	11.20	 7.62	 4.8	 5.0	 1.6	gr	HSC   	  1	[CGG2021] dw1110p0037   	167.62310	+00.61690
     170	dw0855p3333   	NGC 2683	 9.40	 7.51	-1.7	 5.0	 3.3	gr	DECaLS	  1	[CGG2021] dw0855p3333   	133.84540	+33.55720
     171	dw0323m4040   	NGC 1291	 9.08	 7.84	 3.2	 3.2	 1.6	gr	DECaLS	  1	[CGG2021] dw0323m4040   	050.81730	-40.67770
     172	dw0317m4142   	NGC 1291	 9.08	 7.42	-1.6	 3.2	 1.6	gr	DECaLS	  1	[CGG2021] dw0317m4142   	049.25600	-41.70010
     173	dw0317m4058   	NGC 1291	 9.08	 7.48	-3.2	 3.2	 3.2	gr	DECaLS	  1	[CGG2021] dw0317m4058   	049.37250	-40.97280
     174	dw0318m4101   	NGC 1291	 9.08	 6.73	 1.6	 1.6	 0.0	gr	DECaLS	  1	[CGG2021] dw0318m4101   	049.67960	-41.02400
     175	dw0507m3744   	NGC 1808	 9.29	 7.37	 0.0	 1.6	 0.0	gr	DECaLS	  1	[CGG2021] dw0507m3744   	076.96740	-37.73850
     176	dw0508m3808   	NGC 1808	 9.29	 7.45	 1.6	 1.6	 0.0	gr	DECaLS	  1	[CGG2021] dw0508m3808   	077.13690	-38.14050
     177	dw0507m3739   	NGC 1808	 9.29	 7.01	 1.6	 3.3	 1.6	gr	DECaLS	  1	[CGG2021] dw0507m3739   	076.85300	-37.65180

