#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:44 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:45	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/485/4726&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74854726
#Name: J/MNRAS/485/4726
#Title: An all-sky view of the Orphan Stream (Koposov+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/485/4726	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/485/4726	    IVOID of underlying data collection
#INFO	creator=Koposov S.E.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.485.4726K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/485/4726	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74854726	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_MNRAS_485_4726_table15:
#Name: J/MNRAS/485/4726/table15
#Title: Subset of the likely Orphan RRL selected (Table 1 and 5)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RA_ICRS	(F9.5)	Right ascension (ICRS) at Ep=2015.5 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS) at Ep=2015.5 (1)	[ucd=pos.eq.dec;meta.main]
#Column	EBV	(F8.5)	Colour excess E(B-V)	[ucd=phot.color.excess]
#Column	pmRA	(F8.5)	Proper motion in right ascension (1)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F8.5)	Error on pmRA (1)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F8.5)	Proper motion in declination (1)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F8.5)	Error on pmDE (1)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDEcor	(F8.5)	Correlation between proper motion in right ascension and in declination (1)	[ucd=stat.correlation]
#Column	Gmag	(F8.5)	Gaia DR2 G-band magnitude (1)	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F8.5)	Gaia DR2 BP-RP colour index (1)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	E(BP/RP)	(F8.5)	Gaia DR2 BP/RP excess factor (1)	[ucd=arith.factor]
#Column	Dist	(F8.5)	Heliocentric distance	[ucd=pos.distance]
#Column	GaiaDR2	(I19)	Gaia DR2 source identifier	[ucd=meta.id;meta.main]
#Column	Period	(F15.12)	? Light-curve period	[ucd=time.period]
#Column	Type	(A4)	Bailey type	[ucd=meta.code;src.var]
#Column	r_Type	(I1)	References for Type (1)	[ucd=meta.note]
#Column	Note	(a8)	Reference legend (Gaia, PS1 or ThisWork)	[ucd=meta.note]
#Column	SimbadName	(A28)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
recno	RA_ICRS	DE_ICRS	EBV	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDEcor	Gmag	BP-RP	E(BP/RP)	Dist	GaiaDR2	Period	Type	r_Type	Note	SimbadName	_RA.icrs	_DE.icrs
      78	207.09524	-69.29161	 0.27706	-4.62432	 0.19834	 1.50199	 0.15400	 0.39842	17.66676	 0.98736	 1.23434	19.03553	5847167239825819392	 0.618552791746	RRab	1	Gaia    	Gaia DR2 5847167239825819392	207.09530	-69.29162
      79	253.17483	-75.83559	 0.07063	-3.62504	 0.13371	-1.60231	 0.17407	 0.28446	17.49688	 0.73318	 1.23265	21.84275	5778087368092046464	 0.618863443778	RRab	1	Gaia    	Gaia DR2 5778087368092046464	253.17489	-75.83558
      80	178.47428	-43.68166	 0.17361	-3.17291	 0.12747	 2.84283	 0.09370	 0.22201	17.14062	 0.66805	 1.25249	16.64579	5379867376317392384	 0.544673762710	RRab	1	Gaia    	Gaia DR2 5379867376317392384	178.47430	-43.68167
      81	147.24772	+36.61864	 0.01738	-0.24130	 0.39307	-0.62210	 0.35069	-0.57091	18.72447	 0.72584	 1.31784	40.64494	 796535460666541696	 0.621796954642	RRab	1	Gaia    	Gaia DR2  796535460666541696	147.24772	+36.61864
      82	145.61867	+41.56253	 0.01584	-0.31326	 0.33223	-0.83065	 0.32234	-0.34783	18.63753	 0.57391	 1.27926	39.11229	 813632316722202112	 0.604208082700	RRab	2	PS1     	Gaia DR2  813632316722202112	145.61867	+41.56253
      83	145.12251	+47.51018	 0.01347	 0.10927	 0.45178	-1.03410	 0.50469	-0.52589	19.05307	 0.61212	 1.25895	47.47855	 824633415890711424	 0.569499710307	RRab	1	Gaia    	Gaia DR2  824633415890711424	145.12251	+47.51018
      84	170.88507	-25.01275	 0.04218	-2.81842	 0.14942	 2.26622	 0.10912	-0.00707	16.80428	 0.66355	 1.21469	16.35709	3534348177226211456	 0.636357544788	RRab	1	Gaia    	Gaia DR2 3534348177226211456	170.88508	-25.01276
      85	151.89251	+24.83150	 0.03644	-1.04019	 0.41401	-0.41507	 0.36200	-0.03022	17.99300	 0.55738	 1.14750	28.44845	 738597146412411904	 0.620870195800	RRab	2	PS1     	Gaia DR2  738597146412411904	151.89251	+24.83150
      86	294.10578	-70.93839	 0.09833	-1.47871	 0.15784	-3.29851	 0.24220	-0.17484	17.87241	 0.69123	 1.24267	25.22561	6417394727568971136	 0.534644130109	RRab	1	Gaia    	Gaia DR2 6417394727568971136	294.10580	-70.93838
      87	251.05257	-75.43276	 0.08002	-3.88486	 0.13166	-1.75632	 0.18010	 0.13432	17.41441	 0.66331	 1.20343	20.82344	5781116488267821056	 0.602266369366	RRab	1	Gaia    	Gaia DR2 5781116488267821056	251.05264	-75.43275
      88	262.38297	-75.11211	 0.07639	-3.44672	 0.14670	-2.48451	 0.17462	 0.31195	17.49515	 0.61210	 1.20980	21.69437	5801592654652401792	 0.413789873843	RRc 	1	Gaia    	Gaia DR2 5801592654652401792	262.38303	-75.11210
      89	325.47683	-51.84139	 0.01760	 0.41532	 0.28147	-2.13989	 0.38450	 0.10677	18.52782	 0.60271	 1.24432	37.11717	6462635537944854144	 0.614625423345	RRd 	1	Gaia    	Gaia DR2 6462635537944854144	325.47683	-51.84138
      90	293.88802	-72.85065	 0.09903	-1.74488	 0.15443	-3.46839	 0.18893	-0.03008	17.82327	 0.65930	 1.26782	24.64319	6416229550183059456	 0.528530419436	RRab	1	Gaia    	Gaia DR2 6416229550183059456	293.88805	-72.85063
      91	147.37900	+38.73692	 0.01758	-0.57402	 0.30957	-0.09720	 0.37163	-0.51711	18.60833	 0.35754	 1.21622	38.51970	 800283700102935808	 0.286414610083	RRc 	1	Gaia    	Gaia DR2  800283700102935808	147.37900	+38.73692
      92	332.09312	-38.94579	 0.02308	 0.70340	 0.46859	-0.81903	 0.54922	 0.66737	19.25329	 0.25176	 1.24393	51.54407	6573547849980828544	 0.290280942481	RRc 	1	Gaia    	Gaia DR2 6573547849980828544	332.09312	-38.94579
      93	143.91322	+38.85322	 0.01574	-0.66267	 0.38259	-0.75366	 0.36940	-0.45141	18.73207	 0.39269	 1.26216	40.85724	 800895883264108416	 0.504137515569	RRab	1	Gaia    	Gaia DR2  800895883264108416	143.91322	+38.85322
      94	150.57983	+26.59800	 0.02592	-0.76281	 0.30955	-0.41920	 0.25900	 0.01276	18.18414	 0.89883	 1.30288	31.40962	 739774238034068736	 0.573731937400	RRab	2	PS1     	Gaia DR2  739774238034068736	150.57983	+26.59800
      95	141.77182	+46.35949	 0.01980	 0.16080	 0.38124	-0.68248	 0.35107	-0.30998	18.92929	 0.58710	 1.24444	44.55229	 819259204916849664	 0.639070355967	RRab	1	Gaia    	Gaia DR2  819259204916849664	141.77182	+46.35949
      96	160.48147	+00.58900	 0.05606	-1.76073	 0.19473	 1.07320	 0.17529	-0.18146	17.20611	 0.57165	 1.21256	19.39866	3807285480505638784	 0.394279000000	RRc 	3	ThisWork	Gaia DR2 3807285480505638784	160.48148	+00.58900
      97	206.99360	-69.24178	 0.28935	-4.06903	 0.19922	 1.52594	 0.14994	 0.41147	17.84217	 0.82466	 1.23803	20.37375	5847179407482829056	 0.504765870492	RRab	1	Gaia    	Gaia DR2 5847179407482829056	206.99365	-69.24179
      98	142.66280	+47.88663	 0.01103	 0.10568	 0.34790	-0.49924	 0.37046	-0.34635	18.84784	 0.41274	 1.25114	43.30709	 825603769261776384	 0.366486000000	RRc 	3	ThisWork	                            	142.66280	+47.88663
      99	164.40885	-07.64785	 0.03397	-2.03321	 0.17469	 1.37754	 0.13220	-0.08075	17.10466	 0.64973	 1.29340	18.94570	3763431527951488000	 0.527583209498	RRab	1	Gaia    	Gaia DR2 3763431527951488000	164.40886	-07.64786
     100	332.48780	-39.99293	 0.01609	 0.29529	 0.52006	-0.80656	 0.49877	 0.59976	19.15638	 0.52261	 1.24374	49.65581	6573256097145170816	 0.529252580210	RRab	1	Gaia    	Gaia DR2 6573256097145170816	332.48780	-39.99293
     101	173.14522	-32.19048	 0.06341	-2.81166	 0.09349	 2.45361	 0.07165	-0.43146	16.92074	 0.60708	 1.31145	16.87945	3478380320953877760	 0.526316198621	RRab	1	Gaia    	Gaia DR2 3478380320953877760	173.14523	-32.19049
     102	154.12588	+15.43856	 0.04171	-1.61997	 0.31213	 0.29480	 0.37431	-0.56339	17.69083	 0.63225	 1.20449	24.61672	3888592540017976448	 0.622140768400	RRab	2	PS1     	Gaia DR2 3888592540017976448	154.12589	+15.43856
     103	141.47245	+44.88603	 0.01812	-0.38689	 0.32479	-1.38072	 0.26468	-0.17175	18.72993	 0.46354	 1.20318	40.71542	 818328296524953600	 0.513157885084	RRab	1	Gaia    	Gaia DR2  818328296524953600	141.47245	+44.88604
     104	324.07434	-56.67151	 0.03258	 0.16552	 0.17916	-2.70655	 0.27750	 0.04580	18.15662	 0.59307	 1.24364	30.79888	6459240486556736640	 0.594872754366	RRab	1	Gaia    	Gaia DR2 6459240486556736640	324.07434	-56.67150
     105	166.80484	-13.89781	 0.05139	-2.19344	 0.17689	 1.67887	 0.13066	 0.06596	16.93747	 0.70772	 1.23762	17.22512	3563422387104579328	 0.627401905106	RRab	1	Gaia    	Gaia DR2 3563422387104579328	166.80485	-13.89782
     106	334.18879	-35.13671	 0.01411	-0.01796	 0.61519	-1.26353	 0.68746	 0.51431	19.48254	 0.38794	 1.28169	57.82333	6599538479498216832	 0.324481000000	RRc 	3	ThisWork	                            	334.18879	-35.13670
     107	315.74183	-61.19828	 0.04008	-0.00843	 0.25629	-3.11197	 0.23432	-0.03196	18.12451	 0.56502	 1.27772	30.10960	6451315000585489792	 0.597396528690	RRab	1	Gaia    	Gaia DR2 6451315000585489792	315.74183	-61.19827
     108	154.51885	+17.19445	 0.02845	-0.78053	 0.30528	-0.13230	 0.37160	-0.54381	17.64353	 0.46487	 1.25538	24.42245	 623767033930090112	               	RRc 	3	ThisWork	                            	154.51885	+17.19445
     109	149.99930	+28.14518	 0.01881	-0.73336	 0.34940	-0.64046	 0.35189	-0.63191	18.16125	 0.51535	 1.20835	31.31194	 740241152519155968	 0.379278025708	RRc 	1	Gaia    	Gaia DR2  740241152519155968	149.99930	+28.14518

