#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T06:08:59 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T06:08:59	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F661%2FA7%2Ftable2&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610007
#Name: J/A+A/661/A7
#Title: X-ray properties of eFEDS clusters and groups (Bahar+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	creator=Bahar Y.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A...7B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A7	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610007	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A7_table2:
#Name: J/A+A/661/A7/table2
#Title: X-ray observable measurements of eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A15)	Cluster ID (HHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	ID-SRC	(I5)	Unique source ID	[ucd=meta.id]
#Column	RAJ2000	(F8.4)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	ExtLike	(F5.1)	Extent likelihood	[ucd=stat.likelihood]
#Column	DetLike	(F6.1)	Detection likelihood	[ucd=stat.likelihood]
#Column	z	(F6.3)	Redshift	[ucd=src.redshift]
#Column	R500	(F6.3)	R500	[ucd=phys.angSize;src]
#Column	T500	(F6.3)	Temperature within R500	[ucd=phys.temperature]
#Column	e_T500	(F6.3)	Minus side error bar on T500	[ucd=stat.error]
#Column	E_T500	(F6.3)	Plus side error bar on T500	[ucd=stat.error;stat.max]
#Column	l_Lx500	(A1)	Limit flag on Lx500	[ucd=meta.code.error]
#Column	Lx500	(F7.3)	Soft band lumin within R500 (in 10^42^erg/s)	[ucd=phys.luminosity;em.X-ray]
#Column	e_Lx500	(F7.3)	? Minus side error bar on Lx500	[ucd=stat.error]
#Column	E_Lx500	(F8.3)	? Minus side error bar on Lx500	[ucd=stat.error;stat.max]
#Column	l_Lbol500	(A1)	Limit flag on Lbol500	[ucd=meta.code.error]
#Column	Lbol500	(F8.3)	Bolometric lumin within R500	[ucd=phys.luminosity]
#Column	e_Lbol500	(F8.3)	? Minus side error bar on Lbol500	[ucd=stat.error]
#Column	E_Lbol500	(F8.3)	? Plus side error bar on Lbol500	[ucd=stat.error;stat.max]
#Column	l_Mgas500	(A1)	Limit flag on Mgas500	[ucd=meta.code.error]
#Column	Mgas500	(F7.4)	Gas mass within R500	[ucd=phys.mass]
#Column	e_Mgas500	(F8.4)	? Minus side error bar on Mgas500	[ucd=stat.error]
#Column	E_Mgas500	(F8.4)	? Plus side error bar on Mgas500	[ucd=stat.error;stat.max]
#Column	l_Yx500	(A1)	Limit flag on Yx500	[ucd=meta.code.error]
#Column	Yx500	(F9.4)	Yx (gas mass times mean X-ray spectral temperature) within R500	[ucd=arith.factor;pos.distance]
#Column	e_Yx500	(F9.4)	? Minus side error bar on Yx500	[ucd=stat.error]
#Column	E_Yx500	(F9.4)	? Plus side error bar on Yx500	[ucd=stat.error;stat.max]
#Column	Tcex500	(F6.3)	Temperature within 0.15*R500-R500	[ucd=phys.temperature]
#Column	e_Tcex500	(F6.3)	Minus side error bar on Tcex500	[ucd=stat.error]
#Column	E_Tcex500	(F6.3)	Plus side error bar on Tcex500	[ucd=stat.error;stat.max]
#Column	l_Lxcex500	(A1)	Limit flag on Lxcex500	[ucd=meta.code.error]
#Column	Lxcex500	(F7.3)	Soft band lumin within 0.15*R500-R500	[ucd=phys.luminosity;em.X-ray]
#Column	e_Lxcex500	(F7.3)	? Minus side error bar on Lxcex500	[ucd=stat.error]
#Column	E_Lxcex500	(F8.3)	? Plus side error bar on Lxcex500	[ucd=stat.error;stat.max]
#Column	l_Lbolcex500	(A1)	Limit flag on Lbolcex500	[ucd=meta.code.error]
#Column	Lbolcex500	(F11.3)	Bolometric lumin within 0.15*R500-R500	[ucd=phys.luminosity]
#Column	e_Lbolcex500	(F7.2)	? Minus side error bar on Lbolcex500	[ucd=stat.error]
#Column	E_Lbolcex500	(F8.3)	? Plus side error bar on Lbolcex500	[ucd=stat.error;stat.max]
#Column	Texp	(I4)	Vignetted exposure at cluster center	[ucd=time.expo]
recno	ID	ID-SRC	RAJ2000	DEJ2000	ExtLike	DetLike	z	R500	T500	e_T500	E_T500	l_Lx500	Lx500	e_Lx500	E_Lx500	l_Lbol500	Lbol500	e_Lbol500	E_Lbol500	l_Mgas500	Mgas500	e_Mgas500	E_Mgas500	l_Yx500	Yx500	e_Yx500	E_Yx500	Tcex500	e_Tcex500	E_Tcex500	l_Lxcex500	Lxcex500	e_Lxcex500	E_Lxcex500	l_Lbolcex500	Lbolcex500	e_Lbolcex500	E_Lbolcex500	Texp
      46	083723.6+012413	 4731	129.3487	+01.4037	 27.3	  69.3	 0.349	 2.382	 3.800	 1.300	 3.500	 	 30.500	  5.400	   4.300	 	  92.000	  18.000	  32.000	 	10.4000	  1.5000	  1.7000	 	  39.0000	  14.0000	  39.0000	 3.200	 1.000	 3.100	 	 24.400	  4.700	   3.600	 	     69.000	  15.00	  21.000	1184
      47	083743.8-014128	 5321	129.4328	-01.6912	 11.8	  41.9	 1.043	 1.313	 3.110	 0.900	 3.610	 	148.000	 37.000	  38.000	 	 443.000	  98.000	 109.000	 	19.4000	  3.5000	  3.6000	 	  61.0000	  19.0000	  63.0000	 2.770	 0.910	 2.720	 	131.000	 39.000	  39.000	 	    375.000	  96.00	 100.000	1374
      48	083757.1-014217	 6303	129.4880	-01.7049	  8.5	  38.9	 0.855	 1.388	 3.700	 1.500	 4.600	<	 75.000	       	        	<	 240.000	        	        	<	13.0000	        	        	<	  62.0000	         	         	 3.900	 2.000	 9.700	<	 40.000	       	        	<	    150.000	       	        	1308
      49	083759.5-003643	 2456	129.4981	-00.6121	 11.7	 118.7	 0.451	 2.060	 3.090	 0.830	 2.360	 	 45.700	  6.100	   7.200	 	 130.000	  20.000	  35.000	 	11.2000	  1.7000	  2.1000	 	  36.0000	  11.0000	  26.0000	 2.900	 1.000	 4.700	 	 28.000	  6.100	   7.900	 	     83.000	  22.00	  38.000	1217
      50	083802.9+015626	 4511	129.5124	+01.9407	 55.8	  94.6	 0.360	 2.836	 7.100	 3.200	11.100	 	 37.500	  5.000	   6.600	 	 157.000	  43.000	 103.000	 	15.1000	  2.0000	  2.5000	 	 108.0000	  51.0000	 182.0000	 5.400	 2.000	 8.900	 	 29.400	  4.100	   5.900	 	    108.000	  26.00	  70.000	1186
      51	083806.9-003600	 5386	129.5289	-00.6002	  8.7	  17.5	 0.420	 2.266	 3.050	 0.960	 2.820	 	 25.800	  9.800	   8.100	 	  74.000	  29.000	  28.000	 	 9.9000	  2.5000	  2.8000	 	  31.0000	  12.0000	  28.0000	 2.960	 0.810	 1.510	 	 24.900	 11.200	   7.800	 	     69.000	  32.00	  25.000	1216
      52	083807.6+002501	19692	129.5321	+00.4171	  6.4	  15.1	 0.080	 3.444	 7.800	 4.500	10.500	 	  1.090	  0.210	   0.210	 	   4.600	   1.600	   3.300	 	 0.6600	  0.1300	  0.1600	<	  20.0000	         	         	 7.800	 3.900	13.700	 	  1.010	  0.200	   0.190	 	      4.500	   1.60	   3.400	1205
      53	083809.4-020450	10843	129.5394	-02.0808	  9.3	  19.8	 0.550	 1.597	 1.430	 0.340	 1.160	<	 46.000	       	        	<	 110.000	        	        	 	 5.9000	  1.5000	  2.1000	 	   9.0000	   3.3000	   8.0000	 1.680	 0.470	 1.600	 	 14.500	  7.000	  11.900	 	     34.000	  17.00	  30.000	1025
      54	083810.1+031520	 3035	129.5422	+03.2558	 14.5	  88.4	 0.347	 2.265	 1.730	 0.350	 0.730	 	 28.300	  4.200	   5.000	 	  66.000	  11.000	  14.000	 	 8.2000	  1.1000	  1.4000	 	  14.6000	   3.9000	   7.0000	 1.650	 0.280	 0.710	 	 20.100	  3.200	   5.200	 	     46.700	   8.30	  13.000	1182
      55	083811.8-015934	   53	129.5496	-01.9930	163.7	2105.1	 0.560	 2.926	 4.800	 0.800	 1.560	 	396.000	 26.000	  25.000	 	1320.000	 130.000	 160.000	 	32.0000	  6.0000	  4.0000	 	 151.0000	  34.0000	  55.0000	 6.900	 2.000	 4.800	 	102.000	 18.000	  16.000	 	    403.000	  85.00	 131.000	1144
      56	083817.4+041821	 6136	129.5727	+04.3060	 21.1	  56.6	 0.211	 3.028	 3.400	 1.400	 6.000	 	 11.300	  1.400	   1.400	 	  32.700	   6.600	  19.400	 	 5.4500	  0.8200	  0.9300	 	  18.5000	   8.0000	  33.3000	 4.400	 2.100	 8.700	 	  8.800	  1.200	   1.500	 	     28.800	   7.30	  22.100	1214
      57	083817.5-021704	 6195	129.5732	-02.2845	 33.7	  71.2	 0.565	 2.177	 4.600	 1.900	 5.300	 	130.000	 21.000	  23.000	 	 440.000	  94.000	 198.000	 	30.1000	  4.5000	  5.0000	 	 139.0000	  57.0000	 174.0000	 3.500	 1.200	 3.000	 	117.000	 21.000	  22.000	 	    348.000	  70.00	  98.000	 639
      58	083834.1+020643	 3905	129.6425	+02.1121	 29.1	  67.2	 0.457	 2.181	 3.700	 1.100	 2.900	 	 55.600	  7.400	   8.600	 	 169.000	  29.000	  51.000	 	15.2000	  1.9000	  2.5000	 	  57.0000	  18.0000	  45.0000	 4.600	 1.800	 5.200	 	 41.200	  6.300	   8.200	 	    140.000	  32.00	  53.000	1188
      59	083840.3+044416	 8186	129.6681	+04.7380	 17.9	  34.1	 0.455	 1.946	 2.590	 0.770	 1.930	 	 28.300	  3.200	   4.400	 	  76.000	  10.000	  21.000	 	10.0000	  1.5000	  1.8000	 	  26.4000	   8.6000	  20.8000	 2.270	 0.770	 2.370	 	 24.600	  3.100	   4.500	 	     63.100	   9.30	  21.000	1341
      60	083840.6-004134	 7463	129.6694	-00.6930	  9.5	  36.9	 0.462	 1.919	12.500	 6.400	10.500	 	 19.200	  6.300	   6.900	 	 106.000	  42.000	  67.000	 	 8.3000	  1.9000	  2.3000	<	 310.0000	         	         	13.000	 7.200	14.700	 	 18.000	  6.100	   6.500	 	    102.000	  42.00	  73.000	1207
      61	083856.9+030743	 7902	129.7372	+03.1287	  6.7	  31.1	 0.241	 2.239	 2.300	 1.400	 3.000	 	  3.700	  0.680	   0.760	 	   9.500	   2.600	   4.000	 	 1.1700	  0.5800	  0.5800	<	  10.0000	         	         	 5.400	 4.100	17.100	<	  3.700	       	        	<	     24.000	       	        	1190
      62	083857.5+020846	 1806	129.7398	+02.1464	 92.8	 192.1	 0.360	 3.019	 4.300	 1.100	 1.500	 	 95.600	  8.600	   8.400	 	 298.000	  37.000	  54.000	 	28.5000	  3.2000	  3.4000	 	 120.0000	  32.0000	  51.0000	 4.700	 1.400	 2.900	 	 77.300	  7.800	   9.700	 	    255.000	  36.00	  69.000	1200
      63	083858.5-015032	 6026	129.7441	-01.8424	  7.4	  49.5	 0.135	 3.038	 1.180	 0.180	 0.390	 	  1.090	  0.530	   0.410	 	   2.240	   1.080	   0.950	<	 1.5000	        	        	<	   1.8000	         	         	 1.480	 0.480	 1.750	<	  1.600	       	        	<	      3.400	       	        	1223
      64	083859.3+022841	 3315	129.7473	+02.4782	 11.5	  26.8	 0.359	 2.122	 4.900	 2.000	 6.800	 	 23.600	  3.200	   4.300	 	  81.000	  18.000	  48.000	 	 6.8000	  1.2000	  1.3000	 	  32.0000	  14.0000	  52.0000	 3.900	 1.600	 8.100	 	 16.000	  3.100	   4.200	 	     51.000	  14.00	  35.000	1187
      65	083900.6+020057	  736	129.7527	+02.0159	 39.3	 313.3	 0.359	 2.701	 3.460	 0.780	 1.360	 	 51.200	  4.400	   6.000	 	 149.000	  18.000	  26.000	 	 9.2000	  1.2000	  1.4000	 	  32.2000	   8.0000	  15.1000	 4.700	 1.600	 7.500	 	 20.500	  3.300	   5.500	 	     72.000	  17.00	  40.000	1201
      66	083903.5-011454	 7445	129.7649	-01.2485	 13.0	  38.9	 0.437	 1.883	 4.400	 2.100	 8.400	 	 27.100	  6.600	   8.100	 	  94.000	  29.000	  60.000	 	 9.4000	  1.8000	  1.9000	 	  41.0000	  19.0000	  82.0000	 4.400	 1.800	 8.900	 	 24.400	  5.500	   6.100	 	     82.000	  23.00	  56.000	1173
      67	083914.7-021226	 5360	129.8117	-02.2073	 21.4	  45.0	 0.187	 2.850	 1.680	 0.570	 0.720	 	  4.000	  1.300	   1.300	 	   9.000	   2.800	   3.100	 	 1.5900	  0.6600	  0.5700	 	   2.5000	   1.1000	   1.8000	 1.400	 0.560	 0.760	<	  4.000	       	        	<	      8.900	       	        	1086
      68	083916.7-020552	 7669	129.8198	-02.0979	 24.9	  29.6	 0.269	 2.508	 1.560	 0.170	 0.450	 	  5.600	  1.300	   2.700	 	  12.800	   2.800	   6.100	 	 2.6200	  0.9600	  1.4500	 	   4.4000	   1.7000	   2.5000	 1.550	 0.190	 0.290	 	  3.100	  1.200	   3.200	 	      6.900	   2.80	   7.100	1223
      69	083917.9-020839	15489	129.8247	-02.1442	 18.2	  15.0	 0.269	 2.266	 1.870	 0.330	 0.540	<	 18.000	       	        	<	  43.000	        	        	 	 3.4000	  1.5000	  1.7000	 	   6.4000	   2.9000	   4.1000	 1.810	 0.230	 0.450	<	 17.000	       	        	<	     40.000	       	        	1183
      70	083921.0-014149	12407	129.8377	-01.6970	 18.5	  26.5	 0.269	 2.990	 3.950	 0.750	 1.300	 	 19.900	  3.000	   2.600	 	  60.000	  10.000	  12.000	 	 9.6000	  1.3000	  1.4000	 	  38.1000	   9.0000	  14.0000	 4.240	 0.770	 1.920	 	 17.100	  2.800	   2.200	 	     54.000	  11.00	  13.000	1180
      71	083927.0-021357	10377	129.8627	-02.2328	  9.3	  22.5	 0.567	 1.767	 2.700	 0.800	 1.870	 	 20.100	  9.500	  21.600	 	  56.000	  28.000	  60.000	<	15.0000	        	        	<	  60.0000	         	         	 2.670	 0.810	 1.660	<	 47.000	       	        	<	    130.000	       	        	1156
      72	083929.0+043001	 3677	129.8711	+04.5003	 20.1	  76.6	 0.249	 2.582	 1.860	 0.390	 0.670	 	 11.400	  1.500	   1.400	 	  26.800	   3.900	   4.000	 	 3.9000	  0.9300	  0.7900	 	   7.2000	   2.2000	   3.3000	 2.000	 0.510	 1.310	 	  7.500	  1.400	   1.700	 	     18.300	   3.80	   5.500	1216
      73	083929.6-015005	15946	129.8736	-01.8348	 16.4	  21.3	 0.575	 1.907	 5.700	 3.100	 6.700	 	 39.100	  7.200	   7.800	 	 142.000	  36.000	  76.000	 	14.2000	  2.2000	  2.7000	<	 290.0000	         	         	 7.800	 4.700	14.500	 	 35.100	  7.000	   7.700	 	    151.000	  47.00	 115.000	1198
      74	083930.3-014348	 6979	129.8763	-01.7302	  7.8	  22.5	 0.271	 2.243	 1.930	 0.260	 0.410	 	  6.800	  2.700	   3.900	 	  16.100	   6.300	   9.900	 	 2.5000	  1.2000	  2.1000	<	  14.0000	         	         	 1.790	 0.210	 0.360	<	 15.000	       	        	<	     35.000	       	        	1178
      75	083933.8-014044	  356	129.8909	-01.6790	245.8	 663.7	 0.272	 4.501	 3.730	 0.590	 0.600	 	130.000	  7.000	  11.000	 	 386.000	  35.000	  43.000	 	38.0000	  3.3000	  3.9000	 	 142.0000	  25.0000	  29.0000	 3.560	 0.570	 0.730	 	 90.800	  7.800	  10.200	 	    265.000	  28.00	  36.000	1126
      76	083936.0+011445	 2898	129.9001	+01.2459	  7.4	  42.1	 0.149	 2.836	 1.720	 0.270	 0.580	 	  1.780	  0.590	   0.680	 	   4.200	   1.400	   1.600	 	 0.4900	  0.2300	  0.4500	<	   2.7000	         	         	 1.440	 0.370	 0.690	<	  1.700	       	        	<	      3.800	       	        	1216
      77	083937.8+014631	 7652	129.9079	+01.7754	 17.6	  38.0	 0.389	 2.088	 2.730	 0.880	 4.440	 	 22.600	  4.800	   4.000	 	  62.000	  14.000	  27.000	 	 7.7000	  1.6000	  1.6000	 	  21.5000	   8.0000	  33.5000	 2.070	 0.610	 2.390	 	 17.500	  4.800	   4.400	 	     44.000	  12.00	  14.000	1213
      78	083940.8+010416	 2832	129.9201	+01.0714	 27.3	  84.0	 0.157	 3.349	 2.570	 0.660	 1.690	 	  7.200	  0.920	   1.120	 	  19.200	   3.100	   4.600	 	 3.3000	  0.4800	  0.5600	 	   8.6000	   2.5000	   6.0000	 3.700	 1.600	 3.100	 	  5.300	  1.000	   1.000	 	     15.600	   3.70	   6.200	1206
      79	083945.5+031556	 7213	129.9396	+03.2657	 11.0	  32.9	 0.425	 1.859	 0.900	 0.190	 0.310	 	  9.000	  3.300	   3.700	 	  17.300	   6.200	   7.600	<	 3.6000	        	        	<	   4.0000	         	         	 1.010	 0.230	 0.430	<	  7.900	       	        	<	     16.000	       	        	1193
      80	083955.0+022425	 3270	129.9793	+02.4071	  9.0	  12.3	 0.189	 3.258	 1.220	 0.190	 0.360	 	  3.340	  0.710	   1.030	 	   7.000	   1.500	   2.600	 	 1.9700	  0.6200	  0.8400	 	   2.4900	   0.9200	   1.7400	 1.300	 0.210	 0.530	 	  2.280	  0.640	   1.170	 	      4.900	   1.40	   3.000	1215
      81	084000.0-013109	 7217	130.0002	-01.5194	 26.2	  53.8	 0.266	 3.130	 1.700	 0.220	 0.500	 	 19.000	  2.700	   3.800	 	  44.000	   6.400	   8.800	 	 9.2000	  1.5000	  1.6000	 	  16.0000	   3.6000	   5.5000	 1.730	 0.240	 0.510	 	 14.700	  2.600	   3.900	 	     34.600	   6.40	   8.900	1096
      82	084001.6+042452	 4839	130.0070	+04.4145	 14.8	  51.2	 0.259	 2.452	 3.200	 1.100	 2.400	 	  8.000	  1.900	   1.300	 	  22.400	   5.000	   7.100	 	 2.9600	  1.1900	  0.7500	 	   9.1000	   3.9000	   7.6000	 3.900	 1.800	 3.600	 	  4.400	  1.700	   1.300	 	     13.300	   4.80	   6.600	1221
      83	084003.2+003008	 2568	130.0137	+00.5023	 19.1	 104.0	 0.385	 2.223	 4.600	 2.000	 6.500	<	 15.000	       	        	<	  55.000	        	        	<	 7.3000	        	        	<	  36.0000	         	         	 7.200	 4.200	10.700	<	  7.200	       	        	<	     31.000	       	        	1211
      84	084004.8+013751	10272	130.0203	+01.6309	 13.1	  17.4	 0.342	 2.210	 2.600	 1.300	 5.900	 	  5.000	  1.200	   1.400	 	  13.400	   3.700	   9.500	 	 2.6300	  0.6700	  0.7800	<	  37.0000	         	         	 3.200	 1.800	 9.100	 	  2.900	  1.000	   1.500	 	      8.900	   3.90	   8.500	1213
      85	084006.1+025913	 2388	130.0258	+02.9871	 41.9	 117.5	 0.456	 2.307	 3.760	 0.970	 2.950	 	 61.500	  7.100	   8.600	 	 189.000	  30.000	  51.000	 	17.4000	  2.3000	  2.7000	 	  67.0000	  20.0000	  50.0000	 6.700	 3.200	 5.500	 	 44.400	  6.300	   9.300	 	    172.000	  41.00	  74.000	1208
      86	084011.6+034837	 5544	130.0487	+03.8104	 12.5	  39.3	 0.825	 1.469	 9.100	 6.000	12.300	 	 45.300	  7.900	  12.600	 	 211.000	  71.000	 132.000	 	 9.7000	  2.8000	  2.4000	<	 350.0000	         	         	11.400	 7.000	11.300	 	 27.000	 11.000	  12.000	 	    131.000	  62.00	  93.000	1215
      87	084016.6+033951	 6282	130.0695	+03.6644	  9.4	  35.5	 0.805	 1.443	17.100	 8.900	10.500	 	 46.000	 13.000	  13.000	 	 300.000	 110.000	 140.000	 	11.8000	  3.3000	  2.9000	<	 470.0000	         	         	14.100	 6.800	12.600	 	 37.000	 14.000	  13.000	 	    217.000	  89.00	 134.000	1199
      88	084021.6-022948	 5406	130.0901	-02.4967	 12.5	  29.3	 0.184	 2.978	 2.650	 0.620	 1.580	 	  7.200	  1.200	   1.000	 	  19.100	   3.400	   4.200	 	 3.7000	  0.5900	  0.6900	 	  10.1000	   3.0000	   5.7000	 2.310	 0.510	 1.100	 	  6.290	  1.140	   0.920	 	     15.900	   3.00	   3.500	1290
      89	084021.6+020132	 5639	130.0903	+02.0256	 31.1	  17.7	 0.357	 0.565	 0.760	 0.400	 1.990	 	  7.700	  2.300	   3.800	 	  17.300	   5.900	  15.300	 	 0.5400	  0.1500	  0.3100	 	   0.3700	   0.1400	   1.2000	 0.730	 0.290	 0.350	 	  7.200	  2.000	   3.000	 	     14.500	   4.20	   9.600	1215
      90	084034.5+023638	  250	130.1441	+02.6108	114.6	 661.8	 0.049	 7.565	 0.849	 0.033	 0.032	 	  0.952	  0.091	   0.108	 	   1.740	   0.170	   0.180	 	 0.2220	  0.0970	  0.1310	 	   0.1880	   0.0820	   0.1120	 9.200	 8.300	 9.000	 	  0.154	  0.072	   0.084	<	      2.000	       	        	1217
      91	084035.8+044036	 5844	130.1493	+04.6768	  8.6	  39.8	 0.793	 1.448	 3.300	 1.400	 3.400	 	 43.000	 15.000	  22.000	 	 130.000	  46.000	  65.000	 	 2.7000	  1.1000	  5.0000	<	  51.0000	         	         	 3.400	 1.400	 3.400	<	 53.000	       	        	<	    160.000	       	        	1320
      92	084044.7+024108	 8131	130.1863	+02.6858	  8.6	  19.8	 1.104	 1.220	 2.900	 1.200	 7.200	 	167.000	 43.000	  62.000	 	 510.000	 110.000	 180.000	 	19.0000	  3.1000	  3.9000	 	  55.0000	  19.0000	 113.0000	 3.100	 1.300	 5.700	 	141.000	 36.000	  52.000	 	    432.000	  98.00	 144.000	1216
      93	084051.7+014122	 7662	130.2156	+01.6895	 32.6	  54.3	 0.411	 2.263	14.200	 7.700	11.400	 	 31.600	  5.700	   4.600	 	 188.000	  69.000	  89.000	 	12.7000	  1.9000	  2.0000	<	 500.0000	         	         	15.900	 9.000	 8.600	 	 26.100	  4.900	   4.500	 	    160.000	  59.00	  67.000	1215
      94	084058.4+050407	 7625	130.2434	+05.0688	  7.3	  26.6	 1.265	 1.209	13.500	 8.500	13.100	<	300.000	       	        	<	2100.000	        	        	<	30.0000	        	        	<	 680.0000	         	         	10.000	 6.400	14.500	<	260.000	       	        	<	   1500.000	       	        	 776
      95	084102.1+044734	 6014	130.2591	+04.7930	 22.7	  50.5	 0.203	 2.972	 1.750	 0.230	 0.600	 	  7.300	  1.000	   1.200	 	  17.300	   2.700	   3.500	 	 4.0100	  0.6200	  0.7200	 	   7.2000	   1.6000	   2.9000	 1.660	 0.220	 0.250	 	  5.870	  0.920	   1.290	 	     13.500	   2.30	   3.300	1195
      96	084105.5+031639	 1906	130.2731	+03.2777	 32.3	 146.2	 0.337	 2.597	 3.380	 0.990	 4.020	 	 37.200	  4.000	   4.500	 	 107.000	  15.000	  41.000	 	11.5000	  2.2000	  1.8000	 	  37.0000	  12.0000	  45.0000	 3.100	 0.920	 2.720	 	 25.800	  4.500	   4.400	 	     74.000	  15.00	  21.000	1204
      97	084107.2+050459	 4300	130.2801	+05.0832	  8.1	  56.1	 0.288	 2.435	13.300	 5.800	 8.900	 	  8.800	  2.100	   1.700	 	  50.000	  16.000	  22.000	 	 2.5800	  0.7800	  1.1900	<	  91.0000	         	         	12.700	 7.100	10.400	 	  3.400	  1.600	   2.100	<	     49.000	       	        	 730
      98	084110.8+005200	 5702	130.2953	+00.8668	  7.1	  39.4	 0.415	 1.796	 3.600	 1.400	 6.200	 	  9.900	  3.600	   2.800	 	  31.000	  11.000	  17.000	<	 6.0000	        	        	<	  46.0000	         	         	 4.800	 2.500	 5.800	<	 11.000	       	        	<	     44.000	       	        	1179
      99	084111.8-001946	 7983	130.2994	-00.3297	 10.9	  18.9	 0.703	 1.959	 6.200	 3.500	 7.900	 	 66.000	 15.000	  16.000	 	 249.000	  71.000	 135.000	 	20.8000	  3.6000	  3.5000	<	 470.0000	         	         	 6.900	 4.100	13.400	 	 55.000	 13.000	  14.000	 	    222.000	  66.00	 161.000	1110
     100	084116.5+020700	 9822	130.3191	+02.1168	 10.1	  25.1	 0.580	 1.574	 7.100	 4.300	10.800	 	 15.500	  4.900	   6.300	 	  65.000	  25.000	  47.000	<	 8.9000	        	        	<	 120.0000	         	         	 7.300	 4.500	13.000	<	 23.000	       	        	<	    110.000	       	        	1214
     101	084124.1-023350	 9149	130.3505	-02.5641	 15.6	  30.4	 0.204	 2.792	 3.900	 1.600	 3.200	 	  4.650	  0.950	   1.210	 	  14.200	   3.800	   5.900	 	 2.4500	  0.5600	  0.8200	 	   9.3000	   4.1000	   9.3000	 8.800	 5.600	12.000	 	  3.150	  0.990	   1.310	 	     14.100	   6.00	  12.600	1341
     102	084124.7+004636	 6605	130.3530	+00.7768	 10.0	  41.8	 0.407	 1.997	 4.600	 2.200	15.600	 	 16.000	  3.200	   4.500	 	  56.000	  17.000	  58.000	 	 5.2000	  1.1000	  1.2000	<	 190.0000	         	         	 5.000	 2.800	 8.200	 	  9.500	  2.400	   4.900	 	     35.000	  13.00	  24.000	1157
     103	084129.0+002645	 5591	130.3708	+00.4460	 10.2	  56.2	 0.402	 2.156	 1.920	 0.450	 0.560	 	 41.800	  5.000	   5.800	 	  99.000	  12.000	  15.000	 	11.2000	  1.7000	  1.8000	 	  21.7000	   5.8000	   7.7000	 1.590	 0.420	 0.940	 	 34.000	  4.900	   6.000	 	     78.000	  12.00	  16.000	1134
     104	084134.1+043503	 7544	130.3925	+04.5844	 11.2	  40.9	 0.560	 1.815	 1.590	 0.280	 0.590	 	 20.200	  8.900	   8.400	 	  46.000	  20.000	  19.000	 	 8.1000	  2.5000	  2.3000	 	  12.9000	   4.5000	   5.9000	 1.740	 0.410	 1.020	 	 17.800	  8.200	   7.300	 	     43.000	  19.00	  19.000	1320
     105	084135.0+010150	 1644	130.3958	+01.0306	 16.5	 139.6	 0.507	 2.110	 3.000	 1.400	 3.600	 	 44.200	  8.000	  10.000	 	 125.000	  25.000	  52.000	 	 8.7000	  1.9000	  2.4000	 	  26.0000	  12.0000	  36.0000	 1.320	 0.330	 2.760	 	 23.700	  7.100	   9.400	 	     55.000	  17.00	  23.000	1171
     106	084135.7-005048	 4430	130.3988	-00.8468	  6.0	  60.0	 0.328	 2.178	 3.700	 1.600	12.900	 	 10.500	  3.400	   3.300	 	  34.000	  12.000	  34.000	<	 3.8000	        	        	<	  61.0000	         	         	 9.700	 6.800	14.000	<	  9.500	       	        	<	     54.000	       	        	1061
     107	084142.9+002841	 8433	130.4292	+00.4782	 19.2	  33.9	 0.206	 2.802	 1.430	 0.200	 0.440	 	  5.420	  1.000	   0.820	 	  11.900	   2.200	   2.400	 	 2.8800	  0.6200	  0.5700	 	   4.1000	   1.1000	   1.8000	 1.230	 0.130	 0.210	 	  4.000	  0.780	   0.790	 	      8.300	   1.80	   1.800	1135
