#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T06:09:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T06:09:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F661%2FA7%2Ftable1&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610007
#Name: J/A+A/661/A7
#Title: X-ray properties of eFEDS clusters and groups (Bahar+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	creator=Bahar Y.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A...7B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A7	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610007	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A7_table1:
#Name: J/A+A/661/A7/table1
#Title: Electron density model parameters of eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A15)	Cluster ID	[ucd=meta.id;meta.main]
#Column	ID-SRC	(I5)	Unique source ID	[ucd=meta.id]
#Column	n0	(F6.3)	n0 parameter of Vikhlinin06 model (1)	[ucd=phys.density]
#Column	e_n0	(F6.3)	Minus side error bar on n0	[ucd=stat.error]
#Column	E_n0	(F7.3)	Plus side error bar on n0	[ucd=stat.error;stat.max]
#Column	rs	(F5.1)	rs parameter of Vikhlinin06 model (1)	[ucd=phys.size.radius]
#Column	e_rs	(F5.1)	Minus side error bar on rs	[ucd=stat.error]
#Column	E_rs	(F5.1)	Plus side error bar on rs	[ucd=stat.error;stat.max]
#Column	epsilon	(F5.2)	epsilon parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_epsilon	(F5.2)	Minus side error bar on epsilon	[ucd=stat.error]
#Column	E_epsilon	(F5.2)	Plus side error bar on epsilon	[ucd=stat.error;stat.max]
#Column	beta	(F6.3)	beta parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_beta	(F6.3)	Minus side error bar on beta	[ucd=stat.error]
#Column	E_beta	(F6.3)	Plus side error bar on beta	[ucd=stat.error;stat.max]
#Column	alpha	(F5.2)	alpha parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_alpha	(F5.2)	Minus side error bar on alpha	[ucd=stat.error;pos.eq.ra]
#Column	E_alpha	(F5.2)	Plus side error bar on alpha	[ucd=stat.error;stat.max]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	ID	ID-SRC	n0	e_n0	E_n0	rs	e_rs	E_rs	epsilon	e_epsilon	E_epsilon	beta	e_beta	E_beta	alpha	e_alpha	E_alpha	Simbad
     111	084151.3-003358	 3706	 1.070	 0.740	  1.720	214.0	 59.0	 64.0	 3.00	 1.90	 1.40	 1.670	 0.760	 0.560	 0.73	 0.48	 0.52	Simbad
     112	084151.7+004351	 6543	 9.200	 8.300	 78.500	 49.0	 30.0	 38.0	 1.80	 1.30	 1.80	 2.020	 0.850	 0.390	 0.92	 0.71	 1.44	Simbad
     113	084151.9-010156	 6071	 5.500	 4.700	 13.200	 78.0	 23.0	 35.0	 2.60	 1.80	 1.60	 1.570	 0.710	 0.660	 0.88	 0.63	 0.85	Simbad
     114	084201.3+040534	 6988	 5.600	 5.200	118.300	 55.0	 25.0	 53.0	 2.70	 1.80	 1.50	 1.620	 0.740	 0.620	 1.80	 1.12	 0.69	Simbad
     115	084201.8+005941	 3334	 0.370	 0.200	  1.960	 88.0	 65.0	116.0	 2.60	 2.00	 1.80	 1.650	 0.950	 0.640	 1.00	 0.72	 1.47	Simbad
     116	084210.5+020558	 7967	 0.870	 0.700	 22.060	 60.0	 45.0	101.0	 2.50	 1.70	 1.70	 1.580	 0.830	 0.620	 1.27	 0.88	 1.34	Simbad
     117	084220.9+013844	 3295	 0.520	 0.330	  1.220	273.0	 92.0	 92.0	 2.50	 1.70	 1.70	 1.630	 0.800	 0.620	 1.41	 0.42	 0.27	Simbad
     118	084223.1+003340	 4993	 7.600	 6.800	171.700	 63.0	 38.0	 58.0	 2.70	 1.80	 1.60	 1.600	 0.740	 0.620	 2.10	 1.20	 1.30	Simbad
     119	084240.7-011643	 2859	 0.870	 0.760	 73.250	 38.0	 21.0	 48.0	 2.60	 1.90	 1.60	 1.680	 0.860	 0.610	 2.66	 1.22	 0.69	Simbad
     120	084246.9-000917	 4861	 3.200	 2.200	  3.900	170.0	 46.0	 54.0	 3.00	 1.90	 1.40	 1.720	 0.720	 0.570	 0.58	 0.41	 0.50	Simbad
     121	084253.7+002006	 6903	 5.600	 5.200	 35.700	 57.0	 22.0	 45.0	 1.90	 1.40	 2.20	 1.650	 0.790	 0.600	 1.17	 0.85	 1.02	Simbad
     122	084255.6+042332	 2475	 0.310	 0.160	  0.790	207.0	 70.0	 59.0	 2.60	 1.70	 1.60	 1.380	 0.680	 0.750	 2.00	 0.24	 0.18	Simbad
     123	084258.3-004037	 4269	 0.158	 0.047	  0.247	440.0	290.0	230.0	 2.10	 1.50	 1.90	 1.210	 0.600	 0.810	 0.32	 0.23	 0.60	Simbad
     124	084301.4+025741	11065	 2.100	 1.900	 43.700	 58.0	 30.0	 46.0	 2.60	 1.60	 1.60	 1.600	 0.720	 0.610	 2.02	 1.11	 0.60	Simbad
     125	084307.1+002839	 3336	 3.700	 2.900	 11.400	135.0	 43.0	 58.0	 2.80	 1.70	 1.50	 1.570	 0.790	 0.640	 1.15	 0.70	 0.53	Simbad
     126	084324.2-001438	 9590	 0.710	 0.520	  1.890	202.0	 76.0	 91.0	 2.50	 1.60	 1.60	 1.570	 0.800	 0.650	 0.96	 0.66	 0.58	Simbad
     127	084346.2+010833	12839	 0.370	 0.200	  0.680	224.0	 74.0	113.0	 2.40	 1.30	 1.30	 1.490	 0.590	 0.580	 0.84	 0.51	 0.64	Simbad
     128	084349.1+040404	19985	 6.500	 4.300	  9.600	168.0	 72.0	 65.0	 2.70	 1.90	 1.50	 1.520	 0.860	 0.700	 0.63	 0.42	 0.48	Simbad
     129	084353.9+031402	19202	 0.980	 0.760	  3.570	108.0	 44.0	 62.0	 2.30	 1.50	 1.70	 1.480	 0.690	 0.670	 1.03	 0.67	 0.62	Simbad
     130	084412.6-020514	 3396	 6.100	 4.900	175.800	 71.0	 53.0	 85.0	 2.60	 1.70	 1.60	 1.570	 0.800	 0.640	 1.37	 0.99	 1.41	Simbad
     131	084417.9+010415	 1812	 3.300	 2.400	  9.000	135.0	 51.0	 52.0	 2.00	 1.40	 1.90	 1.280	 0.660	 0.880	 1.33	 0.63	 0.42	Simbad
     132	084430.8+021736	 3541	 4.300	 3.700	 23.200	 95.0	 33.0	 46.0	 2.20	 1.40	 1.70	 1.510	 0.680	 0.700	 1.58	 0.85	 0.56	Simbad
     133	084434.3+031026	 4876	 3.200	 2.700	 17.400	111.0	 68.0	 63.0	 2.70	 1.80	 1.60	 1.620	 0.760	 0.610	 1.29	 0.83	 1.11	Simbad
     134	084438.5+041946	11610	 2.500	 2.100	  7.100	122.0	 43.0	 61.0	 2.90	 1.80	 1.50	 1.600	 0.750	 0.640	 0.99	 0.65	 0.61	Simbad
     135	084439.0+043302	 5668	 5.200	 4.600	 25.400	 85.0	 32.0	 45.0	 3.00	 1.70	 1.30	 1.820	 0.540	 0.430	 1.21	 0.80	 0.76	Simbad
     136	084441.3+021701	 1778	 0.220	 0.056	  0.195	233.0	 56.0	 57.0	 1.90	 1.30	 1.70	 0.810	 0.310	 0.540	 2.11	 0.15	 0.15	Simbad
     137	084454.0+010021	 4436	 0.400	 0.270	  5.100	190.0	 89.0	 83.0	 2.50	 1.70	 1.80	 1.500	 0.820	 0.720	 1.63	 0.90	 0.31	Simbad
     138	084459.2-011902	 4768	 0.290	 0.160	  1.590	240.0	110.0	100.0	 2.00	 1.50	 1.90	 1.280	 0.700	 0.750	 1.54	 0.49	 0.25	Simbad
     139	084501.0+012728	 1607	 2.400	 1.800	  9.600	145.0	 48.0	 61.0	 2.70	 1.90	 1.60	 1.620	 0.680	 0.590	 1.35	 0.67	 0.47	Simbad
     140	084528.6+032739	  144	 3.600	 1.800	  4.500	174.0	 51.0	 67.0	 1.90	 1.30	 1.90	 1.010	 0.440	 0.550	 1.67	 0.15	 0.13	Simbad
     141	084531.6+022831	 1039	 0.870	 0.480	  1.680	269.0	 87.0	 76.0	 2.40	 1.70	 1.70	 1.540	 0.690	 0.630	 1.67	 0.29	 0.19	Simbad
     142	084544.3-002914	 2214	 3.800	 2.300	 10.600	132.0	 55.0	 38.0	 3.40	 1.60	 1.20	 0.620	 0.220	 0.340	 1.18	 0.60	 0.44	Simbad
     143	084545.2+005535	 3660	 1.500	 1.300	 44.800	 59.0	 43.0	104.0	 2.60	 1.80	 1.70	 1.540	 0.770	 0.660	 1.60	 1.10	 1.50	Simbad
     144	084552.4+011714	 5804	 1.500	 1.200	 10.500	124.0	 76.0	 73.0	 2.70	 1.70	 1.60	 1.540	 0.810	 0.700	 1.28	 0.78	 0.89	Simbad
     145	084557.6+041103	25781	 0.460	 0.310	  1.940	155.0	 60.0	 83.0	 2.50	 1.70	 1.70	 1.720	 0.800	 0.550	 0.97	 0.66	 0.56	Simbad
     146	084558.1+012443	 9771	 1.290	 0.970	  4.010	141.0	 58.0	 68.0	 2.80	 1.90	 1.60	 1.600	 0.830	 0.610	 1.04	 0.72	 0.81	Simbad
     147	084559.7+031321	 5281	 0.310	 0.180	  2.080	164.0	 75.0	 84.0	 2.20	 1.60	 1.80	 1.260	 0.680	 0.830	 1.78	 0.49	 0.31	Simbad
     148	084607.6+000651	29318	 1.100	 0.820	  4.820	150.0	 61.0	 86.0	 2.70	 1.80	 1.60	 1.510	 0.700	 0.660	 0.91	 0.60	 0.56	Simbad
     149	084630.7+024702	13490	 0.200	 0.092	  0.784	230.0	100.0	110.0	 2.10	 1.50	 1.90	 1.180	 0.660	 0.880	 1.25	 0.53	 0.39	Simbad
     150	084637.1-002256	 2987	 2.200	 1.900	 18.600	114.0	 51.0	 73.0	 2.70	 1.70	 1.60	 1.530	 0.690	 0.700	 1.66	 1.04	 0.50	Simbad
     151	084640.3-010423	 9948	 3.500	 3.100	 23.100	 89.0	 42.0	 54.0	 3.00	 1.70	 1.40	 1.610	 0.810	 0.610	 1.31	 0.87	 0.69	Simbad
     152	084645.6+014947	 6215	 0.264	 0.064	  0.344	270.0	100.0	100.0	 0.98	 0.76	 2.14	 0.530	 0.150	 0.720	 1.67	 0.25	 0.22	Simbad
     153	084647.4+044607	 6656	 0.460	 0.230	  2.090	185.0	 81.0	 73.0	 1.70	 1.20	 2.00	 0.880	 0.410	 0.930	 1.70	 0.40	 0.27	Simbad
     154	084649.0+004946	11018	 1.050	 0.810	  6.100	 96.0	 65.0	 74.0	 2.50	 1.70	 1.70	 1.630	 0.810	 0.610	 1.11	 0.76	 1.07	Simbad
     155	084655.7-003705	 3712	 3.500	 3.000	 40.400	102.0	 45.0	 61.0	 2.70	 1.80	 1.60	 1.640	 0.810	 0.600	 1.63	 0.93	 0.48	Simbad
     156	084657.6-011314	 9845	 4.800	 4.100	 27.300	 86.0	 38.0	 54.0	 2.70	 1.80	 1.70	 1.650	 0.770	 0.600	 1.16	 0.74	 0.76	Simbad
     157	084717.7+033421	10507	 1.900	 1.600	 24.800	 52.0	 36.0	 64.0	 2.40	 1.60	 1.80	 1.610	 0.800	 0.600	 1.43	 0.99	 1.32	Simbad
     158	084729.7+013053	 5053	 0.720	 0.500	  3.650	185.0	 60.0	 82.0	 2.00	 1.50	 2.00	 1.610	 0.690	 0.620	 1.40	 0.69	 0.38	Simbad
     159	084751.7+025522	 4736	 2.100	 1.900	 11.000	 96.0	 33.0	 58.0	 2.70	 1.80	 1.60	 1.570	 0.740	 0.650	 1.45	 0.83	 0.56	Simbad
     160	084759.1+014903	 4709	 2.600	 2.100	 48.400	 77.0	 55.0	 88.0	 2.50	 1.70	 1.70	 1.610	 0.710	 0.640	 1.51	 0.97	 1.40	Simbad
     161	084823.2+041205	 2437	 0.890	 0.570	  8.460	128.0	 76.0	 57.0	 1.90	 1.40	 2.10	 0.990	 0.540	 0.970	 2.29	 0.34	 0.26	Simbad
     162	084833.2-012216	 1073	 2.200	 1.500	  5.600	177.0	 64.0	 69.0	 2.50	 1.60	 1.70	 1.670	 0.730	 0.590	 1.64	 0.35	 0.25	Simbad
     163	084852.9+035939	10165	 5.100	 4.500	 27.900	 79.0	 34.0	 52.0	 2.50	 1.60	 1.70	 1.590	 0.770	 0.640	 1.25	 0.82	 0.68	Simbad
     164	084905.3+021435	 7831	 0.480	 0.290	  2.450	200.0	100.0	130.0	 2.20	 1.60	 2.00	 1.510	 0.810	 0.690	 0.98	 0.67	 0.84	Simbad
     165	084910.6+024117	 9790	 5.000	 4.400	 48.200	 70.0	 40.0	 52.0	 2.40	 1.60	 1.70	 1.610	 0.800	 0.620	 1.61	 0.96	 0.88	Simbad
     166	084925.4+013840	14327	 1.700	 1.300	  4.800	162.0	 54.0	 74.0	 2.60	 1.70	 1.60	 1.580	 0.720	 0.640	 1.03	 0.61	 0.46	Simbad
     167	084934.9+014437	32680	 0.400	 0.210	  1.470	209.0	 88.0	115.0	 2.00	 1.50	 1.90	 1.130	 0.600	 0.910	 1.16	 0.54	 0.41	Simbad
     168	084939.6-005126	 2261	 0.420	 0.200	  1.280	205.0	 85.0	 69.0	 1.90	 1.40	 1.90	 1.000	 0.500	 0.870	 1.94	 0.28	 0.20	Simbad
     169	084957.4+004524	 8524	 5.800	 4.900	115.600	 70.0	 46.0	 88.0	 2.50	 1.70	 1.70	 1.470	 0.730	 0.720	 1.50	 1.00	 1.40	Simbad
     170	085018.3+020018	 5464	 4.200	 3.700	 58.400	 81.0	 38.0	 61.0	 2.60	 1.70	 1.60	 1.480	 0.700	 0.710	 1.78	 0.94	 0.51	Simbad
     171	085020.4+032819	 6529	 4.300	 3.200	  8.900	127.0	 36.0	 48.0	 2.80	 1.80	 1.60	 1.640	 0.640	 0.580	 0.85	 0.60	 0.59	Simbad
     172	085022.2+001607	 8602	 0.202	 0.065	  0.232	540.0	190.0	200.0	 2.60	 1.60	 1.80	 1.400	 0.740	 0.820	 0.57	 0.37	 0.44	Simbad
     173	085027.8+001503	 1023	 4.100	 2.400	  7.800	121.0	 38.0	 66.0	 0.84	 0.58	 0.68	 0.510	 0.120	 0.160	 1.31	 0.51	 0.25	Simbad
     174	085030.5+003330	 6125	 0.410	 0.230	  2.490	184.0	105.0	 96.0	 0.66	 0.48	 1.38	 0.510	 0.120	 0.340	 1.70	 0.43	 0.24	Simbad
     175	085051.8+015331	 8679	 1.800	 1.400	  8.300	126.0	 46.0	 57.0	 2.60	 1.60	 1.50	 1.670	 0.740	 0.550	 1.33	 0.86	 0.75	Simbad
     176	085056.4+005607	 3556	 0.850	 0.630	  5.420	156.0	 91.0	 88.0	 2.70	 1.70	 1.60	 1.580	 0.820	 0.620	 1.27	 0.79	 1.09	Simbad
     177	085119.9+022951	 2101	 2.700	 2.100	 11.300	166.0	 66.0	 84.0	 2.30	 1.60	 1.80	 1.430	 0.760	 0.740	 1.41	 0.66	 0.38	Simbad
     178	085121.2+012856	11156	 1.400	 1.100	  6.400	136.0	 51.0	 67.0	 2.60	 1.70	 1.60	 1.580	 0.720	 0.630	 1.19	 0.76	 0.55	Simbad
     179	085128.4+011501	 7355	 0.570	 0.380	  7.570	 80.0	 63.0	135.0	 2.70	 1.70	 1.50	 1.580	 0.740	 0.650	 0.93	 0.67	 1.30	Simbad
     180	085130.0-004609	18314	 0.820	 0.580	  3.210	171.0	 59.0	 75.0	 2.70	 1.70	 1.70	 1.610	 0.810	 0.620	 1.20	 0.68	 0.45	Simbad
     181	085131.0+045239	  863	 0.550	 0.270	  1.450	224.0	 77.0	 59.0	 2.50	 1.70	 1.70	 1.570	 0.700	 0.600	 2.09	 0.21	 0.15	Simbad
     182	085138.2-003537	 4508	 0.650	 0.460	  2.240	168.0	 67.0	106.0	 2.80	 1.80	 1.40	 1.500	 0.790	 0.720	 0.83	 0.58	 0.76	Simbad
     183	085141.9+021438	 7280	 1.140	 0.940	 21.880	 65.0	 44.0	 77.0	 2.40	 1.70	 1.80	 1.630	 0.780	 0.600	 1.50	 1.10	 1.30	Simbad
     184	085204.5+012132	 6636	 1.600	 1.200	  5.900	171.0	 66.0	 82.0	 2.40	 1.70	 1.80	 1.560	 0.830	 0.640	 1.24	 0.64	 0.45	Simbad
     185	085217.0-010131	  339	 1.210	 0.920	  4.150	240.0	 79.0	 87.0	 2.40	 1.50	 1.80	 1.750	 0.760	 0.530	 1.81	 0.58	 0.41	Simbad
     186	085230.6+002457	 2524	 1.050	 0.690	  2.540	212.0	 88.0	 80.0	 2.00	 1.40	 1.90	 1.370	 0.730	 0.720	 1.38	 0.42	 0.31	Simbad
     187	085231.1-011230	 4810	 1.050	 0.820	  7.860	142.0	 64.0	 74.0	 2.40	 1.70	 1.80	 1.490	 0.780	 0.670	 1.62	 0.73	 0.37	Simbad
     188	085239.6+003240	 5477	 2.000	 1.700	 38.700	 99.0	 48.0	 78.0	 2.20	 1.70	 2.00	 1.530	 0.850	 0.690	 1.68	 0.99	 0.44	Simbad
     189	085245.7-020519	 5790	 0.650	 0.400	  7.350	101.0	 51.0	 61.0	 2.50	 1.80	 1.70	 1.370	 0.790	 0.810	 2.20	 0.49	 0.38	Simbad
     190	085255.1-013737	 1376	 0.450	 0.340	  2.320	199.0	 77.0	106.0	 2.60	 1.70	 1.60	 1.580	 0.800	 0.640	 1.34	 0.70	 0.36	Simbad
     191	085256.8+052741	 6642	14.000	13.000	130.000	 47.0	 26.0	 33.0	 2.70	 1.70	 1.60	 1.580	 0.800	 0.630	 1.83	 1.16	 0.95	Simbad
     192	085325.6+030834	 9042	 2.500	 2.200	 36.700	 67.0	 27.0	 41.0	 2.80	 1.90	 1.50	 1.730	 0.740	 0.560	 1.75	 1.02	 0.70	Simbad
     193	085327.2-002117	 6003	 0.590	 0.410	  2.430	201.0	 71.0	 87.0	 2.60	 1.70	 1.70	 1.520	 0.770	 0.660	 1.40	 0.63	 0.35	Simbad
     194	085335.2+032214	 8596	 1.500	 1.200	  8.100	121.0	 46.0	 60.0	 2.70	 1.80	 1.50	 1.550	 0.730	 0.690	 1.36	 0.81	 0.51	Simbad
     195	085340.5+022411	 9213	 2.800	 2.400	  4.800	140.0	 50.0	 79.0	 2.20	 1.50	 1.90	 1.380	 0.820	 0.790	 0.77	 0.54	 0.70	Simbad
     196	085412.8-022123	 1458	 1.390	 0.930	  5.340	196.0	 68.0	 72.0	 2.70	 1.80	 1.60	 1.530	 0.710	 0.680	 1.81	 0.49	 0.25	Simbad
     197	085419.5-000925	 1294	 0.490	 0.300	  2.010	179.0	 84.0	 71.0	 0.96	 0.70	 1.45	 0.540	 0.130	 0.270	 1.97	 0.32	 0.18	Simbad
     198	085433.0+004009	 3675	 3.100	 2.800	 61.400	 37.0	 16.0	 29.0	 3.40	 1.80	 1.10	 1.590	 0.750	 0.650	 2.58	 1.53	 0.97	Simbad
     199	085434.5-014038	 8094	 0.640	 0.460	  2.800	159.0	 55.0	 71.0	 2.50	 1.70	 1.70	 1.440	 0.750	 0.700	 1.50	 0.67	 0.41	Simbad
     200	085436.6+003835	  328	10.700	 4.500	  9.900	104.0	 24.0	 18.0	 0.65	 0.42	 0.58	 0.570	 0.120	 0.110	 1.39	 0.25	 0.23	Simbad
     201	085438.5+001211	 5390	 0.580	 0.440	  7.430	107.0	 63.0	 95.0	 2.20	 1.50	 1.70	 1.370	 0.780	 0.790	 1.53	 0.84	 0.64	Simbad
     202	085440.4-020931	 7700	 6.500	 6.000	 47.400	 57.0	 25.0	 40.0	 2.50	 1.70	 1.70	 1.620	 0.690	 0.630	 1.45	 0.99	 0.81	Simbad
     203	085447.0-012132	 2079	 2.000	 1.400	  5.400	181.0	 66.0	 73.0	 2.50	 1.70	 1.70	 1.590	 0.760	 0.650	 1.21	 0.50	 0.38	Simbad
     204	085508.9-003445	 2810	 2.000	 1.800	 97.900	 57.0	 26.0	 42.0	 2.70	 1.80	 1.70	 1.730	 0.750	 0.550	 2.33	 1.26	 0.52	Simbad
     205	085517.2+013508	 6746	 0.670	 0.490	  2.250	263.0	 94.0	106.0	 2.60	 1.60	 1.40	 1.630	 0.670	 0.550	 1.13	 0.65	 0.41	Simbad
     206	085519.1-014315	 5909	 0.690	 0.560	 10.070	 66.0	 51.0	106.0	 2.70	 1.70	 1.60	 1.560	 0.720	 0.660	 1.04	 0.74	 1.34	Simbad
     207	085524.3+015012	23313	 0.240	 0.120	  0.390	300.0	100.0	130.0	 2.40	 1.70	 1.80	 1.570	 0.820	 0.650	 0.82	 0.46	 0.44	Simbad
     208	085530.1-010634	 1797	10.700	 9.000	 34.500	108.0	 41.0	 64.0	 2.60	 1.80	 1.70	 1.570	 0.810	 0.660	 1.17	 0.70	 0.56	Simbad
     209	085541.2+002740	 5589	 0.720	 0.540	  5.590	 84.0	 61.0	 86.0	 3.20	 2.00	 1.30	 1.700	 0.770	 0.570	 1.14	 0.81	 1.27	Simbad
     210	085542.6+032807	 8925	 0.960	 0.640	 11.490	 73.0	 56.0	113.0	 2.70	 1.80	 1.60	 1.440	 0.770	 0.730	 1.10	 0.80	 1.35	Simbad
     211	085547.0+025458	 8799	 2.700	 2.200	 65.400	 53.0	 36.0	 86.0	 2.30	 1.60	 1.90	 1.720	 0.860	 0.540	 1.60	 1.10	 1.60	Simbad
     212	085604.8+002520	 8826	 0.780	 0.500	  1.380	280.0	110.0	130.0	 2.10	 1.60	 2.00	 1.020	 0.510	 1.010	 0.85	 0.54	 0.41	Simbad
     213	085616.1-013945	 8922	 0.850	 0.660	 11.410	 21.0	 16.0	 38.0	 3.00	 1.90	 1.50	 1.720	 0.860	 0.560	 1.02	 0.73	 1.70	Simbad
     214	085620.7+014649	  569	 1.080	 0.720	  3.520	173.0	 59.0	 62.0	 2.50	 1.80	 1.70	 1.490	 0.640	 0.630	 2.09	 0.31	 0.20	Simbad
     215	085623.6-013612	16370	 0.810	 0.650	  3.860	139.0	 68.0	 93.0	 2.70	 1.80	 1.70	 1.570	 0.810	 0.640	 1.29	 0.80	 0.54	Simbad
     216	085624.3+004632	32576	 2.200	 1.800	  5.500	123.0	 43.0	 56.0	 2.80	 1.90	 1.60	 1.740	 0.760	 0.550	 0.90	 0.64	 0.63	Simbad
     217	085626.2+021348	 5697	 0.183	 0.073	  0.344	295.0	 90.0	 90.0	 2.10	 1.50	 1.80	 1.180	 0.590	 0.870	 1.53	 0.31	 0.22	Simbad
     218	085627.2+014217	 1385	18.000	15.000	 36.000	 99.0	 31.0	 47.0	 2.60	 1.70	 1.70	 1.550	 0.770	 0.640	 0.82	 0.58	 0.64	Simbad
     219	085635.0+031342	24300	 0.760	 0.590	 10.360	 53.0	 42.0	 87.0	 2.60	 1.70	 1.70	 1.690	 0.830	 0.560	 1.28	 0.86	 1.58	Simbad
     220	085650.4-022200	 5261	 1.020	 0.810	  2.650	162.0	 48.0	 62.0	 2.60	 1.70	 1.60	 1.700	 0.730	 0.550	 1.12	 0.64	 0.54	Simbad
     221	085705.9+011453	 3128	 1.600	 1.200	  4.800	218.0	 74.0	 86.0	 2.60	 1.80	 1.70	 1.480	 0.740	 0.760	 1.07	 0.68	 0.45	Simbad
     222	085728.3+032354	 6278	 0.810	 0.580	  3.520	167.0	 70.0	 75.0	 2.10	 1.50	 1.90	 0.930	 0.460	 0.830	 1.25	 0.64	 0.44	Simbad
     223	085740.1-020037	 7884	 1.050	 0.880	  4.620	155.0	 56.0	 97.0	 2.50	 1.70	 1.70	 1.550	 0.710	 0.650	 1.16	 0.71	 0.50	Simbad
     224	085744.0-022448	12696	 0.164	 0.092	  0.406	239.0	 87.0	106.0	 2.50	 1.60	 1.70	 1.550	 0.770	 0.660	 1.07	 0.63	 0.48	Simbad
     225	085751.6+031039	  108	23.900	 8.000	 13.500	102.0	 15.0	 21.0	 1.52	 0.74	 0.57	 0.500	 0.110	 0.150	 1.15	 0.20	 0.17	Simbad
     226	085801.1-004103	11717	 0.580	 0.440	  2.090	142.0	 52.0	 62.0	 2.50	 1.70	 1.60	 1.570	 0.770	 0.660	 1.32	 0.73	 0.49	Simbad
     227	085805.0+010906	 4070	 7.800	 3.300	  6.800	 72.0	 13.0	 15.0	 0.92	 0.46	 0.38	 0.411	 0.054	 0.080	 1.14	 0.46	 0.34	Simbad
     228	085830.0-010656	 4297	 0.580	 0.420	  1.560	212.0	 64.0	 81.0	 2.60	 1.60	 1.60	 1.690	 0.750	 0.590	 1.24	 0.60	 0.39	Simbad
     229	085837.9+012657	 8857	 2.700	 2.400	 92.400	 42.0	 32.0	 67.0	 2.50	 1.70	 1.70	 1.620	 0.800	 0.610	 1.50	 1.00	 1.50	Simbad
     230	085841.8-020541	 2367	 0.520	 0.410	  6.920	126.0	 59.0	 78.0	 2.60	 1.80	 1.60	 1.380	 0.670	 0.730	 1.87	 0.68	 0.32	Simbad
     231	085849.8+022800	  715	 0.186	 0.083	  0.785	241.0	120.0	 89.0	 1.60	 1.20	 2.10	 0.740	 0.310	 0.750	 2.24	 0.30	 0.30	Simbad
     232	085901.1-012025	 3527	 7.400	 6.700	 30.600	101.0	 39.0	 70.0	 2.60	 1.70	 1.70	 1.600	 0.750	 0.650	 1.23	 0.79	 0.69	Simbad
     233	085901.5+010649	 2757	 1.230	 0.920	  5.000	151.0	 50.0	 65.0	 2.40	 1.40	 1.70	 1.550	 0.650	 0.670	 1.55	 0.64	 0.37	Simbad
     234	085907.3-005056	16320	 0.211	 0.098	  0.478	330.0	120.0	140.0	 2.40	 1.80	 1.80	 1.340	 0.760	 0.880	 0.75	 0.52	 0.47	Simbad
     235	085913.1+031334	  485	 0.203	 0.092	  0.345	149.0	 42.0	 41.0	 1.50	 1.20	 2.20	 0.670	 0.270	 1.220	 2.64	 0.13	 0.16	Simbad
     236	085931.9+030839	  360	 0.970	 0.510	  1.290	243.0	 79.0	 79.0	 2.40	 1.70	 1.70	 1.460	 0.660	 0.700	 1.82	 0.14	 0.12	Simbad
     237	085939.1-004932	 6894	 1.280	 1.000	  3.470	162.0	 64.0	 75.0	 2.60	 1.80	 1.70	 1.650	 0.790	 0.610	 0.98	 0.65	 0.55	Simbad
     238	085948.9+041120	 1350	 0.280	 0.160	  1.000	204.0	 84.0	 61.0	 2.30	 1.70	 1.90	 1.360	 0.750	 0.740	 2.10	 0.25	 0.17	Simbad
     239	085950.1-001221	 4539	 0.820	 0.650	  4.490	174.0	 70.0	 89.0	 2.40	 1.60	 1.70	 1.560	 0.730	 0.640	 1.42	 0.71	 0.37	Simbad
     240	085954.2-013308	13823	 1.900	 1.700	 54.200	 56.0	 38.0	 73.0	 2.30	 1.60	 1.80	 1.540	 0.760	 0.640	 2.00	 1.20	 1.10	Simbad
