#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:30:55 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:30:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJS%2F172%2F599%2Ftable1&-out=AGC,OName,RAJ2000,DEJ2000,TT,r23.5,r.83,Isb,ell,e_ell,Imag,e_Imag,TF&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21720599
#Name: J/ApJS/172/599
#Title: SFI++ II. A new I-band Tully-Fisher catalog (Springob+, 2007)
#INFO	ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2007ApJS..172..599S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/172/599	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21720599	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_172_599_table1:
#Name: J/ApJS/172/599/table1
#Title: Additional photometric parameters
#Column	AGC	(I6)	Entry number in the UGC or AGC (G1)	[ucd=meta.id;meta.main]
#Column	OName	(A8)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TT	(I2)	Morphological type code T	[ucd=meta.code;src.morph]
#Column	r23.5	(F5.1)	Isophotal radius at a surface magnitude of 23.5 mag/arcsec2	[ucd=phys.angSize]
#Column	r.83	(F5.1)	Optical radius containing 83% of the light	[ucd=phys.angSize;src]
#Column	Isb	(F6.2)	Surface magnitude at outermost I isophote	[ucd=phot.mag.sb;em.opt.I]
#Column	ell	(F6.3)	Disk ellipticity	[ucd=src.ellipticity]
#Column	e_ell	(F6.3)	Error on the Ellip	[ucd=stat.error]
#Column	Imag	(F6.2)	Observed I-band magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Imag	(F5.2)	Error on Imag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	TF	(A1)	[*] Code indicating inclusion in TF sample	[ucd=meta.note]
AGC	OName	RAJ2000	DEJ2000	TT	r23.5	r.83	Isb	ell	e_ell	Imag	e_Imag	TF
  3235	        	05 05 33.4	+67 00 33	 5	 30.3	 54.9	 23.53	 0.482	 0.065	 14.07	 0.13	
 24033	553 G  3	05 06 37.1	-17 33 20	 5	 43.1	 32.5	 23.71	 0.299	 0.116	 12.43	 0.04	
 24065	N1824   	05 06 56.2	-59 43 26	 6	 96.4	 79.1	 24.20	 0.763	 0.056	 11.99	 0.04	*
  3248	420-036 	05 07 06.6	+03 58 41	 3	 53.6	 45.6	 23.96	 0.660	 0.023	 12.86	 0.04	
 24056	553 G  6	05 07 44.5	-19 37 25	 5	 20.9	 26.8	 23.75	 0.406	 0.064	 14.77	 0.06	
 24109	33 G 15 	05 08 23.3	-73 08 18	 5	 25.7	 19.6	 24.22	 0.601	 0.019	 14.10	 0.04	
 24090	N1796B  	05 08 27.3	-61 22 02	 5	 32.6	 32.0	 24.51	 0.237	 0.077	 13.12	 0.05	*
 24091	422 G 40	05 10 13.9	-29 24 12	 4	 39.7	 30.0	 24.52	 0.506	 0.188	 12.52	 0.04	*
450232	n96     	05 11 02.9	-09 22 29	 7	 14.6	 16.4	 23.87	 0.476	 0.038	 15.82	 0.16	*
 24101	553 G 16	05 11 05.9	-18 25 40	 5	 39.9	 56.4	 23.69	 0.725	 0.032	 14.29	 0.12	
450026	M-214003	05 11 07.7	-09 23 19	 5	 66.9	 50.0	 23.83	 0.717	 0.025	 12.27	 0.05	
 24102	553 G 17	05 11 11.4	-19 36 47	 5	 35.1	 28.0	 23.49	 0.719	 0.034	 14.26	 0.06	
  3252	307-005 	05 11 45.5	+67 29 18	 5	 51.9	 42.4	 24.00	 0.261	 0.033	 11.99	 0.04	
450231	n96     	05 12 00.5	-09 07 58	 4	 21.2	 16.5	 22.54	 0.744	 0.013	 15.19	 0.11	
450033	N1832   	05 12 03.3	-15 41 17	 4	 79.1	 48.1	 23.60	 0.326	 0.066	 10.44	 0.03	
 24131	N1853   	05 12 16.4	-57 23 53	 7	 69.6	116.5	 24.63	 0.380	 0.061	 12.16	 0.08	*
 24124	305 G 14	05 12 34.1	-39 51 35	 5	 38.3	 31.0	 24.33	 0.535	 0.069	 13.03	 0.04	
 24129	305 G 15	05 12 50.5	-41 38 01	 4	 41.9	 28.8	 24.23	 0.723	 0.022	 13.09	 0.03	
 24128	486 G 36	05 13 16.2	-24 56 19	 3	 24.4	 17.7	 24.18	 0.542	 0.056	 14.06	 0.04	
 24127	553 G 26	05 13 17.9	-22 13 32	 3	 36.2	 29.3	 25.03	 0.614	 0.021	 13.42	 0.04	
  3269	421-006 	05 14 06.9	+06 31 14	 4	 26.1	 19.1	 24.70	 0.245	 0.019	 13.23	 0.03	
 24135	423 G  1	05 14 08.2	-27 44 53	 3	 22.7	 15.4	 23.73	 0.458	 0.017	 13.69	 0.02	
  3259	328-033 	05 14 16.1	+72 20 02	 5	 47.6	 51.4	 24.10	 0.264	 0.042	 12.58	 0.08	
 24150	119 G 46	05 14 29.5	-62 09 41	 5	 38.5	 24.6	 23.82	 0.707	 0.038	 12.83	 0.02	
150046	421-007 	05 14 53.4	+05 24 44	 3	 28.3	 19.0	 23.67	 0.551	 0.026	 13.20	 0.02	
 24153	159 G  2	05 15 06.3	-53 44 17	 4	 43.5	 32.2	 23.95	 0.344	 0.028	 12.28	 0.03	*
450042	UA108   	05 15 16.0	-30 31 41	 6	 86.3	 66.8	 24.35	 0.700	 0.032	 11.90	 0.04	*
  3270	421-010 	05 15 19.9	+06 28 24	 5	 25.2	 19.3	 23.56	 0.505	 0.030	 13.94	 0.03	
150059	421-011 	05 15 36.0	+07 11 48	 5	 27.9	 19.4	 24.57	 0.573	 0.021	 13.68	 0.02	
150063	421-013 	05 15 46.9	+06 46 36	 5	 28.2	 23.2	 24.09	 0.770	 0.016	 14.69	 0.03	
 24145	486 G 41	05 15 49.4	-23 28 30	 3	 35.6	 22.6	 24.58	 0.542	 0.052	 12.96	 0.04	
  3272	A539-17 	05 16 14.2	+06 06 24	 3	 39.4	 32.0	 24.17	 0.701	 0.021	 13.42	 0.04	*
 24159	362 G 11	05 16 39.0	-37 05 58	 5	110.7	 82.0	 24.19	 0.748	 0.023	 11.37	 0.03	
 24177	N1892   	05 17 08.0	-64 57 41	 3	 82.3	 60.9	 23.69	 0.648	 0.065	 11.44	 0.03	
  3279	421-020 	05 17 09.8	+06 55 37	 4	 54.7	 37.9	 24.51	 0.756	 0.084	 12.80	 0.02	
150118	A539-073	05 17 35.4	+06 35 41	 3	 40.5	 40.1	 23.06	 0.734	 0.021	 13.84	 0.05	*
450046	I 407   	05 17 42.5	-15 31 23	 5	 59.2	 33.7	 23.86	 0.716	 0.014	 12.11	 0.03	
  3283	        	05 17 45.9	-01 11 13	 5	 43.5	 33.5	 24.27	 0.823	 0.039	 13.83	 0.02	
 24169	423 G  4	05 17 57.8	-29 42 02	 5	 39.8	 29.0	 23.11	 0.774	 0.012	 13.57	 0.03	
 24397	4 G 19  	05 18 49.7	-86 23 09	 4	 38.5	 38.9	 24.08	 0.279	 0.089	 13.10	 0.04	
 24175	553 G 32	05 18 52.9	-17 30 56	 3	 25.6	 17.6	 23.06	 0.464	 0.024	 13.50	 0.02	
  3277	307-009 	05 19 10.6	+65 28 11	 5	 51.9	 47.4	 24.05	 0.653	 0.015	 13.08	 0.05	
 24209	85 G 69 	05 19 16.8	-62 32 05	 5	 29.2	 24.1	 24.75	 0.679	 0.053	 14.20	 0.04	
 24207	119 G 52	05 19 18.7	-61 39 43	 3	 34.1	 29.4	 24.31	 0.331	 0.055	 13.08	 0.04	
  3253	362-005 	05 19 41.7	+84 03 08	 3	 47.7	 31.9	 23.75	 0.452	 0.020	 12.16	 0.03	
 24197	N1879   	05 19 48.3	-32 08 31	 7	 59.8	 65.1	 24.66	 0.238	 0.083	 12.09	 0.06	*
 24193	553 G 36	05 19 50.5	-20 58 00	 3	 27.4	 19.8	 24.14	 0.663	 0.011	 14.04	 0.02	
 24205	204 G  1	05 19 52.9	-49 45 07	 5	 19.6	 19.1	 25.22	 0.616	 0.040	 15.20	 0.06	*
  3289	421-029 	05 20 06.0	+06 34 56	 3	 31.3	 26.9	 24.33	 0.658	 0.033	 13.89	 0.04	
  3291	421-032 	05 20 26.3	+06 34 13	 5	 29.8	 23.3	 24.28	 0.590	 0.028	 13.99	 0.03	
150149	421-033 	05 20 37.3	+05 08 54	 5	 31.2	 18.0	 24.36	 0.683	 0.015	 13.35	 0.02	*
 24206	486 G 58	05 20 44.4	-24 40 09	 5	 30.5	 27.5	 24.62	 0.652	 0.023	 14.43	 0.04	*
 24214	362 G 19	05 21 04.1	-36 57 24	 6	 69.6	 65.4	 23.93	 0.751	 0.026	 13.13	 0.04	*
  3284	        	05 21 23.1	+72 42 05	 5	 25.9	 25.3	 23.54	 0.332	 0.083	 13.94	 0.06	
 24216	N1886   	05 21 48.4	-23 48 45	 3	 87.9	 56.3	 24.38	 0.815	 0.024	 11.65	 0.03	
 24231	553 G 39	05 23 03.3	-17 57 44	 3	 26.2	 21.5	 23.78	 0.567	 0.062	 14.05	 0.03	
 24239	553 G 40	05 23 36.7	-19 57 03	 5	 29.0	 31.0	 24.36	 0.575	 0.020	 14.44	 0.05	
450056	I 416   	05 23 56.7	-17 15 40	 5	 41.9	 32.7	 24.33	 0.515	 0.030	 12.71	 0.03	
 24270	120 G  1	05 24 31.7	-61 21 54	 3	 28.6	 25.0	 24.17	 0.545	 0.122	 13.97	 0.05	
 24253	423 G 12	05 24 36.8	-28 32 51	 3	 34.8	 24.1	 24.68	 0.677	 0.006	 13.35	 0.04	
 24273	305 G 25	05 25 47.4	-39 54 27	 3	 33.9	 21.5	 25.20	 0.309	 0.038	 12.47	 0.05	
 24279	553 G 44	05 26 43.8	-19 12 39	 3	 48.8	 28.9	 24.90	 0.735	 0.021	 12.42	 0.04	
450061	N1924   	05 28 01.9	-05 18 43	 4	 49.3	 32.2	 24.62	 0.285	 0.027	 11.47	 0.02	
 24302	306 G  2	05 28 36.4	-41 29 28	 5	 36.1	 31.3	 24.93	 0.808	 0.013	 14.48	 0.05	
 24305	253 G  6	05 28 48.3	-44 10 40	 5	 26.8	 42.5	 24.25	 0.194	 0.063	 13.78	 0.06	*
 24351	33 G 20 	05 28 50.1	-76 28 11	 5	 22.0	 13.9	 24.70	 0.333	 0.059	 13.36	 0.04	
 24299	554 G  1	05 28 54.3	-20 56 14	 5	 22.6	 19.0	 23.58	 0.532	 0.016	 14.35	 0.03	
 24309	253 G  7	05 28 56.7	-47 23 28	 4	 33.5	 24.1	 24.26	 0.342	 0.056	 12.75	 0.04	
 24496	4 G 20  	05 29 29.6	-85 55 39	 3	 30.8	 22.4	 24.25	 0.370	 0.111	 13.05	 0.02	
 24311	487 G 16	05 29 53.4	-23 49 56	 5	 24.8	 20.8	 24.23	 0.517	 0.010	 14.21	 0.05	
 24336	120 G  3	05 30 28.1	-62 21 56	 5	 20.3	 12.8	 23.73	 0.473	 0.040	 13.66	 0.02	
 24382	33 G 22 	05 31 41.9	-73 44 59	 5	 53.4	 47.3	 24.07	 0.891	 0.018	 14.48	 0.03	
 24333	I2130   	05 31 50.3	-23 08 40	 3	 57.3	 49.5	 23.94	 0.486	 0.036	 12.32	 0.04	
450065	I 421   	05 32 06.4	-07 55 53	 5	 83.9	 91.1	 24.48	 0.211	 0.058	 11.26	 0.05	*
 24347	423 G 19	05 32 38.9	-29 37 38	 3	 35.7	 25.6	 23.73	 0.504	 0.042	 12.96	 0.03	
 24354	N1964   	05 33 21.3	-21 56 51	 3	149.3	 92.7	 23.39	 0.585	 0.010	  9.64	 0.02	
  3319	        	05 34 14.7	+70 11 31	 5	 38.4	 31.4	 23.59	 0.743	 0.023	 14.12	 0.04	
450071	M-215006	05 34 56.6	-10 01 12	 5	 36.7	 31.9	 24.62	 0.838	 0.006	 14.61	 0.03	
 24395	N2007   	05 34 58.9	-50 55 20	 5	 42.1	 33.8	 24.20	 0.654	 0.040	 13.34	 0.04	
 24399	N2008   	05 35 03.7	-50 58 02	 5	 34.1	 22.9	 23.74	 0.460	 0.020	 12.75	 0.04	
  3328	422-001 	05 36 17.0	+07 19 32	 3	 40.5	 28.2	 24.19	 0.628	 0.032	 12.75	 0.02	*
 24407	554 G 19	05 36 46.3	-22 24 20	 3	 39.0	 28.5	 24.85	 0.532	 0.022	 12.92	 0.03	
 24404	554 G 18	05 36 47.1	-18 36 18	 5	 40.4	 32.5	 23.98	 0.792	 0.023	 14.16	 0.04	
 24413	363 G 11	05 37 01.8	-34 38 02	 5	 18.6	 29.7	 24.27	 0.345	 0.129	 14.67	 0.07	*
 24419	253 G 16	05 37 11.4	-45 20 29	 3	 28.2	 21.3	 24.52	 0.743	 0.038	 14.37	 0.03	
 24420	306 G 12	05 37 18.9	-42 24 34	 3	 32.2	 25.8	 24.26	 0.473	 0.030	 13.35	 0.03	*
 24426	424 G  3	05 38 24.0	-28 11 27	 3	 18.9	 15.4	 24.67	 0.560	 0.024	 14.79	 0.03	
 24429	424 G  4	05 38 34.2	-29 24 09	 3	 18.0	 14.5	 24.91	 0.409	 0.039	 14.53	 0.04	
 24436	204 G 27	05 38 57.8	-47 58 55	 3	 29.8	 22.7	 23.96	 0.517	 0.093	 13.53	 0.03	*
  3326	347-018 	05 39 37.2	+77 18 44	 5	 90.8	 64.2	 24.31	 0.858	 0.024	 12.37	 0.04	
 24439	306 G 15	05 39 40.9	-41 26 39	 5	 27.2	 23.8	 23.74	 0.481	 0.024	 13.89	 0.05	
 24437	306 G 14	05 39 41.3	-39 46 51	 5	 22.4	 18.0	 24.64	 0.608	 0.032	 14.63	 0.04	
 24455	120 G 12	05 39 58.7	-58 35 05	 5	 49.0	 52.4	 24.58	 0.432	 0.088	 12.83	 0.04	*
450075	554 G 23	05 40 11.8	-22 00 10	 6	 29.7	 24.7	 24.45	 0.347	 0.024	 13.35	 0.04	
 24452	554 G 24	05 41 19.6	-18 16 39	 5	 37.8	 32.3	 23.57	 0.452	 0.030	 13.07	 0.05	
 24465	UA112   	05 42 00.9	-22 56 44	10	 79.8	 75.2	 24.54	 0.792	 0.049	 12.58	 0.04	*
 24469	487 G 37	05 42 31.0	-26 47 21	 3	 30.1	 21.9	 23.49	 0.611	 0.035	 13.55	 0.03	
 24485	159 G 24	05 42 35.0	-55 26 23	 5	 29.4	 20.1	 24.36	 0.689	 0.020	 13.59	 0.03	
 24476	554 G 28	05 43 13.2	-18 38 23	 5	 42.2	 36.0	 24.12	 0.702	 0.025	 13.63	 0.03	
 24486	UA113   	05 43 52.3	-19 17 38	 5	 61.2	 50.7	 23.28	 0.731	 0.036	 12.85	 0.04	
 24487	488 G  2	05 43 52.5	-26 28 02	 5	 23.9	 19.7	 23.85	 0.248	 0.031	 13.69	 0.04	
450139	A548-76 	05 43 56.6	-25 52 33	 2	 13.5	  8.6	 23.86	 0.603	 0.029	 14.99	 0.03	
450140	A548-73 	05 44 37.3	-25 53 33	 4	 14.8	 11.0	 24.41	 0.276	 0.101	 14.47	 0.03	
  3343	329-013 	05 45 24.2	+72 21 20	 3	 96.8	 54.0	 22.11	 0.748	 0.035	 11.96	 0.02	
450141	A548-202	05 46 16.8	-25 16 13	 3	 14.5	 10.4	 23.97	 0.382	 0.027	 14.70	 0.04	
 24529	488 G 12	05 46 20.7	-23 28 25	 5	 48.4	 35.5	 24.41	 0.641	 0.049	 12.70	 0.04	
 24532	I2143   	05 46 53.1	-18 43 39	 5	 66.7	 45.7	 23.42	 0.570	 0.016	 11.63	 0.04	
 24538	N2090   	05 47 02.3	-34 15 05	 3	167.3	169.4	 24.67	 0.556	 0.020	  9.67	 0.05	
 24561	N2104   	05 47 04.7	-51 33 06	 4	 58.7	 45.6	 24.25	 0.436	 0.049	 12.04	 0.04	
 24545	488 G 18	05 47 26.6	-25 06 17	 2	 23.0	 17.5	 23.49	 0.474	 0.031	 13.96	 0.04	
 24554	424 G 21	05 47 37.5	-30 24 24	 5	 18.8	 13.9	 23.76	 0.560	 0.022	 14.46	 0.02	
450142	A548-142	05 47 48.1	-25 33 20	 3	 22.2	 14.8	 23.35	 0.620	 0.019	 13.97	 0.02	
 24564	363 G 26	05 48 02.8	-33 54 33	 5	 25.4	 19.5	 23.99	 0.613	 0.059	 14.25	 0.03	
450143	A548-113	05 48 19.6	-25 38 06	 4	 12.4	  8.9	 24.11	 0.270	 0.052	 14.59	 0.04	
 24566	488 G 25	05 48 25.7	-25 18 03	 2	 21.6	 16.9	 24.12	 0.318	 0.096	 13.72	 0.04	*
450144	A548-192	05 48 36.4	-25 17 29	 5	 10.8	  8.8	 24.90	 0.218	 0.036	 15.36	 0.03	*
 24584	306 G 28	05 48 44.5	-39 03 18	 5	 26.8	 22.0	 24.37	 0.521	 0.034	 13.96	 0.04	
 24581	363 G 29	05 48 44.9	-36 44 12	 5	 26.4	 21.1	 23.81	 0.402	 0.012	 13.67	 0.03	
 24576	488IG 29	05 48 44.9	-25 33 30	 2	 29.4	 17.9	 23.45	 0.541	 0.064	 13.68	 0.03	*
 24591	488 G 35	05 49 39.6	-24 25 25	 5	 41.0	 32.8	 23.72	 0.766	 0.047	 14.00	 0.04	*
450145	A548-24 	05 50 00.8	-26 00 13	 5	  9.5	 16.1	 24.12	 0.435	 0.069	 16.40	 0.06	*
 24602	555 G  2	05 50 26.7	-19 43 37	 5	 66.7	 42.0	 24.23	 0.810	 0.040	 12.57	 0.03	
 24635	160 G  2	05 51 14.2	-53 34 19	 5	 66.8	 40.9	 24.94	 0.739	 0.019	 12.02	 0.04	
 24623	I2150   	05 51 18.9	-38 19 11	 4	 89.8	 71.9	 23.55	 0.711	 0.036	 11.71	 0.04	
  3366	        	05 51 27.1	+48 38 15	 5	 32.1	 24.5	 24.29	 0.312	 0.073	 13.11	 0.04	*
 24646	120 G 16	05 51 35.4	-59 02 21	 5	 74.5	 49.1	 23.85	 0.841	 0.027	 12.42	 0.02	
  3368	M+712003	05 51 36.4	+39 49 46	 5	 35.3	 28.1	 23.82	 0.714	 0.011	 13.90	 0.03	*
450096	M-215013	05 52 12.1	-14 06 36	 5	 34.1	 27.2	 24.39	 0.197	 0.115	 12.80	 0.04	*
 24642	424 G 35	05 52 28.6	-28 22 09	 5	 25.6	 18.6	 23.92	 0.743	 0.015	 14.52	 0.04	
 24644	364 G  8	05 52 32.4	-36 57 53	 5	 26.7	 20.1	 24.48	 0.357	 0.047	 13.36	 0.03	
 24640	I2151   	05 52 36.3	-17 47 16	 3	 43.4	 34.9	 24.01	 0.433	 0.053	 12.69	 0.04	
 24650	364 G  9	05 52 53.4	-34 43 37	 5	 24.3	 18.4	 24.25	 0.687	 0.022	 14.57	 0.04	
450098	I 438   	05 53 00.5	-17 52 24	 5	 81.6	 65.7	 23.85	 0.338	 0.036	 11.19	 0.04	
 24652	555 G 11	05 53 33.0	-20 16 03	 3	 33.4	 24.8	 24.27	 0.421	 0.092	 13.12	 0.03	
  3375	259-005 	05 55 25.4	+51 54 37	 5	 83.5	 66.5	 23.48	 0.582	 0.036	 11.52	 0.04	*
 24723	I2160   	05 55 30.1	-76 55 15	 3	 50.2	 37.4	 24.29	 0.405	 0.104	 12.11	 0.04	
 24680	488 G 44	05 55 50.6	-22 48 24	 3	 43.8	 58.0	 23.77	 0.578	 0.036	 13.40	 0.06	
 24704	86 G 41 	05 56 21.8	-62 35 37	 3	 22.2	 17.3	 23.91	 0.291	 0.031	 13.82	 0.04	
450146	D0559104	05 57 25.1	-39 31 09	 3	 15.6	 10.7	 24.29	 0.698	 0.079	 15.31	 0.03	
 24702	N2124   	05 57 52.3	-20 05 03	 3	 80.1	 49.4	 23.89	 0.684	 0.008	 11.34	 0.02	
 24709	307 G  9	05 58 01.4	-38 34 29	 3	 20.6	 16.8	 24.64	 0.578	 0.020	 14.81	 0.04	
 24715	488 G 49	05 58 39.9	-25 24 55	 7	 39.9	 66.3	 24.66	 0.673	 0.031	 14.04	 0.08	*
450147	D0559-40	05 59 03.1	-40 11 40	 5	 12.0	 10.8	 24.11	 0.426	 0.038	 15.55	 0.05	
  3373	374-024 	05 59 07.9	+78 30 34	 5	 41.8	 36.8	 23.47	 0.382	 0.036	 12.77	 0.05	
 24741	307 G 12	06 00 18.3	-42 06 27	 4	 27.2	 16.7	 25.04	 0.488	 0.054	 13.09	 0.03	
 24730	555 G 18	06 00 23.7	-19 42 32	 4	 33.6	 20.7	 24.40	 0.456	 0.025	 12.44	 0.03	
 24739	425 G  2	06 00 34.7	-28 59 34	 5	 45.8	 58.5	 23.52	 0.654	 0.140	 13.60	 0.11	
 24747	N2139   	06 01 07.8	-23 40 20	 5	 70.5	 52.2	 24.12	 0.167	 0.049	 10.95	 0.04	
 24745	555 G 22	06 01 07.9	-21 44 19	 4	 70.8	 55.3	 24.09	 0.710	 0.028	 12.20	 0.04	
 24750	488 G 55	06 01 24.0	-26 03 18	 3	 27.6	 18.6	 24.04	 0.622	 0.025	 13.77	 0.03	
460089	D0559-40	06 02 01.6	-39 50 11	 3	 10.5	  6.8	 23.70	 0.554	 0.022	 15.24	 0.03	
460001	I 441   	06 02 42.6	-12 29 56	 5	 38.3	 44.0	 23.08	 0.103	 0.049	 12.63	 0.06	
 24781	364 G 27	06 04 03.7	-35 41 37	 5	 27.8	 20.3	 23.82	 0.486	 0.034	 13.60	 0.03	
 24782	555 G 29	06 04 27.7	-20 21 05	 5	 53.5	 38.8	 23.85	 0.797	 0.012	 13.29	 0.03	
 24789	488 G 60	06 04 42.9	-26 07 22	 5	 79.2	124.4	 24.06	 0.501	 0.081	 11.94	 0.07	
 24830	N2199   	06 04 44.7	-73 24 05	 3	 60.1	 41.6	 23.99	 0.498	 0.074	 11.53	 0.03	
 24802	205 G 18	06 05 09.9	-49 18 01	 4	 29.8	 22.5	 24.14	 0.268	 0.132	 13.08	 0.04	
 24804	254 G 12	06 05 21.9	-45 49 32	 3	 24.0	 17.9	 24.93	 0.387	 0.039	 13.75	 0.04	
 24805	254 G 13	06 05 27.5	-45 10 43	 5	 28.5	 21.2	 25.04	 0.451	 0.039	 13.43	 0.04	
 24797	555 G 33	06 05 29.6	-19 02 06	 5	 44.2	 30.0	 24.06	 0.674	 0.103	 12.52	 0.03	
 24814	160 G 13	06 05 52.1	-53 35 58	 5	 25.9	 23.2	 23.94	 0.519	 0.031	 14.23	 0.05	
  3398	M1009011	06 06 23.3	+60 34 04	 5	 31.2	 35.5	 23.25	 0.450	 0.048	 13.72	 0.06	
 24846	86 G 59 	06 06 45.5	-67 06 59	 5	 29.0	 20.9	 23.95	 0.536	 0.033	 13.51	 0.04	
 24854	121 G  6	06 07 30.1	-61 48 25	 5	115.0	 82.9	 23.70	 0.812	 0.021	 11.59	 0.03	
460093	D0608104	06 07 34.1	-33 12 11	 3	  8.9	  7.9	 24.23	 0.273	 0.023	 15.98	 0.05	
 24839	254 G 22	06 07 41.0	-47 24 47	 4	 42.6	 33.9	 23.41	 0.423	 0.022	 12.62	 0.03	
 24826	489 G  6	06 07 44.7	-23 29 16	 7	 59.8	 49.1	 24.44	 0.419	 0.018	 12.07	 0.04	
 24832	364 G 31	06 07 48.5	-33 29 17	 3	 30.9	 20.7	 24.19	 0.673	 0.021	 13.66	 0.03	*
 24829	555 G 37	06 08 03.4	-19 13 30	 5	 31.3	 21.2	 24.69	 0.669	 0.017	 13.66	 0.03	
 24893	57 G 69 	06 08 30.7	-71 17 14	 5	 32.9	 22.8	 23.76	 0.455	 0.074	 12.92	 0.04	
460090	D0608-29	06 08 45.3	-33 46 28	 5	 11.2	  8.7	 24.92	 0.439	 0.018	 15.53	 0.04	
 24847	489 G  8	06 08 53.3	-25 08 40	 5	 39.4	 29.2	 23.60	 0.523	 0.018	 13.17	 0.03	
460069	D0608-58	06 09 29.3	-33 37 38	 2	 19.5	 11.9	 24.02	 0.644	 0.019	 14.42	 0.02	
460070	        	06 09 30.1	-33 33 07	 2	 13.9	 10.2	 24.56	 0.566	 0.030	 15.27	 0.04	
 24858	555 G 40	06 09 36.2	-20 06 18	 5	 37.3	 29.8	 23.72	 0.710	 0.037	 13.72	 0.04	
460071	        	06 09 38.6	-33 35 13	 2	 22.5	 20.0	 24.58	 0.504	 0.052	 14.02	 0.04	
460091	D0608-12	06 09 47.0	-33 52 22	 3	 17.5	 12.8	 24.14	 0.379	 0.082	 14.43	 0.05	
460074	        	06 09 54.2	-33 40 54	20	 33.1	 27.3	 24.72	 0.372	 0.081	 13.14	 0.04	*
 24868	364 G 35	06 09 55.0	-33 38 55	 4	 33.8	 27.0	 23.98	 0.317	 0.082	 12.98	 0.04	*
 24866	489 G 11	06 10 01.9	-22 37 33	 5	 36.2	 45.7	 24.69	 0.350	 0.050	 13.43	 0.06	
460094	D0608-11	06 10 16.4	-33 55 34	 5	 11.0	 14.0	 24.49	 0.128	 0.062	 15.67	 0.06	*
460077	        	06 10 21.5	-33 41 26	 4	 20.2	 14.1	 23.86	 0.379	 0.026	 13.86	 0.02	
  3403	329-021 	06 10 36.4	+71 23 07	 5	 92.6	 84.1	 22.37	 0.712	 0.021	 11.78	 0.05	
 24907	121 G 10	06 10 48.2	-60 49 20	 5	 22.1	 21.3	 24.31	 0.214	 0.029	 14.04	 0.04	
  3411	284-007 	06 10 55.0	+62 01 11	 5	 27.2	 45.8	 22.91	 0.109	 0.055	 13.47	 0.07	
 24895	364IG42a	06 11 05.6	-33 18 02	 4	 35.4	 26.1	 24.77	 0.760	 0.044	 14.00	 0.03	
460095	D0608116	06 12 05.2	-33 04 18	 3	 12.4	 11.3	 23.86	 0.582	 0.029	 15.96	 0.04	
 24924	160 G 18	06 12 26.8	-56 16 10	 5	 35.6	 26.3	 24.00	 0.725	 0.026	 13.46	 0.04	
 24931	121 G 13	06 12 31.0	-62 24 53	 3	 20.0	 16.9	 24.79	 0.347	 0.043	 14.21	 0.04	
460092	D0608-02	06 12 50.3	-34 15 04	 6	 25.5	 21.4	 23.78	 0.844	 0.021	 15.46	 0.03	
 24928	307 G 24	06 13 27.7	-42 27 07	 3	 31.5	 24.9	 24.08	 0.329	 0.051	 13.11	 0.04	
  3416	329-022 	06 13 40.0	+69 43 45	 5	 53.0	 45.4	 23.87	 0.613	 0.016	 12.77	 0.05	
  3405	347-026 	06 13 57.4	+80 28 34	 4	 67.0	 45.2	 23.94	 0.665	 0.034	 11.95	 0.03	*
 24943	254 G 43	06 14 03.8	-42 51 22	 3	 34.8	 26.9	 23.79	 0.496	 0.030	 13.25	 0.03	
 24957	307 G 27	06 14 57.1	-39 49 31	 3	 28.1	 21.7	 24.19	 0.585	 0.034	 13.80	 0.03	
 24952	556 G  5	06 15 07.2	-19 25 01	 5	 38.8	 31.2	 23.85	 0.381	 0.056	 12.82	 0.04	
