#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-04T12:31:21 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:31:21	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/413/813/atlas3d&-out.max=99999&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74130813
#Name: J/MNRAS/413/813
#Title: ATLAS3D project. I. (Cappellari+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/mnras/413/813	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/413/813	    IVOID of underlying data collection
#INFO	creator=Cappellari M.	    First author or institution
#INFO	cites=bibcode:2011MNRAS.413..813C	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/413/813	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74130813	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_413_813_atlas3d:
#Name: J/MNRAS/413/813/atlas3d
#Title: The Atlas^3D^ sample (E and S0) and spiral galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	T	(A1)	Simbad column added by the CDS	[ucd=meta.code;src.morph]
#Column	Gal	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SBF	(I1)	[0/2] 1 if the galaxy is in Tonry et al. (2001ApJ...546..681T) and 2 if it is in Mei et al. (2007ApJ...655..144M) or both	[ucd=meta.id]
#Column	NED-D	(I2)	Number of redshift-independent distance determinations listed in the NED-D catalogue, excluding the ones based on kinematical scaling relations	[ucd=meta.number]
#Column	Virgo	(I1)	[0/1] 1 if the galaxies is contained within a sphere of radius R=3.5Mpc from the centre of the cluster (1)	[ucd=meta.code]
#Column	Vhel	(I4)	Heliocentric velocity (2)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F4.1)	Distance (3)	[ucd=pos.distance;pos.heliocentric]
#Column	KMAG	(F6.2)	Total absolute K magnitude (4)	[ucd=phys.magAbs;em.IR.K]
#Column	AB	(F5.2)	B-band foreground galactic extinction from Schlegel et al. (1998ApJ...500..525S)	[ucd=phys.absorption]
#Column	T-type	(F4.1)	Morphological T type from HyperLeda (5)	[ucd=src.morph.type]
#Column	log(Re)	(F5.2)	Projected half-light effective radius (6)	[ucd=phys.angSize]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref]
recno	T	Gal	RAJ2000	DEJ2000	SBF	NED-D	Virgo	Vhel	Dist	KMAG	AB	T-type	log(Re)	SimbadName	NED	LEDA
     144	E	NGC4473   	187.453659	+13.429320	2	 8	1	2260	15.3	-23.77	 0.12	-4.7	 1.43	NGC4473  	NED	LEDA
     145	E	NGC4474   	187.473099	+14.068673	2	 1	1	1611	15.6	-22.28	 0.18	-2.0	 1.30	NGC4474  	NED	LEDA
     146	E	NGC4476   	187.496170	+12.348669	2	 3	1	1968	17.6	-21.78	 0.12	-3.0	 1.20	NGC4476  	NED	LEDA
     147	E	NGC4477   	187.509048	+13.636443	0	 0	1	1338	16.5	-23.75	 0.14	-1.9	 1.59	NGC4477  	NED	LEDA
     148	E	NGC4478   	187.572662	+12.328578	2	 9	1	1375	17.0	-22.80	 0.10	-4.8	 1.20	NGC4478  	NED	LEDA
     149	E	NGC4483   	187.669250	+09.015665	2	 1	1	 906	16.7	-21.84	 0.09	-1.3	 1.24	NGC4483  	NED	LEDA
     150	E	NGC4486   	187.705933	+12.391100	2	15	1	1284	17.2	-25.38	 0.10	-4.3	 1.91	NGC4486  	NED	LEDA
     151	E	NGC4486A  	187.740540	+12.270361	2	 0	1	 758	18.3	-21.82	 0.10	-5.0	 0.94	NGC4486A 	NED	LEDA
     152	E	NGC4489   	187.717667	+16.758696	2	 5	1	 961	15.4	-21.59	 0.12	-4.8	 1.42	NGC4489  	NED	LEDA
     153	E	NGC4494   	187.850143	+25.774981	1	 9	0	1342	16.6	-24.11	 0.09	-4.8	 1.69	NGC4494  	NED	LEDA
     154	E	NGC4503   	188.025803	+11.176434	0	 0	1	1334	16.5	-23.22	 0.22	-1.8	 1.45	NGC4503  	NED	LEDA
     155	E	NGC4521   	188.198853	+63.939293	0	 0	0	2511	39.7	-23.92	 0.08	-0.1	 1.21	NGC4521  	NED	LEDA
     156	E	NGC4526   	188.512619	+07.699140	1	 5	1	 617	16.4	-24.62	 0.10	-1.9	 1.65	NGC4526  	NED	LEDA
     157	E	NGC4528   	188.525269	+11.321266	2	 0	1	1378	15.8	-22.05	 0.20	-2.0	 1.15	NGC4528  	NED	LEDA
     158	E	NGC4546   	188.872940	-03.793227	1	 2	0	1057	13.7	-23.30	 0.15	-2.7	 1.40	NGC4546  	NED	LEDA
     159	E	NGC4550   	188.877548	+12.220955	2	 3	1	 459	15.5	-22.27	 0.17	-2.1	 1.19	NGC4550  	NED	LEDA
     160	E	NGC4551   	188.908249	+12.264010	2	 5	1	1176	16.1	-22.18	 0.17	-4.9	 1.22	NGC4551  	NED	LEDA
     161	E	NGC4552   	188.916183	+12.556040	2	12	1	 344	15.8	-24.29	 0.18	-4.6	 1.53	NGC4552  	NED	LEDA
     162	E	NGC4564   	189.112473	+11.439320	2	 5	1	1155	15.8	-23.08	 0.14	-4.8	 1.31	NGC4564  	NED	LEDA
     163	E	NGC4570   	189.222504	+07.246663	2	 1	1	1787	17.1	-23.48	 0.09	-2.0	 1.30	NGC4570  	NED	LEDA
     164	E	NGC4578   	189.377274	+09.555121	2	 3	1	2292	16.3	-22.66	 0.09	-2.0	 1.51	NGC4578  	NED	LEDA
     165	E	NGC4596   	189.983063	+10.176031	0	 0	1	1892	16.5	-23.63	 0.09	-0.9	 1.59	NGC4596  	NED	LEDA
     166	E	NGC4608   	190.305374	+10.155793	0	 0	1	1850	16.5	-22.94	 0.07	-1.9	 1.42	NGC4608  	NED	LEDA
     167	E	NGC4612   	190.386490	+07.314782	2	 1	1	1775	16.6	-22.55	 0.11	-2.0	 1.40	NGC4612  	NED	LEDA
     168	E	NGC4621   	190.509674	+11.646930	2	 9	1	 467	14.9	-24.14	 0.14	-4.8	 1.63	NGC4621  	NED	LEDA
     169	E	NGC4623   	190.544601	+07.676934	2	 1	1	1807	17.4	-21.74	 0.10	-1.5	 1.31	NGC4623  	NED	LEDA
     170	E	NGC4624   	191.274826	+03.055684	0	 0	1	 912	16.5	-23.67	 0.10	-0.6	 1.64	NGC4624  	NED	LEDA
     171	E	NGC4636   	190.707779	+02.687780	1	11	0	 930	14.3	-24.36	 0.12	-4.8	 1.95	NGC4636  	NED	LEDA
     172	E	NGC4638   	190.697632	+11.442459	2	 2	1	1152	17.5	-23.01	 0.11	-2.7	 1.22	NGC4638  	NED	LEDA
     173	E	NGC4643   	190.833893	+01.978399	0	 0	1	1333	16.5	-23.69	 0.13	-0.6	 1.38	NGC4643  	NED	LEDA
     174	E	NGC4649   	190.916702	+11.552610	2	11	1	1110	17.3	-25.46	 0.11	-4.6	 1.82	NGC4649  	NED	LEDA
     175	E	NGC4660   	191.133209	+11.190533	2	 5	1	1087	15.0	-22.69	 0.15	-4.7	 1.09	NGC4660  	NED	LEDA
     176	E	NGC4684   	191.822861	-02.727538	1	 1	0	1560	13.1	-22.21	 0.12	-1.2	 1.32	NGC4684  	NED	LEDA
     177	E	NGC4690   	191.981323	-01.655975	0	 0	0	2765	40.2	-22.96	 0.13	-3.0	 1.25	NGC4690  	NED	LEDA
     178	E	NGC4694   	192.062881	+10.983624	0	 0	1	1171	16.5	-22.15	 0.17	-2.0	 1.47	NGC4694  	NED	LEDA
     179	E	NGC4697   	192.149612	-05.800850	1	 8	0	1252	11.4	-23.93	 0.13	-4.4	 1.79	NGC4697  	NED	LEDA
     180	E	NGC4710   	192.412323	+15.165490	0	 0	1	1102	16.5	-23.53	 0.13	-0.9	 1.48	NGC4710  	NED	LEDA
     181	E	NGC4733   	192.778259	+10.912103	1	 1	1	 925	14.5	-21.80	 0.09	-3.8	 1.52	NGC4733  	NED	LEDA
     182	E	NGC4753   	193.092133	-01.199690	1	 3	0	1163	22.9	-25.09	 0.14	-1.4	 1.69	NGC4753  	NED	LEDA
     183	E	NGC4754   	193.073181	+11.313660	2	 3	1	1351	16.1	-23.64	 0.14	-2.5	 1.50	NGC4754  	NED	LEDA
     184	E	NGC4762   	193.233536	+11.230800	0	 2	0	 986	22.6	-24.48	 0.09	-1.8	 1.64	NGC4762  	NED	LEDA
     185	E	NGC4803   	193.890289	+08.240547	0	 0	0	2645	39.4	-22.28	 0.13	 0.0	 0.94	NGC4803  	NED	LEDA
     186	E	NGC5103   	200.125229	+43.084015	0	 0	0	1273	23.4	-22.36	 0.08	 0.0	 1.02	NGC5103  	NED	LEDA
     187	E	NGC5173   	202.105301	+46.591572	0	 0	0	2424	38.4	-22.88	 0.12	-4.9	 1.01	NGC5173  	NED	LEDA
     188	E	NGC5198   	202.547546	+46.670830	0	 0	0	2519	39.6	-24.10	 0.10	-4.8	 1.38	NGC5198  	NED	LEDA
     189	E	NGC5273   	205.534943	+35.654240	1	 2	0	1085	16.1	-22.37	 0.04	-1.9	 1.57	NGC5273  	NED	LEDA
     190	E	NGC5308   	206.751633	+60.973038	0	 6	0	1998	31.5	-24.13	 0.08	-2.1	 1.25	NGC5308  	NED	LEDA
     191	E	NGC5322   	207.313339	+60.190411	1	 5	0	1780	30.3	-25.26	 0.06	-4.8	 1.60	NGC5322  	NED	LEDA
     192	E	NGC5342   	207.857910	+59.863014	0	 0	0	2189	35.5	-22.61	 0.05	-2.0	 0.97	NGC5342  	NED	LEDA
     193	E	NGC5353   	208.361420	+40.283123	0	 0	0	2198	35.2	-25.11	 0.05	-2.1	 1.30	NGC5353  	NED	LEDA
     194	E	NGC5355   	208.439850	+40.338795	0	 0	0	2344	37.1	-22.40	 0.05	-2.1	 1.06	NGC5355  	NED	LEDA
     195	E	NGC5358   	208.501801	+40.277420	0	 0	0	2412	38.0	-22.01	 0.04	-0.2	 1.05	NGC5358  	NED	LEDA
     196	E	NGC5379   	208.893112	+59.742825	0	 0	0	1774	30.0	-22.08	 0.08	-2.0	 1.32	NGC5379  	NED	LEDA
     197	E	NGC5422   	210.175262	+55.164478	0	 0	0	1838	30.8	-23.69	 0.06	-1.5	 1.33	NGC5422  	NED	LEDA
     198	E	NGC5473   	211.180176	+54.892620	0	 0	0	2022	33.2	-24.25	 0.05	-2.7	 1.32	NGC5473  	NED	LEDA
     199	E	NGC5475   	211.301437	+55.741802	0	 0	0	1671	28.6	-22.88	 0.05	 1.0	 1.22	NGC5475  	NED	LEDA
     200	E	NGC5481   	211.671722	+50.723320	0	 2	0	1989	25.8	-22.68	 0.08	-3.9	 1.35	NGC5481  	NED	LEDA
     201	E	NGC5485   	211.797134	+55.001518	1	 3	0	1927	25.2	-23.61	 0.07	-2.0	 1.45	NGC5485  	NED	LEDA
     202	E	NGC5493   	212.872421	-05.043663	0	 0	0	2665	38.8	-24.49	 0.15	-2.1	 1.14	NGC5493  	NED	LEDA
     203	E	NGC5500   	212.563522	+48.546066	0	 0	0	1914	31.7	-21.93	 0.09	-4.9	 1.18	NGC5500  	NED	LEDA
     204	E	NGC5507   	213.332825	-03.148860	0	 0	0	1851	28.5	-23.19	 0.26	-2.3	 1.09	NGC5507  	NED	LEDA
     205	E	NGC5557   	214.607117	+36.493690	0	 3	0	3219	38.8	-24.87	 0.03	-4.8	 1.46	NGC5557  	NED	LEDA
     206	E	NGC5574   	215.233109	+03.237995	1	 1	0	1589	23.2	-22.30	 0.13	-2.8	 1.13	NGC5574  	NED	LEDA
     207	E	NGC5576   	215.265381	+03.271049	1	 3	0	1506	24.8	-24.15	 0.13	-4.8	 1.34	NGC5576  	NED	LEDA
     208	E	NGC5582   	215.179703	+39.693584	1	 3	0	1430	27.7	-23.28	 0.06	-4.9	 1.44	NGC5582  	NED	LEDA
     209	E	NGC5611   	216.019897	+33.047501	1	 1	0	1968	24.5	-22.20	 0.05	-1.9	 1.00	NGC5611  	NED	LEDA
     210	E	NGC5631   	216.638687	+56.582664	1	 1	0	1944	27.0	-23.70	 0.09	-1.9	 1.32	NGC5631  	NED	LEDA
     211	E	NGC5638   	217.418289	+03.233443	1	 3	0	1652	25.6	-23.80	 0.14	-4.8	 1.45	NGC5638  	NED	LEDA
     212	E	NGC5687   	218.718201	+54.475685	1	 1	0	2143	27.2	-23.22	 0.05	-3.0	 1.36	NGC5687  	NED	LEDA
     213	E	NGC5770   	223.312653	+03.959721	1	 1	0	1471	18.5	-22.15	 0.17	-2.0	 1.23	NGC5770  	NED	LEDA
     214	E	NGC5813   	225.296936	+01.701970	1	 4	0	1956	31.3	-25.09	 0.25	-4.8	 1.76	NGC5813  	NED	LEDA
     215	E	NGC5831   	226.029266	+01.219917	1	 3	0	1645	26.4	-23.69	 0.25	-4.8	 1.40	NGC5831  	NED	LEDA
     216	E	NGC5838   	226.359467	+02.099356	0	 0	0	1341	21.8	-24.13	 0.23	-2.6	 1.40	NGC5838  	NED	LEDA
     217	E	NGC5839   	226.364471	+01.634633	1	 1	0	1220	22.0	-22.53	 0.23	-2.0	 1.22	NGC5839  	NED	LEDA
     218	E	NGC5845   	226.503281	+01.633824	1	 2	0	1472	25.2	-22.92	 0.23	-4.9	 0.80	NGC5845  	NED	LEDA
     219	E	NGC5846   	226.621887	+01.605637	1	 6	0	1712	24.2	-25.01	 0.24	-4.7	 1.77	NGC5846  	NED	LEDA
     220	E	NGC5854   	226.948853	+02.568560	0	 0	0	1663	26.2	-23.30	 0.23	-1.1	 1.26	NGC5854  	NED	LEDA
     221	E	NGC5864   	227.389786	+03.052741	0	 0	0	1874	29.0	-23.62	 0.19	-1.7	 1.35	NGC5864  	NED	LEDA
     222	E	NGC5866   	226.623169	+55.763309	1	 3	0	 755	14.9	-24.00	 0.06	-1.3	 1.56	NGC5866  	NED	LEDA
     223	E	NGC5869   	227.456055	+00.469967	0	 1	0	2065	24.9	-23.27	 0.24	-2.3	 1.31	NGC5869  	NED	LEDA
     224	E	NGC6010   	238.579773	+00.543033	0	 0	0	2022	30.6	-23.53	 0.45	 0.4	 1.16	NGC6010  	NED	LEDA
     225	E	NGC6014   	238.989105	+05.931838	0	 0	0	2381	35.8	-22.99	 0.22	-1.9	 1.35	NGC6014  	NED	LEDA
     226	E	NGC6017   	239.314529	+05.998364	1	 1	0	1788	29.0	-22.52	 0.23	-5.0	 0.85	NGC6017  	NED	LEDA
     227	E	NGC6149   	246.851151	+19.597290	0	 0	0	2427	37.2	-22.60	 0.30	-1.9	 1.03	NGC6149  	NED	LEDA
     228	E	NGC6278   	255.209763	+23.010956	0	 0	0	2832	42.9	-24.19	 0.27	-1.9	 1.22	NGC6278  	NED	LEDA
     229	E	NGC6547   	271.291748	+25.232645	0	 0	0	2677	40.8	-23.60	 0.50	-1.3	 1.06	NGC6547  	NED	LEDA
     230	E	NGC6548   	271.496826	+18.587217	1	 1	0	2208	22.4	-23.19	 0.35	-1.9	 1.35	NGC6548  	NED	LEDA
     231	E	NGC6703   	281.828522	+45.550648	1	 4	0	2373	25.9	-23.85	 0.37	-2.8	 1.34	NGC6703  	NED	LEDA
     232	E	NGC6798   	291.013306	+53.624752	0	 0	0	2360	37.5	-23.52	 0.57	-2.0	 1.23	NGC6798  	NED	LEDA
     233	E	NGC7280   	336.614899	+16.148266	1	 2	0	1845	23.7	-22.83	 0.24	-1.3	 1.33	NGC7280  	NED	LEDA
     234	E	NGC7332   	339.352173	+23.798351	1	 1	0	1197	22.4	-23.75	 0.16	-1.9	 1.24	NGC7332  	NED	LEDA
     235	E	NGC7454   	345.277130	+16.388371	1	 3	0	2020	23.2	-23.00	 0.33	-4.7	 1.41	NGC7454  	NED	LEDA
     236	E	NGC7457   	345.249725	+30.144892	1	 3	0	 844	12.9	-22.38	 0.23	-2.6	 1.56	NGC7457  	NED	LEDA
     237	E	NGC7465   	345.503967	+15.964876	0	 0	0	1960	29.3	-22.82	 0.33	-1.9	 0.90	NGC7465  	NED	LEDA
     238	E	NGC7693   	353.293671	-01.292010	0	 0	0	2502	35.4	-21.58	 0.15	-1.0	 1.11	NGC7693  	NED	LEDA
     239	E	NGC7710   	353.942261	-02.880941	0	 0	0	2407	34.0	-21.99	 0.15	-1.9	 0.92	NGC7710  	NED	LEDA
     240	E	PGC016060 	072.143387	-03.867104	0	 0	0	2764	37.8	-22.64	 0.19	-0.6	 1.01	PGC016060	NED	LEDA
     241	E	PGC028887 	149.931290	+11.660812	0	 0	0	2833	41.0	-22.26	 0.17	 0.0	 1.08	PGC028887	NED	LEDA
     242	E	PGC029321 	151.463226	+12.961213	0	 0	0	2816	40.9	-21.66	 0.16	 0.0	 0.89	PGC029321	NED	LEDA
     243	E	PGC035754 	173.614716	+33.178913	0	 0	0	2534	39.0	-21.90	 0.11	-3.0	 0.83	PGC035754	NED	LEDA
     244	E	PGC042549 	190.316513	-05.009177	0	 0	0	2822	40.7	-22.71	 0.11	-5.0	 1.06	PGC042549	NED	LEDA
     245	E	PGC044433 	194.578110	+13.391409	0	 0	0	2675	40.1	-22.25	 0.13	 0.0	 0.71	PGC044433	NED	LEDA
     246	E	PGC050395 	211.913544	+54.794575	0	 0	0	2322	37.2	-21.92	 0.05	 0.0	 1.04	PGC050395	NED	LEDA
     247	E	PGC051753 	217.310318	+44.699104	0	 0	0	2418	38.3	-21.92	 0.05	 0.0	 1.01	PGC051753	NED	LEDA
     248	E	PGC054452 	228.894180	+02.248187	0	 0	0	1918	29.5	-21.59	 0.18	-2.0	 1.14	PGC054452	NED	LEDA
     249	E	PGC056772 	240.548340	+07.085953	0	 0	0	2655	39.5	-22.06	 0.19	-2.0	 0.93	PGC056772	NED	LEDA
     250	E	PGC058114 	246.517838	+02.906550	0	 0	0	1507	23.8	-21.57	 0.29	-2.0	 0.97	PGC058114	NED	LEDA
     251	E	PGC061468 	272.360748	+19.117682	0	 0	0	2371	36.2	-21.68	 0.35	 0.0	 1.06	PGC061468	NED	LEDA
     252	E	PGC071531 	352.121338	+19.863962	0	 0	0	2030	30.4	-21.74	 0.53	-4.0	 0.88	PGC071531	NED	LEDA
     253	E	PGC170172 	176.731720	-05.187745	0	 0	0	2562	37.1	-21.89	 0.08	-5.0	 0.89	PGC170172	NED	LEDA
     254	E	UGC03960  	115.094856	+23.275089	0	 0	0	2255	33.2	-21.89	 0.20	-4.9	 1.24	UGC03960 	NED	LEDA
     255	E	UGC04551  	131.024582	+49.793968	0	 0	0	1728	28.0	-22.92	 0.10	-2.0	 1.03	UGC04551 	NED	LEDA
     256	E	UGC05408  	150.966095	+59.436138	0	 0	0	2998	45.8	-22.03	 0.06	-3.3	 0.84	UGC05408 	NED	LEDA
     257	E	UGC06062  	164.656662	+09.050468	0	 0	0	2634	38.7	-22.82	 0.13	-2.0	 1.05	UGC06062 	NED	LEDA
     258	E	UGC06176  	166.852753	+21.657185	0	 0	0	2677	40.1	-22.66	 0.08	-2.0	 1.03	UGC06176 	NED	LEDA
     259	E	UGC08876  	209.241943	+45.973179	0	 0	0	2085	33.9	-22.37	 0.04	-0.1	 0.93	UGC08876 	NED	LEDA
     260	E	UGC09519  	221.588028	+34.370651	0	 0	0	1631	27.6	-21.98	 0.09	-1.9	 0.87	UGC09519 	NED	LEDA
     261	S	IC0065    	015.230966	+47.681984	0	 0	0	2614	39.7	-23.54	 0.64	 4.0	 1.38	IC0065   	NED	LEDA
     262	S	IC0163    	027.312431	+20.711317	0	 0	0	2749	39.7	-22.38	 0.36	 8.0	 1.35	IC0163   	NED	LEDA
     263	S	IC0239    	039.116250	+38.970000	0	 0	0	 903	15.7	-22.23	 0.31	 6.0	 1.90	IC0239   	NED	LEDA
     264	S	IC0540    	142.542755	+07.902529	0	 0	0	2035	30.0	-21.89	 0.26	 3.5	 1.08	IC0540   	NED	LEDA
     265	S	IC0591    	151.865479	+12.274520	0	 0	0	2839	41.2	-21.82	 0.15	 6.0	 1.19	IC0591   	NED	LEDA
     266	S	IC0610    	156.618179	+20.228252	0	 0	0	1170	19.6	-21.53	 0.09	 3.9	 1.02	IC0610   	NED	LEDA
     267	S	IC0750    	179.717606	+42.722404	0	 1	0	 701	36.8	-24.71	 0.09	 2.1	 1.24	IC0750   	NED	LEDA
     268	S	IC0777    	184.849228	+28.309881	0	 0	0	2541	39.0	-21.92	 0.10	 2.6	 0.95	IC0777   	NED	LEDA
     269	S	IC0800    	188.486313	+15.354542	0	 0	0	2326	35.8	-22.20	 0.16	 5.2	 1.56	IC0800   	NED	LEDA
     270	S	IC0851    	197.143127	+21.049742	0	 0	0	2615	39.8	-21.82	 0.15	 3.1	 1.31	IC0851   	NED	LEDA
     271	S	IC0902    	204.005051	+49.960720	0	 0	0	1618	27.9	-21.81	 0.05	 3.1	 1.18	IC0902   	NED	LEDA
     272	S	IC1029    	218.113373	+49.904766	0	 0	0	2383	37.9	-23.95	 0.08	 3.1	 1.22	IC1029   	NED	LEDA
     273	S	IC1048    	220.741150	+04.890127	0	 0	0	1636	26.2	-22.56	 0.16	 3.0	 1.31	IC1048   	NED	LEDA
     274	S	IC1066    	223.261780	+03.295883	0	 0	0	1577	25.3	-21.55	 0.21	 4.9	 1.25	IC1066   	NED	LEDA
     275	S	IC1067    	223.271805	+03.331717	0	 0	0	1577	25.3	-22.18	 0.21	 3.0	 1.28	IC1067   	NED	LEDA
     276	S	IC1125    	233.273407	-01.628264	0	 0	0	2796	40.8	-22.48	 0.66	 7.3	 1.27	IC1125   	NED	LEDA
     277	S	IC1151    	239.634705	+17.441553	0	 0	0	2169	33.7	-22.24	 0.16	 5.2	 1.35	IC1151   	NED	LEDA
     278	S	IC1158    	240.391968	+01.707832	0	 0	0	1927	29.4	-22.15	 0.49	 5.1	 1.45	IC1158   	NED	LEDA
     279	S	IC1265    	264.164398	+42.088383	0	 0	0	2169	34.7	-21.71	 0.14	 2.0	 1.26	IC1265   	NED	LEDA
     280	S	IC1447    	337.499146	-05.119929	0	 0	0	2953	41.6	-22.87	 0.24	 3.1	 1.43	IC1447   	NED	LEDA
     281	S	IC1596    	013.678428	+21.522646	0	 0	0	2674	38.9	-21.54	 0.21	 2.0	 1.13	IC1596   	NED	LEDA
     282	S	IC1711    	022.730280	+17.188482	0	 0	0	2801	40.2	-23.52	 0.45	 3.0	 1.10	IC1711   	NED	LEDA
     283	S	IC2098    	072.684601	-05.418544	0	 0	0	2819	38.5	-22.74	 0.21	 5.9	 1.10	IC2098   	NED	LEDA
     284	S	IC2166    	096.731789	+59.080109	0	 0	0	2692	41.1	-23.81	 0.44	 4.7	 1.59	IC2166   	NED	LEDA
     285	S	IC2327    	125.366501	+03.169287	0	 0	0	2684	37.8	-21.96	 0.11	 1.1	 1.06	IC2327   	NED	LEDA
     286	S	IC2461    	139.991791	+37.191048	0	 0	0	2260	34.7	-22.65	 0.05	 3.2	 1.07	IC2461   	NED	LEDA
     287	S	IC3061    	183.768829	+14.028975	0	 0	0	2316	35.5	-22.12	 0.16	 5.2	 1.26	IC3061   	NED	LEDA
     288	S	IC3102    	184.357605	+06.689988	0	 0	1	2235	16.5	-22.07	 0.10	-0.9	 1.49	IC3102   	NED	LEDA
     289	S	IC3392    	187.180405	+14.999414	0	 0	1	1687	16.5	-21.84	 0.16	 2.5	 1.46	IC3392   	NED	LEDA
     290	S	IC4336    	207.680878	+39.706844	0	 0	0	2530	39.6	-22.37	 0.08	 3.0	 1.36	IC4336   	NED	LEDA
     291	S	IC4582    	236.414215	+28.088715	0	 0	0	2145	34.0	-22.09	 0.13	 4.1	 0.97	IC4582   	NED	LEDA
     292	S	IC5334    	353.651733	-04.534227	0	 0	0	2209	31.1	-22.50	 0.18	 2.7	 1.04	IC5334   	NED	LEDA
     293	S	NGC0063   	004.439690	+11.450358	1	 1	0	1160	18.2	-22.08	 0.48	-3.0	 1.34	NGC0063  	NED	LEDA
     294	S	NGC0224   	010.684710	+41.268749	1	45	0	-300	 0.7	-23.39	 0.46	 3.0	 2.96	NGC0224  	NED	LEDA
     295	S	NGC0278   	013.017918	+47.550537	0	 0	0	 627	12.8	-22.77	 0.62	 2.9	 1.42	NGC0278  	NED	LEDA
     296	S	NGC0428   	018.232122	+00.981581	0	 0	0	1152	16.7	-21.74	 0.12	 8.6	 1.69	NGC0428  	NED	LEDA
     297	S	NGC0473   	019.979469	+16.544645	0	 0	0	2134	31.1	-22.93	 0.39	-0.3	 1.23	NGC0473  	NED	LEDA
     298	S	NGC0485   	020.364977	+07.018058	0	 0	0	2247	32.0	-21.72	 0.26	 0.0	 1.28	NGC0485  	NED	LEDA
     299	S	NGC0488   	020.445200	+05.256720	0	 0	0	2272	32.2	-25.58	 0.13	 2.9	 1.80	NGC0488  	NED	LEDA
     300	S	NGC0489   	020.474596	+09.206488	0	 0	0	2507	35.7	-23.22	 0.18	 0.0	 1.03	NGC0489  	NED	LEDA
     301	S	NGC0493   	020.537439	+00.945335	0	 0	0	2338	32.8	-22.32	 0.14	 5.9	 1.50	NGC0493  	NED	LEDA
     302	S	NGC0514   	021.016270	+12.917349	0	 1	0	2472	34.4	-23.55	 0.17	 5.3	 1.72	NGC0514  	NED	LEDA
     303	S	NGC0518   	021.073431	+09.330955	0	 0	0	2725	38.6	-23.17	 0.34	 1.0	 1.25	NGC0518  	NED	LEDA
     304	S	NGC0520   	021.146130	+03.792410	0	 0	0	2281	32.2	-24.17	 0.12	 0.8	 1.57	NGC0520  	NED	LEDA
     305	S	NGC0522   	021.191061	+09.994623	0	 0	0	2725	38.7	-23.53	 0.37	 4.1	 1.37	NGC0522  	NED	LEDA
     306	S	NGC0532   	021.322283	+09.264087	0	 0	0	2361	33.7	-23.84	 0.40	 1.9	 1.44	NGC0532  	NED	LEDA
     307	S	NGC0573   	022.705626	+41.257317	0	 0	0	2788	41.6	-22.03	 0.22	 0.0	 1.02	NGC0573  	NED	LEDA
     308	S	NGC0620   	024.248648	+42.323357	0	 0	0	2507	37.8	-21.90	 0.29	 7.0	 1.26	NGC0620  	NED	LEDA
     309	S	NGC0628   	024.174049	+15.783460	0	 3	0	 657	 7.2	-22.47	 0.30	 5.2	 2.15	NGC0628  	NED	LEDA
     310	S	NGC0660   	025.759790	+13.645680	0	 0	0	 850	13.5	-23.33	 0.28	 1.2	 1.84	NGC0660  	NED	LEDA
     311	S	NGC0678   	027.353580	+21.997299	0	 0	0	2835	40.9	-24.39	 0.37	 3.0	 1.29	NGC0678  	NED	LEDA
     312	S	NGC0691   	027.673841	+21.759899	0	 0	0	2665	38.6	-24.14	 0.31	 4.0	 1.76	NGC0691  	NED	LEDA
     313	S	NGC0693   	027.628531	+06.145210	0	 0	0	1567	22.5	-22.56	 0.23	 0.2	 1.21	NGC0693  	NED	LEDA
