#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T23:33:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T23:33:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/453/2965/table4&-out=Name,mue,e_mue,reff,e_reff,n,e_n,Class,mu0,e_mu0,hi,e_hi,ho,e_ho,rB,e_rB,alpha,e_alpha,ClassD,magPS,e_magPS&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74532965
#Name: J/MNRAS/453/2965
#Title: Surface photometry of GHASP galaxies (Barbosa+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	creator=Barbosa C.E.	    First author or institution
#INFO	cites=bibcode:2015MNRAS.453.2965B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/453/2965	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74532965	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_453_2965_table4:
#Name: J/MNRAS/453/2965/table4
#Title: Decomposition parameters for the GHASP sample in the Rc band obtained at the OHP observatory
#Column	Name	(A10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	mue	(F8.5)	? Sersic function surface brightness at the effective radius	[ucd=phot.mag.sb]
#Column	e_mue	(F8.5)	? Error on mue	[ucd=stat.error]
#Column	reff	(F9.5)	? Effective radius of Sersic function	[ucd=phys.angSize]
#Column	e_reff	(F8.5)	? Error on reff	[ucd=stat.error]
#Column	n	(F8.5)	? Sersic index n	[ucd=stat.fit.param]
#Column	e_n	(F8.5)	? Error on n	[ucd=stat.error]
#Column	Class	(a7)	Visual classification of the component	[ucd=src.class]
#Column	mu0	(F8.5)	? Central surface brightness of the disk	[ucd=phot.mag.sb]
#Column	e_mu0	(F8.5)	? Error on mu0	[ucd=stat.error]
#Column	hi	(F9.5)	? (Inner) Disk scale length	[ucd=src.morph.scLength]
#Column	e_hi	(F8.5)	? Error on hi	[ucd=stat.error]
#Column	ho	(F8.5)	? Outer disc scale length	[ucd=src.morph.scLength]
#Column	e_ho	(F9.5)	? Error on ho	[ucd=stat.error]
#Column	rB	(F9.5)	? Break radius	[ucd=stat.fit.param]
#Column	e_rB	(F8.5)	? Error on rB	[ucd=stat.error]
#Column	alpha	(F8.5)	? Smoothing parameter of the broken disk	[ucd=stat.fit.param]
#Column	e_alpha	(F8.5)	? Error on alpha	[ucd=stat.error;pos.eq.ra]
#Column	ClassD	(A8)	Classification of the disk according to breaks/truncation (1)	[ucd=meta.code.class]
#Column	magPS	(F8.5)	? Magnitude of the central point source	[ucd=phot.mag;em.opt.R]
#Column	e_magPS	(F8.5)	? Error on magPS	[ucd=stat.error]
Name	mue	e_mue	reff	e_reff	n	e_n	Class	mu0	e_mu0	hi	e_hi	ho	e_ho	rB	e_rB	alpha	e_alpha	ClassD	magPS	e_magPS
UGC 5935  	22.23400	 0.13000	 30.05300	 9.12305	 0.42638	 0.17477	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 5982  	19.50800	 0.07336	  1.67000	 0.37319	 2.96820	 0.32607	bulge  	19.46700	 0.05488	 26.26000	 1.35579	15.44100	  8.01032	 83.60600	36.49314	 0.12169	 0.36261	Type II 	        	
UGC 6523  	18.05200	 0.12815	  0.00087	 0.10000	 2.99750	 0.07387	nucleus	19.60700	 0.35735	  8.69690	 1.45684	        	         	         	        	        	        	Type I  	        	
UGC 6523  	20.19700	 0.11521	  5.49080	 0.25019	 0.05107	 0.05000	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 6537  	19.04300	 0.05000	  1.93740	 0.10000	 2.71320	 0.05000	bulge  	20.08600	 0.05000	 80.47700	 0.10086	47.07800	  0.10708	 58.13200	 0.10374	 1.00000	 0.16697	Type II 	        	
UGC 6537  	20.51400	 0.05000	  7.13950	 0.10000	 0.47268	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 6628  	19.27200	 0.12586	  0.30101	 0.12807	 1.51670	 0.13339	nucleus	21.62400	 0.06065	 34.61400	 3.07573	        	         	         	        	        	        	Type I  	        	
UGC 6628  	23.02900	 0.07505	  7.48730	 0.17095	 0.05204	 0.05000	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 6702  	17.97500	 0.22761	  1.32840	 0.13687	 1.40300	 0.29533	bulge  	20.80000	 0.36997	 10.00000	 3.62348	        	         	         	        	        	        	Type I  	        	
UGC 6778  	21.49400	 0.05449	 15.32900	 0.28169	 3.73750	 0.12129	bulge  	20.00000	 0.06052	 35.00000	 2.96888	        	         	         	        	        	        	Type I  	        	
UGC 6778  	20.37100	 0.09300	 16.20200	 0.72084	 0.53379	 0.07962	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 6778  	22.09900	 0.67285	 37.25300	 1.53766	 0.05212	 0.05001	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 6787  	16.35300	 0.05036	  1.69750	 0.10063	 0.05085	 0.05000	bulge  	20.80000	 0.06043	 48.00000	10.18649	        	         	         	        	        	        	Type I  	        	
UGC 6787  	19.60100	 0.06861	  3.91070	 0.12688	 0.05086	 0.05000	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 6787  	18.87800	 0.05079	 10.35400	 0.12859	 0.58621	 0.05205	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 6787  	21.29800	 0.05864	 39.03400	 1.81336	 0.85384	 0.05231	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 7045  	22.94100	 0.05000	 27.77000	 0.10160	 3.30960	 0.05001	bulge  	19.71100	 0.05000	 45.71100	 0.10056	23.21400	  0.14921	 94.81800	 0.12559	 1.00000	 0.21157	Type II 	        	
UGC 7154  	13.49300	 0.05000	  0.10000	 0.10000	 0.11611	 0.05000	nucleus	21.48100	 0.05000	123.83000	 0.10000	29.85300	  0.10000	120.22000	 0.10000	 2.56680	 0.23278	Type II 	        	
UGC 7154  	21.06300	 0.05000	  7.63750	 0.10000	 0.26516	 0.05000	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 7154  	21.37500	 0.05000	 17.47200	 0.10000	 0.40719	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 7278  	19.14100	 0.05096	  2.72230	 0.10377	 0.05221	 0.05000	nucleus	19.35300	 0.05068	 40.77800	 1.70583	        	         	         	        	        	        	Type I  	        	
UGC 7278  	20.80700	 0.05608	  7.94780	 0.14807	 0.05119	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 7278  	21.25000	 0.05842	 23.65900	 1.46412	 0.31515	 0.05374	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 7323  	18.61400	 0.07985	  0.52516	 0.10007	 0.08034	 0.06727	nucleus	20.73700	 0.05014	 51.46300	 0.40307	        	         	         	        	        	        	Type I  	        	
UGC 7524  	30.00000	 0.05000	  3.00000	 0.58765	 7.94120	 0.05000	nucleus	22.19200	 0.05000	155.41000	 0.14405	        	         	         	        	        	        	Type I  	        	
UGC 7524  	23.09600	 0.05000	 29.69700	 0.10114	 0.26507	 0.05000	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 7524  	23.81200	 0.05001	 28.01800	 0.10083	 0.08605	 0.05001	arm    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 7524  	23.60100	 0.05000	132.77000	 0.19211	 0.13180	 0.05000	arm    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 7592  	19.97000	 0.06270	  9.91240	 0.13232	 0.05095	 0.05000	bar    	19.50000	 0.05109	 50.23000	 2.90182	        	         	         	        	        	        	Type I  	        	
UGC 7592  	19.76100	 0.05678	 32.65500	 0.59116	 0.10719	 0.06395	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 7592  	21.38700	 0.13377	 63.99900	 3.54861	 0.31374	 0.11949	arms   	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 7699  	21.80700	 0.05000	  6.81060	 0.10000	 0.31087	 0.05000	bar    	20.36900	 0.05000	 34.57800	 0.10000	23.52300	  0.10000	 77.08100	 0.10001	14.95200	 1.92929	Type II 	        	
UGC 7831  	        	        	         	        	        	        	---    	18.94100	 0.05003	 70.54200	 0.28981	30.94300	  0.23231	 47.87400	 0.14096	 1.13750	 0.30346	Type II 	        	
UGC 7861  	22.92800	 0.07334	 12.12100	 1.98192	 3.41930	 0.26816	nucleus	21.00000	 0.17743	 20.00000	 2.68466	        	         	         	        	        	        	Type I  	        	
UGC 7861  	20.64000	 0.10272	  8.03940	 0.29883	 0.40853	 0.06403	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 7861  	22.06500	 0.26465	 27.14100	 0.57240	 0.11504	 0.06039	arm    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 7876  	22.88100	 0.05105	 12.31600	 0.12188	 1.70050	 0.05055	bulge  	21.16900	 0.05035	 35.83000	 0.49825	16.06900	  0.88104	 50.95700	 0.97615	 1.00000	 3.15449	Type II 	        	
UGC 7901  	20.80500	 0.05018	 15.60900	 0.21506	 3.11060	 0.05100	nucleus	19.86400	 0.10503	 34.89600	22.75922	        	         	         	        	        	        	Type I  	        	
UGC 7901  	20.27000	 0.07310	 20.92800	 0.85645	 0.18700	 0.05956	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 7971  	        	        	         	        	        	        	---    	21.61200	 0.05995	 23.44300	 3.63907	        	         	         	        	        	        	Type I  	        	
UGC 8334  	16.20600	 0.05191	  1.88550	 0.10022	 0.05098	 0.05000	nucleus	19.15000	 0.13925	 80.00000	10.94646	        	         	         	        	        	        	Type I  	        	
UGC 8334  	19.07700	 0.09433	 10.52500	 0.94068	 0.33374	 0.05412	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 8334  	19.74700	 0.20758	 34.33800	 5.07798	 0.21767	 0.12683	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 8403  	20.99900	 0.05000	 12.68800	 0.10001	 0.38552	 0.05000	bar    	20.57600	 0.05000	 41.19500	 0.10002	16.31800	  0.10184	 92.01600	 0.10201	10.45100	 2.75122	Type II 	        	
UGC 8490  	21.42300	 0.13521	  3.35320	 0.10675	 0.05732	 0.05004	bulge  	20.14800	 0.05087	 33.06800	 0.50720	        	         	         	        	        	        	Type I  	        	
UGC 8490  	22.65200	 0.06102	 15.55600	 0.60794	 0.26107	 0.06084	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 8709  	22.85000	 0.05037	 38.68500	 0.22932	 3.41560	 0.05056	bulge  	20.70400	 0.05347	123.09000	 6.86233	18.93900	  1.11868	 56.38500	 1.46063	 0.24318	 0.10472	Type II 	        	
UGC 8709  	21.65600	 0.05923	 22.93800	 0.12227	 0.03838	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 8900  	21.69700	 0.05040	 13.53800	 0.10826	 3.55400	 0.05191	bulge  	20.50000	 0.05086	 35.00000	 0.58640	        	         	         	        	        	        	Type I  	        	
UGC 8900  	21.77000	 0.05223	 34.95000	 0.35893	 0.08611	 0.05039	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 8900  	22.68800	 0.05923	 51.99100	 1.33066	 0.13393	 0.09297	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 8937  	17.09600	 0.09672	  1.54600	 0.11965	 0.55562	 0.06137	bulge  	19.70100	 0.15007	 16.50000	 2.52428	        	         	         	        	        	        	Type I  	        	
UGC 8937  	20.50800	 0.15488	 16.55200	 0.97168	 0.35961	 0.11172	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 9013  	21.00200	 0.05000	 15.34200	 0.10013	 0.89215	 0.05000	bulge  	21.80700	 0.05000	212.65000	 2.03985	20.42600	  0.23606	103.92000	 0.31541	 1.00000	 0.41997	Type II 	        	
UGC 9363  	22.30300	 0.20347	 30.50600	 4.87793	 2.10650	 0.16150	bulge  	21.39800	 0.42867	 35.87100	10.42748	        	         	         	        	        	        	Type I  	        	
UGC 9366  	19.70100	 0.05119	  5.26570	 0.13724	 1.60330	 0.06570	bulge  	19.08400	 0.05048	 32.01500	 0.25598	21.79900	  0.73094	 60.69300	 0.85285	 1.00000	 0.44694	Type II 	        	
UGC 9366  	26.54700	 0.05921	 37.68200	 1.46292	 6.11430	 0.05439	arm    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 9649  	28.41600	 0.05001	  0.33423	 0.14528	 6.21000	 0.05000	bulge  	20.25600	 0.05000	 24.86600	 0.10004	        	         	         	        	        	        	Type I  	        	
UGC 9753  	19.67600	 0.43674	  4.60290	 1.00748	 2.59710	 0.56594	nucleus	19.90100	 0.12434	 30.75600	 2.25112	        	         	         	        	        	        	Type I  	        	
UGC 9753  	19.38400	 0.08552	 13.50100	 0.46754	 0.47504	 0.06774	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 9858  	18.65400	 0.16734	  1.22660	 0.10794	 0.24881	 0.09195	bulge  	19.97100	 0.10209	 28.43700	 2.15682	        	         	         	        	        	        	Type I  	        	
UGC 9858  	20.99400	 0.06285	 11.70900	 0.51671	 0.54768	 0.06006	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 9866  	23.45000	 0.67944	  1.32650	 1.84961	 4.13220	 0.55415	bulge  	19.42900	 0.05210	 29.60500	 1.00817	12.40200	  1.33575	 36.52500	 3.51442	 0.28023	 0.12375	Type II 	        	
UGC 9969  	20.89200	 0.05000	 11.87300	 0.10000	 2.12480	 0.05000	bulge  	20.70500	 0.05000	267.90000	 0.10601	35.07000	  0.10001	 47.78600	 0.10001	 0.13644	 0.10000	Type II 	        	
UGC 9969  	19.60700	 0.05000	  0.10000	 0.10068	 2.82800	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 9992  	        	        	         	        	        	        	---    	21.49800	 0.05291	 14.74900	 1.39828	        	         	         	        	        	        	Type I  	        	
UGC 10310 	23.59300	 0.05001	  7.14280	 0.10023	 0.00021	 0.05000	bar    	21.66000	 0.05000	 30.71700	 0.10084	        	         	         	        	        	        	Type I  	        	
UGC 10359 	20.31800	 0.05001	  9.57260	 0.10035	 0.22863	 0.05000	bar    	20.36900	 0.05002	 32.88700	 0.19954	        	         	         	        	        	        	Type I  	        	
UGC 10359 	18.77000	 0.05064	  0.28692	 0.10057	 0.05110	 0.05000	nucleus	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 10445 	21.93700	 0.07231	  7.26540	 1.12585	 1.09860	 0.09073	bulge  	21.58700	 0.07020	 66.59200	 6.78324	11.37200	  1.98692	 33.37800	 0.91594	 0.77519	 0.40620	Type II 	        	
UGC 10652 	21.05000	 0.05023	  4.07660	 0.10077	 0.80755	 0.05018	bulge  	19.62800	 0.05005	  9.97640	 0.11079	 7.94390	  0.84664	 24.03900	 1.47709	 1.00000	 2.78110	Type II 	        	
UGC 10757 	22.45000	 0.22487	  4.97840	 0.48320	 1.08080	 0.11988	bulge  	20.50600	 0.06823	 15.12500	 0.68607	 9.44730	  1.02479	 25.05500	 1.07596	 1.00000	 4.86483	Type II 	        	
UGC 10897 	19.45300	 0.08084	  1.82980	 0.11246	 0.59462	 0.06493	nucleus	20.47700	 0.05407	 40.58700	 1.38960	13.97100	  2.31047	 44.35500	 1.15324	 0.74465	 0.46510	Type II 	        	
UGC 10897 	20.69700	 0.05233	  6.98850	 0.10482	 0.23949	 0.05237	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 11283 	20.71500	 0.06808	  3.26510	 0.13889	 0.64656	 0.05548	bulge  	21.92600	 0.08694	 25.57600	 3.22455	        	         	         	        	        	        	Type I  	        	
UGC 11283 	22.15100	 0.12437	 24.05500	 0.78157	 0.23707	 0.08344	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 11283c	22.83400	 0.05000	  1.29630	 0.10000	 1.03050	 0.05000	bar    	21.43300	 0.05000	 20.86600	 0.10000	11.29800	  0.10000	 13.49600	 0.10000	28.07300	 0.10000	Type II 	        	
UGC 11300 	21.82400	 0.15587	  8.42130	 1.49724	 1.21740	 0.15161	bulge  	19.98400	 0.06522	 35.58900	 1.37833	        	         	         	        	        	        	Type I  	        	
UGC 11466 	        	        	         	        	        	        	---    	18.66000	 0.05793	 12.55600	 0.36855	        	         	         	        	        	        	Type I  	        	
UGC 11470 	18.47300	 0.05121	  5.25640	 0.10658	 1.76290	 0.09178	bulge  	19.44900	 0.28835	 22.68000	26.99619	        	         	         	        	        	        	Type I  	        	
UGC 11470 	20.50400	 0.35069	 15.13300	 3.39587	 0.29881	 0.14337	lens   	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 11597 	17.30600	 0.05046	  2.58670	 0.10160	 1.14350	 0.05611	nucleus	19.19800	 0.11215	118.49000	29.94817	37.46800	113.00004	225.93000	28.01018	 8.29430	 0.10000	Type II 	        	
UGC 11597 	20.18100	 0.11119	 12.89200	 3.03115	 0.36907	 0.06738	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 11670 	18.04700	 0.18692	  5.68770	 0.37329	 1.91180	 0.36024	bulge  	19.97600	 0.42355	 54.90900	25.26720	        	         	         	        	        	        	Type I  	        	
UGC 11670 	19.60200	 0.15821	 22.82100	 1.99561	 0.17009	 0.08885	arms   	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 11707 	21.86700	 0.06086	  9.96020	 0.27221	 0.65259	 0.05486	bulge  	22.12800	 0.07029	 76.44800	 7.83144	        	         	         	        	        	        	Type I  	        	
UGC 11852 	18.35500	 0.16140	  1.15990	 0.18796	 1.58270	 0.21886	bulge  	20.59900	 0.16299	 12.88000	 2.22854	        	         	         	        	        	        	Type I  	        	
UGC 11852 	20.66800	 0.06515	  6.89830	 0.19665	 0.38938	 0.06575	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 11861 	20.31000	 0.05000	  9.89400	 0.10111	 0.75088	 0.05000	bar    	20.90700	 0.05009	500.00000	 0.10000	37.14600	  0.20422	 43.10700	 0.16986	 1.00000	 0.17943	Type II 	        	
UGC 11891 	        	        	         	        	        	        	---    	21.06300	 0.05467	 58.83200	 1.83153	        	         	         	        	        	        	Type I  	        	
UGC 11909 	20.27600	 0.19843	  5.96030	 0.83615	 1.12380	 0.19789	bulge  	20.13600	 0.10978	 61.36000	 8.51739	        	         	         	        	        	        	Type I  	        	
UGC 11914 	17.27800	 0.05000	  8.09850	 0.10000	 1.48790	 0.05000	bulge  	17.26500	 0.05000	 27.62700	 0.10000	34.59900	  0.10002	 59.66200	 0.10012	 7.39190	 1.10633	Type III	        	
UGC 11951 	19.71000	 0.05005	  2.27820	 0.10005	 1.02380	 0.05158	nucleus	19.51000	 0.05070	 34.56600	 1.22030	13.70200	  1.02778	 22.28500	 0.22543	 4.53320	11.08645	Type II 	        	
UGC 11951 	19.59400	 0.05008	  7.17790	 0.10459	 0.36000	 0.05000	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 12060 	24.05400	 0.07849	  4.86160	 0.16714	 0.05102	 0.05000	bar    	21.07500	 0.05014	 33.54600	 0.58814	        	         	         	        	        	        	Type I  	        	
UGC 12060 	24.70300	 0.12409	  6.59340	 0.65009	 0.06029	 0.05239	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 12082 	23.33900	 0.05442	 12.94700	 0.45791	 0.93379	 0.06441	bulge  	22.48100	 0.06623	 45.61300	 8.01112	        	         	         	        	        	        	Type I  	        	
UGC 12082 	24.59400	 0.23105	 17.44300	 0.48600	 0.05088	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 12101 	21.15700	 0.05617	  5.80200	 0.10534	 0.54075	 0.06458	bulge  	20.63000	 0.05980	 91.78000	11.95642	 8.65530	  2.06752	 48.43000	 2.28389	 0.06231	 0.10006	Type II 	        	
UGC 12101 	19.72900	 0.41889	  0.55671	 0.10033	 0.09995	 0.05249	nucleus	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 12212 	29.99900	 0.05001	  0.00023	 0.10000	 6.24730	 0.05005	bulge  	21.80000	 0.05001	 21.50400	 0.10814	        	         	         	        	        	        	Type I  	        	
UGC 12212 	24.37300	 0.05040	  6.37150	 0.10209	 0.05145	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 12276 	18.20200	 0.05000	  0.01457	 0.17980	 2.77010	 0.05000	bulge  	19.91600	 0.05000	 11.84200	 0.10001	        	         	         	        	        	        	Type I  	        	
UGC 12276 	20.90700	 0.05000	  5.57380	 0.10000	 0.01291	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 12276c	        	        	         	        	        	        	---    	20.25200	 0.09241	  2.83800	 0.26416	        	         	         	        	        	        	Type I  	        	
UGC 12343 	21.92400	 0.05000	  0.10000	 0.10039	 4.04380	 0.05000	bulge  	17.84000	 0.05000	  4.23740	 0.10000	        	         	         	        	        	        	Type I  	        	
UGC 12343 	20.49800	 0.05000	 51.11300	 0.10000	 0.63640	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 12632 	23.09200	 0.07421	  2.88410	 0.11292	 0.05129	 0.05000	bulge  	22.07400	 0.05267	 57.89500	 4.44762	        	         	         	        	        	        	Type I  	        	
UGC 12632 	23.37100	 0.08004	  9.82550	 0.35080	 0.09649	 0.06104	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 12754 	20.54100	 0.08016	  1.70670	 0.11759	 0.69988	 0.15296	nucleus	20.48500	 0.10266	 50.76900	 3.85530	        	         	         	        	        	        	Type I  	        	
UGC 12754 	20.29100	 0.05282	 11.26600	 0.15333	 0.28588	 0.05046	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 12754 	22.36200	 0.26965	 24.87000	 0.40128	 0.05109	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	

