#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T23:33:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T23:33:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/453/2965/table3&-out=Name,Data,PA,e_PA,e,e_e,i,e_i,r,e_r,Rmag,e_Rmag,reff,e_reff,Rmagtot,e_Rmagtot,Phot&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74532965
#Name: J/MNRAS/453/2965
#Title: Surface photometry of GHASP galaxies (Barbosa+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	creator=Barbosa C.E.	    First author or institution
#INFO	cites=bibcode:2015MNRAS.453.2965B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/453/2965	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74532965	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_453_2965_table3:
#Name: J/MNRAS/453/2965/table3
#Title: Isophotal and integrated photometric parameters in the Rc band at the isophote of 22.5mag/arcsec^2^
#Column	Name	(A10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Data	(A4)	Data source	[ucd=meta.code]
#Column	PA	(I3)	[]? Position angle at the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=pos.posAng]
#Column	e_PA	(I3)	? Error in PA	[ucd=stat.error]
#Column	e	(F5.2)	? Ellipticity at the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=src.ellipticity]
#Column	e_e	(F5.2)	? rms uncertainty on e	[ucd=stat.error]
#Column	i	(F4.1)	? Inclination at the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=src.orbital.inclination]
#Column	e_i	(F5.1)	? Error in inclination	[ucd=stat.error]
#Column	r	(I3)	? Isophotal radius to the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=phys.angSize]
#Column	e_r	(I3)	? Error in isophotal radius	[ucd=stat.error]
#Column	Rmag	(F6.3)	? Integrated magnitude within the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=phot.mag;em.opt.R]
#Column	e_Rmag	(E9.2)	? Error in the integrated magnitude	[ucd=stat.error;phot.mag;em.opt.R]
#Column	reff	(F5.1)	Effective radius	[ucd=phys.angSize]
#Column	e_reff	(F4.1)	? Error in the effective radius	[ucd=stat.error]
#Column	Rmagtot	(F6.3)	Total magnitude	[ucd=phot.mag;em.opt.R]
#Column	e_Rmagtot	(F6.3)	? Error in total magnitude	[ucd=stat.error]
#Column	Phot	(A1)	[0/1] Photometry flag (1)	[ucd=meta.code]
Name	Data	PA	e_PA	e	e_e	i	e_i	r	e_r	Rmag	e_Rmag	reff	e_reff	Rmagtot	e_Rmagtot	Phot
UGC 7323  	SDSS	  2	 10	 0.40	 0.10	54.0	  9.0	 95	 12	11.500	 2.00e-01	 80.0	36.0	11.100	 0.600	1
UGC 7524  	OHP 	-58	  3	 0.72	 0.01	78.7	  0.9	131	 10	11.700	 1.00e-01	198.0	    	10.000	      	0
UGC 7592  	OHP 	 51	  3	 0.39	 0.01	54.1	  0.7	140	  6	 9.340	 2.00e-02	 66.0	 4.0	 9.120	 0.060	1
UGC 7592  	SDSS	 48	  3	 0.40	 0.01	54.5	  0.8	134	 10	 9.430	 3.00e-02	 61.0	 2.0	 9.280	 0.060	1
UGC 7699  	OHP 	 36	  2	 0.77	 0.01	83.0	  1.0	 70	  3	12.880	 4.00e-02	 57.0	 1.0	12.310	 0.030	1
UGC 7699  	SDSS	 36	  2	 0.77	 0.02	84.0	  2.0	 71	 13	12.900	 2.00e-01	 62.0	11.0	12.200	 0.200	1
UGC 7766  	SDSS	-36	  2	 0.63	 0.01	71.3	  0.8	174	 23	 9.980	 9.00e-02	104.0	 3.0	 9.740	 0.030	1
UGC 7831  	OHP 	-58	  2	 0.52	 0.03	64.0	  2.0	121	 13	 9.910	 6.00e-02	 71.0	 6.0	 9.700	 0.100	1
UGC 7831  	SDSS	-61	  2	 0.57	 0.02	67.0	  2.0	124	 10	 9.950	 4.00e-02	 69.0	 2.0	 9.790	 0.060	1
UGC 7853  	SDSS	 11	 11	 0.31	 0.05	47.0	  4.0	 98	 17	10.700	 2.00e-01	 46.0	    	11.000	      	0
UGC 7861  	OHP 	-11	  2	 0.10	 0.01	26.0	  2.0	 41	  1	12.090	 2.00e-02	 25.0	 4.0	11.900	 0.200	1
UGC 7861  	SDSS	-40	  2	 0.14	 0.02	31.0	  3.0	 38	  2	12.220	 5.00e-02	 24.0	10.0	12.000	 0.500	1
UGC 7876  	OHP 	 -5	  3	 0.45	 0.03	59.0	  2.0	 47	  2	12.890	 6.00e-02	 37.0	 4.0	12.320	 0.050	1
UGC 7876  	SDSS	 -4	  3	 0.47	 0.07	60.0	  5.0	 48	  9	12.900	 3.00e-01	 29.0	    	13.000	      	0
UGC 7901  	OHP 	 78	  2	 0.35	 0.01	50.8	  0.9	 87	  6	10.370	 3.00e-02	 36.0	 1.0	10.150	 0.030	1
UGC 7901  	SDSS	 78	  4	 0.36	 0.02	51.0	  2.0	 87	 13	10.420	 6.00e-02	 35.0	 3.0	10.260	 0.090	1
UGC 7971  	OHP 	 16	  3	 0.20	 0.06	38.0	  6.0	 20	  5	15.300	 4.00e-01	 39.0	 7.0	13.100	 0.200	1
UGC 7971  	SDSS	 39	 14	 0.30	 0.10	47.0	 12.0	 22	  8	15.000	 9.00e-01	 33.0	23.0	14.000	 1.000	1
UGC 7985  	SDSS	 82	  4	 0.27	 0.01	43.9	  0.9	 53	  4	11.690	 5.00e-02	 31.0	 5.0	11.500	 0.300	1
UGC 8334  	OHP 	-78	  2	 0.43	 0.01	56.7	  0.9	247	  5	 8.280	 1.00e-02	105.6	 0.9	 8.091	 0.010	1
UGC 8334  	SDSS	-78	  2	 0.45	 0.01	58.3	  0.9	256	 32	 8.340	 6.00e-02	115.0	 1.0	 8.133	 0.008	1
UGC 8403  	OHP 	-60	  2	 0.51	 0.02	63.0	  2.0	 74	  1	11.930	 4.00e-02	 65.0	11.0	11.400	 0.200	1
UGC 8403  	SDSS	-57	  3	 0.48	 0.02	61.0	  2.0	 63	  8	12.100	 2.00e-01	 54.0	 8.0	11.500	 0.200	1
UGC 8490  	OHP 	 -7	  2	 0.43	 0.01	57.0	  1.0	 74	  3	11.670	 4.00e-02	 57.0	 3.0	11.170	 0.050	1
UGC 8490  	SDSS	 -7	  2	 0.45	 0.03	58.0	  2.0	 76	  8	11.600	 1.00e-01	 50.0	15.0	11.300	 0.300	1
UGC 8709  	OHP 	-33	  2	 0.72	 0.01	78.7	  0.8	 85	  2	11.560	 1.00e-02	 45.0	14.0	11.300	 0.200	1
UGC 8709  	SDSS	-35	  2	 0.73	 0.01	79.5	  0.9	 87	  7	11.560	 4.00e-02	 38.0	 8.0	11.400	 0.100	1
UGC 8852  	SDSS	 64	  2	 0.43	 0.01	56.6	  0.8	 48	  3	11.770	 3.00e-02	 22.0	 6.0	11.700	 0.400	1
UGC 8863  	SDSS	 42	  2	 0.64	 0.01	71.9	  1.0	 84	 10	11.050	 5.00e-02	 35.0	    	11.000	      	0
UGC 8900  	OHP 	-12	  2	 0.54	 0.01	65.3	  0.8	 78	  1	11.280	 8.00e-03	 47.0	 2.0	11.140	 0.030	1
UGC 8900  	SDSS	  0	  2	 0.66	 0.01	73.7	  0.9	 46	  1	11.940	 1.00e-02	 44.0	 4.0	11.220	 0.090	1
UGC 8937  	OHP 	  7	  2	 0.42	 0.01	56.1	  0.8	 55	  1	11.670	 1.00e-02	 27.0	 2.0	11.500	 0.100	1
UGC 8937  	SDSS	  8	  4	 0.43	 0.02	57.0	  1.0	 55	  5	11.670	 4.00e-02	 25.0	    	12.000	      	0
UGC 9013  	OHP 	  9	  2	 0.43	 0.02	57.0	  1.0	107	  3	11.130	 6.00e-02	 84.0	 5.0	10.630	 0.070	1
UGC 9013  	SDSS	 26	 12	 0.07	 0.04	22.0	  6.0	 78	  5	11.130	 9.00e-02	 64.0	 1.0	10.900	 0.100	1
UGC 9179  	SDSS	 41	  7	 0.41	 0.05	56.0	  4.0	 79	 12	11.600	 2.00e-01	 71.0	21.0	10.900	 0.300	1
UGC 9219  	SDSS	-76	  2	 0.41	 0.02	56.0	  1.0	 31	  6	13.800	 2.00e-01	 31.0	22.0	13.100	 0.900	1
UGC 9248  	SDSS	 84	  3	 0.44	 0.02	58.0	  1.0	 24	  1	13.430	 3.00e-02	 20.0	    	13.000	      	0
UGC 9358  	SDSS	  4	  3	 0.46	 0.04	59.0	  3.0	 71	  5	11.020	 4.00e-02	 30.0	 9.0	10.900	 0.200	1
UGC 9363  	OHP 	-77	 10	 0.16	 0.01	33.0	  1.0	 52	  3	11.840	 4.00e-02	 39.0	 6.0	11.300	 0.100	1
UGC 9363  	SDSS	 86	 31	 0.16	 0.02	34.0	  2.0	 56	 11	11.800	 2.00e-01	 36.0	19.0	11.300	 0.600	1
UGC 9366  	OHP 	 47	  2	 0.54	 0.01	64.7	  0.7	 90	  2	10.638	 8.00e-03	 40.0	 5.0	10.490	 0.080	1
UGC 9366  	SDSS	 47	  2	 0.55	 0.01	65.7	  1.0	 89	  6	10.720	 3.00e-02	 39.0	 7.0	10.600	 0.100	1
UGC 9406  	SDSS	-74	 32	 0.17	 0.02	35.0	  2.0	 30	  4	13.400	 2.00e-01	 21.0	17.0	13.000	 1.000	1
UGC 9465  	SDSS	-50	  2	 0.45	 0.02	58.0	  1.0	 24	  1	14.240	 3.00e-02	 28.0	13.0	13.400	 0.500	1
UGC 9576  	SDSS	-66	 29	 0.27	 0.07	44.0	  6.0	 39	  8	12.800	 3.00e-01	 33.0	    	12.000	      	0
UGC 9649  	OHP 	 35	  2	 0.27	 0.01	44.0	  1.0	 52	  2	12.150	 2.00e-02	 38.0	 3.0	11.660	 0.070	1
UGC 9736  	SDSS	 40	  2	 0.38	 0.02	53.0	  1.0	 48	  4	12.500	 8.00e-02	 34.0	18.0	12.300	 0.600	1
UGC 9753  	OHP 	  1	  2	 0.59	 0.01	68.8	  0.7	 74	  2	11.240	 1.00e-02	 30.0	 3.0	10.990	 0.080	1
UGC 9753  	SDSS	  1	  2	 0.62	 0.01	70.6	  0.8	 76	  9	11.250	 6.00e-02	 30.0	 3.0	11.000	 0.080	1
UGC 9858  	OHP 	 71	  2	 0.75	 0.02	81.0	  2.0	 66	  1	12.510	 3.00e-02	 49.0	 8.0	11.980	 0.090	1
UGC 9858  	SDSS	 69	  2	 0.80	 0.02	    	     	 68	  5	12.580	 9.00e-02	 36.0	51.0	12.300	 0.800	1
UGC 9866  	OHP 	-36	  2	 0.54	 0.01	64.6	  0.8	 57	  1	11.680	 1.00e-02	 30.2	 0.2	11.550	 0.020	1
UGC 9866  	SDSS	-37	  2	 0.53	 0.01	64.4	  0.7	 56	  3	11.720	 3.00e-02	 31.0	 3.0	11.600	 0.200	1
UGC 9943  	SDSS	 88	  3	 0.40	 0.04	55.0	  3.0	 65	  6	11.180	 7.00e-02	 25.0	    	11.000	      	0
UGC 9969  	OHP 	 16	  2	 0.49	 0.01	61.7	  0.8	100	  3	10.830	 2.00e-02	 62.0	 2.0	10.570	 0.090	1
UGC 9969  	SDSS	 14	  2	 0.49	 0.01	61.7	  0.7	 96	 11	10.980	 9.00e-02	 61.0	 2.0	10.750	 0.060	1
UGC 9992  	OHP 	   	   	 0.22	 0.01	39.9	  0.9	-12	  2	22.534	 1.00e-12	 36.0	19.0	13.900	 0.600	1
UGC 10075 	SDSS	 28	  2	 0.55	 0.02	65.0	  1.0	 95	  7	10.940	 6.00e-02	 50.0	 3.0	10.700	 0.200	1
UGC 10310 	OHP 	  0	  2	 0.42	 0.01	56.0	  1.0	 22	  3	14.800	 2.00e-01	 43.0	    	13.000	      	0
UGC 10310 	SDSS	  2	  5	 0.49	 0.03	61.0	  2.0	 27	 12	14.600	 5.00e-01	 37.0	 2.0	13.500	 0.100	1
UGC 10359 	OHP 	 89	  3	 0.49	 0.03	61.0	  2.0	 69	  4	11.860	 7.00e-02	 58.0	27.0	11.300	 0.400	1
UGC 10445 	OHP 	-44	  5	 0.43	 0.08	57.0	  6.0	 38	  2	13.400	 1.00e-01	 37.0	29.0	13.000	 1.000	1
UGC 10445 	SDSS	   	   	-1.66	 0.01	    	     	-87	  1	      	         	 31.0	    	13.000	      	0
UGC 10521 	SDSS	 22	  2	 0.50	 0.01	62.0	  0.9	 62	  6	11.490	 4.00e-02	 33.0	 5.0	11.300	 0.200	1
UGC 10652 	OHP 	 55	  2	 0.15	 0.02	33.0	  2.0	 26	  1	13.070	 2.00e-02	 13.0	 4.0	12.900	 0.200	1
UGC 10652 	SDSS	 56	  3	 0.15	 0.04	33.0	  4.0	 26	  4	13.130	 7.00e-02	 14.0	26.0	13.000	 1.000	1
UGC 10757 	OHP 	 70	  2	 0.48	 0.01	60.7	  0.7	 27	  1	14.000	 5.00e-02	 21.0	 1.0	13.600	 0.100	1
UGC 10757 	SDSS	 73	  4	 0.50	 0.01	62.1	  0.9	 28	  4	13.900	 1.00e-01	 17.0	    	14.000	      	0
UGC 10791 	SDSS	-36	 29	 0.20	 0.10	42.0	 13.0	 18	  6	14.900	 7.00e-01	 19.0	    	14.000	      	0
UGC 10897 	OHP 	-38	  2	 0.15	 0.01	33.0	  1.0	 55	  1	11.680	 2.00e-02	 35.0	 5.0	11.400	 0.200	1
UGC 11283 	OHP 	-23	  4	 0.56	 0.02	67.0	  1.0	 36	  1	14.060	 8.00e-02	 39.0	    	13.000	      	0
UGC 11283c	OHP 	-61	  2	 0.77	 0.01	84.0	  1.0	 17	  1	16.300	 1.00e-01	 18.0	    	15.000	      	0
UGC 11300 	OHP 	-10	  2	 0.70	 0.01	76.8	  0.8	 83	  3	11.960	 3.00e-02	 56.0	 1.0	11.570	 0.020	1
UGC 11466 	OHP 	 28	  3	 0.31	 0.02	47.0	  1.0	 46	  1	11.880	 2.00e-02	 21.0	 5.0	11.700	 0.300	1
UGC 11470 	OHP 	 45	  5	 0.20	 0.01	37.0	  1.0	 63	  4	10.850	 2.00e-02	 29.0	 4.0	10.500	 0.100	1
UGC 11557 	SDSS	-65	 44	 0.09	 0.08	25.0	 11.0	 37	 10	13.000	 3.00e-01	 24.0	    	13.000	      	0
UGC 11597 	OHP 	 83	  2	 0.17	 0.02	35.0	  2.0	274	  4	 7.910	 1.00e-02	159.0	 4.0	 7.850	 0.030	1
UGC 11670 	OHP 	-24	  2	 0.62	 0.01	70.7	  0.7	123	 12	10.240	 1.00e-02	 27.0	 3.0	10.200	 0.100	1
UGC 11707 	OHP 	 73	  2	 0.40	 0.01	55.0	  1.0	 29	  1	13.870	 4.00e-02	 62.0	14.0	12.560	 0.100	1
UGC 11852 	OHP 	 10	  2	 0.23	 0.01	40.5	  0.9	 22	  1	13.300	 3.00e-02	 12.0	32.0	13.000	 0.700	1
UGC 11861 	OHP 	 30	  9	 0.40	 0.06	54.0	  5.0	 98	 44	10.900	 3.00e-01	 57.0	 8.0	10.700	 0.200	1
UGC 11861 	SDSS	   	   	     	     	    	     	   	   	      	         	 52.0	 3.0	11.200	 0.200	1
UGC 11891 	OHP 	-58	  6	 0.34	 0.01	50.3	  0.8	 74	  3	12.470	 5.00e-02	 65.0	 7.0	11.900	 0.200	1
UGC 11909 	OHP 	   	   	     	     	    	     	   	   	      	         	 38.0	17.0	11.900	 0.300	1
UGC 11914 	OHP 	-55	 16	 0.07	 0.02	22.0	  4.0	140	 18	 8.060	 3.00e-02	 39.4	 0.7	 8.000	 0.020	1
UGC 11951 	OHP 	 86	  2	 0.59	 0.01	68.6	  0.9	 51	  4	12.020	 4.00e-02	 26.0	 5.0	11.800	 0.200	1
UGC 12060 	OHP 	-36	  2	 0.76	 0.01	82.0	  1.0	 40	  2	14.320	 5.00e-02	 42.0	    	14.000	      	0
UGC 12082 	OHP 	 18	  2	 0.42	 0.01	56.1	  0.9	 19	  3	15.000	 2.00e-01	 57.0	28.0	12.800	 0.500	1
UGC 12101 	OHP 	-50	  2	 0.53	 0.01	64.2	  0.8	 51	  2	12.500	 3.00e-02	 29.0	 1.0	12.320	 0.090	1
UGC 12101 	SDSS	-50	  3	 0.52	 0.02	64.0	  1.0	 49	  4	12.660	 6.00e-02	 28.0	21.0	12.300	 0.900	1
UGC 12212 	OHP 	-80	  5	 0.36	 0.02	52.0	  1.0	 14	  1	15.800	 2.00e-01	 25.0	24.0	14.000	 2.000	1
UGC 12212 	SDSS	-71	  2	 0.30	 0.01	46.8	  0.8	 12	  5	15.900	 6.00e-01	 16.0	    	15.000	      	0
UGC 12276 	OHP 	-47	  6	 0.23	 0.01	40.8	  0.9	 30	  1	13.000	 3.00e-02	 18.0	 5.0	12.600	 0.200	1
UGC 12276c	OHP 	 82	  2	 0.45	 0.01	58.3	  0.8	  7	  1	17.000	 2.00e-01	  5.0	    	17.000	      	0
UGC 12343 	OHP 	 38	  2	 0.30	 0.03	47.0	  2.0	102	  1	10.330	 3.00e-02	 71.0	10.0	10.200	 0.200	1
UGC 12632 	OHP 	 22	  2	 0.53	 0.05	64.0	  4.0	 24	  5	14.800	 3.00e-01	 65.0	60.0	13.000	 1.000	1
UGC 12754 	OHP 	-13	  4	 0.29	 0.01	46.0	  1.0	 89	  3	11.160	 3.00e-02	 47.0	 2.0	10.900	 0.100	1

