hrs	ugc	ngc	ra_deg	dec_deg	distance_Mpc	morphology	effective_radius_kpc	D25_kpc	i_magnitude	IRAC1_magnitude	log_stellar_mass	E_BV	Virgo_distance_deg	environment	HI_deficiency	HI_deficiency_missing	ellipticity	inclination_deg	position_angle_deg	Halpha_flux_1e16_W_m2	Halpha_SFR_proxy_Msun_year	specific_growth_per_year	curve_coverage_reff	spatial_beams
276	8022	4779	1.934619167000e+02	9.709916700000e+00	1.700000000000e+01	SB(rs)bc;Sbrst	1.040000000000e+00	5.190000000000e+00	1.196200000000e+01	1.228800000000e+01	9.350000000000e+00	2.190000000000e-02	6.255000000000e+00	Virgo Out.	4.200000000000e-01	False	2.000000000000e-01	3.700000000000e+01	2.440000000000e+02	2.120000000000e+00	4.240405094876e-02	1.894119379954e-11	2.130000000000e+00	3852
280	8043	4799	1.938147083000e+02	2.896638900000e+00	1.700000000000e+01	S?	5.600000000000e-01	3.960000000000e+00	1.232200000000e+01	1.241200000000e+01	9.480000000000e+00	3.400000000000e-02	8.162000000000e+00	Virgo Out.	4.400000000000e-01	False	5.200000000000e-01	6.300000000000e+01	9.200000000000e+01	2.600000000000e-01	5.347426632369e-03	1.770699377822e-12	3.230000000000e+00	5031
292	8439	5145	2.013080000000e+02	4.326727780000e+01	1.750000000000e+01	S?;HII;Sbrst	5.100000000000e-01	5.090000000000e+00	1.195800000000e+01	1.171900000000e+01	9.800000000000e+00	1.210000000000e-02	3.374000000000e+01	Canes Ven. Spur	1.700000000000e-01	False	2.400000000000e-01	4.100000000000e+01	7.400000000000e+01	3.320000000000e+00	6.879990285851e-02	1.090404976824e-11	3.220000000000e+00	1240
293	8443	5147	2.015821250000e+02	2.100750000000e+00	1.560000000000e+01	SB(s)dm	1.030000000000e+00	4.330000000000e+00	1.178600000000e+01	1.214400000000e+01	9.070000000000e+00	2.710000000000e-02	1.532000000000e+01	Virgo Out.	-1.000000000000e-01	False	1.900000000000e-01	3.600000000000e+01	2.900000000000e+02	9.830000000000e+00	1.675623175714e-01	1.426186622543e-10	4.260000000000e+00	3204
294	8593		2.040050833000e+02	4.996083330000e+01	2.297000000000e+01	Sb	1.550000000000e+00	7.320000000000e+00	1.274000000000e+01	1.277500000000e+01	9.560000000000e+00	1.080000000000e-02	4.095000000000e+01	Canes Ven. Spur	5.000000000000e-01	False	7.500000000000e-01	8.000000000000e+01	2.590000000000e+02	3.000000000000e-01	1.067866319474e-02	2.941148068423e-12	3.430000000000e+00	2664
297	8711	5301	2.066025417000e+02	4.610741670000e+01	2.154000000000e+01	SA(s)bc: sp	2.660000000000e+00	1.306000000000e+01	1.137300000000e+01	1.144600000000e+01	9.990000000000e+00	1.730000000000e-02	3.865000000000e+01	Canes Ven. Spur	1.300000000000e-01	False	7.300000000000e-01	7.700000000000e+01	1.500000000000e+02	5.600000000000e-01	1.779315937925e-02	1.820761530333e-12	2.300000000000e+00	828
298	8725	5303	2.069373750000e+02	3.830455560000e+01	2.027000000000e+01	Pec	5.500000000000e-01	2.680000000000e+00	1.243100000000e+01	nan	9.110000000000e+00	1.390000000000e-02	3.227000000000e+01	Canes Ven. Spur	-4.100000000000e-01	False	3.500000000000e-01	5.000000000000e+01	2.610000000000e+02	9.070000000000e+00	2.532144166469e-01	1.965569608110e-10	2.200000000000e+00	3190
301	8790	5334	2.082269167000e+02	-1.114638900000e+00	1.971000000000e+01	SB(rs)c:	2.740000000000e+00	1.195000000000e+01	1.123900000000e+01	1.188600000000e+01	9.750000000000e+00	4.590000000000e-02	2.269000000000e+01	Virgo-Libra Cl.	1.200000000000e-01	False	3.000000000000e-01	4.600000000000e+01	1.200000000000e+01	1.356000000000e+01	3.853067187517e-01	6.851830045059e-11	2.780000000000e+00	11334
303	8843	5372	2.086917083000e+02	5.866650000000e+01	2.453000000000e+01	S?	4.900000000000e-01	2.320000000000e+00	1.283300000000e+01	nan	9.230000000000e+00	9.800000000000e-03	5.081000000000e+01	Canes Ven-Came. Cl.	0.000000000000e+00	True	2.000000000000e-01	3.800000000000e+01	3.090000000000e+02	1.420000000000e+00	5.751181647773e-02	3.386546824089e-11	2.840000000000e+00	210
305	8838	5360	2.089114583000e+02	4.985055600000e+00	1.673000000000e+01	I0	1.160000000000e+00	5.330000000000e+00	1.305100000000e+01	1.356600000000e+01	9.130000000000e+00	2.880000000000e-02	2.168000000000e+01	Virgo-Libra Cl.	1.380000000000e+00	False	5.900000000000e-01	6.600000000000e+01	6.700000000000e+01	1.000000000000e-01	1.968183224679e-03	1.459034381211e-12	2.940000000000e+00	1959
308	8857		2.091108750000e+02	4.396666700000e+00	1.559000000000e+01	Sb(f)	5.200000000000e-01	2.060000000000e+00	1.396800000000e+01	nan	8.610000000000e+00	3.260000000000e-02	2.196000000000e+01	Virgo-Libra Cl.	3.900000000000e-01	False	6.500000000000e-01	7.200000000000e+01	1.280000000000e+02	1.900000000000e-01	3.275815815171e-03	8.041174287641e-12	2.210000000000e+00	3051
317	9311		2.175077083000e+02	3.772861100000e+00	2.451000000000e+01	S?	9.600000000000e-01	3.920000000000e+00	1.380300000000e+01	nan	8.940000000000e+00	3.300000000000e-02	3.036000000000e+01	Virgo-Libra Cl.	2.300000000000e-01	False	6.500000000000e-01	7.200000000000e+01	3.400000000000e+02	9.000000000000e-02	3.838864436032e-03	4.407606104665e-12	2.150000000000e+00	366
318	9328	5645	2.176639583000e+02	7.275083300000e+00	1.957000000000e+01	SB(s)d	1.530000000000e+00	6.830000000000e+00	1.169800000000e+01	1.229800000000e+01	9.430000000000e+00	2.720000000000e-02	3.023000000000e+01	Virgo-Libra Cl.	-1.500000000000e-01	False	4.300000000000e-01	5.600000000000e+01	8.000000000000e+01	1.568000000000e+01	4.207279397227e-01	1.563152514725e-10	2.130000000000e+00	3262
321	9427	5692	2.195755000000e+02	3.410333300000e+00	2.259000000000e+01	S?	5.800000000000e-01	2.920000000000e+00	1.268700000000e+01	nan	9.110000000000e+00	3.710000000000e-02	3.246000000000e+01	Virgo-Libra Cl.	2.400000000000e-01	False	3.300000000000e-01	4.900000000000e+01	3.800000000000e+01	4.780000000000e+00	1.748372643006e-01	1.357169222926e-10	2.890000000000e+00	449
323	9483		2.207411667000e+02	4.890138900000e+00	2.343000000000e+01	S	1.560000000000e+00	7.630000000000e+00	1.213400000000e+01	1.210100000000e+01	9.880000000000e+00	3.700000000000e-02	3.344000000000e+01	Virgo-Libra Cl.	6.000000000000e-02	False	6.500000000000e-01	7.200000000000e+01	1.630000000000e+02	2.900000000000e-01	1.140817616817e-02	1.503890510833e-12	2.460000000000e+00	1452
