#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:27 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F702%2FA258%2Fuciprg.dat&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37020258
#Name: J/A+A/702/A258
#Title: Catalogue of inspected PRGs - CIPRG (Dobrycheva+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/702/a258	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/702/a258	    IVOID of underlying data collection
#INFO	creator=Dobrycheva D.V.	    First author or institution
#INFO	cites=bibcode:2025A&A...702A.258D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/702/A258	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-ny/lcfi	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_702_A258_uciprg:
#Name: J/A+A/702/A258/uciprg
#Title: *Catalog of inspected polar ring galaxies (updated version, 12-Jun-2026)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a24)	Colloquial name	[ucd=meta.id;meta.main]
#Column	SDSSobjID	(I19)	? Long object SDSS identification	[ucd=meta.id]
#Column	RAJ2000	(F13.9)	Right ascension (J2000) from SDSS	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F15.11)	Declination (J2000) from SDSS	[ucd=pos.eq.dec;meta.main]
#Column	Catalogue	(a25)	Name of the catalogue or publication from which the object was taken (1)	[ucd=meta.id;meta.table]
#Column	Type	(a23)	Type assigned to the object in the study it was taken from (2)	[ucd=src.class]
#Column	SDSS	(I1)	Availability in SDSS (3)	[ucd=meta.code]
#Column	DESILegacy	(I1)	Availability in DESI Legacy Survey (4)	[ucd=meta.note]
#Column	VisualSDSS	(a10)	Type assigned after visual inspection through SDSS (5)	[ucd=src.class]
#Column	VisualDESI	(a11)	Type assigned after visual inspection through DESI Legacy Survey (6)	[ucd=src.class]
#Column	ArtifactSDSS	(I1)	[0/1] Presence of an artifact in the SDSS image (7)	[ucd=meta.code]
#Column	ArtifactDESI	(I1)	[0/1]? Presence of an artifact in the DESI Legacy Survey image (8)	[ucd=meta.code]
#Column	zph	(F9.6)	? Photometric redshift taken from SDSS	[ucd=src.redshift]
#Column	zsp	(F12.9)	? Spectroscopic redshift taken from SDSS	[ucd=src.redshift]
#Column	kconf	(A3)	Available kinematic confirmation (9)	[ucd=meta.code]
#Column	Sloan	(a5)	Display the SDSS data for this object	[ucd=meta.ref.url]
recno	Name	SDSSobjID	RAJ2000	DEJ2000	Catalogue	Type	SDSS	DESILegacy	VisualSDSS	VisualDESI	ArtifactSDSS	ArtifactDESI	zph	zsp	kconf	Sloan
     120	SPRC080                 	1237651274029531465	116.816089300	+43.58463646000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.128923	 0.108506600	no 	Sloan
     121	SPRC081                 	1237653587942441273	117.087074600	+36.07613493000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.108779	 0.136805500	no 	Sloan
     122	SPRC084                 	1237657878616211464	122.822952400	+29.50893757000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 strong    	0	0	 0.037668	 0.019903720	no 	Sloan
     123	SPRC086                 	1237658191610773662	125.849909700	+30.88841745000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.171409	 0.161776400	no 	Sloan
     124	SPRC087                 	1237667782274908512	130.502128800	+13.20824761000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.111732	 0.122820100	no 	Sloan
     125	SPRC088                 	1237664870820806770	134.018308300	+34.70969072000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.064969	 0.088329720	no 	Sloan
     126	SPRC090                 	1237650795146117247	145.759712300	-00.81388595010	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.069955	 0.067587780	no 	Sloan
     127	SPRC091                 	1237664670043799669	149.379387600	+35.55635003000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.210804	 0.210761100	no 	Sloan
     128	SPRC093                 	1237651754533978173	149.772973200	+02.63608462000	Moiseev et al. 2011      	good_candidates        	1	1	strong    	 strong    	0	0	 0.068113	 0.079048020	no 	Sloan
     129	SPRC094                 	1237664104704835829	149.916227400	+11.40630681000	Moiseev et al. 2011      	good_candidates        	1	1	good      	 good      	0	0	 0.107463	 0.079706410	no 	Sloan
     130	SPRC101                 	1237661069252165796	159.011582000	+13.17436107000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.077247	            	no 	Sloan
     131	SPRC102                 	1237658299534802987	160.290652500	+06.82005825500	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.035491	 0.033349640	no 	Sloan
     132	SPRC105                 	1237662226207277139	162.186395000	+38.77672135000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 no ring   	0	0	 0.065390	 0.024916190	no 	Sloan
     133	SPRC107                 	1237660634386923675	163.600668200	+44.50055355000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 no ring   	0	0	 0.008112	 0.008112401	no 	Sloan
     134	SPRC108                 	1237661358611824789	163.753925500	+46.51348087000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.068129	 0.053789170	no 	Sloan
     135	SPRC109                 	1237654030326693925	167.227039400	+02.67737446100	Moiseev et al. 2011      	good_candidates        	1	1	good      	 strong    	1	0	 0.054100	            	no 	Sloan
     136	SPRC112                 	1237662193984667763	169.923372500	+41.02787336000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 no ring   	0	0	 0.087259	 0.071323920	no 	Sloan
     137	SPRC114                 	1237674474365452467	173.811130400	+59.81930068000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.135281	 0.110842700	no 	Sloan
     138	SPRC115                 	1237665023828033730	175.943541700	+33.70463717000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.026190	 0.031228920	no 	Sloan
     139	SPRC116                 	1237665025438843098	176.303947500	+35.08624343000	Moiseev et al. 2011      	good_candidates        	1	1	good      	 good      	0	0	 0.061734	 0.067296180	no 	Sloan
     140	SPRC120                 	1237658493353525356	180.942617400	+10.46213451000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.104618	 0.066955320	no 	Sloan
     141	SPRC122                 	1237661849858670687	184.546511700	+44.15847922000	Moiseev et al. 2011      	good_candidates        	1	1	good      	 merger    	0	0	 0.065271	            	no 	Sloan
     142	SPRC124                 	1237664819827638326	192.586226300	+37.94894317000	Moiseev et al. 2011      	good_candidates        	1	1	strong    	 strong    	0	0	 0.044595	 0.035168130	no 	Sloan
     143	SPRC126                 	1237667323260698733	194.577616200	+27.31082221000	Moiseev et al. 2011      	good_candidates        	1	1	good      	 weak      	0	0	 0.030626	 0.024698470	no 	Sloan
     144	SPRC127                 	1237665440978829339	194.616023200	+28.97412971000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 good      	0	0	 0.038726	 0.023800400	no 	Sloan
     145	SPRC128                 	1237661435923267730	199.682314200	+47.71940227000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.076206	 0.061839750	no 	Sloan
     146	SPRC132                 	1237651737379143832	206.382413100	+02.98313154600	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.067864	 0.077639770	no 	Sloan
     147	SPRC133                 	1237665024913047639	206.796162500	+32.88559657000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.076516	 0.102582100	no 	Sloan
     148	SPRC134                 	1237665129625878709	207.746087800	+33.72093663000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.070390	 0.093304050	no 	Sloan
     149	SPRC135                 	1237661151382536325	209.357058900	+47.45218206000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.140279	 0.132139600	no 	Sloan
     150	SPRC143                 	1237661418213343309	216.182781100	+53.86404462000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.055399	            	no 	Sloan
     151	SPRC146                 	1237668333100728559	218.129869400	+15.49549160000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.051903	 0.060582880	no 	Sloan
     152	SPRC155                 	1237665101679165692	226.663001200	+27.00673001000	Moiseev et al. 2011      	good_candidates        	1	1	good      	 good      	0	0	 0.073091	 0.058463010	no 	Sloan
     153	SPRC156                 	1237662264859754827	229.089911100	+08.10130859000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.040497	 0.030944470	no 	Sloan
     154	SPRC159                 	1237667781780898048	232.519294700	+14.96549523000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.161367	 0.150584500	no 	Sloan
     155	SPRC161                 	1237661873494360314	234.080317900	+33.77435095000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.076496	 0.074622910	no 	Sloan
     156	SPRC167                 	1237655464319975452	239.179074000	+48.04808210000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 good      	0	0	 0.037287	 0.018315230	no 	Sloan
     157	SPRC170                 	1237662264864801058	240.540706300	+06.64762371100	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 good      	0	0	 0.086275	 0.073471490	no 	Sloan
     158	SPRC175                 	1237651715334013252	246.878069800	+49.10022157000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 good      	0	0	 0.187199	 0.190789500	no 	Sloan
     159	SPRC178                 	1237661387081908531	249.216654000	+34.25120235000	Moiseev et al. 2011      	good_candidates        	1	1	good      	 good      	0	0	 0.087327	 0.096543630	no 	Sloan
     160	SPRC179                 	1237665583792980076	255.786646900	+46.37364816000	Moiseev et al. 2011      	good_candidates        	1	1	strong    	 strong    	0	0	 0.022540	            	no 	Sloan
     161	SPRC180                 	1237671936042205635	256.027995000	+38.88266326000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.032278	 0.035316360	no 	Sloan
     162	SPRC183                 	4444444444444444444	324.452541700	-07.67447222200	Moiseev et al. 2011      	good_candidates        	1	1	good      	 good      	0	0	         	            	no 	Sloan
     163	SPRC192                 	1237657627898151159	125.755015100	+32.01486323000	Moiseev et al. 2011      	related_objects        	1	1	good      	 good      	0	0	 0.048442	 0.064200610	no 	Sloan
     164	SPRC201                 	1237658801497505815	170.911041600	+53.84212823000	Moiseev et al. 2011      	related_objects        	1	1	good      	 good      	0	0	 0.009579	 0.009578814	no 	Sloan
     165	SPRC214                 	1237664289399636014	203.905682300	+13.32569561000	Moiseev et al. 2011      	related_objects        	1	1	good      	 good      	0	0	 0.050257	            	no 	Sloan
     166	SPRC215                 	1237665532245246099	205.321148100	+26.27204766000	Moiseev et al. 2011      	related_objects        	1	1	good      	 strong    	0	0	 0.063747	 0.063912110	no 	Sloan
     167	SPRC217                 	1237665127479574663	210.363420900	+31.64639211000	Moiseev et al. 2011      	related_objects        	1	1	weak      	 good      	0	0	 0.041398	            	no 	Sloan
     168	SPRC219                 	1237662301899849896	220.385192200	+46.67627426000	Moiseev et al. 2011      	related_objects        	1	1	weak      	 weak      	0	0	 0.051524	 0.084596550	no 	Sloan
     169	SPRC225                 	1237665536006947111	244.849675700	+17.64543681000	Moiseev et al. 2011      	related_objects        	1	1	weak      	 weak      	0	0	 0.044904	 0.069802360	no 	Sloan
     170	SPRC228                 	1237665569830141983	248.442820500	+49.83564369000	Moiseev et al. 2011      	related_objects        	1	1	weak      	 weak      	0	0	 0.610774	            	no 	Sloan
     171	SPRC229                 	1237665566622351761	249.489480500	+11.60234725000	Moiseev et al. 2011      	related_objects        	1	1	weak      	 weak      	0	0	 0.043214	 0.078430940	no 	Sloan
     172	SPRC231                 	1237659897784566134	264.680249000	+57.23921017000	Moiseev et al. 2011      	related_objects        	1	1	weak      	 weak      	0	0	 0.044190	 0.029515660	no 	Sloan
     173	SPRC232                 	1237679078032212029	314.148817200	-03.37319597200	Moiseev et al. 2011      	related_objects        	1	1	strong    	 strong    	0	0	 0.072483	            	no 	Sloan
     174	SPRC233                 	1237678881002422681	318.385940600	-01.37986794300	Moiseev et al. 2011      	related_objects        	1	1	weak      	 merger    	0	0	 0.027482	            	no 	Sloan
     175	SPRC238                 	1237663784195195105	354.990016100	+00.13519013950	Moiseev et al. 2011      	related_objects        	1	1	weak      	 weak      	0	0	 0.066520	 0.060186560	no 	Sloan
     176	SPRC241                 	1237679438279999552	040.487497760	-06.79229297200	Moiseev et al. 2011      	possible_face_on_rings 	1	1	strong    	 strong    	0	0	 0.031854	 0.017570000	yes	Sloan
     177	SPRC242                 	1237654391099425184	113.960342600	+32.58508468000	Moiseev et al. 2011      	possible_face_on_rings 	1	1	good      	 good      	0	0	 0.210711	 0.201539900	no 	Sloan
     178	SPRC248                 	1237667253991637238	126.007611600	+16.44394205000	Moiseev et al. 2011      	possible_face_on_rings 	1	1	weak      	 weak      	0	0	 0.207901	 0.152628900	no 	Sloan
     179	SPRC260                 	1237660613976457255	176.376056800	+09.72910480500	Moiseev et al. 2011      	possible_face_on_rings 	1	1	strong    	 strong    	0	0	 0.035299	 0.021379870	yes	Sloan
     180	SPRC263                 	1237661418744774733	195.306905400	+58.11227780000	Moiseev et al. 2011      	possible_face_on_rings 	1	1	good      	 good      	0	0	 0.030571	 0.028091640	no 	Sloan
     181	SPRC264                 	1237662194531106866	199.061227100	+41.49445615000	Moiseev et al. 2011      	possible_face_on_rings 	1	1	good      	 good      	0	0	 0.014220	 0.020745100	no 	Sloan
     182	NGC 7625                	                   	350.125350000	+17.22565000000	Yu et al. 2026           	                       	1	1	dust lane 	 dust lane 	0	0	         	 0.005430000	yes	Sloan
     183	ES82 29.743-0.490       	1237666407381729357	029.743304040	-00.48980527910	Skryabina et al. 2024    	                       	1	1	polar ring	 polar ring	0	0	 0.102000	 0.080988560	no 	Sloan
     184	ES82 326.580-0.208      	1237663543144481064	326.579910700	-00.20786419070	Skryabina et al. 2024    	                       	1	1	polar ring	 polar ring	0	0	 0.118100	 0.093480000	no 	Sloan
     185	ES82 333.748 1.020      	1237678617406341350	333.748096200	+01.01955081600	Skryabina et al. 2024    	                       	1	1	polar ring	 polar ring	0	0	 0.055000	 0.041892990	no 	Sloan
     186	DES J024008.08-551047.5 	                   	040.033700000	-55.17990000000	Akhil et al. 2024        	                       	0	1	polar ring	 polar ring	0	0	         	            	no 	Sloan
     187	ESO 287-IG 050          	                   	325.491415000	-46.01075000000	Freitas-Lemes et al. 2024	                       	0	1	polar ring	 polar ring	0	0	         	            	no 	Sloan
     188	SDSS J102819.24+623502.6	1237651066810859648	157.080322800	+62.58406189000	Freitas-Lemes et al. 2024	                       	1	1	polar ring	 polar ring	0	0	 0.035000	 0.017800000	no 	Sloan
     189	SDSS J133650.48+492745.3	1237661152454574109	204.210373300	+49.46259412000	Dobrycheva et al. 2025   	                       	1	1	strong    	 strong    	1	0	 0.124400	 0.096700000	no 	Sloan
     190	LEDA 3577208            	1237661383310704908	149.322090600	+36.83153549000	Dobrycheva et al. 2025   	                       	1	1	strong    	 strong    	0	0	 0.068600	 0.053210000	no 	Sloan
     191	NVSS J140644+471601     	1237661151920062633	211.685096500	+47.26722454000	Dobrycheva et al. 2025   	                       	1	1	strong    	 strong    	0	0	 0.068100	 0.059860000	no 	Sloan
     192	Z 153-7                 	1237664870826639426	149.713855200	+32.07305318000	Dobrycheva et al. 2025   	                       	1	1	strong    	 strong    	0	0	 0.027300	 0.027040000	no 	Sloan
     193	UGC 5825                	1237667551417204742	160.546056700	+23.74673330000	Dobrycheva et al. 2025   	                       	1	1	strong    	 strong    	0	0	 0.026200	 0.011610000	no 	Sloan
     194	LEDA 3498384            	1237662335721210110	245.552646600	+27.34228440000	Dobrycheva et al. 2025   	                       	1	1	strong    	 strong    	0	0	 0.081100	 0.096030000	no 	Sloan
     195	SDSS J104600.10+090627.2	1237671931208007688	161.500430000	+09.10756376300	Dobrycheva et al. 2025   	                       	1	1	strong    	 strong    	1	0	 0.092400	 0.087500000	no 	Sloan

