#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T12:26:54 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:26:54	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/661/A2/efeds_cl&-out=ID,RAJ2000,DEJ2000,z,T300kpc&-out.max=1000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610002
#Name: J/A+A/661/A2
#Title: Galaxy clusters and groups in eFEDS (Liu+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a2	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a2	    IVOID of underlying data collection
#INFO	creator=Liu A.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A...2L	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A2	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610002	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-06-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A2_efeds_cl:
#Name: J/A+A/661/A2/efeds_cl
#Title: eFEDS cluster catalog
#Column	ID	(A22)	Cluster ID (eFEDS JHHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F6.3)	Redshift	[ucd=src.redshift]
#Column	T300kpc	(F5.2)	? Temperature within 300kpc	[ucd=phys.temperature]
ID	RAJ2000	DEJ2000	z	T300kpc
eFEDS J091553.1+040545	138.9715	+04.0961	 0.567	
eFEDS J091555.6-013248	138.9820	-01.5468	 0.490	
eFEDS J091601.8+000831	139.0078	+00.1420	 0.563	
eFEDS J091609.4+013519	139.0393	+01.5888	 0.454	
eFEDS J091610.1-002348	139.0423	-00.3969	 0.322	 3.83
eFEDS J091612.9-015839	139.0540	-01.9776	 0.160	
eFEDS J091631.9-020207	139.1331	-02.0355	 0.326	
eFEDS J091642.3+040634	139.1764	+04.1095	 0.312	
eFEDS J091646.9+015531	139.1957	+01.9255	 0.259	
eFEDS J091648.1+030506	139.2007	+03.0851	 0.620	
eFEDS J091655.7-011158	139.2324	-01.1996	 0.314	
eFEDS J091722.4+010118	139.3435	+01.0218	 0.359	
eFEDS J091741.1+024518	139.4215	+02.7551	 0.486	
eFEDS J091749.4+014621	139.4560	+01.7728	 0.355	
eFEDS J091757.1+050915	139.4881	+05.1542	 0.586	
eFEDS J091806.0-003228	139.5253	-00.5413	 0.223	
eFEDS J091842.2+034754	139.6759	+03.7985	 0.452	
eFEDS J091849.0+021204	139.7042	+02.2013	 0.283	 3.64
eFEDS J091850.7+030942	139.7113	+03.1619	 0.838	
eFEDS J091851.7+021432	139.7155	+02.2423	 0.283	
eFEDS J091855.8+004916	139.7326	+00.8211	 0.845	
eFEDS J091858.0+024946	139.7418	+02.8295	 0.199	
eFEDS J091900.0+035311	139.7503	+03.8864	 0.403	
eFEDS J091925.6-010430	139.8567	-01.0752	 0.513	
eFEDS J091934.6+033941	139.8943	+03.6615	 0.223	
eFEDS J091936.6+042553	139.9028	+04.4314	 0.179	
eFEDS J091957.7+035012	139.9908	+03.8369	 0.525	
eFEDS J092002.1+010219	140.0090	+01.0389	 0.017	
eFEDS J092004.3+010023	140.0183	+01.0066	 0.033	
eFEDS J092022.0+030106	140.0918	+03.0186	 0.481	
eFEDS J092022.8+045012	140.0954	+04.8369	 0.270	
eFEDS J092023.2+013444	140.0967	+01.5789	 0.708	 2.26
eFEDS J092031.3+024710	140.1306	+02.7863	 0.278	
eFEDS J092031.8+040621	140.1329	+04.1059	 0.575	
eFEDS J092037.0-011506	140.1545	-01.2519	 0.154	 1.01
eFEDS J092037.9+033528	140.1580	+03.5913	 0.362	
eFEDS J092039.1+004725	140.1632	+00.7904	 0.472	
eFEDS J092041.1+041117	140.1716	+04.1883	 0.580	
eFEDS J092046.2+002849	140.1926	+00.4803	 0.413	
eFEDS J092049.5+024513	140.2063	+02.7538	 0.284	 2.88
eFEDS J092053.4+021125	140.2228	+02.1905	 0.280	
eFEDS J092105.0+004452	140.2710	+00.7480	 0.159	
eFEDS J092121.2+031726	140.3385	+03.2906	 0.333	 4.81
eFEDS J092133.2+043431	140.3885	+04.5754	 0.417	
eFEDS J092134.4+015832	140.3936	+01.9757	 0.290	
eFEDS J092135.4+005128	140.3977	+00.8580	 0.488	
eFEDS J092136.4-001449	140.4020	-00.2471	 0.313	
eFEDS J092202.2+034520	140.5095	+03.7557	 0.270	
eFEDS J092209.3+034628	140.5391	+03.7746	 0.270	 4.25
eFEDS J092212.0-002731	140.5503	-00.4586	 0.321	
eFEDS J092220.4+034806	140.5852	+03.8017	 0.267	
eFEDS J092235.8-002443	140.6494	-00.4120	 0.055	 1.90
eFEDS J092241.9+020719	140.6749	+02.1222	 0.198	
eFEDS J092246.2+034251	140.6928	+03.7143	 0.269	
eFEDS J092246.4+042424	140.6936	+04.4067	 0.346	
eFEDS J092258.2+032041	140.7426	+03.3449	 0.575	
eFEDS J092302.6+034002	140.7611	+03.6673	 0.269	
eFEDS J092312.0+000355	140.8003	+00.0655	 0.321	
eFEDS J092328.2+043107	140.8678	+04.5187	 0.663	
eFEDS J092333.1-001917	140.8879	-00.3216	 0.813	
eFEDS J092335.1+012907	140.8965	+01.4853	 0.687	
eFEDS J092339.0+052654	140.9129	+05.4486	 0.373	 2.52
eFEDS J092346.8-005330	140.9452	-00.8918	 0.358	
eFEDS J092402.2+054205	141.0094	+05.7016	 0.488	
eFEDS J092405.0-013059	141.0211	-01.5165	 0.337	
eFEDS J092409.4+040057	141.0393	+04.0160	 0.084	
eFEDS J092421.9-005103	141.0914	-00.8510	 0.276	
eFEDS J092454.7+014901	141.2280	+01.8170	 0.177	
eFEDS J092502.6+022612	141.2608	+02.4367	 0.390	
eFEDS J092504.3-005602	141.2682	-00.9339	 0.280	
eFEDS J092510.0-014830	141.2918	-01.8085	 0.863	
eFEDS J092511.8-011436	141.2993	-01.2436	 0.419	
eFEDS J092522.1-013148	141.3423	-01.5301	 0.445	
eFEDS J092533.6-014205	141.3903	-01.7016	 0.229	
eFEDS J092546.3-014347	141.4432	-01.7298	 0.228	
eFEDS J092548.9-011725	141.4539	-01.2903	 0.337	
eFEDS J092553.3+015519	141.4724	+01.9220	 0.231	
eFEDS J092555.6+004311	141.4820	+00.7199	 0.255	
eFEDS J092619.9+021207	141.5830	+02.2022	 0.493	
eFEDS J092621.3-003356	141.5890	-00.5657	 0.340	
eFEDS J092629.3+032614	141.6225	+03.4374	 0.088	 0.90
eFEDS J092631.0+014511	141.6295	+01.7533	 0.761	
eFEDS J092639.7+040733	141.6655	+04.1260	 0.245	
eFEDS J092644.0+040010	141.6834	+04.0029	 0.347	
eFEDS J092647.5+050032	141.6980	+05.0091	 0.455	
eFEDS J092647.5+030946	141.6981	+03.1630	 0.226	
eFEDS J092648.0+050124	141.7002	+05.0234	 0.454	 7.04
eFEDS J092650.5+035755	141.7106	+03.9654	 0.377	 2.86
eFEDS J092711.5+011735	141.7981	+01.2933	 0.613	
eFEDS J092735.3+014423	141.8974	+01.7399	 0.149	
eFEDS J092737.7+020607	141.9074	+02.1021	 0.419	
eFEDS J092739.7-010427	141.9158	-01.0743	 0.329	
eFEDS J092740.1-002922	141.9171	-00.4897	 0.138	
eFEDS J092740.1+042038	141.9173	+04.3440	 0.275	
eFEDS J092740.7-015320	141.9196	-01.8889	 0.332	
eFEDS J092744.6+045630	141.9360	+04.9418	 0.355	
eFEDS J092755.9+000439	141.9829	+00.0778	 0.983	
eFEDS J092803.4+010953	142.0142	+01.1648	 0.552	
eFEDS J092807.5-001353	142.0314	-00.2316	 0.771	
eFEDS J092807.7-012704	142.0323	-01.4512	 1.304	
eFEDS J092813.0-004508	142.0544	-00.7524	 0.318	
eFEDS J092821.1+041941	142.0880	+04.3283	 0.157	
eFEDS J092821.2+042149	142.0884	+04.3637	 0.235	 3.41
eFEDS J092828.3-000955	142.1180	-00.1653	 0.509	
eFEDS J092832.4+041517	142.1354	+04.2548	 0.440	
eFEDS J092844.0+005318	142.1835	+00.8885	 0.318	
eFEDS J092846.5+000056	142.1940	+00.0157	 0.344	
eFEDS J092859.0+040532	142.2462	+04.0923	 0.259	
eFEDS J092900.0-003920	142.2502	-00.6557	 0.503	
eFEDS J092910.2+022034	142.2925	+02.3429	 0.440	
eFEDS J092911.0+021118	142.2960	+02.1885	 0.469	
eFEDS J092915.2+002427	142.3135	+00.4077	 0.458	
eFEDS J092915.7-001357	142.3158	-00.2327	 0.322	 1.83
eFEDS J092918.3+044925	142.3266	+04.8237	 0.352	
eFEDS J092921.7+040040	142.3408	+04.0112	 0.501	 3.39
eFEDS J092928.3+042411	142.3679	+04.4032	 0.278	
eFEDS J092941.7+023026	142.4238	+02.5072	 0.544	
eFEDS J092953.5+002801	142.4732	+00.4670	 0.147	
eFEDS J092955.8-003403	142.4829	-00.5676	 0.150	 1.76
eFEDS J093003.3+035630	142.5140	+03.9417	 0.327	 2.22
eFEDS J093009.0+040144	142.5376	+04.0289	 0.328	 2.59
eFEDS J093011.2+031648	142.5470	+03.2801	 0.724	
eFEDS J093012.0+030202	142.5503	+03.0340	 0.223	
eFEDS J093022.1+021835	142.5921	+02.3100	 0.547	
eFEDS J093025.3+021714	142.6055	+02.2872	 0.546	
eFEDS J093025.7-020507	142.6072	-02.0856	 0.220	
eFEDS J093049.2-003714	142.7052	-00.6207	 0.334	
eFEDS J093056.9+034825	142.7372	+03.8072	 0.090	
eFEDS J093117.4-015643	142.8228	-01.9455	 0.199	
eFEDS J093138.7-020933	142.9115	-02.1593	 0.245	
eFEDS J093141.2-004717	142.9219	-00.7883	 0.093	
eFEDS J093149.8-020143	142.9576	-02.0289	 0.134	 1.01
eFEDS J093151.3-002212	142.9638	-00.3701	 0.336	 2.53
eFEDS J093207.5-021317	143.0316	-02.2215	 0.666	
eFEDS J093222.0+012412	143.0918	+01.4035	 0.536	
eFEDS J093231.0+010617	143.1293	+01.1050	 0.644	
eFEDS J093232.8-015152	143.1367	-01.8647	 0.553	
eFEDS J093253.8+025917	143.2244	+02.9882	 0.093	
eFEDS J093301.3+024301	143.2558	+02.7170	 0.838	
eFEDS J093302.7-010145	143.2616	-01.0292	 0.356	
eFEDS J093316.6+004619	143.3195	+00.7721	 0.347	
eFEDS J093329.3+000334	143.3725	+00.0596	 0.395	
eFEDS J093332.1+020933	143.3841	+02.1594	 0.838	
eFEDS J093403.5-001422	143.5148	-00.2397	 0.240	 1.87
eFEDS J093431.3-002309	143.6304	-00.3860	 0.342	 3.02
eFEDS J093436.1+051533	143.6508	+05.2594	 0.341	
eFEDS J093456.1+031518	143.7340	+03.2552	 0.085	
eFEDS J093500.7+005417	143.7532	+00.9048	 0.361	 3.27
eFEDS J093513.0+004757	143.8046	+00.7994	 0.356	
eFEDS J093520.7+003448	143.8363	+00.5802	 0.355	
eFEDS J093520.9+023234	143.8374	+02.5429	 0.516	 3.39
eFEDS J093522.2+032329	143.8427	+03.3915	 0.324	 2.75
eFEDS J093525.6+023445	143.8570	+02.5793	 0.503	
eFEDS J093525.9+035101	143.8580	+03.8503	 1.261	
eFEDS J093531.4+022710	143.8811	+02.4530	 0.225	
eFEDS J093544.2-000339	143.9342	-00.0609	 0.347	
eFEDS J093546.3-000115	143.9433	-00.0211	 0.339	
eFEDS J093612.7+001650	144.0529	+00.2807	 0.358	
eFEDS J093630.8+031838	144.1287	+03.3106	 0.405	
eFEDS J093707.4+034831	144.2810	+03.8089	 0.279	
eFEDS J093709.7+014143	144.2908	+01.6954	 0.377	
eFEDS J093712.8+031651	144.3036	+03.2810	 0.247	
eFEDS J093742.8+033841	144.4285	+03.6450	 0.620	
eFEDS J093744.1+024536	144.4341	+02.7600	 0.024	
eFEDS J093830.5+041523	144.6272	+04.2564	 0.262	
eFEDS J093938.3+042218	144.9096	+04.3717	 0.369	
eFEDS J094005.9+031329	145.0246	+03.2247	 0.470	
eFEDS J094007.3+035754	145.0307	+03.9652	 0.666	

