#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:22:51 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:22:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VIII%2F77%2Ftable3&-out=UGC%2FAGC,OName,Sabs,e_Sabs,SNR,HRV,Tel&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_8077
#Name: VIII/77
#Title: HI spectral properties of galaxies (Springob+, 2005)
#INFO	ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2005ApJS..160..149S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VIII/77	    Dataset landing page
#INFO	publication_date=2006-06-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VIII_77_table3:
#Name: VIII/77/table3
#Title: Properties of detected galaxies derived from spectra in digital archive
#Column	UGC/AGC	(I6)	Entry number in the UGC (Cat. <VII/26>) or AGC	[ucd=meta.id;meta.main]
#Column	OName	(a8)	Other name	[ucd=meta.id]
#Column	Sabs	(F6.2)	Self-absorption corrected line flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_Sabs	(F6.2)	Uncertainty in Sabs	[ucd=stat.error]
#Column	SNR	(F5.1)	Ratio of peak flux to rms noise	[ucd=instr.det.noise;stat.max]
#Column	HRV	(I6)	Heliocentric velocity of the profile midpoint	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Tel	(a5)	Code indicating the telescope used (G1)	[ucd=meta.id;instr.tel]
UGC/AGC	OName	Sabs	e_Sabs	SNR	HRV	Tel
121082	M+308037	  1.02	  0.13	  7.5	  9053	AOlf
  2437	440-038 	  9.48	  1.01	 28.8	  3460	AOlf
120678	485-002 	  2.81	  0.34	  7.5	  6904	AOlf
  2435	524-037 	 12.58	  1.70	 12.7	  4849	AOlf
120695	M+408002	  2.01	  0.23	  9.0	  7003	AOlf
120707	485-003 	  1.60	  0.20	  5.4	 10429	AOlf
122105	440-039 	  1.06	  0.18	  5.4	  7838	AOlf
120743	M+208042	  1.28	  0.18	  6.1	  7600	AOlf
121102	        	  0.38	  0.07	  4.6	  7603	AOlf
120727	485-004 	  3.26	  0.34	 12.9	 10510	AOlf
121034	        	  1.12	  0.12	 10.1	 11314	AOlf
120714	506-001 	  2.51	  0.31	  6.7	  3609	AOlf
  2443	389-057 	  1.87	  0.23	  6.3	  2519	Nanc
  2441	415-045 	  8.65	  1.19	 11.3	  3053	AOlf
120757	415-047 	  1.27	  0.18	  5.3	  6297	AOlf
420325	M-108024	  8.38	  0.91	 11.4	  2378	GB300
  2444	415-048 	  5.73	  0.58	 21.1	  6709	AOlf
121404	        	  0.71	  0.08	  6.2	 13261	AOG
120774	A400-79 	  1.29	  0.15	 10.9	  6688	AOlf
  2442	M+408005	  4.86	  0.55	 10.6	 10452	AOlf
 22243	546 G 34	 10.10	  0.69	 12.3	  1565	GB140
121086	        	  1.60	  0.17	  9.7	  9587	AOlf
  2445	        	  3.33	  0.41	  9.7	  7215	AOlf
120763	485-005 	  2.10	  0.29	  5.6	 10375	AOlf
120778	A400-84 	  0.61	  0.09	  6.0	  8355	AOlf
121035	        	  1.80	  0.10	 13.5	 13494	AOG
120781	A400-2  	  1.92	  0.21	 11.9	  8267	AOlf
120787	A400-91 	  0.60	  0.09	  6.1	  6763	AOlf
120790	A400-76 	  0.46	  0.09	  4.0	  6630	AOlf
120799	A400-73 	  1.49	  0.15	 18.0	  6714	AOlf
  2447	        	  5.07	  0.72	  5.5	 11473	AOlf
  2448	524-038a	  8.03	  0.91	 18.1	  3880	AOlf
  2453	463-042 	  2.07	  0.25	  7.7	  9067	AOlf
120819	415-050 	  1.29	  0.25	  5.0	  8215	AOlf
  2454	M+108032	  3.27	  0.38	 10.0	  7620	AOlf
120792	524-039 	  1.67	  0.23	  5.1	 11848	AOlf
  2449	554-018 	  2.86	  0.52	  5.4	  4454	GB300
  2451	        	  2.43	  0.20	  6.1	 16622	AOG
121040	        	  1.09	  0.13	  9.6	  7149	AOlf
  2455	N1156   	 74.68	  1.83	 99.9	   375	GB140
120832	440-040 	  3.33	  0.34	 18.2	  6499	AOlf
  2460	I 277   	 15.12	  1.64	 38.4	  2851	AOlf
120842	415-051 	  3.25	  0.36	  9.4	  8581	AOlf
121041	        	  3.35	  0.34	 15.3	  8575	AOlf
121403	A400-   	  2.34	  0.16	  6.7	 13531	AOG
  2457	485-007 	  4.05	  0.44	 11.8	 10217	AOlf
120846	M+108034	  1.53	  0.16	 24.7	  8542	AOlf
120852	M+108036	  0.55	  0.08	  5.2	  8406	AOlf
120845	463-043 	  4.79	  0.55	 12.3	  9867	AOlf
120849	463-044 	  0.68	  0.08	 14.9	  9881	AOlf
420340	N1163   	 14.79	  1.80	 13.2	  2281	Nanc
  2461	524-042 	  2.46	  0.28	 11.8	  6801	AOlf
121045	        	  3.19	  0.38	 11.5	  8452	AOlf
420343	M-308057	  6.06	  0.68	 11.6	  1573	GB300
  2471	N1166   	  5.87	  0.65	 10.1	  7784	AOlf
  2466	M+607030	  2.15	  0.29	  6.5	  4986	AOlf
  2465	524-043 	  2.42	  0.31	  8.7	  5069	AOlf
  2463	540-021 	 16.36	  0.59	 13.8	  1901	GB140
  2479	M+008065	  5.44	  0.66	  8.8	  2843	GB300
  2464	M+508001	  2.76	  0.35	  6.8	 10202	AOlf
 22263	546 G 37	  2.07	  0.27	  7.9	  4343	Nanc
  2472	        	  2.11	  0.28	  7.7	 10154	AOlf
  2476	N1168   	  3.75	  0.40	 11.8	  7728	AOlf
  2482	        	  6.19	  0.68	 15.3	  2656	GB300
120856	I 279   	  0.57	  0.08	  5.9	  9425	AOlf
  2475	N1160   	  7.72	  0.85	  8.0	  2528	Effs
  2486	463-046 	  5.52	  0.58	 11.4	  5961	AOlf
120857	463-047 	  0.57	  0.08	  4.5	  9398	AOlf
  2483	        	  7.28	  0.87	 13.9	  6222	AOlf
  2487	N1167   	  9.43	  1.50	 11.0	  4955	AOlf
  2488	        	  4.13	  0.41	 52.3	  3136	AOlf
  2491	524-046 	  5.40	  0.68	 14.6	  4876	AOlf
  2490	N1164   	  7.94	  1.11	  7.5	  4168	GB300
  2494	524-048 	  3.85	  0.50	  5.7	  7905	AOlf
121048	FGC 652 	  2.67	  0.32	 12.1	  6786	AOlf
  2497	506-004 	 29.00	  4.52	 61.0	  3117	AOlf
  2498	463-048 	  5.07	  0.58	 14.4	  6934	AOlf
  2502	389-063 	  3.13	  0.38	  8.4	  8508	AOlf
  2501	389-064 	 11.39	  1.23	 16.1	  5189	AOlf
 22274	N1179   	 50.19	  1.88	 18.2	  1778	GB140
130006	415-055 	  2.28	  0.25	 15.9	  6921	AOlf
430007	N1189   	  8.86	  1.03	  9.0	  2570	GB300
  2509	415-056 	  7.04	  0.76	 15.6	  6019	AOlf
  2503	N1169   	 39.17	  1.68	 15.0	  2388	GB140
 22287	547 G  5	  2.91	  0.39	  6.1	  1592	GB140
130404	        	  0.79	  0.12	  5.5	  8055	AOlf
  2507	VZw315  	  4.49	  0.55	  5.3	 16087	AOlf
 22291	480 G 25	  4.06	  0.50	  6.4	  1722	GB140
130009	I1873   	  1.58	  0.18	  7.0	  9184	AOlf
  2485	        	  5.89	  0.65	 16.2	  2013	GB300
  2518	389-073 	  7.31	  0.86	  8.3	  7012	AOlf
130014	415-058 	  1.07	  0.12	  9.8	  8412	AOlf
  2516	        	  1.61	  0.28	  5.8	  5097	GB300
  2520	        	  6.11	  0.66	 11.7	  4212	AOlf
  2523	389-075 	  8.63	  1.11	 13.6	  6951	AOlf
130015	415-059 	  1.81	  0.22	  8.4	  8577	AOlf
  2524	        	  0.78	  0.11	  4.9	  8588	AOlf
  2527	389-077 	  3.71	  0.40	  8.7	  8794	AOlf
130016	463-050 	  1.29	  0.17	  6.0	 13259	AOlf
  2521	N1186   	  6.24	  0.70	  9.9	  2740	GB300
  2525	506-006 	 10.71	  1.16	 16.3	  6230	AOlf
  2526	524-049 	 14.62	  2.67	 10.8	  4969	AOlf
130020	389-079 	  1.76	  0.24	  5.6	  8943	AOlf
  2530	        	 10.18	  1.16	 20.8	  4263	AOlf
 22323	547 G  9	  6.74	  0.68	  8.9	  1685	GB140
  2535	        	  3.88	  0.40	 16.1	  2965	AOlf
130022	I1874   	  1.26	  0.19	  4.8	  4928	AOlf
  2539	        	  2.73	  0.33	  9.7	  7894	AOlf
  2545	N1211   	 15.32	  2.26	 19.2	  3220	AOlf
  2540	524-051 	 10.10	  1.41	  9.0	  3934	AOlf
  2541	        	  2.42	  0.29	  8.5	 11485	AOlf
  2543	524-052 	  5.84	  0.81	  6.8	  5254	AOlf
130029	524-054 	  3.54	  0.50	  5.7	  4588	AOlf
  2551	I1882   	  5.39	  0.68	  5.5	  7186	AOlf
  2549	M+408009	  2.49	  0.30	  7.1	 10330	AOlf
  2548	N1207   	  5.80	  0.82	  9.2	  4789	AOlf
  2550	524-056 	  6.04	  0.73	  8.0	  4032	AOlf
  2553	464-001 	  5.99	  0.61	 23.4	  8203	AOlf
130037	441-002 	  1.28	  0.16	  8.8	  7533	AOlf
430066	M-209003	  9.04	  0.98	  9.1	  3135	GB300
  2557	N1213   	 25.47	  3.81	 24.3	  3430	AOlf
 22359	547 G 11	  7.44	  0.63	  7.8	  2212	GB140
  2563	464-003 	  5.17	  0.67	 11.8	 10730	AOlf
 22360	547 G 12	  3.46	  0.49	  7.3	  2012	Nanc
130045	464-004 	  3.07	  0.39	  5.7	  9470	AOlf
130050	416-003 	  3.75	  0.39	 16.0	  5917	AOlf
  2565	M+508006	  4.73	  0.60	  6.0	 12164	AOlf
  2566	        	  6.75	  1.53	  9.6	 12507	AOlf
  2567	I1887   	  7.41	  0.82	  9.5	  2996	GB300
130049	I1890B  	  0.93	  0.12	  6.9	 10991	AOlf
 22377	I1898   	 26.22	  1.99	 14.6	  1283	GB140
  2570	        	  4.16	  0.53	 11.4	 10384	AOlf
  2571	        	  2.72	  0.40	  7.5	 10545	AOlf
130053	524-060 	  3.40	  0.48	  6.4	  3442	AOlf
430082	N1241   	 29.80	  2.90	 23.7	  4026	GB300
430083	N1242   	 25.99	  2.52	 25.4	  4026	GB300
  2580	        	  1.42	  0.15	 10.1	  9225	AOlf
  2585	390-018 	  8.97	  1.06	 11.6	  6908	AOlf
  2582	        	  3.06	  0.34	  8.1	 16992	AOlf
430088	N1247   	 24.14	  3.43	  6.6	  3947	Nanc
  2589	M+209001	  5.74	  0.81	 17.9	  9864	AOlf
  2592	464-008 	  6.68	  0.70	 16.7	  9942	AOlf
130066	485-009 	  2.97	  0.33	  8.8	 12837	AOlf
 22408	547 G 20	  6.28	  0.53	 10.8	  1992	GB140
  2597	M+309007	  5.77	  0.64	 11.8	 10398	AOlf
  2596	540-060 	 13.82	  1.61	  9.3	  5374	GB300
130074	390-029 	  3.01	  0.36	  8.5	  6390	AOlf
130070	525-007 	  2.20	  0.30	  5.1	 12262	AOlf
  2602	464-009 	  9.10	  1.03	 22.2	 10095	AOlf
130073	525-008 	  4.75	  0.63	  7.4	  5258	AOlf
130076	464-010 	  2.25	  0.25	 10.7	 12286	AOlf
  2604	525-009 	  4.55	  0.53	  9.9	  4521	GB300
  2610	525-011 	  3.85	  0.49	  7.9	  5085	GB300
  2609	I 304   	  8.15	  0.92	  8.9	  4952	AOlf
  2608	540-064 	  1.53	  0.24	  5.9	  6998	GB300
  2612	540-065 	  1.88	  0.27	  8.6	  9537	GB300
130082	464-011 	  4.85	  0.49	 13.8	 13021	AOlf
430117	M-209019	 14.19	  0.84	 12.0	  3163	GB140
  2622	M+109003	 12.37	  1.37	 12.7	  7859	AOlf
430119	M-109024	  5.94	  0.83	  4.6	  2316	GB300
  2617	540-069 	 19.15	  2.07	  9.3	  4701	GB300
130092	441-004 	  0.72	  0.10	  4.7	 11925	AOlf
130452	I 309   	  4.30	  0.52	  9.4	  4699	GB300
430121	M-209021	  4.99	  0.42	  5.7	  5448	GB140
130097	        	  1.18	  0.17	  6.1	 11950	AOlf
  2623	525-016 	 11.68	  1.68	 22.3	  4424	AOlf
  2628	390-041 	  6.63	  0.72	  8.0	  6814	Nanc
  2631	        	 12.31	  1.66	 11.2	  6994	AOlf
 22447	357 G 12	 25.68	  0.98	 20.1	  1567	GB140
  2627	506-007 	 12.89	  1.49	 46.2	  4220	AOlf
130110	441-006 	  4.36	  0.47	 19.6	  4760	AOlf
  2629	506-008 	  4.06	  0.41	 32.8	  4123	AOlf
  2630	525-017 	  3.36	  0.40	  8.1	  5062	AOlf
 22452	N1291   	 87.33	  7.33	 98.9	   839	GB140
130106	525-018 	  3.85	  0.46	 12.4	  5548	AOlf
  2633	FGC 694 	  4.60	  0.66	  6.0	  5661	AOlf
  2637	FGC 695 	  4.36	  0.62	  5.9	  5121	AOlf
  2640	540-084 	  6.37	  0.77	  8.2	  6116	GB300
  2652	N1280   	  4.35	  0.50	  7.6	  6828	AOlf
 22455	N1292   	 19.75	  1.35	  8.3	  1369	GB140
  2653	M+608012	 12.90	  1.68	 11.9	  6944	AOlf
  2655	540-091 	  8.70	  0.99	  9.2	  6191	GB300
  2663	        	  3.20	  0.39	  7.2	 17096	AOlf
  2603	        	 12.68	  1.30	 20.0	  2520	GB300
430159	M-209029	  5.22	  0.61	  7.2	  4606	Nanc
130166	464-012 	  3.54	  0.38	 11.0	 13353	AOlf
  2671	        	  3.48	  0.37	 13.7	  7130	AOlf
 22474	I1913   	  6.58	  0.76	 20.7	  1443	Nanc
 22472	N1300   	 45.12	  2.36	 12.7	  1578	GB140
  2677	390-060 	  3.74	  0.54	  7.7	  6888	AOlf
  2679	390-061 	 15.76	  2.00	 22.9	  6642	AOlf
 22479	481 G 21	  3.53	  0.43	 10.3	  1752	Nanc
  2684	        	 10.54	  0.39	 23.8	   350	GB140
  2678	M+608013	  3.35	  0.42	  7.4	  5590	AOlf
 22485	N1301   	 21.10	  1.54	 10.7	  3950	GB140
  2690	390-068 	  9.56	  1.12	  7.3	  6273	GB300
130202	464-013a	  1.69	  0.19	 10.9	 10104	AOlf
  2685	525-023 	 13.68	  1.82	  8.6	  5042	AOlf
130196	525-022 	  4.09	  0.47	  8.6	  5056	AOlf
  2692	390-071 	  4.65	  0.62	  6.8	  6317	AOlf
  2695	FGC 411 	  5.02	  0.68	  6.1	 10983	AOlf
130208	441-008A	  1.53	  0.18	  7.0	  8533	AOlf
130453	441-010b	  0.95	  0.12	  5.9	 10088	AOlf
130211	525-024 	  1.71	  0.25	  6.1	  4836	AOlf
  2703	441-009 	  3.12	  0.36	 10.9	 10116	AOlf
  2701	        	  4.95	  0.59	 11.2	  7285	AOlf
  2700	540-121 	  5.33	  0.64	  8.3	  6621	GB300
  2702	525-025 	 12.57	  2.05	 10.2	  4786	AOlf
130214	390-078 	  1.01	  0.15	  4.3	  9901	AOlf
130375	FGC 417 	 16.47	  2.32	 35.8	  6167	AOlf
130219	390-079 	  1.86	  0.22	  8.3	 10570	AOlf
130217	416-007 	  3.05	  0.35	  6.4	  7083	AOlf
  2711	N1312   	  5.83	  0.86	  5.1	  9900	AOlf
  2707	        	  3.01	  0.38	  9.6	  4883	AOlf
130215	525-026 	  1.43	  0.20	  6.0	  4880	AOlf
  2706	525-027 	  4.80	  0.56	  7.8	  4716	AOlf
  2712	M+109004	  3.61	  0.43	  9.7	  7087	AOlf
  2709	525-029 	 22.73	  3.55	 13.2	  5143	AOlf
130220	464-014 	  3.80	  0.42	  8.3	 11614	AOlf
130376	K0321+14	  1.42	  0.18	  8.0	 10517	AOlf
  2716	464-015 	  9.53	  1.10	 48.9	   383	AOlf
  2714	        	  4.80	  0.58	  8.0	  6418	AOlf
 22540	N1325   	 33.03	  2.08	 11.1	  1591	GB140
  2726	        	  5.19	  0.65	  7.6	  8295	AOlf
430240	N1324   	 20.87	  2.17	  7.8	  5672	GB300
  2727	        	  3.28	  0.43	  7.9	  8828	AOlf
 22550	548 G 12	  3.01	  0.36	  7.7	  4353	Nanc
430249	M-309041	 37.31	  3.13	 15.5	  1873	GB140
  2730	541-005 	  4.15	  0.55	  7.6	  3772	GB300
  2732	I 320   	  2.35	  0.37	  6.2	  6990	GB300
130233	I 322   	  1.66	  0.18	 15.8	  9197	AOlf
130391	K0323+01	  1.36	  0.21	  5.2	 10103	AOlf
130236	I1918   	  4.61	  0.50	 10.1	  9265	AOlf
  2740	416-011 	  8.29	  1.27	 19.9	  7279	AOlf
  2741	        	  1.37	  0.14	 23.7	 11005	AOlf
  2729	        	 29.71	  1.33	 15.1	  1941	GB140
130239	441-012 	  4.45	  0.44	 17.8	  6315	AOlf
  2744	390-092 	  1.87	  0.22	  8.9	  9211	AOlf
130392	K0324+03	  3.15	  0.39	  9.3	  6661	AOlf
130393	K0324+08	  1.47	  0.21	  8.3	 11385	AOlf
 22597	548 G 21	  5.50	  0.54	  5.6	  1684	GB140
130243	416-012 	  4.77	  0.51	 11.3	  8753	AOlf
430266	N1337   	110.93	  7.21	 29.8	  1239	GB140
130248	464-    	  3.48	  0.37	 11.5	 10104	AOlf
  2750	        	  7.72	  1.54	  9.9	  4880	AOlf
130249	I1931   	  1.83	  0.30	  6.1	  9285	AOlf
  2759	N1334   	  3.58	  0.45	 10.7	  4405	GB300
130257	390-097 	  1.71	  0.20	  8.1	  9166	AOlf
  2770	525-040 	  4.49	  0.52	 11.6	  4482	AOlf
130394	K0329+14	  1.17	  0.16	  7.3	  8630	AOlf
  2765	        	 32.64	  1.89	 11.1	  1684	GB140
130261	391-003 	  3.43	  0.37	 10.0	  9611	AOlf
  2775	M+708024	  6.79	  1.18	  5.7	  4407	GB300
  2779	I 330   	  1.73	  0.30	  3.6	  9125	AOlf
130265	I 332   	  1.89	  0.25	  5.7	  9302	AOlf
  2776	        	  2.96	  0.30	 17.1	 13991	AOlf
  2781	        	  5.17	  0.72	 11.6	  9328	AOlf
  2780	M+608031	  3.65	  0.46	  9.9	  4512	AOlf
130267	        	  2.26	  0.24	 12.9	  5557	AOlf
  2786	        	  3.33	  0.43	  9.0	  5772	AOlf
130395	K0331+11	  2.86	  0.36	 13.2	 10464	AOlf
130269	        	  0.61	  0.09	  5.8	 10114	AOlf
130402	FGC 436 	  5.82	  0.72	 22.4	  6218	AOlf
  2791	        	  4.83	  0.73	  7.0	  5691	GB300
  2795	I1956   	  8.11	  0.92	 18.6	  6404	AOlf
 22735	I1962   	  9.72	  0.70	 11.3	  1814	GB140
  2789	M1105001	 14.73	  1.51	 16.0	  3135	GB300
  2794	        	  4.49	  0.52	 12.3	  5825	GB300
130274	465-001 	  4.13	  0.43	 14.1	  8046	AOlf
  2796	        	  7.08	  0.87	  7.8	  9078	AOlf
430371	N1376   	 13.25	  1.35	 16.1	  4152	GB300
130279	I 338   	  2.67	  0.30	 11.3	  5774	AOlf
130280	417-002 	  0.98	  0.16	  4.5	  9772	AOlf
  2792	N1343   	 21.32	  2.06	 55.1	  2211	GB300
  2802	417-003 	  1.74	  0.23	  5.7	  9662	AOlf
  2803	        	  2.55	  0.33	  7.4	  6421	AOlf
430380	M-110012	  6.95	  0.79	  7.7	  6661	GB300
  2804	        	  3.09	  0.42	  7.9	  6936	AOlf
  2798	541-022 	  4.98	  0.58	 12.1	  4944	GB300
  2801	        	  5.37	  0.63	  7.3	  6015	Effs
  2806	        	  7.71	  1.00	  6.3	  8899	AOlf
130290	        	  0.97	  0.14	  5.7	 16763	AOlf
  2807	        	  3.70	  0.41	 21.2	  4165	AOlf
130304	465-003 	  3.60	  0.37	 14.5	  6273	AOlf
 22810	482 G 24	  4.64	  0.51	  9.3	  4343	Nanc
130373	        	  4.00	  0.42	 12.8	  7918	AOlf
130377	        	  0.64	  0.09	  5.9	  9381	AOlf
130374	        	  5.22	  0.53	 13.6	  9473	AOlf
130308	N1384   	  3.19	  0.35	 10.4	  9816	AOlf
130378	        	  1.03	  0.13	  5.6	  9458	AOlf
130379	K0336+13	  2.04	  0.26	  7.4	  9885	AOlf
  2800	M1204002	 27.31	  1.39	 11.4	  1176	GB140
130286	UA 81   	 68.82	  2.61	 17.6	  1496	GB140
  2810	526-003 	  3.32	  0.39	  9.5	  6504	GB300
130313	465-006 	  0.82	  0.10	  7.7	 12998	AOlf
130380	K0337+03	  4.65	  0.56	 18.3	  5733	AOlf
  2815	I1977   	  2.69	  0.31	  9.1	  9931	AOlf
130318	M+110005	  1.88	  0.24	  6.8	  6412	AOlf
130396	K0338+13	  1.62	  0.22	  6.2	 10054	AOlf
  2820	M+110006	  4.50	  0.50	 12.1	  6285	AOlf
130381	K0338+13	  1.25	  0.16	  6.3	  9990	AOlf
 22861	N1422   	  2.91	  0.34	  4.9	  1658	GB140
  2817	        	  7.93	  1.72	  7.1	  5760	AOlf
  2823	        	  3.05	  0.40	  6.3	  9117	AOlf
  2829	417-004 	  0.35	  0.05	  7.1	  6007	AOlf
430424	N1417   	 15.74	  0.80	  9.2	  4125	GB140
  2830	465-008 	  2.13	  0.28	  6.9	  9189	AOlf
130320	417-005 	  1.67	  0.22	  6.8	  7292	AOlf
 22870	419 G  3	 11.68	  1.15	 20.5	  4100	Nanc
 22873	N1425   	 61.60	  3.15	 13.1	  1512	GB140
  2832	M+010015	  3.73	  0.50	  8.0	  7593	AOlf
  2813	        	 10.12	  0.55	 11.3	  1384	GB140
 22880	548 G 82	  6.40	  0.71	  9.0	  1724	Nanc
  2833	        	  4.59	  0.52	  9.9	  9240	AOlf
430438	M-210009	 14.66	  1.73	  9.5	  2162	Effs
430441	N1424   	  6.19	  0.69	 10.7	  5630	Effs
  2838	M+409005	  5.25	  0.69	 11.0	  5977	AOlf
  2839	        	  5.75	  0.65	 23.4	  6541	AOlf
  2842	391-031 	  1.40	  0.19	  6.1	 12168	AOlf
130321	417-006 	  3.06	  0.36	  6.8	  9017	AOlf
  2837	541-025 	  4.00	  0.58	  5.9	  4924	GB300
  2840	M+409006	  3.51	  0.41	 15.8	  3637	AOlf
  2827	        	  4.31	  0.52	  4.8	  1533	GB140
430459	M-310042	  8.37	  0.92	  9.8	  1584	GB300
  2852	        	 12.16	  1.61	 21.2	  6101	AOlf
430475	        	  2.47	  0.31	  7.3	  5326	Nanc
  2850	M+310006	  3.34	  0.37	 17.7	  5429	AOlf
  2849	        	 10.90	  1.57	  4.7	  8142	GB300
  2851	555-006 	 11.94	  1.22	 17.9	  5446	GB300
 22940	358 G 63	 25.38	  2.08	  6.9	  1926	GB140
  2856	        	  2.57	  0.33	  5.8	  8745	AOlf
430536	M-110035	 23.15	  2.59	 13.4	  3798	Nanc
 22946	N1459   	 13.79	  0.80	  8.0	  4166	GB140
430544	M-110036	  4.84	  0.60	  6.8	  3987	Nanc
  2857	526-008 	  5.64	  0.87	  5.3	  6462	AOlf
 22948	482 G 44	  5.82	  0.60	 14.6	  4146	Nanc
  2859	M+708032	  8.87	  0.94	 17.4	  5478	GB300
  2848	        	  6.65	  0.75	  9.1	  4298	GB300
  2862	442-003 	  2.85	  0.32	 10.1	  6735	AOlf
  2861	M+609008	 12.18	  1.36	  6.9	  6354	GB300
  2855	327-006 	114.80	  4.76	 22.2	  1210	GB140
  2868	        	  2.14	  0.32	  6.9	  5427	AOlf
  2871	442-004 	  8.71	  0.89	 41.2	  6822	AOlf
 22974	549 G 22	  8.65	  0.57	 10.8	  4279	GB140
  2872	M+010019	  6.55	  0.76	  8.3	  4148	AOlf
130331	391-037 	  8.20	  0.83	 28.2	  4130	AOlf
130398	K0346+15	  2.41	  0.29	 11.4	  6383	AOlf
 22986	482 G 46	 16.49	  1.56	  7.4	  1527	GB140
  2873	M+310007	  4.68	  0.53	 15.8	  8012	AOlf
  2874	465-009 	  0.35	  0.08	  3.3	 10064	AOlf
  2866	327-009 	 66.39	  1.77	 20.5	  1219	GB140
130334	N1462   	  2.29	  0.28	  6.6	  8241	AOlf
  2875	        	  3.61	  0.43	 11.1	  5771	AOlf
  2877	        	  1.91	  0.26	  7.4	  3818	AOlf
130337	417-008 	  2.52	  0.35	  4.6	  7018	AOlf
  2860	        	  4.55	  0.54	  8.5	  4245	Effs
430567	M-110044	 12.56	  1.41	 10.7	  4061	GB300
  2879	        	  3.53	  0.40	 14.7	  3933	AOlf
  2880	M+410001	  2.98	  0.40	  6.9	  5982	AOlf
  2878	        	  9.33	  0.97	  6.8	  5398	GB300
  2883	391-042 	  6.62	  0.78	 10.5	  5209	AOlf
  2884	        	  7.95	  1.04	 12.4	  5720	AOlf
  2882	        	  5.09	  0.68	  5.9	  4275	AOlf
130341	417-009 	  4.50	  0.45	 15.6	  5739	AOlf
  2886	        	  1.91	  0.26	  7.1	  5387	AOlf
130340	508-002 	  6.83	  0.67	 26.8	  4064	AOlf
  2888	508-003 	 10.19	  1.29	 28.1	  4039	AOlf
  2892	M+310009	  3.54	  0.41	  8.3	  7965	AOlf
  2889	526-013 	  3.35	  0.39	 10.2	  5639	AOlf
130342	N 355   	  1.69	  0.18	 10.8	  8647	AOlf
 23035	359 G  5	  6.65	  0.68	  7.6	  1389	GB140
  2894	465-011 	  5.17	  0.54	 19.9	  6638	AOlf
  2893	        	  3.36	  0.37	 12.1	  5831	AOlf
130343	465-012 	  1.50	  0.18	  7.2	  6645	AOlf
  2895	        	  5.07	  0.53	 14.4	 10057	AOlf
  2899	M+110013	  8.87	  1.12	 19.1	  3471	AOlf
  2898	I2002   	  7.13	  0.75	 13.6	  5221	AOlf
130348	417-010 	  2.31	  0.25	  8.2	  7831	AOlf
  2900	        	  1.38	  0.22	  5.7	  7756	AOlf
 23045	549 G 35	  3.38	  0.36	 11.5	  1822	Nanc
  2890	327-010 	 11.92	  0.79	  9.6	  1153	GB140
  2901	M+609014	  3.57	  0.42	 10.7	  8450	AOlf
  2904	466-001 	 10.60	  1.15	 16.7	  8013	AOlf
130350	418-002 	  3.00	  0.31	 14.9	  5292	AOlf
  2905	466-002 	  5.54	  0.55	 68.9	   292	AOlf
130354	466-003 	  4.28	  0.44	 13.5	  7009	AOlf
  2910	        	  2.76	  0.33	 11.7	  5509	AOlf
130355	508-005 	  2.98	  0.37	  6.8	  6772	AOlf
  2896	347-001 	  4.81	  0.57	 15.3	  2226	GB300
  2913	M+011003	  6.75	  0.78	 10.4	  3918	AOlf
130399	K0356+01	  1.65	  0.25	  4.8	  9111	AOlf
130358	487-004 	  1.78	  0.21	  9.1	  7504	AOlf
  2915	        	  6.05	  0.74	 11.8	  5304	AOlf
  2919	M+111005	  2.19	  0.28	  6.9	  5388	AOlf
  2921	M+011005	 10.25	  1.13	 13.7	  3542	AOlf
  2918	487-005 	  4.14	  0.47	 10.1	  6002	AOlf
 23111	483 G  6	 25.00	  2.07	  6.9	  4133	GB140
130361	466-004 	  2.70	  0.32	  6.4	 10066	AOlf
130362	466-005 	  2.37	  0.30	  9.7	  6377	AOlf
  2922	M+311005	  6.08	  0.62	 19.2	  5217	AOlf
  2920	526-016 	 13.40	  1.83	 13.9	  4156	AOlf
  2906	327-011 	 30.60	  3.04	 21.4	  2490	GB300
  2925	        	  5.74	  0.61	 22.6	  4255	AOlf
