#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F534%2FA109%2Fmcxc&-out.max=unlimited&-out.all=	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35340109
#Name: J/A+A/534/A109
#Title: MCXC Meta-Catalogue X-ray galaxy Clusters (Piffaretti+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	creator=Piffaretti R.	    First author or institution
#INFO	cites=bibcode:2011A&A...534A.109P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/534/A109	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35340109	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_534_A109_mcxc:
#Name: J/A+A/534/A109/mcxc
#Title: MCXC catalogue (table2 of the paper)
#Column	MCXC	(A12)	MCXC name (JHHMM.m+DDMM)	[ucd=meta.id;meta.main]
#Column	OName	(a18)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	L500	(F9.6)	X-ray luminosity in 10^44^erg/s (1)	[ucd=phys.luminosity;em.X-ray]
#Column	M500	(F7.4)	Total mass (1)	[ucd=phys.mass]
#Column	R500	(F7.4)	Characteristic radius (1)	[ucd=phys.size.radius]
#Column	Notes	(a42)	Notes (losStr = line of sight structure)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
MCXC	OName	RAJ2000	DEJ2000	z	L500	M500	R500	Notes	Simbad
J0443.1+0210	MS0440.5+0204     	04 43 09.9	+02 10 19	 0.1900	 2.089270	 2.8016	 0.9344	                                          	Simbad
J0445.1-1551	RXCJ0445.1-1551   	04 45 10.0	-15 51 01	 0.0360	 0.253692	 0.8642	 0.6646	                                          	Simbad
J0446.6-0421	BVH2007 63        	04 46 38.0	-04 21 02	 0.1770	 0.930790	 1.7279	 0.7990	                                          	Simbad
J0448.0+1037	RXC J0448.0+1037  	04 48 00.4	+10 37 06	 0.0940	 0.475454	 1.2183	 0.7315	                                          	Simbad
J0448.2-2028	RXCJ0448.2-2028   	04 48 12.2	-20 28 11	 0.0720	 1.004022	 1.9513	 0.8620	losStr                                    	Simbad
J0448.2+0953	RXJ0448.2+0953    	04 48 13.0	+09 53 24	 0.1540	 2.150444	 2.9287	 0.9603	                                          	Simbad
J0449.9-4440	RXCJ0449.9-4440   	04 49 55.2	-44 40 41	 0.1501	 2.523686	 3.2382	 0.9944	                                          	Simbad
J0450.0+4501	RXC J0450.0+4501  	04 50 03.5	+45 01 27	 0.0220	 0.901445	 1.8897	 0.8664	                                          	Simbad
J0451.5-5557	MS0450.6-5602     	04 51 35.8	-55 57 14	 0.0940	 0.242112	 0.8073	 0.6377	                                          	Simbad
J0451.9+0006	MACSJ0451.9+0006  	04 51 54.4	+00 06 19	 0.4300	 6.748492	 4.1001	 0.9700	                                          	Simbad
J0454.1-1014	RXCJ0454.1-1014   	04 54 09.1	-10 14 19	 0.2475	 7.445150	 5.8187	 1.1679	                                          	Simbad
J0454.1+0255	RXC J0454.1+0255  	04 54 11.0	+02 55 05	 0.2030	 8.306270	 6.4364	 1.2273	                                          	Simbad
J0454.1-0300	MACSJ0454.1-0300  	04 54 11.1	-03 00 54	 0.5377	15.352674	 7.1338	 1.1183	                                          	Simbad
J0454.3-0239	RX J0454.3-0239   	04 54 19.7	-02 39 50	 0.2600	 0.867849	 1.5539	 0.7487	                                          	Simbad
J0454.8-1806	RXCJ0454.8-1806   	04 54 50.3	-18 06 33	 0.0335	 0.146530	 0.6194	 0.5952	                                          	Simbad
J0458.9-0029	BVH2007 64        	04 58 55.1	-00 29 21	 0.0150	 0.008942	 0.1140	 0.3405	                                          	Simbad
J0459.1+0846	RXC J0459.1+0846  	04 59 06.2	+08 46 49	 0.1034	 0.910439	 1.7985	 0.8303	                                          	Simbad
J0500.7-3840	RXCJ0500.7-3840   	05 00 46.5	-38 40 41	 0.0536	 0.486610	 1.2705	 0.7515	                                          	Simbad
J0501.3-0332	RXCJ0501.3-0332   	05 01 19.4	-03 32 33	 0.0913	 0.776564	 1.6462	 0.8094	                                          	Simbad
J0501.6+0110	RXCJ0501.6+0110   	05 01 39.1	+01 10 30	 0.1248	 1.620972	 2.5179	 0.9223	B                                         	Simbad
J0503.1+0607	RXC J0503.1+0607  	05 03 07.2	+06 07 38	 0.0880	 0.963300	 1.8817	 0.8472	                                          	Simbad
J0505.3-2849	RX J0505.3-2849   	05 05 19.9	-28 49 05	 0.5090	 1.196592	 1.5420	 0.6788	                                          	Simbad
J0505.9-2826	BVH2007 65        	05 05 58.2	-28 26 02	 0.1310	 0.094671	 0.4435	 0.5159	                                          	Simbad
J0506.0-2840	BVH2007 66        	05 06 04.0	-28 40 50	 0.1360	 0.141671	 0.5651	 0.5583	                                          	Simbad
J0506.9+0257	RXC J0506.9+0257  	05 06 54.1	+02 57 08	 0.1475	 0.883713	 1.7110	 0.8046	                                          	Simbad
J0507.6-0238	RXCJ0507.6-0238   	05 07 36.0	-02 38 24	 0.1241	 1.190140	 2.0866	 0.8665	B                                         	Simbad
J0507.7-0915	RXCJ0507.7-0915   	05 07 45.7	-09 15 16	 0.0398	 0.182205	 0.7045	 0.6201	                                          	Simbad
J0509.7-0836	BVH2007 67        	05 09 43.4	-08 36 41	 0.1250	 0.119261	 0.5128	 0.5426	                                          	Simbad
J0510.2-4519	RXCJ0510.2-4519   	05 10 13.8	-45 19 16	 0.2000	 4.852497	 4.6483	 1.1023	                                          	Simbad
J0510.7-0801	RXCJ0510.7-0801   	05 10 44.7	-08 01 06	 0.2195	 7.728559	 6.0827	 1.1974	                                          	Simbad
J0514.6-4903	RXCJ0514.6-4903   	05 14 36.3	-49 03 18	 0.0912	 0.778067	 1.6483	 0.8098	                                          	Simbad
J0515.3+5845	RXC J0515.3+5845  	05 15 20.5	+58 45 59	 0.1203	 2.338311	 3.1585	 0.9961	                                          	Simbad
J0516.3+1712	RXC J0516.3+1712  	05 16 20.6	+17 12 33	 0.1150	 3.754220	 4.2315	 1.1001	                                          	Simbad
J0516.6+0626	RXC J0516.6+0626  	05 16 37.3	+06 26 16	 0.0284	 0.537650	 1.3731	 0.7773	                                          	Simbad
J0516.6-5430	RXCJ0516.6-5430   	05 16 38.0	-54 30 51	 0.2952	12.598125	 7.7238	 1.2612	                                          	Simbad
J0516.9+2925	RXC J0516.9+2925  	05 16 58.4	+29 25 14	 0.1300	 2.247197	 3.0614	 0.9826	                                          	Simbad
J0520.7-1328	MACSJ0520.7-1328  	05 20 42.2	-13 28 47	 0.3360	 7.900000	 6.3000	 1.1600	                                          	Simbad
J0521.1-2530	BVH2007 68        	05 21 10.5	-25 30 36	 0.5810	 2.836260	 2.4557	 0.7704	                                          	Simbad
J0521.4-4049	RXCJ0521.4-4049   	05 21 29.6	-40 49 29	 0.0756	 0.631170	 1.4667	 0.7828	                                          	Simbad
J0522.2-3624	BVH2007 69        	05 22 13.8	-36 24 49	 0.4720	 1.891263	 2.1028	 0.7638	                                          	Simbad
J0522.7+2806	RXC J0522.7+2806  	05 22 47.7	+28 06 32	 0.0580	 1.018021	 1.9868	 0.8711	                                          	Simbad
J0524.4+0819	RXC J0524.4+0819  	05 24 27.5	+08 19 44	 0.0680	 1.062668	 2.0256	 0.8739	                                          	Simbad
J0525.5-3135	RXCJ0525.5-3135   	05 25 32.8	-31 35 44	 0.0380	 0.372779	 1.0913	 0.7179	losStr                                    	Simbad
J0525.8-4715	RXCJ0525.8-4715   	05 25 51.6	-47 15 02	 0.1913	 3.450361	 3.8005	 1.0339	losStr                                    	Simbad
J0527.2+0413	RXC J0527.2+0413  	05 27 13.7	+04 13 07	 0.1510	 2.357145	 3.1041	 0.9801	                                          	Simbad
J0528.2-2942	RXCJ0528.2-2942   	05 28 15.4	-29 42 57	 0.1582	 2.296714	 3.0392	 0.9708	B                                         	Simbad
J0528.6-3251	BVH2007 70        	05 28 40.1	-32 51 29	 0.2730	 0.629139	 1.2642	 0.6956	                                          	Simbad
J0528.9-3927	RXCJ0528.9-3927   	05 28 56.3	-39 27 46	 0.2839	11.952927	 7.5474	 1.2568	X                                         	Simbad
J0529.6-5848	RX J0529.6-5848   	05 29 38.4	-58 48 10	 0.4660	 0.612216	 1.0624	 0.6098	                                          	Simbad
J0530.5-5851	RX J0530.5-5852   	05 30 31.1	-58 51 35	 0.3380	 0.261702	 0.7031	 0.5583	                                          	Simbad
J0530.6-2226	RXCJ0530.6-2226   	05 30 38.4	-22 26 54	 0.1706	 3.985723	 4.2146	 1.0780	losStr                                    	Simbad
J0532.3-1131	RXCJ0532.3-1131   	05 32 23.1	-11 31 50	 0.1540	 5.006176	 4.9028	 1.1403	                                          	Simbad
J0532.6-4614	BVH2007 71        	05 32 41.8	-46 14 17	 0.1350	 0.284145	 0.8644	 0.6436	                                          	Simbad
J0532.9-3701	RXCJ0532.9-3701   	05 32 55.5	-37 01 28	 0.2708	 6.197377	 5.1091	 1.1088	                                          	Simbad
J0533.3-3619	RXCJ0533.3-3619   	05 33 18.6	-36 19 32	 0.0479	 0.194629	 0.7294	 0.6257	                                          	Simbad
J0533.8-5746	BVH2007 72        	05 33 53.1	-57 46 45	 0.2970	 0.650400	 1.2658	 0.6897	                                          	Simbad
J0533.9-5809	RX J0533.9-5809   	05 33 55.9	-58 09 16	 0.1980	 0.148731	 0.5560	 0.5435	                                          	Simbad
J0538.2-2037	RXCJ0538.2-2037   	05 38 16.3	-20 37 23	 0.0915	 0.971284	 1.8866	 0.8470	                                          	Simbad
J0539.0-2833	MS0537.1-2834     	05 39 04.3	-28 33 05	 0.2540	 0.358775	 0.9111	 0.6280	                                          	Simbad
J0540.1-4050	RXCJ0540.1-4050   	05 40 06.3	-40 50 32	 0.0358	 0.447219	 1.2212	 0.7459	                                          	Simbad
J0540.1-4322	RXCJ0540.1-4322   	05 40 10.0	-43 22 56	 0.0850	 0.802854	 1.6874	 0.8178	B                                         	Simbad
J0542.1-2607	RXCJ0542.1-2607   	05 42 09.3	-26 07 25	 0.0390	 0.249133	 0.8530	 0.6611	P,GR2,losStr                              	Simbad
J0542.8-4100	BVH2007 73        	05 42 50.8	-41 00 05	 0.6420	 4.287220	 2.9996	 0.8038	                                          	Simbad
J0543.4-4430	RXCJ0543.4-4430   	05 43 24.4	-44 30 19	 0.1637	 2.630717	 3.2882	 0.9948	                                          	Simbad
J0544.2-2555	BVH2007 74        	05 44 13.3	-25 55 40	 0.2600	 0.445655	 1.0350	 0.6538	foreground A548                           	Simbad
J0545.4-2556	RXCJ0545.4-2556   	05 45 27.2	-25 56 20	 0.0424	 0.104752	 0.5018	 0.5533	P,GR2                                     	Simbad
J0545.5-4756	RXCJ0545.5-4756   	05 45 30.6	-47 56 26	 0.1254	 1.684553	 2.5766	 0.9292	B                                         	Simbad
J0547.0-3904	MACSJ0547.0-3904  	05 47 01.5	-39 04 26	 0.3190	 6.400000	 4.3000	 1.0200	                                          	Simbad
J0547.6-3152	RXCJ0547.6-3152   	05 47 38.2	-31 52 31	 0.1483	 4.324473	 4.5029	 1.1106	                                          	Simbad
J0547.7-4723	RXCJ0547.7-4723   	05 47 45.6	-47 23 24	 0.0515	 0.169791	 0.6695	 0.6074	                                          	Simbad
J0548.6-2527	RXCJ0548.6-2527   	05 48 39.6	-25 27 30	 0.0420	 0.551689	 1.3823	 0.7758	PL,GR2,losStr                             	Simbad
J0548.8-2154	RXCJ0548.8-2154   	05 48 50.4	-21 54 43	 0.0928	 0.787921	 1.6591	 0.8111	                                          	Simbad
J0552.8-2103	RXCJ0552.8-2103   	05 52 52.4	-21 03 25	 0.0989	 2.319636	 3.1912	 1.0067	                                          	Simbad
J0553.4-0558	RXC J0553.4-0558  	05 53 27.0	-05 58 03	 0.1510	 2.314190	 3.0695	 0.9765	                                          	Simbad
J0557.2-3727	RXCJ0557.2-3727   	05 57 13.2	-37 27 58	 0.0442	 0.310523	 0.9722	 0.6894	                                          	Simbad
J0600.8-5835	RXCJ0600.8-5835   	06 00 48.3	-58 35 14	 0.0369	 0.081480	 0.4321	 0.5274	                                          	Simbad
J0601.7-3959	RXCJ0601.7-3959   	06 01 45.7	-39 59 34	 0.0468	 0.996636	 1.9761	 0.8726	L                                         	Simbad
J0602.0+5315	RXC J0602.0+5315  	06 02 01.5	+53 15 48	 0.0510	 0.392691	 1.1167	 0.7205	                                          	Simbad
J0602.1+2309	RXC J0602.1+2309  	06 02 07.4	+23 09 57	 0.0654	 1.527879	 2.5321	 0.9422	                                          	Simbad
J0603.8+2939	RXC J0603.8+2939  	06 03 49.6	+29 39 53	 0.0300	 0.312530	 0.9853	 0.6956	                                          	Simbad
J0604.6+4257	RXC J0604.6+4257  	06 04 39.6	+42 57 10	 0.1180	 2.046494	 2.9167	 0.9708	                                          	Simbad
J0605.8-3518	RXCJ0605.8-3518   	06 05 52.8	-35 18 02	 0.1392	 4.236027	 4.4761	 1.1118	                                          	Simbad
J0607.0-4928	RXCJ0607.0-4928   	06 07 01.4	-49 29 00	 0.0553	 0.247827	 0.8410	 0.6546	B                                         	Simbad
J0610.5-4848	BVH2007 75        	06 10 32.0	-48 48 26	 0.2430	 0.609373	 1.2692	 0.7042	                                          	Simbad
J0612.6+4836	RXC J0612.6+4836  	06 12 36.8	+48 36 07	 0.0670	 0.956994	 1.9016	 0.8560	                                          	Simbad
J0616.3-2156	RXC J0616.3-2156  	06 16 19.7	-21 56 54	 0.1710	 2.712541	 3.3321	 0.9966	                                          	Simbad
J0616.5-3948	RXCJ0616.5-3948   	06 16 31.4	-39 48 01	 0.1520	 2.834755	 3.4712	 1.0170	                                          	Simbad
J0616.8-4748	RXCJ0616.8-4748   	06 16 53.6	-47 48 18	 0.1164	 1.495635	 2.4118	 0.9117	                                          	Simbad
J0618.6+6724	RXC J0618.5+6724  	06 18 36.0	+67 24 25	 0.1127	 0.874787	 1.7437	 0.8193	                                          	Simbad
J0621.7-5242	RXCJ0621.7-5242   	06 21 43.6	-52 42 11	 0.0511	 0.299464	 0.9466	 0.6818	                                          	Simbad
J0624.6-3720	RXCJ0624.6-3720   	06 24 36.7	-37 20 09	 0.0333	 0.138672	 0.5990	 0.5887	D,two maxima/E-W                          	Simbad
J0624.7-5240	MS0623.6-5238     	06 24 47.2	-52 40 44	 0.0740	 0.171321	 0.6629	 0.6011	                                          	Simbad
J0625.2-5521	MS0624.3-5519     	06 25 16.3	-55 21 06	 0.1180	 0.568739	 1.3360	 0.7483	                                          	Simbad
J0626.3-5341	RXCJ0626.3-5341   	06 26 22.8	-53 41 44	 0.0514	 1.160127	 2.1612	 0.8978	GR3                                       	Simbad
J0627.1-3529	RXCJ0627.1-3529   	06 27 08.2	-35 29 20	 0.0554	 0.769293	 1.6778	 0.8240	                                          	Simbad
J0627.2-5428	RXCJ0627.2-5428   	06 27 14.4	-54 28 12	 0.0506	 1.375477	 2.3989	 0.9298	PL,GR3                                    	Simbad
J0628.8-4143	RXCJ0628.8-4143   	06 28 49.8	-41 43 42	 0.1759	 4.230388	 4.3533	 1.0877	                                          	Simbad
J0629.1+4606	RXC J0629.1+4606  	06 29 09.8	+46 06 04	 0.1290	 1.396706	 2.2924	 0.8926	                                          	Simbad
J0631.3-5610	RXCJ0631.3-5610   	06 31 20.7	-56 10 20	 0.0540	 0.496316	 1.2855	 0.7544	L                                         	Simbad
J0631.3+2500	RXC J0631.3+2500  	06 31 21.4	+25 00 58	 0.0810	 1.711944	 2.6850	 0.9560	                                          	Simbad
J0632.0+2519	RXC J0632.0+2519  	06 32 01.4	+25 19 38	 0.0750	 0.718135	 1.5874	 0.8039	                                          	Simbad
J0634.5-6226	BVH2007 76        	06 34 34.1	-62 26 46	 0.2700	 0.849680	 1.5220	 0.7408	                                          	Simbad
J0635.0+2231	RXC J0635.0+2231  	06 35 03.4	+22 31 30	 0.0680	 3.033343	 3.8399	 1.0816	                                          	Simbad
J0635.4-6234	BVH2007 77        	06 35 28.4	-62 34 06	 0.1570	 0.377075	 1.0108	 0.6729	a part of A3398                           	Simbad
J0637.3-4828	RXCJ0637.3-4828   	06 37 18.9	-48 28 42	 0.2026	 3.530143	 3.8211	 1.0317	losStr                                    	Simbad
J0638.1+4747	RXC J0638.1+4747  	06 38 07.5	+47 47 27	 0.1740	 4.721468	 4.6614	 1.1135	                                          	Simbad
J0638.7-5358	RXCJ0638.7-5358   	06 38 46.5	-53 58 18	 0.2266	 9.536792	 6.8771	 1.2442	                                          	Simbad
J0640.1-1253	RXC J0640.1-1253  	06 40 08.0	-12 53 19	 0.1350	 5.822140	 5.4507	 1.1889	                                          	Simbad
J0643.4+4214	RXC J0643.4+4214  	06 43 24.9	+42 14 42	 0.0910	 3.603233	 4.1975	 1.1059	                                          	Simbad
J0645.4-5413	RXCJ0645.4-5413   	06 45 29.3	-54 13 08	 0.1644	 6.709122	 5.8164	 1.2028	losStr                                    	Simbad
J0647.8+7014	MACSJ0647.7+7015  	06 47 50.2	+70 14 56	 0.5840	13.139760	 8.8556	 1.1800	                                          	Simbad
J0649.3+1801	RXC J0649.3+1801  	06 49 22.8	+18 01 00	 0.0640	 1.182909	 2.1684	 0.8951	                                          	Simbad
J0657.0+4246	RXC J0657.0+4246  	06 57 00.7	+42 46 49	 0.1250	 1.029484	 1.9088	 0.8409	                                          	Simbad
J0658.5-5556	RXCJ0658.5-5556   	06 58 31.1	-55 56 49	 0.2965	20.425901	10.3599	 1.3902	losStr                                    	Simbad
J0704.4+6318	RXC J0704.4+6318  	07 04 24.5	+63 18 58	 0.0980	 1.576739	 2.5235	 0.9312	                                          	Simbad
J0707.0+2706	RXC J0707.0+2706  	07 07 02.6	+27 06 23	 0.0620	 0.560566	 1.3771	 0.7699	                                          	Simbad
J0708.1+7151	RXC J0708.1+7151  	07 08 07.6	+71 51 25	 0.1053	 0.769028	 1.6204	 0.8015	                                          	Simbad
J0710.4+2240	RXC J0710.4+2240  	07 10 24.7	+22 40 23	 0.2890	 6.603054	 5.2347	 1.1104	                                          	Simbad
J0711.7+3219	RXC J0711.7+3219  	07 11 47.6	+32 19 08	 0.0672	 1.012013	 1.9673	 0.8657	                                          	Simbad
J0712.0-6030	RXCJ0712.0-6030   	07 12 05.4	-60 30 06	 0.0322	 0.081904	 0.4348	 0.5292	                                          	Simbad
J0714.3+5441	A572              	07 14 19.2	+54 41 06	 0.1043	 0.646986	 1.4594	 0.7742	                                          	Simbad
J0716.7+5324	RXC J0716.7+5324  	07 16 42.6	+53 24 28	 0.0644	 0.391325	 1.1043	 0.7148	                                          	Simbad
J0717.1-3621	RXC J0717.1-3621  	07 17 10.8	-36 21 37	 0.0320	 0.366151	 1.0838	 0.7176	                                          	Simbad
J0717.4-1119	RXC J0717.4-1119  	07 17 27.0	-11 19 53	 0.0750	 2.204624	 3.1457	 1.0098	                                          	Simbad
J0717.5+3745	MACSJ0717.5+3745  	07 17 31.7	+37 45 32	 0.5460	22.715670	12.9576	 1.3600	                                          	Simbad
J0719.5+0043	RXC J0719.5+0043  	07 19 34.6	+00 43 07	 0.2197	 6.115780	 5.2729	 1.1416	                                          	Simbad
J0720.2+7132	BVH2007 78        	07 20 17.8	+71 32 11	 0.2680	 0.454786	 1.0413	 0.6532	                                          	Simbad
J0720.3+2348	RXC J0720.2+2348  	07 20 18.0	+23 48 56	 0.1680	 2.466421	 3.1513	 0.9793	                                          	Simbad
J0720.8+7108	BVH2007 79        	07 20 53.8	+71 08 57	 0.2300	 0.401524	 0.9941	 0.6522	                                          	Simbad
J0721.3+5547	RXC J0721.3+5547  	07 21 22.2	+55 47 11	 0.0381	 0.757140	 1.6810	 0.8291	                                          	Simbad
J0724.9+6658	RXC J0724.9+6658  	07 24 55.2	+66 58 43	 0.0863	 0.469019	 1.2147	 0.7326	                                          	Simbad
J0726.0+4122	RXC J0726.0+4122  	07 26 00.5	+41 22 56	 0.1120	 1.171477	 2.0846	 0.8697	                                          	Simbad
J0728.9+2935	RXC J0728.9+2935  	07 28 57.1	+29 35 11	 0.3976	 4.220339	 3.6493	 0.9448	?                                         	Simbad
J0729.4+2436	RXC J0729.4+2436  	07 29 28.8	+24 36 20	 0.1610	 3.047940	 3.6042	 1.0266	                                          	Simbad
J0729.7+7915	RXC J0729.7+7915  	07 29 46.1	+79 15 13	 0.1058	 0.523980	 1.2819	 0.7411	                                          	Simbad
J0732.3+3137	RXC J0732.3+3137  	07 32 22.0	+31 37 47	 0.1710	 5.623645	 5.1975	 1.1558	                                          	Simbad
J0736.4+3925	RXC J0736.4+3925  	07 36 25.4	+39 26 00	 0.1177	 2.518069	 3.3105	 1.0128	C                                         	Simbad
J0737.6+5920	RXC J0737.6+5920  	07 37 41.4	+59 20 25	 0.0384	 0.046280	 0.3058	 0.4697	                                          	Simbad
J0738.1-7506	RXCJ0738.1-7506   	07 38 09.0	-75 06 24	 0.1110	 0.910497	 1.7889	 0.8268	                                          	Simbad
J0738.2+0101	RXC J0738.2+0101  	07 38 16.6	+01 01 51	 0.1890	 3.427024	 3.7913	 1.0339	                                          	Simbad
J0738.9+6956	MS0733.6+7003     	07 38 59.1	+69 56 50	 0.1170	 0.263340	 0.8360	 0.6403	                                          	Simbad
J0740.9+5525	RXC J0740.9+5525  	07 40 59.4	+55 25 55	 0.0340	 0.488395	 1.2902	 0.7601	                                          	Simbad
J0741.5+2557	RXC J0741.5+2557  	07 41 30.2	+25 57 46	 0.1577	 0.677439	 1.4441	 0.7577	                                          	Simbad
J0847.1+3449	RX J0847.1+3449   	08 47 11.3	+34 49 16	 0.5600	 1.916410	 1.9683	 0.7216	                                          	Simbad
J0741.7+7414	RXC J0741.7+7414  	07 41 44.8	+74 14 52	 0.2149	 4.868103	 4.6049	 1.0931	                                          	Simbad
J0742.6+0922	RXC J0742.6+0922  	07 42 38.6	+09 22 08	 0.0620	 0.530802	 1.3320	 0.7614	                                          	Simbad
J0744.8+3927	MACSJ0744.9+3927  	07 44 52.6	+39 27 26	 0.6970	17.377668	 6.9400	 1.0400	                                          	Simbad
J0745.1-5404	RXC J0745.1-5404  	07 45 09.6	-54 04 44	 0.0740	 1.279395	 2.2590	 0.9045	                                          	Simbad
J0746.6+3100	RXC J0746.6+3100  	07 46 37.3	+31 00 49	 0.0579	 0.173471	 0.6754	 0.6080	                                          	Simbad
J0747.5-1917	RXC J0747.5-1917  	07 47 32.4	-19 17 32	 0.1028	10.487506	 7.9855	 1.3650	                                          	Simbad
J0748.1+1832	RXC J0748.1+1832  	07 48 09.5	+18 32 47	 0.0400	 0.110717	 0.5199	 0.5603	                                          	Simbad
J0751.3+5012	RXC J0751.3+5012  	07 51 22.5	+50 12 45	 0.0228	 0.076502	 0.4197	 0.5245	                                          	Simbad
J0751.4+1730	ZwCl1432          	07 51 24.0	+17 30 47	 0.1894	 3.479201	 3.8253	 1.0369	                                          	Simbad
J0753.4+2921	A602              	07 53 24.2	+29 21 58	 0.0621	 0.591999	 1.4236	 0.7785	                                          	Simbad
J0756.9+3839	RXC J0756.9+3839  	07 56 55.6	+38 39 00	 0.2203	 1.851188	 2.5432	 0.8951	                                          	Simbad
J0757.7-5315	RXC J0757.7-5315  	07 57 46.5	-53 15 49	 0.0390	 0.383258	 1.1092	 0.7216	                                          	Simbad
J0757.9-2157	RXC J0757.9-2157  	07 57 58.8	-21 57 44	 0.0490	 0.970025	 1.9409	 0.8668	                                          	Simbad
J0758.3+2640	RXC J0758.3+2640  	07 58 21.3	+26 40 45	 0.2315	 1.546824	 2.2599	 0.8571	                                          	Simbad
J0759.7+5400	RXC J0759.7+5400  	07 59 42.8	+54 00 06	 0.1032	 1.088010	 2.0052	 0.8610	                                          	Simbad
J0800.9+3602	RXC J0800.9+3602  	08 00 58.9	+36 02 50	 0.2880	 5.332254	 4.5987	 1.0638	                                          	Simbad
J0802.1-1926	RXC J0802.1-1926  	08 02 09.6	-19 26 01	 0.1400	 1.367280	 2.2449	 0.8831	                                          	Simbad
J0804.3+4646	RXC J0804.3+4646  	08 04 22.0	+46 46 56	 0.1868	 1.421306	 2.2205	 0.8657	                                          	Simbad
J0805.7+4541	RXC J0805.7+4541  	08 05 43.3	+45 41 25	 0.1353	 0.868863	 1.7085	 0.8076	                                          	Simbad
J0809.6+2811	BVH2007 80        	08 09 41.0	+28 11 58	 0.3990	 3.745412	 3.3891	 0.9213	see 400SD paper Sec. 4.1                  	Simbad
J0809.9-0258	RXC J0809.9-0258  	08 09 55.7	-02 58 56	 0.2700	 7.369961	 5.6820	 1.1492	                                          	Simbad
J0810.4+4216	BVH2007 81        	08 10 24.2	+42 16 19	 0.0640	 0.343477	 1.0201	 0.6962	                                          	Simbad
J0811.0+1644	RXC J0811.0+1644  	08 11 02.4	+16 44 06	 0.0925	 0.351374	 1.0142	 0.6885	                                          	Simbad
J0811.1+7002	RXC J0811.1+7002  	08 11 08.0	+70 02 22	 0.2230	 5.329782	 4.8364	 1.1079	                                          	Simbad
J0812.5-5714	RXC J0812.5-5714  	08 12 30.3	-57 14 06	 0.0620	 1.969423	 2.9629	 0.9940	                                          	Simbad
J0815.4-0308	RXC J0815.4-0308  	08 15 28.6	-03 08 31	 0.1980	 2.843394	 3.3605	 0.9900	                                          	Simbad
J0815.9+6253	MS0811.6+6301     	08 15 59.8	+62 53 09	 0.3120	 1.014350	 1.6401	 0.7477	                                          	Simbad
J0816.5+7424	MS0810.5+7433     	08 16 30.8	+74 24 14	 0.2820	 0.902703	 1.5644	 0.7443	                                          	Simbad
J0817.4-0730	RXC J0817.4-0730  	08 17 24.5	-07 30 46	 0.0704	 3.090208	 3.8772	 1.0843	                                          	Simbad
J0818.2+0122	RXC J0818.2+0122  	08 18 13.7	+01 22 03	 0.0879	 0.889371	 1.7924	 0.8336	                                          	Simbad
J0818.9+5654	RX J0818.9+5654   	08 18 57.8	+56 54 34	 0.2600	 0.300251	 0.8135	 0.6034	                                          	Simbad
J0819.3+7054	RX J0819.3+7054   	08 19 22.6	+70 54 48	 0.2260	 0.217842	 0.6868	 0.5774	WARPS2                                    	Simbad
J0819.6+6336	RXJ0819.6+6336    	08 19 39.1	+63 36 36	 0.1190	 1.434390	 2.3468	 0.9026	                                          	Simbad
J0819.9+5634	BVH2007 82        	08 19 54.7	+56 34 39	 0.2600	 0.864741	 1.5505	 0.7481	                                          	Simbad
J0820.4+5645	BVH2007 83        	08 20 26.6	+56 45 27	 0.0429	 0.015008	 0.1534	 0.3727	                                          	Simbad
J0820.9-5704	RXC J0820.9-5704  	08 20 59.6	-57 04 47	 0.0610	 0.783054	 1.6896	 0.8245	                                          	Simbad
J0821.0+0751	RXC J0821.0+0751  	08 21 01.8	+07 51 58	 0.1100	 1.110969	 2.0211	 0.8614	                                          	Simbad
